SA2_NAME16	YearOfArrival.max	workers_born_overseas
Glendenning - Dean Park	1995	215
Glendenning - Dean Park	2000	243
Glendenning - Dean Park	2005	227
Glendenning - Dean Park	2010	376
Glendenning - Dean Park	2015	244
Glendenning - Dean Park	2016	13
Glendenning - Dean Park		38
Hassall Grove - Plumpton	1991	263
Hassall Grove - Plumpton	1995	103
Hassall Grove - Plumpton	2000	107
Hassall Grove - Plumpton	2005	134
Hassall Grove - Plumpton	2010	137
Hassall Grove - Plumpton	2015	113
Hassall Grove - Plumpton	2016	3
Hassall Grove - Plumpton		10
Lethbridge Park - Tregear	1991	109
Lethbridge Park - Tregear	1995	41
Lethbridge Park - Tregear	2000	40
Lethbridge Park - Tregear	2005	50
Lethbridge Park - Tregear	2010	72
Lethbridge Park - Tregear	2015	38
Lethbridge Park - Tregear		7
Mount Druitt - Whalan	1991	880
Mount Druitt - Whalan	1995	290
Mount Druitt - Whalan	2000	376
Mount Druitt - Whalan	2005	345
Mount Druitt - Whalan	2010	440
Mount Druitt - Whalan	2015	295
Mount Druitt - Whalan	2016	14
Mount Druitt - Whalan		47
Prospect Reservoir	1991	2667
Prospect Reservoir	1995	798
Prospect Reservoir	2000	921
Prospect Reservoir	2005	931
Prospect Reservoir	2010	1186
Prospect Reservoir	2015	885
Prospect Reservoir	2016	55
Prospect Reservoir		145
Rooty Hill - Minchinbury	1991	1395
Rooty Hill - Minchinbury	1995	423
Rooty Hill - Minchinbury	2000	479
Rooty Hill - Minchinbury	2005	505
Rooty Hill - Minchinbury	2010	604
Rooty Hill - Minchinbury	2015	425
Rooty Hill - Minchinbury	2016	27
Rooty Hill - Minchinbury		79
Banksmeadow	1991	847
Banksmeadow	1995	217
Banksmeadow	2000	287
Banksmeadow	2005	308
Banksmeadow	2010	457
Banksmeadow	2015	430
Banksmeadow	2016	40
Banksmeadow		67
Botany	1991	1080
Botany	1995	247
Botany	2000	333
Botany	2005	305
Botany	2010	496
Botany	2015	537
Botany	2016	64
Botany		82
Mascot - Eastlakes	1991	3293
Mascot - Eastlakes	1995	861
Mascot - Eastlakes	2000	1030
Mascot - Eastlakes	2005	1105
Mascot - Eastlakes	2010	1716
Mascot - Eastlakes	2015	1918
Mascot - Eastlakes	2016	182
Mascot - Eastlakes		231
Pagewood - Hillsdale - Daceyville	1991	522
Pagewood - Hillsdale - Daceyville	1995	135
Pagewood - Hillsdale - Daceyville	2000	228
Pagewood - Hillsdale - Daceyville	2005	239
Pagewood - Hillsdale - Daceyville	2010	328
Pagewood - Hillsdale - Daceyville	2015	435
Pagewood - Hillsdale - Daceyville	2016	43
Pagewood - Hillsdale - Daceyville		39
Port Botany Industrial	1991	698
Port Botany Industrial	1995	145
Port Botany Industrial	2000	203
Port Botany Industrial	2005	232
Port Botany Industrial	2010	256
Port Botany Industrial	2015	211
Port Botany Industrial	2016	27
Port Botany Industrial		36
Sydney Airport	1991	2186
Sydney Airport	1995	529
Sydney Airport	2000	678
Sydney Airport	2005	777
Sydney Airport	2010	1159
Sydney Airport	2015	1138
Sydney Airport	2016	94
Sydney Airport		145
Marrickville	1991	2256
Marrickville	1995	551
Marrickville	2000	705
Marrickville	2005	644
Marrickville	2010	1177
Marrickville	2015	1319
Marrickville	2016	117
Marrickville		154
Petersham - Stanmore	1991	710
Petersham - Stanmore	1995	170
Petersham - Stanmore	2000	206
Petersham - Stanmore	2005	199
Petersham - Stanmore	2010	313
Petersham - Stanmore	2015	351
Petersham - Stanmore	2016	38
Petersham - Stanmore		53
Sydenham - Tempe - St Peters	1991	920
Sydenham - Tempe - St Peters	1995	200
Sydenham - Tempe - St Peters	2000	299
Sydenham - Tempe - St Peters	2005	326
Sydenham - Tempe - St Peters	2010	491
Sydenham - Tempe - St Peters	2015	488
Sydenham - Tempe - St Peters	2016	56
Sydenham - Tempe - St Peters		51
Darlinghurst	1991	1431
Darlinghurst	1995	413
Darlinghurst	2000	569
Darlinghurst	2005	702
Darlinghurst	2010	1006
Darlinghurst	2015	1232
Darlinghurst	2016	145
Darlinghurst		140
Erskineville - Alexandria	1991	3211
Erskineville - Alexandria	1995	889
Erskineville - Alexandria	2000	1171
Erskineville - Alexandria	2005	1351
Erskineville - Alexandria	2010	2026
Erskineville - Alexandria	2015	2187
Erskineville - Alexandria	2016	195
Erskineville - Alexandria		231
Glebe - Forest Lodge	1991	826
Glebe - Forest Lodge	1995	202
Glebe - Forest Lodge	2000	308
Glebe - Forest Lodge	2005	334
Glebe - Forest Lodge	2010	584
Glebe - Forest Lodge	2015	691
Glebe - Forest Lodge	2016	74
Glebe - Forest Lodge		83
Newtown - Camperdown - Darlington	1991	2481
Newtown - Camperdown - Darlington	1995	778
Newtown - Camperdown - Darlington	2000	961
Newtown - Camperdown - Darlington	2005	1100
Newtown - Camperdown - Darlington	2010	1723
Newtown - Camperdown - Darlington	2015	1975
Newtown - Camperdown - Darlington	2016	205
Newtown - Camperdown - Darlington		187
Potts Point - Woolloomooloo	1991	1520
Potts Point - Woolloomooloo	1995	435
Potts Point - Woolloomooloo	2000	589
Potts Point - Woolloomooloo	2005	671
Potts Point - Woolloomooloo	2010	1093
Potts Point - Woolloomooloo	2015	1479
Potts Point - Woolloomooloo	2016	159
Potts Point - Woolloomooloo		149
Pyrmont - Ultimo	1991	3933
Pyrmont - Ultimo	1995	1423
Pyrmont - Ultimo	2000	1871
Pyrmont - Ultimo	2005	2248
Pyrmont - Ultimo	2010	3307
Pyrmont - Ultimo	2015	4399
Pyrmont - Ultimo	2016	488
Pyrmont - Ultimo		378
Redfern - Chippendale	1991	1556
Redfern - Chippendale	1995	476
Redfern - Chippendale	2000	621
Redfern - Chippendale	2005	774
Redfern - Chippendale	2010	1087
Redfern - Chippendale	2015	1470
Redfern - Chippendale	2016	171
Redfern - Chippendale		136
Surry Hills	1991	3097
Surry Hills	1995	959
Surry Hills	2000	1322
Surry Hills	2005	1610
Surry Hills	2010	2345
Surry Hills	2015	3041
Surry Hills	2016	338
Surry Hills		282
Sydney - Haymarket - The Rocks	1991	36276
Sydney - Haymarket - The Rocks	1995	12612
Sydney - Haymarket - The Rocks	2000	17288
Sydney - Haymarket - The Rocks	2005	20940
Sydney - Haymarket - The Rocks	2010	28569
Sydney - Haymarket - The Rocks	2015	36094
Sydney - Haymarket - The Rocks	2016	4312
Sydney - Haymarket - The Rocks		3199
Waterloo - Beaconsfield	1991	1825
Waterloo - Beaconsfield	1995	595
Waterloo - Beaconsfield	2000	719
Waterloo - Beaconsfield	2005	802
Waterloo - Beaconsfield	2010	1379
Waterloo - Beaconsfield	2015	1609
Waterloo - Beaconsfield	2016	192
Waterloo - Beaconsfield		170
Bondi - Tamarama - Bronte	1991	422
Bondi - Tamarama - Bronte	1995	93
Bondi - Tamarama - Bronte	2000	135
Bondi - Tamarama - Bronte	2005	140
Bondi - Tamarama - Bronte	2010	257
Bondi - Tamarama - Bronte	2015	352
Bondi - Tamarama - Bronte	2016	58
Bondi - Tamarama - Bronte		46
Bondi Beach - North Bondi	1991	447
Bondi Beach - North Bondi	1995	115
Bondi Beach - North Bondi	2000	184
Bondi Beach - North Bondi	2005	218
Bondi Beach - North Bondi	2010	375
Bondi Beach - North Bondi	2015	689
Bondi Beach - North Bondi	2016	83
Bondi Beach - North Bondi		69
Bondi Junction - Waverly	1991	1822
Bondi Junction - Waverly	1995	521
Bondi Junction - Waverly	2000	782
Bondi Junction - Waverly	2005	832
Bondi Junction - Waverly	2010	1399
Bondi Junction - Waverly	2015	1817
Bondi Junction - Waverly	2016	229
Bondi Junction - Waverly		167
Centennial Park	1991	16
Centennial Park	1995	3
Centennial Park	2000	3
Centennial Park	2010	9
Centennial Park	2015	15
Centennial Park	2016	5
Double Bay - Bellevue Hill	1991	1313
Double Bay - Bellevue Hill	1995	294
Double Bay - Bellevue Hill	2000	412
Double Bay - Bellevue Hill	2005	400
Double Bay - Bellevue Hill	2010	610
Double Bay - Bellevue Hill	2015	919
Double Bay - Bellevue Hill	2016	105
Double Bay - Bellevue Hill		102
Dover Heights	1991	305
Dover Heights	1995	69
Dover Heights	2000	107
Dover Heights	2005	101
Dover Heights	2010	117
Dover Heights	2015	118
Dover Heights	2016	8
Dover Heights		16
Paddington - Moore Park	1991	999
Paddington - Moore Park	1995	229
Paddington - Moore Park	2000	329
Paddington - Moore Park	2005	360
Paddington - Moore Park	2010	617
Paddington - Moore Park	2015	820
Paddington - Moore Park	2016	118
Paddington - Moore Park		90
Rose Bay - Vaucluse - Watsons Bay	1991	541
Rose Bay - Vaucluse - Watsons Bay	1995	126
Rose Bay - Vaucluse - Watsons Bay	2000	179
Rose Bay - Vaucluse - Watsons Bay	2005	194
Rose Bay - Vaucluse - Watsons Bay	2010	311
Rose Bay - Vaucluse - Watsons Bay	2015	431
Rose Bay - Vaucluse - Watsons Bay	2016	56
Rose Bay - Vaucluse - Watsons Bay		33
Woollahra	1991	432
Woollahra	1995	87
Woollahra	2000	131
Woollahra	2005	118
Woollahra	2010	213
Woollahra	2015	281
Woollahra	2016	24
Woollahra		36
Coogee - Clovelly	1991	413
Coogee - Clovelly	1995	102
Coogee - Clovelly	2000	128
Coogee - Clovelly	2005	161
Coogee - Clovelly	2010	280
Coogee - Clovelly	2015	410
Coogee - Clovelly	2016	59
Coogee - Clovelly		39
Malabar - La Perouse - Chifley	1991	730
Malabar - La Perouse - Chifley	1995	204
Malabar - La Perouse - Chifley	2000	235
Malabar - La Perouse - Chifley	2005	224
Malabar - La Perouse - Chifley	2010	384
Malabar - La Perouse - Chifley	2015	373
Malabar - La Perouse - Chifley	2016	23
Malabar - La Perouse - Chifley		47
Kensington (NSW)	1991	1125
Kensington (NSW)	1995	344
Kensington (NSW)	2000	530
Kensington (NSW)	2005	558
Kensington (NSW)	2010	829
Kensington (NSW)	2015	1133
Kensington (NSW)	2016	114
Kensington (NSW)		74
Kingsford	1991	323
Kingsford	1995	68
Kingsford	2000	111
Kingsford	2005	118
Kingsford	2010	193
Kingsford	2015	291
Kingsford	2016	31
Kingsford		24
Maroubra - North	1991	332
Maroubra - North	1995	69
Maroubra - North	2000	81
Maroubra - North	2005	91
Maroubra - North	2010	165
Maroubra - North	2015	192
Maroubra - North	2016	24
Maroubra - North		22
Maroubra - South	1991	139
Maroubra - South	1995	47
Maroubra - South	2000	47
Maroubra - South	2005	61
Maroubra - South	2010	97
Maroubra - South	2015	110
Maroubra - South	2016	11
Maroubra - South		6
Maroubra - West	1991	270
Maroubra - West	1995	72
Maroubra - West	2000	108
Maroubra - West	2005	118
Maroubra - West	2010	154
Maroubra - West	2015	175
Maroubra - West	2016	30
Maroubra - West		36
Randwick - North	1991	663
Randwick - North	1995	125
Randwick - North	2000	194
Randwick - North	2005	193
Randwick - North	2010	375
Randwick - North	2015	306
Randwick - North	2016	31
Randwick - North		37
Randwick - South	1991	1728
Randwick - South	1995	465
Randwick - South	2000	538
Randwick - South	2005	721
Randwick - South	2010	1052
Randwick - South	2015	1118
Randwick - South	2016	96
Randwick - South		115
Bass Hill - Georges Hall	1991	505
Bass Hill - Georges Hall	1995	120
Bass Hill - Georges Hall	2000	131
Bass Hill - Georges Hall	2005	152
Bass Hill - Georges Hall	2010	215
Bass Hill - Georges Hall	2015	157
Bass Hill - Georges Hall	2016	7
Bass Hill - Georges Hall		32
Chullora	1991	1515
Chullora	1995	408
Chullora	2000	504
Chullora	2005	436
Chullora	2010	605
Chullora	2015	510
Chullora	2016	33
Chullora		84
Condell Park	1991	2435
Condell Park	1995	592
Condell Park	2000	639
Condell Park	2005	599
Condell Park	2010	798
Condell Park	2015	639
Condell Park	2016	42
Condell Park		122
Greenacre - Mount Lewis	1991	1141
Greenacre - Mount Lewis	1995	311
Greenacre - Mount Lewis	2000	412
Greenacre - Mount Lewis	2005	382
Greenacre - Mount Lewis	2010	531
Greenacre - Mount Lewis	2015	451
Greenacre - Mount Lewis	2016	34
Greenacre - Mount Lewis		66
Padstow	1991	588
Padstow	1995	135
Padstow	2000	164
Padstow	2005	184
Padstow	2010	233
Padstow	2015	173
Padstow	2016	9
Padstow		40
Panania - Milperra - Picnic Point	1991	456
Panania - Milperra - Picnic Point	1995	106
Panania - Milperra - Picnic Point	2000	117
Panania - Milperra - Picnic Point	2005	99
Panania - Milperra - Picnic Point	2010	125
Panania - Milperra - Picnic Point	2015	106
Panania - Milperra - Picnic Point	2016	10
Panania - Milperra - Picnic Point		15
Revesby	1991	462
Revesby	1995	106
Revesby	2000	137
Revesby	2005	111
Revesby	2010	131
Revesby	2015	131
Revesby	2016	15
Revesby		15
Yagoona - Birrong	1991	418
Yagoona - Birrong	1995	104
Yagoona - Birrong	2000	134
Yagoona - Birrong	2005	119
Yagoona - Birrong	2010	191
Yagoona - Birrong	2015	138
Yagoona - Birrong	2016	15
Yagoona - Birrong		24
Bankstown - North	1991	1187
Bankstown - North	1995	349
Bankstown - North	2000	360
Bankstown - North	2005	408
Bankstown - North	2010	476
Bankstown - North	2015	388
Bankstown - North	2016	26
Bankstown - North		52
Bankstown - South	1991	1977
Bankstown - South	1995	552
Bankstown - South	2000	583
Bankstown - South	2005	635
Bankstown - South	2010	797
Bankstown - South	2015	660
Bankstown - South	2016	49
Bankstown - South		119
Belmore - Belfield	1991	654
Belmore - Belfield	1995	166
Belmore - Belfield	2000	228
Belmore - Belfield	2005	216
Belmore - Belfield	2010	326
Belmore - Belfield	2015	253
Belmore - Belfield	2016	15
Belmore - Belfield		43
Canterbury (South) - Campsie	1991	1386
Canterbury (South) - Campsie	1995	392
Canterbury (South) - Campsie	2000	518
Canterbury (South) - Campsie	2005	557
Canterbury (South) - Campsie	2010	802
Canterbury (South) - Campsie	2015	649
Canterbury (South) - Campsie	2016	36
Canterbury (South) - Campsie		95
Kingsgrove (North) - Earlwood	1991	1289
Kingsgrove (North) - Earlwood	1995	300
Kingsgrove (North) - Earlwood	2000	360
Kingsgrove (North) - Earlwood	2005	336
Kingsgrove (North) - Earlwood	2010	415
Kingsgrove (North) - Earlwood	2015	358
Kingsgrove (North) - Earlwood	2016	40
Kingsgrove (North) - Earlwood		56
Punchbowl	1991	878
Punchbowl	1995	245
Punchbowl	2000	257
Punchbowl	2005	269
Punchbowl	2010	373
Punchbowl	2015	362
Punchbowl	2016	24
Punchbowl		55
Roselands	1991	458
Roselands	1995	102
Roselands	2000	122
Roselands	2005	140
Roselands	2010	189
Roselands	2015	165
Roselands	2016	15
Roselands		33
Lakemba	1991	513
Lakemba	1995	164
Lakemba	2000	249
Lakemba	2005	277
Lakemba	2010	352
Lakemba	2015	273
Lakemba	2016	12
Lakemba		42
Wiley Park	1991	111
Wiley Park	1995	29
Wiley Park	2000	55
Wiley Park	2005	78
Wiley Park	2010	103
Wiley Park	2015	76
Wiley Park	2016	3
Wiley Park		15
Hurstville	1991	1312
Hurstville	1995	416
Hurstville	2000	614
Hurstville	2005	674
Hurstville	2010	918
Hurstville	2015	864
Hurstville	2016	67
Hurstville		95
Mortdale - Penshurst	1991	433
Mortdale - Penshurst	1995	108
Mortdale - Penshurst	2000	165
Mortdale - Penshurst	2005	136
Mortdale - Penshurst	2010	210
Mortdale - Penshurst	2015	173
Mortdale - Penshurst	2016	10
Mortdale - Penshurst		19
Narwee - Beverly Hills	1991	327
Narwee - Beverly Hills	1995	61
Narwee - Beverly Hills	2000	102
Narwee - Beverly Hills	2005	97
Narwee - Beverly Hills	2010	147
Narwee - Beverly Hills	2015	112
Narwee - Beverly Hills	2016	15
Narwee - Beverly Hills		22
Oatley - Hurstville Grove	1991	243
Oatley - Hurstville Grove	1995	53
Oatley - Hurstville Grove	2000	64
Oatley - Hurstville Grove	2005	64
Oatley - Hurstville Grove	2010	85
Oatley - Hurstville Grove	2015	55
Oatley - Hurstville Grove	2016	5
Oatley - Hurstville Grove		16
Peakhurst - Lugarno	1991	744
Peakhurst - Lugarno	1995	135
Peakhurst - Lugarno	2000	197
Peakhurst - Lugarno	2005	185
Peakhurst - Lugarno	2010	283
Peakhurst - Lugarno	2015	262
Peakhurst - Lugarno	2016	22
Peakhurst - Lugarno		53
Riverwood	1991	313
Riverwood	1995	89
Riverwood	2000	98
Riverwood	2005	113
Riverwood	2010	135
Riverwood	2015	129
Riverwood	2016	10
Riverwood		18
South Hurstville - Blakehurst	1991	502
South Hurstville - Blakehurst	1995	109
South Hurstville - Blakehurst	2000	177
South Hurstville - Blakehurst	2005	170
South Hurstville - Blakehurst	2010	199
South Hurstville - Blakehurst	2015	174
South Hurstville - Blakehurst	2016	14
South Hurstville - Blakehurst		27
Arncliffe - Bardwell Valley	1991	678
Arncliffe - Bardwell Valley	1995	150
Arncliffe - Bardwell Valley	2000	185
Arncliffe - Bardwell Valley	2005	220
Arncliffe - Bardwell Valley	2010	347
Arncliffe - Bardwell Valley	2015	374
Arncliffe - Bardwell Valley	2016	51
Arncliffe - Bardwell Valley		36
Bexley	1991	536
Bexley	1995	128
Bexley	2000	163
Bexley	2005	149
Bexley	2010	287
Bexley	2015	251
Bexley	2016	25
Bexley		38
Kingsgrove (South) - Bardwell Park	1991	334
Kingsgrove (South) - Bardwell Park	1995	73
Kingsgrove (South) - Bardwell Park	2000	68
Kingsgrove (South) - Bardwell Park	2005	71
Kingsgrove (South) - Bardwell Park	2010	116
Kingsgrove (South) - Bardwell Park	2015	90
Kingsgrove (South) - Bardwell Park	2016	7
Kingsgrove (South) - Bardwell Park		17
Kogarah	1991	1608
Kogarah	1995	429
Kogarah	2000	514
Kogarah	2005	576
Kogarah	2010	802
Kogarah	2015	751
Kogarah	2016	92
Kogarah		105
Kogarah Bay - Carlton - Allawah	1991	370
Kogarah Bay - Carlton - Allawah	1995	75
Kogarah Bay - Carlton - Allawah	2000	93
Kogarah Bay - Carlton - Allawah	2005	134
Kogarah Bay - Carlton - Allawah	2010	175
Kogarah Bay - Carlton - Allawah	2015	143
Kogarah Bay - Carlton - Allawah	2016	8
Kogarah Bay - Carlton - Allawah		18
Monterey - Brighton-le-Sands - Kyeemagh	1991	322
Monterey - Brighton-le-Sands - Kyeemagh	1995	74
Monterey - Brighton-le-Sands - Kyeemagh	2000	88
Monterey - Brighton-le-Sands - Kyeemagh	2005	89
Monterey - Brighton-le-Sands - Kyeemagh	2010	173
Monterey - Brighton-le-Sands - Kyeemagh	2015	201
Monterey - Brighton-le-Sands - Kyeemagh	2016	7
Monterey - Brighton-le-Sands - Kyeemagh		9
Rockdale - Banksia	1991	895
Rockdale - Banksia	1995	211
Rockdale - Banksia	2000	293
Rockdale - Banksia	2005	292
Rockdale - Banksia	2010	547
Rockdale - Banksia	2015	474
Rockdale - Banksia	2016	55
Rockdale - Banksia		56
Sans Souci - Ramsgate	1991	294
Sans Souci - Ramsgate	1995	47
Sans Souci - Ramsgate	2000	76
Sans Souci - Ramsgate	2005	84
Sans Souci - Ramsgate	2010	132
Sans Souci - Ramsgate	2015	109
Sans Souci - Ramsgate	2016	18
Sans Souci - Ramsgate		19
Concord - Mortlake - Cabarita	1991	592
Concord - Mortlake - Cabarita	1995	136
Concord - Mortlake - Cabarita	2000	192
Concord - Mortlake - Cabarita	2005	179
Concord - Mortlake - Cabarita	2010	301
Concord - Mortlake - Cabarita	2015	329
Concord - Mortlake - Cabarita	2016	15
Concord - Mortlake - Cabarita		38
Concord West - North Strathfield	1991	2880
Concord West - North Strathfield	1995	886
Concord West - North Strathfield	2000	1235
Concord West - North Strathfield	2005	1531
Concord West - North Strathfield	2010	1985
Concord West - North Strathfield	2015	1735
Concord West - North Strathfield	2016	155
Concord West - North Strathfield		169
Drummoyne - Rodd Point	1991	501
Drummoyne - Rodd Point	1995	96
Drummoyne - Rodd Point	2000	148
Drummoyne - Rodd Point	2005	141
Drummoyne - Rodd Point	2010	263
Drummoyne - Rodd Point	2015	333
Drummoyne - Rodd Point	2016	33
Drummoyne - Rodd Point		37
Five Dock - Abbotsford	1991	726
Five Dock - Abbotsford	1995	140
Five Dock - Abbotsford	2000	217
Five Dock - Abbotsford	2005	208
Five Dock - Abbotsford	2010	367
Five Dock - Abbotsford	2015	368
Five Dock - Abbotsford	2016	32
Five Dock - Abbotsford		48
Balmain	1991	631
Balmain	1995	120
Balmain	2000	188
Balmain	2005	223
Balmain	2010	358
Balmain	2015	390
Balmain	2016	34
Balmain		31
Leichhardt - Annandale	1991	1473
Leichhardt - Annandale	1995	283
Leichhardt - Annandale	2000	412
Leichhardt - Annandale	2005	460
Leichhardt - Annandale	2010	701
Leichhardt - Annandale	2015	767
Leichhardt - Annandale	2016	71
Leichhardt - Annandale		85
Lilyfield - Rozelle	1991	708
Lilyfield - Rozelle	1995	160
Lilyfield - Rozelle	2000	226
Lilyfield - Rozelle	2005	276
Lilyfield - Rozelle	2010	362
Lilyfield - Rozelle	2015	408
Lilyfield - Rozelle	2016	54
Lilyfield - Rozelle		55
Ashfield	1991	1208
Ashfield	1995	340
Ashfield	2000	389
Ashfield	2005	477
Ashfield	2010	733
Ashfield	2015	649
Ashfield	2016	73
Ashfield		83
Burwood - Croydon	1991	2018
Burwood - Croydon	1995	617
Burwood - Croydon	2000	777
Burwood - Croydon	2005	886
Burwood - Croydon	2010	1240
Burwood - Croydon	2015	1173
Burwood - Croydon	2016	101
Burwood - Croydon		142
Canterbury (North) - Ashbury	1991	301
Canterbury (North) - Ashbury	1995	43
Canterbury (North) - Ashbury	2000	66
Canterbury (North) - Ashbury	2005	60
Canterbury (North) - Ashbury	2010	115
Canterbury (North) - Ashbury	2015	91
Canterbury (North) - Ashbury	2016	9
Canterbury (North) - Ashbury		13
Croydon Park - Enfield	1991	509
Croydon Park - Enfield	1995	110
Croydon Park - Enfield	2000	117
Croydon Park - Enfield	2005	137
Croydon Park - Enfield	2010	209
Croydon Park - Enfield	2015	159
Croydon Park - Enfield	2016	6
Croydon Park - Enfield		29
Dulwich Hill - Lewisham	1991	439
Dulwich Hill - Lewisham	1995	78
Dulwich Hill - Lewisham	2000	103
Dulwich Hill - Lewisham	2005	80
Dulwich Hill - Lewisham	2010	142
Dulwich Hill - Lewisham	2015	173
Dulwich Hill - Lewisham	2016	22
Dulwich Hill - Lewisham		28
Haberfield - Summer Hill	1991	584
Haberfield - Summer Hill	1995	93
Haberfield - Summer Hill	2000	135
Haberfield - Summer Hill	2005	150
Haberfield - Summer Hill	2010	238
Haberfield - Summer Hill	2015	270
Haberfield - Summer Hill	2016	24
Haberfield - Summer Hill		22
Homebush	1991	1599
Homebush	1995	450
Homebush	2000	623
Homebush	2005	624
Homebush	2010	991
Homebush	2015	964
Homebush	2016	93
Homebush		105
Strathfield	1991	1611
Strathfield	1995	442
Strathfield	2000	449
Strathfield	2005	475
Strathfield	2010	651
Strathfield	2015	663
Strathfield	2016	83
Strathfield		109
Strathfield South	1991	494
Strathfield South	1995	118
Strathfield South	2000	168
Strathfield South	2005	161
Strathfield South	2010	207
Strathfield South	2015	203
Strathfield South	2016	21
Strathfield South		30
Chatswood (East) - Artarmon	1991	3460
Chatswood (East) - Artarmon	1995	1115
Chatswood (East) - Artarmon	2000	1722
Chatswood (East) - Artarmon	2005	2012
Chatswood (East) - Artarmon	2010	3019
Chatswood (East) - Artarmon	2015	3268
Chatswood (East) - Artarmon	2016	308
Chatswood (East) - Artarmon		267
Chatswood (West) - Lane Cove North	1991	445
Chatswood (West) - Lane Cove North	1995	112
Chatswood (West) - Lane Cove North	2000	174
Chatswood (West) - Lane Cove North	2005	188
Chatswood (West) - Lane Cove North	2010	258
Chatswood (West) - Lane Cove North	2015	248
Chatswood (West) - Lane Cove North	2016	30
Chatswood (West) - Lane Cove North		26
Lane Cove - Greenwich	1991	1714
Lane Cove - Greenwich	1995	448
Lane Cove - Greenwich	2000	664
Lane Cove - Greenwich	2005	759
Lane Cove - Greenwich	2010	991
Lane Cove - Greenwich	2015	1032
Lane Cove - Greenwich	2016	117
Lane Cove - Greenwich		101
St Leonards - Naremburn	1991	3645
St Leonards - Naremburn	1995	1137
St Leonards - Naremburn	2000	1491
St Leonards - Naremburn	2005	1812
St Leonards - Naremburn	2010	2550
St Leonards - Naremburn	2015	2408
St Leonards - Naremburn	2016	214
St Leonards - Naremburn		221
Willoughby - Castle Cove - Northbridge	1991	998
Willoughby - Castle Cove - Northbridge	1995	202
Willoughby - Castle Cove - Northbridge	2000	286
Willoughby - Castle Cove - Northbridge	2005	314
Willoughby - Castle Cove - Northbridge	2010	423
Willoughby - Castle Cove - Northbridge	2015	435
Willoughby - Castle Cove - Northbridge	2016	49
Willoughby - Castle Cove - Northbridge		59
Asquith - Mount Colah	1991	577
Asquith - Mount Colah	1995	133
Asquith - Mount Colah	2000	174
Asquith - Mount Colah	2005	192
Asquith - Mount Colah	2010	186
Asquith - Mount Colah	2015	157
Asquith - Mount Colah	2016	7
Asquith - Mount Colah		33
Berowra - Brooklyn - Cowan	1991	175
Berowra - Brooklyn - Cowan	1995	24
Berowra - Brooklyn - Cowan	2000	46
Berowra - Brooklyn - Cowan	2005	39
Berowra - Brooklyn - Cowan	2010	45
Berowra - Brooklyn - Cowan	2015	43
Berowra - Brooklyn - Cowan	2016	4
Berowra - Brooklyn - Cowan		10
Normanhurst - Thornleigh - Westleigh	1991	596
Normanhurst - Thornleigh - Westleigh	1995	172
Normanhurst - Thornleigh - Westleigh	2000	240
Normanhurst - Thornleigh - Westleigh	2005	239
Normanhurst - Thornleigh - Westleigh	2010	290
Normanhurst - Thornleigh - Westleigh	2015	226
Normanhurst - Thornleigh - Westleigh	2016	18
Normanhurst - Thornleigh - Westleigh		25
Hornsby - East	1991	1147
Hornsby - East	1995	392
Hornsby - East	2000	554
Hornsby - East	2005	559
Hornsby - East	2010	795
Hornsby - East	2015	581
Hornsby - East	2016	48
Hornsby - East		72
Hornsby - West	1991	355
Hornsby - West	1995	94
Hornsby - West	2000	126
Hornsby - West	2005	156
Hornsby - West	2010	179
Hornsby - West	2015	148
Hornsby - West	2016	9
Hornsby - West		20
Waitara - Wahroonga (West)	1991	302
Waitara - Wahroonga (West)	1995	86
Waitara - Wahroonga (West)	2000	122
Waitara - Wahroonga (West)	2005	130
Waitara - Wahroonga (West)	2010	194
Waitara - Wahroonga (West)	2015	146
Waitara - Wahroonga (West)	2016	21
Waitara - Wahroonga (West)		14
Gordon - Killara	1991	809
Gordon - Killara	1995	213
Gordon - Killara	2000	268
Gordon - Killara	2005	305
Gordon - Killara	2010	457
Gordon - Killara	2015	422
Gordon - Killara	2016	36
Gordon - Killara		43
Lindfield - Roseville	1991	739
Lindfield - Roseville	1995	178
Lindfield - Roseville	2000	237
Lindfield - Roseville	2005	220
Lindfield - Roseville	2010	322
Lindfield - Roseville	2015	285
Lindfield - Roseville	2016	23
Lindfield - Roseville		37
Pymble	1991	706
Pymble	1995	206
Pymble	2000	267
Pymble	2005	320
Pymble	2010	350
Pymble	2015	273
Pymble	2016	16
Pymble		41
St Ives	1991	617
St Ives	1995	154
St Ives	2000	262
St Ives	2005	233
St Ives	2010	311
St Ives	2015	246
St Ives	2016	21
St Ives		43
Turramurra	1991	534
Turramurra	1995	108
Turramurra	2000	197
Turramurra	2005	168
Turramurra	2010	282
Turramurra	2015	226
Turramurra	2016	25
Turramurra		12
Wahroonga (East) - Warrawee	1991	856
Wahroonga (East) - Warrawee	1995	199
Wahroonga (East) - Warrawee	2000	277
Wahroonga (East) - Warrawee	2005	332
Wahroonga (East) - Warrawee	2010	394
Wahroonga (East) - Warrawee	2015	282
Wahroonga (East) - Warrawee	2016	21
Wahroonga (East) - Warrawee		40
Cremorne - Cammeray	1991	456
Cremorne - Cammeray	1995	81
Cremorne - Cammeray	2000	158
Cremorne - Cammeray	2005	161
Cremorne - Cammeray	2010	271
Cremorne - Cammeray	2015	346
Cremorne - Cammeray	2016	41
Cremorne - Cammeray		35
Crows Nest - Waverton	1991	1155
