SA2_NAME16	Age	workers
Cooma Region	60-64	67
Cooma Region	65-69	56
Cooma Region	70-74	45
Cooma Region	75+	48
Jindabyne - Berridale	15-19	311
Jindabyne - Berridale	20-24	805
Jindabyne - Berridale	25-29	645
Jindabyne - Berridale	30-34	383
Jindabyne - Berridale	35-39	343
Jindabyne - Berridale	40-44	418
Jindabyne - Berridale	45-49	412
Jindabyne - Berridale	50-54	410
Jindabyne - Berridale	55-59	359
Jindabyne - Berridale	60-64	229
Jindabyne - Berridale	65-69	124
Jindabyne - Berridale	70-74	64
Jindabyne - Berridale	75+	34
Batemans Bay	15-19	355
Batemans Bay	20-24	293
Batemans Bay	25-29	303
Batemans Bay	30-34	360
Batemans Bay	35-39	358
Batemans Bay	40-44	461
Batemans Bay	45-49	478
Batemans Bay	50-54	511
Batemans Bay	55-59	505
Batemans Bay	60-64	373
Batemans Bay	65-69	135
Batemans Bay	70-74	36
Batemans Bay	75+	27
Batemans Bay - South	15-19	61
Batemans Bay - South	20-24	54
Batemans Bay - South	25-29	63
Batemans Bay - South	30-34	70
Batemans Bay - South	35-39	88
Batemans Bay - South	40-44	116
Batemans Bay - South	45-49	127
Batemans Bay - South	50-54	173
Batemans Bay - South	55-59	180
Batemans Bay - South	60-64	126
Batemans Bay - South	65-69	61
Batemans Bay - South	70-74	19
Batemans Bay - South	75+	11
Bega - Tathra	15-19	310
Bega - Tathra	20-24	320
Bega - Tathra	25-29	319
Bega - Tathra	30-34	412
Bega - Tathra	35-39	412
Bega - Tathra	40-44	511
Bega - Tathra	45-49	629
Bega - Tathra	50-54	751
Bega - Tathra	55-59	712
Bega - Tathra	60-64	450
Bega - Tathra	65-69	167
Bega - Tathra	70-74	70
Bega - Tathra	75+	36
Bega-Eden Hinterland	15-19	59
Bega-Eden Hinterland	20-24	55
Bega-Eden Hinterland	25-29	68
Bega-Eden Hinterland	30-34	74
Bega-Eden Hinterland	35-39	98
Bega-Eden Hinterland	40-44	105
Bega-Eden Hinterland	45-49	152
Bega-Eden Hinterland	50-54	170
Bega-Eden Hinterland	55-59	220
Bega-Eden Hinterland	60-64	190
Bega-Eden Hinterland	65-69	113
Bega-Eden Hinterland	70-74	52
Bega-Eden Hinterland	75+	46
Broulee - Tomakin	15-19	47
Broulee - Tomakin	20-24	49
Broulee - Tomakin	25-29	33
Broulee - Tomakin	30-34	57
Broulee - Tomakin	35-39	66
Broulee - Tomakin	40-44	95
Broulee - Tomakin	45-49	94
Broulee - Tomakin	50-54	98
Broulee - Tomakin	55-59	78
Broulee - Tomakin	60-64	47
Broulee - Tomakin	65-69	15
Broulee - Tomakin	70-74	9
Broulee - Tomakin	75+	4
Eden	15-19	54
Eden	20-24	65
Eden	25-29	83
Eden	30-34	96
Eden	35-39	104
Eden	40-44	150
Eden	45-49	152
Eden	50-54	171
Eden	55-59	204
Eden	60-64	135
Eden	65-69	68
Eden	70-74	25
Eden	75+	19
Eurobodalla Hinterland	15-19	33
Eurobodalla Hinterland	20-24	48
Eurobodalla Hinterland	25-29	38
Eurobodalla Hinterland	30-34	46
Eurobodalla Hinterland	35-39	61
Eurobodalla Hinterland	40-44	73
Eurobodalla Hinterland	45-49	93
Eurobodalla Hinterland	50-54	85
Eurobodalla Hinterland	55-59	94
Eurobodalla Hinterland	60-64	81
Eurobodalla Hinterland	65-69	53
Eurobodalla Hinterland	70-74	29
Eurobodalla Hinterland	75+	6
Merimbula - Tura Beach	15-19	285
Merimbula - Tura Beach	20-24	242
Merimbula - Tura Beach	25-29	205
Merimbula - Tura Beach	30-34	260
Merimbula - Tura Beach	35-39	289
Merimbula - Tura Beach	40-44	341
Merimbula - Tura Beach	45-49	436
Merimbula - Tura Beach	50-54	457
Merimbula - Tura Beach	55-59	491
Merimbula - Tura Beach	60-64	339
Merimbula - Tura Beach	65-69	167
Merimbula - Tura Beach	70-74	52
Merimbula - Tura Beach	75+	21
Moruya - Tuross Head	15-19	195
Moruya - Tuross Head	20-24	221
Moruya - Tuross Head	25-29	206
Moruya - Tuross Head	30-34	231
Moruya - Tuross Head	35-39	260
Moruya - Tuross Head	40-44	340
Moruya - Tuross Head	45-49	391
Moruya - Tuross Head	50-54	468
Moruya - Tuross Head	55-59	490
Moruya - Tuross Head	60-64	353
Moruya - Tuross Head	65-69	117
Moruya - Tuross Head	70-74	33
Moruya - Tuross Head	75+	23
Narooma - Bermagui	15-19	123
Narooma - Bermagui	20-24	118
Narooma - Bermagui	25-29	156
Narooma - Bermagui	30-34	155
Narooma - Bermagui	35-39	193
Narooma - Bermagui	40-44	218
Narooma - Bermagui	45-49	270
Narooma - Bermagui	50-54	315
Narooma - Bermagui	55-59	358
Narooma - Bermagui	60-64	340
Narooma - Bermagui	65-69	147
Narooma - Bermagui	70-74	56
Narooma - Bermagui	75+	26
Goulburn	15-19	702
Goulburn	20-24	884
Goulburn	25-29	934
Goulburn	30-34	954
Goulburn	35-39	907
Goulburn	40-44	1047
Goulburn	45-49	1137
Goulburn	50-54	1199
Goulburn	55-59	1045
Goulburn	60-64	705
Goulburn	65-69	289
Goulburn	70-74	114
Goulburn	75+	47
Goulburn Region	15-19	171
Goulburn Region	20-24	191
Goulburn Region	25-29	240
Goulburn Region	30-34	269
Goulburn Region	35-39	257
Goulburn Region	40-44	306
Goulburn Region	45-49	330
Goulburn Region	50-54	409
Goulburn Region	55-59	404
Goulburn Region	60-64	314
Goulburn Region	65-69	249
Goulburn Region	70-74	136
Goulburn Region	75+	126
Yass	15-19	204
Yass	20-24	207
Yass	25-29	193
Yass	30-34	194
Yass	35-39	201
Yass	40-44	239
Yass	45-49	237
Yass	50-54	221
Yass	55-59	226
Yass	60-64	166
Yass	65-69	88
Yass	70-74	25
Yass	75+	26
Yass Region	15-19	132
Yass Region	20-24	188
Yass Region	25-29	134
Yass Region	30-34	158
Yass Region	35-39	158
Yass Region	40-44	208
Yass Region	45-49	213
Yass Region	50-54	253
Yass Region	55-59	238
Yass Region	60-64	199
Yass Region	65-69	185
Yass Region	70-74	127
Yass Region	75+	103
Young	15-19	317
Young	20-24	368
Young	25-29	354
Young	30-34	374
Young	35-39	457
Young	40-44	468
Young	45-49	473
Young	50-54	526
Young	55-59	453
Young	60-64	311
Young	65-69	170
Young	70-74	62
Young	75+	37
Young Region	15-19	92
Young Region	20-24	167
Young Region	25-29	163
Young Region	30-34	155
Young Region	35-39	162
Young Region	40-44	213
Young Region	45-49	283
Young Region	50-54	284
Young Region	55-59	274
Young Region	60-64	260
Young Region	65-69	164
Young Region	70-74	90
Young Region	75+	85
Avoca Beach - Copacabana	15-19	108
Avoca Beach - Copacabana	20-24	91
Avoca Beach - Copacabana	25-29	81
Avoca Beach - Copacabana	30-34	90
Avoca Beach - Copacabana	35-39	97
Avoca Beach - Copacabana	40-44	128
Avoca Beach - Copacabana	45-49	145
Avoca Beach - Copacabana	50-54	109
Avoca Beach - Copacabana	55-59	112
Avoca Beach - Copacabana	60-64	68
Avoca Beach - Copacabana	65-69	34
Avoca Beach - Copacabana	70-74	11
Avoca Beach - Copacabana	75+	8
Box Head - MacMasters Beach	15-19	87
Box Head - MacMasters Beach	20-24	117
Box Head - MacMasters Beach	25-29	96
Box Head - MacMasters Beach	30-34	103
Box Head - MacMasters Beach	35-39	101
Box Head - MacMasters Beach	40-44	135
Box Head - MacMasters Beach	45-49	162
Box Head - MacMasters Beach	50-54	157
Box Head - MacMasters Beach	55-59	164
Box Head - MacMasters Beach	60-64	101
Box Head - MacMasters Beach	65-69	63
Box Head - MacMasters Beach	70-74	36
Box Head - MacMasters Beach	75+	18
Calga - Kulnura	15-19	195
Calga - Kulnura	20-24	476
Calga - Kulnura	25-29	472
Calga - Kulnura	30-34	554
Calga - Kulnura	35-39	525
Calga - Kulnura	40-44	578
Calga - Kulnura	45-49	701
Calga - Kulnura	50-54	636
Calga - Kulnura	55-59	509
Calga - Kulnura	60-64	312
Calga - Kulnura	65-69	152
Calga - Kulnura	70-74	69
Calga - Kulnura	75+	45
Erina - Green Point	15-19	1076
Erina - Green Point	20-24	1179
Erina - Green Point	25-29	853
Erina - Green Point	30-34	796
Erina - Green Point	35-39	872
Erina - Green Point	40-44	920
Erina - Green Point	45-49	987
Erina - Green Point	50-54	985
Erina - Green Point	55-59	887
Erina - Green Point	60-64	573
Erina - Green Point	65-69	216
Erina - Green Point	70-74	68
Erina - Green Point	75+	33
Gosford - Springfield	15-19	796
Gosford - Springfield	20-24	1499
Gosford - Springfield	25-29	1822
Gosford - Springfield	30-34	1874
Gosford - Springfield	35-39	1918
Gosford - Springfield	40-44	2211
Gosford - Springfield	45-49	2274
Gosford - Springfield	50-54	2217
Gosford - Springfield	55-59	2156
Gosford - Springfield	60-64	1307
Gosford - Springfield	65-69	536
Gosford - Springfield	70-74	164
Gosford - Springfield	75+	65
Kariong	15-19	60
Kariong	20-24	93
Kariong	25-29	112
Kariong	30-34	121
Kariong	35-39	119
Kariong	40-44	183
Kariong	45-49	162
Kariong	50-54	175
Kariong	55-59	139
Kariong	60-64	91
Kariong	65-69	27
Kariong	70-74	9
Kariong	75+	6
Kincumber - Picketts Valley	15-19	215
Kincumber - Picketts Valley	20-24	186
Kincumber - Picketts Valley	25-29	167
Kincumber - Picketts Valley	30-34	142
Kincumber - Picketts Valley	35-39	173
Kincumber - Picketts Valley	40-44	225
Kincumber - Picketts Valley	45-49	260
Kincumber - Picketts Valley	50-54	260
Kincumber - Picketts Valley	55-59	246
Kincumber - Picketts Valley	60-64	184
Kincumber - Picketts Valley	65-69	74
Kincumber - Picketts Valley	70-74	22
Kincumber - Picketts Valley	75+	8
Narara	15-19	20
Narara	20-24	46
Narara	25-29	60
Narara	30-34	71
Narara	35-39	76
Narara	40-44	77
Narara	45-49	83
Narara	50-54	98
Narara	55-59	91
Narara	60-64	68
Narara	65-69	24
Narara	70-74	5
Narara	75+	4
Niagara Park - Lisarow	15-19	183
Niagara Park - Lisarow	20-24	226
Niagara Park - Lisarow	25-29	199
Niagara Park - Lisarow	30-34	239
Niagara Park - Lisarow	35-39	264
Niagara Park - Lisarow	40-44	293
Niagara Park - Lisarow	45-49	316
Niagara Park - Lisarow	50-54	336
Niagara Park - Lisarow	55-59	328
Niagara Park - Lisarow	60-64	202
Niagara Park - Lisarow	65-69	54
Niagara Park - Lisarow	70-74	14
Niagara Park - Lisarow	75+	6
Point Clare - Koolewong	15-19	23
Point Clare - Koolewong	20-24	35
Point Clare - Koolewong	25-29	49
Point Clare - Koolewong	30-34	60
Point Clare - Koolewong	35-39	74
Point Clare - Koolewong	40-44	95
Point Clare - Koolewong	45-49	110
Point Clare - Koolewong	50-54	131
Point Clare - Koolewong	55-59	114
Point Clare - Koolewong	60-64	75
Point Clare - Koolewong	65-69	42
Point Clare - Koolewong	70-74	21
Point Clare - Koolewong	75+	8
Saratoga - Davistown	15-19	49
Saratoga - Davistown	20-24	55
Saratoga - Davistown	25-29	50
Saratoga - Davistown	30-34	61
Saratoga - Davistown	35-39	69
Saratoga - Davistown	40-44	80
Saratoga - Davistown	45-49	92
Saratoga - Davistown	50-54	80
Saratoga - Davistown	55-59	79
Saratoga - Davistown	60-64	48
Saratoga - Davistown	65-69	29
Saratoga - Davistown	70-74	15
Saratoga - Davistown	75+	4
Terrigal - North Avoca	15-19	268
Terrigal - North Avoca	20-24	314
Terrigal - North Avoca	25-29	275
Terrigal - North Avoca	30-34	256
Terrigal - North Avoca	35-39	250
Terrigal - North Avoca	40-44	304
Terrigal - North Avoca	45-49	305
Terrigal - North Avoca	50-54	285
Terrigal - North Avoca	55-59	260
Terrigal - North Avoca	60-64	181
Terrigal - North Avoca	65-69	95
Terrigal - North Avoca	70-74	49
Terrigal - North Avoca	75+	10
Umina - Booker Bay - Patonga	15-19	313
Umina - Booker Bay - Patonga	20-24	321
Umina - Booker Bay - Patonga	25-29	272
Umina - Booker Bay - Patonga	30-34	320
Umina - Booker Bay - Patonga	35-39	341
Umina - Booker Bay - Patonga	40-44	400
Umina - Booker Bay - Patonga	45-49	417
Umina - Booker Bay - Patonga	50-54	410
Umina - Booker Bay - Patonga	55-59	386
Umina - Booker Bay - Patonga	60-64	282
Umina - Booker Bay - Patonga	65-69	149
Umina - Booker Bay - Patonga	70-74	53
Umina - Booker Bay - Patonga	75+	22
Wamberal - Forresters Beach	15-19	81
Wamberal - Forresters Beach	20-24	130
Wamberal - Forresters Beach	25-29	149
Wamberal - Forresters Beach	30-34	137
Wamberal - Forresters Beach	35-39	153
Wamberal - Forresters Beach	40-44	199
Wamberal - Forresters Beach	45-49	192
Wamberal - Forresters Beach	50-54	168
Wamberal - Forresters Beach	55-59	143
Wamberal - Forresters Beach	60-64	102
Wamberal - Forresters Beach	65-69	41
Wamberal - Forresters Beach	70-74	16
Wamberal - Forresters Beach	75+	5
Woy Woy - Blackwall	15-19	361
Woy Woy - Blackwall	20-24	346
Woy Woy - Blackwall	25-29	323
Woy Woy - Blackwall	30-34	303
Woy Woy - Blackwall	35-39	321
Woy Woy - Blackwall	40-44	357
Woy Woy - Blackwall	45-49	447
Woy Woy - Blackwall	50-54	423
Woy Woy - Blackwall	55-59	466
Woy Woy - Blackwall	60-64	282
Woy Woy - Blackwall	65-69	122
Woy Woy - Blackwall	70-74	46
Woy Woy - Blackwall	75+	22
Wyoming	15-19	270
Wyoming	20-24	247
Wyoming	25-29	213
Wyoming	30-34	217
Wyoming	35-39	191
Wyoming	40-44	210
Wyoming	45-49	264
Wyoming	50-54	271
Wyoming	55-59	274
Wyoming	60-64	209
Wyoming	65-69	102
Wyoming	70-74	42
Wyoming	75+	12
Bateau Bay - Killarney Vale	15-19	423
Bateau Bay - Killarney Vale	20-24	399
Bateau Bay - Killarney Vale	25-29	284
Bateau Bay - Killarney Vale	30-34	351
Bateau Bay - Killarney Vale	35-39	313
Bateau Bay - Killarney Vale	40-44	393
Bateau Bay - Killarney Vale	45-49	410
Bateau Bay - Killarney Vale	50-54	426
Bateau Bay - Killarney Vale	55-59	483
Bateau Bay - Killarney Vale	60-64	333
Bateau Bay - Killarney Vale	65-69	140
Bateau Bay - Killarney Vale	70-74	37
Bateau Bay - Killarney Vale	75+	26
Blue Haven - San Remo	15-19	54
Blue Haven - San Remo	20-24	135
Blue Haven - San Remo	25-29	126
Blue Haven - San Remo	30-34	94
Blue Haven - San Remo	35-39	117
Blue Haven - San Remo	40-44	131
Blue Haven - San Remo	45-49	138
Blue Haven - San Remo	50-54	126
Blue Haven - San Remo	55-59	103
Blue Haven - San Remo	60-64	51
Blue Haven - San Remo	65-69	24
Blue Haven - San Remo	70-74	5
Blue Haven - San Remo	75+	4
Budgewoi - Buff Point - Halekulani	15-19	96
Budgewoi - Buff Point - Halekulani	20-24	87
Budgewoi - Buff Point - Halekulani	25-29	71
Budgewoi - Buff Point - Halekulani	30-34	84
Budgewoi - Buff Point - Halekulani	35-39	79
Budgewoi - Buff Point - Halekulani	40-44	97
Budgewoi - Buff Point - Halekulani	45-49	104
Budgewoi - Buff Point - Halekulani	50-54	104
Budgewoi - Buff Point - Halekulani	55-59	108
Budgewoi - Buff Point - Halekulani	60-64	80
Budgewoi - Buff Point - Halekulani	65-69	25
Budgewoi - Buff Point - Halekulani	70-74	12
Budgewoi - Buff Point - Halekulani	75+	3
Chittaway Bay - Tumbi Umbi	15-19	312
Chittaway Bay - Tumbi Umbi	20-24	376
Chittaway Bay - Tumbi Umbi	25-29	423
Chittaway Bay - Tumbi Umbi	30-34	438
Chittaway Bay - Tumbi Umbi	35-39	509
Chittaway Bay - Tumbi Umbi	40-44	610
Chittaway Bay - Tumbi Umbi	45-49	653
Chittaway Bay - Tumbi Umbi	50-54	644
Chittaway Bay - Tumbi Umbi	55-59	521
Chittaway Bay - Tumbi Umbi	60-64	302
Chittaway Bay - Tumbi Umbi	65-69	98
Chittaway Bay - Tumbi Umbi	70-74	35
Chittaway Bay - Tumbi Umbi	75+	16
Gorokan - Kanwal - Charmhaven	15-19	622
Gorokan - Kanwal - Charmhaven	20-24	498
Gorokan - Kanwal - Charmhaven	25-29	388
Gorokan - Kanwal - Charmhaven	30-34	409
Gorokan - Kanwal - Charmhaven	35-39	349
Gorokan - Kanwal - Charmhaven	40-44	361
Gorokan - Kanwal - Charmhaven	45-49	378
Gorokan - Kanwal - Charmhaven	50-54	412
Gorokan - Kanwal - Charmhaven	55-59	367
Gorokan - Kanwal - Charmhaven	60-64	237
Gorokan - Kanwal - Charmhaven	65-69	83
Gorokan - Kanwal - Charmhaven	70-74	35
Gorokan - Kanwal - Charmhaven	75+	12
Jilliby - Yarramalong	15-19	94
Jilliby - Yarramalong	20-24	87
Jilliby - Yarramalong	25-29	56
Jilliby - Yarramalong	30-34	55
Jilliby - Yarramalong	35-39	65
Jilliby - Yarramalong	40-44	77
Jilliby - Yarramalong	45-49	81
Jilliby - Yarramalong	50-54	82
Jilliby - Yarramalong	55-59	80
Jilliby - Yarramalong	60-64	61
Jilliby - Yarramalong	65-69	31
Jilliby - Yarramalong	70-74	5
Jilliby - Yarramalong	75+	11
Lake Munmorah - Mannering Park	15-19	97
Lake Munmorah - Mannering Park	20-24	143
Lake Munmorah - Mannering Park	25-29	169
Lake Munmorah - Mannering Park	30-34	192
Lake Munmorah - Mannering Park	35-39	166
Lake Munmorah - Mannering Park	40-44	173
Lake Munmorah - Mannering Park	45-49	178
Lake Munmorah - Mannering Park	50-54	227
Lake Munmorah - Mannering Park	55-59	233
Lake Munmorah - Mannering Park	60-64	136
Lake Munmorah - Mannering Park	65-69	59
Lake Munmorah - Mannering Park	70-74	24
Lake Munmorah - Mannering Park	75+	5
Ourimbah - Fountaindale	15-19	67
Ourimbah - Fountaindale	20-24	156
Ourimbah - Fountaindale	25-29	151
Ourimbah - Fountaindale	30-34	203
Ourimbah - Fountaindale	35-39	205
Ourimbah - Fountaindale	40-44	218
Ourimbah - Fountaindale	45-49	228
Ourimbah - Fountaindale	50-54	280
Ourimbah - Fountaindale	55-59	241
Ourimbah - Fountaindale	60-64	147
Ourimbah - Fountaindale	65-69	74
Ourimbah - Fountaindale	70-74	23
Ourimbah - Fountaindale	75+	6
Summerland Point - Gwandalan	15-19	18
Summerland Point - Gwandalan	20-24	54
Summerland Point - Gwandalan	25-29	40
Summerland Point - Gwandalan	30-34	42
Summerland Point - Gwandalan	35-39	38
Summerland Point - Gwandalan	40-44	48
Summerland Point - Gwandalan	45-49	60
Summerland Point - Gwandalan	50-54	73
Summerland Point - Gwandalan	55-59	44
Summerland Point - Gwandalan	60-64	27
Summerland Point - Gwandalan	65-69	14
Summerland Point - Gwandalan	70-74	7
Summerland Point - Gwandalan	75+	3
The Entrance	15-19	268
The Entrance	20-24	372
The Entrance	25-29	300
The Entrance	30-34	275
The Entrance	35-39	296
The Entrance	40-44	364
The Entrance	45-49	326
The Entrance	50-54	315
The Entrance	55-59	286
The Entrance	60-64	235
The Entrance	65-69	106
The Entrance	70-74	52
The Entrance	75+	23
Toukley - Norah Head	15-19	115
Toukley - Norah Head	20-24	213
Toukley - Norah Head	25-29	195
Toukley - Norah Head	30-34	217
Toukley - Norah Head	35-39	209
Toukley - Norah Head	40-44	229
Toukley - Norah Head	45-49	256
Toukley - Norah Head	50-54	244
Toukley - Norah Head	55-59	236
Toukley - Norah Head	60-64	156
Toukley - Norah Head	65-69	59
Toukley - Norah Head	70-74	18
Toukley - Norah Head	75+	14
Tuggerah - Kangy Angy	15-19	838
Tuggerah - Kangy Angy	20-24	1161
Tuggerah - Kangy Angy	25-29	1013
Tuggerah - Kangy Angy	30-34	985
Tuggerah - Kangy Angy	35-39	896
Tuggerah - Kangy Angy	40-44	1021
Tuggerah - Kangy Angy	45-49	1048
Tuggerah - Kangy Angy	50-54	898
Tuggerah - Kangy Angy	55-59	717
Tuggerah - Kangy Angy	60-64	482
Tuggerah - Kangy Angy	65-69	159
Tuggerah - Kangy Angy	70-74	69
Tuggerah - Kangy Angy	75+	11
Warnervale - Wadalba	15-19	289
Warnervale - Wadalba	20-24	427
Warnervale - Wadalba	25-29	524
Warnervale - Wadalba	30-34	557
Warnervale - Wadalba	35-39	613
Warnervale - Wadalba	40-44	770
Warnervale - Wadalba	45-49	727
Warnervale - Wadalba	50-54	753
Warnervale - Wadalba	55-59	671
Warnervale - Wadalba	60-64	396
Warnervale - Wadalba	65-69	173
Warnervale - Wadalba	70-74	40
Warnervale - Wadalba	75+	13
Wyong	15-19	306
Wyong	20-24	370
Wyong	25-29	428
Wyong	30-34	515
Wyong	35-39	542
Wyong	40-44	612
Wyong	45-49	657
Wyong	50-54	609
Wyong	55-59	511
Wyong	60-64	370
Wyong	65-69	134
Wyong	70-74	41
Wyong	75+	13
Bathurst	15-19	868
Bathurst	20-24	1457
Bathurst	25-29	1312
Bathurst	30-34	1237
Bathurst	35-39	1203
Bathurst	40-44	1349
Bathurst	45-49	1378
Bathurst	50-54	1313
Bathurst	55-59	1214
Bathurst	60-64	882
Bathurst	65-69	345
Bathurst	70-74	121
Bathurst	75+	77
Bathurst - East	15-19	226
Bathurst - East	20-24	322
Bathurst - East	25-29	368
Bathurst - East	30-34	363
Bathurst - East	35-39	322
Bathurst - East	40-44	394
Bathurst - East	45-49	410
Bathurst - East	50-54	418
Bathurst - East	55-59	377
Bathurst - East	60-64	214
Bathurst - East	65-69	100
Bathurst - East	70-74	32
Bathurst - East	75+	18
Bathurst Region	15-19	58
Bathurst Region	20-24	64
Bathurst Region	25-29	79
Bathurst Region	30-34	84
Bathurst Region	35-39	77
Bathurst Region	40-44	96
Bathurst Region	45-49	127
Bathurst Region	50-54	125
Bathurst Region	55-59	130
Bathurst Region	60-64	128
Bathurst Region	65-69	124
Bathurst Region	70-74	78
Bathurst Region	75+	58
Oberon	15-19	102
Oberon	20-24	151
Oberon	25-29	184
Oberon	30-34	156
Oberon	35-39	185
Oberon	40-44	211
Oberon	45-49	237
Oberon	50-54	210
Oberon	55-59	220
Oberon	60-64	187
Oberon	65-69	133
Oberon	70-74	78
Oberon	75+	32
Condobolin	15-19	90
Condobolin	20-24	211
Condobolin	25-29	210
Condobolin	30-34	247
Condobolin	35-39	214
Condobolin	40-44	227
Condobolin	45-49	249
Condobolin	50-54	276
Condobolin	55-59	285
Condobolin	60-64	224
Condobolin	65-69	143
Condobolin	70-74	69
Condobolin	75+	78
Cowra	15-19	267
Cowra	20-24	352
Cowra	25-29	298
Cowra	30-34	306
Cowra	35-39	325
Cowra	40-44	376
Cowra	45-49	439
Cowra	50-54	434
Cowra	55-59	373
Cowra	60-64	325
Cowra	65-69	136
Cowra	70-74	58
Cowra	75+	29
Cowra Region	15-19	67
Cowra Region	20-24	94
Cowra Region	25-29	106
Cowra Region	30-34	110
Cowra Region	35-39	112
Cowra Region	40-44	152
Cowra Region	45-49	168
Cowra Region	50-54	198
Cowra Region	55-59	153
Cowra Region	60-64	179
Cowra Region	65-69	101
Cowra Region	70-74	62
Cowra Region	75+	67
Forbes	15-19	233
Forbes	20-24	336
Forbes	25-29	377
Forbes	30-34	350
Forbes	35-39	364
Forbes	40-44	371
Forbes	45-49	413
Forbes	50-54	473
Forbes	55-59	421
Forbes	60-64	317
Forbes	65-69	163
Forbes	70-74	79
Forbes	75+	86
Grenfell	15-19	50
Grenfell	20-24	53
Grenfell	25-29	63
Grenfell	30-34	78
Grenfell	35-39	116
Grenfell	40-44	121
Grenfell	45-49	124
Grenfell	50-54	148
Grenfell	55-59	158
Grenfell	60-64	139
Grenfell	65-69	91
Grenfell	70-74	48
Grenfell	75+	37
Parkes (NSW)	15-19	315
Parkes (NSW)	20-24	376
Parkes (NSW)	25-29	359
Parkes (NSW)	30-34	389
Parkes (NSW)	35-39	367
Parkes (NSW)	40-44	418
Parkes (NSW)	45-49	451
Parkes (NSW)	50-54	469
Parkes (NSW)	55-59	434
Parkes (NSW)	60-64	281
Parkes (NSW)	65-69	129
Parkes (NSW)	70-74	47
Parkes (NSW)	75+	17
Parkes Region	15-19	42
Parkes Region	20-24	94
Parkes Region	25-29	102
Parkes Region	30-34	153
Parkes Region	35-39	119
Parkes Region	40-44	155
Parkes Region	45-49	151
Parkes Region	50-54	160
Parkes Region	55-59	154
Parkes Region	60-64	138
Parkes Region	65-69	73
Parkes Region	70-74	50
Parkes Region	75+	54
West Wyalong	15-19	120
West Wyalong	20-24	195
West Wyalong	25-29	200
West Wyalong	30-34	233
West Wyalong	35-39	250
West Wyalong	40-44	271
West Wyalong	45-49	252
West Wyalong	50-54	279
West Wyalong	55-59	307
West Wyalong	60-64	225
West Wyalong	65-69	120
West Wyalong	70-74	60
