SA2_NAME16	Age	Sex	workers
Merimbula - Tura Beach	30-34	M	111
Merimbula - Tura Beach	35-39	F	155
Merimbula - Tura Beach	35-39	M	140
Merimbula - Tura Beach	40-44	F	196
Merimbula - Tura Beach	40-44	M	144
Merimbula - Tura Beach	45-49	F	246
Merimbula - Tura Beach	45-49	M	191
Merimbula - Tura Beach	50-54	F	271
Merimbula - Tura Beach	50-54	M	191
Merimbula - Tura Beach	55-59	F	276
Merimbula - Tura Beach	55-59	M	211
Merimbula - Tura Beach	60-64	F	176
Merimbula - Tura Beach	60-64	M	163
Merimbula - Tura Beach	65-69	F	68
Merimbula - Tura Beach	65-69	M	101
Merimbula - Tura Beach	70-74	F	17
Merimbula - Tura Beach	70-74	M	31
Merimbula - Tura Beach	75+	F	7
Merimbula - Tura Beach	75+	M	22
Moruya - Tuross Head	15-19	F	107
Moruya - Tuross Head	15-19	M	94
Moruya - Tuross Head	20-24	F	102
Moruya - Tuross Head	20-24	M	118
Moruya - Tuross Head	25-29	F	107
Moruya - Tuross Head	25-29	M	97
Moruya - Tuross Head	30-34	F	115
Moruya - Tuross Head	30-34	M	111
Moruya - Tuross Head	35-39	F	133
Moruya - Tuross Head	35-39	M	127
Moruya - Tuross Head	40-44	F	182
Moruya - Tuross Head	40-44	M	154
Moruya - Tuross Head	45-49	F	204
Moruya - Tuross Head	45-49	M	186
Moruya - Tuross Head	50-54	F	265
Moruya - Tuross Head	50-54	M	201
Moruya - Tuross Head	55-59	F	265
Moruya - Tuross Head	55-59	M	225
Moruya - Tuross Head	60-64	F	179
Moruya - Tuross Head	60-64	M	174
Moruya - Tuross Head	65-69	F	52
Moruya - Tuross Head	65-69	M	58
Moruya - Tuross Head	70-74	F	9
Moruya - Tuross Head	70-74	M	23
Moruya - Tuross Head	75+	F	5
Moruya - Tuross Head	75+	M	17
Narooma - Bermagui	15-19	F	75
Narooma - Bermagui	15-19	M	50
Narooma - Bermagui	20-24	F	58
Narooma - Bermagui	20-24	M	65
Narooma - Bermagui	25-29	F	75
Narooma - Bermagui	25-29	M	78
Narooma - Bermagui	30-34	F	82
Narooma - Bermagui	30-34	M	78
Narooma - Bermagui	35-39	F	111
Narooma - Bermagui	35-39	M	80
Narooma - Bermagui	40-44	F	112
Narooma - Bermagui	40-44	M	109
Narooma - Bermagui	45-49	F	154
Narooma - Bermagui	45-49	M	118
Narooma - Bermagui	50-54	F	178
Narooma - Bermagui	50-54	M	132
Narooma - Bermagui	55-59	F	189
Narooma - Bermagui	55-59	M	169
Narooma - Bermagui	60-64	F	184
Narooma - Bermagui	60-64	M	153
Narooma - Bermagui	65-69	F	64
Narooma - Bermagui	65-69	M	83
Narooma - Bermagui	70-74	F	22
Narooma - Bermagui	70-74	M	35
Narooma - Bermagui	75+	F	8
Narooma - Bermagui	75+	M	13
Goulburn	15-19	F	373
Goulburn	15-19	M	335
Goulburn	20-24	F	424
Goulburn	20-24	M	458
Goulburn	25-29	F	506
Goulburn	25-29	M	421
Goulburn	30-34	F	513
Goulburn	30-34	M	442
Goulburn	35-39	F	478
Goulburn	35-39	M	427
Goulburn	40-44	F	570
Goulburn	40-44	M	477
Goulburn	45-49	F	627
Goulburn	45-49	M	505
Goulburn	50-54	F	656
Goulburn	50-54	M	542
Goulburn	55-59	F	549
Goulburn	55-59	M	492
Goulburn	60-64	F	358
Goulburn	60-64	M	342
Goulburn	65-69	F	124
Goulburn	65-69	M	167
Goulburn	70-74	F	41
Goulburn	70-74	M	66
Goulburn	75+	F	23
Goulburn	75+	M	28
Goulburn Region	15-19	F	75
Goulburn Region	15-19	M	92
Goulburn Region	20-24	F	62
Goulburn Region	20-24	M	132
Goulburn Region	25-29	F	86
Goulburn Region	25-29	M	150
Goulburn Region	30-34	F	111
Goulburn Region	30-34	M	164
Goulburn Region	35-39	F	101
Goulburn Region	35-39	M	158
Goulburn Region	40-44	F	124
Goulburn Region	40-44	M	180
Goulburn Region	45-49	F	136
Goulburn Region	45-49	M	193
Goulburn Region	50-54	F	184
Goulburn Region	50-54	M	231
Goulburn Region	55-59	F	167
Goulburn Region	55-59	M	237
Goulburn Region	60-64	F	128
Goulburn Region	60-64	M	187
Goulburn Region	65-69	F	96
Goulburn Region	65-69	M	156
