SA2_NAME16	IncomeTotPersonal.max	PublicSector	LevelOfGovt	workers
Queanbeyan - East	34125	0		149
Queanbeyan - East	42000			3
Queanbeyan - East	42000	0		296
Queanbeyan - East	42000	1	State territory	3
Queanbeyan - East	52500			5
Queanbeyan - East	52500	0		414
Queanbeyan - East	52500	1	Local	10
Queanbeyan - East	52500	1	National	4
Queanbeyan - East	52500	1	State territory	11
Queanbeyan - East	65625			3
Queanbeyan - East	65625	0		466
Queanbeyan - East	65625	1	Local	13
Queanbeyan - East	65625	1	National	12
Queanbeyan - East	65625	1	State territory	7
Queanbeyan - East	78750			4
Queanbeyan - East	78750	0		293
Queanbeyan - East	78750	1	Local	17
Queanbeyan - East	78750	1	National	10
Queanbeyan - East	78750	1	State territory	7
Queanbeyan - East	91875	0		193
Queanbeyan - East	91875	1	Local	13
Queanbeyan - East	91875	1	State territory	3
Queanbeyan - East	105000	0		118
Queanbeyan - East	105000	1	Local	3
Queanbeyan - East	105000	1	National	3
Queanbeyan - East	105000	1	State territory	6
Queanbeyan - East	157500			3
Queanbeyan - East	157500	0		143
Queanbeyan - East	157500	1	Local	6
Queanbeyan - East	Inf	0		58
Queanbeyan Region				9
Queanbeyan Region		0		28
Queanbeyan Region		1	Local	3
Queanbeyan Region		1	National	9
Queanbeyan Region	0			3
Queanbeyan Region	0	0		44
Queanbeyan Region	7875	0		117
Queanbeyan Region	15750	0		98
Queanbeyan Region	15750	1	National	3
Queanbeyan Region	21000	0		123
Queanbeyan Region	26250	0		118
Queanbeyan Region	26250	1	State territory	4
Queanbeyan Region	34125			3
Queanbeyan Region	34125	0		182
Queanbeyan Region	34125	1	Local	3
Queanbeyan Region	34125	1	National	4
Queanbeyan Region	34125	1	State territory	3
Queanbeyan Region	42000	0		176
Queanbeyan Region	42000	1	Local	10
Queanbeyan Region	42000	1	National	3
Queanbeyan Region	42000	1	State territory	3
Queanbeyan Region	52500			3
Queanbeyan Region	52500	0		261
Queanbeyan Region	52500	1	Local	15
Queanbeyan Region	52500	1	National	7
Queanbeyan Region	52500	1	State territory	6
Queanbeyan Region	65625			3
Queanbeyan Region	65625	0		275
Queanbeyan Region	65625	1	Local	16
Queanbeyan Region	65625	1	National	21
Queanbeyan Region	65625	1	State territory	10
Queanbeyan Region	78750			4
Queanbeyan Region	78750	0		185
Queanbeyan Region	78750	1	Local	14
Queanbeyan Region	78750	1	National	56
Queanbeyan Region	78750	1	State territory	8
Queanbeyan Region	91875			3
Queanbeyan Region	91875	0		166
Queanbeyan Region	91875	1	Local	11
Queanbeyan Region	91875	1	National	76
Queanbeyan Region	91875	1	State territory	6
Queanbeyan Region	105000	0		85
Queanbeyan Region	105000	1	Local	9
Queanbeyan Region	105000	1	National	74
Queanbeyan Region	105000	1	State territory	6
Queanbeyan Region	157500	0		145
Queanbeyan Region	157500	1	Local	4
Queanbeyan Region	157500	1	National	219
Queanbeyan Region	157500	1	State territory	16
Queanbeyan Region	Inf	0		108
Queanbeyan Region	Inf	1	Local	5
Queanbeyan Region	Inf	1	National	93
Queanbeyan Region	Inf	1	State territory	3
Queanbeyan West - Jerrabomberra				3
Queanbeyan West - Jerrabomberra		0		22
Queanbeyan West - Jerrabomberra	0	0		9
Queanbeyan West - Jerrabomberra	7875	0		68
Queanbeyan West - Jerrabomberra	15750			3
Queanbeyan West - Jerrabomberra	15750	0		65
Queanbeyan West - Jerrabomberra	21000			5
Queanbeyan West - Jerrabomberra	21000	0		63
Queanbeyan West - Jerrabomberra	21000	1	National	3
Queanbeyan West - Jerrabomberra	26250			3
Queanbeyan West - Jerrabomberra	26250	0		87
Queanbeyan West - Jerrabomberra	34125			4
Queanbeyan West - Jerrabomberra	34125	0		134
Queanbeyan West - Jerrabomberra	42000	0		168
Queanbeyan West - Jerrabomberra	42000	1	Local	3
Queanbeyan West - Jerrabomberra	42000	1	State territory	4
Queanbeyan West - Jerrabomberra	52500			3
Queanbeyan West - Jerrabomberra	52500	0		276
Queanbeyan West - Jerrabomberra	52500	1	State territory	9
Queanbeyan West - Jerrabomberra	65625			3
Queanbeyan West - Jerrabomberra	65625	0		308
Queanbeyan West - Jerrabomberra	65625	1	State territory	14
Queanbeyan West - Jerrabomberra	78750			4
Queanbeyan West - Jerrabomberra	78750	0		241
Queanbeyan West - Jerrabomberra	78750	1	National	4
Queanbeyan West - Jerrabomberra	78750	1	State territory	3
Queanbeyan West - Jerrabomberra	91875	0		203
Queanbeyan West - Jerrabomberra	91875	1	State territory	12
Queanbeyan West - Jerrabomberra	105000	0		127
Queanbeyan West - Jerrabomberra	105000	1	State territory	13
Queanbeyan West - Jerrabomberra	157500	0		135
Queanbeyan West - Jerrabomberra	157500	1	National	3
Queanbeyan West - Jerrabomberra	157500	1	State territory	3
Queanbeyan West - Jerrabomberra	Inf			3
Queanbeyan West - Jerrabomberra	Inf	0		75
Queanbeyan West - Jerrabomberra	Inf	1	National	4
Bombala		0		21
Bombala	0			3
Bombala	0	0		19
Bombala	7875			3
Bombala	7875	0		29
Bombala	15750	0		47
Bombala	21000	0		41
Bombala	21000	1	Local	3
Bombala	21000	1	State territory	4
Bombala	26250	0		54
Bombala	26250	1	State territory	3
Bombala	34125	0		89
Bombala	34125	1	State territory	6
Bombala	42000	0		101
Bombala	42000	1	Local	8
Bombala	42000	1	State territory	15
Bombala	52500			3
Bombala	52500	0		134
Bombala	52500	1	Local	5
Bombala	52500	1	State territory	18
Bombala	65625	0		120
Bombala	65625	1	Local	10
Bombala	65625	1	State territory	10
Bombala	78750	0		78
Bombala	78750	1	Local	11
Bombala	78750	1	State territory	14
Bombala	91875	0		58
Bombala	91875	1	Local	11
Bombala	91875	1	State territory	6
Bombala	105000	0		31
Bombala	105000	1	Local	3
Bombala	105000	1	State territory	17
Bombala	157500	0		33
Bombala	157500	1	State territory	13
Bombala	Inf	0		18
Bombala	Inf	1	State territory	3
Cooma				9
Cooma		0		46
Cooma		1	National	3
Cooma		1	State territory	3
Cooma	0			3
Cooma	0	0		22
Cooma	7875	0		138
Cooma	7875	1	National	3
Cooma	15750	0		141
Cooma	15750	1	State territory	3
Cooma	21000			3
Cooma	21000	0		139
Cooma	21000	1	Local	4
Cooma	21000	1	State territory	3
Cooma	26250	0		218
Cooma	26250	1	State territory	6
Cooma	34125			3
Cooma	34125	0		342
Cooma	34125	1	Local	6
Cooma	34125	1	State territory	28
Cooma	42000			4
Cooma	42000	0		408
Cooma	42000	1	Local	17
Cooma	42000	1	National	6
Cooma	42000	1	State territory	43
Cooma	52500			3
Cooma	52500	0		385
Cooma	52500	1	Local	25
Cooma	52500	1	National	14
Cooma	52500	1	State territory	58
Cooma	65625			4
Cooma	65625	0		279
Cooma	65625	1	Local	35
Cooma	65625	1	National	32
Cooma	65625	1	State territory	54
Cooma	78750	0		150
Cooma	78750	1	Local	22
Cooma	78750	1	National	27
Cooma	78750	1	State territory	68
Cooma	91875	0		102
Cooma	91875	1	Local	13
Cooma	91875	1	National	9
Cooma	91875	1	State territory	63
Cooma	105000	0		70
Cooma	105000	1	Local	9
Cooma	105000	1	National	8
Cooma	105000	1	State territory	82
Cooma	157500	0		79
Cooma	157500	1	Local	10
Cooma	157500	1	State territory	87
Cooma	Inf	0		51
Cooma	Inf	1	Local	5
Cooma	Inf	1	State territory	38
Cooma Region				3
Cooma Region		0		5
Cooma Region	0	0		20
Cooma Region	7875	0		20
Cooma Region	15750	0		41
Cooma Region	21000	0		58
Cooma Region	26250	0		57
Cooma Region	34125			3
Cooma Region	34125	0		88
Cooma Region	42000	0		58
Cooma Region	42000	1	State territory	4
Cooma Region	52500	0		84
Cooma Region	52500	1	Local	4
Cooma Region	65625	0		69
Cooma Region	65625	1	State territory	3
Cooma Region	78750	0		50
Cooma Region	91875	0		35
Cooma Region	91875	1	State territory	3
Cooma Region	105000	0		19
Cooma Region	157500	0		31
Cooma Region	157500	1	State territory	4
Cooma Region	Inf	0		20
Jindabyne - Berridale				10
Jindabyne - Berridale		0		78
Jindabyne - Berridale		1	State territory	3
Jindabyne - Berridale	0	0		40
Jindabyne - Berridale	7875			3
Jindabyne - Berridale	7875	0		141
Jindabyne - Berridale	15750			3
Jindabyne - Berridale	15750	0		147
Jindabyne - Berridale	15750	1	State territory	3
Jindabyne - Berridale	21000	0		233
Jindabyne - Berridale	21000	1	State territory	3
Jindabyne - Berridale	26250			4
Jindabyne - Berridale	26250	0		294
Jindabyne - Berridale	26250	1	Local	4
Jindabyne - Berridale	26250	1	State territory	4
Jindabyne - Berridale	34125	0		634
Jindabyne - Berridale	34125	1	Local	9
Jindabyne - Berridale	34125	1	National	4
Jindabyne - Berridale	34125	1	State territory	11
Jindabyne - Berridale	42000			5
Jindabyne - Berridale	42000	0		714
Jindabyne - Berridale	42000	1	Local	11
Jindabyne - Berridale	42000	1	National	5
Jindabyne - Berridale	42000	1	State territory	9
Jindabyne - Berridale	52500			4
Jindabyne - Berridale	52500	0		646
Jindabyne - Berridale	52500	1	Local	23
Jindabyne - Berridale	52500	1	State territory	13
Jindabyne - Berridale	65625			3
Jindabyne - Berridale	65625	0		516
Jindabyne - Berridale	65625	1	Local	21
Jindabyne - Berridale	65625	1	State territory	31
Jindabyne - Berridale	78750	0		242
Jindabyne - Berridale	78750	1	Local	14
Jindabyne - Berridale	78750	1	National	3
Jindabyne - Berridale	78750	1	State territory	40
Jindabyne - Berridale	91875	0		186
Jindabyne - Berridale	91875	1	Local	13
Jindabyne - Berridale	91875	1	State territory	16
Jindabyne - Berridale	105000			3
Jindabyne - Berridale	105000	0		99
Jindabyne - Berridale	105000	1	Local	8
Jindabyne - Berridale	105000	1	State territory	41
Jindabyne - Berridale	157500	0		114
Jindabyne - Berridale	157500	1	Local	9
Jindabyne - Berridale	157500	1	State territory	38
Jindabyne - Berridale	Inf	0		72
Jindabyne - Berridale	Inf	1	State territory	3
Batemans Bay				17
Batemans Bay		0		77
Batemans Bay		1	National	3
Batemans Bay	0			3
Batemans Bay	0	0		28
Batemans Bay	7875			3
Batemans Bay	7875	0		207
Batemans Bay	7875	1	National	4
Batemans Bay	7875	1	State territory	3
Batemans Bay	15750			7
Batemans Bay	15750	0		171
Batemans Bay	15750	1	National	7
Batemans Bay	21000			3
Batemans Bay	21000	0		206
Batemans Bay	21000	1	National	3
Batemans Bay	21000	1	State territory	11
Batemans Bay	26250	0		314
Batemans Bay	26250	1	National	5
Batemans Bay	26250	1	State territory	11
Batemans Bay	34125			3
Batemans Bay	34125	0		466
Batemans Bay	34125	1	Local	5
Batemans Bay	34125	1	National	21
Batemans Bay	34125	1	State territory	12
Batemans Bay	42000			3
Batemans Bay	42000	0		536
Batemans Bay	42000	1	Local	6
Batemans Bay	42000	1	National	15
Batemans Bay	42000	1	State territory	29
Batemans Bay	52500			4
Batemans Bay	52500	0		579
Batemans Bay	52500	1	Local	9
Batemans Bay	52500	1	National	27
Batemans Bay	52500	1	State territory	31
Batemans Bay	65625	0		413
Batemans Bay	65625	1	Local	8
Batemans Bay	65625	1	National	69
Batemans Bay	65625	1	State territory	55
Batemans Bay	78750	0		195
Batemans Bay	78750	1	Local	3
Batemans Bay	78750	1	National	37
Batemans Bay	78750	1	State territory	45
Batemans Bay	91875	0		125
Batemans Bay	91875	1	National	13
Batemans Bay	91875	1	State territory	57
Batemans Bay	105000	0		68
Batemans Bay	105000	1	National	12
Batemans Bay	105000	1	State territory	59
Batemans Bay	157500			3
Batemans Bay	157500	0		81
Batemans Bay	157500	1	National	4
Batemans Bay	157500	1	State territory	61
Batemans Bay	Inf	0		59
Batemans Bay	Inf	1	State territory	15
Batemans Bay - South				4
Batemans Bay - South		0		11
Batemans Bay - South		1	State territory	3
Batemans Bay - South	0	0		10
Batemans Bay - South	0	1	State territory	3
Batemans Bay - South	7875			3
Batemans Bay - South	7875	0		43
Batemans Bay - South	15750	0		49
Batemans Bay - South	15750	1	State territory	3
Batemans Bay - South	21000	0		57
Batemans Bay - South	26250			3
Batemans Bay - South	26250	0		99
Batemans Bay - South	26250	1	State territory	4
Batemans Bay - South	34125	0		134
Batemans Bay - South	34125	1	State territory	5
Batemans Bay - South	42000	0		160
Batemans Bay - South	42000	1	State territory	14
Batemans Bay - South	52500	0		144
Batemans Bay - South	52500	1	Local	3
Batemans Bay - South	52500	1	State territory	18
Batemans Bay - South	65625	0		92
Batemans Bay - South	65625	1	Local	5
Batemans Bay - South	65625	1	State territory	4
Batemans Bay - South	78750	0		53
Batemans Bay - South	78750	1	Local	3
Batemans Bay - South	78750	1	State territory	13
Batemans Bay - South	91875	0		44
Batemans Bay - South	91875	1	State territory	19
Batemans Bay - South	105000	0		24
Batemans Bay - South	105000	1	State territory	21
Batemans Bay - South	157500	0		33
Batemans Bay - South	157500	1	State territory	16
Batemans Bay - South	Inf	0		18
Bega - Tathra				10
Bega - Tathra		0		68
Bega - Tathra		1	State territory	4
Bega - Tathra	0			7
Bega - Tathra	0	0		29
Bega - Tathra	7875			9
Bega - Tathra	7875	0		186
Bega - Tathra	7875	1	State territory	4
Bega - Tathra	15750	0		176
Bega - Tathra	15750	1	State territory	4
Bega - Tathra	21000			9
Bega - Tathra	21000	0		196
Bega - Tathra	21000	1	State territory	3
Bega - Tathra	26250			4
Bega - Tathra	26250	0		311
Bega - Tathra	26250	1	Local	6
Bega - Tathra	26250	1	National	6
Bega - Tathra	26250	1	State territory	8
Bega - Tathra	34125			6
Bega - Tathra	34125	0		440
Bega - Tathra	34125	1	Local	14
Bega - Tathra	34125	1	National	10
Bega - Tathra	34125	1	State territory	28
Bega - Tathra	42000			5
Bega - Tathra	42000	0		519
Bega - Tathra	42000	1	Local	21
Bega - Tathra	42000	1	National	9
Bega - Tathra	42000	1	State territory	55
Bega - Tathra	52500			7
Bega - Tathra	52500	0		619
Bega - Tathra	52500	1	Local	48
Bega - Tathra	52500	1	National	9
Bega - Tathra	52500	1	State territory	77
Bega - Tathra	65625			3
Bega - Tathra	65625	0		569
Bega - Tathra	65625	1	Local	65
Bega - Tathra	65625	1	National	14
Bega - Tathra	65625	1	State territory	100
Bega - Tathra	78750	0		340
Bega - Tathra	78750	1	Local	52
Bega - Tathra	78750	1	National	17
Bega - Tathra	78750	1	State territory	78
Bega - Tathra	91875	0		216
Bega - Tathra	91875	1	Local	44
Bega - Tathra	91875	1	National	22
Bega - Tathra	91875	1	State territory	76
Bega - Tathra	105000	0		136
Bega - Tathra	105000	1	Local	26
Bega - Tathra	105000	1	National	4
Bega - Tathra	105000	1	State territory	77
Bega - Tathra	157500	0		147
Bega - Tathra	157500	1	Local	24
Bega - Tathra	157500	1	National	6
Bega - Tathra	157500	1	State territory	81
Bega - Tathra	Inf	0		74
Bega - Tathra	Inf	1	Local	7
Bega - Tathra	Inf	1	National	3
Bega - Tathra	Inf	1	State territory	12
Bega-Eden Hinterland		0		26
Bega-Eden Hinterland	0	0		37
Bega-Eden Hinterland	7875	0		61
Bega-Eden Hinterland	7875	1	National	3
Bega-Eden Hinterland	15750			4
Bega-Eden Hinterland	15750	0		98
Bega-Eden Hinterland	15750	1	National	4
Bega-Eden Hinterland	15750	1	State territory	5
Bega-Eden Hinterland	21000	0		140
Bega-Eden Hinterland	26250			3
Bega-Eden Hinterland	26250	0		106
Bega-Eden Hinterland	26250	1	State territory	6
Bega-Eden Hinterland	34125			3
Bega-Eden Hinterland	34125	0		159
Bega-Eden Hinterland	34125	1	State territory	9
Bega-Eden Hinterland	42000	0		166
Bega-Eden Hinterland	42000	1	State territory	5
Bega-Eden Hinterland	52500	0		155
Bega-Eden Hinterland	52500	1	State territory	8
Bega-Eden Hinterland	65625	0		138
Bega-Eden Hinterland	65625	1	State territory	3
Bega-Eden Hinterland	78750	0		78
Bega-Eden Hinterland	78750	1	National	3
Bega-Eden Hinterland	78750	1	State territory	3
Bega-Eden Hinterland	91875	0		47
Bega-Eden Hinterland	105000			3
Bega-Eden Hinterland	105000	0		32
Bega-Eden Hinterland	105000	1	State territory	8
Bega-Eden Hinterland	157500	0		29
Bega-Eden Hinterland	157500	1	National	3
Bega-Eden Hinterland	157500	1	State territory	4
Bega-Eden Hinterland	Inf	0		25
Broulee - Tomakin				4
Broulee - Tomakin		0		9
Broulee - Tomakin	0	0		12
Broulee - Tomakin	7875	0		30
Broulee - Tomakin	15750	0		23
Broulee - Tomakin	21000	0		33
Broulee - Tomakin	21000	1	State territory	5
Broulee - Tomakin	26250	0		55
Broulee - Tomakin	26250	1	State territory	5
Broulee - Tomakin	34125	0		76
Broulee - Tomakin	34125	1	State territory	6
Broulee - Tomakin	42000	0		93
Broulee - Tomakin	42000	1	State territory	6
Broulee - Tomakin	52500	0		83
Broulee - Tomakin	52500	1	State territory	8
Broulee - Tomakin	65625	0		59
Broulee - Tomakin	65625	1	State territory	13
Broulee - Tomakin	78750	0		44
Broulee - Tomakin	78750	1	Local	3
Broulee - Tomakin	78750	1	State territory	14
Broulee - Tomakin	91875	0		27
Broulee - Tomakin	91875	1	State territory	11
Broulee - Tomakin	105000	0		28
Broulee - Tomakin	105000	1	State territory	13
Broulee - Tomakin	157500	0		19
Broulee - Tomakin	157500	1	State territory	6
Broulee - Tomakin	Inf	0		14
Deua - Wadbilliga	15750	0		3
Eden		0		14
Eden	0	0		6
Eden	7875	0		43
Eden	7875	1	State territory	3
Eden	15750	0		59
Eden	15750	1	State territory	3
Eden	21000	0		72
Eden	26250	0		117
Eden	26250	1	National	3
Eden	26250	1	State territory	4
Eden	34125	0		165
Eden	34125	1	Local	3
Eden	34125	1	State territory	14
Eden	42000	0		180
Eden	42000	1	State territory	9
Eden	52500			3
Eden	52500	0		157
Eden	52500	1	Local	3
Eden	52500	1	State territory	14
Eden	65625	0		135
Eden	65625	1	Local	7
Eden	65625	1	State territory	13
Eden	78750			3
Eden	78750	0		81
Eden	78750	1	National	4
Eden	78750	1	State territory	21
Eden	91875	0		40
Eden	91875	1	State territory	17
Eden	105000	0		27
Eden	105000	1	State territory	28
Eden	157500	0		25
Eden	157500	1	State territory	15
Eden	Inf	0		11
Eden	Inf	1	State territory	3
Eurobodalla Hinterland		0		15
Eurobodalla Hinterland	0	0		9
Eurobodalla Hinterland	7875	0		37
Eurobodalla Hinterland	7875	1	National	3
Eurobodalla Hinterland	15750	0		55
Eurobodalla Hinterland	15750	1	State territory	6
Eurobodalla Hinterland	21000	0		52
Eurobodalla Hinterland	21000	1	State territory	3
Eurobodalla Hinterland	26250			3
Eurobodalla Hinterland	26250	0		63
Eurobodalla Hinterland	34125	0		100
Eurobodalla Hinterland	34125	1	State territory	3
Eurobodalla Hinterland	42000	0		117
Eurobodalla Hinterland	42000	1	National	3
Eurobodalla Hinterland	52500	0		82
Eurobodalla Hinterland	52500	1	State territory	4
Eurobodalla Hinterland	65625	0		61
Eurobodalla Hinterland	65625	1	Local	3
Eurobodalla Hinterland	65625	1	State territory	7
Eurobodalla Hinterland	78750	0		48
Eurobodalla Hinterland	78750	1	State territory	5
Eurobodalla Hinterland	91875	0		18
Eurobodalla Hinterland	91875	1	National	3
Eurobodalla Hinterland	105000	0		3
Eurobodalla Hinterland	105000	1	State territory	4
Eurobodalla Hinterland	157500	0		18
Eurobodalla Hinterland	157500	1	State territory	3
Eurobodalla Hinterland	Inf	0		12
Merimbula - Tura Beach				6
Merimbula - Tura Beach		0		55
Merimbula - Tura Beach	0	0		20
Merimbula - Tura Beach	7875			3
Merimbula - Tura Beach	7875	0		191
Merimbula - Tura Beach	15750			3
Merimbula - Tura Beach	15750	0		191
Merimbula - Tura Beach	15750	1	Local	3
Merimbula - Tura Beach	15750	1	State territory	4
Merimbula - Tura Beach	21000			5
Merimbula - Tura Beach	21000	0		203
Merimbula - Tura Beach	21000	1	State territory	9
Merimbula - Tura Beach	26250			9
Merimbula - Tura Beach	26250	0		318
Merimbula - Tura Beach	26250	1	State territory	3
Merimbula - Tura Beach	34125			3
Merimbula - Tura Beach	34125	0		460
Merimbula - Tura Beach	34125	1	Local	3
Merimbula - Tura Beach	34125	1	State territory	17
Merimbula - Tura Beach	42000			3
Merimbula - Tura Beach	42000	0		512
Merimbula - Tura Beach	42000	1	State territory	19
Merimbula - Tura Beach	52500			4
Merimbula - Tura Beach	52500	0		474
Merimbula - Tura Beach	52500	1	Local	3
Merimbula - Tura Beach	52500	1	National	3
Merimbula - Tura Beach	52500	1	State territory	30
Merimbula - Tura Beach	65625	0		363
Merimbula - Tura Beach	65625	1	National	4
Merimbula - Tura Beach	65625	1	State territory	15
Merimbula - Tura Beach	78750	0		183
Merimbula - Tura Beach	78750	1	Local	4
Merimbula - Tura Beach	78750	1	National	3
Merimbula - Tura Beach	78750	1	State territory	10
Merimbula - Tura Beach	91875	0		154
Merimbula - Tura Beach	91875	1	National	3
Merimbula - Tura Beach	91875	1	State territory	13
Merimbula - Tura Beach	105000	0		97
Merimbula - Tura Beach	105000	1	State territory	20
Merimbula - Tura Beach	157500	0		89
Merimbula - Tura Beach	157500	1	State territory	14
Merimbula - Tura Beach	Inf	0		52
Merimbula - Tura Beach	Inf	1	State territory	7
Moruya - Tuross Head				9
Moruya - Tuross Head		0		37
Moruya - Tuross Head		1	Local	4
Moruya - Tuross Head		1	State territory	5
Moruya - Tuross Head	0			3
Moruya - Tuross Head	0	0		22
Moruya - Tuross Head	7875			3
Moruya - Tuross Head	7875	0		118
Moruya - Tuross Head	7875	1	Local	5
Moruya - Tuross Head	7875	1	National	4
Moruya - Tuross Head	15750			3
Moruya - Tuross Head	15750	0		130
Moruya - Tuross Head	15750	1	National	3
Moruya - Tuross Head	15750	1	State territory	18
Moruya - Tuross Head	21000			8
Moruya - Tuross Head	21000	0		169
Moruya - Tuross Head	21000	1	Local	6
Moruya - Tuross Head	21000	1	State territory	5
Moruya - Tuross Head	26250	0		205
Moruya - Tuross Head	26250	1	Local	16
Moruya - Tuross Head	26250	1	State territory	14
Moruya - Tuross Head	34125			3
Moruya - Tuross Head	34125	0		319
Moruya - Tuross Head	34125	1	Local	27
Moruya - Tuross Head	34125	1	National	3
Moruya - Tuross Head	34125	1	State territory	23
Moruya - Tuross Head	42000			14
Moruya - Tuross Head	42000	0		382
Moruya - Tuross Head	42000	1	Local	28
Moruya - Tuross Head	42000	1	State territory	39
Moruya - Tuross Head	52500			3
Moruya - Tuross Head	52500	0		368
Moruya - Tuross Head	52500	1	Local	60
Moruya - Tuross Head	52500	1	National	5
Moruya - Tuross Head	52500	1	State territory	69
Moruya - Tuross Head	65625			5
Moruya - Tuross Head	65625	0		256
Moruya - Tuross Head	65625	1	Local	106
Moruya - Tuross Head	65625	1	National	3
Moruya - Tuross Head	65625	1	State territory	59
Moruya - Tuross Head	78750	0		146
Moruya - Tuross Head	78750	1	Local	66
Moruya - Tuross Head	78750	1	State territory	50
Moruya - Tuross Head	91875	0		86
Moruya - Tuross Head	91875	1	Local	40
Moruya - Tuross Head	91875	1	National	4
Moruya - Tuross Head	91875	1	State territory	58
Moruya - Tuross Head	105000	0		71
Moruya - Tuross Head	105000	1	Local	22
Moruya - Tuross Head	105000	1	State territory	44
Moruya - Tuross Head	157500	0		71
Moruya - Tuross Head	157500	1	Local	20
Moruya - Tuross Head	157500	1	State territory	34
Moruya - Tuross Head	Inf	0		45
Moruya - Tuross Head	Inf	1	Local	7
Moruya - Tuross Head	Inf	1	State territory	13
Narooma - Bermagui				3
Narooma - Bermagui		0		43
