SA2_NAME16	Sex	workers
Bourke - Brewarrina	M	759
Cobar	F	885
Cobar	M	1381
Coonamble	F	722
Coonamble	M	781
Nyngan - Warren	F	973
Nyngan - Warren	M	1279
Walgett - Lightning Ridge	F	1013
Walgett - Lightning Ridge	M	1119
Broken Hill	F	3397
Broken Hill	M	3450
Far West	F	413
Far West	M	603
Coonabarabran	F	1296
Coonabarabran	M	1330
Dubbo - East	F	2862
Dubbo - East	M	3623
Dubbo - South	F	5852
Dubbo - South	M	4069
Dubbo - West	F	930
Dubbo - West	M	1178
Dubbo Region	F	340
Dubbo Region	M	697
Gilgandra	F	749
Gilgandra	M	856
Narromine	F	981
Narromine	M	1306
Wellington	F	1130
Wellington	M	1205
Branxton - Greta - Pokolbin	F	2137
Branxton - Greta - Pokolbin	M	1859
Cessnock	F	3856
Cessnock	M	2495
Cessnock Region	F	568
Cessnock Region	M	1073
Dungog	F	1136
Dungog	M	1017
Kurri Kurri - Abermain	F	1855
Kurri Kurri - Abermain	M	1486
Singleton	F	3596
Singleton	M	4556
Singleton Region	F	1049
Singleton Region	M	5844
Maitland	F	4151
Maitland	M	2314
Maitland - East	F	4663
Maitland - East	M	2975
Maitland - North	F	585
Maitland - North	M	407
Maitland - West	F	3213
Maitland - West	M	4284
Thornton - Millers Forest	F	1401
Thornton - Millers Forest	M	2444
Anna Bay	F	386
Anna Bay	M	410
Lemon Tree Passage - Tanilba Bay	F	470
Lemon Tree Passage - Tanilba Bay	M	328
Nelson Bay Peninsula	F	3969
Nelson Bay Peninsula	M	2787
Raymond Terrace	F	3378
Raymond Terrace	M	6518
Seaham - Woodville	F	297
Seaham - Woodville	M	439
Tea Gardens - Hawks Nest	F	572
Tea Gardens - Hawks Nest	M	536
Williamtown - Medowie - Karuah	F	2091
Williamtown - Medowie - Karuah	M	4433
Muswellbrook	F	2801
Muswellbrook	M	4663
Muswellbrook Region	F	665
Muswellbrook Region	M	1369
Scone	F	1561
Scone	M	1231
Scone Region	F	1102
Scone Region	M	1143
Dapto - Avondale	F	2733
Dapto - Avondale	M	1896
Horsley - Kembla Grange	F	404
Horsley - Kembla Grange	M	440
Port Kembla Industrial	F	403
Port Kembla Industrial	M	2864
Unanderra - Mount Kembla	F	2687
Unanderra - Mount Kembla	M	6174
Berkeley - Lake Heights - Cringila	F	807
Berkeley - Lake Heights - Cringila	M	780
Port Kembla - Warrawong	F	3316
Port Kembla - Warrawong	M	4582
Windang - Primbee	F	196
Windang - Primbee	M	227
Illawarra Catchment Reserve	F	22
Illawarra Catchment Reserve	M	47
Albion Park - Macquarie Pass	F	1502
Albion Park - Macquarie Pass	M	958
Albion Park Rail	F	991
Albion Park Rail	M	1371
Kiama	F	1646
Kiama	M	1221
Kiama Downs - Minnamurra	F	281
Kiama Downs - Minnamurra	M	305
Kiama Hinterland - Gerringong	F	943
Kiama Hinterland - Gerringong	M	920
Shellharbour - Flinders	F	1244
Shellharbour - Flinders	M	1436
Shellharbour - Oak Flats	F	3555
Shellharbour - Oak Flats	M	2511
Warilla	F	2423
Warilla	M	1505
Balgownie - Fairy Meadow	F	2871
Balgownie - Fairy Meadow	M	2897
Corrimal - Tarrawanna - Bellambi	F	1850
Corrimal - Tarrawanna - Bellambi	M	1485
Figtree - Keiraville	F	3958
Figtree - Keiraville	M	2730
Helensburgh	F	985
Helensburgh	M	1049
Thirroul - Austinmer - Coalcliff	F	1313
Thirroul - Austinmer - Coalcliff	M	1026
Woonona - Bulli - Russell Vale	F	2050
Woonona - Bulli - Russell Vale	M	1520
Wollongong - East	F	11496
Wollongong - East	M	8953
Wollongong - West	F	5076
Wollongong - West	M	2399
Bulahdelah - Stroud	F	595
Bulahdelah - Stroud	M	707
Forster	F	2388
Forster	M	1898
Forster-Tuncurry Region	F	507
Forster-Tuncurry Region	M	577
Tuncurry	F	1249
Tuncurry	M	1073
Kempsey	F	3454
Kempsey	M	3079
Kempsey Region	F	657
Kempsey Region	M	1100
Macksville - Scotts Head	F	1131
Macksville - Scotts Head	M	1301
Nambucca Heads	F	1096
Nambucca Heads	M	803
Nambucca Heads Region	F	479
Nambucca Heads Region	M	722
South West Rocks	F	585
South West Rocks	M	463
Lord Howe Island	F	104
Lord Howe Island	M	112
Laurieton - Bonny Hills	F	1634
Laurieton - Bonny Hills	M	1442
Port Macquarie - East	F	5178
Port Macquarie - East	M	3544
Port Macquarie - West	F	5636
Port Macquarie - West	M	5753
Port Macquarie Region	F	394
Port Macquarie Region	M	783
Wauchope	F	1480
Wauchope	M	1663
Gloucester	F	840
Gloucester	M	917
Old Bar - Manning Point - Red Head	F	695
Old Bar - Manning Point - Red Head	M	686
Taree	F	5710
Taree	M	4871
Taree Region	F	671
Taree Region	M	907
Wingham	F	722
Wingham	M	755
Albury - East	F	2799
Albury - East	M	3040
Albury - North	F	935
Albury - North	M	959
Albury - South	F	7521
Albury - South	M	5069
Albury Region	F	1547
Albury Region	M	2146
Lavington	F	2006
Lavington	M	2031
Hay	F	601
Hay	M	713
Wentworth - Buronga	F	965
Wentworth - Buronga	M	1168
Wentworth-Balranald Region	F	609
Wentworth-Balranald Region	M	1072
Corowa	F	1068
Corowa	M	1222
Corowa Region	F	1030
Corowa Region	M	1633
Deniliquin	F	1667
Deniliquin	M	1536
Deniliquin Region	F	1094
Deniliquin Region	M	1663
Moama	F	903
Moama	M	886
Tocumwal - Finley - Jerilderie	F	1523
Tocumwal - Finley - Jerilderie	M	1730
Armidale	F	5803
Armidale	M	5138
Armidale Region - North	F	779
Armidale Region - North	M	1096
Armidale Region - South	F	566
Armidale Region - South	M	761
Walcha	F	609
Walcha	M	812
Glen Innes	F	1506
Glen Innes	M	1554
Inverell	F	2716
Inverell	M	2631
Inverell Region - East	F	429
Inverell Region - East	M	611
Inverell Region - West	F	782
Inverell Region - West	M	969
Tenterfield	F	1046
Tenterfield	M	1095
Moree	F	1987
Moree	M	1728
Moree Region	F	724
Moree Region	M	1487
Narrabri	F	1653
Narrabri	M	1444
Narrabri Region	F	712
Narrabri Region	M	1293
Gunnedah	F	2010
Gunnedah	M	1836
Gunnedah Region	F	588
Gunnedah Region	M	1636
Quirindi	F	1163
Quirindi	M	1494
Tamworth - East	F	3458
Tamworth - East	M	2546
Tamworth - North	F	6007
Tamworth - North	M	3911
Tamworth - West	F	1565
Tamworth - West	M	3973
Tamworth Region	F	1575
Tamworth Region	M	2010
Belmont - Bennetts Green	F	3022
Belmont - Bennetts Green	M	2755
Belmont South - Blacksmiths	F	252
Belmont South - Blacksmiths	M	272
Charlestown - Dudley	F	7425
Charlestown - Dudley	M	4616
Glendale - Cardiff - Hillsborough	F	4628
Glendale - Cardiff - Hillsborough	M	5595
Mount Hutton - Windale	F	939
Mount Hutton - Windale	M	554
Redhead	F	376
Redhead	M	533
Swansea - Caves Beach	F	1036
Swansea - Caves Beach	M	757
Valentine - Eleebana	F	575
Valentine - Eleebana	M	514
Warners Bay - Boolaroo	F	3154
Warners Bay - Boolaroo	M	3061
Bolton Point - Teralba	F	979
Bolton Point - Teralba	M	809
Bonnells Bay - Silverwater	F	440
Bonnells Bay - Silverwater	M	406
Edgeworth - Cameron Park	F	1292
Edgeworth - Cameron Park	M	1352
Morisset - Cooranbong	F	2756
Morisset - Cooranbong	M	3231
Toronto - Awaba	F	2480
Toronto - Awaba	M	1684
Wangi Wangi - Rathmines	F	496
Wangi Wangi - Rathmines	M	720
West Wallsend - Barnsley - Killingworth	F	449
West Wallsend - Barnsley - Killingworth	M	503
Adamstown - Kotara	F	4147
Adamstown - Kotara	M	2591
Beresfield - Hexham	F	2034
Beresfield - Hexham	M	4729
Hamilton - Broadmeadow	F	5582
Hamilton - Broadmeadow	M	6335
Lambton - New Lambton	F	6856
Lambton - New Lambton	M	3530
Maryland - Fletcher - Minmi	F	798
Maryland - Fletcher - Minmi	M	752
Mayfield - Warabrook	F	3262
Mayfield - Warabrook	M	4840
Merewether - The Junction	F	2131
Merewether - The Junction	M	1371
Newcastle - Cooks Hill	F	10657
Newcastle - Cooks Hill	M	8360
Newcastle Port - Kooragang	F	630
Newcastle Port - Kooragang	M	3460
Shortland - Jesmond	F	3968
Shortland - Jesmond	M	3561
Stockton - Fullerton Cove	F	1073
Stockton - Fullerton Cove	M	636
Wallsend - Elermore Vale	F	2879
Wallsend - Elermore Vale	M	2670
Waratah - North Lambton	F	3440
Waratah - North Lambton	M	1949
Wickham - Carrington - Tighes Hill	F	2405
Wickham - Carrington - Tighes Hill	M	3280
Ballina	F	4708
Ballina	M	4197
Ballina Region	F	2137
Ballina Region	M	2324
Bangalow	F	1011
Bangalow	M	1047
Brunswick Heads - Ocean Shores	F	889
Brunswick Heads - Ocean Shores	M	765
Byron Bay	F	3287
Byron Bay	M	2964
Evans Head	F	568
Evans Head	M	672
Lennox Head - Skennars Head	F	787
Lennox Head - Skennars Head	M	723
Mullumbimby	F	1478
Mullumbimby	M	1439
Casino	F	2230
Casino	M	2489
Casino Region	F	538
Casino Region	M	887
Goonellabah	F	1447
Goonellabah	M	1196
Kyogle	F	1023
Kyogle	M	1234
Lismore	F	8042
Lismore	M	6652
Lismore Region	F	1224
Lismore Region	M	1654
Kingscliff - Fingal Head	F	2132
Kingscliff - Fingal Head	M	1951
Murwillumbah	F	2448
Murwillumbah	M	2323
Murwillumbah Region	F	731
Murwillumbah Region	M	1015
Pottsville	F	1243
Pottsville	M	1062
Tweed Heads	F	4061
Tweed Heads	M	2981
Banora Point	F	1321
Banora Point	M	844
Terranora - North Tumblegum	F	258
Terranora - North Tumblegum	M	239
Tweed Heads South	F	2903
Tweed Heads South	M	2656
Griffith (NSW)	F	4639
Griffith (NSW)	M	4063
Griffith Region	F	2157
Griffith Region	M	3975
Leeton	F	1968
Leeton	M	2282
Narrandera	F	1019
Narrandera	M	1109
Tumbarumba	F	607
Tumbarumba	M	862
Tumut	F	1493
Tumut	M	1680
Tumut Region	F	516
Tumut Region	M	739
Cootamundra	F	1277
Cootamundra	M	1418
Gundagai	F	698
Gundagai	M	748
Junee	F	798
Junee	M	1028
Temora	F	1244
Temora	M	1243
Wagga Wagga - East	F	2495
Wagga Wagga - East	M	3585
Wagga Wagga - North	F	1086
Wagga Wagga - North	M	1730
Wagga Wagga - South	F	1858
Wagga Wagga - South	M	1281
Wagga Wagga - West	F	8672
Wagga Wagga - West	M	7059
Wagga Wagga Region	F	1813
Wagga Wagga Region	M	2854
Berry - Kangaroo Valley	F	1402
Berry - Kangaroo Valley	M	1386
Callala Bay - Currarong	F	188
Callala Bay - Currarong	M	211
Culburra Beach	F	397
Culburra Beach	M	402
Ettrema - Sassafras - Budawang	F	42
Ettrema - Sassafras - Budawang	M	34
Huskisson - Vincentia	F	1038
Huskisson - Vincentia	M	793
North Nowra - Bomaderry	F	1858
North Nowra - Bomaderry	M	2261
Nowra	F	7477
Nowra	M	7593
St Georges Basin - Erowal Bay	F	913
St Georges Basin - Erowal Bay	M	602
Sussex Inlet - Berrara	F	378
Sussex Inlet - Berrara	M	313
Tomerong - Wandandian - Woollamia	F	184
Tomerong - Wandandian - Woollamia	M	312
Ulladulla	F	2732
Ulladulla	M	2367
Ulladulla Region	F	294
Ulladulla Region	M	426
Bowral	F	3997
Bowral	M	2292
Hill Top - Colo Vale	F	243
Hill Top - Colo Vale	M	238
Mittagong	F	2022
Mittagong	M	2195
Moss Vale - Berrima	F	1925
Moss Vale - Berrima	M	2463
Robertson - Fitzroy Falls	F	430
Robertson - Fitzroy Falls	M	497
Southern Highlands	F	788
Southern Highlands	M	857
Baulkham Hills (East)	F	2449
Baulkham Hills (East)	M	1619
Baulkham Hills (West) - Bella Vista	F	11723
Baulkham Hills (West) - Bella Vista	M	11858
Glenhaven	F	465
Glenhaven	M	398
West Pennant Hills	F	1042
West Pennant Hills	M	1632
Castle Hill - Central	F	3827
Castle Hill - Central	M	4977
Castle Hill - East	F	887
Castle Hill - East	M	415
Castle Hill - North	F	3416
Castle Hill - North	M	2062
Castle Hill - South	F	1273
Castle Hill - South	M	874
Castle Hill - West	F	281
Castle Hill - West	M	192
Cherrybrook	F	1411
Cherrybrook	M	984
Kellyville	F	1949
Kellyville	M	1681
Dural - Kenthurst - Wisemans Ferry	F	3996
Dural - Kenthurst - Wisemans Ferry	M	4437
Galston - Laughtondale	F	867
Galston - Laughtondale	M	831
Bilpin - Colo - St Albans	F	222
Bilpin - Colo - St Albans	M	285
Kurrajong Heights - Ebenezer	F	1660
Kurrajong Heights - Ebenezer	M	1941
Pitt Town - McGraths Hill	F	2050
Pitt Town - McGraths Hill	M	2908
Rouse Hill - Beaumont Hills	F	3208
Rouse Hill - Beaumont Hills	M	2640
Blacktown (East) - Kings Park	F	9871
Blacktown (East) - Kings Park	M	10333
Blacktown (North) - Marayong	F	1122
Blacktown (North) - Marayong	M	722
Doonside - Woodcroft	F	1056
Doonside - Woodcroft	M	840
Lalor Park - Kings Langley	F	4356
Lalor Park - Kings Langley	M	8799
Seven Hills - Toongabbie	F	3167
Seven Hills - Toongabbie	M	3691
Blacktown (South)	F	615
Blacktown (South)	M	407
Blacktown (West)	F	890
Blacktown (West)	M	686
Glenwood	F	900
Glenwood	M	742
Parklea - Kellyville Ridge	F	2081
Parklea - Kellyville Ridge	M	1678
Riverstone - Marsden Park	F	2578
Riverstone - Marsden Park	M	4117
Acacia Gardens	F	150
Acacia Gardens	M	95
Quakers Hill	F	1415
Quakers Hill	M	1043
Bidwill - Hebersham - Emerton	F	974
Bidwill - Hebersham - Emerton	M	498
Glendenning - Dean Park	F	1467
Glendenning - Dean Park	M	3613
Hassall Grove - Plumpton	F	1342
Hassall Grove - Plumpton	M	822
Lethbridge Park - Tregear	F	661
Lethbridge Park - Tregear	M	416
Mount Druitt - Whalan	F	3949
Mount Druitt - Whalan	M	2969
Prospect Reservoir	F	5204
Prospect Reservoir	M	12765
Rooty Hill - Minchinbury	F	3843
Rooty Hill - Minchinbury	M	6530
Banksmeadow	F	1622
Banksmeadow	M	4085
Botany	F	2126
Botany	M	5003
Mascot - Eastlakes	F	8993
Mascot - Eastlakes	M	13424
Pagewood - Hillsdale - Daceyville	F	2205
Pagewood - Hillsdale - Daceyville	M	2038
Port Botany Industrial	F	869
Port Botany Industrial	M	3513
Sydney Airport	F	6182
Sydney Airport	M	9266
Marrickville	F	5711
Marrickville	M	7486
Petersham - Stanmore	F	2412
Petersham - Stanmore	M	2612
Sydenham - Tempe - St Peters	F	1958
Sydenham - Tempe - St Peters	M	3875
Darlinghurst	F	6722
Darlinghurst	M	5343
Erskineville - Alexandria	F	9527
Erskineville - Alexandria	M	14108
Glebe - Forest Lodge	F	3459
Glebe - Forest Lodge	M	3755
Newtown - Camperdown - Darlington	F	11771
Newtown - Camperdown - Darlington	M	8839
Potts Point - Woolloomooloo	F	5728
Potts Point - Woolloomooloo	M	9228
Pyrmont - Ultimo	F	16855
Pyrmont - Ultimo	M	19976
Redfern - Chippendale	F	6863
Redfern - Chippendale	M	7717
Surry Hills	F	15287
Surry Hills	M	14529
Sydney - Haymarket - The Rocks	F	149829
Sydney - Haymarket - The Rocks	M	170999
Waterloo - Beaconsfield	F	6230
Waterloo - Beaconsfield	M	8219
Bondi - Tamarama - Bronte	F	1574
Bondi - Tamarama - Bronte	M	1683
Bondi Beach - North Bondi	F	2041
Bondi Beach - North Bondi	M	2270
Bondi Junction - Waverly	F	8576
Bondi Junction - Waverly	M	6732
Centennial Park	F	53
Centennial Park	M	57
Double Bay - Bellevue Hill	F	5005
Double Bay - Bellevue Hill	M	4419
Dover Heights	F	785
Dover Heights	M	684
Paddington - Moore Park	F	4484
Paddington - Moore Park	M	4961
Rose Bay - Vaucluse - Watsons Bay	F	2171
Rose Bay - Vaucluse - Watsons Bay	M	2069
Woollahra	F	1662
Woollahra	M	1147
Coogee - Clovelly	F	1970
Coogee - Clovelly	M	1824
Malabar - La Perouse - Chifley	F	2383
Malabar - La Perouse - Chifley	M	2662
Kensington (NSW)	F	4602
Kensington (NSW)	M	4662
Kingsford	F	1025
Kingsford	M	1092
Maroubra - North	F	1070
Maroubra - North	M	850
Maroubra - South	F	671
Maroubra - South	M	593
Maroubra - West	F	1058
Maroubra - West	M	965
Randwick - North	F	2079
Randwick - North	M	1889
Randwick - South	F	7786
Randwick - South	M	4310
Bass Hill - Georges Hall	F	1781
Bass Hill - Georges Hall	M	1243
Chullora	F	2310
Chullora	M	5543
Condell Park	F	3655
Condell Park	M	9382
Greenacre - Mount Lewis	F	2542
Greenacre - Mount Lewis	M	3699
Padstow	F	1560
Padstow	M	2012
Panania - Milperra - Picnic Point	F	1829
Panania - Milperra - Picnic Point	M	1544
Revesby	F	1905
Revesby	M	1328
Yagoona - Birrong	F	1137
Yagoona - Birrong	M	1042
Bankstown - North	F	4236
Bankstown - North	M	3097
Bankstown - South	F	4789
Bankstown - South	M	5016
Belmore - Belfield	F	1565
Belmore - Belfield	M	2114
Canterbury (South) - Campsie	F	3667
Canterbury (South) - Campsie	M	3464
Kingsgrove (North) - Earlwood	F	2748
Kingsgrove (North) - Earlwood	M	4049
Punchbowl	F	1741
Punchbowl	M	2603
Roselands	F	1602
Roselands	M	1342
Lakemba	F	1364
Lakemba	M	1479
Wiley Park	F	337
Wiley Park	M	390
Hurstville	F	5806
Hurstville	M	3698
Mortdale - Penshurst	F	1779
Mortdale - Penshurst	M	1357
Narwee - Beverly Hills	F	959
Narwee - Beverly Hills	M	792
Oatley - Hurstville Grove	F	900
Oatley - Hurstville Grove	M	1059
Peakhurst - Lugarno	F	2027
Peakhurst - Lugarno	M	3436
Riverwood	F	851
Riverwood	M	995
South Hurstville - Blakehurst	F	1972
South Hurstville - Blakehurst	M	1796
Arncliffe - Bardwell Valley	F	1583
Arncliffe - Bardwell Valley	M	2429
Bexley	F	1638
Bexley	M	1535
Kingsgrove (South) - Bardwell Park	F	1101
Kingsgrove (South) - Bardwell Park	M	923
Kogarah	F	6783
Kogarah	M	4339
Kogarah Bay - Carlton - Allawah	F	1250
Kogarah Bay - Carlton - Allawah	M	1250
Monterey - Brighton-le-Sands - Kyeemagh	F	946
Monterey - Brighton-le-Sands - Kyeemagh	M	1082
Rockdale - Banksia	F	2642
Rockdale - Banksia	M	3156
Sans Souci - Ramsgate	F	1276
Sans Souci - Ramsgate	M	1131
Concord - Mortlake - Cabarita	F	1960
Concord - Mortlake - Cabarita	M	2160
Concord West - North Strathfield	F	9682
Concord West - North Strathfield	M	10138
Drummoyne - Rodd Point	F	2230
Drummoyne - Rodd Point	M	1916
Five Dock - Abbotsford	F	2581
Five Dock - Abbotsford	M	2799
Balmain	F	2526
Balmain	M	2431
Leichhardt - Annandale	F	5135
Leichhardt - Annandale	M	5293
Lilyfield - Rozelle	F	2740
Lilyfield - Rozelle	M	3014
Ashfield	F	4326
Ashfield	M	3425
Burwood - Croydon	F	7172
Burwood - Croydon	M	6136
Canterbury (North) - Ashbury	F	703
Canterbury (North) - Ashbury	M	878
Croydon Park - Enfield	F	1425
Croydon Park - Enfield	M	1338
Dulwich Hill - Lewisham	F	1348
Dulwich Hill - Lewisham	M	1292
Haberfield - Summer Hill	F	1786
Haberfield - Summer Hill	M	1581
Homebush	F	3916
Homebush	M	6897
Strathfield	F	4245
Strathfield	M	3489
Strathfield South	F	738
Strathfield South	M	1934
Chatswood (East) - Artarmon	F	13796
Chatswood (East) - Artarmon	M	13855
Chatswood (West) - Lane Cove North	F	1452
Chatswood (West) - Lane Cove North	M	1543
Lane Cove - Greenwich	F	5993
Lane Cove - Greenwich	M	6457
St Leonards - Naremburn	F	13838
St Leonards - Naremburn	M	15584
Willoughby - Castle Cove - Northbridge	F	3538
Willoughby - Castle Cove - Northbridge	M	3583
Asquith - Mount Colah	F	1769
Asquith - Mount Colah	M	2793
Berowra - Brooklyn - Cowan	F	862
Berowra - Brooklyn - Cowan	M	808
Normanhurst - Thornleigh - Westleigh	F	2503
Normanhurst - Thornleigh - Westleigh	M	2759
Hornsby - East	F	5446
Hornsby - East	M	4716
Hornsby - West	F	1563
Hornsby - West	M	1325
Waitara - Wahroonga (West)	F	1253
Waitara - Wahroonga (West)	M	1181
Gordon - Killara	F	3015
Gordon - Killara	M	2460
Lindfield - Roseville	F	2616
Lindfield - Roseville	M	2108
Pymble	F	3066
Pymble	M	2530
St Ives	F	2525
St Ives	M	1762
Turramurra	F	2331
Turramurra	M	1634
Wahroonga (East) - Warrawee	F	3976
Wahroonga (East) - Warrawee	M	2259
Cremorne - Cammeray	F	1898
Cremorne - Cammeray	M	1679
Crows Nest - Waverton	F	4324
Crows Nest - Waverton	M	4442
Mosman	F	4626
Mosman	M	4112
Neutral Bay - Kirribilli	F	3325
Neutral Bay - Kirribilli	M	3347
North Sydney - Lavender Bay	F	21310
North Sydney - Lavender Bay	M	27667
Balgowlah - Clontarf - Seaforth	F	2729
Balgowlah - Clontarf - Seaforth	M	2321
Manly - Fairlight	F	4721
Manly - Fairlight	M	3970
Avalon - Palm Beach	F	1776
Avalon - Palm Beach	M	1707
Bayview - Elanora Heights	F	1022
Bayview - Elanora Heights	M	1085
Newport - Bilgola	F	1290
Newport - Bilgola	M	1340
Warriewood - Mona Vale	F	6814
Warriewood - Mona Vale	M	6124
Beacon Hill - Narraweena	F	750
Beacon Hill - Narraweena	M	658
Cromer	F	1078
Cromer	M	1767
Dee Why - North Curl Curl	F	3097
Dee Why - North Curl Curl	M	2553
Forestville - Killarney Heights	F	1360
Forestville - Killarney Heights	M	1028
Frenchs Forest - Belrose	F	6661
Frenchs Forest - Belrose	M	7496
Freshwater - Brookvale	F	7256
Freshwater - Brookvale	M	8926
Manly Vale - Allambie Heights	F	2033
Manly Vale - Allambie Heights	M	1478
Narrabeen - Collaroy	F	2623
Narrabeen - Collaroy	M	2196
Terrey Hills - Duffys Forest	F	1056
Terrey Hills - Duffys Forest	M	1332
Camden - Ellis Lane	F	3092
Camden - Ellis Lane	M	1781
Elderslie - Harrington Park	F	3093
Elderslie - Harrington Park	M	2868
Mount Annan - Currans Hill	F	3504
Mount Annan - Currans Hill	M	6025
Bradbury - Wedderburn	F	1100
Bradbury - Wedderburn	M	691
Campbelltown - Woodbine	F	10979
Campbelltown - Woodbine	M	7350
Claymore - Eagle Vale - Raby	F	1248
Claymore - Eagle Vale - Raby	M	843
Ingleburn - Denham Court	F	3729
Ingleburn - Denham Court	M	7592
Leumeah - Minto Heights	F	839
Leumeah - Minto Heights	M	616
Macquarie Fields - Glenfield	F	1944
Macquarie Fields - Glenfield	M	1331
Minto - St Andrews	F	2881
Minto - St Andrews	M	4842
Rosemeadow - Glen Alpine	F	1448
Rosemeadow - Glen Alpine	M	800
