SA2_NAME16	EmploymentStatus	workers
Budgewoi - Buff Point - Halekulani	Owner managers of incorporated enterprises	89
Budgewoi - Buff Point - Halekulani	Owner managers of unincorporated enterprises	156
Budgewoi - Buff Point - Halekulani	Status in employment not stated	18
Chittaway Bay - Tumbi Umbi	Contributing family workers	58
Chittaway Bay - Tumbi Umbi	Employee	4049
Chittaway Bay - Tumbi Umbi	Owner managers of incorporated enterprises	356
Chittaway Bay - Tumbi Umbi	Owner managers of unincorporated enterprises	418
Chittaway Bay - Tumbi Umbi	Status in employment not stated	45
Gorokan - Kanwal - Charmhaven	Contributing family workers	44
Gorokan - Kanwal - Charmhaven	Employee	3505
Gorokan - Kanwal - Charmhaven	Owner managers of incorporated enterprises	218
Gorokan - Kanwal - Charmhaven	Owner managers of unincorporated enterprises	339
Gorokan - Kanwal - Charmhaven	Status in employment not stated	39
Jilliby - Yarramalong	Contributing family workers	40
Jilliby - Yarramalong	Employee	524
Jilliby - Yarramalong	Owner managers of incorporated enterprises	105
Jilliby - Yarramalong	Owner managers of unincorporated enterprises	104
Jilliby - Yarramalong	Status in employment not stated	9
Lake Munmorah - Mannering Park	Contributing family workers	34
Lake Munmorah - Mannering Park	Employee	1468
Lake Munmorah - Mannering Park	Owner managers of incorporated enterprises	114
Lake Munmorah - Mannering Park	Owner managers of unincorporated enterprises	158
Lake Munmorah - Mannering Park	Status in employment not stated	27
Ourimbah - Fountaindale	Contributing family workers	34
Ourimbah - Fountaindale	Employee	1667
Ourimbah - Fountaindale	Owner managers of incorporated enterprises	150
Ourimbah - Fountaindale	Owner managers of unincorporated enterprises	138
Ourimbah - Fountaindale	Status in employment not stated	14
Summerland Point - Gwandalan	Contributing family workers	25
Summerland Point - Gwandalan	Employee	274
Summerland Point - Gwandalan	Owner managers of incorporated enterprises	70
Summerland Point - Gwandalan	Owner managers of unincorporated enterprises	92
Summerland Point - Gwandalan	Status in employment not stated	4
The Entrance	Contributing family workers	80
The Entrance	Employee	2395
The Entrance	Owner managers of incorporated enterprises	323
The Entrance	Owner managers of unincorporated enterprises	389
The Entrance	Status in employment not stated	43
Toukley - Norah Head	Contributing family workers	47
Toukley - Norah Head	Employee	1642
Toukley - Norah Head	Owner managers of incorporated enterprises	160
Toukley - Norah Head	Owner managers of unincorporated enterprises	265
Toukley - Norah Head	Status in employment not stated	33
Tuggerah - Kangy Angy	Contributing family workers	67
Tuggerah - Kangy Angy	Employee	8302
Tuggerah - Kangy Angy	Owner managers of incorporated enterprises	526
Tuggerah - Kangy Angy	Owner managers of unincorporated enterprises	320
Tuggerah - Kangy Angy	Status in employment not stated	83
Warnervale - Wadalba	Contributing family workers	62
Warnervale - Wadalba	Employee	5171
Warnervale - Wadalba	Owner managers of incorporated enterprises	283
Warnervale - Wadalba	Owner managers of unincorporated enterprises	365
Warnervale - Wadalba	Status in employment not stated	60
Wyong	Contributing family workers	56
Wyong	Employee	4499
Wyong	Owner managers of incorporated enterprises	272
Wyong	Owner managers of unincorporated enterprises	241
Wyong	Status in employment not stated	54
Bathurst	Contributing family workers	152
Bathurst	Employee	11027
Bathurst	Owner managers of incorporated enterprises	642
Bathurst	Owner managers of unincorporated enterprises	784
Bathurst	Status in employment not stated	140
Bathurst - East	Contributing family workers	61
Bathurst - East	Employee	3007
Bathurst - East	Owner managers of incorporated enterprises	219
Bathurst - East	Owner managers of unincorporated enterprises	231
Bathurst - East	Status in employment not stated	39
Bathurst Region	Contributing family workers	164
Bathurst Region	Employee	575
Bathurst Region	Owner managers of incorporated enterprises	129
Bathurst Region	Owner managers of unincorporated enterprises	333
Bathurst Region	Status in employment not stated	20
Oberon	Contributing family workers	111
Oberon	Employee	1595
Oberon	Owner managers of incorporated enterprises	108
Oberon	Owner managers of unincorporated enterprises	232
Oberon	Status in employment not stated	33
Condobolin	Contributing family workers	229
Condobolin	Employee	1644
Condobolin	Owner managers of incorporated enterprises	164
Condobolin	Owner managers of unincorporated enterprises	432
Condobolin	Status in employment not stated	56
Cowra	Contributing family workers	74
Cowra	Employee	3003
Cowra	Owner managers of incorporated enterprises	184
Cowra	Owner managers of unincorporated enterprises	397
Cowra	Status in employment not stated	68
Cowra Region	Contributing family workers	173
Cowra Region	Employee	856
Cowra Region	Owner managers of incorporated enterprises	99
Cowra Region	Owner managers of unincorporated enterprises	405
Cowra Region	Status in employment not stated	43
Forbes	Contributing family workers	199
Forbes	Employee	2921
Forbes	Owner managers of incorporated enterprises	223
Forbes	Owner managers of unincorporated enterprises	573
Forbes	Status in employment not stated	81
Grenfell	Contributing family workers	119
Grenfell	Employee	662
Grenfell	Owner managers of incorporated enterprises	84
Grenfell	Owner managers of unincorporated enterprises	341
Grenfell	Status in employment not stated	26
Parkes (NSW)	Contributing family workers	57
Parkes (NSW)	Employee	3420
Parkes (NSW)	Owner managers of incorporated enterprises	233
Parkes (NSW)	Owner managers of unincorporated enterprises	289
Parkes (NSW)	Status in employment not stated	55
Parkes Region	Contributing family workers	175
Parkes Region	Employee	862
Parkes Region	Owner managers of incorporated enterprises	65
Parkes Region	Owner managers of unincorporated enterprises	301
Parkes Region	Status in employment not stated	38
West Wyalong	Contributing family workers	233
West Wyalong	Employee	1684
West Wyalong	Owner managers of incorporated enterprises	151
West Wyalong	Owner managers of unincorporated enterprises	471
West Wyalong	Status in employment not stated	43
Lithgow	Contributing family workers	83
Lithgow	Employee	4368
Lithgow	Owner managers of incorporated enterprises	197
Lithgow	Owner managers of unincorporated enterprises	296
Lithgow	Status in employment not stated	59
Lithgow Region	Contributing family workers	100
Lithgow Region	Employee	1923
Lithgow Region	Owner managers of incorporated enterprises	150
Lithgow Region	Owner managers of unincorporated enterprises	228
Lithgow Region	Status in employment not stated	28
Mudgee	Contributing family workers	87
Mudgee	Employee	4310
Mudgee	Owner managers of incorporated enterprises	329
Mudgee	Owner managers of unincorporated enterprises	444
Mudgee	Status in employment not stated	73
Mudgee Region - East	Contributing family workers	70
Mudgee Region - East	Employee	571
Mudgee Region - East	Owner managers of incorporated enterprises	72
Mudgee Region - East	Owner managers of unincorporated enterprises	139
Mudgee Region - East	Status in employment not stated	23
Mudgee Region - West	Contributing family workers	267
Mudgee Region - West	Employee	2802
Mudgee Region - West	Owner managers of incorporated enterprises	200
Mudgee Region - West	Owner managers of unincorporated enterprises	469
Mudgee Region - West	Status in employment not stated	75
Blayney	Contributing family workers	156
Blayney	Employee	2223
Blayney	Owner managers of incorporated enterprises	152
Blayney	Owner managers of unincorporated enterprises	351
Blayney	Status in employment not stated	40
Orange	Contributing family workers	125
Orange	Employee	13408
Orange	Owner managers of incorporated enterprises	673
Orange	Owner managers of unincorporated enterprises	832
Orange	Status in employment not stated	169
Orange - North	Contributing family workers	60
Orange - North	Employee	2620
Orange - North	Owner managers of incorporated enterprises	262
Orange - North	Owner managers of unincorporated enterprises	358
Orange - North	Status in employment not stated	51
Orange Region	Contributing family workers	326
Orange Region	Employee	2367
Orange Region	Owner managers of incorporated enterprises	290
Orange Region	Owner managers of unincorporated enterprises	561
Orange Region	Status in employment not stated	68
Grafton	Contributing family workers	142
Grafton	Employee	8129
Grafton	Owner managers of incorporated enterprises	377
Grafton	Owner managers of unincorporated enterprises	641
Grafton	Status in employment not stated	147
Grafton Region	Contributing family workers	215
Grafton Region	Employee	1058
Grafton Region	Owner managers of incorporated enterprises	162
Grafton Region	Owner managers of unincorporated enterprises	470
Grafton Region	Status in employment not stated	49
Maclean - Yamba - Iluka	Contributing family workers	150
Maclean - Yamba - Iluka	Employee	3597
Maclean - Yamba - Iluka	Owner managers of incorporated enterprises	363
Maclean - Yamba - Iluka	Owner managers of unincorporated enterprises	653
Maclean - Yamba - Iluka	Status in employment not stated	88
Bellingen	Contributing family workers	69
Bellingen	Employee	1169
Bellingen	Owner managers of incorporated enterprises	99
Bellingen	Owner managers of unincorporated enterprises	328
Bellingen	Status in employment not stated	41
Coffs Harbour - North	Contributing family workers	114
Coffs Harbour - North	Employee	5279
Coffs Harbour - North	Owner managers of incorporated enterprises	356
Coffs Harbour - North	Owner managers of unincorporated enterprises	547
Coffs Harbour - North	Status in employment not stated	82
Coffs Harbour - South	Contributing family workers	109
Coffs Harbour - South	Employee	11507
Coffs Harbour - South	Owner managers of incorporated enterprises	605
Coffs Harbour - South	Owner managers of unincorporated enterprises	770
Coffs Harbour - South	Status in employment not stated	118
Coramba - Nana Glen - Bucca	Contributing family workers	49
Coramba - Nana Glen - Bucca	Employee	282
Coramba - Nana Glen - Bucca	Owner managers of incorporated enterprises	76
Coramba - Nana Glen - Bucca	Owner managers of unincorporated enterprises	141
Coramba - Nana Glen - Bucca	Status in employment not stated	20
Dorrigo	Contributing family workers	83
Dorrigo	Employee	554
Dorrigo	Owner managers of incorporated enterprises	50
Dorrigo	Owner managers of unincorporated enterprises	253
Dorrigo	Status in employment not stated	13
Korora - Emerald Beach	Contributing family workers	86
Korora - Emerald Beach	Employee	702
Korora - Emerald Beach	Owner managers of incorporated enterprises	153
Korora - Emerald Beach	Owner managers of unincorporated enterprises	250
Korora - Emerald Beach	Status in employment not stated	17
Sawtell - Boambee	Contributing family workers	92
Sawtell - Boambee	Employee	3357
Sawtell - Boambee	Owner managers of incorporated enterprises	291
Sawtell - Boambee	Owner managers of unincorporated enterprises	514
Sawtell - Boambee	Status in employment not stated	57
Urunga	Contributing family workers	33
Urunga	Employee	858
Urunga	Owner managers of incorporated enterprises	75
Urunga	Owner managers of unincorporated enterprises	166
Urunga	Status in employment not stated	17
Woolgoolga - Arrawarra	Contributing family workers	146
Woolgoolga - Arrawarra	Employee	2451
Woolgoolga - Arrawarra	Owner managers of incorporated enterprises	183
Woolgoolga - Arrawarra	Owner managers of unincorporated enterprises	413
Woolgoolga - Arrawarra	Status in employment not stated	50
Bourke - Brewarrina	Contributing family workers	93
Bourke - Brewarrina	Employee	1117
Bourke - Brewarrina	Owner managers of incorporated enterprises	65
Bourke - Brewarrina	Owner managers of unincorporated enterprises	177
Bourke - Brewarrina	Status in employment not stated	33
Cobar	Contributing family workers	120
Cobar	Employee	1833
Cobar	Owner managers of incorporated enterprises	91
Cobar	Owner managers of unincorporated enterprises	190
Cobar	Status in employment not stated	36
Coonamble	Contributing family workers	152
Coonamble	Employee	958
Coonamble	Owner managers of incorporated enterprises	102
Coonamble	Owner managers of unincorporated enterprises	247
Coonamble	Status in employment not stated	45
Nyngan - Warren	Contributing family workers	143
Nyngan - Warren	Employee	1622
Nyngan - Warren	Owner managers of incorporated enterprises	123
Nyngan - Warren	Owner managers of unincorporated enterprises	321
Nyngan - Warren	Status in employment not stated	34
Walgett - Lightning Ridge	Contributing family workers	222
Walgett - Lightning Ridge	Employee	1471
Walgett - Lightning Ridge	Owner managers of incorporated enterprises	110
Walgett - Lightning Ridge	Owner managers of unincorporated enterprises	265
Walgett - Lightning Ridge	Status in employment not stated	60
Broken Hill	Contributing family workers	95
Broken Hill	Employee	5976
Broken Hill	Owner managers of incorporated enterprises	267
Broken Hill	Owner managers of unincorporated enterprises	375
Broken Hill	Status in employment not stated	128
Far West	Contributing family workers	116
Far West	Employee	596
Far West	Owner managers of incorporated enterprises	79
Far West	Owner managers of unincorporated enterprises	195
Far West	Status in employment not stated	25
Coonabarabran	Contributing family workers	256
Coonabarabran	Employee	1683
Coonabarabran	Owner managers of incorporated enterprises	137
Coonabarabran	Owner managers of unincorporated enterprises	489
Coonabarabran	Status in employment not stated	55
Dubbo - East	Contributing family workers	60
Dubbo - East	Employee	5641
Dubbo - East	Owner managers of incorporated enterprises	302
Dubbo - East	Owner managers of unincorporated enterprises	386
Dubbo - East	Status in employment not stated	92
Dubbo - South	Contributing family workers	109
Dubbo - South	Employee	8605
Dubbo - South	Owner managers of incorporated enterprises	514
Dubbo - South	Owner managers of unincorporated enterprises	600
Dubbo - South	Status in employment not stated	92
Dubbo - West	Contributing family workers	31
Dubbo - West	Employee	1728
Dubbo - West	Owner managers of incorporated enterprises	114
Dubbo - West	Owner managers of unincorporated enterprises	195
Dubbo - West	Status in employment not stated	31
Dubbo Region	Contributing family workers	140
Dubbo Region	Employee	462
Dubbo Region	Owner managers of incorporated enterprises	99
Dubbo Region	Owner managers of unincorporated enterprises	301
Dubbo Region	Status in employment not stated	29
Gilgandra	Contributing family workers	139
Gilgandra	Employee	990
Gilgandra	Owner managers of incorporated enterprises	84
Gilgandra	Owner managers of unincorporated enterprises	357
Gilgandra	Status in employment not stated	30
Narromine	Contributing family workers	198
Narromine	Employee	1535
Narromine	Owner managers of incorporated enterprises	167
Narromine	Owner managers of unincorporated enterprises	342
Narromine	Status in employment not stated	44
Wellington	Contributing family workers	153
Wellington	Employee	1683
Wellington	Owner managers of incorporated enterprises	126
Wellington	Owner managers of unincorporated enterprises	331
Wellington	Status in employment not stated	51
Branxton - Greta - Pokolbin	Contributing family workers	124
Branxton - Greta - Pokolbin	Employee	3248
Branxton - Greta - Pokolbin	Owner managers of incorporated enterprises	273
Branxton - Greta - Pokolbin	Owner managers of unincorporated enterprises	274
Branxton - Greta - Pokolbin	Status in employment not stated	67
Cessnock	Contributing family workers	84
Cessnock	Employee	5559
Cessnock	Owner managers of incorporated enterprises	271
Cessnock	Owner managers of unincorporated enterprises	358
Cessnock	Status in employment not stated	79
Cessnock Region	Contributing family workers	70
Cessnock Region	Employee	1178
Cessnock Region	Owner managers of incorporated enterprises	165
Cessnock Region	Owner managers of unincorporated enterprises	214
Cessnock Region	Status in employment not stated	18
Dungog	Contributing family workers	145
Dungog	Employee	1426
Dungog	Owner managers of incorporated enterprises	206
Dungog	Owner managers of unincorporated enterprises	348
Dungog	Status in employment not stated	30
Kurri Kurri - Abermain	Contributing family workers	69
Kurri Kurri - Abermain	Employee	2811
Kurri Kurri - Abermain	Owner managers of incorporated enterprises	175
Kurri Kurri - Abermain	Owner managers of unincorporated enterprises	236
Kurri Kurri - Abermain	Status in employment not stated	37
Singleton	Contributing family workers	92
Singleton	Employee	7321
Singleton	Owner managers of incorporated enterprises	351
Singleton	Owner managers of unincorporated enterprises	314
Singleton	Status in employment not stated	72
Singleton Region	Contributing family workers	113
Singleton Region	Employee	6366
Singleton Region	Owner managers of incorporated enterprises	173
Singleton Region	Owner managers of unincorporated enterprises	181
Singleton Region	Status in employment not stated	63
Maitland	Contributing family workers	58
Maitland	Employee	5823
Maitland	Owner managers of incorporated enterprises	265
Maitland	Owner managers of unincorporated enterprises	264
Maitland	Status in employment not stated	44
Maitland - East	Contributing family workers	102
Maitland - East	Employee	6453
Maitland - East	Owner managers of incorporated enterprises	468
Maitland - East	Owner managers of unincorporated enterprises	559
Maitland - East	Status in employment not stated	54
Maitland - North	Contributing family workers	45
Maitland - North	Employee	654
Maitland - North	Owner managers of incorporated enterprises	123
Maitland - North	Owner managers of unincorporated enterprises	164
Maitland - North	Status in employment not stated	13
Maitland - West	Contributing family workers	91
Maitland - West	Employee	6577
Maitland - West	Owner managers of incorporated enterprises	413
Maitland - West	Owner managers of unincorporated enterprises	353
Maitland - West	Status in employment not stated	57
Thornton - Millers Forest	Contributing family workers	49
Thornton - Millers Forest	Employee	3258
Thornton - Millers Forest	Owner managers of incorporated enterprises	272
Thornton - Millers Forest	Owner managers of unincorporated enterprises	229
Thornton - Millers Forest	Status in employment not stated	43
Anna Bay	Contributing family workers	34
Anna Bay	Employee	526
Anna Bay	Owner managers of incorporated enterprises	93
Anna Bay	Owner managers of unincorporated enterprises	139
Anna Bay	Status in employment not stated	7
Lemon Tree Passage - Tanilba Bay	Contributing family workers	23
Lemon Tree Passage - Tanilba Bay	Employee	557
Lemon Tree Passage - Tanilba Bay	Owner managers of incorporated enterprises	79
Lemon Tree Passage - Tanilba Bay	Owner managers of unincorporated enterprises	128
Lemon Tree Passage - Tanilba Bay	Status in employment not stated	7
Nelson Bay Peninsula	Contributing family workers	142
Nelson Bay Peninsula	Employee	5321
Nelson Bay Peninsula	Owner managers of incorporated enterprises	537
Nelson Bay Peninsula	Owner managers of unincorporated enterprises	679
Nelson Bay Peninsula	Status in employment not stated	78
Raymond Terrace	Contributing family workers	66
Raymond Terrace	Employee	9045
Raymond Terrace	Owner managers of incorporated enterprises	374
Raymond Terrace	Owner managers of unincorporated enterprises	329
Raymond Terrace	Status in employment not stated	75
Seaham - Woodville	Contributing family workers	28
Seaham - Woodville	Employee	435
Seaham - Woodville	Owner managers of incorporated enterprises	135
Seaham - Woodville	Owner managers of unincorporated enterprises	134
Seaham - Woodville	Status in employment not stated	9
Tea Gardens - Hawks Nest	Contributing family workers	31
Tea Gardens - Hawks Nest	Employee	777
Tea Gardens - Hawks Nest	Owner managers of incorporated enterprises	103
Tea Gardens - Hawks Nest	Owner managers of unincorporated enterprises	160
Tea Gardens - Hawks Nest	Status in employment not stated	21
Williamtown - Medowie - Karuah	Contributing family workers	65
Williamtown - Medowie - Karuah	Employee	5844
Williamtown - Medowie - Karuah	Owner managers of incorporated enterprises	243
Williamtown - Medowie - Karuah	Owner managers of unincorporated enterprises	306
Williamtown - Medowie - Karuah	Status in employment not stated	57
Muswellbrook	Contributing family workers	68
Muswellbrook	Employee	6863
Muswellbrook	Owner managers of incorporated enterprises	186
Muswellbrook	Owner managers of unincorporated enterprises	274
Muswellbrook	Status in employment not stated	78
Muswellbrook Region	Contributing family workers	61
Muswellbrook Region	Employee	1762
Muswellbrook Region	Owner managers of incorporated enterprises	67
Muswellbrook Region	Owner managers of unincorporated enterprises	116
Muswellbrook Region	Status in employment not stated	24
Scone	Contributing family workers	71
Scone	Employee	2284
Scone	Owner managers of incorporated enterprises	157
Scone	Owner managers of unincorporated enterprises	230
Scone	Status in employment not stated	50
Scone Region	Contributing family workers	195
Scone Region	Employee	1501
Scone Region	Owner managers of incorporated enterprises	145
Scone Region	Owner managers of unincorporated enterprises	366
Scone Region	Status in employment not stated	36
Dapto - Avondale	Contributing family workers	69
Dapto - Avondale	Employee	3805
