SA2_NAME16	LabourForceStatus	workers
Box Head - MacMasters Beach	Employed (full-time)	619
Box Head - MacMasters Beach	Employed (part-time)	642
Calga - Kulnura		100
Calga - Kulnura	Employed (away from work)	129
Calga - Kulnura	Employed (full-time)	3989
Calga - Kulnura	Employed (part-time)	1008
Erina - Green Point		164
Erina - Green Point	Employed (away from work)	331
Erina - Green Point	Employed (full-time)	4498
Erina - Green Point	Employed (part-time)	4457
Gosford - Springfield		309
Gosford - Springfield	Employed (away from work)	751
Gosford - Springfield	Employed (full-time)	11413
Gosford - Springfield	Employed (part-time)	6362
Kariong		28
Kariong	Employed (away from work)	47
Kariong	Employed (full-time)	754
Kariong	Employed (part-time)	487
Kincumber - Picketts Valley		34
Kincumber - Picketts Valley	Employed (away from work)	67
Kincumber - Picketts Valley	Employed (full-time)	1010
Kincumber - Picketts Valley	Employed (part-time)	1051
Narara		19
Narara	Employed (away from work)	29
Narara	Employed (full-time)	347
Narara	Employed (part-time)	331
Niagara Park - Lisarow		42
Niagara Park - Lisarow	Employed (away from work)	78
Niagara Park - Lisarow	Employed (full-time)	1609
Niagara Park - Lisarow	Employed (part-time)	944
Point Clare - Koolewong		15
Point Clare - Koolewong	Employed (away from work)	39
Point Clare - Koolewong	Employed (full-time)	368
Point Clare - Koolewong	Employed (part-time)	431
Saratoga - Davistown		9
Saratoga - Davistown	Employed (away from work)	25
Saratoga - Davistown	Employed (full-time)	311
Saratoga - Davistown	Employed (part-time)	354
Terrigal - North Avoca		47
Terrigal - North Avoca	Employed (away from work)	95
Terrigal - North Avoca	Employed (full-time)	1377
Terrigal - North Avoca	Employed (part-time)	1344
Umina - Booker Bay - Patonga		82
Umina - Booker Bay - Patonga	Employed (away from work)	130
Umina - Booker Bay - Patonga	Employed (full-time)	1598
Umina - Booker Bay - Patonga	Employed (part-time)	1867
Wamberal - Forresters Beach		23
Wamberal - Forresters Beach	Employed (away from work)	51
Wamberal - Forresters Beach	Employed (full-time)	777
Wamberal - Forresters Beach	Employed (part-time)	662
Woy Woy - Blackwall		87
Woy Woy - Blackwall	Employed (away from work)	148
Woy Woy - Blackwall	Employed (full-time)	1722
Woy Woy - Blackwall	Employed (part-time)	1874
Wyoming		47
Wyoming	Employed (away from work)	82
Wyoming	Employed (full-time)	1153
Wyoming	Employed (part-time)	1243
Bateau Bay - Killarney Vale		97
Bateau Bay - Killarney Vale	Employed (away from work)	163
Bateau Bay - Killarney Vale	Employed (full-time)	1721
Bateau Bay - Killarney Vale	Employed (part-time)	2051
Blue Haven - San Remo		30
Blue Haven - San Remo	Employed (away from work)	34
Blue Haven - San Remo	Employed (full-time)	571
Blue Haven - San Remo	Employed (part-time)	473
Budgewoi - Buff Point - Halekulani		18
Budgewoi - Buff Point - Halekulani	Employed (away from work)	26
Budgewoi - Buff Point - Halekulani	Employed (full-time)	409
Budgewoi - Buff Point - Halekulani	Employed (part-time)	495
Chittaway Bay - Tumbi Umbi		59
Chittaway Bay - Tumbi Umbi	Employed (away from work)	148
Chittaway Bay - Tumbi Umbi	Employed (full-time)	3134
Chittaway Bay - Tumbi Umbi	Employed (part-time)	1584
Gorokan - Kanwal - Charmhaven		89
Gorokan - Kanwal - Charmhaven	Employed (away from work)	178
Gorokan - Kanwal - Charmhaven	Employed (full-time)	1763
Gorokan - Kanwal - Charmhaven	Employed (part-time)	2120
Jilliby - Yarramalong		17
Jilliby - Yarramalong	Employed (away from work)	31
Jilliby - Yarramalong	Employed (full-time)	373
Jilliby - Yarramalong	Employed (part-time)	372
Lake Munmorah - Mannering Park		24
Lake Munmorah - Mannering Park	Employed (away from work)	78
Lake Munmorah - Mannering Park	Employed (full-time)	1068
Lake Munmorah - Mannering Park	Employed (part-time)	631
Ourimbah - Fountaindale		36
Ourimbah - Fountaindale	Employed (away from work)	63
Ourimbah - Fountaindale	Employed (full-time)	1287
Ourimbah - Fountaindale	Employed (part-time)	619
Summerland Point - Gwandalan		19
Summerland Point - Gwandalan	Employed (away from work)	9
Summerland Point - Gwandalan	Employed (full-time)	229
Summerland Point - Gwandalan	Employed (part-time)	210
The Entrance		58
The Entrance	Employed (away from work)	95
The Entrance	Employed (full-time)	1574
The Entrance	Employed (part-time)	1498
Toukley - Norah Head		50
Toukley - Norah Head	Employed (away from work)	84
Toukley - Norah Head	Employed (full-time)	1031
Toukley - Norah Head	Employed (part-time)	985
Tuggerah - Kangy Angy		178
Tuggerah - Kangy Angy	Employed (away from work)	306
Tuggerah - Kangy Angy	Employed (full-time)	5346
Tuggerah - Kangy Angy	Employed (part-time)	3468
Warnervale - Wadalba		101
Warnervale - Wadalba	Employed (away from work)	257
Warnervale - Wadalba	Employed (full-time)	3517
Warnervale - Wadalba	Employed (part-time)	2061
Wyong		93
Wyong	Employed (away from work)	176
Wyong	Employed (full-time)	3259
Wyong	Employed (part-time)	1593
Bathurst		257
Bathurst	Employed (away from work)	505
Bathurst	Employed (full-time)	7458
Bathurst	Employed (part-time)	4530
Bathurst - East		60
Bathurst - East	Employed (away from work)	137
Bathurst - East	Employed (full-time)	2336
Bathurst - East	Employed (part-time)	1030
Bathurst Region		29
Bathurst Region	Employed (away from work)	40
Bathurst Region	Employed (full-time)	735
Bathurst Region	Employed (part-time)	422
Oberon		54
Oberon	Employed (away from work)	64
Oberon	Employed (full-time)	1422
Oberon	Employed (part-time)	538
Condobolin		83
Condobolin	Employed (away from work)	100
Condobolin	Employed (full-time)	1602
Condobolin	Employed (part-time)	742
Cowra		67
Cowra	Employed (away from work)	125
Cowra	Employed (full-time)	2203
Cowra	Employed (part-time)	1335
Cowra Region		50
Cowra Region	Employed (away from work)	57
Cowra Region	Employed (full-time)	955
Cowra Region	Employed (part-time)	513
Forbes		104
Forbes	Employed (away from work)	163
Forbes	Employed (full-time)	2509
Forbes	Employed (part-time)	1220
Grenfell		35
Grenfell	Employed (away from work)	35
Grenfell	Employed (full-time)	773
Grenfell	Employed (part-time)	380
Parkes (NSW)		90
Parkes (NSW)	Employed (away from work)	178
Parkes (NSW)	Employed (full-time)	2416
Parkes (NSW)	Employed (part-time)	1368
Parkes Region		36
Parkes Region	Employed (away from work)	60
Parkes Region	Employed (full-time)	1010
Parkes Region	Employed (part-time)	328
West Wyalong		80
West Wyalong	Employed (away from work)	93
West Wyalong	Employed (full-time)	1665
West Wyalong	Employed (part-time)	748
Lithgow		95
Lithgow	Employed (away from work)	209
Lithgow	Employed (full-time)	2806
Lithgow	Employed (part-time)	1900
Lithgow Region		54
Lithgow Region	Employed (away from work)	89
Lithgow Region	Employed (full-time)	1736
Lithgow Region	Employed (part-time)	555
Mudgee		87
Mudgee	Employed (away from work)	182
Mudgee	Employed (full-time)	2956
Mudgee	Employed (part-time)	2016
Mudgee Region - East		16
Mudgee Region - East	Employed (away from work)	32
Mudgee Region - East	Employed (full-time)	463
Mudgee Region - East	Employed (part-time)	357
Mudgee Region - West		99
Mudgee Region - West	Employed (away from work)	150
Mudgee Region - West	Employed (full-time)	2625
Mudgee Region - West	Employed (part-time)	935
Blayney		69
Blayney	Employed (away from work)	129
Blayney	Employed (full-time)	1981
Blayney	Employed (part-time)	753
Orange		245
Orange	Employed (away from work)	575
Orange	Employed (full-time)	9446
Orange	Employed (part-time)	4938
Orange - North		58
Orange - North	Employed (away from work)	121
Orange - North	Employed (full-time)	2184
Orange - North	Employed (part-time)	983
Orange Region		86
Orange Region	Employed (away from work)	137
Orange Region	Employed (full-time)	2413
Orange Region	Employed (part-time)	979
Grafton		171
Grafton	Employed (away from work)	381
Grafton	Employed (full-time)	5390
Grafton	Employed (part-time)	3495
Grafton Region		70
Grafton Region	Employed (away from work)	60
Grafton Region	Employed (full-time)	1062
Grafton Region	Employed (part-time)	752
Maclean - Yamba - Iluka		106
Maclean - Yamba - Iluka	Employed (away from work)	201
Maclean - Yamba - Iluka	Employed (full-time)	2356
Maclean - Yamba - Iluka	Employed (part-time)	2177
Bellingen		34
Bellingen	Employed (away from work)	55
Bellingen	Employed (full-time)	765
Bellingen	Employed (part-time)	847
Coffs Harbour - North		127
Coffs Harbour - North	Employed (away from work)	252
Coffs Harbour - North	Employed (full-time)	3211
Coffs Harbour - North	Employed (part-time)	2789
Coffs Harbour - South		209
Coffs Harbour - South	Employed (away from work)	471
Coffs Harbour - South	Employed (full-time)	7718
Coffs Harbour - South	Employed (part-time)	4717
Coramba - Nana Glen - Bucca		19
Coramba - Nana Glen - Bucca	Employed (away from work)	16
Coramba - Nana Glen - Bucca	Employed (full-time)	286
Coramba - Nana Glen - Bucca	Employed (part-time)	240
Dorrigo		26
Dorrigo	Employed (away from work)	44
Dorrigo	Employed (full-time)	450
Dorrigo	Employed (part-time)	425
Korora - Emerald Beach		29
Korora - Emerald Beach	Employed (away from work)	26
Korora - Emerald Beach	Employed (full-time)	549
Korora - Emerald Beach	Employed (part-time)	598
Sawtell - Boambee		82
Sawtell - Boambee	Employed (away from work)	132
Sawtell - Boambee	Employed (full-time)	2180
Sawtell - Boambee	Employed (part-time)	1921
Urunga		23
Urunga	Employed (away from work)	45
Urunga	Employed (full-time)	614
Urunga	Employed (part-time)	468
Woolgoolga - Arrawarra		65
Woolgoolga - Arrawarra	Employed (away from work)	110
Woolgoolga - Arrawarra	Employed (full-time)	1708
Woolgoolga - Arrawarra	Employed (part-time)	1352
Bourke - Brewarrina		43
Bourke - Brewarrina	Employed (away from work)	51
Bourke - Brewarrina	Employed (full-time)	1066
Bourke - Brewarrina	Employed (part-time)	324
Cobar		61
Cobar	Employed (away from work)	110
Cobar	Employed (full-time)	1630
Cobar	Employed (part-time)	463
Coonamble		61
Coonamble	Employed (away from work)	64
Coonamble	Employed (full-time)	983
Coonamble	Employed (part-time)	396
Nyngan - Warren		50
Nyngan - Warren	Employed (away from work)	73
Nyngan - Warren	Employed (full-time)	1583
Nyngan - Warren	Employed (part-time)	544
Walgett - Lightning Ridge		72
Walgett - Lightning Ridge	Employed (away from work)	73
Walgett - Lightning Ridge	Employed (full-time)	1360
Walgett - Lightning Ridge	Employed (part-time)	627
Broken Hill		163
Broken Hill	Employed (away from work)	315
Broken Hill	Employed (full-time)	4261
Broken Hill	Employed (part-time)	2111
Far West		42
Far West	Employed (away from work)	34
Far West	Employed (full-time)	755
Far West	Employed (part-time)	183
Coonabarabran		65
Coonabarabran	Employed (away from work)	94
Coonabarabran	Employed (full-time)	1577
Coonabarabran	Employed (part-time)	887
Dubbo - East		130
Dubbo - East	Employed (away from work)	209
Dubbo - East	Employed (full-time)	4665
Dubbo - East	Employed (part-time)	1477
Dubbo - South		179
Dubbo - South	Employed (away from work)	376
Dubbo - South	Employed (full-time)	6200
Dubbo - South	Employed (part-time)	3168
Dubbo - West		35
Dubbo - West	Employed (away from work)	61
Dubbo - West	Employed (full-time)	1321
Dubbo - West	Employed (part-time)	691
Dubbo Region		19
Dubbo Region	Employed (away from work)	37
Dubbo Region	Employed (full-time)	711
Dubbo Region	Employed (part-time)	270
Gilgandra		48
Gilgandra	Employed (away from work)	57
Gilgandra	Employed (full-time)	1004
Gilgandra	Employed (part-time)	499
Narromine		61
Narromine	Employed (away from work)	77
Narromine	Employed (full-time)	1550
Narromine	Employed (part-time)	596
Wellington		59
Wellington	Employed (away from work)	84
Wellington	Employed (full-time)	1419
Wellington	Employed (part-time)	766
Branxton - Greta - Pokolbin		69
Branxton - Greta - Pokolbin	Employed (away from work)	114
Branxton - Greta - Pokolbin	Employed (full-time)	2089
Branxton - Greta - Pokolbin	Employed (part-time)	1714
Cessnock		119
Cessnock	Employed (away from work)	272
Cessnock	Employed (full-time)	3301
Cessnock	Employed (part-time)	2663
Cessnock Region		30
Cessnock Region	Employed (away from work)	72
Cessnock Region	Employed (full-time)	1078
Cessnock Region	Employed (part-time)	467
Dungog		52
Dungog	Employed (away from work)	90
Dungog	Employed (full-time)	1122
Dungog	Employed (part-time)	895
Kurri Kurri - Abermain		55
Kurri Kurri - Abermain	Employed (away from work)	101
Kurri Kurri - Abermain	Employed (full-time)	1711
Kurri Kurri - Abermain	Employed (part-time)	1467
Singleton		161
Singleton	Employed (away from work)	287
Singleton	Employed (full-time)	5104
Singleton	Employed (part-time)	2594
Singleton Region		151
Singleton Region	Employed (away from work)	301
Singleton Region	Employed (full-time)	5644
Singleton Region	Employed (part-time)	800
Maitland		107
Maitland	Employed (away from work)	266
Maitland	Employed (full-time)	3638
Maitland	Employed (part-time)	2450
Maitland - East		123
Maitland - East	Employed (away from work)	277
Maitland - East	Employed (full-time)	3834
Maitland - East	Employed (part-time)	3401
Maitland - North		20
Maitland - North	Employed (away from work)	21
Maitland - North	Employed (full-time)	492
Maitland - North	Employed (part-time)	459
Maitland - West		127
Maitland - West	Employed (away from work)	223
Maitland - West	Employed (full-time)	4680
Maitland - West	Employed (part-time)	2462
Thornton - Millers Forest		59
Thornton - Millers Forest	Employed (away from work)	116
Thornton - Millers Forest	Employed (full-time)	2518
Thornton - Millers Forest	Employed (part-time)	1159
Anna Bay		15
Anna Bay	Employed (away from work)	29
Anna Bay	Employed (full-time)	394
Anna Bay	Employed (part-time)	361
Lemon Tree Passage - Tanilba Bay		9
Lemon Tree Passage - Tanilba Bay	Employed (away from work)	28
Lemon Tree Passage - Tanilba Bay	Employed (full-time)	328
Lemon Tree Passage - Tanilba Bay	Employed (part-time)	425
Nelson Bay Peninsula		122
Nelson Bay Peninsula	Employed (away from work)	266
Nelson Bay Peninsula	Employed (full-time)	3148
Nelson Bay Peninsula	Employed (part-time)	3221
Raymond Terrace		170
Raymond Terrace	Employed (away from work)	323
Raymond Terrace	Employed (full-time)	6918
Raymond Terrace	Employed (part-time)	2489
Seaham - Woodville		15
Seaham - Woodville	Employed (away from work)	29
Seaham - Woodville	Employed (full-time)	425
Seaham - Woodville	Employed (part-time)	259
Tea Gardens - Hawks Nest		21
Tea Gardens - Hawks Nest	Employed (away from work)	45
Tea Gardens - Hawks Nest	Employed (full-time)	557
Tea Gardens - Hawks Nest	Employed (part-time)	484
Williamtown - Medowie - Karuah		107
Williamtown - Medowie - Karuah	Employed (away from work)	228
Williamtown - Medowie - Karuah	Employed (full-time)	4671
Williamtown - Medowie - Karuah	Employed (part-time)	1519
Muswellbrook		144
Muswellbrook	Employed (away from work)	331
Muswellbrook	Employed (full-time)	5125
Muswellbrook	Employed (part-time)	1866
Muswellbrook Region		57
Muswellbrook Region	Employed (away from work)	74
Muswellbrook Region	Employed (full-time)	1445
Muswellbrook Region	Employed (part-time)	456
Scone		58
Scone	Employed (away from work)	83
Scone	Employed (full-time)	1631
Scone	Employed (part-time)	1016
Scone Region		49
Scone Region	Employed (away from work)	88
Scone Region	Employed (full-time)	1382
Scone Region	Employed (part-time)	727
Dapto - Avondale		81
Dapto - Avondale	Employed (away from work)	174
Dapto - Avondale	Employed (full-time)	2157
Dapto - Avondale	Employed (part-time)	2210
Horsley - Kembla Grange		11
Horsley - Kembla Grange	Employed (away from work)	21
Horsley - Kembla Grange	Employed (full-time)	512
Horsley - Kembla Grange	Employed (part-time)	305
Port Kembla Industrial		71
Port Kembla Industrial	Employed (away from work)	126
Port Kembla Industrial	Employed (full-time)	2620
Port Kembla Industrial	Employed (part-time)	451
Unanderra - Mount Kembla		138
Unanderra - Mount Kembla	Employed (away from work)	262
Unanderra - Mount Kembla	Employed (full-time)	6192
Unanderra - Mount Kembla	Employed (part-time)	2264
Berkeley - Lake Heights - Cringila		27
Berkeley - Lake Heights - Cringila	Employed (away from work)	60
Berkeley - Lake Heights - Cringila	Employed (full-time)	825
Berkeley - Lake Heights - Cringila	Employed (part-time)	671
Port Kembla - Warrawong		123
Port Kembla - Warrawong	Employed (away from work)	289
Port Kembla - Warrawong	Employed (full-time)	5060
Port Kembla - Warrawong	Employed (part-time)	2428
Windang - Primbee		13
Windang - Primbee	Employed (away from work)	11
Windang - Primbee	Employed (full-time)	214
Windang - Primbee	Employed (part-time)	180
Illawarra Catchment Reserve		5
Illawarra Catchment Reserve	Employed (away from work)	3
Illawarra Catchment Reserve	Employed (full-time)	48
Illawarra Catchment Reserve	Employed (part-time)	13
Albion Park - Macquarie Pass		44
Albion Park - Macquarie Pass	Employed (away from work)	76
Albion Park - Macquarie Pass	Employed (full-time)	1162
Albion Park - Macquarie Pass	Employed (part-time)	1173
Albion Park Rail		31
Albion Park Rail	Employed (away from work)	80
Albion Park Rail	Employed (full-time)	1420
Albion Park Rail	Employed (part-time)	818
Kiama		34
Kiama	Employed (away from work)	92
Kiama	Employed (full-time)	1313
Kiama	Employed (part-time)	1423
Kiama Downs - Minnamurra		3
Kiama Downs - Minnamurra	Employed (away from work)	23
Kiama Downs - Minnamurra	Employed (full-time)	254
Kiama Downs - Minnamurra	Employed (part-time)	304
Kiama Hinterland - Gerringong		41
Kiama Hinterland - Gerringong	Employed (away from work)	78
Kiama Hinterland - Gerringong	Employed (full-time)	836
Kiama Hinterland - Gerringong	Employed (part-time)	906
Shellharbour - Flinders		37
Shellharbour - Flinders	Employed (away from work)	84
Shellharbour - Flinders	Employed (full-time)	1518
Shellharbour - Flinders	Employed (part-time)	1044
Shellharbour - Oak Flats		110
Shellharbour - Oak Flats	Employed (away from work)	227
Shellharbour - Oak Flats	Employed (full-time)	3012
Shellharbour - Oak Flats	Employed (part-time)	2720
Warilla		60
Warilla	Employed (away from work)	177
Warilla	Employed (full-time)	2033
Warilla	Employed (part-time)	1663
Balgownie - Fairy Meadow		99
Balgownie - Fairy Meadow	Employed (away from work)	220
Balgownie - Fairy Meadow	Employed (full-time)	3014
Balgownie - Fairy Meadow	Employed (part-time)	2432
Corrimal - Tarrawanna - Bellambi		77
Corrimal - Tarrawanna - Bellambi	Employed (away from work)	124
Corrimal - Tarrawanna - Bellambi	Employed (full-time)	1649
Corrimal - Tarrawanna - Bellambi	Employed (part-time)	1481
Figtree - Keiraville		100
Figtree - Keiraville	Employed (away from work)	233
Figtree - Keiraville	Employed (full-time)	3263
Figtree - Keiraville	Employed (part-time)	3092
Helensburgh		44
Helensburgh	Employed (away from work)	69
Helensburgh	Employed (full-time)	1080
Helensburgh	Employed (part-time)	841
Thirroul - Austinmer - Coalcliff		29
Thirroul - Austinmer - Coalcliff	Employed (away from work)	61
Thirroul - Austinmer - Coalcliff	Employed (full-time)	1049
Thirroul - Austinmer - Coalcliff	Employed (part-time)	1198
Woonona - Bulli - Russell Vale		61
Woonona - Bulli - Russell Vale	Employed (away from work)	117
Woonona - Bulli - Russell Vale	Employed (full-time)	1690
Woonona - Bulli - Russell Vale	Employed (part-time)	1705
Wollongong - East		317
Wollongong - East	Employed (away from work)	754
Wollongong - East	Employed (full-time)	12126
Wollongong - East	Employed (part-time)	7248
Wollongong - West		103
Wollongong - West	Employed (away from work)	366
Wollongong - West	Employed (full-time)	4248
Wollongong - West	Employed (part-time)	2756
Bulahdelah - Stroud		26
Bulahdelah - Stroud	Employed (away from work)	47
Bulahdelah - Stroud	Employed (full-time)	736
Bulahdelah - Stroud	Employed (part-time)	498
Forster		102
Forster	Employed (away from work)	186
Forster	Employed (full-time)	2060
Forster	Employed (part-time)	1938
Forster-Tuncurry Region		22
Forster-Tuncurry Region	Employed (away from work)	45
Forster-Tuncurry Region	Employed (full-time)	468
Forster-Tuncurry Region	Employed (part-time)	555
Tuncurry		59
Tuncurry	Employed (away from work)	91
Tuncurry	Employed (full-time)	1198
Tuncurry	Employed (part-time)	969
Kempsey		195
Kempsey	Employed (away from work)	278
Kempsey	Employed (full-time)	3545
Kempsey	Employed (part-time)	2515
Kempsey Region		58
Kempsey Region	Employed (away from work)	72
Kempsey Region	Employed (full-time)	946
Kempsey Region	Employed (part-time)	676
Macksville - Scotts Head		57
Macksville - Scotts Head	Employed (away from work)	107
Macksville - Scotts Head	Employed (full-time)	1376
Macksville - Scotts Head	Employed (part-time)	894
Nambucca Heads		39
Nambucca Heads	Employed (away from work)	66
Nambucca Heads	Employed (full-time)	843
Nambucca Heads	Employed (part-time)	950
Nambucca Heads Region		31
Nambucca Heads Region	Employed (away from work)	34
Nambucca Heads Region	Employed (full-time)	632
Nambucca Heads Region	Employed (part-time)	500
South West Rocks		36
South West Rocks	Employed (away from work)	59
South West Rocks	Employed (full-time)	462
South West Rocks	Employed (part-time)	496
Lord Howe Island		9
Lord Howe Island	Employed (away from work)	24
Lord Howe Island	Employed (full-time)	116
Lord Howe Island	Employed (part-time)	74
Laurieton - Bonny Hills		71
Laurieton - Bonny Hills	Employed (away from work)	105
Laurieton - Bonny Hills	Employed (full-time)	1497
Laurieton - Bonny Hills	Employed (part-time)	1403
Port Macquarie - East		156
Port Macquarie - East	Employed (away from work)	352
Port Macquarie - East	Employed (full-time)	4557
Port Macquarie - East	Employed (part-time)	3653
Port Macquarie - West		198
Port Macquarie - West	Employed (away from work)	403
Port Macquarie - West	Employed (full-time)	6621
Port Macquarie - West	Employed (part-time)	4167
Port Macquarie Region		44
Port Macquarie Region	Employed (away from work)	36
Port Macquarie Region	Employed (full-time)	741
Port Macquarie Region	Employed (part-time)	359
Wauchope		71
Wauchope	Employed (away from work)	108
Wauchope	Employed (full-time)	1865
Wauchope	Employed (part-time)	1105
Gloucester		45
Gloucester	Employed (away from work)	67
Gloucester	Employed (full-time)	937
Gloucester	Employed (part-time)	707
Old Bar - Manning Point - Red Head		36
Old Bar - Manning Point - Red Head	Employed (away from work)	65
Old Bar - Manning Point - Red Head	Employed (full-time)	606
Old Bar - Manning Point - Red Head	Employed (part-time)	672
Taree		223
Taree	Employed (away from work)	414
Taree	Employed (full-time)	5769
Taree	Employed (part-time)	4167
Taree Region		52
Taree Region	Employed (away from work)	61
Taree Region	Employed (full-time)	793
Taree Region	Employed (part-time)	670
Wingham		44
Wingham	Employed (away from work)	186
Wingham	Employed (full-time)	695
Wingham	Employed (part-time)	558
Albury - East		98
Albury - East	Employed (away from work)	215
Albury - East	Employed (full-time)	3690
Albury - East	Employed (part-time)	1839
Albury - North		38
Albury - North	Employed (away from work)	70
Albury - North	Employed (full-time)	1115
Albury - North	Employed (part-time)	668
Albury - South		206
Albury - South	Employed (away from work)	506
Albury - South	Employed (full-time)	6929
Albury - South	Employed (part-time)	4948
Albury Region		84
Albury Region	Employed (away from work)	168
Albury Region	Employed (full-time)	2269
Albury Region	Employed (part-time)	1170
Lavington		82
Lavington	Employed (away from work)	151
Lavington	Employed (full-time)	2268
Lavington	Employed (part-time)	1543
Hay		39
Hay	Employed (away from work)	53
Hay	Employed (full-time)	820
Hay	Employed (part-time)	399
Wentworth - Buronga		56
Wentworth - Buronga	Employed (away from work)	92
Wentworth - Buronga	Employed (full-time)	1324
Wentworth - Buronga	Employed (part-time)	656
Wentworth-Balranald Region		55
Wentworth-Balranald Region	Employed (away from work)	52
Wentworth-Balranald Region	Employed (full-time)	1152
Wentworth-Balranald Region	Employed (part-time)	419
Corowa		60
Corowa	Employed (away from work)	123
Corowa	Employed (full-time)	1295
Corowa	Employed (part-time)	807
Corowa Region		53
Corowa Region	Employed (away from work)	104
Corowa Region	Employed (full-time)	1746
Corowa Region	Employed (part-time)	762
Deniliquin		59
Deniliquin	Employed (away from work)	138
Deniliquin	Employed (full-time)	1884
Deniliquin	Employed (part-time)	1126
Deniliquin Region		68
Deniliquin Region	Employed (away from work)	106
Deniliquin Region	Employed (full-time)	1782
Deniliquin Region	Employed (part-time)	797
Moama		46
Moama	Employed (away from work)	92
Moama	Employed (full-time)	965
Moama	Employed (part-time)	685
Tocumwal - Finley - Jerilderie		89
Tocumwal - Finley - Jerilderie	Employed (away from work)	150
Tocumwal - Finley - Jerilderie	Employed (full-time)	1894
Tocumwal - Finley - Jerilderie	Employed (part-time)	1114
Armidale		208
Armidale	Employed (away from work)	423
Armidale	Employed (full-time)	6214
Armidale	Employed (part-time)	4095
Armidale Region - North		37
