LGA_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
LGA13310,28,50,8,11,97,7020,3870,442,226,11561
LGA13340,39,36,12,7,92,2027,1064,151,75,3316
LGA13450,24,51,3,11,92,7842,3599,407,278,12132
LGA13510,28,35,3,6,78,2457,1423,139,105,4134
LGA13550,33,23,4,9,66,3058,1535,169,103,4859
LGA13660,29,19,7,4,55,1184,533,67,44,1826
LGA13800,53,81,3,15,155,14741,8222,660,473,24093
LGA13850,10,10,0,0,23,808,390,57,38,1288
LGA13910,58,56,0,10,134,4154,2394,242,176,6958
LGA14000,80,202,15,14,301,23490,16867,1251,681,42292
LGA14100,12,40,0,3,49,2343,1845,130,75,4397
LGA14170,99,190,8,19,327,38125,21451,1633,1194,62403
LGA14200,49,40,8,20,115,3710,2197,231,180,6324
LGA14300,12,14,0,3,26,1200,524,70,40,1836
LGA14350,31,39,6,14,91,4951,3681,413,288,9329
LGA14400,16,34,0,6,54,2428,2660,196,82,5363
LGA14500,57,327,14,17,415,15381,13486,881,471,30220
LGA14550,33,24,4,8,71,1532,1044,82,63,2725
LGA14600,33,29,3,8,74,1476,695,92,79,2347
LGA14650,54,147,12,25,242,31614,23140,2098,911,57757
LGA14700,25,67,4,7,105,10630,4710,389,256,15982
LGA14750,26,23,3,7,61,3087,1200,172,117,4576
LGA14850,61,66,7,26,159,11108,7917,659,408,20090
LGA14870,20,38,0,6,62,4550,2447,298,149,7444
LGA14900,75,109,16,16,206,43967,20300,1935,1684,67886
LGA14920,25,27,4,3,63,1682,806,99,69,2654
LGA14950,13,7,0,3,22,520,311,35,15,877
LGA15050,29,57,3,14,112,15334,10072,906,444,26754
LGA15240,94,135,22,38,291,13826,11224,1209,635,26889
LGA15270,69,55,9,9,133,5820,3156,358,182,9525
LGA15300,39,27,13,0,81,3840,1396,218,151,5603
LGA15350,35,93,14,3,142,4656,3727,215,141,8738
LGA15520,41,35,11,0,91,2595,1446,184,108,4336
LGA15560,14,11,3,0,29,1049,435,88,40,1610
LGA15650,17,23,3,3,47,6567,2324,407,199,9498
LGA15700,36,21,7,3,73,2842,2342,212,130,5529
LGA15750,29,22,9,12,74,4254,1635,258,148,6303
LGA15800,19,24,0,3,46,1288,649,97,58,2093
LGA15850,18,16,3,8,46,1534,586,77,60,2261
LGA15900,74,202,17,38,324,59697,32464,3662,1500,97327
LGA15950,87,193,11,20,310,54176,15058,1852,1156,72250
LGA15990,163,511,31,38,738,50044,34408,2353,1429,88233
LGA16100,13,10,4,7,31,1465,579,68,51,2158
LGA16150,31,58,5,15,105,11868,6074,711,319,18968
LGA16200,29,41,6,6,74,3494,1742,251,133,5611
LGA16260,115,246,23,33,413,95889,34954,4334,2782,137952
LGA16350,67,130,15,16,224,42863,22260,2095,1381,68594
LGA16380,56,111,9,17,187,15288,10687,1002,537,27509
LGA16400,35,84,8,12,138,16030,8340,906,451,25725
LGA16490,47,67,4,8,130,9481,4490,471,265,14709
LGA16550,69,155,13,15,251,27939,15654,1462,939,45988
LGA16610,32,35,5,14,83,3820,2690,253,170,6931
LGA16650,31,78,3,3,116,15694,9399,844,586,26525
LGA16700,63,186,15,20,279,59972,20755,2221,1460,84410
LGA16900,17,28,3,5,56,9150,7414,644,290,17489
LGA16950,49,119,12,31,204,18326,13323,1302,713,33662
LGA17000,33,27,4,7,65,11025,3572,603,322,15521
LGA17040,67,51,9,10,136,6128,3103,307,222,9761
LGA17080,43,38,4,8,94,3676,1835,232,154,5895
LGA17100,29,69,7,7,111,14795,5962,560,488,21800
LGA17150,86,235,25,19,363,35928,27480,1912,1106,66430
LGA17200,447,733,75,91,1347,374474,101183,14464,8301,498425
LGA17310,98,99,9,21,232,15822,7872,903,515,25106
LGA17350,8,18,0,0,35,1385,789,86,70,2336
LGA17400,25,25,3,10,63,1225,761,88,63,2140
LGA17420,57,190,17,18,279,38604,22508,1649,1115,63867
LGA17550,69,128,10,19,225,14489,12119,940,614,28163
LGA17620,43,49,6,6,102,3011,1742,176,111,5041
LGA17640,56,48,0,7,110,1472,901,62,47,2487
LGA17650,21,17,4,4,45,805,470,49,31,1351
LGA17750,73,102,5,23,197,19701,9264,1060,572,30602
LGA17850,18,21,3,0,39,871,419,45,22,1365
LGA17900,18,13,0,3,43,1313,605,74,69,2053
LGA17950,14,15,3,3,38,781,251,38,24,1092
LGA18020,50,36,6,11,99,1797,1042,104,81,3020
LGA18050,42,131,11,8,193,13313,9953,618,461,24340
LGA18100,22,20,3,0,38,786,380,35,35,1244
LGA18200,15,13,0,6,32,1823,739,108,74,2750
LGA18230,77,110,10,23,217,14220,6298,763,427,21701
LGA18250,77,193,15,18,300,39728,17098,1642,976,59443
LGA18350,79,151,11,16,257,9894,7197,528,294,17915
LGA18400,22,39,5,12,80,7076,3447,365,240,11134
LGA18450,65,138,16,39,265,45745,29280,2885,1310,79222
LGA18500,78,219,7,9,318,11503,7644,488,335,19972
LGA18710,42,38,8,4,91,2073,1500,139,81,3787
LGA19399,3,3,0,3,11,392,122,39,20,573
LGA19499,128,389,76,98,690,81623,51874,6077,3799,143365
LGA19799,0,0,0,0,0,52,18,9,0,86
LGA20110,23,26,5,5,57,2480,1823,203,110,4613
LGA20260,35,32,5,5,80,2907,1640,230,96,4870
LGA20570,57,102,9,22,193,25587,17522,1847,834,45788
LGA20660,41,139,12,14,198,21501,16712,1451,687,40356
LGA20740,39,82,10,8,131,4864,4594,591,213,10258
LGA20830,85,107,14,6,216,8441,6374,620,344,15789
LGA20910,41,184,8,13,243,15388,12839,826,487,29537
LGA21010,34,37,9,5,80,2885,1846,234,112,5075
LGA21110,102,348,27,32,507,41477,26658,2057,1192,71382
LGA21180,52,85,8,14,161,42128,20914,1792,1660,66496
LGA21270,22,24,7,8,60,1419,852,112,53,2442
LGA21370,52,92,9,23,181,8950,5337,653,347,15291
LGA21450,67,90,8,18,186,12666,9277,697,508,23143
LGA21610,54,139,3,13,212,34730,26254,1950,1311,64240
LGA21670,16,26,6,3,56,2107,1749,170,91,4116
LGA21750,48,59,5,15,136,5192,3576,429,191,9389
LGA21830,47,57,15,13,130,4254,2333,314,180,7080
LGA21890,71,110,13,13,207,27035,18217,1412,1018,47683
LGA22110,84,109,16,29,230,8153,6366,803,366,15688
LGA22170,60,110,11,18,198,23442,17193,1472,813,42912
LGA22250,25,37,4,10,79,2318,1369,167,91,3937
LGA22310,64,183,10,17,276,19451,16077,1042,608,37174
LGA22410,47,53,8,9,120,4340,2851,369,200,7768
LGA22490,21,26,3,7,58,1795,1311,135,80,3323
LGA22620,78,127,9,26,241,25299,17098,1900,756,45051
LGA22670,103,140,10,34,297,67751,24465,2433,2047,96693
LGA22750,105,241,24,43,410,52841,36958,3608,1652,95057
LGA22830,87,96,13,27,230,16917,9280,1198,633,28025
LGA22910,22,31,3,3,68,2130,2185,230,113,4651
LGA22980,16,19,4,8,50,1307,725,88,52,2174
LGA23110,27,62,9,10,99,23374,9934,962,719,34988
LGA23190,35,47,11,9,100,5084,3226,382,184,8873
LGA23270,77,89,12,26,208,58666,26083,2711,2031,89491
LGA23350,34,38,4,3,72,2676,1817,229,100,4826
LGA23430,99,224,19,26,367,46702,23909,1888,1328,73832
LGA23670,69,176,14,17,273,39108,22130,1887,1082,64206
LGA23810,44,96,14,16,171,17560,11048,1402,598,30601
LGA23940,31,28,6,4,75,1608,844,112,89,2651
LGA24130,33,70,8,5,115,6271,5664,505,230,12673
LGA24210,50,194,15,16,271,13702,13857,850,517,28931
LGA24250,25,24,3,0,45,1733,1298,124,67,3219
LGA24330,22,51,10,12,94,21410,13923,1131,804,37261
LGA24410,41,127,5,8,184,23760,16583,1228,693,42258
LGA24600,362,554,48,117,1084,317759,97191,14588,7217,436750
LGA24650,11,23,3,7,46,13901,9483,760,541,24682
LGA24780,53,69,12,21,156,12707,7352,798,494,21354
LGA24850,24,37,7,7,70,6044,4112,455,251,10865
LGA24900,48,53,8,18,131,6196,3536,537,263,10534
LGA24970,97,273,19,47,439,68242,32602,3041,1897,105786
LGA25060,57,94,3,13,167,20006,14252,1078,698,36036
LGA25150,34,27,3,0,69,3936,3144,255,167,7495
LGA25250,62,102,6,12,182,21346,15493,1081,886,38807
LGA25340,83,242,26,26,379,25361,21417,1733,964,49479
LGA25430,34,59,3,3,99,3722,2789,277,122,6916
LGA25490,62,65,8,10,145,3923,1839,277,155,6186
LGA25620,45,38,4,9,102,2179,1652,196,90,4114
LGA25710,15,59,0,4,78,6247,6438,390,240,13315
LGA25810,27,21,4,6,62,2694,1724,228,109,4748
LGA25900,86,164,18,16,280,53284,19391,1982,1278,75933
LGA25990,17,12,3,5,38,1156,695,97,55,2001
LGA26080,4,6,0,0,17,575,606,80,27,1277
LGA26170,65,76,16,27,187,5772,4171,472,253,10668
LGA26260,53,38,5,8,110,4062,2644,316,142,7164
LGA26350,97,248,19,22,393,30501,22016,1497,947,54961
LGA26430,41,52,4,5,102,1967,1308,145,95,3519
LGA26490,23,38,6,3,67,4169,4027,333,156,8688
LGA26610,34,38,5,8,86,5382,2791,376,254,8802
LGA26670,36,23,3,9,73,1121,745,95,55,2017
LGA26700,62,63,21,14,159,6894,4613,570,241,12312
LGA26730,14,39,9,12,72,8392,6381,687,285,15743
LGA26810,79,87,5,17,182,10148,5802,748,368,17069
LGA26890,34,25,3,0,64,1044,527,73,36,1674
LGA26980,53,232,18,25,335,39564,26344,2130,1149,69185
LGA27070,41,91,13,7,160,30978,19391,1612,1163,53144
LGA27170,10,32,8,3,54,12057,5693,720,335,18806
LGA27260,37,52,13,6,114,38737,20054,1733,1377,61904
LGA27350,85,158,13,22,282,53494,23960,2302,1345,81102
LGA27450,66,168,27,16,280,20330,17031,1448,730,39545
LGA27630,26,29,3,5,69,1491,900,102,66,2556
LGA29399,0,3,0,0,11,1537,565,37,47,2186
LGA29499,139,351,60,61,612,68402,42343,5166,3122,119032
LGA29799,0,0,0,0,0,107,24,22,9,157
LGA30250,0,0,0,0,0,202,64,11,7,282
LGA30300,18,18,0,3,42,1385,603,70,48,2109
LGA30370,66,44,6,11,128,5791,1813,346,200,8153
LGA30410,24,9,3,3,33,1049,314,47,43,1451
LGA30450,0,0,0,0,0,181,19,6,3,209
LGA30760,12,5,0,3,16,572,224,38,15,855
LGA30900,0,0,0,0,0,200,35,6,9,240
LGA31000,583,1294,93,185,2149,473389,206811,23052,10961,714220
LGA31750,4,0,0,0,4,235,24,16,9,283
LGA31820,78,107,11,28,221,18255,11442,998,651,31342
LGA31900,39,32,11,12,92,4767,2207,235,180,7394
LGA31950,0,0,0,0,0,111,17,10,12,148
LGA32080,117,146,21,21,312,41919,22070,2257,1215,67459
LGA32250,0,0,0,0,6,651,155,29,35,860
LGA32260,58,62,5,8,133,6936,3897,384,299,11512
LGA32270,45,30,3,11,90,11501,3475,776,342,16101
LGA32310,16,24,0,3,44,2706,1270,180,111,4273
LGA32330,0,0,0,0,3,189,85,12,11,291
LGA32450,6,3,0,0,8,2507,297,161,67,3022
LGA32500,5,3,3,3,19,2143,530,128,71,2868
LGA32600,0,0,0,0,0,70,35,3,6,112
LGA32750,0,0,0,0,0,146,27,7,4,184
LGA32770,0,0,0,0,0,170,131,14,12,332
LGA32810,25,33,6,0,60,3411,1871,167,132,5585
LGA33100,4,5,0,0,8,279,69,16,11,379
LGA33200,17,5,0,4,27,576,168,29,37,802
LGA33220,60,82,8,26,181,16100,11418,1049,577,29137
LGA33360,34,33,6,8,83,17610,7462,1066,457,26594
LGA33430,275,661,43,87,1065,139135,85644,6539,4216,235525
LGA33610,36,34,3,7,79,3154,1340,172,101,4761
LGA33620,72,49,8,18,155,8651,6113,607,328,15698
LGA33800,43,41,4,14,105,2635,1424,141,110,4307
LGA33830,0,0,0,0,0,221,81,15,3,317
LGA33960,56,95,8,24,186,38440,20654,2073,1143,62312
LGA33980,28,14,10,3,57,15730,2651,1218,434,20036
LGA34420,0,0,0,0,0,166,81,3,10,260
LGA34530,25,42,3,9,79,5062,3330,304,190,8883
LGA34570,3,0,0,0,3,105,63,4,22,199
LGA34580,49,32,7,10,102,6509,4042,381,274,11199
LGA34590,63,147,10,21,240,53933,30647,2712,1801,89093
LGA34710,14,7,3,0,28,1347,419,102,50,1916
LGA34770,107,100,8,32,248,28902,14261,1638,906,45703
LGA34800,8,0,0,0,6,1039,76,70,38,1219
LGA34830,0,0,0,0,0,64,10,3,0,84
LGA34860,77,40,10,6,129,5009,1521,366,147,7045
LGA34880,44,41,9,7,97,4480,2447,263,183,7374
LGA35010,104,222,13,46,392,62856,44516,3542,2069,112981
LGA35250,0,0,0,0,3,243,76,12,23,347
LGA35300,10,13,0,5,26,6868,1741,418,189,9214
LGA35600,12,3,0,3,23,1362,494,74,54,1983
LGA35670,0,0,0,0,0,163,46,5,8,221
LGA35740,28,74,3,11,117,10177,9013,608,333,20130
LGA35760,54,40,8,7,104,2783,1323,150,129,4378
LGA35780,0,0,0,0,0,573,196,28,20,825
LGA35790,0,0,0,0,0,342,216,17,9,585
LGA35800,8,0,0,4,16,513,170,30,23,732
LGA36070,0,0,0,0,0,119,91,3,3,216
LGA36150,3,0,0,0,5,357,85,23,10,473
LGA36250,59,105,10,9,173,21708,16940,1271,661,40572
LGA36300,3,3,0,0,5,482,225,8,19,732
LGA36370,64,89,12,17,181,22982,11588,1432,575,36580
LGA36510,67,87,10,21,179,6870,4843,377,271,12367
LGA36580,36,24,4,10,76,3600,2145,192,164,6099
LGA36630,82,59,7,21,167,6481,3915,402,266,11060
LGA36660,69,94,5,24,190,7707,4788,502,311,13305
LGA36720,118,313,31,47,515,61103,44517,3386,1840,110852
LGA36820,47,54,3,13,120,4700,3328,347,196,8571
LGA36910,188,223,20,47,482,43235,22467,2492,1158,69344
LGA36950,4,3,0,3,10,1041,310,68,85,1503
LGA36960,0,0,0,0,0,572,354,35,38,1003
LGA37010,77,138,7,26,245,52132,25139,3103,1337,81713
LGA37300,0,3,0,0,3,798,283,56,23,1157
LGA37310,109,85,3,17,213,11012,4208,680,345,16242
LGA37340,49,48,4,8,108,9996,4258,533,319,15102
LGA37400,6,3,0,0,9,431,106,30,15,581
LGA37550,0,0,0,0,0,165,73,12,14,264
LGA37570,0,0,0,0,0,58,37,8,8,104
LGA37600,0,0,0,0,0,288,114,15,26,446
LGA39499,90,225,52,47,410,57869,33784,4786,2402,98838
LGA39799,0,0,0,0,0,150,14,24,11,202
LGA40070,82,188,11,36,320,76044,35241,4781,1534,117609
LGA40120,37,55,7,7,106,4860,4467,353,154,9836
LGA40220,34,56,0,13,101,3183,3009,231,121,6542
LGA40250,3,3,0,3,9,384,184,26,26,624
LGA40310,30,42,0,8,82,5831,3749,377,145,10098
LGA40430,4,3,6,0,15,404,266,41,14,720
LGA40520,10,27,0,3,35,2666,1590,196,76,4530
LGA40700,24,101,5,10,139,9066,6846,605,236,16760
LGA40910,14,36,3,6,58,4621,4413,301,149,9483
LGA41010,3,8,0,0,9,960,480,84,52,1575
LGA41060,43,110,8,19,183,22880,15086,1323,596,39879
LGA41140,26,30,3,3,61,2238,1613,178,81,4114
LGA41190,3,7,0,3,12,506,264,35,28,827
LGA41330,7,8,3,0,12,436,173,41,27,677
LGA41560,14,22,6,7,56,2155,1906,203,98,4365
LGA41750,3,0,0,0,3,282,154,21,6,460
LGA41830,3,0,0,0,5,297,178,20,14,505
LGA41960,0,0,0,3,8,237,177,37,5,454
LGA42030,5,21,0,3,27,3007,3160,230,91,6484
LGA42110,15,15,0,9,40,780,474,41,41,1339
LGA42250,24,32,3,10,62,1457,664,93,45,2263
LGA42600,14,62,7,3,94,5660,6111,416,163,12348
LGA42750,6,25,3,0,35,1017,888,100,35,2048
LGA43080,8,4,0,0,10,327,134,4,4,468
LGA43220,3,0,0,0,9,338,157,29,10,535
LGA43360,6,15,3,0,22,479,353,57,20,916
LGA43650,30,25,4,0,56,3048,1525,181,90,4843
LGA43710,0,18,3,0,25,904,492,64,32,1494
LGA43790,28,30,3,6,66,2628,1605,171,79,4486
LGA43920,6,8,0,0,21,1154,707,52,57,1961
LGA44000,0,0,0,0,0,4,0,0,0,9
LGA44060,23,61,6,5,99,11327,9240,833,288,21697
LGA44210,12,20,5,3,45,1289,936,74,56,2351
LGA44340,23,118,4,10,165,14145,11801,1186,335,27474
LGA44550,33,44,8,4,84,5132,4744,414,195,10480
LGA44620,16,32,8,5,60,7249,4709,488,187,12634
LGA44830,11,10,0,3,25,529,265,25,20,839
LGA45040,20,40,6,10,71,5464,3033,344,161,8994
LGA45090,22,30,0,10,72,2392,1390,190,85,4057
LGA45120,22,9,0,3,37,1006,622,70,28,1728
LGA45290,35,86,7,9,136,12920,9153,654,324,23048
LGA45340,44,99,9,11,157,19032,16701,1393,601,37728
LGA45400,7,8,0,3,13,224,132,12,6,377
LGA45540,0,3,0,0,5,235,208,9,19,474
LGA45680,26,23,3,5,63,13315,9513,953,466,24249
LGA45890,61,115,13,21,219,42786,17384,1929,1053,63157
LGA46090,4,4,0,3,9,3239,1794,241,116,5389
LGA46300,19,11,0,4,33,3539,2728,235,124,6625
LGA46450,10,10,5,3,24,3789,2470,267,132,6652
LGA46510,7,14,3,0,27,3091,2387,163,85,5735
LGA46670,13,26,0,0,47,2238,1366,148,84,3825
LGA46860,9,8,0,0,21,329,234,49,18,632
LGA46970,3,0,0,0,3,1650,423,121,38,2233
LGA47140,45,70,11,14,135,29502,13583,1458,776,45320
LGA47290,7,5,3,5,19,616,310,37,29,989
LGA47490,7,4,0,3,17,473,310,43,24,856
LGA47630,15,20,0,7,44,2163,1032,159,72,3426
LGA47700,15,46,11,4,80,10031,10222,689,338,21274
LGA47800,12,9,5,5,32,1215,704,74,45,2034
LGA47910,7,7,0,3,21,503,320,34,23,885
LGA47980,27,72,3,4,105,10700,7766,655,259,19383
LGA48050,9,33,0,3,44,1831,2279,206,79,4396
LGA48130,8,20,0,3,34,1636,892,106,58,2689
LGA48260,3,16,0,3,21,1117,1097,83,54,2350
LGA48340,24,34,4,4,70,2671,1564,273,77,4587
LGA48410,44,92,12,18,165,27668,13195,1447,607,42916
LGA48540,13,14,0,3,22,4003,2682,311,138,7135
LGA48640,6,5,0,0,7,401,200,27,12,637
LGA48750,12,22,0,0,33,652,662,74,20,1409
LGA48830,26,34,6,10,80,2001,1445,173,89,3714
LGA49399,14,3,0,4,21,4702,634,369,124,5831
LGA49499,40,99,19,24,185,17971,13830,1810,699,34311
LGA49799,0,0,0,0,0,41,11,14,0,64
LGA50080,36,68,7,16,129,8126,5792,650,246,14818
LGA50210,20,48,0,3,78,9092,7568,626,325,17605
LGA50250,4,0,0,3,9,19301,1503,2168,476,23446
LGA50280,18,36,7,8,69,2898,2560,281,115,5849
LGA50350,8,13,4,0,24,3990,1697,150,107,5942
LGA50420,18,63,5,7,95,10939,8326,581,369,20215
LGA50490,31,58,6,8,100,27108,9281,1379,626,38400
LGA50560,5,9,3,0,17,279,183,16,10,486
LGA50630,4,12,0,0,18,1615,273,186,56,2125
LGA50770,7,7,3,0,24,368,226,43,11,654
LGA50840,14,7,0,0,24,881,674,68,45,1674
LGA50910,0,0,3,3,8,250,145,22,17,427
LGA50980,15,6,0,0,20,4968,1938,322,175,7401
LGA51080,0,3,0,0,3,243,81,28,10,357
LGA51120,4,9,0,0,14,268,117,11,11,409
LGA51190,5,44,4,8,62,13088,7759,874,369,22094
LGA51260,27,59,3,8,95,6933,5906,563,237,13639
LGA51310,23,79,3,3,109,6794,5702,443,181,13119
LGA51330,49,97,13,6,163,36779,15534,1626,949,54889
LGA51400,7,18,0,3,24,1842,1497,180,50,3567
LGA51470,0,0,0,0,0,235,60,12,3,311
LGA51540,10,9,3,0,27,1927,585,162,66,2741
LGA51610,7,3,0,0,9,201,101,20,17,337
LGA51680,12,10,0,0,24,823,457,54,26,1361
LGA51750,10,50,0,0,59,3229,3158,187,110,6685
LGA51820,41,72,6,7,128,27644,12097,1212,730,41679
LGA51890,6,10,0,0,14,3035,1136,219,109,4493
LGA51960,3,3,0,0,5,1602,283,110,49,2043
LGA52030,3,3,0,0,9,242,110,12,7,373
LGA52100,0,4,0,3,8,347,144,23,12,528
LGA52170,13,24,0,0,33,1278,1290,77,38,2679
LGA52240,3,4,0,4,17,342,125,20,17,504
LGA52310,3,5,0,0,4,140,38,12,5,194
LGA52380,0,0,0,0,0,87,24,4,4,121
LGA52450,0,3,0,4,4,404,175,26,6,610
LGA52520,11,9,0,0,23,562,182,30,15,782
LGA52590,14,8,0,0,24,890,445,62,27,1430
LGA52660,6,30,0,0,44,1731,1457,152,61,3403
LGA52730,10,21,0,0,31,823,943,108,33,1901
LGA52800,6,3,0,0,13,1896,482,116,95,2592
LGA52870,11,16,3,4,27,825,702,81,27,1640
LGA52940,0,3,0,0,7,193,81,5,11,289
LGA53010,3,0,0,0,5,217,74,10,8,309
LGA53080,0,0,0,0,5,424,64,26,21,537
LGA53150,0,9,0,0,15,913,804,52,22,1797
LGA53220,6,0,0,4,11,11469,1035,1202,315,14018
LGA53290,21,42,4,0,67,3561,1951,312,108,5935
LGA53360,0,3,0,0,10,845,414,100,28,1382
LGA53430,25,83,12,12,131,14548,8950,960,412,24868
LGA53570,13,31,4,0,48,1153,635,73,44,1910
LGA53640,3,0,0,0,3,440,172,23,7,643
LGA53710,4,8,0,0,17,204,131,20,3,355
LGA53780,22,63,6,10,101,13784,9318,786,420,24306
LGA53800,28,39,5,11,88,9476,5227,722,271,15703
LGA53920,0,0,0,0,0,660,158,41,41,901
LGA53990,12,36,7,3,48,3836,2390,272,133,6632
LGA54060,6,11,0,3,17,517,448,46,34,1039
LGA54130,3,7,0,3,15,381,160,28,14,582
LGA54170,18,113,12,15,152,20775,22946,1568,756,46047
LGA54200,18,75,3,6,103,8445,5392,394,253,14481
LGA54280,17,17,0,3,39,10559,3344,576,338,14815
LGA54310,14,9,3,0,23,9752,2121,968,254,13086
LGA54340,7,5,5,0,14,1193,523,69,32,1826
LGA54410,0,5,0,0,6,244,148,17,14,432
LGA54480,7,3,0,0,10,199,63,4,6,283
LGA54550,10,10,3,3,28,601,271,54,26,949
LGA54620,14,6,0,0,23,533,124,20,14,700
LGA54690,4,5,0,0,7,123,45,5,5,181
LGA54760,4,0,0,0,6,280,79,19,4,382
LGA54830,12,14,0,3,30,8989,3012,469,188,12657
LGA54900,9,4,0,0,17,516,185,34,26,760
LGA54970,0,0,0,0,4,1954,138,226,53,2378
LGA55040,0,0,0,0,0,1879,182,170,48,2275
LGA55110,12,86,9,5,121,10210,9918,779,397,21307
LGA55180,24,36,5,11,75,2358,1461,230,85,4129
LGA55250,0,0,0,0,0,986,92,101,47,1227
LGA55320,42,135,8,0,192,20853,17166,1448,619,40084
LGA55390,0,3,0,0,4,577,46,46,17,685
LGA55460,17,4,0,0,23,968,410,78,22,1475
LGA55530,0,0,0,0,0,167,56,5,5,241
LGA55600,14,11,0,0,25,749,334,50,27,1160
LGA55670,0,5,0,0,4,225,89,9,6,335
LGA55740,0,21,0,0,23,1147,1179,61,40,2427
LGA55810,0,0,0,0,0,252,44,19,8,330
LGA55880,3,4,0,0,11,192,67,14,12,275
LGA55950,5,0,0,0,8,186,59,3,10,253
LGA56090,4,50,3,0,61,4765,3531,304,137,8739
LGA56160,0,0,0,0,0,53,8,0,0,67
LGA56230,17,27,0,0,48,3421,1667,216,99,5406
LGA56300,5,7,0,0,10,258,185,20,8,474
LGA56370,4,3,0,0,11,272,96,20,10,395
LGA56460,6,17,3,3,25,1388,745,144,46,2332
LGA56580,26,88,6,4,120,11989,7178,887,275,20327
LGA56620,0,0,0,0,0,210,94,17,12,344
LGA56730,8,21,3,3,40,2719,1397,162,84,4359
LGA56790,6,3,0,0,12,636,433,63,28,1155
LGA56860,0,0,0,0,0,52,21,0,0,70
LGA56930,3,11,0,0,10,549,507,24,12,1094
LGA57000,4,0,0,0,4,615,84,52,19,770
LGA57080,80,161,13,26,281,94572,27092,5143,1710,128511
LGA57140,0,4,0,0,3,201,113,10,3,336
LGA57210,14,21,3,5,41,1183,690,106,50,2023
LGA57280,6,0,0,0,15,7169,1354,717,232,9476
LGA57350,3,3,3,0,8,207,115,24,11,354
LGA57420,3,5,0,0,10,728,201,69,28,1020
LGA57490,19,62,3,6,97,15932,12508,1132,488,30054
LGA57630,0,0,0,0,0,32,8,0,0,46
LGA57700,9,20,0,3,32,2606,1711,181,82,4585
LGA57770,0,0,0,0,0,265,128,11,6,420
LGA57840,12,41,8,3,62,6847,5408,422,182,12856
LGA57910,81,276,20,17,391,44716,27325,2280,1170,75495
LGA57980,28,80,3,4,122,15646,9178,1004,355,26182
LGA58050,48,122,13,7,189,35219,17491,1751,937,55407
LGA58190,3,0,0,0,5,106,54,9,3,174
LGA58260,0,5,0,0,5,201,63,17,3,281
LGA58330,7,12,0,0,18,421,372,49,16,856
