GCCSA_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
6GHOB,901,76,86,11137,9761,660,842,105,105,11478,9472,672,966,111,111,11336,8693,601,924,107,109,10440,5190,469,735,130,73,6594,1782,289,528,110,51,2761,444,100,219,80,23,872,183,71,99,63,36,453,86026,4318,7088,983,951,99359
69799,0,0,0,7,5,0,0,0,0,5,3,0,0,0,0,5,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,0,0,55
69499,322,13,11,948,562,104,429,15,21,1126,586,86,390,11,25,1099,524,80,408,16,19,1050,396,48,308,15,22,790,129,18,108,10,7,278,51,6,23,3,4,85,15,0,25,8,7,54,5408,613,2817,126,170,9138
5RWAU,2215,579,269,29859,25637,2022,2462,715,326,31158,23709,1925,2695,783,328,29441,20146,1815,2745,896,324,25923,12558,1309,2369,882,290,17407,4377,818,1503,895,172,7772,1157,386,751,670,100,3060,467,216,528,547,119,1873,216847,13225,19759,7321,2962,260110
5GPER,6674,1093,554,92886,76940,7894,7390,1142,642,94015,69138,7486,7235,1154,616,85632,57452,6396,6485,1020,564,71916,38240,4740,5362,983,454,49780,15296,2888,3171,841,321,22505,4180,1153,1313,518,175,7342,1569,583,706,390,170,3420,727035,51181,55775,9977,6188,850156
59799,3,0,0,229,209,8,4,0,0,216,221,4,3,0,0,230,146,4,3,0,3,154,57,3,0,0,0,62,16,0,0,0,0,17,3,0,0,0,0,3,4,0,0,0,0,4,1536,22,23,5,8,1595
59499,2009,80,78,5924,3040,678,2213,95,108,6135,2842,650,2156,67,104,5820,2290,514,1846,68,105,4818,1562,331,1424,80,77,3476,643,153,647,46,49,1547,218,51,174,27,13,474,81,20,77,35,17,229,31862,4660,16256,754,848,54379
4RSAU,1534,530,209,15242,13290,1278,1989,525,250,17337,13020,1265,2262,671,249,17464,12039,1284,2381,753,242,16699,8013,986,2192,849,210,12251,2757,649,1446,752,118,5725,749,279,727,529,90,2375,343,181,461,534,131,1643,114687,8740,16276,6173,2260,148135
4GADE,4189,629,451,61219,53312,4415,4842,736,513,63820,50434,4187,4858,714,486,60682,43848,3768,4769,656,471,53520,28308,2908,3784,591,428,36022,10033,1892,2555,619,231,15333,2513,775,1139,403,136,4975,949,392,567,327,171,2404,482876,29161,37067,6348,4864,560314
49799,0,0,0,10,7,0,0,0,0,13,14,0,0,0,0,12,8,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,4,0,0,64
49499,1414,25,54,3675,1930,447,1572,47,78,4075,1942,442,1634,59,62,4135,1719,327,1561,53,55,3712,1165,209,1097,57,68,2598,487,107,502,47,29,1166,162,34,154,24,8,375,61,11,51,30,25,185,18810,2837,11595,492,577,34311
3RQLD,9061,2128,988,110802,89809,10648,9926,2462,1091,113926,84500,10170,10204,2685,1125,108679,72010,8899,10298,2893,1091,95195,45471,6623,8644,2799,909,64452,16827,3857,5376,2581,573,29216,4654,1734,2589,1788,348,11110,1669,816,1644,1587,469,6175,814473,67712,77688,23727,10329,993929
3GBRI,7312,1303,755,119865,96902,9650,7816,1324,773,116461,85564,8855,7250,1271,722,103659,68983,7734,6478,1236,658,85101,42629,5445,5353,1148,559,55135,15755,3301,3252,983,369,23661,4054,1295,1413,614,219,7599,1348,605,688,475,274,3393,898460,62206,58164,11608,7460,1037906
39799,3,0,0,34,22,0,5,0,0,24,17,0,3,0,0,23,13,0,0,0,0,22,11,0,0,0,0,14,4,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,174,12,15,6,0,202
39499,3492,161,185,11585,5787,1637,3754,181,153,11524,5195,1425,3842,168,183,10824,4371,1169,3497,160,168,9359,3078,799,2539,156,159,6738,1204,338,1163,112,67,2889,392,82,335,76,47,924,151,32,114,72,38,410,58038,10356,27349,1522,1566,98838
2RVIC,5491,1286,672,58789,49442,5614,5868,1463,775,63159,49711,5650,6485,1718,844,64406,45831,5373,7015,2075,830,61124,30615,4166,6209,2204,754,43943,10630,2618,4211,2131,479,20066,2771,1068,2122,1418,280,7664,1262,648,1642,1497,363,5409,452016,37661,50732,16824,7751,564981
2GMEL,15502,2748,1850,231064,183575,22417,16035,2884,1896,226813,161006,20812,14543,2629,1830,200809,132126,17399,12857,2383,1598,166361,84194,12488,9972,1983,1264,109905,33113,7796,6332,1644,850,49734,9250,3475,2768,1108,490,17088,3528,1688,1592,942,535,8290,1740742,143469,119940,23536,18486,2046169
29799,0,0,0,28,22,0,3,0,0,26,24,0,0,0,0,29,22,0,0,0,0,22,8,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,146,3,4,3,3,157
29499,4212,136,244,13090,6250,2413,4531,202,251,13644,5705,2130,4201,184,238,12459,4930,1751,3987,164,219,11054,3281,1107,2869,147,176,7571,1469,522,1268,98,78,3430,490,187,429,78,55,1240,235,56,195,65,51,612,66022,15171,33984,1616,2241,119032
1RNSW,10385,1958,1135,107824,89604,8722,11163,2208,1241,112935,89674,8978,12153,2704,1394,114900,82831,8194,12464,3143,1336,107973,51061,6440,10903,3348,1170,72927,17932,3970,7008,3244,797,32947,4926,1756,3607,2420,503,13210,2029,956,2576,2538,690,8796,814991,59863,91812,26018,12738,1005433
1GSYD,17252,2538,1880,253360,190050,23837,17916,2507,1939,236247,172545,22943,17286,2541,1896,217212,143606,18456,15143,2281,1696,181188,89819,13068,11601,1953,1236,117689,37222,8544,7087,1642,858,55355,11024,3891,3188,1060,461,19621,3991,2045,1824,1031,514,9410,1877812,157872,132483,22258,18871,2209294
19799,0,0,3,9,9,0,0,0,0,11,6,0,4,0,3,14,3,0,0,0,0,10,3,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,61,7,16,0,3,86
19499,5361,205,280,16014,7582,2499,5540,232,287,16146,7357,2382,5983,217,285,16224,6528,1911,5248,206,269,14163,4221,1239,3818,184,211,9670,1837,610,1713,152,102,4420,644,172,537,95,61,1508,209,84,226,92,75,690,79636,17188,41954,1997,2587,143365
