GCCSA_CODE_2016,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
6RTAS,47,5631,5500,519,577,102,63,6763,6374,651,752,125,70,7970,6381,636,746,166,78,8006,5389,623,771,212,71,7060,2915,428,644,165,49,4193,704,248,284,116,21,1370,115,91,135,80,9,431,43,49,91,59,11,250,48657,3994,5171,1201,543,59567,4343,4,17,46,46,4456,3531,8,59,24,31,3653,2500,28,114,31,26,2697,2754,67,242,68,19,3153,3003,99,266,73,27,3462,3338,119,352,90,41,3944,3525,149,401,89,57,4218,3466,166,416,115,49,4207,3336,162,567,145,41,4249,2624,177,499,149,51,3498,1093,158,366,155,38,1808,394,65,182,109,17,766,136,50,163,100,15,465,34044,1256,3624,1173,464,40565,3889,170,362,119,127,4661,1387,63,135,130,297,2013,87975,5487,9298,2619,1426,106812
6GHOB,36,6035,5895,424,528,26,41,6925,6356,529,500,58,53,7492,6242,516,529,50,45,7383,5395,431,502,40,40,6419,2762,289,323,34,20,3432,675,149,202,28,11,1068,113,48,43,20,3,231,28,29,25,7,3,87,49149,3106,3666,315,376,56617,3939,9,23,20,32,4018,4094,3,66,10,35,4209,2812,39,127,14,18,3003,2951,50,231,47,25,3301,2986,81,309,50,18,3443,3235,112,344,38,24,3757,3040,126,313,45,20,3539,2785,134,398,54,39,3398,2838,144,383,55,48,3461,2123,148,376,81,20,2755,999,123,304,67,24,1514,295,49,159,52,9,559,125,38,68,44,6,289,32209,1063,3101,574,301,37246,3594,98,225,39,84,4036,1064,47,98,59,188,1459,86026,4318,7088,983,951,99359
69799,0,4,0,0,0,0,0,3,5,0,0,0,0,5,6,0,0,0,0,4,9,0,0,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,3,0,0,0,0,5,0,0,0,0,0,0,50,3,0,0,0,55
69499,5,474,288,66,171,3,9,532,302,73,212,3,15,605,303,72,195,4,15,590,226,51,195,8,5,489,144,29,113,5,4,298,28,8,35,4,0,81,11,0,5,3,0,15,3,0,4,0,0,12,2899,436,1379,42,72,4823,124,0,3,0,4,136,176,5,36,0,0,211,188,7,67,3,3,272,171,7,86,7,4,274,169,8,109,3,4,300,177,19,135,6,3,348,199,23,192,11,5,426,227,16,166,0,8,426,243,28,197,3,4,478,207,20,171,10,9,418,87,4,66,3,0,168,32,3,17,0,0,56,14,0,15,4,0,28,2021,142,1267,61,55,3543,349,27,115,17,22,518,145,13,52,15,24,250,5408,613,2817,126,170,9138
5RWAU,117,19078,17504,1363,1336,306,146,20657,17954,1590,1640,452,179,21819,16656,1513,1791,466,171,20599,13510,1369,1681,523,158,17252,7539,892,1246,470,126,10280,2129,496,749,407,75,3858,365,202,333,279,21,1203,151,103,227,175,21,675,145380,9722,11710,3643,1401,171856,6947,14,26,108,74,7177,4162,22,92,60,40,4371,4342,67,238,89,37,4771,5333,213,537,207,48,6336,5455,302,668,188,77,6690,5868,337,771,239,66,7286,5881,352,722,217,71,7242,5260,316,762,250,65,6650,4973,337,864,298,67,6541,3914,325,931,326,71,5576,1867,249,640,409,46,3211,686,147,342,320,35,1532,280,90,262,270,27,931,54969,2779,6858,2976,725,68305,12566,517,858,345,272,14558,3935,202,332,350,565,5392,216847,13225,19759,7321,2962,260110
5GPER,273,60955,52024,5269,3574,416,266,61543,52768,5972,4119,496,331,63696,47556,5705,4176,495,320,58246,37703,4666,3506,417,251,46542,22213,2961,2314,273,189,27958,6917,1450,1058,193,89,9709,1202,504,338,91,27,2169,343,226,157,57,10,797,447925,36276,28050,3231,2596,518078,33918,70,269,226,211,34692,36909,173,846,198,192,38333,23032,467,1638,245,151,25537,22634,1024,2461,532,116,26759,22073,1354,2679,594,154,26847,22534,1553,2878,600,158,27729,21234,1726,3027,563,166,26724,18674,1588,2814,572,163,23812,16877,1560,2717,531,177,21862,13799,1652,2808,614,145,19023,7366,1332,1975,561,130,11371,2685,596,903,371,80,4632,1106,330,500,275,53,2261,242841,13426,25519,5872,1908,289570,25932,905,1314,413,384,28950,10343,583,889,456,1293,13567,727035,51181,55775,9977,6188,850156
59799,0,190,189,0,3,0,0,192,171,3,4,0,0,175,172,7,3,0,0,185,122,4,0,0,0,131,45,3,0,0,0,54,12,0,0,0,0,9,3,0,0,0,0,3,4,0,0,0,0,4,1277,18,21,0,4,1321,8,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,10,3,0,0,0,0,7,16,0,0,0,0,16,10,0,0,0,0,10,6,4,0,0,0,11,10,0,0,0,0,10,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,3,0,0,74,162,0,0,0,0,169,23,0,0,0,5,31,1536,22,23,5,8,1595
59499,19,3502,1865,504,1077,27,41,3516,1832,494,1177,34,52,3585,1630,463,1124,26,54,3293,1196,354,848,20,39,2462,671,173,550,20,22,1433,202,74,182,4,16,489,49,23,45,3,0,116,19,11,14,11,0,51,18813,3282,8142,213,364,30819,772,3,87,23,16,905,1409,32,337,25,16,1814,1088,67,540,23,17,1729,938,96,638,32,12,1720,846,116,725,43,15,1739,895,155,833,47,24,1958,899,156,941,53,31,2080,899,162,929,28,28,2041,818,125,882,36,39,1898,682,132,761,37,29,1633,354,60,413,25,14,877,146,21,111,15,6,300,46,7,54,12,3,125,9794,1125,7246,395,249,18821,2465,192,635,102,99,3490,788,59,227,44,130,1251,31862,4660,16256,754,848,54379
4RSAU,71,7949,7272,867,1002,335,107,9595,8173,1031,1342,339,146,11033,7883,1024,1579,452,118,11053,6911,1005,1555,466,119,10053,4157,702,1266,473,93,6694,1028,394,721,358,43,2544,183,140,324,197,16,868,111,83,191,169,23,573,64952,6559,10026,3235,977,85739,5595,11,37,96,87,5820,4001,14,82,50,42,4191,3134,61,201,70,25,3490,3577,125,347,140,30,4229,3686,173,428,139,49,4480,4083,175,467,162,45,4927,4503,199,587,152,54,5497,4432,205,600,182,68,5481,4397,222,706,242,51,5610,3297,223,781,303,54,4657,1510,195,608,331,44,2680,516,111,330,265,39,1262,207,78,218,266,30,799,42943,1793,5381,2383,628,53128,5027,275,635,251,181,6372,1771,114,232,299,473,2889,114687,8740,16276,6173,2260,148135
4GADE,178,37302,33937,2894,2322,268,208,39636,35559,3409,2804,361,252,42388,33665,3261,2857,311,235,40335,28227,2859,2641,245,236,34212,16311,1930,1825,188,176,20435,4334,1025,961,165,71,6560,665,363,359,85,25,1502,250,163,134,62,17,632,284297,21080,19440,2183,1937,328932,22089,57,145,119,176,22584,26187,113,536,138,174,27144,15850,236,842,157,109,17195,16275,466,1341,266,108,18454,15978,680,1543,305,128,18633,16244,862,1739,322,136,19305,15887,899,1868,330,154,19132,14746,804,1823,351,147,17873,13575,791,1968,348,136,16817,10439,867,1815,357,134,13613,5020,792,1472,402,87,7770,1681,365,722,265,55,3089,609,199,396,218,25,1446,174578,7141,16201,3572,1562,203055,17819,630,907,276,324,19955,6181,313,515,323,1044,8370,482876,29161,37067,6348,4864,560314
49799,0,4,5,0,0,0,0,8,9,0,0,0,0,9,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,7,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,14,0,0,0,0,14,0,0,0,0,0,0,52,0,4,0,0,64
49499,22,1813,1009,277,771,4,19,2086,1019,329,856,20,37,2253,940,326,824,19,29,2138,751,208,706,19,20,1711,409,117,431,19,25,996,131,51,147,16,7,351,30,9,31,9,0,80,14,3,9,3,3,40,9736,2003,5855,137,239,17971,436,7,55,13,4,511,923,9,221,25,15,1190,734,31,321,13,19,1109,624,66,356,23,10,1075,590,65,423,21,11,1113,662,82,573,19,21,1351,761,100,653,26,34,1570,856,98,744,26,32,1749,809,94,773,29,26,1724,634,82,607,23,30,1375,302,44,319,20,14,699,125,16,107,11,3,266,34,7,38,13,3,99,7484,686,5184,264,216,13830,1206,98,396,56,50,1810,380,43,161,39,71,699,18810,2837,11595,492,577,34311
3RQLD,399,64499,58972,7546,5367,1088,524,73499,60694,8438,6135,1440,561,77268,56650,8073,6375,1588,590,73279,46095,6848,6274,1648,535,61409,25855,4693,4752,1502,402,37205,7449,2308,2671,1264,203,13896,1377,910,1198,811,102,4398,464,388,737,647,88,2328,496328,50827,44813,11837,4524,608327,44505,80,226,397,401,45604,32021,140,719,225,236,33341,23483,431,1472,361,191,25939,23950,1037,2455,728,205,28379,24501,1533,2933,809,183,29963,26251,1838,3371,881,243,32581,25424,1960,3434,858,268,31948,24012,1824,3437,899,272,30440,21977,1787,3632,1040,297,28741,16765,1695,3493,1074,258,23296,8267,1370,2457,1072,180,13337,2978,731,1242,771,110,5836,1065,368,809,650,89,2981,275207,14807,29683,9768,2927,332386,29733,1211,1880,853,656,34323,13206,868,1311,1275,2229,18887,814473,67712,77688,23727,10329,993929
3GBRI,352,79744,72075,7115,4083,558,426,84257,69914,7627,4562,605,413,83127,61910,7014,4406,627,371,74335,47504,5973,3781,524,306,58080,26521,3729,2723,410,228,33611,7629,1918,1342,302,120,11316,1347,640,496,171,50,2707,370,251,201,121,26,965,575528,46571,31410,4300,3202,661012,43541,95,367,289,251,44543,45388,219,1005,232,223,47068,27822,513,1628,328,156,30453,25949,1111,2283,551,179,30074,25213,1446,2757,570,167,30153,25644,1781,2992,650,169,31236,23611,1798,3001,621,169,29196,20188,1654,2608,551,186,25195,18118,1552,2465,636,184,22948,13698,1531,2418,631,158,18435,7165,1275,1742,594,122,10896,2480,600,850,369,79,4380,874,330,443,270,46,1963,279686,13903,24558,6299,2095,326539,30171,983,1272,414,395,33245,13077,749,925,597,1759,17105,898460,62206,58164,11608,7460,1037906
39799,0,12,25,0,0,0,0,29,15,0,3,0,0,17,9,0,3,0,0,12,13,0,0,0,0,22,8,0,0,0,0,14,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,136,5,9,4,0,150,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,0,14,21,0,4,0,0,24,4,0,0,0,0,11,174,12,15,6,0,202
