GCCSA_CODE_2016,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20more_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20more_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20more_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20more_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20more_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20more_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20more_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20more_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20more_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20more_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20more_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20more_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20more_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20more_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20more_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20more_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20more_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20more_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20more_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20more_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20more_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20more_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20more_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20more_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20more_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20more_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20more_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20more_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20more_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20more_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
6RTAS,389,1639,293,45,2360,285,523,64,12,885,228,436,12,4,678,35,63,12,0,116,141,468,56,17,674,72,218,12,4,307,67,110,16,8,197,82,100,16,6,206,20,40,4,4,70,1316,3601,481,94,5487,1549,1366,39,59,3017,967,277,42,22,1300,1602,519,4,44,2163,552,94,3,4,657,321,182,0,15,523,272,130,3,12,411,290,93,0,10,393,551,139,4,15,708,96,21,3,3,123,6196,2818,100,180,9298,1938,3011,328,100,5378,1251,801,102,32,2184,1824,952,16,44,2840,588,159,12,4,771,456,646,55,34,1196,338,347,20,15,719,360,198,16,15,593,633,239,22,18,912,115,63,5,5,196,7516,6420,582,271,14786
6GHOB,220,1041,297,8,1574,353,569,89,5,1011,167,330,27,7,528,34,60,9,0,105,154,349,33,9,539,56,150,29,0,237,44,61,6,0,115,44,64,11,4,128,35,30,9,0,79,1115,2656,514,34,4318,591,565,26,12,1185,1541,304,74,12,1931,1316,424,8,15,1762,551,89,3,6,651,240,110,4,11,369,235,78,3,0,322,228,48,0,10,282,367,76,6,3,458,100,23,3,6,130,5165,1723,133,68,7088,810,1606,320,17,2759,1889,874,168,20,2949,1483,755,36,15,2288,591,144,10,6,752,393,460,40,17,906,296,231,34,3,563,270,105,8,11,394,414,145,17,5,580,134,57,14,6,214,6278,4377,646,101,11404
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,4,0,0,0,7
69499,45,80,3,3,139,33,14,0,0,43,112,94,0,0,208,3,0,0,0,9,11,12,0,0,24,7,5,0,0,13,43,35,0,0,82,49,38,0,3,92,3,3,0,0,7,311,280,7,8,613,243,73,0,5,324,147,17,0,0,170,1104,172,0,15,1296,91,4,0,3,96,41,4,0,0,46,33,0,0,0,33,177,19,0,5,205,516,70,0,19,607,43,3,0,0,46,2396,362,3,56,2817,290,150,4,11,458,184,29,0,0,219,1215,263,0,19,1504,90,6,0,3,104,50,16,0,0,63,43,5,0,0,46,221,56,0,7,286,566,106,0,26,693,45,12,0,0,55,2709,645,14,64,3429
5RWAU,1280,4026,528,90,5932,636,936,96,18,1691,602,1085,72,24,1785,63,112,15,0,194,375,1059,100,18,1550,146,465,91,15,718,228,282,50,16,580,200,319,47,9,576,80,96,20,9,202,3619,8389,1013,202,13225,3599,3636,74,166,7468,1708,545,41,36,2332,2847,1160,14,83,4105,795,142,6,18,961,795,485,6,23,1307,419,209,5,12,646,636,221,8,13,883,1310,390,9,47,1764,197,77,6,6,285,12319,6863,165,404,19759,4884,7663,598,259,13400,2348,1485,134,56,4020,3452,2250,89,104,5891,858,257,20,18,1153,1171,1543,109,40,2860,568,670,98,29,1363,871,504,62,31,1459,1516,713,56,59,2336,277,173,23,19,490,15936,15257,1184,606,32980
5GPER,3004,11072,2853,95,17023,4954,6009,782,48,11793,2888,4129,218,65,7301,515,545,68,8,1136,2108,3734,426,48,6315,1065,1789,234,24,3118,1128,553,44,23,1755,833,863,70,28,1798,388,439,75,33,941,16890,29143,4782,372,51181,3121,2969,249,56,6397,10893,2726,538,82,14236,10646,3308,35,121,14114,4146,537,31,51,4761,3214,1078,63,43,4394,1733,605,40,25,2411,3000,297,12,36,3344,4310,845,14,62,5236,702,143,13,26,889,41761,12505,1004,500,55775,6120,14039,3110,154,23423,15844,8736,1317,136,26036,13537,7442,249,185,21418,4660,1086,103,61,5902,5320,4811,491,84,10710,2797,2395,283,49,5525,4124,847,57,62,5096,5148,1711,87,87,7034,1093,581,87,56,1824,58649,41646,5783,875,106957
59799,0,0,0,0,0,6,3,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,4,0,0,0,0,0,15,10,0,0,22,0,0,0,0,0,4,6,0,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,5,0,0,0,0,0,16,6,0,0,23,3,0,0,0,6,8,8,0,0,17,8,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,7,11,5,0,0,11,0,0,0,0,0,32,14,0,0,45
59499,228,291,41,10,567,256,108,4,4,367,1162,927,13,18,2115,55,12,3,0,74,118,51,4,3,180,74,16,8,0,100,364,115,7,9,496,424,237,13,5,681,39,33,3,4,89,2726,1785,95,54,4660,456,142,3,12,613,1017,78,0,10,1103,6283,1296,10,96,7686,625,26,7,6,660,397,36,0,7,446,194,8,0,0,205,1310,95,3,26,1434,3403,425,4,65,3894,179,33,0,9,222,13864,2145,26,218,16256,681,429,42,16,1176,1270,186,9,10,1471,7446,2224,16,113,9798,680,42,5,6,734,520,84,9,9,624,265,24,8,0,298,1680,206,12,33,1927,3830,662,19,65,4577,222,74,3,9,305,16592,3931,116,276,20917
4RSAU,1035,2879,380,73,4367,286,596,81,10,967,292,614,23,9,943,25,68,5,4,105,232,698,67,18,1008,105,360,41,8,513,114,218,14,10,354,116,246,24,16,403,30,39,13,9,91,2223,5715,658,145,8740,3858,3240,35,161,7296,985,355,66,20,1430,2229,866,11,64,3170,621,105,7,20,744,488,396,8,18,906,344,203,7,7,564,381,131,8,15,541,1079,313,9,36,1432,139,51,0,5,194,10123,5660,141,350,16276,4893,6118,419,235,11663,1268,950,148,29,2394,2521,1479,32,77,4108,649,171,8,20,845,722,1088,69,35,1914,448,566,51,13,1078,494,349,25,27,892,1199,557,37,52,1836,167,92,13,16,287,12350,11371,796,494,25017
4GADE,1900,6569,1642,87,10194,2625,3391,561,38,6617,1606,2273,125,50,4049,312,359,54,6,736,972,1858,256,53,3132,748,1062,137,18,1970,532,345,38,18,934,530,488,68,16,1098,210,191,30,13,438,9434,16525,2902,297,29161,2871,2061,118,72,5114,7279,2091,386,76,9841,7018,1755,22,113,8906,2760,326,17,31,3136,1993,562,28,41,2627,1309,384,13,29,1735,1430,207,8,23,1661,2857,538,18,36,3458,464,91,6,21,586,27982,8021,615,444,37067,4767,8623,1755,158,15308,9905,5482,951,118,16459,8623,4026,146,162,12956,3072,683,73,37,3870,2967,2420,279,92,5758,2066,1449,150,49,3702,1959,547,49,42,2597,3385,1031,90,54,4559,670,284,36,31,1020,37414,24546,3521,744,66226
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4
49499,207,180,21,3,415,129,55,0,3,188,727,469,12,18,1221,47,13,0,0,55,64,32,4,0,101,34,12,0,0,52,168,61,3,5,234,328,169,4,10,512,30,19,3,3,46,1728,1008,47,51,2837,503,156,3,14,677,816,65,0,6,885,4618,713,0,84,5414,392,9,0,6,405,309,18,0,5,335,159,5,3,7,167,545,67,0,11,625,2662,235,3,37,2941,134,16,0,3,150,10129,1279,14,174,11595,716,336,23,20,1092,946,121,0,6,1076,5339,1177,10,102,6638,441,17,0,6,467,372,50,5,9,439,189,16,3,6,220,712,130,4,15,859,2994,409,8,48,3453,158,34,3,3,200,11862,2286,56,225,14436
3RQLD,4906,15719,2991,243,23861,4840,6592,705,67,12205,3591,5643,254,100,9577,764,786,113,16,1675,2745,5683,555,121,9105,1989,2896,281,38,5201,1219,1101,71,44,2430,1064,1271,124,44,2500,479,559,74,40,1153,21609,40230,5166,702,67712,10236,7241,245,380,18101,10169,2489,248,127,13038,12881,4245,31,227,17384,5772,701,33,95,6598,3786,1707,38,66,5595,3020,978,44,54,4093,2859,694,17,65,3630,6477,1440,22,122,8051,913,214,15,52,1188,56109,19703,687,1187,77688,15145,22956,3241,624,41969,15012,9076,955,196,25242,16472,9886,281,326,26965,6533,1489,145,114,8277,6533,7387,594,185,14692,5006,3869,319,94,9290,4078,1791,90,105,6059,7540,2708,142,161,10554,1395,769,89,90,2341,77716,59937,5854,1894,145400
3GBRI,3944,13064,3101,124,20230,6410,7592,1018,65,15087,3337,4614,221,74,8245,768,667,104,13,1549,2584,4197,495,77,7352,1840,2293,265,30,4428,1322,740,45,19,2127,957,979,118,28,2078,474,511,92,39,1115,21629,34659,5453,464,62206,4040,2944,191,78,7248,11903,2933,658,107,15600,9796,2831,39,136,12800,5686,531,41,61,6311,3049,900,54,38,4036,2297,524,35,31,2894,2501,329,15,38,2896,4627,741,19,63,5445,736,156,18,29,930,44629,11884,1066,583,58164,7983,16002,3290,203,27482,18311,10523,1680,177,30687,13133,7453,251,205,21045,6454,1195,143,73,7861,5629,5098,552,109,11388,4133,2818,294,70,7322,3825,1072,67,55,5021,5580,1722,141,86,7524,1208,666,101,66,2045,66258,46548,6521,1051,120369
39799,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,13,0,0,0,0,0,11,5,0,0,15,0,0,0,0,0,3,4,0,0,7,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,10,0,0,0,0,0,7,13,0,0,22
39499,649,904,77,26,1655,537,237,16,11,804,2542,1838,17,46,4446,112,28,4,4,147,236,144,13,13,404,185,70,7,6,268,686,306,8,26,1023,841,546,15,16,1418,111,66,5,7,198,5904,4139,166,150,10356,1055,381,10,16,1470,2080,170,9,24,2278,9423,1762,0,137,11323,1201,38,3,14,1265,631,63,0,10,695,464,26,0,3,495,1697,188,3,25,1915,6657,776,3,116,7551,306,42,3,13,355,23510,3449,29,360,27349,1710,1284,90,46,3127,2614,409,24,33,3085,11962,3600,24,185,15767,1316,73,5,22,1412,867,204,13,18,1097,650,97,7,7,761,2380,494,11,53,2938,7498,1321,19,128,8971,419,105,12,22,554,29411,7586,198,511,37704
