GCCSA_CODE_2016,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
6GHOB,3,4,0,4,0,0,0,12,14,19,20,9,10,0,0,79,4,8,5,13,3,3,0,33,22,28,24,22,19,3,0,118,92,430,864,929,893,538,105,3850,2632,2393,2055,1935,1910,534,56,11516,174,158,123,173,160,57,48,899,14078,20195,21168,22810,17029,3629,453,99359
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,9,10,13,12,3,0,55
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,5,3,0,0,11,7,24,28,43,36,5,4,141,119,192,188,263,262,71,11,1111,21,16,14,30,31,17,4,128,1029,1839,1777,2226,1841,369,54,9138
5RWAU,6,20,18,22,6,0,0,74,19,76,63,54,23,0,0,232,9,42,28,32,21,3,0,133,34,139,105,108,49,5,0,442,374,1570,2652,3255,3257,2072,650,13828,3837,7459,7007,6995,5541,1490,189,32519,642,1042,1032,1079,733,264,128,4921,29391,56446,57637,60604,43329,10831,1873,260110
5GPER,971,1268,969,789,489,68,3,4558,94,83,66,37,14,0,0,290,32,49,45,52,20,3,0,195,1094,1397,1079,875,521,76,3,5050,962,5065,8483,8904,7159,3451,740,34767,18804,18204,14883,12393,11213,3786,392,79670,1428,1740,1374,1393,958,437,188,7514,127179,202930,185435,179644,121702,29855,3420,850156
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,3,42,57,56,22,0,0,178,0,18,25,15,8,0,0,72,58,405,453,444,219,14,4,1595
59499,20,18,10,10,10,3,0,74,0,8,3,3,0,0,0,17,4,4,12,3,8,3,0,29,22,35,21,18,14,3,0,119,40,157,194,179,117,52,20,766,789,1530,1415,1406,1237,381,50,6808,104,171,165,147,99,31,16,734,7185,13018,11675,11951,8291,2019,229,54379
4RSAU,4,6,6,3,0,0,0,18,5,7,6,6,3,0,0,29,5,16,21,14,14,4,0,76,11,31,31,23,16,10,0,128,317,984,1843,2647,3095,1921,568,11367,3193,3157,2799,3287,3213,1049,176,16873,353,234,271,351,307,175,137,1830,20058,26212,28369,34799,28948,8100,1643,148135
4GADE,178,200,181,119,86,18,0,781,110,94,86,53,28,4,0,383,20,60,40,49,24,3,0,206,312,354,304,226,135,29,0,1366,566,2537,4601,5149,4637,2623,535,20653,13813,13125,10672,9216,8713,2654,286,58487,846,874,790,800,585,300,189,4378,80371,122943,120245,124498,89541,20306,2404,560314
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,0,0,22,0,0,0,0,0,0,0,0,0,5,13,25,8,0,0,64
49499,8,9,0,3,3,0,0,26,3,4,3,3,3,0,0,16,3,3,8,0,5,0,0,19,12,17,12,11,11,3,0,65,31,91,102,113,95,39,8,480,546,753,706,828,844,287,36,4006,66,52,63,70,60,21,18,354,4229,6992,6837,8214,6315,1538,185,34311
3RQLD,129,104,77,71,38,6,3,429,154,329,335,248,101,8,0,1178,52,128,104,127,64,20,0,492,337,558,519,436,199,35,4,2102,1784,7054,12909,14935,14415,8091,2229,61411,20714,20071,17137,17057,15587,4711,599,95877,1967,1682,1800,1900,1525,785,472,10136,154433,200471,210273,222608,159644,40324,6175,993929
3GBRI,733,860,683,578,332,53,5,3244,199,191,145,104,57,6,0,695,55,82,88,90,55,8,0,380,986,1131,915,770,441,63,5,4320,1577,6809,12602,12572,9867,4380,888,48707,23970,22863,18843,15650,13456,4037,435,99255,1543,1643,1361,1390,999,416,270,7630,164704,242652,235543,220119,140234,31255,3393,1037906
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,9,9,0,0,42,0,0,0,0,0,0,0,0,18,42,53,44,37,7,0,202
39499,38,29,16,19,6,3,0,108,21,17,11,12,10,0,0,67,9,14,22,6,11,3,0,68,61,66,43,41,25,5,0,241,95,327,453,427,371,133,33,1834,1354,2000,2050,2226,2150,741,103,10616,176,176,201,218,163,86,47,1070,13138,21291,21752,22346,16091,3810,410,98838
2RVIC,48,57,46,33,44,8,0,242,30,18,7,8,6,3,0,70,23,28,25,36,29,9,0,149,94,100,78,83,81,18,3,460,928,3409,6503,8355,9521,6250,1987,36957,14776,11859,10714,10910,11737,3691,567,64260,1474,957,1025,1297,1181,630,406,6973,85332,103618,110259,127568,105069,27731,5409,564981
2GMEL,3125,6260,4401,2788,1686,329,32,18620,160,178,125,92,52,13,0,624,106,245,167,143,85,25,0,767,3389,6685,4684,3021,1823,362,35,20004,2449,12945,23824,22262,16538,8092,1687,87792,43530,41465,35434,25570,22529,8025,1060,177612,3423,4162,3241,3289,2309,1024,533,17979,278741,519803,468623,427624,276266,66824,8290,2046169
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,7,12,11,0,0,37,0,0,0,0,0,0,0,0,5,26,39,57,28,3,0,157
29499,110,149,71,62,38,11,5,445,4,7,6,5,3,0,0,29,5,13,16,16,3,0,0,54,115,171,93,84,42,12,5,525,106,408,550,471,342,136,33,2041,1721,2162,1990,2112,1947,732,118,10781,271,272,242,273,185,109,44,1394,16567,27242,25210,26106,18621,4671,612,119032
1RNSW,101,127,102,90,50,8,3,484,33,31,20,28,23,0,0,144,45,68,62,81,59,38,3,355,174,233,193,205,128,46,6,979,1618,5933,11608,14234,15504,10046,3311,62261,23407,20551,17807,18082,18923,5690,789,105248,2419,1677,1844,2196,1859,995,708,11696,151306,188244,202196,227835,180896,46160,8796,1005433
1GSYD,2725,4365,3092,2211,1455,293,23,14160,159,288,242,177,89,18,3,975,49,110,157,141,68,13,0,527,2930,4759,3490,2531,1609,320,29,15665,2850,13858,26773,25471,18555,9175,2079,98754,40601,39959,34207,24984,23167,8520,1215,172650,3940,4863,3763,3547,2510,1069,509,20195,300077,557369,515124,453465,298871,74981,9410,2209294
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,7,3,0,0,21,0,0,0,0,0,0,0,3,10,17,17,24,12,3,0,86
19499,142,116,93,72,45,12,4,490,5,13,7,7,0,0,0,33,8,15,7,9,10,0,0,54,161,146,107,92,60,15,3,580,125,447,613,589,453,160,44,2428,1987,2247,2255,2503,2559,972,136,12665,343,374,313,374,282,132,84,1902,19974,29922,30661,32366,23838,5925,690,143365
