GCCSA_CODE_2016,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000mor_E,M_3000mor_OM_IE,M_3000mor_OM_UIE,M_3000mor_CFW,M_3000mor_ES_NS,M_3000mor_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000mor_E,F_3000mor_OM_IE,F_3000mor_OM_UIE,F_3000mor_CFW,F_3000mor_ES_NS,F_3000mor_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE
6RTAS,113,27,80,220,9,441,1303,28,109,100,26,1566,1097,69,301,173,44,1685,1256,106,436,144,53,2004,1803,144,491,116,59,2615,3190,242,683,139,72,4329,5243,354,712,94,101,6501,6944,393,694,91,89,8205,6821,534,685,63,92,8201,4416,404,450,41,48,5362,3652,406,303,40,38,4441,2623,193,185,16,30,3053,2649,358,245,24,28,3307,820,388,295,30,12,1549,606,57,107,43,96,906,42543,3714,5778,1327,792,54161,136,10,62,245,10,461,2231,33,152,125,43,2582,2774,75,358,200,62,3469,3164,118,404,145,73,3906,4205,122,384,117,90,4919,6478,194,505,120,90,7378,6760,217,409,88,70,7541,5884,191,339,70,53,6539,5229,193,302,49,47,5818,2989,150,159,33,21,3349,2333,145,120,22,13,2630,1443,55,53,5,6,1570,999,114,103,17,4,1239,241,138,94,23,9,503,577,25,62,37,36,735,45433,1780,3521,1295,634,52656,246,32,141,460,25,907,3536,59
6GHOB,103,20,26,79,4,230,1247,13,75,27,21,1380,1163,33,204,50,18,1469,1126,62,279,45,20,1530,1489,66,310,54,43,1966,2567,149,467,44,46,3274,3907,209,491,32,64,4698,5791,276,487,38,63,6661,6299,386,520,26,46,7275,4397,324,376,27,36,5153,4003,335,288,16,30,4672,2841,224,167,12,21,3267,3589,418,236,8,28,4289,1296,502,301,21,14,2130,433,35,57,16,42,586,40249,3061,4276,476,510,48574,141,4,33,88,7,269,1969,21,125,43,30,2191,2194,36,232,50,32,2550,2366,57,255,41,46,2767,3159,60,292,63,44,3609,5281,114,350,47,58,5850,5907,155,352,41,56,6502,6234,137,286,29,44,6736,6345,132,260,29,40,6799,4235,94,176,20,19,4541,3258,110,115,8,9,3509,1977,73,84,9,12,2148,1787,125,134,14,9,2071,450,124,80,11,11,678,465,21,30,16,37,569,45777,1258,2814,500,441,50786,241,23,62,166,10,502,3217,33
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,3,4,0,0,0,0,4,11,0,0,0,0,11,14,0,0,0,0,15,9,0,0,0,0,9,0,0,0,0,0,0,48,3,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0
69499,21,0,20,9,0,53,67,3,28,3,3,98,117,10,103,19,8,255,149,16,144,5,14,333,195,24,180,9,8,414,363,38,285,6,17,712,471,62,277,14,15,835,634,76,351,4,13,1081,644,95,353,0,12,1107,401,67,217,0,6,691,228,76,158,5,3,471,115,26,82,0,4,220,142,31,65,7,3,246,73,22,44,0,4,136,77,16,34,0,4,128,3701,558,2334,77,123,6784,9,0,0,14,0,29,73,0,37,6,0,119,205,9,67,11,6,294,192,3,75,3,7,278,261,6,74,6,8,356,294,7,74,6,12,385,226,4,52,0,3,290,151,9,22,3,6,190,112,3,28,0,0,136,60,8,13,0,0,85,37,0,14,0,0,52,24,0,6,0,0,31,12,7,5,4,0,34,9,5,0,0,3,22,35,0,11,0,5,53,1712,60,485,49,48,2349,36,0,21,24,0,78,141,3
5RWAU,350,62,179,538,43,1175,2123,55,145,213,46,2585,1514,113,391,305,46,2375,1803,185,558,297,88,2926,2331,229,682,323,86,3648,4125,485,1071,366,135,6177,6053,552,1161,273,136,8173,9082,820,1454,278,172,11804,12063,1084,1673,304,194,15311,10234,950,1192,190,123,12691,11717,1101,1017,160,108,14100,12114,642,649,106,118,13630,31422,1102,887,132,191,33742,19955,1397,854,159,119,22479,2029,164,279,146,165,2779,126918,8936,12183,3778,1768,153587,417,44,137,666,36,1299,3894,55,372,298,70,4687,4351,129,617,316,98,5509,4989,175,644,302,108,6224,6275,212,637,276,100,7502,9825,357,838,320,151,11492,11120,403,753,232,142,12649,11160,406,771,220,114,12665,10913,546,803,221,105,12590,7406,438,489,156,60,8547,6056,440,432,129,54,7107,4550,237,231,64,20,5104,6013,340,355,82,33,6834,1598,416,333,113,20,2487,1361,82,171,137,79,1824,89929,4286,7578,3538,1203,106527,772,112,312,1199,75,2470,6020,116
5GPER,1162,276,296,871,62,2675,10916,164,464,258,117,11921,9690,305,1007,297,124,11419,9183,566,1402,295,184,11626,10757,701,1772,291,176,13698,15507,1334,2778,397,234,20260,21860,1775,2975,304,282,27200,35204,2575,3762,320,413,42269,48167,3920,4495,360,403,57344,38471,3415,3360,212,316,45771,35782,4351,2983,185,231,43523,29002,2878,1920,153,137,34088,52435,5519,2731,199,224,61118,31717,7578,3129,239,207,42875,4478,485,537,93,361,5950,354339,35841,33606,4484,3460,431724,1482,140,332,1254,66,3270,17342,219,1418,480,174,19635,20065,450,2064,567,182,23331,20004,660,1943,465,235,23314,23422,684,1909,369,236,26632,36209,1149,2529,445,292,40622,41483,1287,2281,388,308,45742,46853,1532,2295,280,270,51233,49662,1839,2045,307,239,54093,35237,1382,1341,212,137,38310,27667,1581,1126,168,102,30656,18673,868,601,109,94,20339,22710,1605,1000,150,71,25531,7247,1730,945,154,53,10135,4648,207,326,154,271,5605,372700,15347,22167,5495,2733,418438,2646,414,631,2122,128,5942,28258,385
59799,3,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,3,4,0,0,0,0,7,9,0,0,0,0,5,7,0,0,0,0,7,8,0,0,0,0,14,13,0,0,0,0,17,34,0,3,0,0,35,23,0,3,0,0,29,43,9,0,0,0,50,70,0,0,0,3,74,402,3,5,0,0,406,806,7,8,0,0,823,24,0,0,0,3,27,1447,22,18,0,9,1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,12,0,0,0,0,12,0,0,0,0,0,3,6,0,0,0,0,6,4,0,0,0,0,4,33,0,0,0,0,33,18,0,0,0,0,18,3,0,0,0,0,3,91,0,3,3,3,99,5,0,0,0,0,7,5,0
59499,112,20,71,75,7,284,384,22,144,31,15,604,551,41,348,37,14,992,667,77,540,26,29,1339,936,98,659,41,37,1773,1463,190,1035,42,65,2786,1752,258,1241,43,60,3361,2462,422,1652,43,65,4645,3138,627,2057,46,77,5940,2540,556,1682,20,59,4858,2115,593,1331,22,40,4110,1644,369,808,3,39,2864,3042,478,928,12,38,4503,1602,331,327,17,30,2307,396,58,199,14,50,714,22811,4142,13023,469,617,41065,85,13,34,65,8,207,587,24,239,26,18,891,849,24,433,31,17,1357,831,26,378,27,25,1291,946,26,389,17,17,1399,1158,52,451,33,17,1724,1080,51,352,16,28,1526,973,82,287,6,23,1373,829,59,255,16,18,1176,522,35,141,7,10,711,342,47,88,5,9,486,247,20,40,4,4,320,309,30,63,3,3,410,108,26,42,0,3,177,179,7,46,10,23,267,9054,519,3234,279,230,13312,199,33,105,139,15,492,975,46
4RSAU,165,65,204,495,24,954,1750,42,181,208,34,2205,1435,100,506,319,69,2419,1629,170,632,313,77,2818,2243,269,809,292,99,3709,3879,417,1206,329,120,5958,6428,561,1229,289,165,8671,8858,673,1313,251,169,11266,9066,891,1332,246,140,11677,5861,640,848,143,58,7554,4828,611,647,125,78,6281,3597,365,370,86,35,4448,5039,488,499,105,44,6169,1463,543,464,129,43,2641,867,93,220,132,106,1408,57108,5926,10441,3456,1260,78189,193,27,91,428,31,769,2902,48,249,223,66,3484,3403,122,539,303,90,4460,3938,156,568,255,88,5008,5253,207,591,253,117,6414,8314,301,808,238,123,9785,8567,327,701,203,103,9904,7841,294,595,187,118,9034,6336,340,515,147,74,7414,3824,248,315,94,39,4520,2755,221,256,88,32,3352,1794,114,129,47,12,2088,1330,160,205,68,8,1776,295,181,179,67,23,742,844,54,105,107,79,1193,57585,2814,5832,2711,996,69948,363,99,290,922,52,1727,4649,90
4GADE,643,146,222,526,34,1574,7359,144,415,191,105,8218,7147,269,993,295,136,8851,6637,508,1302,292,148,8884,8264,619,1614,255,224,10972,13299,1066,2478,273,241,17364,21980,1513,2554,243,303,26591,32946,2006,2987,224,315,38472,36227,2673,2933,199,310,42342,24958,2117,1824,104,163,29162,21565,2380,1416,113,132,25603,16448,1390,833,55,77,18797,22617,2462,1301,95,105,26584,9434,3166,1787,119,104,14609,2694,276,328,64,259,3628,232221,20735,22988,3034,2669,281645,861,77,156,692,58,1836,11218,147,719,274,154,12514,13127,294,1313,403,188,15324,13388,406,1349,364,212,15715,17158,497,1479,280,230,19636,27925,742,1962,311,253,31189,32049,819,1558,233,227,34887,35176,933,1424,162,216,37915,34235,996,1238,156,185,36817,21864,790,671,77,112,23515,17393,806,616,98,77,18992,10688,404,304,45,33,11475,9760,657,572,76,42,11112,2886,737,522,70,26,4236,2940,135,183,78,182,3511,250652,8427,14077,3317,2197,278672,1499,216,378,1213,90,3409,18580,292
