GCCSA_CODE_2016,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_Turkey_E,F_Turkey_OM_IE,F_Turkey_OM_UIE,F_Turkey_CFW,F_Turkey_ES_NS,F_Turkey_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Zimbabwe_E,F_Zimbabwe_OM_IE,F_Zimbabwe_OM_UIE,F_Zimbabwe_CFW,F_Zimbabwe_ES_NS,F_Zimbabwe_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_FYROM_E,P_FYROM_OM_IE,P_FYROM_OM_UIE,P_FYROM_CFW,P_FYROM_ES_NS,P_FYROM_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Malta_E,P_Malta_OM_IE,P_Malta_OM_UIE,P_Malta_CFW,P_Malta_ES_NS,P_Malta_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot
6RTAS,0,53,64,4,11,3,0,83,9,0,0,0,0,9,1429,89,177,58,24,1779,99,9,20,9,3,133,30,3,6,0,0,44,34,0,3,3,0,42,591,25,54,21,15,708,974,45,96,33,58,1210,45433,1780,3521,1295,634,52656,77843,4581,7791,2178,1169,93563,162,10,32,3,0,206,214,24,35,20,3,299,12,0,0,0,0,12,22,5,0,0,0,28,51,3,0,0,0,55,3,0,0,0,0,3,196,19,61,20,3,294,7,3,10,0,0,23,72,8,5,3,0,88,326,40,36,9,5,428,49,4,8,0,0,58,28,4,4,0,0,34,18,0,0,0,0,18,108,7,9,3,3,125,44,6,10,3,4,70,52,0,6,0,0,56,79,3,6,0,0,97,8,3,0,0,0,9,188,14,14,5,0,227,11,6,0,0,0,19,190,48,74,21,3,343,1133,101,145,48,16,1442,24,9,3,0,0,38
6GHOB,0,43,113,5,16,3,3,140,0,0,0,0,0,3,1675,56,188,28,13,1963,185,3,32,3,0,227,48,5,11,3,3,76,40,0,0,0,0,45,897,27,80,14,8,1017,632,15,31,9,43,729,45777,1258,2814,500,441,50786,73451,3493,5595,724,745,84009,213,17,25,6,4,265,674,66,86,21,3,853,30,7,3,0,0,42,9,0,0,0,0,9,63,3,5,0,0,77,4,0,0,0,0,4,318,29,43,12,0,401,51,23,21,13,7,112,112,13,9,0,3,142,605,34,63,10,11,721,52,0,0,0,0,64,67,9,10,4,3,89,16,0,0,0,0,21,158,11,11,5,0,183,90,10,26,4,0,129,126,4,17,0,0,148,161,18,16,3,0,195,15,3,4,3,0,28,333,9,26,4,0,380,10,0,3,0,0,18,182,19,34,5,5,244,1026,51,108,21,6,1210,92,8,12,3,0,113
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,37,3,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0
69499,0,0,3,3,3,0,0,4,0,0,0,0,0,0,49,0,31,0,3,86,6,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,30,3,9,0,0,40,43,3,9,0,0,54,1712,60,485,49,48,2349,4785,536,2418,111,141,7991,13,0,0,0,0,12,10,0,0,0,0,11,0,0,0,0,0,0,3,0,3,0,0,3,0,0,5,0,0,5,0,0,0,0,0,0,17,0,12,0,0,32,0,0,3,0,0,3,0,3,0,0,0,3,21,0,6,0,0,30,7,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,7,3,3,0,0,11,6,0,6,0,0,7,0,0,3,0,0,5,3,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,16,0,12,0,0,28,80,7,47,3,4,141,4,0,0,0,0,9
5RWAU,0,101,419,18,33,12,6,487,4,0,0,0,0,5,6334,306,645,268,78,7636,301,20,42,19,0,379,123,29,61,26,10,237,535,20,34,13,3,596,2369,75,159,79,31,2713,1595,88,172,92,98,2041,89929,4286,7578,3538,1203,106527,155812,10561,15492,5865,2092,189816,513,23,42,20,3,598,791,50,49,31,3,928,118,15,18,8,8,160,78,8,6,0,0,91,243,6,6,0,3,261,69,0,4,4,0,77,913,51,134,32,15,1144,40,4,13,3,3,68,222,13,9,10,4,247,1949,77,70,22,19,2134,462,16,25,17,4,523,160,9,7,6,0,180,52,0,4,0,4,57,1712,56,66,26,11,1865,466,64,67,60,14,673,180,6,10,4,4,202,482,10,16,3,9,517,36,13,7,0,0,56,709,33,37,10,3,786,51,3,3,0,0,55,548,41,97,30,10,730,13919,426,562,164,147,15216,167,12,19,3,4,198
5GPER,9,1584,1863,49,150,32,13,2111,106,15,12,7,3,144,44599,1868,2936,562,278,50238,1636,71,125,25,3,1869,3154,265,650,166,38,4280,2892,100,121,41,16,3173,22382,788,1377,306,202,25054,3417,126,244,72,198,4054,372700,15347,22167,5495,2733,418438,409167,29487,30010,5316,3125,477106,2426,166,190,26,14,2820,9770,1081,821,390,79,12148,1257,110,175,32,20,1595,563,64,68,12,10,727,483,17,19,3,4,525,1121,106,117,22,14,1382,3238,299,381,77,22,4014,371,60,63,12,7,507,2759,177,212,49,17,3222,23904,1330,1331,234,185,26986,4627,332,247,79,26,5310,2215,176,220,43,21,2678,612,67,110,16,17,823,8561,551,495,70,64,9742,3894,682,626,169,74,5450,1814,97,155,28,10,2104,2660,350,236,74,31,3350,271,55,47,13,4,394,12901,947,957,207,85,15092,223,24,26,9,3,282,1868,210,284,48,20,2427,29966,1531,1956,291,298,34032,1980,94,174,16,26,2295
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,91,0,3,3,3,99,1025,14,16,5,3,1064,7,0,0,0,0,7,3,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15,6,0,0,0,0,6,3,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,17,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,7,125,0,0,0,3,127,0,0,0,0,0,0
59499,0,18,66,4,27,3,0,101,3,0,0,0,0,5,1078,59,506,27,31,1702,35,6,19,0,4,59,50,8,16,5,3,80,79,0,14,0,0,95,496,35,202,11,18,756,150,15,58,14,10,249,9054,519,3234,279,230,13312,20383,2905,9823,501,502,34106,68,10,34,0,0,116,193,32,104,13,3,342,64,9,50,3,5,130,14,3,15,0,0,35,21,0,9,0,0,34,51,16,35,0,3,103,130,17,93,3,0,238,11,8,8,0,0,30,53,5,24,0,0,82,403,79,226,3,17,730,88,4,40,4,4,141,41,8,76,3,9,145,26,0,15,0,4,47,435,64,175,3,14,695,156,64,166,7,3,396,36,0,11,3,3,56,106,42,50,3,0,197,8,10,17,0,0,29,209,39,102,3,5,357,10,3,3,0,0,16,98,22,65,3,3,187,2379,226,646,27,38,3321,74,11,45,0,0,131
4RSAU,0,53,85,13,12,8,0,118,0,0,3,0,0,6,2573,122,303,104,55,3152,119,7,22,8,0,151,83,12,16,6,4,115,83,7,3,0,0,94,765,25,56,19,22,881,1116,58,135,74,80,1456,57585,2814,5832,2711,996,69948,98820,7639,14328,5430,1804,128021,113,17,13,6,0,152,495,29,13,20,5,564,38,10,8,6,3,59,20,11,0,0,0,31,77,0,3,0,0,87,6,0,0,0,0,10,309,39,72,28,4,463,61,23,39,36,3,159,75,5,4,0,0,90,697,77,44,48,10,877,62,0,5,0,3,74,38,8,0,0,0,46,15,3,0,0,0,20,135,10,19,3,4,167,179,26,51,28,12,283,44,0,6,0,0,48,97,4,6,3,3,116,12,0,4,0,0,22,159,16,16,3,0,206,11,0,9,0,3,24,233,33,88,33,10,398,1301,79,144,45,20,1584,87,13,4,0,3,102
4GADE,12,786,639,25,80,25,3,771,75,4,9,0,0,84,18862,642,1226,259,137,21121,805,35,57,11,5,918,2527,191,506,127,48,3394,377,7,17,0,3,402,9234,311,613,171,112,10432,2553,133,175,44,168,3074,250652,8427,14077,3317,2197,278672,353961,20260,25173,3849,3147,406395,973,77,85,16,10,1161,6689,874,559,419,50,8589,580,73,96,15,17,783,326,49,45,8,5,440,562,23,26,12,6,634,88,15,16,5,0,124,2002,176,263,46,31,2522,1018,209,221,60,36,1541,1287,108,59,14,8,1476,13799,702,723,133,145,15502,723,19,50,3,10,808,1351,112,135,22,13,1631,272,25,46,15,7,363,1176,74,96,6,13,1371,2678,521,607,154,47,4002,625,21,48,0,7,702,1296,131,156,78,16,1678,327,78,128,12,17,567,3224,248,256,60,22,3807,234,26,31,8,6,307,1125,118,173,39,17,1477,4918,316,397,52,41,5720,958,72,70,8,13,1131
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,43,0,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0
49499,0,20,21,0,6,0,3,37,0,0,0,0,0,0,510,17,231,8,6,766,18,0,12,0,0,25,56,0,19,0,0,74,11,0,0,0,0,12,233,31,68,5,7,344,114,3,48,4,11,184,6452,270,2125,186,134,9161,14616,2116,8590,376,412,26107,27,5,24,0,0,53,132,41,115,12,3,305,37,17,50,0,3,104,8,0,3,0,0,12,14,3,4,0,0,22,0,0,5,3,0,7,76,10,64,0,0,154,46,14,56,4,4,119,30,8,17,0,0,56,300,42,129,12,12,486,16,0,14,0,0,34,35,6,32,0,0,79,10,0,5,0,0,12,51,5,25,0,0,80,100,44,150,10,11,315,15,0,7,0,0,19,38,5,11,0,0,62,10,8,8,0,0,31,63,3,42,4,0,110,0,7,15,0,0,19,53,16,57,4,3,132,273,37,135,0,9,457,28,0,15,0,0,41
