GCCSA_CODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
6RTAS,993,133,19,4618,4,38,581,1218,1491,1002,192,27,4548,6,22,150,452,634,578,169,32,2052,139,146,228,289,380,320,117,26,1643,6348,9187,18564,20853,25717,20492,4825,828,106812
6GHOB,1113,116,9,5415,0,16,730,1783,2235,1353,201,30,6355,3,17,174,689,970,722,204,28,2811,97,107,206,229,243,200,59,14,1156,5252,8823,20195,21168,22810,17029,3629,453,99359
69799,0,0,0,11,0,0,3,4,3,4,0,0,15,0,0,0,4,3,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,10,13,12,3,0,55
69499,52,7,0,251,0,9,60,78,75,47,6,0,280,0,5,26,32,53,33,8,4,158,15,23,27,33,34,40,13,3,186,314,712,1839,1777,2226,1841,369,54,9138
5RWAU,3308,470,66,18738,35,1085,10779,11094,10644,6007,823,105,40569,35,401,5694,7371,6965,3714,685,96,24966,277,351,784,911,1063,828,296,91,4604,11592,17799,56446,57637,60604,43329,10831,1873,260110
5GPER,8912,1574,119,54425,16,777,18084,26173,24437,14503,2454,208,86650,47,247,5793,16735,17830,9866,2168,320,53010,817,1300,2390,2219,2557,1617,559,96,11555,44502,82678,202930,185435,179644,121702,29855,3420,850156
59799,11,0,0,79,0,4,144,113,116,57,3,4,447,0,6,173,274,259,118,9,0,837,0,0,7,4,13,4,0,0,32,12,42,405,453,444,219,14,4,1595
59499,435,66,4,3185,3,159,1440,1367,1208,631,94,9,4908,6,56,554,768,670,358,60,7,2483,45,94,225,175,224,161,48,14,983,2008,5176,13018,11675,11951,8291,2019,229,54379
4RSAU,1419,270,33,6539,4,116,1437,2095,2354,1579,313,58,7946,13,30,371,808,979,825,281,70,3383,205,204,382,423,553,558,191,90,2601,8269,11785,26212,28369,34799,28948,8100,1643,148135
4GADE,6013,975,84,30273,9,169,5323,11390,11974,7472,1242,117,37694,29,92,1329,5076,6500,4393,1233,194,18847,497,712,1422,1353,1586,1114,351,94,7140,27618,52755,122943,120245,124498,89541,20306,2404,560314
49799,0,0,0,7,0,0,0,3,9,3,0,0,22,0,0,0,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,5,13,25,8,0,0,64
49499,191,31,0,1134,0,24,325,366,382,190,37,7,1332,8,12,90,155,156,92,36,4,551,18,47,125,119,135,112,32,6,587,1086,3144,6992,6837,8214,6315,1538,185,34311
3RQLD,8518,1397,166,47622,41,1003,13479,19465,19661,11080,1888,258,66878,83,297,4203,9271,10005,6397,1730,356,32344,1389,1569,2809,3150,3877,2985,1168,343,17283,63651,90780,200471,210273,222608,159644,40324,6175,993929
3GBRI,9063,1382,106,59494,21,538,16509,29201,26032,13231,2036,195,87761,65,211,4594,16379,17514,9025,2009,316,50112,1091,1528,2894,2992,3023,2006,576,136,14246,58115,106584,242652,235543,220119,140234,31255,3393,1037906
39799,8,0,0,17,0,0,11,10,14,12,3,0,47,0,0,5,6,5,4,0,0,28,0,0,0,0,0,0,0,0,3,3,16,42,53,44,37,7,0,202
39499,628,81,9,4684,3,120,1311,1633,1392,747,120,14,5342,7,41,395,734,703,376,91,14,2355,96,178,394,455,446,328,108,26,2040,4033,9101,21291,21752,22346,16091,3810,410,98838
2RVIC,5048,838,125,23687,13,165,3813,7378,8472,5762,988,185,26776,74,164,1192,3217,4218,3254,961,237,13325,920,954,1509,1788,2309,2153,821,304,10765,35239,50098,103618,110259,127568,105069,27731,5409,564981
2GMEL,17838,3120,345,115096,55,794,35430,59412,47410,26082,4747,512,174445,119,471,10586,37693,38122,19822,5061,773,112638,1956,3728,7321,6882,7519,5042,1563,357,34361,84903,193831,519803,468623,427624,276266,66824,8290,2046169
29799,0,0,0,11,0,0,0,12,12,8,0,0,29,0,0,5,20,20,14,0,0,60,0,0,0,0,0,6,0,0,5,0,3,26,39,57,28,3,0,157
29499,635,104,20,4907,3,105,1291,1752,1376,696,126,22,5375,16,32,365,696,731,386,121,16,2357,120,306,559,582,681,477,162,34,2922,4421,12150,27242,25210,26106,18621,4671,612,119032
1RNSW,10512,1574,224,50183,28,514,10278,18973,19824,12864,2020,356,64860,89,201,2636,7280,8852,6615,1887,414,27980,1450,1548,2660,3044,3692,3142,1251,533,17319,62596,88710,188244,202196,227835,180896,46160,8796,1005433
1GSYD,20589,3905,406,138679,64,1149,51110,78131,58001,32496,6171,633,227764,122,536,17431,56348,53376,27134,6699,1068,162717,1779,3483,7531,6776,6704,4416,1430,343,32459,92447,207624,557369,515124,453465,298871,74981,9410,2209294
19799,0,0,0,4,0,0,3,4,3,0,0,0,11,0,0,3,5,4,3,0,0,16,0,0,0,0,0,0,0,0,0,3,10,17,17,24,12,3,0,86
19499,809,155,3,5734,6,126,1511,2096,1788,912,192,19,6656,9,32,447,885,904,477,154,26,2935,122,267,560,603,663,510,140,48,2919,6211,13764,29922,30661,32366,23838,5925,690,143365
