GCCSA_CODE_2016,Tot_65_69_HW_0,Tot_65_69_HW_1_15,Tot_65_69_HW_16_24,Tot_65_69_HW_25_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40,Tot_65_69_HW_41_48,Tot_65_69_HW_49mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_15,Tot_70_74_HW_16_24,Tot_70_74_HW_25_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40,Tot_70_74_HW_41_48,Tot_70_74_HW_49mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_15,Tot_75ov_HW_16_24,Tot_75ov_HW_25_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40,Tot_75ov_HW_41_48,Tot_75ov_HW_49mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_15,Tot_Tot_HW_16_24,Tot_Tot_HW_25_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40,Tot_Tot_HW_41_48,Tot_Tot_HW_49mor,Tot_Tot_HW_NS,Tot_Tot_Tot
59799,0,0,0,0,0,0,0,9,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,169,39,16,21,31,37,35,1221,31,1595
59499,151,420,248,209,103,133,71,182,30,1547,48,170,67,61,28,33,15,41,12,474,37,63,40,19,8,15,3,17,22,229,3490,7379,5206,6234,5877,9740,4131,11075,1251,54379
4RSAU,372,1194,780,714,489,640,350,1060,128,5725,143,591,351,315,122,243,116,383,100,2375,109,427,179,197,110,162,70,233,162,1643,6372,18744,15222,19158,24285,21421,13529,26510,2889,148135
4GADE,754,3400,2315,2047,2199,1678,998,1691,243,15333,233,1665,791,634,423,390,196,499,147,4975,136,831,333,284,170,156,114,193,192,2404,19955,70962,58272,73823,124338,87703,52080,64808,8370,560314
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,3,8,4,5,19,0,64
49499,92,355,174,169,84,98,49,115,21,1166,24,155,62,48,16,37,3,24,13,375,19,58,22,19,6,18,3,8,24,185,1810,5453,3687,4687,4521,5944,2625,4871,699,34311
3RQLD,1315,5737,3726,3879,3528,3404,1713,5250,666,29216,485,2902,1552,1376,815,1114,477,1986,392,11110,290,1559,729,694,330,559,268,1168,578,6175,34323,112218,93482,126686,183316,154965,92147,177902,18887,993929
3GBRI,1059,4467,3176,3257,3571,3071,1519,3155,388,23661,302,2174,1206,996,658,788,382,886,213,7599,146,1099,466,397,254,270,119,325,312,3393,33245,110101,98511,117930,215168,193971,99981,151886,17105,1037906
39799,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,24,7,3,7,12,17,15,114,11,202
39499,236,761,416,426,177,314,128,365,80,2889,92,317,136,109,43,56,43,87,45,924,52,136,61,30,24,15,14,34,47,410,4786,12934,9263,11584,11806,17969,8835,19254,2402,98838
2RVIC,1366,4379,2887,2610,1883,2260,1031,3172,477,20066,469,2022,1084,943,475,742,313,1286,333,7664,361,1246,667,664,348,547,240,824,511,5409,23975,76639,62259,71728,95934,92074,49555,81275,11544,564981
2GMEL,2177,9931,7486,7069,7221,6566,2938,5418,925,49734,818,5140,2759,2240,1649,1732,706,1549,504,17088,438,2863,1165,948,608,681,258,694,638,8290,61696,235746,211657,219347,399039,414394,192240,273794,38241,2046169
29799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22,8,9,3,11,15,13,80,9,157
29499,222,1009,560,465,269,389,134,290,80,3430,103,469,175,151,58,115,34,83,61,1240,60,214,81,55,29,52,18,40,61,612,5166,16556,12061,13726,15284,26496,9591,17035,3122,119032
1RNSW,1718,7054,5042,3936,3572,3786,1645,5409,784,32947,669,3554,1974,1590,818,1299,570,2204,535,13210,471,2068,1181,962,510,874,381,1458,894,8796,37214,125022,108538,126216,188464,163788,86924,149363,19900,1005433
1GSYD,2207,10261,8862,6477,8394,8269,3292,6624,978,55355,800,5421,3611,2365,2018,2280,831,1821,479,19621,452,3152,1551,1109,654,877,291,761,571,9410,63108,218788,227092,209086,434710,478061,206972,328605,42877,2209294
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,6,5,5,3,9,7,34,0,86
19499,310,1196,707,587,318,530,191,460,117,4420,117,536,260,182,71,114,44,130,57,1508,76,220,112,60,23,40,20,39,98,690,6077,19723,15762,16393,17453,30717,11320,22131,3799,143365
