LGA_NAME16	Occupation	OccupationSubtype	workers
Balranald (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	10
Balranald (A)	Technicians and trades workers	Engineering ICT and science technicians	9
Balranald (A)	Technicians and trades workers	Food trades workers	24
Balranald (A)	Technicians and trades workers	Other technicians and trades workers	4
Balranald (A)	Technicians and trades workers	Skilled animal and horticultural workers	19
Bathurst Regional (A)			275
Bathurst Regional (A)	Clerical and administrative workers	Clerical and administrative workers nfd	4
Bathurst Regional (A)	Clerical and administrative workers	Clerical and office support workers	115
Bathurst Regional (A)	Clerical and administrative workers	General clerical workers	497
Bathurst Regional (A)	Clerical and administrative workers	Inquiry clerks and receptionists	393
Bathurst Regional (A)	Clerical and administrative workers	Numerical clerks	402
Bathurst Regional (A)	Clerical and administrative workers	Office managers and program administrators	368
Bathurst Regional (A)	Clerical and administrative workers	Other clerical and administrative workers	256
Bathurst Regional (A)	Clerical and administrative workers	Personal assistants and secretaries	156
Bathurst Regional (A)	Community and personal service workers	Carers and aides	994
Bathurst Regional (A)	Community and personal service workers	Health and welfare support workers	270
Bathurst Regional (A)	Community and personal service workers	Hospitality workers	461
Bathurst Regional (A)	Community and personal service workers	Protective service workers	429
Bathurst Regional (A)	Community and personal service workers	Sports and personal service workers	275
Bathurst Regional (A)	Labourers	Cleaners and laundry workers	518
Bathurst Regional (A)	Labourers	Construction and mining labourers	199
Bathurst Regional (A)	Labourers	Factory process workers	483
Bathurst Regional (A)	Labourers	Farm forestry and garden workers	171
Bathurst Regional (A)	Labourers	Food preparation assistants	294
Bathurst Regional (A)	Labourers	Labourers nfd	34
Bathurst Regional (A)	Labourers	Other labourers	291
Bathurst Regional (A)	Machinery operators and drivers	Machine and stationary plant operators	170
Bathurst Regional (A)	Machinery operators and drivers	Machinery operators and drivers nfd	28
Bathurst Regional (A)	Machinery operators and drivers	Mobile plant operators	179
Bathurst Regional (A)	Machinery operators and drivers	Road and rail drivers	468
Bathurst Regional (A)	Machinery operators and drivers	Storepersons	80
Bathurst Regional (A)	Managers	Chief executives general managers and legislators	98
Bathurst Regional (A)	Managers	Farmers and farm managers	387
Bathurst Regional (A)	Managers	Hospitality retail and service managers	751
Bathurst Regional (A)	Managers	Managers nfd	36
Bathurst Regional (A)	Managers	Specialist managers	865
Bathurst Regional (A)	Professionals	Arts and media professionals	88
Bathurst Regional (A)	Professionals	Business human resource and marketing professionals	525
Bathurst Regional (A)	Professionals	Design engineering science and transport professionals	342
Bathurst Regional (A)	Professionals	Education professionals	1154
Bathurst Regional (A)	Professionals	Health professionals	789
Bathurst Regional (A)	Professionals	Information and Communication Technology ICT professionals	118
Bathurst Regional (A)	Professionals	Legal social and welfare professionals	282
Bathurst Regional (A)	Professionals	Professionals nfd	41
Bathurst Regional (A)	Sales workers	Sales assistants and salespersons	1399
Bathurst Regional (A)	Sales workers	Sales representatives and agents	234
Bathurst Regional (A)	Sales workers	Sales support workers	229
Bathurst Regional (A)	Sales workers	Sales workers nfd	4
Bathurst Regional (A)	Technicians and trades workers	Automotive and engineering trades workers	518
Bathurst Regional (A)	Technicians and trades workers	Construction trades workers	447
Bathurst Regional (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	300
Bathurst Regional (A)	Technicians and trades workers	Engineering ICT and science technicians	311
Bathurst Regional (A)	Technicians and trades workers	Food trades workers	295
Bathurst Regional (A)	Technicians and trades workers	Other technicians and trades workers	230
Bathurst Regional (A)	Technicians and trades workers	Skilled animal and horticultural workers	176
Bathurst Regional (A)	Technicians and trades workers	Technicians and trades workers nfd	22
Bega Valley (A)			186
Bega Valley (A)	Clerical and administrative workers	Clerical and administrative workers nfd	3
Bega Valley (A)	Clerical and administrative workers	Clerical and office support workers	94
Bega Valley (A)	Clerical and administrative workers	General clerical workers	272
Bega Valley (A)	Clerical and administrative workers	Inquiry clerks and receptionists	246
Bega Valley (A)	Clerical and administrative workers	Numerical clerks	296
Bega Valley (A)	Clerical and administrative workers	Office managers and program administrators	198
Bega Valley (A)	Clerical and administrative workers	Other clerical and administrative workers	146
Bega Valley (A)	Clerical and administrative workers	Personal assistants and secretaries	101
Bega Valley (A)	Community and personal service workers	Carers and aides	680
Bega Valley (A)	Community and personal service workers	Health and welfare support workers	200
Bega Valley (A)	Community and personal service workers	Hospitality workers	369
Bega Valley (A)	Community and personal service workers	Protective service workers	96
Bega Valley (A)	Community and personal service workers	Sports and personal service workers	128
Bega Valley (A)	Labourers	Cleaners and laundry workers	386
Bega Valley (A)	Labourers	Construction and mining labourers	127
Bega Valley (A)	Labourers	Factory process workers	450
Bega Valley (A)	Labourers	Farm forestry and garden workers	193
Bega Valley (A)	Labourers	Food preparation assistants	195
Bega Valley (A)	Labourers	Labourers nfd	31
Bega Valley (A)	Labourers	Other labourers	251
Bega Valley (A)	Machinery operators and drivers	Machine and stationary plant operators	123
Bega Valley (A)	Machinery operators and drivers	Machinery operators and drivers nfd	10
Bega Valley (A)	Machinery operators and drivers	Mobile plant operators	159
Bega Valley (A)	Machinery operators and drivers	Road and rail drivers	333
Bega Valley (A)	Machinery operators and drivers	Storepersons	40
Bega Valley (A)	Managers	Chief executives general managers and legislators	68
Bega Valley (A)	Managers	Farmers and farm managers	537
Bega Valley (A)	Managers	Hospitality retail and service managers	651
Bega Valley (A)	Managers	Managers nfd	17
Bega Valley (A)	Managers	Specialist managers	406
Bega Valley (A)	Professionals	Arts and media professionals	82
Bega Valley (A)	Professionals	Business human resource and marketing professionals	236
Bega Valley (A)	Professionals	Design engineering science and transport professionals	216
Bega Valley (A)	Professionals	Education professionals	559
Bega Valley (A)	Professionals	Health professionals	647
Bega Valley (A)	Professionals	Information and Communication Technology ICT professionals	56
Bega Valley (A)	Professionals	Legal social and welfare professionals	154
Bega Valley (A)	Professionals	Professionals nfd	10
Bega Valley (A)	Sales workers	Sales assistants and salespersons	1008
Bega Valley (A)	Sales workers	Sales representatives and agents	195
Bega Valley (A)	Sales workers	Sales support workers	161
Bega Valley (A)	Technicians and trades workers	Automotive and engineering trades workers	346
Bega Valley (A)	Technicians and trades workers	Construction trades workers	285
Bega Valley (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	156
Bega Valley (A)	Technicians and trades workers	Engineering ICT and science technicians	180
Bega Valley (A)	Technicians and trades workers	Food trades workers	283
Bega Valley (A)	Technicians and trades workers	Other technicians and trades workers	169
Bega Valley (A)	Technicians and trades workers	Skilled animal and horticultural workers	185
Bega Valley (A)	Technicians and trades workers	Technicians and trades workers nfd	18
Bellingen (A)			65
Bellingen (A)	Clerical and administrative workers	Clerical and office support workers	24
Bellingen (A)	Clerical and administrative workers	General clerical workers	90
Bellingen (A)	Clerical and administrative workers	Inquiry clerks and receptionists	41
Bellingen (A)	Clerical and administrative workers	Numerical clerks	81
Bellingen (A)	Clerical and administrative workers	Office managers and program administrators	64
Bellingen (A)	Clerical and administrative workers	Other clerical and administrative workers	25
Bellingen (A)	Clerical and administrative workers	Personal assistants and secretaries	29
Bellingen (A)	Community and personal service workers	Carers and aides	201
Bellingen (A)	Community and personal service workers	Health and welfare support workers	62
Bellingen (A)	Community and personal service workers	Hospitality workers	133
Bellingen (A)	Community and personal service workers	Protective service workers	14
Bellingen (A)	Community and personal service workers	Sports and personal service workers	37
Bellingen (A)	Labourers	Cleaners and laundry workers	95
Bellingen (A)	Labourers	Construction and mining labourers	52
Bellingen (A)	Labourers	Factory process workers	95
Bellingen (A)	Labourers	Farm forestry and garden workers	96
Bellingen (A)	Labourers	Food preparation assistants	69
Bellingen (A)	Labourers	Labourers nfd	10
Bellingen (A)	Labourers	Other labourers	58
Bellingen (A)	Machinery operators and drivers	Machine and stationary plant operators	55
Bellingen (A)	Machinery operators and drivers	Machinery operators and drivers nfd	7
Bellingen (A)	Machinery operators and drivers	Mobile plant operators	61
Bellingen (A)	Machinery operators and drivers	Road and rail drivers	95
Bellingen (A)	Machinery operators and drivers	Storepersons	22
Bellingen (A)	Managers	Chief executives general managers and legislators	17
Bellingen (A)	Managers	Farmers and farm managers	223
Bellingen (A)	Managers	Hospitality retail and service managers	186
Bellingen (A)	Managers	Managers nfd	17
Bellingen (A)	Managers	Specialist managers	153
Bellingen (A)	Professionals	Arts and media professionals	30
Bellingen (A)	Professionals	Business human resource and marketing professionals	63
Bellingen (A)	Professionals	Design engineering science and transport professionals	106
Bellingen (A)	Professionals	Education professionals	203
Bellingen (A)	Professionals	Health professionals	192
Bellingen (A)	Professionals	Information and Communication Technology ICT professionals	24
Bellingen (A)	Professionals	Legal social and welfare professionals	31
Bellingen (A)	Professionals	Professionals nfd	4
Bellingen (A)	Sales workers	Sales assistants and salespersons	215
Bellingen (A)	Sales workers	Sales representatives and agents	57
Bellingen (A)	Sales workers	Sales support workers	34
Bellingen (A)	Technicians and trades workers	Automotive and engineering trades workers	108
Bellingen (A)	Technicians and trades workers	Construction trades workers	77
Bellingen (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	26
Bellingen (A)	Technicians and trades workers	Engineering ICT and science technicians	47
Bellingen (A)	Technicians and trades workers	Food trades workers	92
Bellingen (A)	Technicians and trades workers	Other technicians and trades workers	60
Bellingen (A)	Technicians and trades workers	Skilled animal and horticultural workers	53
Bellingen (A)	Technicians and trades workers	Technicians and trades workers nfd	3
Berrigan (A)			42
Berrigan (A)	Clerical and administrative workers	Clerical and office support workers	18
Berrigan (A)	Clerical and administrative workers	General clerical workers	73
Berrigan (A)	Clerical and administrative workers	Inquiry clerks and receptionists	37
Berrigan (A)	Clerical and administrative workers	Numerical clerks	58
Berrigan (A)	Clerical and administrative workers	Office managers and program administrators	41
Berrigan (A)	Clerical and administrative workers	Other clerical and administrative workers	17
Berrigan (A)	Clerical and administrative workers	Personal assistants and secretaries	19
Berrigan (A)	Community and personal service workers	Carers and aides	159
Berrigan (A)	Community and personal service workers	Health and welfare support workers	46
Berrigan (A)	Community and personal service workers	Hospitality workers	88
Berrigan (A)	Community and personal service workers	Protective service workers	14
Berrigan (A)	Community and personal service workers	Sports and personal service workers	23
Berrigan (A)	Labourers	Cleaners and laundry workers	83
Berrigan (A)	Labourers	Construction and mining labourers	15
Berrigan (A)	Labourers	Factory process workers	43
Berrigan (A)	Labourers	Farm forestry and garden workers	124
Berrigan (A)	Labourers	Food preparation assistants	44
Berrigan (A)	Labourers	Labourers nfd	5
Berrigan (A)	Labourers	Other labourers	37
Berrigan (A)	Machinery operators and drivers	Machine and stationary plant operators	40
Berrigan (A)	Machinery operators and drivers	Machinery operators and drivers nfd	10
Berrigan (A)	Machinery operators and drivers	Mobile plant operators	56
Berrigan (A)	Machinery operators and drivers	Road and rail drivers	119
Berrigan (A)	Machinery operators and drivers	Storepersons	13
Berrigan (A)	Managers	Chief executives general managers and legislators	17
Berrigan (A)	Managers	Farmers and farm managers	382
Berrigan (A)	Managers	Hospitality retail and service managers	157
Berrigan (A)	Managers	Managers nfd	4
Berrigan (A)	Managers	Specialist managers	93
Berrigan (A)	Professionals	Arts and media professionals	8
Berrigan (A)	Professionals	Business human resource and marketing professionals	37
Berrigan (A)	Professionals	Design engineering science and transport professionals	31
Berrigan (A)	Professionals	Education professionals	108
Berrigan (A)	Professionals	Health professionals	88
Berrigan (A)	Professionals	Legal social and welfare professionals	24
Berrigan (A)	Sales workers	Sales assistants and salespersons	145
Berrigan (A)	Sales workers	Sales representatives and agents	30
Berrigan (A)	Sales workers	Sales support workers	20
Berrigan (A)	Technicians and trades workers	Automotive and engineering trades workers	118
Berrigan (A)	Technicians and trades workers	Construction trades workers	29
Berrigan (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	24
Berrigan (A)	Technicians and trades workers	Engineering ICT and science technicians	21
Berrigan (A)	Technicians and trades workers	Food trades workers	65
Berrigan (A)	Technicians and trades workers	Other technicians and trades workers	33
Berrigan (A)	Technicians and trades workers	Skilled animal and horticultural workers	52
Berrigan (A)	Technicians and trades workers	Technicians and trades workers nfd	3
Blacktown (C)			2097
Blacktown (C)	Clerical and administrative workers	Clerical and administrative workers nfd	23
Blacktown (C)	Clerical and administrative workers	Clerical and office support workers	900
Blacktown (C)	Clerical and administrative workers	General clerical workers	2839
Blacktown (C)	Clerical and administrative workers	Inquiry clerks and receptionists	2190
Blacktown (C)	Clerical and administrative workers	Numerical clerks	2689
Blacktown (C)	Clerical and administrative workers	Office managers and program administrators	2008
Blacktown (C)	Clerical and administrative workers	Other clerical and administrative workers	2932
Blacktown (C)	Clerical and administrative workers	Personal assistants and secretaries	675
Blacktown (C)	Community and personal service workers	Carers and aides	4554
Blacktown (C)	Community and personal service workers	Community and personal service workers nfd	3
Blacktown (C)	Community and personal service workers	Health and welfare support workers	987
Blacktown (C)	Community and personal service workers	Hospitality workers	1412
Blacktown (C)	Community and personal service workers	Protective service workers	1316
Blacktown (C)	Community and personal service workers	Sports and personal service workers	1121
Blacktown (C)	Labourers	Cleaners and laundry workers	1825
Blacktown (C)	Labourers	Construction and mining labourers	1486
Blacktown (C)	Labourers	Factory process workers	3573
Blacktown (C)	Labourers	Farm forestry and garden workers	329
Blacktown (C)	Labourers	Food preparation assistants	1453
Blacktown (C)	Labourers	Labourers nfd	258
Blacktown (C)	Labourers	Other labourers	2180
Blacktown (C)	Machinery operators and drivers	Machine and stationary plant operators	1711
Blacktown (C)	Machinery operators and drivers	Machinery operators and drivers nfd	205
Blacktown (C)	Machinery operators and drivers	Mobile plant operators	2867
Blacktown (C)	Machinery operators and drivers	Road and rail drivers	5884
Blacktown (C)	Machinery operators and drivers	Storepersons	5382
Blacktown (C)	Managers	Chief executives general managers and legislators	1033
Blacktown (C)	Managers	Farmers and farm managers	121
Blacktown (C)	Managers	Hospitality retail and service managers	3722
Blacktown (C)	Managers	Managers nfd	285
Blacktown (C)	Managers	Specialist managers	6784
Blacktown (C)	Professionals	Arts and media professionals	313
Blacktown (C)	Professionals	Business human resource and marketing professionals	3241
Blacktown (C)	Professionals	Design engineering science and transport professionals	1834
Blacktown (C)	Professionals	Education professionals	6044
Blacktown (C)	Professionals	Health professionals	3461
Blacktown (C)	Professionals	Information and Communication Technology ICT professionals	888
Blacktown (C)	Professionals	Legal social and welfare professionals	1131
Blacktown (C)	Professionals	Professionals nfd	117
Blacktown (C)	Sales workers	Sales assistants and salespersons	7121
Blacktown (C)	Sales workers	Sales representatives and agents	1877
Blacktown (C)	Sales workers	Sales support workers	1574
Blacktown (C)	Sales workers	Sales workers nfd	36
Blacktown (C)	Technicians and trades workers	Automotive and engineering trades workers	3222
Blacktown (C)	Technicians and trades workers	Construction trades workers	2250
Blacktown (C)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	2185
Blacktown (C)	Technicians and trades workers	Engineering ICT and science technicians	1638
Blacktown (C)	Technicians and trades workers	Food trades workers	1033
Blacktown (C)	Technicians and trades workers	Other technicians and trades workers	1537
Blacktown (C)	Technicians and trades workers	Skilled animal and horticultural workers	747
Blacktown (C)	Technicians and trades workers	Technicians and trades workers nfd	255
Bland (A)			59
Bland (A)	Clerical and administrative workers	Clerical and office support workers	20
Bland (A)	Clerical and administrative workers	General clerical workers	47
Bland (A)	Clerical and administrative workers	Inquiry clerks and receptionists	31
Bland (A)	Clerical and administrative workers	Numerical clerks	57
Bland (A)	Clerical and administrative workers	Office managers and program administrators	30
Bland (A)	Clerical and administrative workers	Other clerical and administrative workers	30
Bland (A)	Clerical and administrative workers	Personal assistants and secretaries	25
Bland (A)	Community and personal service workers	Carers and aides	75
Bland (A)	Community and personal service workers	Health and welfare support workers	28
Bland (A)	Community and personal service workers	Hospitality workers	59
Bland (A)	Community and personal service workers	Protective service workers	14
Bland (A)	Community and personal service workers	Sports and personal service workers	3
Bland (A)	Labourers	Cleaners and laundry workers	69
Bland (A)	Labourers	Construction and mining labourers	53
Bland (A)	Labourers	Factory process workers	33
Bland (A)	Labourers	Farm forestry and garden workers	104
Bland (A)	Labourers	Food preparation assistants	15
Bland (A)	Labourers	Labourers nfd	9
Bland (A)	Labourers	Other labourers	34
Bland (A)	Machinery operators and drivers	Machine and stationary plant operators	153
Bland (A)	Machinery operators and drivers	Machinery operators and drivers nfd	8
Bland (A)	Machinery operators and drivers	Mobile plant operators	59
Bland (A)	Machinery operators and drivers	Road and rail drivers	99
Bland (A)	Machinery operators and drivers	Storepersons	6
Bland (A)	Managers	Chief executives general managers and legislators	13
Bland (A)	Managers	Farmers and farm managers	540
Bland (A)	Managers	Hospitality retail and service managers	101
Bland (A)	Managers	Specialist managers	59
Bland (A)	Professionals	Arts and media professionals	4
Bland (A)	Professionals	Business human resource and marketing professionals	33
Bland (A)	Professionals	Design engineering science and transport professionals	45
Bland (A)	Professionals	Education professionals	111
Bland (A)	Professionals	Health professionals	64
Bland (A)	Professionals	Legal social and welfare professionals	5
Bland (A)	Sales workers	Sales assistants and salespersons	115
Bland (A)	Sales workers	Sales representatives and agents	19
Bland (A)	Sales workers	Sales support workers	25
Bland (A)	Technicians and trades workers	Automotive and engineering trades workers	144
Bland (A)	Technicians and trades workers	Construction trades workers	16
Bland (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	23
Bland (A)	Technicians and trades workers	Engineering ICT and science technicians	55
Bland (A)	Technicians and trades workers	Food trades workers	31
Bland (A)	Technicians and trades workers	Other technicians and trades workers	24
