LGA_NAME16	YearOfArrival.max	workers_born_overseas
Narrabri (A)	1991	152
Narrabri (A)	1995	17
Narrabri (A)	2000	34
Narrabri (A)	2005	35
Narrabri (A)	2010	84
Narrabri (A)	2015	68
Narrabri (A)		12
Narrandera (A)	1991	44
Narrandera (A)	1995	12
Narrandera (A)	2000	12
Narrandera (A)	2005	4
Narrandera (A)	2010	20
Narrandera (A)	2015	28
Narrandera (A)	2016	6
Narrandera (A)		13
Narromine (A)	1991	64
Narromine (A)	1995	5
Narromine (A)	2000	3
Narromine (A)	2005	14
Narromine (A)	2010	15
Narromine (A)	2015	15
Narromine (A)		6
Newcastle (C)	1991	4778
Newcastle (C)	1995	834
Newcastle (C)	2000	954
Newcastle (C)	2005	1347
Newcastle (C)	2010	1958
Newcastle (C)	2015	1995
Newcastle (C)	2016	143
Newcastle (C)		301
North Sydney (A)	1991	8395
North Sydney (A)	1995	2683
North Sydney (A)	2000	3750
North Sydney (A)	2005	4563
North Sydney (A)	2010	6624
North Sydney (A)	2015	7912
North Sydney (A)	2016	853
North Sydney (A)		622
Northern Beaches (A)	1991	10203
Northern Beaches (A)	1995	2361
Northern Beaches (A)	2000	3679
Northern Beaches (A)	2005	3904
Northern Beaches (A)	2010	5684
Northern Beaches (A)	2015	5764
Northern Beaches (A)	2016	546
Northern Beaches (A)		718
Oberon (A)	1991	108
Oberon (A)	1995	14
Oberon (A)	2000	31
Oberon (A)	2005	18
Oberon (A)	2010	33
Oberon (A)	2015	30
Oberon (A)	2016	9
Oberon (A)		6
Orange (C)	1991	725
Orange (C)	1995	121
Orange (C)	2000	152
Orange (C)	2005	218
Orange (C)	2010	411
Orange (C)	2015	387
Orange (C)	2016	18
Orange (C)		50
Parkes (A)	1991	129
Parkes (A)	1995	20
Parkes (A)	2000	33
Parkes (A)	2005	45
Parkes (A)	2010	79
Parkes (A)	2015	76
Parkes (A)	2016	3
Parkes (A)		8
Parramatta (C)	1991	20313
Parramatta (C)	1995	6832
Parramatta (C)	2000	8008
Parramatta (C)	2005	8615
Parramatta (C)	2010	11004
Parramatta (C)	2015	9073
Parramatta (C)	2016	785
Parramatta (C)		1153
Penrith (C)	1991	7764
Penrith (C)	1995	1746
Penrith (C)	2000	1980
Penrith (C)	2005	2073
Penrith (C)	2010	2647
Penrith (C)	2015	2031
Penrith (C)	2016	134
Penrith (C)		394
Port Macquarie-Hastings (A)	1991	1573
Port Macquarie-Hastings (A)	1995	174
Port Macquarie-Hastings (A)	2000	311
Port Macquarie-Hastings (A)	2005	352
Port Macquarie-Hastings (A)	2010	434
Port Macquarie-Hastings (A)	2015	359
Port Macquarie-Hastings (A)	2016	16
Port Macquarie-Hastings (A)		97
Port Stephens (A)	1991	1390
Port Stephens (A)	1995	162
Port Stephens (A)	2000	258
Port Stephens (A)	2005	308
Port Stephens (A)	2010	482
Port Stephens (A)	2015	286
Port Stephens (A)	2016	21
Port Stephens (A)		97
Queanbeyan-Palerang Regional (A)	1991	1113
Queanbeyan-Palerang Regional (A)	1995	149
Queanbeyan-Palerang Regional (A)	2000	190
Queanbeyan-Palerang Regional (A)	2005	264
Queanbeyan-Palerang Regional (A)	2010	623
Queanbeyan-Palerang Regional (A)	2015	498
Queanbeyan-Palerang Regional (A)	2016	36
Queanbeyan-Palerang Regional (A)		74
Randwick (C)	1991	6425
Randwick (C)	1995	1650
Randwick (C)	2000	2176
Randwick (C)	2005	2485
Randwick (C)	2010	3802
Randwick (C)	2015	4333
Randwick (C)	2016	440
Randwick (C)		435
Richmond Valley (A)	1991	224
Richmond Valley (A)	1995	25
Richmond Valley (A)	2000	35
Richmond Valley (A)	2005	54
Richmond Valley (A)	2010	71
Richmond Valley (A)	2015	54
Richmond Valley (A)	2016	3
Richmond Valley (A)		19
Rockdale (C)	1991	4097
Rockdale (C)	1995	954
Rockdale (C)	2000	1210
Rockdale (C)	2005	1319
Rockdale (C)	2010	2187
Rockdale (C)	2015	2074
Rockdale (C)	2016	188
Rockdale (C)		255
Ryde (C)	1991	11321
Ryde (C)	1995	3855
Ryde (C)	2000	5101
Ryde (C)	2005	5997
Ryde (C)	2010	7817
Ryde (C)	2015	7400
Ryde (C)	2016	745
Ryde (C)		707
Shellharbour (C)	1991	1520
Shellharbour (C)	1995	158
Shellharbour (C)	2000	166
Shellharbour (C)	2005	201
Shellharbour (C)	2010	304
Shellharbour (C)	2015	281
Shellharbour (C)	2016	15
Shellharbour (C)		68
Shoalhaven (C)	1991	2184
Shoalhaven (C)	1995	251
Shoalhaven (C)	2000	324
Shoalhaven (C)	2005	383
Shoalhaven (C)	2010	529
Shoalhaven (C)	2015	423
Shoalhaven (C)	2016	24
Shoalhaven (C)		142
Singleton (A)	1991	561
Singleton (A)	1995	81
Singleton (A)	2000	115
Singleton (A)	2005	144
Singleton (A)	2010	224
Singleton (A)	2015	141
Singleton (A)	2016	3
Singleton (A)		31
Snowy Monaro Regional (A)	1991	593
Snowy Monaro Regional (A)	1995	82
Snowy Monaro Regional (A)	2000	77
Snowy Monaro Regional (A)	2005	87
Snowy Monaro Regional (A)	2010	140
Snowy Monaro Regional (A)	2015	203
Snowy Monaro Regional (A)	2016	42
Snowy Monaro Regional (A)		82
Snowy Valleys (A)	1991	231
Snowy Valleys (A)	1995	31
Snowy Valleys (A)	2000	34
Snowy Valleys (A)	2005	53
Snowy Valleys (A)	2010	114
Snowy Valleys (A)	2015	97
Snowy Valleys (A)	2016	9
Snowy Valleys (A)		22
Strathfield (A)	1991	3835
Strathfield (A)	1995	1035
Strathfield (A)	2000	1293
Strathfield (A)	2005	1289
Strathfield (A)	2010	1915
Strathfield (A)	2015	1830
Strathfield (A)	2016	188
Strathfield (A)		238
Sutherland Shire (A)	1991	6316
Sutherland Shire (A)	1995	1264
Sutherland Shire (A)	2000	1662
Sutherland Shire (A)	2005	1792
Sutherland Shire (A)	2010	2568
Sutherland Shire (A)	2015	2590
Sutherland Shire (A)	2016	211
Sutherland Shire (A)		364
Sydney (C)	1991	56577
Sydney (C)	1995	18840
Sydney (C)	2000	25497
Sydney (C)	2005	30674
Sydney (C)	2010	43310
Sydney (C)	2015	54345
Sydney (C)	2016	6328
Sydney (C)		4981
Tamworth Regional (A)	1991	674
Tamworth Regional (A)	1995	114
Tamworth Regional (A)	2000	126
Tamworth Regional (A)	2005	174
Tamworth Regional (A)	2010	392
Tamworth Regional (A)	2015	601
Tamworth Regional (A)	2016	73
Tamworth Regional (A)		136
Temora (A)	1991	65
Temora (A)	1995	3
Temora (A)	2000	4
Temora (A)	2005	9
Temora (A)	2010	23
Temora (A)	2015	15
Temora (A)		3
Tenterfield (A)	1991	112
Tenterfield (A)	1995	9
Tenterfield (A)	2000	20
Tenterfield (A)	2005	20
Tenterfield (A)	2010	25
Tenterfield (A)	2015	31
Tenterfield (A)		5
The Hills Shire (A)	1991	7890
The Hills Shire (A)	1995	2198
The Hills Shire (A)	2000	3048
The Hills Shire (A)	2005	3347
The Hills Shire (A)	2010	3969
The Hills Shire (A)	2015	3434
The Hills Shire (A)	2016	289
The Hills Shire (A)		399
Tweed (A)	1991	1981
Tweed (A)	1995	278
Tweed (A)	2000	412
Tweed (A)	2005	506
Tweed (A)	2010	746
Tweed (A)	2015	543
Tweed (A)	2016	46
Tweed (A)		164
Upper Hunter Shire (A)	1991	164
Upper Hunter Shire (A)	1995	16
Upper Hunter Shire (A)	2000	38
Upper Hunter Shire (A)	2005	40
Upper Hunter Shire (A)	2010	113
Upper Hunter Shire (A)	2015	205
Upper Hunter Shire (A)	2016	19
Upper Hunter Shire (A)		20
Upper Lachlan Shire (A)	1991	127
Upper Lachlan Shire (A)	1995	18
Upper Lachlan Shire (A)	2000	11
Upper Lachlan Shire (A)	2005	17
Upper Lachlan Shire (A)	2010	13
Upper Lachlan Shire (A)	2015	35
Upper Lachlan Shire (A)	2016	3
Upper Lachlan Shire (A)		6
Uralla (A)	1991	46
Uralla (A)	1995	8
Uralla (A)	2000	5
Uralla (A)	2005	7
Uralla (A)	2010	15
Uralla (A)	2015	15
Uralla (A)		3
Wagga Wagga (C)	1991	838
Wagga Wagga (C)	1995	163
Wagga Wagga (C)	2000	263
Wagga Wagga (C)	2005	344
Wagga Wagga (C)	2010	692
Wagga Wagga (C)	2015	886
Wagga Wagga (C)	2016	30
Wagga Wagga (C)		97
Walcha (A)	1991	52
Walcha (A)	1995	10
Walcha (A)	2000	8
Walcha (A)	2005	5
Walcha (A)	2010	11
Walcha (A)	2015	3
Walcha (A)		7
Walgett (A)	1991	86
Walgett (A)	1995	13
Walgett (A)	2000	14
Walgett (A)	2005	20
Walgett (A)	2010	46
Walgett (A)	2015	39
Walgett (A)	2016	3
Walgett (A)		10
Warren (A)	1991	16
Warren (A)	1995	3
Warren (A)	2000	5
Warren (A)	2005	3
Warren (A)	2010	16
Warren (A)	2015	24
Warren (A)		3
Warrumbungle Shire (A)	1991	114
Warrumbungle Shire (A)	1995	11
Warrumbungle Shire (A)	2000	17
Warrumbungle Shire (A)	2005	20
Warrumbungle Shire (A)	2010	21
Warrumbungle Shire (A)	2015	27
Warrumbungle Shire (A)		7
Waverley (A)	1991	2993
Waverley (A)	1995	796
Waverley (A)	2000	1204
Waverley (A)	2005	1293
Waverley (A)	2010	2155
Waverley (A)	2015	2985
Waverley (A)	2016	383
Waverley (A)		295
Weddin (A)	1991	24
Weddin (A)	2000	3
Weddin (A)	2010	4
Weddin (A)	2015	14
Weddin (A)		3
Wentworth (A)	1991	101
Wentworth (A)	1995	13
Wentworth (A)	2000	23
Wentworth (A)	2005	18
Wentworth (A)	2010	35
Wentworth (A)	2015	45
Wentworth (A)	2016	15
Wentworth (A)		26
Western Plains Regional (A)	1991	601
Western Plains Regional (A)	1995	86
Western Plains Regional (A)	2000	108
Western Plains Regional (A)	2005	165
Western Plains Regional (A)	2010	556
Western Plains Regional (A)	2015	450
Western Plains Regional (A)	2016	40
Western Plains Regional (A)		35
Willoughby (C)	1991	7617
Willoughby (C)	1995	2269
Willoughby (C)	2000	3235
Willoughby (C)	2005	3834
Willoughby (C)	2010	5556
Willoughby (C)	2015	5625
Willoughby (C)	2016	512
Willoughby (C)		524
Wingecarribee (A)	1991	1627
Wingecarribee (A)	1995	157
Wingecarribee (A)	2000	215
Wingecarribee (A)	2005	245
Wingecarribee (A)	2010	405
