LGA_NAME16	Age	Sex	workers
Bellingen (A)	45-49	M	201
Bellingen (A)	50-54	F	234
Bellingen (A)	50-54	M	233
Bellingen (A)	55-59	F	256
Bellingen (A)	55-59	M	243
Bellingen (A)	60-64	F	206
Bellingen (A)	60-64	M	197
Bellingen (A)	65-69	F	81
Bellingen (A)	65-69	M	100
Bellingen (A)	70-74	F	25
Bellingen (A)	70-74	M	47
Bellingen (A)	75+	F	19
Bellingen (A)	75+	M	41
Berrigan (A)	15-19	F	76
Berrigan (A)	15-19	M	66
Berrigan (A)	20-24	F	72
Berrigan (A)	20-24	M	109
Berrigan (A)	25-29	F	98
Berrigan (A)	25-29	M	110
Berrigan (A)	30-34	F	91
Berrigan (A)	30-34	M	103
Berrigan (A)	35-39	F	118
Berrigan (A)	35-39	M	97
Berrigan (A)	40-44	F	117
Berrigan (A)	40-44	M	125
Berrigan (A)	45-49	F	146
Berrigan (A)	45-49	M	132
Berrigan (A)	50-54	F	158
Berrigan (A)	50-54	M	134
Berrigan (A)	55-59	F	177
Berrigan (A)	55-59	M	163
Berrigan (A)	60-64	F	129
Berrigan (A)	60-64	M	188
Berrigan (A)	65-69	F	62
Berrigan (A)	65-69	M	97
Berrigan (A)	70-74	F	28
Berrigan (A)	70-74	M	43
Berrigan (A)	75+	F	20
Berrigan (A)	75+	M	41
Blacktown (C)	15-19	F	3052
Blacktown (C)	15-19	M	2936
Blacktown (C)	20-24	F	4334
Blacktown (C)	20-24	M	5591
Blacktown (C)	25-29	F	4652
Blacktown (C)	25-29	M	6529
Blacktown (C)	30-34	F	5094
Blacktown (C)	30-34	M	7164
Blacktown (C)	35-39	F	5112
Blacktown (C)	35-39	M	7007
Blacktown (C)	40-44	F	5294
Blacktown (C)	40-44	M	6984
Blacktown (C)	45-49	F	5233
Blacktown (C)	45-49	M	6571
Blacktown (C)	50-54	F	4815
Blacktown (C)	50-54	M	6344
Blacktown (C)	55-59	F	4017
Blacktown (C)	55-59	M	5246
Blacktown (C)	60-64	F	2437
Blacktown (C)	60-64	M	3578
Blacktown (C)	65-69	F	836
Blacktown (C)	65-69	M	1560
Blacktown (C)	70-74	F	217
Blacktown (C)	70-74	M	491
Blacktown (C)	75+	F	79
Blacktown (C)	75+	M	157
Bland (A)	15-19	F	63
Bland (A)	15-19	M	65
Bland (A)	20-24	F	83
Bland (A)	20-24	M	115
Bland (A)	25-29	F	89
Bland (A)	25-29	M	115
Bland (A)	30-34	F	100
Bland (A)	30-34	M	134
Bland (A)	35-39	F	102
Bland (A)	35-39	M	143
Bland (A)	40-44	F	128
Bland (A)	40-44	M	146
Bland (A)	45-49	F	122
Bland (A)	45-49	M	134
Bland (A)	50-54	F	118
Bland (A)	50-54	M	164
Bland (A)	55-59	F	130
Bland (A)	55-59	M	183
Bland (A)	60-64	F	96
Bland (A)	60-64	M	127
Bland (A)	65-69	F	44
Bland (A)	65-69	M	76
Bland (A)	70-74	F	15
Bland (A)	70-74	M	46
Bland (A)	75+	F	26
Bland (A)	75+	M	47
Blayney (A)	15-19	F	72
Blayney (A)	15-19	M	81
Blayney (A)	20-24	F	78
Blayney (A)	20-24	M	102
Blayney (A)	25-29	F	100
Blayney (A)	25-29	M	197
Blayney (A)	30-34	F	84
Blayney (A)	30-34	M	184
Blayney (A)	35-39	F	105
Blayney (A)	35-39	M	187
Blayney (A)	40-44	F	123
Blayney (A)	40-44	M	215
Blayney (A)	45-49	F	123
Blayney (A)	45-49	M	230
Blayney (A)	50-54	F	126
Blayney (A)	50-54	M	178
Blayney (A)	55-59	F	116
Blayney (A)	55-59	M	161
Blayney (A)	60-64	F	78
Blayney (A)	60-64	M	141
Blayney (A)	65-69	F	37
Blayney (A)	65-69	M	63
Blayney (A)	70-74	F	26
Blayney (A)	70-74	M	52
Blayney (A)	75+	F	24
Blayney (A)	75+	M	44
Blue Mountains (C)	15-19	F	828
Blue Mountains (C)	15-19	M	591
Blue Mountains (C)	20-24	F	882
Blue Mountains (C)	20-24	M	754
Blue Mountains (C)	25-29	F	775
Blue Mountains (C)	25-29	M	596
Blue Mountains (C)	30-34	F	716
Blue Mountains (C)	30-34	M	669
Blue Mountains (C)	35-39	F	888
Blue Mountains (C)	35-39	M	639
Blue Mountains (C)	40-44	F	1142
Blue Mountains (C)	40-44	M	777
Blue Mountains (C)	45-49	F	1287
Blue Mountains (C)	45-49	M	858
Blue Mountains (C)	50-54	F	1262
Blue Mountains (C)	50-54	M	856
Blue Mountains (C)	55-59	F	1210
Blue Mountains (C)	55-59	M	856
Blue Mountains (C)	60-64	F	834
Blue Mountains (C)	60-64	M	749
Blue Mountains (C)	65-69	F	415
Blue Mountains (C)	65-69	M	438
Blue Mountains (C)	70-74	F	142
Blue Mountains (C)	70-74	M	151
Blue Mountains (C)	75+	F	61
Blue Mountains (C)	75+	M	93
Bogan (A)	15-19	F	25
Bogan (A)	15-19	M	26
Bogan (A)	20-24	F	54
Bogan (A)	20-24	M	61
Bogan (A)	25-29	F	62
Bogan (A)	25-29	M	82
Bogan (A)	30-34	F	42
Bogan (A)	30-34	M	83
Bogan (A)	35-39	F	38
Bogan (A)	35-39	M	61
Bogan (A)	40-44	F	66
Bogan (A)	40-44	M	75
Bogan (A)	45-49	F	79
Bogan (A)	45-49	M	83
Bogan (A)	50-54	F	66
Bogan (A)	50-54	M	95
Bogan (A)	55-59	F	43
Bogan (A)	55-59	M	68
Bogan (A)	60-64	F	31
Bogan (A)	60-64	M	51
Bogan (A)	65-69	F	17
Bogan (A)	65-69	M	31
Bogan (A)	70-74	F	8
Bogan (A)	70-74	M	19
Bogan (A)	75+	F	15
Bogan (A)	75+	M	27
Botany Bay (C)	15-19	F	607
Botany Bay (C)	15-19	M	661
Botany Bay (C)	20-24	F	1847
Botany Bay (C)	20-24	M	2153
Botany Bay (C)	25-29	F	2331
Botany Bay (C)	25-29	M	3262
Botany Bay (C)	30-34	F	2348
Botany Bay (C)	30-34	M	3834
Botany Bay (C)	35-39	F	2085
Botany Bay (C)	35-39	M	3768
Botany Bay (C)	40-44	F	2256
Botany Bay (C)	40-44	M	3668
Botany Bay (C)	45-49	F	2213
Botany Bay (C)	45-49	M	3538
Botany Bay (C)	50-54	F	1848
Botany Bay (C)	50-54	M	3301
Botany Bay (C)	55-59	F	1355
Botany Bay (C)	55-59	M	2769
Botany Bay (C)	60-64	F	747
Botany Bay (C)	60-64	M	1525
Botany Bay (C)	65-69	F	272
Botany Bay (C)	65-69	M	709
Botany Bay (C)	70-74	F	74
Botany Bay (C)	70-74	M	194
Botany Bay (C)	75+	F	39
Botany Bay (C)	75+	M	90
Bourke (A)	15-19	F	13
Bourke (A)	15-19	M	12
Bourke (A)	20-24	F	41
Bourke (A)	20-24	M	35
Bourke (A)	25-29	F	73
Bourke (A)	25-29	M	50
Bourke (A)	30-34	F	52
Bourke (A)	30-34	M	67
Bourke (A)	35-39	F	51
Bourke (A)	35-39	M	45
Bourke (A)	40-44	F	54
Bourke (A)	40-44	M	45
Bourke (A)	45-49	F	55
Bourke (A)	45-49	M	56
Bourke (A)	50-54	F	59
Bourke (A)	50-54	M	62
Bourke (A)	55-59	F	51
Bourke (A)	55-59	M	56
Bourke (A)	60-64	F	25
Bourke (A)	60-64	M	49
Bourke (A)	65-69	F	16
Bourke (A)	65-69	M	33
Bourke (A)	70-74	F	9
Bourke (A)	70-74	M	13
Bourke (A)	75+	F	5
Bourke (A)	75+	M	11
Brewarrina (A)	15-19	F	3
Brewarrina (A)	15-19	M	3
Brewarrina (A)	20-24	F	16
Brewarrina (A)	20-24	M	17
Brewarrina (A)	25-29	F	36
Brewarrina (A)	25-29	M	29
Brewarrina (A)	30-34	F	13
Brewarrina (A)	30-34	M	22
Brewarrina (A)	35-39	F	17
Brewarrina (A)	35-39	M	16
Brewarrina (A)	40-44	F	23
Brewarrina (A)	40-44	M	15
Brewarrina (A)	45-49	F	36
Brewarrina (A)	45-49	M	34
Brewarrina (A)	50-54	F	26
Brewarrina (A)	50-54	M	36
Brewarrina (A)	55-59	F	33
Brewarrina (A)	55-59	M	33
Brewarrina (A)	60-64	F	21
Brewarrina (A)	60-64	M	23
Brewarrina (A)	65-69	F	10
Brewarrina (A)	65-69	M	19
Brewarrina (A)	70-74	F	5
Brewarrina (A)	70-74	M	10
Brewarrina (A)	75+	F	3
Brewarrina (A)	75+	M	3
Broken Hill (C)	15-19	F	187
Broken Hill (C)	15-19	M	183
Broken Hill (C)	20-24	F	280
Broken Hill (C)	20-24	M	295
Broken Hill (C)	25-29	F	378
Broken Hill (C)	25-29	M	385
Broken Hill (C)	30-34	F	320
Broken Hill (C)	30-34	M	342
Broken Hill (C)	35-39	F	297
Broken Hill (C)	35-39	M	286
Broken Hill (C)	40-44	F	343
Broken Hill (C)	40-44	M	319
Broken Hill (C)	45-49	F	376
Broken Hill (C)	45-49	M	345
Broken Hill (C)	50-54	F	414
Broken Hill (C)	50-54	M	381
Broken Hill (C)	55-59	F	420
Broken Hill (C)	55-59	M	436
Broken Hill (C)	60-64	F	237
Broken Hill (C)	60-64	M	291
Broken Hill (C)	65-69	F	93
Broken Hill (C)	65-69	M	121
Broken Hill (C)	70-74	F	31
Broken Hill (C)	70-74	M	37
Broken Hill (C)	75+	F	14
Broken Hill (C)	75+	M	33
Burwood (A)	15-19	F	523
Burwood (A)	15-19	M	284
Burwood (A)	20-24	F	1001
Burwood (A)	20-24	M	695
Burwood (A)	25-29	F	1096
Burwood (A)	25-29	M	925
Burwood (A)	30-34	F	1067
Burwood (A)	30-34	M	917
Burwood (A)	35-39	F	862
Burwood (A)	35-39	M	815
Burwood (A)	40-44	F	930
Burwood (A)	40-44	M	733
Burwood (A)	45-49	F	973
Burwood (A)	45-49	M	756
Burwood (A)	50-54	F	955
Burwood (A)	50-54	M	776
Burwood (A)	55-59	F	827
Burwood (A)	55-59	M	699
Burwood (A)	60-64	F	540
Burwood (A)	60-64	M	469
Burwood (A)	65-69	F	252
Burwood (A)	65-69	M	241
Burwood (A)	70-74	F	72
Burwood (A)	70-74	M	106
Burwood (A)	75+	F	42
Burwood (A)	75+	M	63
Byron (A)	15-19	F	324
Byron (A)	15-19	M	317
Byron (A)	20-24	F	425
Byron (A)	20-24	M	383
Byron (A)	25-29	F	596
Byron (A)	25-29	M	553
Byron (A)	30-34	F	614
Byron (A)	30-34	M	596
Byron (A)	35-39	F	642
Byron (A)	35-39	M	665
Byron (A)	40-44	F	855
Byron (A)	40-44	M	735
Byron (A)	45-49	F	900
Byron (A)	45-49	M	677
Byron (A)	50-54	F	789
Byron (A)	50-54	M	675
Byron (A)	55-59	F	762
Byron (A)	55-59	M	672
Byron (A)	60-64	F	505
Byron (A)	60-64	M	578
Byron (A)	65-69	F	179
Byron (A)	65-69	M	263
Byron (A)	70-74	F	48
Byron (A)	70-74	M	110
Byron (A)	75+	F	33
Byron (A)	75+	M	58
Cabonne (A)	15-19	F	68
Cabonne (A)	15-19	M	85
Cabonne (A)	20-24	F	93
Cabonne (A)	20-24	M	117
Cabonne (A)	25-29	F	127
Cabonne (A)	25-29	M	215
Cabonne (A)	30-34	F	153
Cabonne (A)	30-34	M	232
Cabonne (A)	35-39	F	163
Cabonne (A)	35-39	M	249
Cabonne (A)	40-44	F	198
Cabonne (A)	40-44	M	274
Cabonne (A)	45-49	F	182
Cabonne (A)	45-49	M	273
Cabonne (A)	50-54	F	233
Cabonne (A)	50-54	M	299
Cabonne (A)	55-59	F	210
Cabonne (A)	55-59	M	255
Cabonne (A)	60-64	F	145
Cabonne (A)	60-64	M	225
Cabonne (A)	65-69	F	91
Cabonne (A)	65-69	M	158
Cabonne (A)	70-74	F	53
Cabonne (A)	70-74	M	90
Cabonne (A)	75+	F	36
Cabonne (A)	75+	M	81
Camden (A)	15-19	F	1125
Camden (A)	15-19	M	1083
Camden (A)	20-24	F	1253
Camden (A)	20-24	M	1456
Camden (A)	25-29	F	1133
Camden (A)	25-29	M	1485
Camden (A)	30-34	F	1135
Camden (A)	30-34	M	1473
Camden (A)	35-39	F	1202
Camden (A)	35-39	M	1297
Camden (A)	40-44	F	1386
Camden (A)	40-44	M	1443
Camden (A)	45-49	F	1353
Camden (A)	45-49	M	1281
Camden (A)	50-54	F	1138
Camden (A)	50-54	M	1186
Camden (A)	55-59	F	924
Camden (A)	55-59	M	1000
Camden (A)	60-64	F	577
Camden (A)	60-64	M	730
Camden (A)	65-69	F	210
Camden (A)	65-69	M	335
Camden (A)	70-74	F	50
Camden (A)	70-74	M	117
Camden (A)	75+	F	33
Camden (A)	75+	M	51
Campbelltown (C) (NSW)	15-19	F	1798
Campbelltown (C) (NSW)	15-19	M	1356
Campbelltown (C) (NSW)	20-24	F	2520
Campbelltown (C) (NSW)	20-24	M	2331
Campbelltown (C) (NSW)	25-29	F	2427
Campbelltown (C) (NSW)	25-29	M	2549
Campbelltown (C) (NSW)	30-34	F	2549
Campbelltown (C) (NSW)	30-34	M	2598
Campbelltown (C) (NSW)	35-39	F	2466
Campbelltown (C) (NSW)	35-39	M	2483
Campbelltown (C) (NSW)	40-44	F	2776
Campbelltown (C) (NSW)	40-44	M	2670
Campbelltown (C) (NSW)	45-49	F	2621
Campbelltown (C) (NSW)	45-49	M	2528
Campbelltown (C) (NSW)	50-54	F	2645
Campbelltown (C) (NSW)	50-54	M	2631
Campbelltown (C) (NSW)	55-59	F	2291
Campbelltown (C) (NSW)	55-59	M	2314
Campbelltown (C) (NSW)	60-64	F	1360
Campbelltown (C) (NSW)	60-64	M	1563
Campbelltown (C) (NSW)	65-69	F	493
Campbelltown (C) (NSW)	65-69	M	670
Campbelltown (C) (NSW)	70-74	F	133
Campbelltown (C) (NSW)	70-74	M	220
Campbelltown (C) (NSW)	75+	F	35
Campbelltown (C) (NSW)	75+	M	84
Canada Bay (A)	15-19	F	686
Canada Bay (A)	15-19	M	587
Canada Bay (A)	20-24	F	1609
Canada Bay (A)	20-24	M	1462
Canada Bay (A)	25-29	F	2166
Canada Bay (A)	25-29	M	2102
Canada Bay (A)	30-34	F	2185
Canada Bay (A)	30-34	M	2287
Canada Bay (A)	35-39	F	1907
Canada Bay (A)	35-39	M	2240
Canada Bay (A)	40-44	F	1893
Canada Bay (A)	40-44	M	2021
Canada Bay (A)	45-49	F	1728
Canada Bay (A)	45-49	M	1787
Canada Bay (A)	50-54	F	1628
Canada Bay (A)	50-54	M	1684
Canada Bay (A)	55-59	F	1343
Canada Bay (A)	55-59	M	1298
Canada Bay (A)	60-64	F	844
Canada Bay (A)	60-64	M	868
Canada Bay (A)	65-69	F	364
Canada Bay (A)	65-69	M	471
Canada Bay (A)	70-74	F	126
Canada Bay (A)	70-74	M	189
Canada Bay (A)	75+	F	45
Canada Bay (A)	75+	M	97
Canterbury-Bankstown (A)	15-19	F	1976
Canterbury-Bankstown (A)	15-19	M	1975
Canterbury-Bankstown (A)	20-24	F	4071
Canterbury-Bankstown (A)	20-24	M	4448
Canterbury-Bankstown (A)	25-29	F	4615
Canterbury-Bankstown (A)	25-29	M	5652
Canterbury-Bankstown (A)	30-34	F	4607
Canterbury-Bankstown (A)	30-34	M	6167
Canterbury-Bankstown (A)	35-39	F	4387
Canterbury-Bankstown (A)	35-39	M	5812
Canterbury-Bankstown (A)	40-44	F	4869
Canterbury-Bankstown (A)	40-44	M	5870
Canterbury-Bankstown (A)	45-49	F	4955
Canterbury-Bankstown (A)	45-49	M	5948
Canterbury-Bankstown (A)	50-54	F	4690
Canterbury-Bankstown (A)	50-54	M	5921
Canterbury-Bankstown (A)	55-59	F	3954
Canterbury-Bankstown (A)	55-59	M	5159
Canterbury-Bankstown (A)	60-64	F	2434
Canterbury-Bankstown (A)	60-64	M	3463
Canterbury-Bankstown (A)	65-69	F	922
Canterbury-Bankstown (A)	65-69	M	1635
Canterbury-Bankstown (A)	70-74	F	281
Canterbury-Bankstown (A)	70-74	M	566
Canterbury-Bankstown (A)	75+	F	114
Canterbury-Bankstown (A)	75+	M	270
Carrathool (A)	15-19	F	31
Carrathool (A)	15-19	M	38
Carrathool (A)	20-24	F	39
Carrathool (A)	20-24	M	66
Carrathool (A)	25-29	F	50
Carrathool (A)	25-29	M	82
Carrathool (A)	30-34	F	43
Carrathool (A)	30-34	M	65
Carrathool (A)	35-39	F	49
Carrathool (A)	35-39	M	65
Carrathool (A)	40-44	F	68
Carrathool (A)	40-44	M	84
Carrathool (A)	45-49	F	62
Carrathool (A)	45-49	M	83
Carrathool (A)	50-54	F	60
Carrathool (A)	50-54	M	85
Carrathool (A)	55-59	F	46
Carrathool (A)	55-59	M	84
Carrathool (A)	60-64	F	36
Carrathool (A)	60-64	M	71
Carrathool (A)	65-69	F	13
Carrathool (A)	65-69	M	38
Carrathool (A)	70-74	F	8
Carrathool (A)	70-74	M	13
Carrathool (A)	75+	F	12
Carrathool (A)	75+	M	19
Central Coast (C) (NSW)	15-19	F	4366
Central Coast (C) (NSW)	15-19	M	3332
Central Coast (C) (NSW)	20-24	F	5052
Central Coast (C) (NSW)	20-24	M	4779
Central Coast (C) (NSW)	25-29	F	4841
Central Coast (C) (NSW)	25-29	M	4520
Central Coast (C) (NSW)	30-34	F	5062
Central Coast (C) (NSW)	30-34	M	4695
Central Coast (C) (NSW)	35-39	F	5372
Central Coast (C) (NSW)	35-39	M	4562
Central Coast (C) (NSW)	40-44	F	6502
Central Coast (C) (NSW)	40-44	M	4991
Central Coast (C) (NSW)	45-49	F	6995
Central Coast (C) (NSW)	45-49	M	5173
Central Coast (C) (NSW)	50-54	F	6684
Central Coast (C) (NSW)	50-54	M	5264
Central Coast (C) (NSW)	55-59	F	6103
Central Coast (C) (NSW)	55-59	M	4864
Central Coast (C) (NSW)	60-64	F	3728
Central Coast (C) (NSW)	60-64	M	3385
Central Coast (C) (NSW)	65-69	F	1350
Central Coast (C) (NSW)	65-69	M	1602
Central Coast (C) (NSW)	70-74	F	439
Central Coast (C) (NSW)	70-74	M	609
Central Coast (C) (NSW)	75+	F	137
Central Coast (C) (NSW)	75+	M	309
Central Darling (A)	15-19	F	6
Central Darling (A)	15-19	M	13
Central Darling (A)	20-24	F	28
Central Darling (A)	20-24	M	27
Central Darling (A)	25-29	F	24
Central Darling (A)	25-29	M	32
Central Darling (A)	30-34	F	21
Central Darling (A)	30-34	M	32
Central Darling (A)	35-39	F	20
Central Darling (A)	35-39	M	31
Central Darling (A)	40-44	F	22
Central Darling (A)	40-44	M	33
Central Darling (A)	45-49	F	34
Central Darling (A)	45-49	M	43
Central Darling (A)	50-54	F	33
Central Darling (A)	50-54	M	46
Central Darling (A)	55-59	F	32
Central Darling (A)	55-59	M	43
Central Darling (A)	60-64	F	27
Central Darling (A)	60-64	M	55
Central Darling (A)	65-69	F	7
Central Darling (A)	65-69	M	18
Central Darling (A)	70-74	F	6
Central Darling (A)	70-74	M	9
Central Darling (A)	75+	F	3
Central Darling (A)	75+	M	14
Cessnock (C)	15-19	F	689
Cessnock (C)	15-19	M	483
Cessnock (C)	20-24	F	791
Cessnock (C)	20-24	M	641
Cessnock (C)	25-29	F	808
Cessnock (C)	25-29	M	619
Cessnock (C)	30-34	F	862
Cessnock (C)	30-34	M	669
Cessnock (C)	35-39	F	759
Cessnock (C)	35-39	M	615
Cessnock (C)	40-44	F	914
Cessnock (C)	40-44	M	723
Cessnock (C)	45-49	F	950
Cessnock (C)	45-49	M	721
Cessnock (C)	50-54	F	871
Cessnock (C)	50-54	M	647
Cessnock (C)	55-59	F	788
Cessnock (C)	55-59	M	680
Cessnock (C)	60-64	F	476
Cessnock (C)	60-64	M	463
Cessnock (C)	65-69	F	196
Cessnock (C)	65-69	M	219
Cessnock (C)	70-74	F	47
Cessnock (C)	70-74	M	76
Cessnock (C)	75+	F	28
Cessnock (C)	75+	M	60
Clarence Valley (A)	15-19	F	540
Clarence Valley (A)	15-19	M	476
Clarence Valley (A)	20-24	F	508
Clarence Valley (A)	20-24	M	621
Clarence Valley (A)	25-29	F	554
Clarence Valley (A)	25-29	M	594
Clarence Valley (A)	30-34	F	553
Clarence Valley (A)	30-34	M	627
Clarence Valley (A)	35-39	F	721
Clarence Valley (A)	35-39	M	701
Clarence Valley (A)	40-44	F	916
Clarence Valley (A)	40-44	M	849
Clarence Valley (A)	45-49	F	1060
Clarence Valley (A)	45-49	M	866
Clarence Valley (A)	50-54	F	1086
Clarence Valley (A)	50-54	M	1000
Clarence Valley (A)	55-59	F	1117
Clarence Valley (A)	55-59	M	1016
Clarence Valley (A)	60-64	F	746
Clarence Valley (A)	60-64	M	755
Clarence Valley (A)	65-69	F	245
Clarence Valley (A)	65-69	M	357
Clarence Valley (A)	70-74	F	90
Clarence Valley (A)	70-74	M	151
Clarence Valley (A)	75+	F	55
Clarence Valley (A)	75+	M	132
Cobar (A)	15-19	F	51
Cobar (A)	15-19	M	37
Cobar (A)	20-24	F	75
Cobar (A)	20-24	M	106
Cobar (A)	25-29	F	124
Cobar (A)	25-29	M	172
Cobar (A)	30-34	F	113
Cobar (A)	30-34	M	166
Cobar (A)	35-39	F	77
Cobar (A)	35-39	M	162
Cobar (A)	40-44	F	93
Cobar (A)	40-44	M	147
Cobar (A)	45-49	F	71
Cobar (A)	45-49	M	131
Cobar (A)	50-54	F	105
Cobar (A)	50-54	M	159
Cobar (A)	55-59	F	81
Cobar (A)	55-59	M	144
Cobar (A)	60-64	F	53
Cobar (A)	60-64	M	93
Cobar (A)	65-69	F	22
Cobar (A)	65-69	M	40
Cobar (A)	70-74	F	10
Cobar (A)	70-74	M	12
Cobar (A)	75+	F	11
Cobar (A)	75+	M	10
Coffs Harbour (C)	15-19	F	1055
Coffs Harbour (C)	15-19	M	865
Coffs Harbour (C)	20-24	F	1160
Coffs Harbour (C)	20-24	M	1199
Coffs Harbour (C)	25-29	F	1260
Coffs Harbour (C)	25-29	M	1251
Coffs Harbour (C)	30-34	F	1333
Coffs Harbour (C)	30-34	M	1289
