LGA_NAME16	EmploymentStatus	Sex	workers
Botany Bay (C)	Owner managers of incorporated enterprises	F	467
Botany Bay (C)	Owner managers of incorporated enterprises	M	1755
Botany Bay (C)	Owner managers of unincorporated enterprises	F	415
Botany Bay (C)	Owner managers of unincorporated enterprises	M	1016
Bourke (A)		F	12
Bourke (A)		M	14
Bourke (A)	Contributing family workers	F	27
Bourke (A)	Contributing family workers	M	27
Bourke (A)	Employee	F	422
Bourke (A)	Employee	M	381
Bourke (A)	Owner managers of incorporated enterprises	F	16
Bourke (A)	Owner managers of incorporated enterprises	M	28
Bourke (A)	Owner managers of unincorporated enterprises	F	38
Bourke (A)	Owner managers of unincorporated enterprises	M	90
Brewarrina (A)		F	3
Brewarrina (A)		M	5
Brewarrina (A)	Contributing family workers	F	21
Brewarrina (A)	Contributing family workers	M	28
Brewarrina (A)	Employee	F	200
Brewarrina (A)	Employee	M	162
Brewarrina (A)	Owner managers of incorporated enterprises	F	8
Brewarrina (A)	Owner managers of incorporated enterprises	M	16
Brewarrina (A)	Owner managers of unincorporated enterprises	F	11
Brewarrina (A)	Owner managers of unincorporated enterprises	M	39
Broken Hill (C)		F	57
Broken Hill (C)		M	68
Broken Hill (C)	Contributing family workers	F	52
Broken Hill (C)	Contributing family workers	M	43
Broken Hill (C)	Employee	F	3042
Broken Hill (C)	Employee	M	2939
Broken Hill (C)	Owner managers of incorporated enterprises	F	101
Broken Hill (C)	Owner managers of incorporated enterprises	M	172
Broken Hill (C)	Owner managers of unincorporated enterprises	F	154
Broken Hill (C)	Owner managers of unincorporated enterprises	M	224
Burwood (A)		F	67
Burwood (A)		M	85
Burwood (A)	Contributing family workers	F	104
Burwood (A)	Contributing family workers	M	106
Burwood (A)	Employee	F	8168
Burwood (A)	Employee	M	5843
Burwood (A)	Owner managers of incorporated enterprises	F	371
Burwood (A)	Owner managers of incorporated enterprises	M	821
Burwood (A)	Owner managers of unincorporated enterprises	F	428
Burwood (A)	Owner managers of unincorporated enterprises	M	627
Byron (A)		F	125
Byron (A)		M	136
Byron (A)	Contributing family workers	F	199
Byron (A)	Contributing family workers	M	146
Byron (A)	Employee	F	4701
Byron (A)	Employee	M	3772
Byron (A)	Owner managers of incorporated enterprises	F	461
Byron (A)	Owner managers of incorporated enterprises	M	798
Byron (A)	Owner managers of unincorporated enterprises	F	1196
Byron (A)	Owner managers of unincorporated enterprises	M	1422
Cabonne (A)		F	27
Cabonne (A)		M	56
Cabonne (A)	Contributing family workers	F	155
Cabonne (A)	Contributing family workers	M	193
Cabonne (A)	Employee	F	1242
Cabonne (A)	Employee	M	1632
Cabonne (A)	Owner managers of incorporated enterprises	F	89
Cabonne (A)	Owner managers of incorporated enterprises	M	196
Cabonne (A)	Owner managers of unincorporated enterprises	F	231
Cabonne (A)	Owner managers of unincorporated enterprises	M	464
Camden (A)		F	117
Camden (A)		M	159
Camden (A)	Contributing family workers	F	184
Camden (A)	Contributing family workers	M	131
Camden (A)	Employee	F	9754
Camden (A)	Employee	M	9908
Camden (A)	Owner managers of incorporated enterprises	F	671
Camden (A)	Owner managers of incorporated enterprises	M	1675
Camden (A)	Owner managers of unincorporated enterprises	F	793
Camden (A)	Owner managers of unincorporated enterprises	M	1061
Campbelltown (C) (NSW)		F	241
Campbelltown (C) (NSW)		M	276
Campbelltown (C) (NSW)	Contributing family workers	F	241
Campbelltown (C) (NSW)	Contributing family workers	M	222
Campbelltown (C) (NSW)	Employee	F	21966
Campbelltown (C) (NSW)	Employee	M	19785
Campbelltown (C) (NSW)	Owner managers of incorporated enterprises	F	730
Campbelltown (C) (NSW)	Owner managers of incorporated enterprises	M	2092
Campbelltown (C) (NSW)	Owner managers of unincorporated enterprises	F	946
Campbelltown (C) (NSW)	Owner managers of unincorporated enterprises	M	1621
Canada Bay (A)		F	136
Canada Bay (A)		M	166
Canada Bay (A)	Contributing family workers	F	198
Canada Bay (A)	Contributing family workers	M	173
Canada Bay (A)	Employee	F	14408
Canada Bay (A)	Employee	M	13676
Canada Bay (A)	Owner managers of incorporated enterprises	F	811
Canada Bay (A)	Owner managers of incorporated enterprises	M	1806
Canada Bay (A)	Owner managers of unincorporated enterprises	F	955
Canada Bay (A)	Owner managers of unincorporated enterprises	M	1273
Canterbury-Bankstown (A)		F	454
Canterbury-Bankstown (A)		M	720
Canterbury-Bankstown (A)	Contributing family workers	F	655
Canterbury-Bankstown (A)	Contributing family workers	M	652
Canterbury-Bankstown (A)	Employee	F	36370
Canterbury-Bankstown (A)	Employee	M	40380
Canterbury-Bankstown (A)	Owner managers of incorporated enterprises	F	1981
Canterbury-Bankstown (A)	Owner managers of incorporated enterprises	M	6110
Canterbury-Bankstown (A)	Owner managers of unincorporated enterprises	F	2425
Canterbury-Bankstown (A)	Owner managers of unincorporated enterprises	M	5027
Carrathool (A)		F	13
Carrathool (A)		M	18
Carrathool (A)	Contributing family workers	F	43
Carrathool (A)	Contributing family workers	M	62
Carrathool (A)	Employee	F	353
Carrathool (A)	Employee	M	502
Carrathool (A)	Owner managers of incorporated enterprises	F	50
Carrathool (A)	Owner managers of incorporated enterprises	M	93
Carrathool (A)	Owner managers of unincorporated enterprises	F	56
Carrathool (A)	Owner managers of unincorporated enterprises	M	122
Central Coast (C) (NSW)		F	550
Central Coast (C) (NSW)		M	566
Central Coast (C) (NSW)	Contributing family workers	F	860
Central Coast (C) (NSW)	Contributing family workers	M	642
Central Coast (C) (NSW)	Employee	F	49098
Central Coast (C) (NSW)	Employee	M	36908
Central Coast (C) (NSW)	Owner managers of incorporated enterprises	F	2432
Central Coast (C) (NSW)	Owner managers of incorporated enterprises	M	4873
Central Coast (C) (NSW)	Owner managers of unincorporated enterprises	F	3685
Central Coast (C) (NSW)	Owner managers of unincorporated enterprises	M	5109
Central Darling (A)		F	8
Central Darling (A)		M	11
Central Darling (A)	Contributing family workers	F	25
Central Darling (A)	Contributing family workers	M	33
Central Darling (A)	Employee	F	201
Central Darling (A)	Employee	M	243
Central Darling (A)	Owner managers of incorporated enterprises	F	13
Central Darling (A)	Owner managers of incorporated enterprises	M	24
Central Darling (A)	Owner managers of unincorporated enterprises	F	26
Central Darling (A)	Owner managers of unincorporated enterprises	M	64
Cessnock (C)		F	100
Cessnock (C)		M	99
Cessnock (C)	Contributing family workers	F	163
Cessnock (C)	Contributing family workers	M	148
Cessnock (C)	Employee	F	7155
Cessnock (C)	Employee	M	5290
Cessnock (C)	Owner managers of incorporated enterprises	F	306
Cessnock (C)	Owner managers of incorporated enterprises	M	539
Cessnock (C)	Owner managers of unincorporated enterprises	F	458
Cessnock (C)	Owner managers of unincorporated enterprises	M	543
Clarence Valley (A)		F	126
Clarence Valley (A)		M	150
Clarence Valley (A)	Contributing family workers	F	242
Clarence Valley (A)	Contributing family workers	M	273
Clarence Valley (A)	Employee	F	6768
Clarence Valley (A)	Employee	M	6066
Clarence Valley (A)	Owner managers of incorporated enterprises	F	324
Clarence Valley (A)	Owner managers of incorporated enterprises	M	590
Clarence Valley (A)	Owner managers of unincorporated enterprises	F	738
Clarence Valley (A)	Owner managers of unincorporated enterprises	M	1070
Cobar (A)		F	13
Cobar (A)		M	26
Cobar (A)	Contributing family workers	F	54
Cobar (A)	Contributing family workers	M	62
Cobar (A)	Employee	F	713
Cobar (A)	Employee	M	1121
Cobar (A)	Owner managers of incorporated enterprises	F	33
Cobar (A)	Owner managers of incorporated enterprises	M	66
Cobar (A)	Owner managers of unincorporated enterprises	F	74
Cobar (A)	Owner managers of unincorporated enterprises	M	112
Coffs Harbour (C)		F	165
Coffs Harbour (C)		M	169
Coffs Harbour (C)	Contributing family workers	F	287
Coffs Harbour (C)	Contributing family workers	M	308
Coffs Harbour (C)	Employee	F	12973
Coffs Harbour (C)	Employee	M	10661
Coffs Harbour (C)	Owner managers of incorporated enterprises	F	536
Coffs Harbour (C)	Owner managers of incorporated enterprises	M	1135
Coffs Harbour (C)	Owner managers of unincorporated enterprises	F	1117
Coffs Harbour (C)	Owner managers of unincorporated enterprises	M	1538
Coolamon (A)		F	14
Coolamon (A)		M	11
Coolamon (A)	Contributing family workers	F	46
Coolamon (A)	Contributing family workers	M	68
Coolamon (A)	Employee	F	354
Coolamon (A)	Employee	M	301
Coolamon (A)	Owner managers of incorporated enterprises	F	26
Coolamon (A)	Owner managers of incorporated enterprises	M	50
Coolamon (A)	Owner managers of unincorporated enterprises	F	85
Coolamon (A)	Owner managers of unincorporated enterprises	M	169
Coonamble (A)		F	18
Coonamble (A)		M	27
Coonamble (A)	Contributing family workers	F	54
Coonamble (A)	Contributing family workers	M	84
Coonamble (A)	Employee	F	528
Coonamble (A)	Employee	M	400
Coonamble (A)	Owner managers of incorporated enterprises	F	20
Coonamble (A)	Owner managers of incorporated enterprises	M	74
Coonamble (A)	Owner managers of unincorporated enterprises	F	68
Coonamble (A)	Owner managers of unincorporated enterprises	M	154
Cowra (A)		F	36
Cowra (A)		M	55
Cowra (A)	Contributing family workers	F	93
Cowra (A)	Contributing family workers	M	113
Cowra (A)	Employee	F	1721
Cowra (A)	Employee	M	1637
Cowra (A)	Owner managers of incorporated enterprises	F	82
Cowra (A)	Owner managers of incorporated enterprises	M	160
Cowra (A)	Owner managers of unincorporated enterprises	F	253
Cowra (A)	Owner managers of unincorporated enterprises	M	407
Cumberland (A)		F	336
Cumberland (A)		M	523
Cumberland (A)	Contributing family workers	F	323
Cumberland (A)	Contributing family workers	M	428
Cumberland (A)	Employee	F	24828
Cumberland (A)	Employee	M	34875
Cumberland (A)	Owner managers of incorporated enterprises	F	1172
Cumberland (A)	Owner managers of incorporated enterprises	M	3889
Cumberland (A)	Owner managers of unincorporated enterprises	F	1401
Cumberland (A)	Owner managers of unincorporated enterprises	M	2886
Dungog (A)		F	13
Dungog (A)		M	19
Dungog (A)	Contributing family workers	F	68
Dungog (A)	Contributing family workers	M	80
Dungog (A)	Employee	F	844
Dungog (A)	Employee	M	579
Dungog (A)	Owner managers of incorporated enterprises	F	82
Dungog (A)	Owner managers of incorporated enterprises	M	127
Dungog (A)	Owner managers of unincorporated enterprises	F	134
Dungog (A)	Owner managers of unincorporated enterprises	M	219
Edward River (A)		F	23
Edward River (A)		M	42
Edward River (A)	Contributing family workers	F	73
Edward River (A)	Contributing family workers	M	68
Edward River (A)	Employee	F	1549
Edward River (A)	Employee	M	1296
Edward River (A)	Owner managers of incorporated enterprises	F	77
Edward River (A)	Owner managers of incorporated enterprises	M	187
Edward River (A)	Owner managers of unincorporated enterprises	F	121
Edward River (A)	Owner managers of unincorporated enterprises	M	250
Eurobodalla (A)		F	80
Eurobodalla (A)		M	91
Eurobodalla (A)	Contributing family workers	F	172
Eurobodalla (A)	Contributing family workers	M	116
Eurobodalla (A)	Employee	F	5222
Eurobodalla (A)	Employee	M	3909
Eurobodalla (A)	Owner managers of incorporated enterprises	F	281
Eurobodalla (A)	Owner managers of incorporated enterprises	M	540
Eurobodalla (A)	Owner managers of unincorporated enterprises	F	589
Eurobodalla (A)	Owner managers of unincorporated enterprises	M	990
Fairfield (C)		F	306
Fairfield (C)		M	458
Fairfield (C)	Contributing family workers	F	371
Fairfield (C)	Contributing family workers	M	384
Fairfield (C)	Employee	F	21608
Fairfield (C)	Employee	M	25626
Fairfield (C)	Owner managers of incorporated enterprises	F	1149
Fairfield (C)	Owner managers of incorporated enterprises	M	3484
Fairfield (C)	Owner managers of unincorporated enterprises	F	1324
Fairfield (C)	Owner managers of unincorporated enterprises	M	2386
Federation (A)		F	32
Federation (A)		M	58
Federation (A)	Contributing family workers	F	97
Federation (A)	Contributing family workers	M	115
Federation (A)	Employee	F	1713
Federation (A)	Employee	M	2123
Federation (A)	Owner managers of incorporated enterprises	F	104
Federation (A)	Owner managers of incorporated enterprises	M	250
Federation (A)	Owner managers of unincorporated enterprises	F	156
Federation (A)	Owner managers of unincorporated enterprises	M	297
Forbes (A)		F	28
Forbes (A)		M	47
Forbes (A)	Contributing family workers	F	80
Forbes (A)	Contributing family workers	M	106
Forbes (A)	Employee	F	1486
Forbes (A)	Employee	M	1341
Forbes (A)	Owner managers of incorporated enterprises	F	65
Forbes (A)	Owner managers of incorporated enterprises	M	150
Forbes (A)	Owner managers of unincorporated enterprises	F	169
Forbes (A)	Owner managers of unincorporated enterprises	M	373
Georges River (A)		F	178
Georges River (A)		M	193
Georges River (A)	Contributing family workers	F	314
Georges River (A)	Contributing family workers	M	324
Georges River (A)	Employee	F	20138
Georges River (A)	Employee	M	14412
Georges River (A)	Owner managers of incorporated enterprises	F	1113
Georges River (A)	Owner managers of incorporated enterprises	M	2667
Georges River (A)	Owner managers of unincorporated enterprises	F	1267
Georges River (A)	Owner managers of unincorporated enterprises	M	1938
Gilgandra (A)		F	15
Gilgandra (A)		M	12
Gilgandra (A)	Contributing family workers	F	51
Gilgandra (A)	Contributing family workers	M	78
Gilgandra (A)	Employee	F	537
Gilgandra (A)	Employee	M	450
Gilgandra (A)	Owner managers of incorporated enterprises	F	29
Gilgandra (A)	Owner managers of incorporated enterprises	M	53
Gilgandra (A)	Owner managers of unincorporated enterprises	F	109
Gilgandra (A)	Owner managers of unincorporated enterprises	M	240
Glen Innes Severn (A)		F	30
Glen Innes Severn (A)		M	44
Glen Innes Severn (A)	Contributing family workers	F	106
Glen Innes Severn (A)	Contributing family workers	M	120
Glen Innes Severn (A)	Employee	F	1159
Glen Innes Severn (A)	Employee	M	979
Glen Innes Severn (A)	Owner managers of incorporated enterprises	F	50
Glen Innes Severn (A)	Owner managers of incorporated enterprises	M	102
Glen Innes Severn (A)	Owner managers of unincorporated enterprises	F	157
Glen Innes Severn (A)	Owner managers of unincorporated enterprises	M	304
Goulburn Mulwaree (A)		F	60
Goulburn Mulwaree (A)		M	71
Goulburn Mulwaree (A)	Contributing family workers	F	118
Goulburn Mulwaree (A)	Contributing family workers	M	109
Goulburn Mulwaree (A)	Employee	F	5114
Goulburn Mulwaree (A)	Employee	M	4634
Goulburn Mulwaree (A)	Owner managers of incorporated enterprises	F	177
Goulburn Mulwaree (A)	Owner managers of incorporated enterprises	M	425
Goulburn Mulwaree (A)	Owner managers of unincorporated enterprises	F	301
Goulburn Mulwaree (A)	Owner managers of unincorporated enterprises	M	550
Greater Hume Shire (A)		F	25
Greater Hume Shire (A)		M	38
Greater Hume Shire (A)	Contributing family workers	F	132
Greater Hume Shire (A)	Contributing family workers	M	168
Greater Hume Shire (A)	Employee	F	990
Greater Hume Shire (A)	Employee	M	1055
Greater Hume Shire (A)	Owner managers of incorporated enterprises	F	103
Greater Hume Shire (A)	Owner managers of incorporated enterprises	M	222
Greater Hume Shire (A)	Owner managers of unincorporated enterprises	F	201
Greater Hume Shire (A)	Owner managers of unincorporated enterprises	M	378
Griffith (C)		F	62
Griffith (C)		M	99
Griffith (C)	Contributing family workers	F	131
Griffith (C)	Contributing family workers	M	213
Griffith (C)	Employee	F	4998
Griffith (C)	Employee	M	4956
Griffith (C)	Owner managers of incorporated enterprises	F	231
Griffith (C)	Owner managers of incorporated enterprises	M	609
Griffith (C)	Owner managers of unincorporated enterprises	F	305
Griffith (C)	Owner managers of unincorporated enterprises	M	534
Gundagai (A)		F	31
Gundagai (A)		M	45
Gundagai (A)	Contributing family workers	F	90
Gundagai (A)	Contributing family workers	M	108
Gundagai (A)	Employee	F	1609
Gundagai (A)	Employee	M	1527
Gundagai (A)	Owner managers of incorporated enterprises	F	79
Gundagai (A)	Owner managers of incorporated enterprises	M	169
Gundagai (A)	Owner managers of unincorporated enterprises	F	162
Gundagai (A)	Owner managers of unincorporated enterprises	M	302
Gunnedah (A)		F	43
Gunnedah (A)		M	57
Gunnedah (A)	Contributing family workers	F	106
Gunnedah (A)	Contributing family workers	M	125
Gunnedah (A)	Employee	F	1870
Gunnedah (A)	Employee	M	1823
Gunnedah (A)	Owner managers of incorporated enterprises	F	105
Gunnedah (A)	Owner managers of incorporated enterprises	M	236
Gunnedah (A)	Owner managers of unincorporated enterprises	F	214
Gunnedah (A)	Owner managers of unincorporated enterprises	M	289
Gwydir (A)		F	15
Gwydir (A)		M	14
Gwydir (A)	Contributing family workers	F	124
Gwydir (A)	Contributing family workers	M	134
Gwydir (A)	Employee	F	504
Gwydir (A)	Employee	M	564
Gwydir (A)	Owner managers of incorporated enterprises	F	34
Gwydir (A)	Owner managers of incorporated enterprises	M	91
Gwydir (A)	Owner managers of unincorporated enterprises	F	116
Gwydir (A)	Owner managers of unincorporated enterprises	M	222
Hawkesbury (C)		F	111
Hawkesbury (C)		M	139
Hawkesbury (C)	Contributing family workers	F	281
Hawkesbury (C)	Contributing family workers	M	196
Hawkesbury (C)	Employee	F	9608
Hawkesbury (C)	Employee	M	9464
Hawkesbury (C)	Owner managers of incorporated enterprises	F	689
Hawkesbury (C)	Owner managers of incorporated enterprises	M	1494
Hawkesbury (C)	Owner managers of unincorporated enterprises	F	851
Hawkesbury (C)	Owner managers of unincorporated enterprises	M	1264
Hay (A)		F	12
Hay (A)		M	13
Hay (A)	Contributing family workers	F	39
Hay (A)	Contributing family workers	M	43
Hay (A)	Employee	F	446
Hay (A)	Employee	M	480
Hay (A)	Owner managers of incorporated enterprises	F	35
Hay (A)	Owner managers of incorporated enterprises	M	66
Hay (A)	Owner managers of unincorporated enterprises	F	65
Hay (A)	Owner managers of unincorporated enterprises	M	97
Hilltops (A)		F	52
Hilltops (A)		M	64
Hilltops (A)	Contributing family workers	F	204
Hilltops (A)	Contributing family workers	M	233
Hilltops (A)	Employee	F	2599
Hilltops (A)	Employee	M	2388
Hilltops (A)	Owner managers of incorporated enterprises	F	155
Hilltops (A)	Owner managers of incorporated enterprises	M	331
Hilltops (A)	Owner managers of unincorporated enterprises	F	333
Hilltops (A)	Owner managers of unincorporated enterprises	M	595
Hornsby (A)		F	141
Hornsby (A)		M	194
Hornsby (A)	Contributing family workers	F	353
Hornsby (A)	Contributing family workers	M	326
Hornsby (A)	Employee	F	18194
Hornsby (A)	Employee	M	15383
Hornsby (A)	Owner managers of incorporated enterprises	F	1300
Hornsby (A)	Owner managers of incorporated enterprises	M	2726
Hornsby (A)	Owner managers of unincorporated enterprises	F	1555
Hornsby (A)	Owner managers of unincorporated enterprises	M	2111
Hunters Hill (A)		F	17
Hunters Hill (A)		M	14
Hunters Hill (A)	Contributing family workers	F	47
Hunters Hill (A)	Contributing family workers	M	41
Hunters Hill (A)	Employee	F	2199
Hunters Hill (A)	Employee	M	1213
Hunters Hill (A)	Owner managers of incorporated enterprises	F	186
Hunters Hill (A)	Owner managers of incorporated enterprises	M	312
Hunters Hill (A)	Owner managers of unincorporated enterprises	F	169
Hunters Hill (A)	Owner managers of unincorporated enterprises	M	209
Inner West (A)		F	226
Inner West (A)		M	346
Inner West (A)	Contributing family workers	F	418
Inner West (A)	Contributing family workers	M	422
Inner West (A)	Employee	F	24455
Inner West (A)	Employee	M	23980
Inner West (A)	Owner managers of incorporated enterprises	F	1974
Inner West (A)	Owner managers of incorporated enterprises	M	4279
Inner West (A)	Owner managers of unincorporated enterprises	F	2751
Inner West (A)	Owner managers of unincorporated enterprises	M	3555
Inverell (A)		F	50
Inverell (A)		M	67
Inverell (A)	Contributing family workers	F	143
Inverell (A)	Contributing family workers	M	156
Inverell (A)	Employee	F	2470
Inverell (A)	Employee	M	2363
Inverell (A)	Owner managers of incorporated enterprises	F	117
Inverell (A)	Owner managers of incorporated enterprises	M	207
Inverell (A)	Owner managers of unincorporated enterprises	F	286
Inverell (A)	Owner managers of unincorporated enterprises	M	451
Junee (A)		F	13
Junee (A)		M	18
Junee (A)	Contributing family workers	F	51
Junee (A)	Contributing family workers	M	55
Junee (A)	Employee	F	611
Junee (A)	Employee	M	727
Junee (A)	Owner managers of incorporated enterprises	F	34
Junee (A)	Owner managers of incorporated enterprises	M	66
Junee (A)	Owner managers of unincorporated enterprises	F	95
Junee (A)	Owner managers of unincorporated enterprises	M	168
Kempsey (A)		F	93
Kempsey (A)		M	92
Kempsey (A)	Contributing family workers	F	149
Kempsey (A)	Contributing family workers	M	160
Kempsey (A)	Employee	F	3930
Kempsey (A)	Employee	M	3484
Kempsey (A)	Owner managers of incorporated enterprises	F	162
Kempsey (A)	Owner managers of incorporated enterprises	M	292
Kempsey (A)	Owner managers of unincorporated enterprises	F	366
Kempsey (A)	Owner managers of unincorporated enterprises	M	609
Kiama (A)		F	30
Kiama (A)		M	37
Kiama (A)	Contributing family workers	F	96
Kiama (A)	Contributing family workers	M	78
Kiama (A)	Employee	F	2217
Kiama (A)	Employee	M	1578
Kiama (A)	Owner managers of incorporated enterprises	F	199
Kiama (A)	Owner managers of incorporated enterprises	M	321
Kiama (A)	Owner managers of unincorporated enterprises	F	357
Kiama (A)	Owner managers of unincorporated enterprises	M	453
Ku-ring-gai (A)		F	109
Ku-ring-gai (A)		M	103
Ku-ring-gai (A)	Contributing family workers	F	310
Ku-ring-gai (A)	Contributing family workers	M	300
Ku-ring-gai (A)	Employee	F	14239
Ku-ring-gai (A)	Employee	M	8336
Ku-ring-gai (A)	Owner managers of incorporated enterprises	F	1328
Ku-ring-gai (A)	Owner managers of incorporated enterprises	M	2447
Ku-ring-gai (A)	Owner managers of unincorporated enterprises	F	1526
Ku-ring-gai (A)	Owner managers of unincorporated enterprises	M	1524
Kyogle (A)		F	17
Kyogle (A)		M	31
Kyogle (A)	Contributing family workers	F	89
Kyogle (A)	Contributing family workers	M	113
Kyogle (A)	Employee	F	867
Kyogle (A)	Employee	M	911
Kyogle (A)	Owner managers of incorporated enterprises	F	60
Kyogle (A)	Owner managers of incorporated enterprises	M	105
Kyogle (A)	Owner managers of unincorporated enterprises	F	186
Kyogle (A)	Owner managers of unincorporated enterprises	M	334
Lachlan (A)		F	21
Lachlan (A)		M	35
Lachlan (A)	Contributing family workers	F	77
Lachlan (A)	Contributing family workers	M	116
Lachlan (A)	Employee	F	855
Lachlan (A)	Employee	M	711
