LGA_NAME16	LabourForceStatus	Sex	workers
Canada Bay (A)	Employed (part-time)	M	3632
Canterbury-Bankstown (A)		F	970
Canterbury-Bankstown (A)		M	1552
Canterbury-Bankstown (A)	Employed (away from work)	F	1414
Canterbury-Bankstown (A)	Employed (away from work)	M	1045
Canterbury-Bankstown (A)	Employed (full-time)	F	20907
Canterbury-Bankstown (A)	Employed (full-time)	M	38248
Canterbury-Bankstown (A)	Employed (part-time)	F	18586
Canterbury-Bankstown (A)	Employed (part-time)	M	12051
Carrathool (A)		F	9
Carrathool (A)		M	30
Carrathool (A)	Employed (away from work)	F	36
Carrathool (A)	Employed (away from work)	M	23
Carrathool (A)	Employed (full-time)	F	227
Carrathool (A)	Employed (full-time)	M	628
Carrathool (A)	Employed (part-time)	F	238
Carrathool (A)	Employed (part-time)	M	110
Central Coast (C) (NSW)		F	880
Central Coast (C) (NSW)		M	1032
Central Coast (C) (NSW)	Employed (away from work)	F	2429
Central Coast (C) (NSW)	Employed (away from work)	M	1307
Central Coast (C) (NSW)	Employed (full-time)	F	23363
Central Coast (C) (NSW)	Employed (full-time)	M	33966
Central Coast (C) (NSW)	Employed (part-time)	F	29956
Central Coast (C) (NSW)	Employed (part-time)	M	11791
Central Darling (A)		F	9
Central Darling (A)		M	14
Central Darling (A)	Employed (away from work)	F	12
Central Darling (A)	Employed (away from work)	M	4
Central Darling (A)	Employed (full-time)	F	172
Central Darling (A)	Employed (full-time)	M	300
Central Darling (A)	Employed (part-time)	F	74
Central Darling (A)	Employed (part-time)	M	57
Cessnock (C)		F	128
Cessnock (C)		M	136
Cessnock (C)	Employed (away from work)	F	376
Cessnock (C)	Employed (away from work)	M	173
Cessnock (C)	Employed (full-time)	F	3203
Cessnock (C)	Employed (full-time)	M	4655
Cessnock (C)	Employed (part-time)	F	4467
Cessnock (C)	Employed (part-time)	M	1650
Clarence Valley (A)		F	158
Clarence Valley (A)		M	194
Clarence Valley (A)	Employed (away from work)	F	375
Clarence Valley (A)	Employed (away from work)	M	271
Clarence Valley (A)	Employed (full-time)	F	3332
Clarence Valley (A)	Employed (full-time)	M	5547
Clarence Valley (A)	Employed (part-time)	F	4340
Clarence Valley (A)	Employed (part-time)	M	2132
Cobar (A)		F	24
Cobar (A)		M	40
Cobar (A)	Employed (away from work)	F	48
Cobar (A)	Employed (away from work)	M	57
Cobar (A)	Employed (full-time)	F	468
Cobar (A)	Employed (full-time)	M	1166
Cobar (A)	Employed (part-time)	F	343
Cobar (A)	Employed (part-time)	M	111
Coffs Harbour (C)		F	233
Coffs Harbour (C)		M	290
Coffs Harbour (C)	Employed (away from work)	F	634
Coffs Harbour (C)	Employed (away from work)	M	376
Coffs Harbour (C)	Employed (full-time)	F	6355
Coffs Harbour (C)	Employed (full-time)	M	9327
Coffs Harbour (C)	Employed (part-time)	F	7854
Coffs Harbour (C)	Employed (part-time)	M	3810
Coolamon (A)		F	15
Coolamon (A)		M	18
Coolamon (A)	Employed (away from work)	F	16
Coolamon (A)	Employed (away from work)	M	18
Coolamon (A)	Employed (full-time)	F	224
Coolamon (A)	Employed (full-time)	M	456
Coolamon (A)	Employed (part-time)	F	262
Coolamon (A)	Employed (part-time)	M	113
Coonamble (A)		F	26
Coonamble (A)		M	30
Coonamble (A)	Employed (away from work)	F	43
Coonamble (A)	Employed (away from work)	M	22
Coonamble (A)	Employed (full-time)	F	373
Coonamble (A)	Employed (full-time)	M	558
Coonamble (A)	Employed (part-time)	F	258
Coonamble (A)	Employed (part-time)	M	123
Cowra (A)		F	38
Cowra (A)		M	63
Cowra (A)	Employed (away from work)	F	94
Cowra (A)	Employed (away from work)	M	56
Cowra (A)	Employed (full-time)	F	952
Cowra (A)	Employed (full-time)	M	1806
Cowra (A)	Employed (part-time)	F	1110
Cowra (A)	Employed (part-time)	M	452
Cumberland (A)		F	661
Cumberland (A)		M	1165
Cumberland (A)	Employed (away from work)	F	880
Cumberland (A)	Employed (away from work)	M	760
Cumberland (A)	Employed (full-time)	F	15335
Cumberland (A)	Employed (full-time)	M	32795
Cumberland (A)	Employed (part-time)	F	11186
Cumberland (A)	Employed (part-time)	M	7887
Dungog (A)		F	24
Dungog (A)		M	27
Dungog (A)	Employed (away from work)	F	50
Dungog (A)	Employed (away from work)	M	35
Dungog (A)	Employed (full-time)	F	436
Dungog (A)	Employed (full-time)	M	683
Dungog (A)	Employed (part-time)	F	624
Dungog (A)	Employed (part-time)	M	276
Edward River (A)		F	34
Edward River (A)		M	38
Edward River (A)	Employed (away from work)	F	94
Edward River (A)	Employed (away from work)	M	70
Edward River (A)	Employed (full-time)	F	830
Edward River (A)	Employed (full-time)	M	1382
Edward River (A)	Employed (part-time)	F	884
Edward River (A)	Employed (part-time)	M	357
Eurobodalla (A)		F	120
Eurobodalla (A)		M	136
Eurobodalla (A)	Employed (away from work)	F	293
Eurobodalla (A)	Employed (away from work)	M	181
Eurobodalla (A)	Employed (full-time)	F	2461
Eurobodalla (A)	Employed (full-time)	M	3493
Eurobodalla (A)	Employed (part-time)	F	3466
Eurobodalla (A)	Employed (part-time)	M	1833
Fairfield (C)		F	620
Fairfield (C)		M	974
Fairfield (C)	Employed (away from work)	F	770
Fairfield (C)	Employed (away from work)	M	546
Fairfield (C)	Employed (full-time)	F	12356
Fairfield (C)	Employed (full-time)	M	24067
Fairfield (C)	Employed (part-time)	F	11014
Fairfield (C)	Employed (part-time)	M	6747
Federation (A)		F	46
Federation (A)		M	63
Federation (A)	Employed (away from work)	F	112
Federation (A)	Employed (away from work)	M	118
Federation (A)	Employed (full-time)	F	843
Federation (A)	Employed (full-time)	M	2185
Federation (A)	Employed (part-time)	F	1101
Federation (A)	Employed (part-time)	M	471
Forbes (A)		F	41
Forbes (A)		M	56
Forbes (A)	Employed (away from work)	F	100
Forbes (A)	Employed (away from work)	M	62
Forbes (A)	Employed (full-time)	F	868
Forbes (A)	Employed (full-time)	M	1550
Forbes (A)	Employed (part-time)	F	836
Forbes (A)	Employed (part-time)	M	345
Georges River (A)		F	398
Georges River (A)		M	480
Georges River (A)	Employed (away from work)	F	930
Georges River (A)	Employed (away from work)	M	411
Georges River (A)	Employed (full-time)	F	10614
Georges River (A)	Employed (full-time)	M	13765
Georges River (A)	Employed (part-time)	F	11069
Georges River (A)	Employed (part-time)	M	4876
Gilgandra (A)		F	25
Gilgandra (A)		M	15
Gilgandra (A)	Employed (away from work)	F	32
Gilgandra (A)	Employed (away from work)	M	23
Gilgandra (A)	Employed (full-time)	F	341
Gilgandra (A)	Employed (full-time)	M	634
Gilgandra (A)	Employed (part-time)	F	335
Gilgandra (A)	Employed (part-time)	M	155
Glen Innes Severn (A)		F	44
Glen Innes Severn (A)		M	39
Glen Innes Severn (A)	Employed (away from work)	F	75
Glen Innes Severn (A)	Employed (away from work)	M	49
Glen Innes Severn (A)	Employed (full-time)	F	660
Glen Innes Severn (A)	Employed (full-time)	M	1089
Glen Innes Severn (A)	Employed (part-time)	F	729
Glen Innes Severn (A)	Employed (part-time)	M	373
Goulburn Mulwaree (A)		F	98
Goulburn Mulwaree (A)		M	129
Goulburn Mulwaree (A)	Employed (away from work)	F	256
Goulburn Mulwaree (A)	Employed (away from work)	M	182
Goulburn Mulwaree (A)	Employed (full-time)	F	2700
Goulburn Mulwaree (A)	Employed (full-time)	M	4316
Goulburn Mulwaree (A)	Employed (part-time)	F	2722
Goulburn Mulwaree (A)	Employed (part-time)	M	1153
Greater Hume Shire (A)		F	38
Greater Hume Shire (A)		M	41
Greater Hume Shire (A)	Employed (away from work)	F	89
Greater Hume Shire (A)	Employed (away from work)	M	57
Greater Hume Shire (A)	Employed (full-time)	F	584
Greater Hume Shire (A)	Employed (full-time)	M	1448
Greater Hume Shire (A)	Employed (part-time)	F	748
Greater Hume Shire (A)	Employed (part-time)	M	317
Griffith (C)		F	122
Griffith (C)		M	158
Griffith (C)	Employed (away from work)	F	232
Griffith (C)	Employed (away from work)	M	171
Griffith (C)	Employed (full-time)	F	2752
Griffith (C)	Employed (full-time)	M	5093
Griffith (C)	Employed (part-time)	F	2622
Griffith (C)	Employed (part-time)	M	977
Gundagai (A)		F	44
Gundagai (A)		M	61
Gundagai (A)	Employed (away from work)	F	88
Gundagai (A)	Employed (away from work)	M	55
Gundagai (A)	Employed (full-time)	F	868
Gundagai (A)	Employed (full-time)	M	1595
Gundagai (A)	Employed (part-time)	F	975
Gundagai (A)	Employed (part-time)	M	450
Gunnedah (A)		F	38
Gunnedah (A)		M	65
Gunnedah (A)	Employed (away from work)	F	107
Gunnedah (A)	Employed (away from work)	M	58
Gunnedah (A)	Employed (full-time)	F	1067
Gunnedah (A)	Employed (full-time)	M	1993
Gunnedah (A)	Employed (part-time)	F	1124
Gunnedah (A)	Employed (part-time)	M	414
Gwydir (A)		F	19
Gwydir (A)		M	27
Gwydir (A)	Employed (away from work)	F	40
Gwydir (A)	Employed (away from work)	M	25
Gwydir (A)	Employed (full-time)	F	363
Gwydir (A)	Employed (full-time)	M	816
Gwydir (A)	Employed (part-time)	F	372
Gwydir (A)	Employed (part-time)	M	162
Hawkesbury (C)		F	199
Hawkesbury (C)		M	282
Hawkesbury (C)	Employed (away from work)	F	373
Hawkesbury (C)	Employed (away from work)	M	285
Hawkesbury (C)	Employed (full-time)	F	5116
Hawkesbury (C)	Employed (full-time)	M	9621
Hawkesbury (C)	Employed (part-time)	F	5850
Hawkesbury (C)	Employed (part-time)	M	2367
Hay (A)		F	13
Hay (A)		M	22
Hay (A)	Employed (away from work)	F	32
Hay (A)	Employed (away from work)	M	27
Hay (A)	Employed (full-time)	F	268
Hay (A)	Employed (full-time)	M	537
Hay (A)	Employed (part-time)	F	278
Hay (A)	Employed (part-time)	M	113
Hilltops (A)		F	71
Hilltops (A)		M	102
Hilltops (A)	Employed (away from work)	F	135
Hilltops (A)	Employed (away from work)	M	106
Hilltops (A)	Employed (full-time)	F	1467
Hilltops (A)	Employed (full-time)	M	2684
Hilltops (A)	Employed (part-time)	F	1676
Hilltops (A)	Employed (part-time)	M	719
Hornsby (A)		F	302
Hornsby (A)		M	378
Hornsby (A)	Employed (away from work)	F	772
Hornsby (A)	Employed (away from work)	M	478
Hornsby (A)	Employed (full-time)	F	9230
Hornsby (A)	Employed (full-time)	M	14260
Hornsby (A)	Employed (part-time)	F	11242
Hornsby (A)	Employed (part-time)	M	5620
Hunters Hill (A)		F	33
Hunters Hill (A)		M	42
Hunters Hill (A)	Employed (away from work)	F	97
Hunters Hill (A)	Employed (away from work)	M	31
Hunters Hill (A)	Employed (full-time)	F	1186
Hunters Hill (A)	Employed (full-time)	M	1157
Hunters Hill (A)	Employed (part-time)	F	1298
Hunters Hill (A)	Employed (part-time)	M	549
Inner West (A)		F	497
Inner West (A)		M	699
Inner West (A)	Employed (away from work)	F	996
Inner West (A)	Employed (away from work)	M	633
Inner West (A)	Employed (full-time)	F	14999
Inner West (A)	Employed (full-time)	M	23126
Inner West (A)	Employed (part-time)	F	13324
Inner West (A)	Employed (part-time)	M	8127
Inverell (A)		F	87
Inverell (A)		M	92
Inverell (A)	Employed (away from work)	F	144
Inverell (A)	Employed (away from work)	M	92
Inverell (A)	Employed (full-time)	F	1397
Inverell (A)	Employed (full-time)	M	2315
Inverell (A)	Employed (part-time)	F	1450
Inverell (A)	Employed (part-time)	M	751
Junee (A)		F	19
Junee (A)		M	20
Junee (A)	Employed (away from work)	F	42
Junee (A)	Employed (away from work)	M	30
Junee (A)	Employed (full-time)	F	394
Junee (A)	Employed (full-time)	M	805
Junee (A)	Employed (part-time)	F	349
Junee (A)	Employed (part-time)	M	175
Kempsey (A)		F	124
Kempsey (A)		M	166
Kempsey (A)	Employed (away from work)	F	226
Kempsey (A)	Employed (away from work)	M	188
Kempsey (A)	Employed (full-time)	F	1921
Kempsey (A)	Employed (full-time)	M	3032
Kempsey (A)	Employed (part-time)	F	2424
Kempsey (A)	Employed (part-time)	M	1257
Kiama (A)		F	41
Kiama (A)		M	42
Kiama (A)	Employed (away from work)	F	118
Kiama (A)	Employed (away from work)	M	74
Kiama (A)	Employed (full-time)	F	915
Kiama (A)	Employed (full-time)	M	1514
Kiama (A)	Employed (part-time)	F	1822
Kiama (A)	Employed (part-time)	M	841
Ku-ring-gai (A)		F	232
Ku-ring-gai (A)		M	239
Ku-ring-gai (A)	Employed (away from work)	F	623
Ku-ring-gai (A)	Employed (away from work)	M	262
Ku-ring-gai (A)	Employed (full-time)	F	7266
Ku-ring-gai (A)	Employed (full-time)	M	8120
Ku-ring-gai (A)	Employed (part-time)	F	9392
Ku-ring-gai (A)	Employed (part-time)	M	4091
Kyogle (A)		F	24
Kyogle (A)		M	36
Kyogle (A)	Employed (away from work)	F	33
Kyogle (A)	Employed (away from work)	M	48
Kyogle (A)	Employed (full-time)	F	488
Kyogle (A)	Employed (full-time)	M	1041
Kyogle (A)	Employed (part-time)	F	674
Kyogle (A)	Employed (part-time)	M	371
Lachlan (A)		F	38
Lachlan (A)		M	40
Lachlan (A)	Employed (away from work)	F	57
Lachlan (A)	Employed (away from work)	M	35
Lachlan (A)	Employed (full-time)	F	495
Lachlan (A)	Employed (full-time)	M	982
Lachlan (A)	Employed (part-time)	F	517
Lachlan (A)	Employed (part-time)	M	179
Lake Macquarie (C)		F	420
Lake Macquarie (C)		M	496
Lake Macquarie (C)	Employed (away from work)	F	1286
Lake Macquarie (C)	Employed (away from work)	M	808
Lake Macquarie (C)	Employed (full-time)	F	12217
Lake Macquarie (C)	Employed (full-time)	M	19401
Lake Macquarie (C)	Employed (part-time)	F	16414
Lake Macquarie (C)	Employed (part-time)	M	6721
Lane Cove (A)		F	118
Lane Cove (A)		M	135
Lane Cove (A)	Employed (away from work)	F	246
Lane Cove (A)	Employed (away from work)	M	146
Lane Cove (A)	Employed (full-time)	F	4212
Lane Cove (A)	Employed (full-time)	M	6422
Lane Cove (A)	Employed (part-time)	F	3105
Lane Cove (A)	Employed (part-time)	M	1604
Leeton (A)		F	40
Leeton (A)		M	80
Leeton (A)	Employed (away from work)	F	95
Leeton (A)	Employed (away from work)	M	78
Leeton (A)	Employed (full-time)	F	1067
Leeton (A)	Employed (full-time)	M	2013
Leeton (A)	Employed (part-time)	F	869
Leeton (A)	Employed (part-time)	M	330
Lismore (C)		F	210
Lismore (C)		M	199
Lismore (C)	Employed (away from work)	F	421
Lismore (C)	Employed (away from work)	M	240
Lismore (C)	Employed (full-time)	F	4717
Lismore (C)	Employed (full-time)	M	6384
Lismore (C)	Employed (part-time)	F	5323
Lismore (C)	Employed (part-time)	M	2593
Lithgow (C)		F	65
Lithgow (C)		M	80
Lithgow (C)	Employed (away from work)	F	167
Lithgow (C)	Employed (away from work)	M	130
Lithgow (C)	Employed (full-time)	F	1460
Lithgow (C)	Employed (full-time)	M	3085
Lithgow (C)	Employed (part-time)	F	1757
Lithgow (C)	Employed (part-time)	M	692
Liverpool (C)		F	674
Liverpool (C)		M	1010
Liverpool (C)	Employed (away from work)	F	1192
Liverpool (C)	Employed (away from work)	M	740
Liverpool (C)	Employed (full-time)	F	17009
Liverpool (C)	Employed (full-time)	M	26959
Liverpool (C)	Employed (part-time)	F	13345
Liverpool (C)	Employed (part-time)	M	6952
Liverpool Plains (A)		F	34
Liverpool Plains (A)		M	41
Liverpool Plains (A)	Employed (away from work)	F	54
Liverpool Plains (A)	Employed (away from work)	M	41
Liverpool Plains (A)	Employed (full-time)	F	509
Liverpool Plains (A)	Employed (full-time)	M	1171
Liverpool Plains (A)	Employed (part-time)	F	562
Liverpool Plains (A)	Employed (part-time)	M	247
Lockhart (A)		F	9
Lockhart (A)		M	8
Lockhart (A)	Employed (away from work)	F	25
Lockhart (A)	Employed (away from work)	M	7
Lockhart (A)	Employed (full-time)	F	165
Lockhart (A)	Employed (full-time)	M	359
Lockhart (A)	Employed (part-time)	F	216
Lockhart (A)	Employed (part-time)	M	92
Maitland (C)		F	199
Maitland (C)		M	244
Maitland (C)	Employed (away from work)	F	596
Maitland (C)	Employed (away from work)	M	314
Maitland (C)	Employed (full-time)	F	6041
Maitland (C)	Employed (full-time)	M	9296
Maitland (C)	Employed (part-time)	F	7359
Maitland (C)	Employed (part-time)	M	2708
Mid-Coast (A)		F	294
Mid-Coast (A)		M	345
Mid-Coast (A)	Employed (away from work)	F	673
Mid-Coast (A)	Employed (away from work)	M	532
Mid-Coast (A)	Employed (full-time)	F	5409
Mid-Coast (A)	Employed (full-time)	M	8414
Mid-Coast (A)	Employed (part-time)	F	7574
Mid-Coast (A)	Employed (part-time)	M	3648
Mid-Western Regional (A)		F	76
Mid-Western Regional (A)		M	110
Mid-Western Regional (A)	Employed (away from work)	F	197
Mid-Western Regional (A)	Employed (away from work)	M	163
Mid-Western Regional (A)	Employed (full-time)	F	1786
Mid-Western Regional (A)	Employed (full-time)	M	4043
Mid-Western Regional (A)	Employed (part-time)	F	2277
Mid-Western Regional (A)	Employed (part-time)	M	883
Moree Plains (A)		F	72
Moree Plains (A)		M	85
Moree Plains (A)	Employed (away from work)	F	130
Moree Plains (A)	Employed (away from work)	M	88
Moree Plains (A)	Employed (full-time)	F	1398
Moree Plains (A)	Employed (full-time)	M	2441
Moree Plains (A)	Employed (part-time)	F	1018
Moree Plains (A)	Employed (part-time)	M	380
Mosman (A)		F	69
Mosman (A)		M	71
Mosman (A)	Employed (away from work)	F	143
Mosman (A)	Employed (away from work)	M	73
Mosman (A)	Employed (full-time)	F	1983
Mosman (A)	Employed (full-time)	M	2672
Mosman (A)	Employed (part-time)	F	2426
Mosman (A)	Employed (part-time)	M	1298
Murray River (A)		F	44
Murray River (A)		M	59
Murray River (A)	Employed (away from work)	F	102
Murray River (A)	Employed (away from work)	M	79
Murray River (A)	Employed (full-time)	F	783
Murray River (A)	Employed (full-time)	M	1809
Murray River (A)	Employed (part-time)	F	996
Murray River (A)	Employed (part-time)	M	455
Murrumbidgee (A)		F	15
Murrumbidgee (A)		M	27
Murrumbidgee (A)	Employed (away from work)	F	42
Murrumbidgee (A)	Employed (away from work)	M	48
Murrumbidgee (A)	Employed (full-time)	F	320
Murrumbidgee (A)	Employed (full-time)	M	733
Murrumbidgee (A)	Employed (part-time)	F	303
Murrumbidgee (A)	Employed (part-time)	M	132
Muswellbrook (A)		F	71
Muswellbrook (A)		M	128
Muswellbrook (A)	Employed (away from work)	F	175
Muswellbrook (A)	Employed (away from work)	M	226
Muswellbrook (A)	Employed (full-time)	F	1686
Muswellbrook (A)	Employed (full-time)	M	4880
Muswellbrook (A)	Employed (part-time)	F	1528
Muswellbrook (A)	Employed (part-time)	M	793
Nambucca (A)		F	51
Nambucca (A)		M	81
Nambucca (A)	Employed (away from work)	F	112
Nambucca (A)	Employed (away from work)	M	96
Nambucca (A)	Employed (full-time)	F	1037
Nambucca (A)	Employed (full-time)	M	1811
Nambucca (A)	Employed (part-time)	F	1509
Nambucca (A)	Employed (part-time)	M	833
Narrabri (A)		F	68
Narrabri (A)		M	86
Narrabri (A)	Employed (away from work)	F	128
Narrabri (A)	Employed (away from work)	M	134
Narrabri (A)	Employed (full-time)	F	1276
Narrabri (A)	Employed (full-time)	M	2979
Narrabri (A)	Employed (part-time)	F	1167
Narrabri (A)	Employed (part-time)	M	472
Narrandera (A)		F	29
Narrandera (A)		M	23
Narrandera (A)	Employed (away from work)	F	55
Narrandera (A)	Employed (away from work)	M	46
Narrandera (A)	Employed (full-time)	F	442
Narrandera (A)	Employed (full-time)	M	844
Narrandera (A)	Employed (part-time)	F	480
Narrandera (A)	Employed (part-time)	M	171
Narromine (A)		F	22
Narromine (A)		M	39
Narromine (A)	Employed (away from work)	F	37
Narromine (A)	Employed (away from work)	M	41
Narromine (A)	Employed (full-time)	F	500
Narromine (A)	Employed (full-time)	M	1033
Narromine (A)	Employed (part-time)	F	411
Narromine (A)	Employed (part-time)	M	172
Newcastle (C)		F	698
Newcastle (C)		M	795
Newcastle (C)	Employed (away from work)	F	2362
Newcastle (C)	Employed (away from work)	M	1307
Newcastle (C)	Employed (full-time)	F	23655
Newcastle (C)	Employed (full-time)	M	36045
Newcastle (C)	Employed (part-time)	F	22866
Newcastle (C)	Employed (part-time)	M	9593
North Sydney (A)		F	493
North Sydney (A)		M	663
North Sydney (A)	Employed (away from work)	F	1232
North Sydney (A)	Employed (away from work)	M	615
North Sydney (A)	Employed (full-time)	F	21245
