LGA_NAME16	Sex	workers
Hilltops (A)	M	3613
Hornsby (A)	F	21549
Hornsby (A)	M	20740
Hunters Hill (A)	F	2612
Hunters Hill (A)	M	1784
Inner West (A)	F	29823
Inner West (A)	M	32583
Inverell (A)	F	3074
Inverell (A)	M	3247
Junee (A)	F	798
Junee (A)	M	1033
Kempsey (A)	F	4693
Kempsey (A)	M	4635
Kiama (A)	F	2897
Kiama (A)	M	2466
Ku-ring-gai (A)	F	17509
Ku-ring-gai (A)	M	12709
Kyogle (A)	F	1225
Kyogle (A)	M	1497
Lachlan (A)	F	1112
Lachlan (A)	M	1239
Lake Macquarie (C)	F	30335
Lake Macquarie (C)	M	27424
Lane Cove (A)	F	7682
Lane Cove (A)	M	8301
Leeton (A)	F	2074
Leeton (A)	M	2504
Lismore (C)	F	10672
Lismore (C)	M	9417
Lithgow (C)	F	3452
Lithgow (C)	M	3987
Liverpool (C)	F	32221
Liverpool (C)	M	35663
Liverpool Plains (A)	F	1163
Liverpool Plains (A)	M	1494
Lockhart (A)	F	411
Lockhart (A)	M	468
Maitland (C)	F	14199
Maitland (C)	M	12553
Mid-Coast (A)	F	13955
Mid-Coast (A)	M	12939
Mid-Western Regional (A)	F	4336
Mid-Western Regional (A)	M	5191
Moree Plains (A)	F	2613
Moree Plains (A)	M	2991
Mosman (A)	F	4626
Mosman (A)	M	4112
Murray River (A)	F	1927
Murray River (A)	M	2407
Murrumbidgee (A)	F	674
Murrumbidgee (A)	M	932
Muswellbrook (A)	F	3461
Muswellbrook (A)	M	6034
Nambucca (A)	F	2708
Nambucca (A)	M	2826
Narrabri (A)	F	2627
Narrabri (A)	M	3679
Narrandera (A)	F	1007
Narrandera (A)	M	1083
Narromine (A)	F	975
Narromine (A)	M	1286
Newcastle (C)	F	49581
Newcastle (C)	M	47740
North Sydney (A)	F	32694
North Sydney (A)	M	39555
Northern Beaches (A)	F	44253
Northern Beaches (A)	M	43978
Oberon (A)	F	809
Oberon (A)	M	1356
Orange (C)	F	10077
Orange (C)	M	8893
Parkes (A)	F	2684
Parkes (A)	M	2929
Parramatta (C)	F	67334
Parramatta (C)	M	70615
Penrith (C)	F	33751
Penrith (C)	M	34848
Port Macquarie-Hastings (A)	F	14328
Port Macquarie-Hastings (A)	M	13182
Port Stephens (A)	F	10669
Port Stephens (A)	M	15059
Queanbeyan-Palerang Regional (A)	F	6206
Queanbeyan-Palerang Regional (A)	M	8501
Randwick (C)	F	23565
Randwick (C)	M	22421
Richmond Valley (A)	F	3139
Richmond Valley (A)	M	3793
Rockdale (C)	F	12041
Rockdale (C)	M	14486
Ryde (C)	F	39091
Ryde (C)	M	45316
Shellharbour (C)	F	9711
Shellharbour (C)	M	7781
Shoalhaven (C)	F	16932
Shoalhaven (C)	M	16732
Singleton (A)	F	4855
Singleton (A)	M	10666
Snowy Monaro Regional (A)	F	4709
Snowy Monaro Regional (A)	M	5053
Snowy Valleys (A)	F	2611
Snowy Valleys (A)	M	3278
Strathfield (A)	F	8268
Strathfield (A)	M	13529
Sutherland Shire (A)	F	34920
Sutherland Shire (A)	M	31514
Sydney (C)	F	233414
Sydney (C)	M	265009
Tamworth Regional (A)	F	12622
Tamworth Regional (A)	M	12481
Temora (A)	F	1170
Temora (A)	M	1162
Tenterfield (A)	F	1046
Tenterfield (A)	M	1095
The Hills Shire (A)	F	32820
The Hills Shire (A)	M	31046
Tweed (A)	F	15099
Tweed (A)	M	13061
Upper Hunter Shire (A)	F	2663
Upper Hunter Shire (A)	M	2378
Upper Lachlan Shire (A)	F	1115
Upper Lachlan Shire (A)	M	1375
Uralla (A)	F	602
Uralla (A)	M	749
Wagga Wagga (C)	F	15075
Wagga Wagga (C)	M	15527
Walcha (A)	F	590
Walcha (A)	M	769
Walgett (A)	F	976
Walgett (A)	M	1079
Warren (A)	F	470
Warren (A)	M	625
Warrumbungle Shire (A)	F	1496
Warrumbungle Shire (A)	M	1525
Waverley (A)	F	12969
Waverley (A)	M	11371
Weddin (A)	F	547
Weddin (A)	M	690
Wentworth (A)	F	1111
Wentworth (A)	M	1636
Western Plains Regional (A)	F	11015
Western Plains Regional (A)	M	10680
Willoughby (C)	F	29108
Willoughby (C)	M	30337
Wingecarribee (A)	F	9383
Wingecarribee (A)	M	8529
Wollondilly (A)	F	4691
Wollondilly (A)	M	6444
Wollongong (C)	F	40171
Wollongong (C)	M	39052
Woollahra (A)	F	10750
Woollahra (A)	M	9219
Yass Valley (A)	F	1913
Yass Valley (A)	M	1871
Unincorporated NSW	F	240
Unincorporated NSW	M	330
No usual address (NSW)	F	34122
No usual address (NSW)	M	109242
Migratory - Offshore - Shipping (NSW)	F	12
Migratory - Offshore - Shipping (NSW)	M	78
Alpine (S)	F	2297
Alpine (S)	M	2311
Ararat (RC)	F	2243
Ararat (RC)	M	2622
Ballarat (C)	F	23816
Ballarat (C)	M	21977
Banyule (C)	F	23072
Banyule (C)	M	17280
Bass Coast (S)	F	5443
Bass Coast (S)	M	4815
Baw Baw (S)	F	8271
Baw Baw (S)	M	7516
Bayside (C)	F	15967
Bayside (C)	M	13572
Benalla (RC)	F	2476
Benalla (RC)	M	2597
Boroondara (C)	F	38418
Boroondara (C)	M	32967
Brimbank (C)	F	28037
Brimbank (C)	M	38461
Buloke (S)	F	1090
Buloke (S)	M	1351
Campaspe (S)	F	7497
Campaspe (S)	M	7792
Cardinia (S)	F	11787
Cardinia (S)	M	11358
Casey (C)	F	34231
Casey (C)	M	30010
Central Goldfields (S)	F	2133
Central Goldfields (S)	M	1980
Colac-Otway (S)	F	4507
Colac-Otway (S)	M	4875
Corangamite (S)	F	3224
Corangamite (S)	M	3855
Darebin (C)	F	24046
Darebin (C)	M	23634
East Gippsland (S)	F	8043
East Gippsland (S)	M	7641
Frankston (C)	F	23150
Frankston (C)	M	19765
Gannawarra (S)	F	1835
Gannawarra (S)	M	2101
Glen Eira (C)	F	20514
Glen Eira (C)	M	16658
Glenelg (S)	F	3630
Glenelg (S)	M	4131
Golden Plains (S)	F	1536
Golden Plains (S)	M	1789
Greater Bendigo (C)	F	23014
Greater Bendigo (C)	M	22038
Greater Dandenong (C)	F	37204
Greater Dandenong (C)	M	59494
Greater Geelong (C)	F	49624
Greater Geelong (C)	M	45431
Greater Shepparton (C)	F	13876
Greater Shepparton (C)	M	14155
Hepburn (S)	F	2548
Hepburn (S)	M	2104
Hindmarsh (S)	F	1022
Hindmarsh (S)	M	1158
Hobsons Bay (C)	F	13256
Hobsons Bay (C)	M	21727
Horsham (RC)	F	4476
Horsham (RC)	M	4398
Hume (C)	F	34737
Hume (C)	M	54757
Indigo (S)	F	2335
Indigo (S)	M	2497
Kingston (C) (Vic.)	F	31776
Kingston (C) (Vic.)	M	42049
Knox (C)	F	30234
Knox (C)	M	33976
Latrobe (C) (Vic.)	F	15233
Latrobe (C) (Vic.)	M	15371
Loddon (S)	F	1082
Loddon (S)	M	1564
Macedon Ranges (S)	F	6790
Macedon Ranges (S)	M	5884
Manningham (C)	F	15702
Manningham (C)	M	13222
Mansfield (S)	F	1675
Mansfield (S)	M	1545
Maribyrnong (C)	F	19011
Maribyrnong (C)	M	18259
Maroondah (C)	F	21023
Maroondah (C)	M	21234
Melbourne (C)	F	204603
Melbourne (C)	M	232148
Melton (C)	F	12609
Melton (C)	M	12081
Mildura (RC)	F	10789
Mildura (RC)	M	10562
Mitchell (S)	F	5503
Mitchell (S)	M	5356
Moira (S)	F	5018
Moira (S)	M	5516
Monash (C)	F	49544
Monash (C)	M	56243
Moonee Valley (C)	F	18945
Moonee Valley (C)	M	17083
Moorabool (S)	F	3861
Moorabool (S)	M	3637
Moreland (C)	F	19091
Moreland (C)	M	19711
Mornington Peninsula (S)	F	26234
Mornington Peninsula (S)	M	23244
Mount Alexander (S)	F	3341
Mount Alexander (S)	M	3577
Moyne (S)	F	2387
Moyne (S)	M	3799
Murrindindi (S)	F	2032
Murrindindi (S)	M	2078
Nillumbik (S)	F	7069
Nillumbik (S)	M	6249
Northern Grampians (S)	F	2292
Northern Grampians (S)	M	2460
Port Phillip (C)	F	33950
Port Phillip (C)	M	41986
Pyrenees (S)	F	861
Pyrenees (S)	M	1144
Queenscliffe (B)	F	736
Queenscliffe (B)	M	543
South Gippsland (S)	F	5158
South Gippsland (S)	M	5513
Southern Grampians (S)	F	3568
Southern Grampians (S)	M	3591
Stonnington (C)	F	30519
Stonnington (C)	M	24443
Strathbogie (S)	F	1636
Strathbogie (S)	M	1888
Surf Coast (S)	F	4369
Surf Coast (S)	M	4323
Swan Hill (RC)	F	4142
Swan Hill (RC)	M	4659
Towong (S)	F	962
Towong (S)	M	1052
Wangaratta (RC)	F	6416
Wangaratta (RC)	M	5900
Warrnambool (C)	F	8494
Warrnambool (C)	M	7252
Wellington (S)	F	7997
Wellington (S)	M	9073
West Wimmera (S)	F	707
West Wimmera (S)	M	974
Whitehorse (C)	F	36617
Whitehorse (C)	M	32570
Whittlesea (C)	F	25792
Whittlesea (C)	M	27357
Wodonga (C)	F	8400
Wodonga (C)	M	10412
Wyndham (C)	F	27441
Wyndham (C)	M	34463
Yarra (C)	F	40441
Yarra (C)	M	40659
Yarra Ranges (S)	F	20414
Yarra Ranges (S)	M	19129
Yarriambiack (S)	F	1166
Yarriambiack (S)	M	1395
Unincorporated Vic	F	973
Unincorporated Vic	M	1209
No usual address (Vic.)	F	28505
No usual address (Vic.)	M	90529
Migratory - Offshore - Shipping (Vic.)	F	12
Migratory - Offshore - Shipping (Vic.)	M	144
Aurukun (S)	F	114
Aurukun (S)	M	173
Balonne (S)	F	966
Balonne (S)	M	1135
Banana (S)	F	3212
Banana (S)	M	4937
Barcaldine (R)	F	686
Barcaldine (R)	M	765
Barcoo (S)	F	79
Barcoo (S)	M	133
Blackall-Tambo (R)	F	416
Blackall-Tambo (R)	M	436
Boulia (S)	F	107
Boulia (S)	M	134
Brisbane (C)	F	342943
Brisbane (C)	M	371275
Bulloo (S)	F	97
Bulloo (S)	M	185
Bundaberg (R)	F	16038
Bundaberg (R)	M	15305
Burdekin (S)	F	3413
Burdekin (S)	M	3982
Burke (S)	F	53
Burke (S)	M	90
Cairns (R)	F	34999
Cairns (R)	M	32456
Carpentaria (S)	F	392
Carpentaria (S)	M	467
Cassowary Coast (R)	F	5545
Cassowary Coast (R)	M	5970
Central Highlands (R) (Qld)	F	5931
Central Highlands (R) (Qld)	M	10169
Charters Towers (R)	F	2181
Charters Towers (R)	M	2087
Cherbourg (S)	F	175
Cherbourg (S)	M	115
Cloncurry (S)	F	787
Cloncurry (S)	M	2238
Cook (S)	F	1061
Cook (S)	M	1806
Croydon (S)	F	50
Croydon (S)	M	66
Diamantina (S)	F	73
Diamantina (S)	M	109
Doomadgee (S)	F	168
Doomadgee (S)	M	158
Douglas (S)	F	2781
Douglas (S)	M	2800
Etheridge (S)	F	155
Etheridge (S)	M	219
Flinders (S) (Qld)	F	361
Flinders (S) (Qld)	M	448
Fraser Coast (R)	F	15480
Fraser Coast (R)	M	13664
Gladstone (R)	F	11554
Gladstone (R)	M	15039
Gold Coast (C)	F	119832
Gold Coast (C)	M	115693
Goondiwindi (R)	F	2254
Goondiwindi (R)	M	2510
Gympie (R)	F	8005
Gympie (R)	M	7696
Hinchinbrook (S)	F	2025
Hinchinbrook (S)	M	2282
Hope Vale (S)	F	120
Hope Vale (S)	M	198
Ipswich (C)	F	30979
Ipswich (C)	M	31334
Isaac (R)	F	5127
Isaac (R)	M	14910
Kowanyama (S)	F	118
Kowanyama (S)	M	139
Livingstone (S)	F	4742
Livingstone (S)	M	4141
Lockhart River (S)	F	88
Lockhart River (S)	M	103
Lockyer Valley (R)	F	5625
Lockyer Valley (R)	M	5575
Logan (C)	F	44890
Logan (C)	M	44202
Longreach (R)	F	1010
Longreach (R)	M	908
Mackay (R)	F	23060
Mackay (R)	M	22648
McKinlay (S)	F	295
McKinlay (S)	M	924
Mapoon (S)	F	42
Mapoon (S)	M	42
Maranoa (R)	F	3086
Maranoa (R)	M	3955
Mareeba (S)	F	3610
Mareeba (S)	M	3762
Moreton Bay (R)	F	59658
Moreton Bay (R)	M	53324
Mornington (S)	F	175
Mornington (S)	M	177
Mount Isa (C)	F	4084
Mount Isa (C)	M	5132
Murweh (S)	F	1006
Murweh (S)	M	978
Napranum (S)	F	96
Napranum (S)	M	127
Noosa (S)	F	10917
Noosa (S)	M	9215
North Burnett (R)	F	2024
North Burnett (R)	M	2355
Northern Peninsula Area (R)	F	441
Northern Peninsula Area (R)	M	385
Palm Island (S)	F	289
Palm Island (S)	M	290
Paroo (S)	F	340
Paroo (S)	M	390
Pormpuraaw (S)	F	97
Pormpuraaw (S)	M	122
Quilpie (S)	F	216
Quilpie (S)	M	258
Redland (C)	F	22280
Redland (C)	M	18296
Richmond (S)	F	299
Richmond (S)	M	432
Rockhampton (R)	F	18987
Rockhampton (R)	M	17590
Scenic Rim (R)	F	6415
Scenic Rim (R)	M	5953
Somerset (R)	F	2909
Somerset (R)	M	3187
South Burnett (R)	F	5431
South Burnett (R)	M	5626
Southern Downs (R)	F	6503
Southern Downs (R)	M	6805
Sunshine Coast (R)	F	58983
Sunshine Coast (R)	M	51870
Tablelands (R)	F	4507
Tablelands (R)	M	4060
Toowoomba (R)	F	34385
Toowoomba (R)	M	34962
Torres (S)	F	779
Torres (S)	M	732
Torres Strait Island (R)	F	434
Torres Strait Island (R)	M	564
Townsville (C)	F	41441
Townsville (C)	M	40277
Weipa (T)	F	625
Weipa (T)	M	537
Western Downs (R)	F	6657
Western Downs (R)	M	9583
Whitsunday (R)	F	7224
Whitsunday (R)	M	7882
Winton (S)	F	281
Winton (S)	M	304
Woorabinda (S)	F	135
Woorabinda (S)	M	122
Wujal Wujal (S)	F	49
Wujal Wujal (S)	M	55
Yarrabah (S)	F	245
Yarrabah (S)	M	202
No usual address (Qld)	F	24039
No usual address (Qld)	M	74802
Migratory - Offshore - Shipping (Qld)	F	26
Migratory - Offshore - Shipping (Qld)	M	175
Adelaide (C)	F	64979
Adelaide (C)	M	52627
Adelaide Hills (DC)	F	4733
Adelaide Hills (DC)	M	5102
Alexandrina (DC)	F	3257
Alexandrina (DC)	M	3289
Anangu Pitjantjatjara (AC)	F	333
Anangu Pitjantjatjara (AC)	M	292
Barossa (DC)	F	4936
Barossa (DC)	M	5165
Barunga West (DC)	F	321
Barunga West (DC)	M	399
Berri and Barmera (DC)	F	2386
Berri and Barmera (DC)	M	2141
Burnside (C)	F	9693
Burnside (C)	M	7064
Campbelltown (C) (SA)	F	5139
Campbelltown (C) (SA)	M	4341
Ceduna (DC)	F	791
Ceduna (DC)	M	775
Charles Sturt (C)	F	18922
Charles Sturt (C)	M	20957
Clare and Gilbert Valleys (DC)	F	2063
Clare and Gilbert Valleys (DC)	M	2045
Cleve (DC)	F	368
Cleve (DC)	M	462
Coober Pedy (DC)	F	323
Coober Pedy (DC)	M	358
Copper Coast (DC)	F	2309
Copper Coast (DC)	M	2055
Elliston (DC)	F	213
Elliston (DC)	M	251
Flinders Ranges (DC)	F	271
Flinders Ranges (DC)	M	238
Franklin Harbour (DC)	F	216
Franklin Harbour (DC)	M	238
Gawler (T)	F	3946
Gawler (T)	M	2545
Goyder (DC)	F	570
Goyder (DC)	M	765
Grant (DC)	F	769
Grant (DC)	M	1494
Holdfast Bay (C)	F	6969
Holdfast Bay (C)	M	5377
Kangaroo Island (DC)	F	1035
Kangaroo Island (DC)	M	1020
Karoonda East Murray (DC)	F	197
Karoonda East Murray (DC)	M	272
Kimba (DC)	F	238
Kimba (DC)	M	291
Kingston (DC) (SA)	F	445
Kingston (DC) (SA)	M	473
Light (RegC)	F	2013
Light (RegC)	M	2821
Lower Eyre Peninsula (DC)	F	590
Lower Eyre Peninsula (DC)	M	903
Loxton Waikerie (DC)	F	2068
Loxton Waikerie (DC)	M	2412
Mallala (DC)	F	726
Mallala (DC)	M	1236
Maralinga Tjarutja (AC)	F	4
Marion (C)	F	11124
Marion (C)	M	10572
Mid Murray (DC)	F	1054
Mid Murray (DC)	M	1293
Mitcham (C)	F	15975
Mitcham (C)	M	11498
Mount Barker (DC)	F	5573
Mount Barker (DC)	M	4909
Mount Gambier (C)	F	6687
Mount Gambier (C)	M	5944
Mount Remarkable (DC)	F	363
Mount Remarkable (DC)	M	475
Murray Bridge (RC)	F	4270
Murray Bridge (RC)	M	4727
Naracoorte and Lucindale (DC)	F	1840
Naracoorte and Lucindale (DC)	M	2221
Northern Areas (DC)	F	791
Northern Areas (DC)	M	940
Norwood Payneham St Peters (C)	F	12128
Norwood Payneham St Peters (C)	M	10921
Onkaparinga (C)	F	19595
Onkaparinga (C)	M	18131
Orroroo/Carrieton (DC)	F	182
Orroroo/Carrieton (DC)	M	198
Peterborough (DC)	F	261
Peterborough (DC)	M	212
Playford (C)	F	13235
Playford (C)	M	11006
Port Adelaide Enfield (C)	F	22444
Port Adelaide Enfield (C)	M	40710
Port Augusta (C)	F	2900
Port Augusta (C)	M	2487
Port Lincoln (C)	F	3560
Port Lincoln (C)	M	3064
Port Pirie City and Dists (M)	F	3276
Port Pirie City and Dists (M)	M	3383
Prospect (C)	F	2970
Prospect (C)	M	2764
Renmark Paringa (DC)	F	1722
Renmark Paringa (DC)	M	2104
Robe (DC)	F	295
Robe (DC)	M	333
Roxby Downs (M)	F	740
Roxby Downs (M)	M	1493
Salisbury (C)	F	17686
Salisbury (C)	M	27635
Southern Mallee (DC)	F	440
Southern Mallee (DC)	M	550
Streaky Bay (DC)	F	380
Streaky Bay (DC)	M	476
Tatiara (DC)	F	1459
Tatiara (DC)	M	1959
Tea Tree Gully (C)	F	12052
Tea Tree Gully (C)	M	9221
The Coorong (DC)	F	897
The Coorong (DC)	M	1138
Tumby Bay (DC)	F	376
Tumby Bay (DC)	M	508
Unley (C)	F	11009
Unley (C)	M	8371
Victor Harbor (C)	F	2515
Victor Harbor (C)	M	1887
Wakefield (DC)	F	1093
Wakefield (DC)	M	1597
Walkerville (M)	F	1437
Walkerville (M)	M	910
Wattle Range (DC)	F	2062
Wattle Range (DC)	M	2526
West Torrens (C)	F	17979
West Torrens (C)	M	24939
Whyalla (C)	F	3686
Whyalla (C)	M	3453
Wudinna (DC)	F	287
Wudinna (DC)	M	347
Yankalilla (DC)	F	684
Yankalilla (DC)	M	724
Yorke Peninsula (DC)	F	1759
Yorke Peninsula (DC)	M	1958
Unincorporated SA	F	999
Unincorporated SA	M	4824
No usual address (SA)	F	9161
No usual address (SA)	M	25152
Migratory - Offshore - Shipping (SA)	F	3
Migratory - Offshore - Shipping (SA)	M	62
Albany (C)	F	7700
Albany (C)	M	7113
Armadale (C)	F	9932
Armadale (C)	M	7677
Ashburton (S)	F	3599
Ashburton (S)	M	19844
Augusta-Margaret River (S)	F	3023
Augusta-Margaret River (S)	M	2827
Bassendean (T)	F	2233
Bassendean (T)	M	3708
Bayswater (C)	F	10150
Bayswater (C)	M	10058
Belmont (C)	F	13889
Belmont (C)	M	24508
Beverley (S)	F	228
Beverley (S)	M	264
Boddington (S)	F	498
Boddington (S)	M	1626
Boyup Brook (S)	F	302
Boyup Brook (S)	M	352
Bridgetown-Greenbushes (S)	F	826
Bridgetown-Greenbushes (S)	M	851
Brookton (S)	F	202
Brookton (S)	M	225
Broome (S)	F	3751
Broome (S)	M	3651
Broomehill-Tambellup (S)	F	134
Broomehill-Tambellup (S)	M	225
Bruce Rock (S)	F	181
Bruce Rock (S)	M	228
Bunbury (C)	F	11671
Bunbury (C)	M	10425
Busselton (C)	F	7384
Busselton (C)	M	6256
Cambridge (T)	F	8234
Cambridge (T)	M	4891
Canning (C)	F	21125
Canning (C)	M	33764
Capel (S)	F	1980
Capel (S)	M	1590
Carnamah (S)	F	118
Carnamah (S)	M	193
Carnarvon (S)	F	1239
Carnarvon (S)	M	1504
Chapman Valley (S)	F	135
Chapman Valley (S)	M	201
Chittering (S)	F	592
Chittering (S)	M	762
Claremont (T)	F	4142
Claremont (T)	M	2542
Cockburn (C)	F	15968
Cockburn (C)	M	25710
Collie (S)	F	1600
Collie (S)	M	2891
Coolgardie (S)	F	552
Coolgardie (S)	M	1487
Coorow (S)	F	147
Coorow (S)	M	231
Corrigin (S)	F	242
Corrigin (S)	M	283
Cottesloe (T)	F	1549
Cottesloe (T)	M	1134
Cranbrook (S)	F	210
Cranbrook (S)	M	296
Cuballing (S)	F	58
Cuballing (S)	M	135
Cue (S)	F	37
Cue (S)	M	77
Cunderdin (S)	F	251
Cunderdin (S)	M	360
Dalwallinu (S)	F	311
Dalwallinu (S)	M	474
Dandaragan (S)	F	622
Dandaragan (S)	M	808
Dardanup (S)	F	1723
Dardanup (S)	M	1679
Denmark (S)	F	970
Denmark (S)	M	931
Derby-West Kimberley (S)	F	1233
Derby-West Kimberley (S)	M	1360
Donnybrook-Balingup (S)	F	834
Donnybrook-Balingup (S)	M	802
Dowerin (S)	F	115
Dowerin (S)	M	171
Dumbleyung (S)	F	125
Dumbleyung (S)	M	186
Dundas (S)	F	157
Dundas (S)	M	375
East Fremantle (T)	F	994
East Fremantle (T)	M	800
East Pilbara (S)	F	2707
East Pilbara (S)	M	11309
Esperance (S)	F	2829
Esperance (S)	M	3107
Exmouth (S)	F	644
Exmouth (S)	M	741
Fremantle (C)	F	11915
Fremantle (C)	M	12949
Gingin (S)	F	863
Gingin (S)	M	1046
Gnowangerup (S)	F	269
Gnowangerup (S)	M	377
Goomalling (S)	F	167
Goomalling (S)	M	187
Gosnells (C)	F	11638
Gosnells (C)	M	12662
Greater Geraldton (C)	F	8105
Greater Geraldton (C)	M	7598
Halls Creek (S)	F	422
Halls Creek (S)	M	474
Harvey (S)	F	3030
Harvey (S)	M	3603
Irwin (S)	F	543
Irwin (S)	M	500
Jerramungup (S)	F	245
Jerramungup (S)	M	335
Joondalup (C)	F	28594
Joondalup (C)	M	17455
Kalamunda (S)	F	6573
Kalamunda (S)	M	7903
Kalgoorlie/Boulder (C)	F	6498
Kalgoorlie/Boulder (C)	M	8321
Karratha (C)	F	4437
Karratha (C)	M	8646
Katanning (S)	F	880
Katanning (S)	M	945
Kellerberrin (S)	F	220
Kellerberrin (S)	M	210
Kent (S)	F	108
Kent (S)	M	177
Kojonup (S)	F	447
Kojonup (S)	M	505
Kondinin (S)	F	232
Kondinin (S)	M	463
Koorda (S)	F	75
Koorda (S)	M	108
Kulin (S)	F	147
Kulin (S)	M	234
Kwinana (C)	F	4411
Kwinana (C)	M	8245
Lake Grace (S)	F	311
Lake Grace (S)	M	452
Laverton (S)	F	337
Laverton (S)	M	2041
Leonora (S)	F	419
Leonora (S)	M	1853
Mandurah (C)	F	12946
Mandurah (C)	M	8358
Manjimup (S)	F	2019
Manjimup (S)	M	2108
Meekatharra (S)	F	280
Meekatharra (S)	M	945
Melville (C)	F	24442
Melville (C)	M	15646
Menzies (S)	F	126
Menzies (S)	M	561
Merredin (S)	F	707
Merredin (S)	M	769
Mingenew (S)	F	102
Mingenew (S)	M	146
Moora (S)	F	553
Moora (S)	M	605
Morawa (S)	F	157
Morawa (S)	M	173
Mosman Park (T)	F	1543
Mosman Park (T)	M	886
Mount Magnet (S)	F	100
Mount Magnet (S)	M	229
Mount Marshall (S)	F	117
Mount Marshall (S)	M	159
Mukinbudin (S)	F	101
Mukinbudin (S)	M	155
Mundaring (S)	F	4320
Mundaring (S)	M	4416
Murchison (S)	F	26
Murchison (S)	M	41
Murray (S)	F	2147
Murray (S)	M	3258
Nannup (S)	F	228
Nannup (S)	M	246
Narembeen (S)	F	157
Narembeen (S)	M	233
Narrogin (S)	F	1252
Narrogin (S)	M	1080
Nedlands (C)	F	12272
Nedlands (C)	M	8056
Ngaanyatjarraku (S)	F	183
Ngaanyatjarraku (S)	M	163
Northam (S)	F	2235
Northam (S)	M	2127
Northampton (S)	F	562
Northampton (S)	M	591
Nungarin (S)	F	26
Nungarin (S)	M	46
Peppermint Grove (S)	F	675
Peppermint Grove (S)	M	423
Perenjori (S)	F	156
Perenjori (S)	M	613
Perth (C)	F	61656
Perth (C)	M	66857
Pingelly (S)	F	155
Pingelly (S)	M	181
Plantagenet (S)	F	826
Plantagenet (S)	M	1193
Port Hedland (T)	F	3144
Port Hedland (T)	M	6334
Quairading (S)	F	159
Quairading (S)	M	194
Ravensthorpe (S)	F	332
Ravensthorpe (S)	M	682
Rockingham (C)	F	17075
Rockingham (C)	M	12981
Sandstone (S)	F	18
Sandstone (S)	M	26
Serpentine-Jarrahdale (S)	F	2187
Serpentine-Jarrahdale (S)	M	2399
Shark Bay (S)	F	187
Shark Bay (S)	M	228
South Perth (C)	F	7230
South Perth (C)	M	5630
Stirling (C)	F	37524
Stirling (C)	M	37966
Subiaco (C)	F	14868
Subiaco (C)	M	11311
Swan (C)	F	24306
