LGA_NAME16	Age	workers
Bega Valley (A)	50-54	1622
Bega Valley (A)	55-59	1702
Bega Valley (A)	60-64	1186
Bega Valley (A)	65-69	554
Bega Valley (A)	70-74	211
Bega Valley (A)	75+	118
Bellingen (A)	15-19	187
Bellingen (A)	20-24	146
Bellingen (A)	25-29	193
Bellingen (A)	30-34	289
Bellingen (A)	35-39	289
Bellingen (A)	40-44	378
Bellingen (A)	45-49	442
Bellingen (A)	50-54	466
Bellingen (A)	55-59	505
Bellingen (A)	60-64	402
Bellingen (A)	65-69	174
Bellingen (A)	70-74	79
Bellingen (A)	75+	65
Berrigan (A)	15-19	143
Berrigan (A)	20-24	180
Berrigan (A)	25-29	209
Berrigan (A)	30-34	193
Berrigan (A)	35-39	221
Berrigan (A)	40-44	245
Berrigan (A)	45-49	278
Berrigan (A)	50-54	296
Berrigan (A)	55-59	340
Berrigan (A)	60-64	311
Berrigan (A)	65-69	163
Berrigan (A)	70-74	74
Berrigan (A)	75+	55
Blacktown (C)	15-19	5986
Blacktown (C)	20-24	9926
Blacktown (C)	25-29	11185
Blacktown (C)	30-34	12253
Blacktown (C)	35-39	12118
Blacktown (C)	40-44	12281
Blacktown (C)	45-49	11807
Blacktown (C)	50-54	11157
Blacktown (C)	55-59	9267
Blacktown (C)	60-64	6015
Blacktown (C)	65-69	2399
Blacktown (C)	70-74	710
Blacktown (C)	75+	238
Bland (A)	15-19	120
Bland (A)	20-24	195
Bland (A)	25-29	204
Bland (A)	30-34	233
Bland (A)	35-39	248
Bland (A)	40-44	270
Bland (A)	45-49	257
Bland (A)	50-54	279
Bland (A)	55-59	314
Bland (A)	60-64	222
Bland (A)	65-69	125
Bland (A)	70-74	60
Bland (A)	75+	69
Blayney (A)	15-19	152
Blayney (A)	20-24	179
Blayney (A)	25-29	296
Blayney (A)	30-34	268
Blayney (A)	35-39	286
Blayney (A)	40-44	344
Blayney (A)	45-49	350
Blayney (A)	50-54	308
Blayney (A)	55-59	272
Blayney (A)	60-64	221
Blayney (A)	65-69	101
Blayney (A)	70-74	84
Blayney (A)	75+	65
Blue Mountains (C)	15-19	1418
Blue Mountains (C)	20-24	1637
Blue Mountains (C)	25-29	1372
Blue Mountains (C)	30-34	1382
Blue Mountains (C)	35-39	1529
Blue Mountains (C)	40-44	1923
Blue Mountains (C)	45-49	2144
Blue Mountains (C)	50-54	2117
Blue Mountains (C)	55-59	2066
Blue Mountains (C)	60-64	1583
Blue Mountains (C)	65-69	849
Blue Mountains (C)	70-74	285
Blue Mountains (C)	75+	150
Bogan (A)	15-19	52
Bogan (A)	20-24	107
Bogan (A)	25-29	143
Bogan (A)	30-34	126
Bogan (A)	35-39	98
Bogan (A)	40-44	139
Bogan (A)	45-49	163
Bogan (A)	50-54	161
Bogan (A)	55-59	112
Bogan (A)	60-64	86
Bogan (A)	65-69	49
Bogan (A)	70-74	27
Bogan (A)	75+	42
Botany Bay (C)	15-19	1264
Botany Bay (C)	20-24	4006
Botany Bay (C)	25-29	5592
Botany Bay (C)	30-34	6182
Botany Bay (C)	35-39	5857
Botany Bay (C)	40-44	5929
Botany Bay (C)	45-49	5756
Botany Bay (C)	50-54	5143
Botany Bay (C)	55-59	4125
Botany Bay (C)	60-64	2270
Botany Bay (C)	65-69	983
Botany Bay (C)	70-74	273
Botany Bay (C)	75+	130
Bourke (A)	15-19	27
Bourke (A)	20-24	80
Bourke (A)	25-29	125
Bourke (A)	30-34	121
Bourke (A)	35-39	103
Bourke (A)	40-44	96
Bourke (A)	45-49	112
Bourke (A)	50-54	122
Bourke (A)	55-59	103
Bourke (A)	60-64	76
Bourke (A)	65-69	50
Bourke (A)	70-74	17
Bourke (A)	75+	19
Brewarrina (A)	15-19	6
Brewarrina (A)	20-24	31
Brewarrina (A)	25-29	65
Brewarrina (A)	30-34	37
Brewarrina (A)	35-39	33
Brewarrina (A)	40-44	35
Brewarrina (A)	45-49	70
Brewarrina (A)	50-54	64
Brewarrina (A)	55-59	67
Brewarrina (A)	60-64	44
Brewarrina (A)	65-69	27
Brewarrina (A)	70-74	13
Brewarrina (A)	75+	4
Broken Hill (C)	15-19	366
Broken Hill (C)	20-24	578
Broken Hill (C)	25-29	766
Broken Hill (C)	30-34	665
Broken Hill (C)	35-39	585
Broken Hill (C)	40-44	662
Broken Hill (C)	45-49	725
Broken Hill (C)	50-54	796
Broken Hill (C)	55-59	855
Broken Hill (C)	60-64	530
Broken Hill (C)	65-69	213
Broken Hill (C)	70-74	71
Broken Hill (C)	75+	48
Burwood (A)	15-19	810
Burwood (A)	20-24	1692
Burwood (A)	25-29	2021
Burwood (A)	30-34	1986
Burwood (A)	35-39	1680
Burwood (A)	40-44	1669
Burwood (A)	45-49	1726
Burwood (A)	50-54	1733
Burwood (A)	55-59	1527
Burwood (A)	60-64	1014
Burwood (A)	65-69	501
Burwood (A)	70-74	171
Burwood (A)	75+	102
Byron (A)	15-19	637
Byron (A)	20-24	808
Byron (A)	25-29	1151
Byron (A)	30-34	1207
Byron (A)	35-39	1309
Byron (A)	40-44	1585
Byron (A)	45-49	1580
Byron (A)	50-54	1465
Byron (A)	55-59	1435
Byron (A)	60-64	1084
Byron (A)	65-69	448
Byron (A)	70-74	159
Byron (A)	75+	91
Cabonne (A)	15-19	154
Cabonne (A)	20-24	207
Cabonne (A)	25-29	339
Cabonne (A)	30-34	387
Cabonne (A)	35-39	411
Cabonne (A)	40-44	467
Cabonne (A)	45-49	457
Cabonne (A)	50-54	529
Cabonne (A)	55-59	462
Cabonne (A)	60-64	368
Cabonne (A)	65-69	249
Cabonne (A)	70-74	138
Cabonne (A)	75+	124
Camden (A)	15-19	2214
Camden (A)	20-24	2705
Camden (A)	25-29	2617
Camden (A)	30-34	2612
Camden (A)	35-39	2496
Camden (A)	40-44	2826
Camden (A)	45-49	2642
Camden (A)	50-54	2329
Camden (A)	55-59	1919
Camden (A)	60-64	1306
Camden (A)	65-69	541
Camden (A)	70-74	167
Camden (A)	75+	85
Campbelltown (C) (NSW)	15-19	3149
Campbelltown (C) (NSW)	20-24	4854
Campbelltown (C) (NSW)	25-29	4976
Campbelltown (C) (NSW)	30-34	5143
Campbelltown (C) (NSW)	35-39	4950
Campbelltown (C) (NSW)	40-44	5446
Campbelltown (C) (NSW)	45-49	5147
Campbelltown (C) (NSW)	50-54	5270
Campbelltown (C) (NSW)	55-59	4602
Campbelltown (C) (NSW)	60-64	2922
Campbelltown (C) (NSW)	65-69	1164
Campbelltown (C) (NSW)	70-74	357
Campbelltown (C) (NSW)	75+	127
Canada Bay (A)	15-19	1277
Canada Bay (A)	20-24	3064
Canada Bay (A)	25-29	4265
Canada Bay (A)	30-34	4468
Canada Bay (A)	35-39	4146
Canada Bay (A)	40-44	3914
Canada Bay (A)	45-49	3515
Canada Bay (A)	50-54	3309
Canada Bay (A)	55-59	2639
Canada Bay (A)	60-64	1710
Canada Bay (A)	65-69	838
Canada Bay (A)	70-74	321
Canada Bay (A)	75+	142
Canterbury-Bankstown (A)	15-19	3951
Canterbury-Bankstown (A)	20-24	8523
Canterbury-Bankstown (A)	25-29	10268
Canterbury-Bankstown (A)	30-34	10774
Canterbury-Bankstown (A)	35-39	10198
Canterbury-Bankstown (A)	40-44	10740
Canterbury-Bankstown (A)	45-49	10903
Canterbury-Bankstown (A)	50-54	10614
Canterbury-Bankstown (A)	55-59	9111
Canterbury-Bankstown (A)	60-64	5894
Canterbury-Bankstown (A)	65-69	2551
Canterbury-Bankstown (A)	70-74	847
Canterbury-Bankstown (A)	75+	382
Carrathool (A)	15-19	67
Carrathool (A)	20-24	102
Carrathool (A)	25-29	128
Carrathool (A)	30-34	106
Carrathool (A)	35-39	110
Carrathool (A)	40-44	146
Carrathool (A)	45-49	149
Carrathool (A)	50-54	145
Carrathool (A)	55-59	134
Carrathool (A)	60-64	106
Carrathool (A)	65-69	54
Carrathool (A)	70-74	20
Carrathool (A)	75+	26
Central Coast (C) (NSW)	15-19	7697
Central Coast (C) (NSW)	20-24	9833
Central Coast (C) (NSW)	25-29	9362
Central Coast (C) (NSW)	30-34	9757
Central Coast (C) (NSW)	35-39	9932
Central Coast (C) (NSW)	40-44	11493
Central Coast (C) (NSW)	45-49	12169
Central Coast (C) (NSW)	50-54	11944
Central Coast (C) (NSW)	55-59	10970
Central Coast (C) (NSW)	60-64	7112
Central Coast (C) (NSW)	65-69	2956
Central Coast (C) (NSW)	70-74	1051
Central Coast (C) (NSW)	75+	445
Central Darling (A)	15-19	21
Central Darling (A)	20-24	56
Central Darling (A)	25-29	54
Central Darling (A)	30-34	56
Central Darling (A)	35-39	48
Central Darling (A)	40-44	57
Central Darling (A)	45-49	75
Central Darling (A)	50-54	77
Central Darling (A)	55-59	74
Central Darling (A)	60-64	84
Central Darling (A)	65-69	27
Central Darling (A)	70-74	13
Central Darling (A)	75+	13
Cessnock (C)	15-19	1164
Cessnock (C)	20-24	1437
Cessnock (C)	25-29	1434
Cessnock (C)	30-34	1526
Cessnock (C)	35-39	1377
Cessnock (C)	40-44	1637
Cessnock (C)	45-49	1677
Cessnock (C)	50-54	1516
Cessnock (C)	55-59	1464
Cessnock (C)	60-64	935
Cessnock (C)	65-69	413
Cessnock (C)	70-74	125
Cessnock (C)	75+	87
Clarence Valley (A)	15-19	1012
Clarence Valley (A)	20-24	1132
Clarence Valley (A)	25-29	1149
Clarence Valley (A)	30-34	1182
Clarence Valley (A)	35-39	1426
Clarence Valley (A)	40-44	1762
Clarence Valley (A)	45-49	1927
Clarence Valley (A)	50-54	2088
Clarence Valley (A)	55-59	2132
Clarence Valley (A)	60-64	1503
Clarence Valley (A)	65-69	606
Clarence Valley (A)	70-74	242
Clarence Valley (A)	75+	186
Cobar (A)	15-19	87
Cobar (A)	20-24	180
Cobar (A)	25-29	298
Cobar (A)	30-34	277
Cobar (A)	35-39	240
Cobar (A)	40-44	242
Cobar (A)	45-49	204
Cobar (A)	50-54	262
Cobar (A)	55-59	224
Cobar (A)	60-64	150
Cobar (A)	65-69	61
Cobar (A)	70-74	25
Cobar (A)	75+	21
Coffs Harbour (C)	15-19	1921
Coffs Harbour (C)	20-24	2353
Coffs Harbour (C)	25-29	2514
Coffs Harbour (C)	30-34	2618
Coffs Harbour (C)	35-39	2609
Coffs Harbour (C)	40-44	3242
Coffs Harbour (C)	45-49	3392
Coffs Harbour (C)	50-54	3411
Coffs Harbour (C)	55-59	3307
Coffs Harbour (C)	60-64	2268
Coffs Harbour (C)	65-69	886
Coffs Harbour (C)	70-74	254
Coffs Harbour (C)	75+	119
Coolamon (A)	15-19	70
Coolamon (A)	20-24	90
Coolamon (A)	25-29	70
Coolamon (A)	30-34	73
Coolamon (A)	35-39	94
Coolamon (A)	40-44	99
Coolamon (A)	45-49	133
Coolamon (A)	50-54	131
Coolamon (A)	55-59	132
Coolamon (A)	60-64	94
Coolamon (A)	65-69	53
Coolamon (A)	70-74	41
Coolamon (A)	75+	31
Coonamble (A)	15-19	48
Coonamble (A)	20-24	99
Coonamble (A)	25-29	121
Coonamble (A)	30-34	145
Coonamble (A)	35-39	98
Coonamble (A)	40-44	132
Coonamble (A)	45-49	177
Coonamble (A)	50-54	156
Coonamble (A)	55-59	178
Coonamble (A)	60-64	138
Coonamble (A)	65-69	71
Coonamble (A)	70-74	45
Coonamble (A)	75+	29
Cowra (A)	15-19	301
Cowra (A)	20-24	408
Cowra (A)	25-29	347
Cowra (A)	30-34	364
Cowra (A)	35-39	396
Cowra (A)	40-44	447
Cowra (A)	45-49	512
Cowra (A)	50-54	527
Cowra (A)	55-59	451
Cowra (A)	60-64	422
Cowra (A)	65-69	212
Cowra (A)	70-74	105
Cowra (A)	75+	75
Cumberland (A)	15-19	2513
Cumberland (A)	20-24	6261
Cumberland (A)	25-29	8161
Cumberland (A)	30-34	8823
Cumberland (A)	35-39	8172
Cumberland (A)	40-44	8005
Cumberland (A)	45-49	7940
Cumberland (A)	50-54	7690
Cumberland (A)	55-59	6443
Cumberland (A)	60-64	4178
Cumberland (A)	65-69	1730
Cumberland (A)	70-74	554
Cumberland (A)	75+	194
Dungog (A)	15-19	144
Dungog (A)	20-24	130
Dungog (A)	25-29	115
Dungog (A)	30-34	142
Dungog (A)	35-39	171
Dungog (A)	40-44	207
Dungog (A)	45-49	235
Dungog (A)	50-54	266
Dungog (A)	55-59	288
Dungog (A)	60-64	215
Dungog (A)	65-69	117
Dungog (A)	70-74	66
Dungog (A)	75+	59
Edward River (A)	15-19	205
Edward River (A)	20-24	298
Edward River (A)	25-29	300
Edward River (A)	30-34	294
Edward River (A)	35-39	300
Edward River (A)	40-44	421
Edward River (A)	45-49	364
Edward River (A)	50-54	431
Edward River (A)	55-59	434
Edward River (A)	60-64	351
Edward River (A)	65-69	164
Edward River (A)	70-74	75
Edward River (A)	75+	50
Eurobodalla (A)	15-19	789
Eurobodalla (A)	20-24	765
Eurobodalla (A)	25-29	761
Eurobodalla (A)	30-34	877
Eurobodalla (A)	35-39	967
Eurobodalla (A)	40-44	1245
Eurobodalla (A)	45-49	1394
Eurobodalla (A)	50-54	1571
Eurobodalla (A)	55-59	1615
Eurobodalla (A)	60-64	1252
Eurobodalla (A)	65-69	486
Eurobodalla (A)	70-74	167
Eurobodalla (A)	75+	94
Fairfield (C)	15-19	2721
Fairfield (C)	20-24	5416
Fairfield (C)	25-29	6097
Fairfield (C)	30-34	6349
Fairfield (C)	35-39	5960
Fairfield (C)	40-44	6390
Fairfield (C)	45-49	6428
Fairfield (C)	50-54	6523
Fairfield (C)	55-59	5534
Fairfield (C)	60-64	3573
Fairfield (C)	65-69	1509
Fairfield (C)	70-74	431
Fairfield (C)	75+	165
Federation (A)	15-19	287
Federation (A)	20-24	389
Federation (A)	25-29	398
Federation (A)	30-34	421
Federation (A)	35-39	417
Federation (A)	40-44	489
Federation (A)	45-49	563
Federation (A)	50-54	581
Federation (A)	55-59	587
Federation (A)	60-64	441
Federation (A)	65-69	204
Federation (A)	70-74	100
Federation (A)	75+	55
Forbes (A)	15-19	226
Forbes (A)	20-24	329
Forbes (A)	25-29	361
Forbes (A)	30-34	343
Forbes (A)	35-39	356
Forbes (A)	40-44	355
Forbes (A)	45-49	389
Forbes (A)	50-54	450
Forbes (A)	55-59	407
Forbes (A)	60-64	307
Forbes (A)	65-69	154
Forbes (A)	70-74	81
Forbes (A)	75+	87
Georges River (A)	15-19	2088
Georges River (A)	20-24	3867
Georges River (A)	25-29	4668
Georges River (A)	30-34	4797
Georges River (A)	35-39	4376
Georges River (A)	40-44	4724
Georges River (A)	45-49	4756
Georges River (A)	50-54	4709
Georges River (A)	55-59	4064
Georges River (A)	60-64	2556
Georges River (A)	65-69	1267
Georges River (A)	70-74	447
Georges River (A)	75+	229
Gilgandra (A)	15-19	62
Gilgandra (A)	20-24	117
Gilgandra (A)	25-29	139
Gilgandra (A)	30-34	105
Gilgandra (A)	35-39	127
Gilgandra (A)	40-44	128
Gilgandra (A)	45-49	156
Gilgandra (A)	50-54	193
Gilgandra (A)	55-59	199
Gilgandra (A)	60-64	148
Gilgandra (A)	65-69	84
Gilgandra (A)	70-74	52
Gilgandra (A)	75+	53
Glen Innes Severn (A)	15-19	183
Glen Innes Severn (A)	20-24	219
Glen Innes Severn (A)	25-29	204
Glen Innes Severn (A)	30-34	219
Glen Innes Severn (A)	35-39	268
Glen Innes Severn (A)	40-44	281
Glen Innes Severn (A)	45-49	336
Glen Innes Severn (A)	50-54	339
Glen Innes Severn (A)	55-59	396
Glen Innes Severn (A)	60-64	261
Glen Innes Severn (A)	65-69	170
Glen Innes Severn (A)	70-74	108
Glen Innes Severn (A)	75+	78
Goulburn Mulwaree (A)	15-19	781
Goulburn Mulwaree (A)	20-24	992
Goulburn Mulwaree (A)	25-29	1060
Goulburn Mulwaree (A)	30-34	1095
Goulburn Mulwaree (A)	35-39	1065
Goulburn Mulwaree (A)	40-44	1196
Goulburn Mulwaree (A)	45-49	1303
Goulburn Mulwaree (A)	50-54	1384
Goulburn Mulwaree (A)	55-59	1202
Goulburn Mulwaree (A)	60-64	828
Goulburn Mulwaree (A)	65-69	390
Goulburn Mulwaree (A)	70-74	169
Goulburn Mulwaree (A)	75+	97
Greater Hume Shire (A)	15-19	182
Greater Hume Shire (A)	20-24	193
Greater Hume Shire (A)	25-29	231
Greater Hume Shire (A)	30-34	276
Greater Hume Shire (A)	35-39	244
Greater Hume Shire (A)	40-44	293
Greater Hume Shire (A)	45-49	359
Greater Hume Shire (A)	50-54	423
Greater Hume Shire (A)	55-59	405
Greater Hume Shire (A)	60-64	312
Greater Hume Shire (A)	65-69	190
Greater Hume Shire (A)	70-74	114
Greater Hume Shire (A)	75+	92
Griffith (C)	15-19	837
Griffith (C)	20-24	1090
Griffith (C)	25-29	1357
Griffith (C)	30-34	1247
Griffith (C)	35-39	1152
Griffith (C)	40-44	1217
Griffith (C)	45-49	1307
Griffith (C)	50-54	1297
Griffith (C)	55-59	1161
Griffith (C)	60-64	830
Griffith (C)	65-69	387
Griffith (C)	70-74	158
Griffith (C)	75+	92
Gundagai (A)	15-19	246
Gundagai (A)	20-24	309
Gundagai (A)	25-29	295
Gundagai (A)	30-34	345
Gundagai (A)	35-39	385
Gundagai (A)	40-44	408
Gundagai (A)	45-49	440
Gundagai (A)	50-54	517
Gundagai (A)	55-59	481
Gundagai (A)	60-64	368
Gundagai (A)	65-69	176
Gundagai (A)	70-74	85
Gundagai (A)	75+	78
Gunnedah (A)	15-19	325
Gunnedah (A)	20-24	410
Gunnedah (A)	25-29	443
Gunnedah (A)	30-34	465
Gunnedah (A)	35-39	466
Gunnedah (A)	40-44	467
Gunnedah (A)	45-49	488
Gunnedah (A)	50-54	499
Gunnedah (A)	55-59	546
Gunnedah (A)	60-64	415
Gunnedah (A)	65-69	185
Gunnedah (A)	70-74	84
Gunnedah (A)	75+	66
Gwydir (A)	15-19	76
Gwydir (A)	20-24	109
Gwydir (A)	25-29	126
Gwydir (A)	30-34	128
Gwydir (A)	35-39	144
Gwydir (A)	40-44	176
Gwydir (A)	45-49	221
Gwydir (A)	50-54	244
Gwydir (A)	55-59	200
Gwydir (A)	60-64	161
Gwydir (A)	65-69	116
Gwydir (A)	70-74	73
Gwydir (A)	75+	55
Hawkesbury (C)	15-19	1819
Hawkesbury (C)	20-24	2496
Hawkesbury (C)	25-29	2414
Hawkesbury (C)	30-34	2250
Hawkesbury (C)	35-39	2230
Hawkesbury (C)	40-44	2600
Hawkesbury (C)	45-49	2687
Hawkesbury (C)	50-54	2603
Hawkesbury (C)	55-59	2344
Hawkesbury (C)	60-64	1479
Hawkesbury (C)	65-69	742
Hawkesbury (C)	70-74	272
Hawkesbury (C)	75+	155
Hay (A)	15-19	78
Hay (A)	20-24	107
Hay (A)	25-29	93
Hay (A)	30-34	102
Hay (A)	35-39	87
Hay (A)	40-44	114
Hay (A)	45-49	130
Hay (A)	50-54	191
Hay (A)	55-59	166
Hay (A)	60-64	108
Hay (A)	65-69	61
Hay (A)	70-74	26
Hay (A)	75+	23
Hilltops (A)	15-19	428
Hilltops (A)	20-24	544
Hilltops (A)	25-29	515
Hilltops (A)	30-34	542
Hilltops (A)	35-39	629
Hilltops (A)	40-44	709
Hilltops (A)	45-49	769
Hilltops (A)	50-54	843
Hilltops (A)	55-59	760
Hilltops (A)	60-64	589
Hilltops (A)	65-69	343
Hilltops (A)	70-74	156
Hilltops (A)	75+	134
Hornsby (A)	15-19	3049
Hornsby (A)	20-24	4223
Hornsby (A)	25-29	3821
Hornsby (A)	30-34	3881
Hornsby (A)	35-39	3891
Hornsby (A)	40-44	4512
Hornsby (A)	45-49	4826
Hornsby (A)	50-54	4537
Hornsby (A)	55-59	4229
Hornsby (A)	60-64	2925
Hornsby (A)	65-69	1493
Hornsby (A)	70-74	591
Hornsby (A)	75+	301
Hunters Hill (A)	15-19	153
Hunters Hill (A)	20-24	320
Hunters Hill (A)	25-29	432
Hunters Hill (A)	30-34	419
Hunters Hill (A)	35-39	419
Hunters Hill (A)	40-44	428
Hunters Hill (A)	45-49	538
Hunters Hill (A)	50-54	499
Hunters Hill (A)	55-59	487
Hunters Hill (A)	60-64	323
Hunters Hill (A)	65-69	222
Hunters Hill (A)	70-74	91
Hunters Hill (A)	75+	49
Inner West (A)	15-19	2190
Inner West (A)	20-24	5769
Inner West (A)	25-29	7916
Inner West (A)	30-34	7794
Inner West (A)	35-39	6929
Inner West (A)	40-44	6910
Inner West (A)	45-49	6576
Inner West (A)	50-54	6423
Inner West (A)	55-59	5346
Inner West (A)	60-64	3652
Inner West (A)	65-69	1862
Inner West (A)	70-74	710
Inner West (A)	75+	327
Inverell (A)	15-19	408
Inverell (A)	20-24	535
Inverell (A)	25-29	520
Inverell (A)	30-34	553
Inverell (A)	35-39	553
Inverell (A)	40-44	642
Inverell (A)	45-49	711
Inverell (A)	50-54	724
Inverell (A)	55-59	726
Inverell (A)	60-64	472
Inverell (A)	65-69	234
Inverell (A)	70-74	126
Inverell (A)	75+	115
Junee (A)	15-19	87
Junee (A)	20-24	137
Junee (A)	25-29	207
Junee (A)	30-34	194
Junee (A)	35-39	153
Junee (A)	40-44	177
Junee (A)	45-49	201
Junee (A)	50-54	190
Junee (A)	55-59	212
Junee (A)	60-64	128
Junee (A)	65-69	86
Junee (A)	70-74	37
Junee (A)	75+	26
Kempsey (A)	15-19	595
Kempsey (A)	20-24	643
Kempsey (A)	25-29	701
Kempsey (A)	30-34	710
Kempsey (A)	35-39	795
Kempsey (A)	40-44	984
Kempsey (A)	45-49	1051
Kempsey (A)	50-54	1200
Kempsey (A)	55-59	1217
Kempsey (A)	60-64	801
Kempsey (A)	65-69	407
Kempsey (A)	70-74	131
Kempsey (A)	75+	91
Kiama (A)	15-19	479
Kiama (A)	20-24	552
Kiama (A)	25-29	392
Kiama (A)	30-34	413
Kiama (A)	35-39	447
Kiama (A)	40-44	556
Kiama (A)	45-49	529
Kiama (A)	50-54	595
Kiama (A)	55-59	570
Kiama (A)	60-64	461
Kiama (A)	65-69	213
Kiama (A)	70-74	96
Kiama (A)	75+	54
Ku-ring-gai (A)	15-19	1726
Ku-ring-gai (A)	20-24	2665
Ku-ring-gai (A)	25-29	2615
Ku-ring-gai (A)	30-34	2657
Ku-ring-gai (A)	35-39	2546
Ku-ring-gai (A)	40-44	3053
Ku-ring-gai (A)	45-49	3609
Ku-ring-gai (A)	50-54	3616
Ku-ring-gai (A)	55-59	3054
Ku-ring-gai (A)	60-64	2177
Ku-ring-gai (A)	65-69	1428
Ku-ring-gai (A)	70-74	662
Ku-ring-gai (A)	75+	415
Kyogle (A)	15-19	145
Kyogle (A)	20-24	139
Kyogle (A)	25-29	146
Kyogle (A)	30-34	205
Kyogle (A)	35-39	203
Kyogle (A)	40-44	238
Kyogle (A)	45-49	275
Kyogle (A)	50-54	377
Kyogle (A)	55-59	390
Kyogle (A)	60-64	307
Kyogle (A)	65-69	155
Kyogle (A)	70-74	65
Kyogle (A)	75+	71
Lachlan (A)	15-19	84
Lachlan (A)	20-24	195
Lachlan (A)	25-29	206
Lachlan (A)	30-34	238
Lachlan (A)	35-39	197
Lachlan (A)	40-44	215
Lachlan (A)	45-49	235
Lachlan (A)	50-54	254
Lachlan (A)	55-59	265
Lachlan (A)	60-64	204
Lachlan (A)	65-69	129
Lachlan (A)	70-74	58
Lachlan (A)	75+	74
Lake Macquarie (C)	15-19	4517
Lake Macquarie (C)	20-24	6343
Lake Macquarie (C)	25-29	5747
Lake Macquarie (C)	30-34	5755
Lake Macquarie (C)	35-39	5486
Lake Macquarie (C)	40-44	6190
Lake Macquarie (C)	45-49	6281
Lake Macquarie (C)	50-54	6102
Lake Macquarie (C)	55-59	5507
Lake Macquarie (C)	60-64	3625
Lake Macquarie (C)	65-69	1433
Lake Macquarie (C)	70-74	528
Lake Macquarie (C)	75+	242
Lane Cove (A)	15-19	457
Lane Cove (A)	20-24	1360
Lane Cove (A)	25-29	1922
Lane Cove (A)	30-34	2244
Lane Cove (A)	35-39	1940
Lane Cove (A)	40-44	1866
Lane Cove (A)	45-49	1708
Lane Cove (A)	50-54	1548
Lane Cove (A)	55-59	1323
Lane Cove (A)	60-64	823
Lane Cove (A)	65-69	490
Lane Cove (A)	70-74	198
Lane Cove (A)	75+	105
Leeton (A)	15-19	244
Leeton (A)	20-24	392
Leeton (A)	25-29	434
Leeton (A)	30-34	410
Leeton (A)	35-39	370
Leeton (A)	40-44	494
Leeton (A)	45-49	542
Leeton (A)	50-54	560
Leeton (A)	55-59	532
Leeton (A)	60-64	337
Leeton (A)	65-69	147
Leeton (A)	70-74	58
Leeton (A)	75+	61
Lismore (C)	15-19	1223
Lismore (C)	20-24	1444
Lismore (C)	25-29	1467
Lismore (C)	30-34	1610
Lismore (C)	35-39	1836
Lismore (C)	40-44	2168
Lismore (C)	45-49	2378
Lismore (C)	50-54	2508
Lismore (C)	55-59	2485
Lismore (C)	60-64	1763
Lismore (C)	65-69	793
Lismore (C)	70-74	256
Lismore (C)	75+	159
Lithgow (C)	15-19	433
Lithgow (C)	20-24	593
Lithgow (C)	25-29	692
Lithgow (C)	30-34	657
Lithgow (C)	35-39	631
Lithgow (C)	40-44	826
Lithgow (C)	45-49	844
Lithgow (C)	50-54	905
Lithgow (C)	55-59	935
Lithgow (C)	60-64	524
Lithgow (C)	65-69	218
Lithgow (C)	70-74	119
Lithgow (C)	75+	62
Liverpool (C)	15-19	3559
Liverpool (C)	20-24	6954
Liverpool (C)	25-29	7783
