LGA_NAME16	LabourForceStatus	workers
Bourke (A)	Employed (full-time)	752
Bourke (A)	Employed (part-time)	235
Brewarrina (A)		22
Brewarrina (A)	Employed (away from work)	18
Brewarrina (A)	Employed (full-time)	351
Brewarrina (A)	Employed (part-time)	107
Broken Hill (C)		163
Broken Hill (C)	Employed (away from work)	315
Broken Hill (C)	Employed (full-time)	4261
Broken Hill (C)	Employed (part-time)	2111
Burwood (A)		344
Burwood (A)	Employed (away from work)	497
Burwood (A)	Employed (full-time)	9672
Burwood (A)	Employed (part-time)	6117
Byron (A)		292
Byron (A)	Employed (away from work)	402
Byron (A)	Employed (full-time)	6002
Byron (A)	Employed (part-time)	6265
Cabonne (A)		94
Cabonne (A)	Employed (away from work)	158
Cabonne (A)	Employed (full-time)	2804
Cabonne (A)	Employed (part-time)	1244
Camden (A)		501
Camden (A)	Employed (away from work)	661
Camden (A)	Employed (full-time)	14913
Camden (A)	Employed (part-time)	8368
Campbelltown (C) (NSW)		1097
Campbelltown (C) (NSW)	Employed (away from work)	1453
Campbelltown (C) (NSW)	Employed (full-time)	29866
Campbelltown (C) (NSW)	Employed (part-time)	15700
Canada Bay (A)		717
Canada Bay (A)	Employed (away from work)	964
Canada Bay (A)	Employed (full-time)	21726
Canada Bay (A)	Employed (part-time)	10205
Canterbury-Bankstown (A)		2525
Canterbury-Bankstown (A)	Employed (away from work)	2458
Canterbury-Bankstown (A)	Employed (full-time)	59159
Canterbury-Bankstown (A)	Employed (part-time)	30636
Carrathool (A)		37
Carrathool (A)	Employed (away from work)	66
Carrathool (A)	Employed (full-time)	857
Carrathool (A)	Employed (part-time)	342
Central Coast (C) (NSW)		1912
Central Coast (C) (NSW)	Employed (away from work)	3735
Central Coast (C) (NSW)	Employed (full-time)	57331
Central Coast (C) (NSW)	Employed (part-time)	41748
Central Darling (A)		25
Central Darling (A)	Employed (away from work)	19
Central Darling (A)	Employed (full-time)	477
Central Darling (A)	Employed (part-time)	131
Cessnock (C)		269
Cessnock (C)	Employed (away from work)	548
Cessnock (C)	Employed (full-time)	7863
Cessnock (C)	Employed (part-time)	6114
Clarence Valley (A)		346
Clarence Valley (A)	Employed (away from work)	645
Clarence Valley (A)	Employed (full-time)	8878
Clarence Valley (A)	Employed (part-time)	6475
Cobar (A)		61
Cobar (A)	Employed (away from work)	110
Cobar (A)	Employed (full-time)	1635
Cobar (A)	Employed (part-time)	459
Coffs Harbour (C)		523
Coffs Harbour (C)	Employed (away from work)	1017
Coffs Harbour (C)	Employed (full-time)	15683
Coffs Harbour (C)	Employed (part-time)	11661
Coolamon (A)		33
Coolamon (A)	Employed (away from work)	35
Coolamon (A)	Employed (full-time)	674
Coolamon (A)	Employed (part-time)	366
Coonamble (A)		55
Coonamble (A)	Employed (away from work)	62
Coonamble (A)	Employed (full-time)	929
Coonamble (A)	Employed (part-time)	380
Cowra (A)		96
Cowra (A)	Employed (away from work)	152
Cowra (A)	Employed (full-time)	2755
Cowra (A)	Employed (part-time)	1562
Cumberland (A)		1828
Cumberland (A)	Employed (away from work)	1640
Cumberland (A)	Employed (full-time)	48128
Cumberland (A)	Employed (part-time)	19072
Dungog (A)		52
Dungog (A)	Employed (away from work)	90
Dungog (A)	Employed (full-time)	1122
Dungog (A)	Employed (part-time)	895
Edward River (A)		76
Edward River (A)	Employed (away from work)	160
Edward River (A)	Employed (full-time)	2215
Edward River (A)	Employed (part-time)	1242
Eurobodalla (A)		257
Eurobodalla (A)	Employed (away from work)	473
Eurobodalla (A)	Employed (full-time)	5947
Eurobodalla (A)	Employed (part-time)	5298
Fairfield (C)		1592
Fairfield (C)	Employed (away from work)	1316
Fairfield (C)	Employed (full-time)	36421
Fairfield (C)	Employed (part-time)	17762
Federation (A)		114
Federation (A)	Employed (away from work)	225
Federation (A)	Employed (full-time)	3023
Federation (A)	Employed (part-time)	1565
Forbes (A)		102
Forbes (A)	Employed (away from work)	160
Forbes (A)	Employed (full-time)	2419
Forbes (A)	Employed (part-time)	1179
Georges River (A)		877
Georges River (A)	Employed (away from work)	1340
Georges River (A)	Employed (full-time)	24385
Georges River (A)	Employed (part-time)	15942
Gilgandra (A)		48
Gilgandra (A)	Employed (away from work)	58
Gilgandra (A)	Employed (full-time)	977
Gilgandra (A)	Employed (part-time)	492
Glen Innes Severn (A)		83
Glen Innes Severn (A)	Employed (away from work)	124
Glen Innes Severn (A)	Employed (full-time)	1747
Glen Innes Severn (A)	Employed (part-time)	1108
Goulburn Mulwaree (A)		226
Goulburn Mulwaree (A)	Employed (away from work)	442
Goulburn Mulwaree (A)	Employed (full-time)	7020
Goulburn Mulwaree (A)	Employed (part-time)	3870
Greater Hume Shire (A)		75
Greater Hume Shire (A)	Employed (away from work)	151
Greater Hume Shire (A)	Employed (full-time)	2027
Greater Hume Shire (A)	Employed (part-time)	1064
Griffith (C)		278
Griffith (C)	Employed (away from work)	407
Griffith (C)	Employed (full-time)	7842
Griffith (C)	Employed (part-time)	3599
Gundagai (A)		105
Gundagai (A)	Employed (away from work)	139
Gundagai (A)	Employed (full-time)	2457
Gundagai (A)	Employed (part-time)	1423
Gunnedah (A)		103
Gunnedah (A)	Employed (away from work)	169
Gunnedah (A)	Employed (full-time)	3058
Gunnedah (A)	Employed (part-time)	1535
Gwydir (A)		44
Gwydir (A)	Employed (away from work)	67
Gwydir (A)	Employed (full-time)	1184
Gwydir (A)	Employed (part-time)	533
Hawkesbury (C)		473
Hawkesbury (C)	Employed (away from work)	660
Hawkesbury (C)	Employed (full-time)	14741
Hawkesbury (C)	Employed (part-time)	8222
Hay (A)		38
Hay (A)	Employed (away from work)	57
Hay (A)	Employed (full-time)	808
Hay (A)	Employed (part-time)	390
Hilltops (A)		176
Hilltops (A)	Employed (away from work)	242
Hilltops (A)	Employed (full-time)	4154
Hilltops (A)	Employed (part-time)	2394
Hornsby (A)		681
Hornsby (A)	Employed (away from work)	1251
Hornsby (A)	Employed (full-time)	23490
Hornsby (A)	Employed (part-time)	16867
Hunters Hill (A)		75
Hunters Hill (A)	Employed (away from work)	130
Hunters Hill (A)	Employed (full-time)	2343
Hunters Hill (A)	Employed (part-time)	1845
Inner West (A)		1194
Inner West (A)	Employed (away from work)	1633
Inner West (A)	Employed (full-time)	38125
Inner West (A)	Employed (part-time)	21451
Inverell (A)		180
Inverell (A)	Employed (away from work)	231
Inverell (A)	Employed (full-time)	3710
Inverell (A)	Employed (part-time)	2197
Junee (A)		40
Junee (A)	Employed (away from work)	70
Junee (A)	Employed (full-time)	1200
Junee (A)	Employed (part-time)	524
Kempsey (A)		288
Kempsey (A)	Employed (away from work)	413
Kempsey (A)	Employed (full-time)	4951
Kempsey (A)	Employed (part-time)	3681
Kiama (A)		82
Kiama (A)	Employed (away from work)	196
Kiama (A)	Employed (full-time)	2428
Kiama (A)	Employed (part-time)	2660
Ku-ring-gai (A)		471
Ku-ring-gai (A)	Employed (away from work)	881
Ku-ring-gai (A)	Employed (full-time)	15381
Ku-ring-gai (A)	Employed (part-time)	13486
Kyogle (A)		63
Kyogle (A)	Employed (away from work)	82
Kyogle (A)	Employed (full-time)	1532
Kyogle (A)	Employed (part-time)	1044
Lachlan (A)		79
Lachlan (A)	Employed (away from work)	92
Lachlan (A)	Employed (full-time)	1476
Lachlan (A)	Employed (part-time)	695
Lake Macquarie (C)		911
Lake Macquarie (C)	Employed (away from work)	2098
Lake Macquarie (C)	Employed (full-time)	31614
Lake Macquarie (C)	Employed (part-time)	23140
Lane Cove (A)		256
Lane Cove (A)	Employed (away from work)	389
Lane Cove (A)	Employed (full-time)	10630
Lane Cove (A)	Employed (part-time)	4710
Leeton (A)		117
Leeton (A)	Employed (away from work)	172
Leeton (A)	Employed (full-time)	3087
Leeton (A)	Employed (part-time)	1200
Lismore (C)		408
Lismore (C)	Employed (away from work)	659
Lismore (C)	Employed (full-time)	11108
Lismore (C)	Employed (part-time)	7917
Lithgow (C)		149
Lithgow (C)	Employed (away from work)	298
Lithgow (C)	Employed (full-time)	4550
Lithgow (C)	Employed (part-time)	2447
Liverpool (C)		1684
Liverpool (C)	Employed (away from work)	1935
Liverpool (C)	Employed (full-time)	43967
Liverpool (C)	Employed (part-time)	20300
Liverpool Plains (A)		69
Liverpool Plains (A)	Employed (away from work)	99
Liverpool Plains (A)	Employed (full-time)	1682
Liverpool Plains (A)	Employed (part-time)	806
Lockhart (A)		15
Lockhart (A)	Employed (away from work)	35
Lockhart (A)	Employed (full-time)	520
Lockhart (A)	Employed (part-time)	311
Maitland (C)		444
Maitland (C)	Employed (away from work)	906
Maitland (C)	Employed (full-time)	15334
Maitland (C)	Employed (part-time)	10072
Mid-Coast (A)		635
Mid-Coast (A)	Employed (away from work)	1209
Mid-Coast (A)	Employed (full-time)	13826
Mid-Coast (A)	Employed (part-time)	11224
Mid-Western Regional (A)		182
Mid-Western Regional (A)	Employed (away from work)	358
Mid-Western Regional (A)	Employed (full-time)	5820
Mid-Western Regional (A)	Employed (part-time)	3156
Moree Plains (A)		151
Moree Plains (A)	Employed (away from work)	218
Moree Plains (A)	Employed (full-time)	3840
Moree Plains (A)	Employed (part-time)	1396
Mosman (A)		141
Mosman (A)	Employed (away from work)	215
Mosman (A)	Employed (full-time)	4656
Mosman (A)	Employed (part-time)	3727
Murray River (A)		108
Murray River (A)	Employed (away from work)	184
Murray River (A)	Employed (full-time)	2595
Murray River (A)	Employed (part-time)	1446
Murrumbidgee (A)		40
Murrumbidgee (A)	Employed (away from work)	88
Murrumbidgee (A)	Employed (full-time)	1049
Murrumbidgee (A)	Employed (part-time)	435
Muswellbrook (A)		199
Muswellbrook (A)	Employed (away from work)	407
Muswellbrook (A)	Employed (full-time)	6567
Muswellbrook (A)	Employed (part-time)	2324
Nambucca (A)		130
Nambucca (A)	Employed (away from work)	212
Nambucca (A)	Employed (full-time)	2842
Nambucca (A)	Employed (part-time)	2342
Narrabri (A)		148
Narrabri (A)	Employed (away from work)	258
Narrabri (A)	Employed (full-time)	4254
Narrabri (A)	Employed (part-time)	1635
Narrandera (A)		58
Narrandera (A)	Employed (away from work)	97
Narrandera (A)	Employed (full-time)	1288
Narrandera (A)	Employed (part-time)	649
Narromine (A)		60
Narromine (A)	Employed (away from work)	77
Narromine (A)	Employed (full-time)	1534
Narromine (A)	Employed (part-time)	586
Newcastle (C)		1500
Newcastle (C)	Employed (away from work)	3662
Newcastle (C)	Employed (full-time)	59697
Newcastle (C)	Employed (part-time)	32464
North Sydney (A)		1156
North Sydney (A)	Employed (away from work)	1852
North Sydney (A)	Employed (full-time)	54176
North Sydney (A)	Employed (part-time)	15058
Northern Beaches (A)		1429
Northern Beaches (A)	Employed (away from work)	2353
Northern Beaches (A)	Employed (full-time)	50044
Northern Beaches (A)	Employed (part-time)	34408
Oberon (A)		51
Oberon (A)	Employed (away from work)	68
Oberon (A)	Employed (full-time)	1465
Oberon (A)	Employed (part-time)	579
Orange (C)		319
Orange (C)	Employed (away from work)	711
Orange (C)	Employed (full-time)	11868
Orange (C)	Employed (part-time)	6074
Parkes (A)		133
Parkes (A)	Employed (away from work)	251
Parkes (A)	Employed (full-time)	3494
Parkes (A)	Employed (part-time)	1742
Parramatta (C)		2782
Parramatta (C)	Employed (away from work)	4334
Parramatta (C)	Employed (full-time)	95889
Parramatta (C)	Employed (part-time)	34954
Penrith (C)		1381
Penrith (C)	Employed (away from work)	2095
Penrith (C)	Employed (full-time)	42863
Penrith (C)	Employed (part-time)	22260
Port Macquarie-Hastings (A)		537
Port Macquarie-Hastings (A)	Employed (away from work)	1002
Port Macquarie-Hastings (A)	Employed (full-time)	15288
Port Macquarie-Hastings (A)	Employed (part-time)	10687
Port Stephens (A)		451
Port Stephens (A)	Employed (away from work)	906
Port Stephens (A)	Employed (full-time)	16030
Port Stephens (A)	Employed (part-time)	8340
Queanbeyan-Palerang Regional (A)		265
Queanbeyan-Palerang Regional (A)	Employed (away from work)	471
Queanbeyan-Palerang Regional (A)	Employed (full-time)	9481
Queanbeyan-Palerang Regional (A)	Employed (part-time)	4490
Randwick (C)		939
Randwick (C)	Employed (away from work)	1462
Randwick (C)	Employed (full-time)	27939
Randwick (C)	Employed (part-time)	15654
Richmond Valley (A)		170
Richmond Valley (A)	Employed (away from work)	253
Richmond Valley (A)	Employed (full-time)	3820
Richmond Valley (A)	Employed (part-time)	2690
Rockdale (C)		586
Rockdale (C)	Employed (away from work)	844
Rockdale (C)	Employed (full-time)	15694
Rockdale (C)	Employed (part-time)	9399
Ryde (C)		1460
Ryde (C)	Employed (away from work)	2221
Ryde (C)	Employed (full-time)	59972
Ryde (C)	Employed (part-time)	20755
Shellharbour (C)		290
Shellharbour (C)	Employed (away from work)	644
Shellharbour (C)	Employed (full-time)	9150
Shellharbour (C)	Employed (part-time)	7414
Shoalhaven (C)		713
Shoalhaven (C)	Employed (away from work)	1302
Shoalhaven (C)	Employed (full-time)	18326
Shoalhaven (C)	Employed (part-time)	13323
Singleton (A)		322
Singleton (A)	Employed (away from work)	603
Singleton (A)	Employed (full-time)	11025
Singleton (A)	Employed (part-time)	3572
Snowy Monaro Regional (A)		222
Snowy Monaro Regional (A)	Employed (away from work)	307
Snowy Monaro Regional (A)	Employed (full-time)	6128
Snowy Monaro Regional (A)	Employed (part-time)	3103
Snowy Valleys (A)		154
Snowy Valleys (A)	Employed (away from work)	232
Snowy Valleys (A)	Employed (full-time)	3676
Snowy Valleys (A)	Employed (part-time)	1835
Strathfield (A)		488
Strathfield (A)	Employed (away from work)	560
Strathfield (A)	Employed (full-time)	14795
Strathfield (A)	Employed (part-time)	5962
Sutherland Shire (A)		1106
Sutherland Shire (A)	Employed (away from work)	1912
Sutherland Shire (A)	Employed (full-time)	35928
Sutherland Shire (A)	Employed (part-time)	27480
Sydney (C)		8301
Sydney (C)	Employed (away from work)	14464
Sydney (C)	Employed (full-time)	374474
Sydney (C)	Employed (part-time)	101183
Tamworth Regional (A)		515
Tamworth Regional (A)	Employed (away from work)	903
Tamworth Regional (A)	Employed (full-time)	15822
Tamworth Regional (A)	Employed (part-time)	7872
Temora (A)		70
Temora (A)	Employed (away from work)	86
Temora (A)	Employed (full-time)	1385
Temora (A)	Employed (part-time)	789
Tenterfield (A)		63
Tenterfield (A)	Employed (away from work)	88
Tenterfield (A)	Employed (full-time)	1225
Tenterfield (A)	Employed (part-time)	761
The Hills Shire (A)		1115
The Hills Shire (A)	Employed (away from work)	1649
The Hills Shire (A)	Employed (full-time)	38604
The Hills Shire (A)	Employed (part-time)	22508
Tweed (A)		614
Tweed (A)	Employed (away from work)	940
Tweed (A)	Employed (full-time)	14489
Tweed (A)	Employed (part-time)	12119
Upper Hunter Shire (A)		111
Upper Hunter Shire (A)	Employed (away from work)	176
Upper Hunter Shire (A)	Employed (full-time)	3011
Upper Hunter Shire (A)	Employed (part-time)	1742
Upper Lachlan Shire (A)		47
Upper Lachlan Shire (A)	Employed (away from work)	62
Upper Lachlan Shire (A)	Employed (full-time)	1472
Upper Lachlan Shire (A)	Employed (part-time)	901
Uralla (A)		31
Uralla (A)	Employed (away from work)	49
Uralla (A)	Employed (full-time)	805
Uralla (A)	Employed (part-time)	470
Wagga Wagga (C)		572
Wagga Wagga (C)	Employed (away from work)	1060
Wagga Wagga (C)	Employed (full-time)	19701
Wagga Wagga (C)	Employed (part-time)	9264
Walcha (A)		22
Walcha (A)	Employed (away from work)	45
Walcha (A)	Employed (full-time)	871
Walcha (A)	Employed (part-time)	419
Walgett (A)		69
Walgett (A)	Employed (away from work)	74
Walgett (A)	Employed (full-time)	1313
Walgett (A)	Employed (part-time)	605
Warren (A)		24
Warren (A)	Employed (away from work)	38
Warren (A)	Employed (full-time)	781
Warren (A)	Employed (part-time)	251
Warrumbungle Shire (A)		81
Warrumbungle Shire (A)	Employed (away from work)	104
Warrumbungle Shire (A)	Employed (full-time)	1797
Warrumbungle Shire (A)	Employed (part-time)	1042
Waverley (A)		461
Waverley (A)	Employed (away from work)	618
Waverley (A)	Employed (full-time)	13313
Waverley (A)	Employed (part-time)	9953
Weddin (A)		35
Weddin (A)	Employed (away from work)	35
Weddin (A)	Employed (full-time)	786
Weddin (A)	Employed (part-time)	380
Wentworth (A)		74
Wentworth (A)	Employed (away from work)	108
Wentworth (A)	Employed (full-time)	1823
Wentworth (A)	Employed (part-time)	739
Western Plains Regional (A)		427
Western Plains Regional (A)	Employed (away from work)	763
Western Plains Regional (A)	Employed (full-time)	14220
Western Plains Regional (A)	Employed (part-time)	6298
Willoughby (C)		976
Willoughby (C)	Employed (away from work)	1642
Willoughby (C)	Employed (full-time)	39728
Willoughby (C)	Employed (part-time)	17098
Wingecarribee (A)		294
Wingecarribee (A)	Employed (away from work)	528
Wingecarribee (A)	Employed (full-time)	9894
Wingecarribee (A)	Employed (part-time)	7197
Wollondilly (A)		240
Wollondilly (A)	Employed (away from work)	365
Wollondilly (A)	Employed (full-time)	7076
Wollondilly (A)	Employed (part-time)	3447
Wollongong (C)		1310
Wollongong (C)	Employed (away from work)	2885
Wollongong (C)	Employed (full-time)	45745
Wollongong (C)	Employed (part-time)	29280
Woollahra (A)		335
Woollahra (A)	Employed (away from work)	488
Woollahra (A)	Employed (full-time)	11503
Woollahra (A)	Employed (part-time)	7644
Yass Valley (A)		81
Yass Valley (A)	Employed (away from work)	139
Yass Valley (A)	Employed (full-time)	2073
Yass Valley (A)	Employed (part-time)	1500
Unincorporated NSW		20
Unincorporated NSW	Employed (away from work)	39
Unincorporated NSW	Employed (full-time)	392
Unincorporated NSW	Employed (part-time)	122
No usual address (NSW)		3799
No usual address (NSW)	Employed (away from work)	6077
No usual address (NSW)	Employed (full-time)	81623
No usual address (NSW)	Employed (part-time)	51874
Migratory - Offshore - Shipping (NSW)	Employed (away from work)	9
Migratory - Offshore - Shipping (NSW)	Employed (full-time)	52
Migratory - Offshore - Shipping (NSW)	Employed (part-time)	18
Alpine (S)		110
Alpine (S)	Employed (away from work)	203
Alpine (S)	Employed (full-time)	2480
Alpine (S)	Employed (part-time)	1823
Ararat (RC)		96
Ararat (RC)	Employed (away from work)	230
Ararat (RC)	Employed (full-time)	2907
Ararat (RC)	Employed (part-time)	1640
Ballarat (C)		834
Ballarat (C)	Employed (away from work)	1847
Ballarat (C)	Employed (full-time)	25587
Ballarat (C)	Employed (part-time)	17522
Banyule (C)		687
Banyule (C)	Employed (away from work)	1451
Banyule (C)	Employed (full-time)	21501
Banyule (C)	Employed (part-time)	16712
Bass Coast (S)		213
Bass Coast (S)	Employed (away from work)	591
Bass Coast (S)	Employed (full-time)	4864
Bass Coast (S)	Employed (part-time)	4594
Baw Baw (S)		344
Baw Baw (S)	Employed (away from work)	620
Baw Baw (S)	Employed (full-time)	8441
Baw Baw (S)	Employed (part-time)	6374
Bayside (C)		487
Bayside (C)	Employed (away from work)	826
Bayside (C)	Employed (full-time)	15388
Bayside (C)	Employed (part-time)	12839
Benalla (RC)		112
Benalla (RC)	Employed (away from work)	234
Benalla (RC)	Employed (full-time)	2885
Benalla (RC)	Employed (part-time)	1846
Boroondara (C)		1192
Boroondara (C)	Employed (away from work)	2057
Boroondara (C)	Employed (full-time)	41477
Boroondara (C)	Employed (part-time)	26658
Brimbank (C)		1660
Brimbank (C)	Employed (away from work)	1792
Brimbank (C)	Employed (full-time)	42128
Brimbank (C)	Employed (part-time)	20914
Buloke (S)		53
Buloke (S)	Employed (away from work)	112
Buloke (S)	Employed (full-time)	1419
Buloke (S)	Employed (part-time)	852
Campaspe (S)		347
Campaspe (S)	Employed (away from work)	653
Campaspe (S)	Employed (full-time)	8950
Campaspe (S)	Employed (part-time)	5337
Cardinia (S)		508
Cardinia (S)	Employed (away from work)	697
Cardinia (S)	Employed (full-time)	12666
Cardinia (S)	Employed (part-time)	9277
Casey (C)		1311
Casey (C)	Employed (away from work)	1950
Casey (C)	Employed (full-time)	34730
Casey (C)	Employed (part-time)	26254
Central Goldfields (S)		91
Central Goldfields (S)	Employed (away from work)	170
Central Goldfields (S)	Employed (full-time)	2107
Central Goldfields (S)	Employed (part-time)	1749
Colac-Otway (S)		191
Colac-Otway (S)	Employed (away from work)	429
Colac-Otway (S)	Employed (full-time)	5192
Colac-Otway (S)	Employed (part-time)	3576
Corangamite (S)		180
Corangamite (S)	Employed (away from work)	314
Corangamite (S)	Employed (full-time)	4254
Corangamite (S)	Employed (part-time)	2333
Darebin (C)		1018
Darebin (C)	Employed (away from work)	1412
Darebin (C)	Employed (full-time)	27035
Darebin (C)	Employed (part-time)	18217
East Gippsland (S)		366
East Gippsland (S)	Employed (away from work)	803
East Gippsland (S)	Employed (full-time)	8153
East Gippsland (S)	Employed (part-time)	6366
Frankston (C)		813
Frankston (C)	Employed (away from work)	1472
Frankston (C)	Employed (full-time)	23442
Frankston (C)	Employed (part-time)	17193
Gannawarra (S)		91
Gannawarra (S)	Employed (away from work)	167
Gannawarra (S)	Employed (full-time)	2318
Gannawarra (S)	Employed (part-time)	1369
Glen Eira (C)		608
Glen Eira (C)	Employed (away from work)	1042
Glen Eira (C)	Employed (full-time)	19451
Glen Eira (C)	Employed (part-time)	16077
Glenelg (S)		200
Glenelg (S)	Employed (away from work)	369
Glenelg (S)	Employed (full-time)	4340
Glenelg (S)	Employed (part-time)	2851
Golden Plains (S)		80
Golden Plains (S)	Employed (away from work)	135
Golden Plains (S)	Employed (full-time)	1795
Golden Plains (S)	Employed (part-time)	1311
Greater Bendigo (C)		756
Greater Bendigo (C)	Employed (away from work)	1900
Greater Bendigo (C)	Employed (full-time)	25299
Greater Bendigo (C)	Employed (part-time)	17098
Greater Dandenong (C)		2047
Greater Dandenong (C)	Employed (away from work)	2433
Greater Dandenong (C)	Employed (full-time)	67751
Greater Dandenong (C)	Employed (part-time)	24465
Greater Geelong (C)		1652
Greater Geelong (C)	Employed (away from work)	3608
Greater Geelong (C)	Employed (full-time)	52841
Greater Geelong (C)	Employed (part-time)	36958
Greater Shepparton (C)		633
Greater Shepparton (C)	Employed (away from work)	1198
Greater Shepparton (C)	Employed (full-time)	16917
Greater Shepparton (C)	Employed (part-time)	9280
Hepburn (S)		113
Hepburn (S)	Employed (away from work)	230
Hepburn (S)	Employed (full-time)	2130
Hepburn (S)	Employed (part-time)	2185
Hindmarsh (S)		52
Hindmarsh (S)	Employed (away from work)	88
Hindmarsh (S)	Employed (full-time)	1307
Hindmarsh (S)	Employed (part-time)	725
Hobsons Bay (C)		719
Hobsons Bay (C)	Employed (away from work)	962
Hobsons Bay (C)	Employed (full-time)	23374
Hobsons Bay (C)	Employed (part-time)	9934
Horsham (RC)		184
Horsham (RC)	Employed (away from work)	382
Horsham (RC)	Employed (full-time)	5084
Horsham (RC)	Employed (part-time)	3226
Hume (C)		2031
Hume (C)	Employed (away from work)	2711
Hume (C)	Employed (full-time)	58666
Hume (C)	Employed (part-time)	26083
Indigo (S)		100
Indigo (S)	Employed (away from work)	229
Indigo (S)	Employed (full-time)	2676
Indigo (S)	Employed (part-time)	1817
Kingston (C) (Vic.)		1328
Kingston (C) (Vic.)	Employed (away from work)	1888
Kingston (C) (Vic.)	Employed (full-time)	46702
Kingston (C) (Vic.)	Employed (part-time)	23909
Knox (C)		1082
Knox (C)	Employed (away from work)	1887
Knox (C)	Employed (full-time)	39108
Knox (C)	Employed (part-time)	22130
Latrobe (C) (Vic.)		598
Latrobe (C) (Vic.)	Employed (away from work)	1402
Latrobe (C) (Vic.)	Employed (full-time)	17560
Latrobe (C) (Vic.)	Employed (part-time)	11048
Loddon (S)		89
Loddon (S)	Employed (away from work)	112
Loddon (S)	Employed (full-time)	1608
Loddon (S)	Employed (part-time)	844
Macedon Ranges (S)		230
Macedon Ranges (S)	Employed (away from work)	505
Macedon Ranges (S)	Employed (full-time)	6271
Macedon Ranges (S)	Employed (part-time)	5664
Manningham (C)		517
Manningham (C)	Employed (away from work)	850
Manningham (C)	Employed (full-time)	13702
Manningham (C)	Employed (part-time)	13857
Mansfield (S)		67
Mansfield (S)	Employed (away from work)	124
Mansfield (S)	Employed (full-time)	1733
Mansfield (S)	Employed (part-time)	1298
Maribyrnong (C)		804
Maribyrnong (C)	Employed (away from work)	1131
Maribyrnong (C)	Employed (full-time)	21410
Maribyrnong (C)	Employed (part-time)	13923
Maroondah (C)		693
Maroondah (C)	Employed (away from work)	1228
Maroondah (C)	Employed (full-time)	23760
Maroondah (C)	Employed (part-time)	16583
Melbourne (C)		7217
Melbourne (C)	Employed (away from work)	14588
Melbourne (C)	Employed (full-time)	317759
Melbourne (C)	Employed (part-time)	97191
Melton (C)		541
Melton (C)	Employed (away from work)	760
Melton (C)	Employed (full-time)	13901
Melton (C)	Employed (part-time)	9483
Mildura (RC)		494
Mildura (RC)	Employed (away from work)	798
Mildura (RC)	Employed (full-time)	12707
Mildura (RC)	Employed (part-time)	7352
Mitchell (S)		251
Mitchell (S)	Employed (away from work)	455
Mitchell (S)	Employed (full-time)	6044
Mitchell (S)	Employed (part-time)	4112
Moira (S)		263
Moira (S)	Employed (away from work)	537
Moira (S)	Employed (full-time)	6196
Moira (S)	Employed (part-time)	3536
Monash (C)		1897
Monash (C)	Employed (away from work)	3041
Monash (C)	Employed (full-time)	68242
Monash (C)	Employed (part-time)	32602
Moonee Valley (C)		698
Moonee Valley (C)	Employed (away from work)	1078
Moonee Valley (C)	Employed (full-time)	20006
Moonee Valley (C)	Employed (part-time)	14252
Moorabool (S)		167
Moorabool (S)	Employed (away from work)	255
Moorabool (S)	Employed (full-time)	3936
Moorabool (S)	Employed (part-time)	3144
Moreland (C)		886
Moreland (C)	Employed (away from work)	1081
Moreland (C)	Employed (full-time)	21346
Moreland (C)	Employed (part-time)	15493
