LGA_NAME16	IncomeTotPersonal.max	PublicSector	LevelOfGovt	workers
Ballina (A)	7875			10
Ballina (A)	7875	0		654
Ballina (A)	7875	1	Local	3
Ballina (A)	7875	1	National	3
Ballina (A)	7875	1	State territory	11
Ballina (A)	15750			11
Ballina (A)	15750	0		550
Ballina (A)	15750	1	National	7
Ballina (A)	15750	1	State territory	16
Ballina (A)	21000			29
Ballina (A)	21000	0		767
Ballina (A)	21000	1	Local	4
Ballina (A)	21000	1	National	3
Ballina (A)	21000	1	State territory	25
Ballina (A)	26250			16
Ballina (A)	26250	0		1063
Ballina (A)	26250	1	Local	9
Ballina (A)	26250	1	National	5
Ballina (A)	26250	1	State territory	43
Ballina (A)	34125			24
Ballina (A)	34125	0		1652
Ballina (A)	34125	1	Local	25
Ballina (A)	34125	1	National	3
Ballina (A)	34125	1	State territory	74
Ballina (A)	42000			26
Ballina (A)	42000	0		1939
Ballina (A)	42000	1	Local	35
Ballina (A)	42000	1	National	15
Ballina (A)	42000	1	State territory	133
Ballina (A)	52500			12
Ballina (A)	52500	0		1839
Ballina (A)	52500	1	Local	58
Ballina (A)	52500	1	National	16
Ballina (A)	52500	1	State territory	170
Ballina (A)	65625			7
Ballina (A)	65625	0		1468
Ballina (A)	65625	1	Local	74
Ballina (A)	65625	1	National	23
Ballina (A)	65625	1	State territory	165
Ballina (A)	78750			3
Ballina (A)	78750	0		814
Ballina (A)	78750	1	Local	45
Ballina (A)	78750	1	National	23
Ballina (A)	78750	1	State territory	134
Ballina (A)	91875	0		632
Ballina (A)	91875	1	Local	35
Ballina (A)	91875	1	National	13
Ballina (A)	91875	1	State territory	154
Ballina (A)	105000	0		435
Ballina (A)	105000	1	Local	24
Ballina (A)	105000	1	National	13
Ballina (A)	105000	1	State territory	184
Ballina (A)	157500	0		476
Ballina (A)	157500	1	Local	26
Ballina (A)	157500	1	National	12
Ballina (A)	157500	1	State territory	182
Ballina (A)	Inf			3
Ballina (A)	Inf	0		340
Ballina (A)	Inf	1	Local	7
Ballina (A)	Inf	1	State territory	17
Balranald (A)				3
Balranald (A)		0		17
Balranald (A)	0	0		17
Balranald (A)	7875	0		8
Balranald (A)	15750	0		36
Balranald (A)	15750	1	State territory	3
Balranald (A)	21000	0		45
Balranald (A)	26250	0		52
Balranald (A)	26250	1	Local	3
Balranald (A)	26250	1	State territory	4
Balranald (A)	34125			3
Balranald (A)	34125	0		85
Balranald (A)	34125	1	State territory	4
Balranald (A)	42000	0		96
Balranald (A)	42000	1	Local	6
Balranald (A)	42000	1	State territory	9
Balranald (A)	52500			9
Balranald (A)	52500	0		102
Balranald (A)	52500	1	Local	11
Balranald (A)	52500	1	State territory	8
Balranald (A)	65625	0		75
Balranald (A)	65625	1	Local	14
Balranald (A)	65625	1	State territory	13
Balranald (A)	78750	0		42
Balranald (A)	78750	1	Local	6
Balranald (A)	78750	1	State territory	13
Balranald (A)	91875	0		24
Balranald (A)	91875	1	Local	8
Balranald (A)	91875	1	State territory	6
Balranald (A)	105000	0		10
Balranald (A)	105000	1	Local	3
Balranald (A)	105000	1	State territory	10
Balranald (A)	157500	0		22
Balranald (A)	157500	1	State territory	4
Balranald (A)	Inf	0		16
Bathurst Regional (A)				41
Bathurst Regional (A)		0		213
Bathurst Regional (A)		1	National	12
Bathurst Regional (A)		1	State territory	11
Bathurst Regional (A)	0			13
Bathurst Regional (A)	0	0		123
Bathurst Regional (A)	0	1	National	5
Bathurst Regional (A)	7875			20
Bathurst Regional (A)	7875	0		659
Bathurst Regional (A)	7875	1	National	14
Bathurst Regional (A)	7875	1	State territory	11
Bathurst Regional (A)	15750			17
Bathurst Regional (A)	15750	0		710
Bathurst Regional (A)	15750	1	National	26
Bathurst Regional (A)	15750	1	State territory	19
Bathurst Regional (A)	21000			12
Bathurst Regional (A)	21000	0		773
Bathurst Regional (A)	21000	1	Local	6
Bathurst Regional (A)	21000	1	National	12
Bathurst Regional (A)	21000	1	State territory	21
Bathurst Regional (A)	26250			16
Bathurst Regional (A)	26250	0		960
Bathurst Regional (A)	26250	1	Local	6
Bathurst Regional (A)	26250	1	National	27
Bathurst Regional (A)	26250	1	State territory	42
Bathurst Regional (A)	34125			15
Bathurst Regional (A)	34125	0		1530
Bathurst Regional (A)	34125	1	Local	17
Bathurst Regional (A)	34125	1	National	50
Bathurst Regional (A)	34125	1	State territory	76
Bathurst Regional (A)	42000			24
Bathurst Regional (A)	42000	0		1815
Bathurst Regional (A)	42000	1	Local	30
Bathurst Regional (A)	42000	1	National	41
Bathurst Regional (A)	42000	1	State territory	127
Bathurst Regional (A)	52500			18
Bathurst Regional (A)	52500	0		1968
Bathurst Regional (A)	52500	1	Local	90
Bathurst Regional (A)	52500	1	National	77
Bathurst Regional (A)	52500	1	State territory	197
Bathurst Regional (A)	65625			5
Bathurst Regional (A)	65625	0		1701
Bathurst Regional (A)	65625	1	Local	80
Bathurst Regional (A)	65625	1	National	133
Bathurst Regional (A)	65625	1	State territory	270
Bathurst Regional (A)	78750			6
Bathurst Regional (A)	78750	0		1012
Bathurst Regional (A)	78750	1	Local	78
Bathurst Regional (A)	78750	1	National	122
Bathurst Regional (A)	78750	1	State territory	289
Bathurst Regional (A)	91875	0		865
Bathurst Regional (A)	91875	1	Local	62
Bathurst Regional (A)	91875	1	National	110
Bathurst Regional (A)	91875	1	State territory	331
Bathurst Regional (A)	105000			5
Bathurst Regional (A)	105000	0		580
Bathurst Regional (A)	105000	1	Local	36
Bathurst Regional (A)	105000	1	National	88
Bathurst Regional (A)	105000	1	State territory	324
Bathurst Regional (A)	157500			6
Bathurst Regional (A)	157500	0		659
Bathurst Regional (A)	157500	1	Local	29
Bathurst Regional (A)	157500	1	National	131
Bathurst Regional (A)	157500	1	State territory	310
Bathurst Regional (A)	Inf			4
Bathurst Regional (A)	Inf	0		289
Bathurst Regional (A)	Inf	1	Local	13
Bathurst Regional (A)	Inf	1	National	40
Bathurst Regional (A)	Inf	1	State territory	52
Bega Valley (A)				16
Bega Valley (A)		0		170
Bega Valley (A)		1	State territory	7
Bega Valley (A)	0			5
Bega Valley (A)	0	0		99
Bega Valley (A)	7875			10
Bega Valley (A)	7875	0		500
Bega Valley (A)	7875	1	Local	3
Bega Valley (A)	7875	1	National	3
Bega Valley (A)	7875	1	State territory	6
Bega Valley (A)	15750			8
Bega Valley (A)	15750	0		584
Bega Valley (A)	15750	1	Local	3
Bega Valley (A)	15750	1	National	6
Bega Valley (A)	15750	1	State territory	14
Bega Valley (A)	21000			14
Bega Valley (A)	21000	0		656
Bega Valley (A)	21000	1	Local	3
Bega Valley (A)	21000	1	National	3
Bega Valley (A)	21000	1	State territory	16
Bega Valley (A)	26250			19
Bega Valley (A)	26250	0		892
Bega Valley (A)	26250	1	Local	7
Bega Valley (A)	26250	1	National	8
Bega Valley (A)	26250	1	State territory	20
Bega Valley (A)	34125			16
Bega Valley (A)	34125	0		1306
Bega Valley (A)	34125	1	Local	21
Bega Valley (A)	34125	1	National	10
Bega Valley (A)	34125	1	State territory	70
Bega Valley (A)	42000			7
Bega Valley (A)	42000	0		1456
Bega Valley (A)	42000	1	Local	26
Bega Valley (A)	42000	1	National	6
Bega Valley (A)	42000	1	State territory	93
Bega Valley (A)	52500			18
Bega Valley (A)	52500	0		1461
Bega Valley (A)	52500	1	Local	56
Bega Valley (A)	52500	1	National	8
Bega Valley (A)	52500	1	State territory	130
Bega Valley (A)	65625			5
Bega Valley (A)	65625	0		1238
Bega Valley (A)	65625	1	Local	77
Bega Valley (A)	65625	1	National	17
Bega Valley (A)	65625	1	State territory	146
Bega Valley (A)	78750			5
Bega Valley (A)	78750	0		705
Bega Valley (A)	78750	1	Local	58
Bega Valley (A)	78750	1	National	29
Bega Valley (A)	78750	1	State territory	114
Bega Valley (A)	91875			3
Bega Valley (A)	91875	0		474
Bega Valley (A)	91875	1	Local	48
Bega Valley (A)	91875	1	National	26
Bega Valley (A)	91875	1	State territory	108
Bega Valley (A)	105000			3
Bega Valley (A)	105000	0		302
Bega Valley (A)	105000	1	Local	25
Bega Valley (A)	105000	1	National	10
Bega Valley (A)	105000	1	State territory	136
Bega Valley (A)	157500	0		288
Bega Valley (A)	157500	1	Local	24
Bega Valley (A)	157500	1	National	11
Bega Valley (A)	157500	1	State territory	119
Bega Valley (A)	Inf	0		168
Bega Valley (A)	Inf	1	Local	7
Bega Valley (A)	Inf	1	National	3
Bega Valley (A)	Inf	1	State territory	16
Bellingen (A)				6
Bellingen (A)		0		56
Bellingen (A)		1	Local	3
Bellingen (A)		1	State territory	3
Bellingen (A)	0	0		47
Bellingen (A)	7875	0		149
Bellingen (A)	7875	1	National	3
Bellingen (A)	7875	1	State territory	5
Bellingen (A)	15750			3
Bellingen (A)	15750	0		192
Bellingen (A)	15750	1	National	3
Bellingen (A)	15750	1	State territory	8
Bellingen (A)	21000			3
Bellingen (A)	21000	0		225
Bellingen (A)	21000	1	State territory	5
Bellingen (A)	26250			12
Bellingen (A)	26250	0		274
Bellingen (A)	26250	1	Local	3
Bellingen (A)	26250	1	National	3
Bellingen (A)	26250	1	State territory	23
Bellingen (A)	34125			3
Bellingen (A)	34125	0		422
Bellingen (A)	34125	1	Local	8
Bellingen (A)	34125	1	National	6
Bellingen (A)	34125	1	State territory	19
Bellingen (A)	42000			5
Bellingen (A)	42000	0		452
Bellingen (A)	42000	1	Local	3
Bellingen (A)	42000	1	National	3
Bellingen (A)	42000	1	State territory	31
Bellingen (A)	52500			3
Bellingen (A)	52500	0		382
Bellingen (A)	52500	1	Local	33
Bellingen (A)	52500	1	National	3
Bellingen (A)	52500	1	State territory	51
Bellingen (A)	65625	0		287
Bellingen (A)	65625	1	Local	38
Bellingen (A)	65625	1	State territory	47
Bellingen (A)	78750	0		189
Bellingen (A)	78750	1	Local	19
Bellingen (A)	78750	1	National	3
Bellingen (A)	78750	1	State territory	52
Bellingen (A)	91875	0		116
Bellingen (A)	91875	1	Local	11
Bellingen (A)	91875	1	State territory	41
Bellingen (A)	105000	0		79
Bellingen (A)	105000	1	Local	3
Bellingen (A)	105000	1	State territory	46
Bellingen (A)	157500	0		106
Bellingen (A)	157500	1	Local	3
Bellingen (A)	157500	1	State territory	38
Bellingen (A)	Inf	0		63
Bellingen (A)	Inf	1	Local	3
Bellingen (A)	Inf	1	State territory	3
Berrigan (A)				8
Berrigan (A)		0		42
Berrigan (A)		1	State territory	7
Berrigan (A)	0			8
Berrigan (A)	0	0		45
Berrigan (A)	7875	0		90
Berrigan (A)	15750			3
Berrigan (A)	15750	0		118
Berrigan (A)	15750	1	State territory	3
Berrigan (A)	21000	0		165
Berrigan (A)	21000	1	State territory	10
Berrigan (A)	26250			3
Berrigan (A)	26250	0		201
Berrigan (A)	26250	1	State territory	9
Berrigan (A)	34125			13
Berrigan (A)	34125	0		325
Berrigan (A)	34125	1	State territory	14
Berrigan (A)	42000			3
Berrigan (A)	42000	0		329
Berrigan (A)	42000	1	Local	8
Berrigan (A)	42000	1	National	3
Berrigan (A)	42000	1	State territory	22
Berrigan (A)	52500	0		340
Berrigan (A)	52500	1	Local	22
Berrigan (A)	52500	1	State territory	23
Berrigan (A)	65625	0		279
Berrigan (A)	65625	1	Local	11
Berrigan (A)	65625	1	National	4
Berrigan (A)	65625	1	State territory	29
Berrigan (A)	78750	0		157
Berrigan (A)	78750	1	Local	13
Berrigan (A)	78750	1	State territory	23
Berrigan (A)	91875	0		117
Berrigan (A)	91875	1	Local	8
Berrigan (A)	91875	1	State territory	21
Berrigan (A)	105000	0		50
Berrigan (A)	105000	1	Local	3
Berrigan (A)	105000	1	State territory	26
Berrigan (A)	157500	0		68
Berrigan (A)	157500	1	Local	6
Berrigan (A)	157500	1	State territory	24
Berrigan (A)	Inf	0		49
Blacktown (C)				348
Blacktown (C)		0		1259
Blacktown (C)		1	Local	13
Blacktown (C)		1	National	19
Blacktown (C)		1	State territory	82
Blacktown (C)	0			75
Blacktown (C)	0	0		642
Blacktown (C)	0	1	National	4
Blacktown (C)	0	1	State territory	17
Blacktown (C)	7875			55
Blacktown (C)	7875	0		3349
Blacktown (C)	7875	1	Local	13
Blacktown (C)	7875	1	National	6
Blacktown (C)	7875	1	State territory	38
Blacktown (C)	15750			93
Blacktown (C)	15750	0		3777
Blacktown (C)	15750	1	Local	22
Blacktown (C)	15750	1	National	14
Blacktown (C)	15750	1	State territory	101
Blacktown (C)	21000			92
Blacktown (C)	21000	0		3854
Blacktown (C)	21000	1	Local	31
Blacktown (C)	21000	1	National	6
Blacktown (C)	21000	1	State territory	127
Blacktown (C)	26250			116
Blacktown (C)	26250	0		4653
Blacktown (C)	26250	1	Local	48
Blacktown (C)	26250	1	National	28
Blacktown (C)	26250	1	State territory	152
Blacktown (C)	34125			150
Blacktown (C)	34125	0		7356
Blacktown (C)	34125	1	Local	108
Blacktown (C)	34125	1	National	53
Blacktown (C)	34125	1	State territory	328
Blacktown (C)	42000			188
Blacktown (C)	42000	0		10754
Blacktown (C)	42000	1	Local	122
Blacktown (C)	42000	1	National	82
Blacktown (C)	42000	1	State territory	596
Blacktown (C)	52500			199
Blacktown (C)	52500	0		13574
Blacktown (C)	52500	1	Local	232
Blacktown (C)	52500	1	National	145
Blacktown (C)	52500	1	State territory	985
Blacktown (C)	65625			165
Blacktown (C)	65625	0		13793
Blacktown (C)	65625	1	Local	300
Blacktown (C)	65625	1	National	197
Blacktown (C)	65625	1	State territory	1431
Blacktown (C)	78750			77
Blacktown (C)	78750	0		8962
Blacktown (C)	78750	1	Local	182
Blacktown (C)	78750	1	National	200
Blacktown (C)	78750	1	State territory	1385
Blacktown (C)	91875			46
Blacktown (C)	91875	0		6949
Blacktown (C)	91875	1	Local	143
Blacktown (C)	91875	1	National	113
Blacktown (C)	91875	1	State territory	1313
Blacktown (C)	105000			28
Blacktown (C)	105000	0		4376
Blacktown (C)	105000	1	Local	83
Blacktown (C)	105000	1	National	48
Blacktown (C)	105000	1	State territory	1445
Blacktown (C)	157500			34
Blacktown (C)	157500	0		5667
Blacktown (C)	157500	1	Local	72
Blacktown (C)	157500	1	National	78
Blacktown (C)	157500	1	State territory	1331
Blacktown (C)	Inf			25
Blacktown (C)	Inf	0		2720
Blacktown (C)	Inf	1	Local	18
Blacktown (C)	Inf	1	National	18
Blacktown (C)	Inf	1	State territory	251
Bland (A)				8
Bland (A)		0		54
Bland (A)	0			5
Bland (A)	0	0		52
Bland (A)	7875			3
Bland (A)	7875	0		81
Bland (A)	15750			3
Bland (A)	15750	0		101
Bland (A)	15750	1	National	3
Bland (A)	15750	1	State territory	3
Bland (A)	21000			6
Bland (A)	21000	0		120
Bland (A)	21000	1	State territory	3
Bland (A)	26250			9
Bland (A)	26250	0		174
Bland (A)	26250	1	Local	5
Bland (A)	26250	1	State territory	7
Bland (A)	34125			3
Bland (A)	34125	0		264
Bland (A)	34125	1	Local	9
Bland (A)	34125	1	State territory	23
Bland (A)	42000	0		225
Bland (A)	42000	1	Local	3
Bland (A)	42000	1	State territory	19
Bland (A)	52500	0		266
Bland (A)	52500	1	Local	21
Bland (A)	52500	1	State territory	24
Bland (A)	65625	0		248
Bland (A)	65625	1	Local	27
Bland (A)	65625	1	State territory	20
Bland (A)	78750			3
Bland (A)	78750	0		167
Bland (A)	78750	1	Local	14
Bland (A)	78750	1	State territory	20
Bland (A)	91875	0		169
Bland (A)	91875	1	Local	8
Bland (A)	91875	1	State territory	17
Bland (A)	105000	0		86
Bland (A)	105000	1	Local	3
Bland (A)	105000	1	State territory	15
Bland (A)	157500	0		158
Bland (A)	157500	1	Local	8
Bland (A)	157500	1	State territory	22
Bland (A)	Inf	0		100
Blayney (A)				13
Blayney (A)		0		34
Blayney (A)	0	0		37
Blayney (A)	7875			4
Blayney (A)	7875	0		112
Blayney (A)	15750	0		103
Blayney (A)	15750	1	National	4
Blayney (A)	15750	1	State territory	6
Blayney (A)	21000			5
Blayney (A)	21000	0		109
Blayney (A)	21000	1	Local	3
Blayney (A)	21000	1	State territory	4
Blayney (A)	26250			7
Blayney (A)	26250	0		109
Blayney (A)	26250	1	State territory	7
Blayney (A)	34125			3
Blayney (A)	34125	0		176
Blayney (A)	34125	1	Local	7
Blayney (A)	34125	1	State territory	12
Blayney (A)	42000	0		251
Blayney (A)	42000	1	Local	10
Blayney (A)	42000	1	State territory	25
Blayney (A)	52500			3
Blayney (A)	52500	0		248
Blayney (A)	52500	1	Local	26
Blayney (A)	52500	1	State territory	21
Blayney (A)	65625			3
Blayney (A)	65625	0		250
Blayney (A)	65625	1	Local	24
Blayney (A)	65625	1	State territory	26
Blayney (A)	78750	0		226
Blayney (A)	78750	1	Local	9
Blayney (A)	78750	1	State territory	21
Blayney (A)	91875	0		236
Blayney (A)	91875	1	Local	5
Blayney (A)	91875	1	State territory	17
Blayney (A)	105000	0		224
Blayney (A)	105000	1	Local	3
Blayney (A)	105000	1	State territory	26
Blayney (A)	157500	0		340
Blayney (A)	157500	1	Local	3
Blayney (A)	157500	1	State territory	23
Blayney (A)	Inf	0		128
Blayney (A)	Inf	1	State territory	4
Blue Mountains (C)				31
Blue Mountains (C)		0		238
Blue Mountains (C)		1	Local	4
Blue Mountains (C)		1	State territory	19
Blue Mountains (C)	0			6
Blue Mountains (C)	0	0		142
Blue Mountains (C)	0	1	State territory	3
Blue Mountains (C)	7875			9
Blue Mountains (C)	7875	0		963
Blue Mountains (C)	7875	1	Local	28
Blue Mountains (C)	7875	1	National	4
Blue Mountains (C)	7875	1	State territory	13
Blue Mountains (C)	15750			13
Blue Mountains (C)	15750	0		1080
Blue Mountains (C)	15750	1	Local	17
Blue Mountains (C)	15750	1	National	9
Blue Mountains (C)	15750	1	State territory	17
Blue Mountains (C)	21000			18
Blue Mountains (C)	21000	0		1109
Blue Mountains (C)	21000	1	Local	16
Blue Mountains (C)	21000	1	National	7
Blue Mountains (C)	21000	1	State territory	48
Blue Mountains (C)	26250			6
Blue Mountains (C)	26250	0		1363
Blue Mountains (C)	26250	1	Local	22
Blue Mountains (C)	26250	1	National	9
Blue Mountains (C)	26250	1	State territory	41
Blue Mountains (C)	34125			21
Blue Mountains (C)	34125	0		1944
Blue Mountains (C)	34125	1	Local	34
Blue Mountains (C)	34125	1	National	25
Blue Mountains (C)	34125	1	State territory	88
Blue Mountains (C)	42000			12
Blue Mountains (C)	42000	0		2002
Blue Mountains (C)	42000	1	Local	66
Blue Mountains (C)	42000	1	National	19
Blue Mountains (C)	42000	1	State territory	135
Blue Mountains (C)	52500			19
Blue Mountains (C)	52500	0		1940
Blue Mountains (C)	52500	1	Local	77
Blue Mountains (C)	52500	1	National	38
Blue Mountains (C)	52500	1	State territory	194
Blue Mountains (C)	65625			11
Blue Mountains (C)	65625	0		1661
Blue Mountains (C)	65625	1	Local	106
Blue Mountains (C)	65625	1	National	44
Blue Mountains (C)	65625	1	State territory	239
Blue Mountains (C)	78750			4
Blue Mountains (C)	78750	0		941
Blue Mountains (C)	78750	1	Local	79
Blue Mountains (C)	78750	1	National	79
Blue Mountains (C)	78750	1	State territory	206
Blue Mountains (C)	91875			5
Blue Mountains (C)	91875	0		718
Blue Mountains (C)	91875	1	Local	52
Blue Mountains (C)	91875	1	National	52
Blue Mountains (C)	91875	1	State territory	263
Blue Mountains (C)	105000			4
Blue Mountains (C)	105000	0		454
Blue Mountains (C)	105000	1	Local	39
Blue Mountains (C)	105000	1	National	45
Blue Mountains (C)	105000	1	State territory	294
Blue Mountains (C)	157500	0		598
Blue Mountains (C)	157500	1	Local	28
Blue Mountains (C)	157500	1	National	60
Blue Mountains (C)	157500	1	State territory	241
Blue Mountains (C)	Inf			10
Blue Mountains (C)	Inf	0		283
Blue Mountains (C)	Inf	1	Local	13
Blue Mountains (C)	Inf	1	National	34
Blue Mountains (C)	Inf	1	State territory	29
Bogan (A)				7
Bogan (A)		0		39
Bogan (A)	0	0		14
Bogan (A)	7875	0		26
Bogan (A)	15750	0		45
Bogan (A)	15750	1	Local	3
Bogan (A)	15750	1	State territory	3
Bogan (A)	21000	0		53
Bogan (A)	21000	1	State territory	3
Bogan (A)	26250	0		65
Bogan (A)	26250	1	Local	3
Bogan (A)	34125			3
Bogan (A)	34125	0		86
Bogan (A)	34125	1	Local	6
Bogan (A)	34125	1	State territory	6
Bogan (A)	42000			3
Bogan (A)	42000	0		101
Bogan (A)	42000	1	Local	10
Bogan (A)	42000	1	State territory	8
Bogan (A)	52500			3
Bogan (A)	52500	0		110
Bogan (A)	52500	1	Local	19
Bogan (A)	52500	1	State territory	14
Bogan (A)	65625	0		145
Bogan (A)	65625	1	Local	15
Bogan (A)	65625	1	State territory	18
Bogan (A)	78750	0		81
Bogan (A)	78750	1	Local	6
Bogan (A)	78750	1	State territory	11
Bogan (A)	91875	0		104
Bogan (A)	91875	1	Local	4
Bogan (A)	91875	1	State territory	15
Bogan (A)	105000	0		71
Bogan (A)	105000	1	Local	9
Bogan (A)	105000	1	State territory	9
Bogan (A)	157500	0		108
Bogan (A)	157500	1	Local	4
Bogan (A)	157500	1	State territory	5
Bogan (A)	Inf	0		52
Bogan (A)	Inf	1	State territory	3
Botany Bay (C)				113
Botany Bay (C)		0		600
Botany Bay (C)		1	Local	3
Botany Bay (C)		1	National	6
Botany Bay (C)		1	State territory	17
Botany Bay (C)	0			20
Botany Bay (C)	0	0		189
Botany Bay (C)	7875			16
Botany Bay (C)	7875	0		782
Botany Bay (C)	15750			37
Botany Bay (C)	15750	0		1002
Botany Bay (C)	15750	1	National	3
Botany Bay (C)	15750	1	State territory	9
Botany Bay (C)	21000			32
Botany Bay (C)	21000	0		1298
Botany Bay (C)	21000	1	Local	5
Botany Bay (C)	21000	1	National	3
Botany Bay (C)	21000	1	State territory	8
Botany Bay (C)	26250			36
Botany Bay (C)	26250	0		1675
Botany Bay (C)	26250	1	Local	6
Botany Bay (C)	26250	1	National	5
Botany Bay (C)	26250	1	State territory	6
Botany Bay (C)	34125			59
Botany Bay (C)	34125	0		2772
Botany Bay (C)	34125	1	Local	8
Botany Bay (C)	34125	1	National	18
Botany Bay (C)	34125	1	State territory	33
Botany Bay (C)	42000			58
Botany Bay (C)	42000	0		4137
Botany Bay (C)	42000	1	Local	29
Botany Bay (C)	42000	1	National	23
Botany Bay (C)	42000	1	State territory	29
Botany Bay (C)	52500			77
Botany Bay (C)	52500	0		5817
Botany Bay (C)	52500	1	Local	79
Botany Bay (C)	52500	1	National	32
Botany Bay (C)	52500	1	State territory	76
Botany Bay (C)	65625			63
Botany Bay (C)	65625	0		6422
Botany Bay (C)	65625	1	Local	55
Botany Bay (C)	65625	1	National	43
Botany Bay (C)	65625	1	State territory	128
Botany Bay (C)	78750			42
