STE_NAME16	HoursWorked.min	IndustryOfEmployment	Sex	workers
New South Wales	25	Manufacturing	M	6059
New South Wales	25	Mining	F	354
New South Wales	25	Mining	M	684
New South Wales	25	Other services	F	8372
New South Wales	25	Other services	M	4519
New South Wales	25	Professional scientific and technical services	F	14928
New South Wales	25	Professional scientific and technical services	M	7378
New South Wales	25	Public administration and safety	F	9851
New South Wales	25	Public administration and safety	M	4459
New South Wales	25	Rental hiring and real estate services	F	3202
New South Wales	25	Rental hiring and real estate services	M	1607
New South Wales	25	Retail trade	F	29769
New South Wales	25	Retail trade	M	13218
New South Wales	25	Transport postal and warehousing	F	5027
New South Wales	25	Transport postal and warehousing	M	9963
New South Wales	25	Wholesale trade	F	4089
New South Wales	25	Wholesale trade	M	2485
New South Wales	35		F	9134
New South Wales	35		M	16424
New South Wales	35	Accommodation and food services	F	14204
New South Wales	35	Accommodation and food services	M	15401
New South Wales	35	Administrative and support services	F	11137
New South Wales	35	Administrative and support services	M	10245
New South Wales	35	Agriculture forestry and fishing	F	2257
New South Wales	35	Agriculture forestry and fishing	M	5169
New South Wales	35	Arts and recreation services	F	3065
New South Wales	35	Arts and recreation services	M	4466
New South Wales	35	Construction	F	5866
New South Wales	35	Construction	M	33959
New South Wales	35	Education and training	F	33687
New South Wales	35	Education and training	M	16025
New South Wales	35	Electricity gas water and waste services	F	1999
New South Wales	35	Electricity gas water and waste services	M	7137
New South Wales	35	Financial and insurance services	F	20179
New South Wales	35	Financial and insurance services	M	16455
New South Wales	35	Health care and social assistance	F	63775
New South Wales	35	Health care and social assistance	M	21097
New South Wales	35	Information media and telecommunications	F	6254
New South Wales	35	Information media and telecommunications	M	9607
New South Wales	35	Manufacturing	F	15477
New South Wales	35	Manufacturing	M	36609
New South Wales	35	Mining	F	580
New South Wales	35	Mining	M	3722
New South Wales	35	Other services	F	10677
New South Wales	35	Other services	M	13548
New South Wales	35	Professional scientific and technical services	F	22493
New South Wales	35	Professional scientific and technical services	M	22001
New South Wales	35	Public administration and safety	F	29132
New South Wales	35	Public administration and safety	M	35375
New South Wales	35	Rental hiring and real estate services	F	6325
New South Wales	35	Rental hiring and real estate services	M	4117
New South Wales	35	Retail trade	F	30934
New South Wales	35	Retail trade	M	27624
New South Wales	35	Transport postal and warehousing	F	8643
New South Wales	35	Transport postal and warehousing	M	21542
New South Wales	35	Wholesale trade	F	9773
New South Wales	35	Wholesale trade	M	14529
New South Wales	40		F	8506
New South Wales	40		M	20571
New South Wales	40	Accommodation and food services	F	10031
New South Wales	40	Accommodation and food services	M	13193
New South Wales	40	Administrative and support services	F	9535
New South Wales	40	Administrative and support services	M	11432
New South Wales	40	Agriculture forestry and fishing	F	3133
New South Wales	40	Agriculture forestry and fishing	M	8776
New South Wales	40	Arts and recreation services	F	3107
New South Wales	40	Arts and recreation services	M	5201
New South Wales	40	Construction	F	7645
New South Wales	40	Construction	M	72878
New South Wales	40	Education and training	F	28877
New South Wales	40	Education and training	M	15529
New South Wales	40	Electricity gas water and waste services	F	1620
New South Wales	40	Electricity gas water and waste services	M	7286
New South Wales	40	Financial and insurance services	F	20695
New South Wales	40	Financial and insurance services	M	26432
New South Wales	40	Health care and social assistance	F	53507
New South Wales	40	Health care and social assistance	M	21324
New South Wales	40	Information media and telecommunications	F	6851
New South Wales	40	Information media and telecommunications	M	12984
New South Wales	40	Manufacturing	F	11626
New South Wales	40	Manufacturing	M	35127
New South Wales	40	Mining	F	701
New South Wales	40	Mining	M	4277
New South Wales	40	Other services	F	7705
New South Wales	40	Other services	M	16467
New South Wales	40	Professional scientific and technical services	F	26240
New South Wales	40	Professional scientific and technical services	M	45660
New South Wales	40	Public administration and safety	F	15114
New South Wales	40	Public administration and safety	M	24749
New South Wales	40	Rental hiring and real estate services	F	6516
New South Wales	40	Rental hiring and real estate services	M	7379
New South Wales	40	Retail trade	F	18045
New South Wales	40	Retail trade	M	23926
New South Wales	40	Transport postal and warehousing	F	7137
New South Wales	40	Transport postal and warehousing	M	25301
New South Wales	40	Wholesale trade	F	9079
New South Wales	40	Wholesale trade	M	18426
New South Wales	41		F	2404
New South Wales	41		M	7032
New South Wales	41	Accommodation and food services	F	5419
New South Wales	41	Accommodation and food services	M	7615
New South Wales	41	Administrative and support services	F	3422
New South Wales	41	Administrative and support services	M	4368
New South Wales	41	Agriculture forestry and fishing	F	1163
New South Wales	41	Agriculture forestry and fishing	M	4395
New South Wales	41	Arts and recreation services	F	1358
New South Wales	41	Arts and recreation services	M	2294
New South Wales	41	Construction	F	2403
New South Wales	41	Construction	M	30040
New South Wales	41	Education and training	F	14940
New South Wales	41	Education and training	M	7754
New South Wales	41	Electricity gas water and waste services	F	538
New South Wales	41	Electricity gas water and waste services	M	3228
New South Wales	41	Financial and insurance services	F	7334
New South Wales	41	Financial and insurance services	M	11239
New South Wales	41	Health care and social assistance	F	15779
New South Wales	41	Health care and social assistance	M	7967
New South Wales	41	Information media and telecommunications	F	3106
New South Wales	41	Information media and telecommunications	M	5442
New South Wales	41	Manufacturing	F	4711
New South Wales	41	Manufacturing	M	20417
New South Wales	41	Mining	F	565
New South Wales	41	Mining	M	5554
New South Wales	41	Other services	F	3620
New South Wales	41	Other services	M	8277
New South Wales	41	Professional scientific and technical services	F	11007
New South Wales	41	Professional scientific and technical services	M	18204
New South Wales	41	Public administration and safety	F	7341
New South Wales	41	Public administration and safety	M	17719
New South Wales	41	Rental hiring and real estate services	F	2681
New South Wales	41	Rental hiring and real estate services	M	3786
New South Wales	41	Retail trade	F	8838
New South Wales	41	Retail trade	M	13132
New South Wales	41	Transport postal and warehousing	F	2876
New South Wales	41	Transport postal and warehousing	M	14375
New South Wales	41	Wholesale trade	F	3512
New South Wales	41	Wholesale trade	M	9351
New South Wales	49		F	3742
New South Wales	49		M	13811
New South Wales	49	Accommodation and food services	F	8698
New South Wales	49	Accommodation and food services	M	16344
New South Wales	49	Administrative and support services	F	4188
New South Wales	49	Administrative and support services	M	7408
New South Wales	49	Agriculture forestry and fishing	F	4625
New South Wales	49	Agriculture forestry and fishing	M	20722
New South Wales	49	Arts and recreation services	F	1999
New South Wales	49	Arts and recreation services	M	4364
New South Wales	49	Construction	F	3170
New South Wales	49	Construction	M	58843
New South Wales	49	Education and training	F	24196
New South Wales	49	Education and training	M	14120
New South Wales	49	Electricity gas water and waste services	F	521
New South Wales	49	Electricity gas water and waste services	M	4716
New South Wales	49	Financial and insurance services	F	8691
New South Wales	49	Financial and insurance services	M	21269
New South Wales	49	Health care and social assistance	F	19645
New South Wales	49	Health care and social assistance	M	14381
New South Wales	49	Information media and telecommunications	F	4090
New South Wales	49	Information media and telecommunications	M	8979
New South Wales	49	Manufacturing	F	4914
New South Wales	49	Manufacturing	M	27289
New South Wales	49	Mining	F	859
New South Wales	49	Mining	M	10035
New South Wales	49	Other services	F	3650
New South Wales	49	Other services	M	14195
New South Wales	49	Professional scientific and technical services	F	15022
New South Wales	49	Professional scientific and technical services	M	37767
New South Wales	49	Public administration and safety	F	5965
New South Wales	49	Public administration and safety	M	15393
New South Wales	49	Rental hiring and real estate services	F	3173
New South Wales	49	Rental hiring and real estate services	M	8833
New South Wales	49	Retail trade	F	9919
New South Wales	49	Retail trade	M	22575
New South Wales	49	Transport postal and warehousing	F	3073
New South Wales	49	Transport postal and warehousing	M	30380
New South Wales	49	Wholesale trade	F	3738
New South Wales	49	Wholesale trade	M	14858
Victoria			F	10551
Victoria			M	14834
Victoria		Accommodation and food services	F	1513
Victoria		Accommodation and food services	M	1354
Victoria		Administrative and support services	F	575
Victoria		Administrative and support services	M	649
Victoria		Agriculture forestry and fishing	F	365
Victoria		Agriculture forestry and fishing	M	785
Victoria		Arts and recreation services	F	274
Victoria		Arts and recreation services	M	323
Victoria		Construction	F	308
Victoria		Construction	M	2884
Victoria		Education and training	F	1268
Victoria		Education and training	M	680
Victoria		Electricity gas water and waste services	F	39
Victoria		Electricity gas water and waste services	M	214
Victoria		Financial and insurance services	F	348
Victoria		Financial and insurance services	M	402
Victoria		Health care and social assistance	F	2612
Victoria		Health care and social assistance	M	738
Victoria		Information media and telecommunications	F	158
Victoria		Information media and telecommunications	M	269
Victoria		Manufacturing	F	520
Victoria		Manufacturing	M	1416
Victoria		Mining	F	5
Victoria		Mining	M	71
Victoria		Other services	F	495
Victoria		Other services	M	642
Victoria		Professional scientific and technical services	F	624
Victoria		Professional scientific and technical services	M	819
Victoria		Public administration and safety	F	507
Victoria		Public administration and safety	M	663
Victoria		Rental hiring and real estate services	F	176
Victoria		Rental hiring and real estate services	M	201
Victoria		Retail trade	F	1743
Victoria		Retail trade	M	1443
Victoria		Transport postal and warehousing	F	299
Victoria		Transport postal and warehousing	M	1552
Victoria		Wholesale trade	F	196
Victoria		Wholesale trade	M	403
Victoria	0		F	1977
Victoria	0		M	2178
Victoria	0	Accommodation and food services	F	3065
Victoria	0	Accommodation and food services	M	1919
Victoria	0	Administrative and support services	F	1646
Victoria	0	Administrative and support services	M	1093
Victoria	0	Agriculture forestry and fishing	F	817
Victoria	0	Agriculture forestry and fishing	M	1367
Victoria	0	Arts and recreation services	F	986
Victoria	0	Arts and recreation services	M	766
Victoria	0	Construction	F	827
Victoria	0	Construction	M	4816
Victoria	0	Education and training	F	6478
Victoria	0	Education and training	M	1522
Victoria	0	Electricity gas water and waste services	F	458
Victoria	0	Electricity gas water and waste services	M	667
Victoria	0	Financial and insurance services	F	2905
Victoria	0	Financial and insurance services	M	1101
Victoria	0	Health care and social assistance	F	14475
Victoria	0	Health care and social assistance	M	2214
Victoria	0	Information media and telecommunications	F	824
Victoria	0	Information media and telecommunications	M	622
Victoria	0	Manufacturing	F	2048
Victoria	0	Manufacturing	M	3172
Victoria	0	Mining	F	83
Victoria	0	Mining	M	342
Victoria	0	Other services	F	1485
Victoria	0	Other services	M	1016
Victoria	0	Professional scientific and technical services	F	3696
Victoria	0	Professional scientific and technical services	M	2125
Victoria	0	Public administration and safety	F	4746
Victoria	0	Public administration and safety	M	3028
Victoria	0	Rental hiring and real estate services	F	728
Victoria	0	Rental hiring and real estate services	M	404
Victoria	0	Retail trade	F	5844
Victoria	0	Retail trade	M	2841
Victoria	0	Transport postal and warehousing	F	1362
Victoria	0	Transport postal and warehousing	M	3066
Victoria	0	Wholesale trade	F	1086
Victoria	0	Wholesale trade	M	1059
Victoria	1		F	7328
Victoria	1		M	5486
Victoria	1	Accommodation and food services	F	34404
Victoria	1	Accommodation and food services	M	22044
Victoria	1	Administrative and support services	F	10113
Victoria	1	Administrative and support services	M	5765
Victoria	1	Agriculture forestry and fishing	F	3168
Victoria	1	Agriculture forestry and fishing	M	2725
Victoria	1	Arts and recreation services	F	7061
Victoria	1	Arts and recreation services	M	5761
Victoria	1	Construction	F	4686
Victoria	1	Construction	M	6675
Victoria	1	Education and training	F	25408
Victoria	1	Education and training	M	10249
Victoria	1	Electricity gas water and waste services	F	377
Victoria	1	Electricity gas water and waste services	M	523
Victoria	1	Financial and insurance services	F	2582
Victoria	1	Financial and insurance services	M	1245
Victoria	1	Health care and social assistance	F	31841
Victoria	1	Health care and social assistance	M	5362
Victoria	1	Information media and telecommunications	F	2194
Victoria	1	Information media and telecommunications	M	1726
Victoria	1	Manufacturing	F	7583
Victoria	1	Manufacturing	M	4547
Victoria	1	Mining	F	85
Victoria	1	Mining	M	165
Victoria	1	Other services	F	9438
Victoria	1	Other services	M	3660
Victoria	1	Professional scientific and technical services	F	11787
Victoria	1	Professional scientific and technical services	M	6438
Victoria	1	Public administration and safety	F	5508
Victoria	1	Public administration and safety	M	3057
Victoria	1	Rental hiring and real estate services	F	2398
Victoria	1	Rental hiring and real estate services	M	1206
Victoria	1	Retail trade	F	42625
Victoria	1	Retail trade	M	20937
Victoria	1	Transport postal and warehousing	F	2892
Victoria	1	Transport postal and warehousing	M	4663
Victoria	1	Wholesale trade	F	2972
Victoria	1	Wholesale trade	M	2275
Victoria	16		F	5459
Victoria	16		M	4741
Victoria	16	Accommodation and food services	F	17012
Victoria	16	Accommodation and food services	M	13163
Victoria	16	Administrative and support services	F	8212
Victoria	16	Administrative and support services	M	5941
Victoria	16	Agriculture forestry and fishing	F	2450
Victoria	16	Agriculture forestry and fishing	M	2323
Victoria	16	Arts and recreation services	F	3511
Victoria	16	Arts and recreation services	M	2608
Victoria	16	Construction	F	3998
Victoria	16	Construction	M	8229
Victoria	16	Education and training	F	25254
Victoria	16	Education and training	M	5273
Victoria	16	Electricity gas water and waste services	F	736
Victoria	16	Electricity gas water and waste services	M	582
Victoria	16	Financial and insurance services	F	5658
Victoria	16	Financial and insurance services	M	1479
Victoria	16	Health care and social assistance	F	50328
Victoria	16	Health care and social assistance	M	6055
Victoria	16	Information media and telecommunications	F	2094
Victoria	16	Information media and telecommunications	M	1347
Victoria	16	Manufacturing	F	6886
Victoria	16	Manufacturing	M	4992
Victoria	16	Mining	F	147
Victoria	16	Mining	M	129
Victoria	16	Other services	F	7037
Victoria	16	Other services	M	3439
Victoria	16	Professional scientific and technical services	F	11961
Victoria	16	Professional scientific and technical services	M	5295
Victoria	16	Public administration and safety	F	8818
Victoria	16	Public administration and safety	M	2712
Victoria	16	Rental hiring and real estate services	F	2474
Victoria	16	Rental hiring and real estate services	M	1019
Victoria	16	Retail trade	F	26987
Victoria	16	Retail trade	M	12281
Victoria	16	Transport postal and warehousing	F	3502
Victoria	16	Transport postal and warehousing	M	6040
Victoria	16	Wholesale trade	F	3542
Victoria	16	Wholesale trade	M	2273
Victoria	25		F	5155
Victoria	25		M	4820
Victoria	25	Accommodation and food services	F	12997
Victoria	25	Accommodation and food services	M	8362
Victoria	25	Administrative and support services	F	6868
Victoria	25	Administrative and support services	M	5367
Victoria	25	Agriculture forestry and fishing	F	2730
Victoria	25	Agriculture forestry and fishing	M	3144
Victoria	25	Arts and recreation services	F	3419
Victoria	25	Arts and recreation services	M	2793
Victoria	25	Construction	F	3885
Victoria	25	Construction	M	12974
Victoria	25	Education and training	F	25037
Victoria	25	Education and training	M	5658
Victoria	25	Electricity gas water and waste services	F	904
Victoria	25	Electricity gas water and waste services	M	790
Victoria	25	Financial and insurance services	F	6329
Victoria	25	Financial and insurance services	M	2056
Victoria	25	Health care and social assistance	F	61398
Victoria	25	Health care and social assistance	M	9624
Victoria	25	Information media and telecommunications	F	2214
Victoria	25	Information media and telecommunications	M	1582
Victoria	25	Manufacturing	F	7260
Victoria	25	Manufacturing	M	6707
Victoria	25	Mining	F	155
Victoria	25	Mining	M	143
Victoria	25	Other services	F	7214
Victoria	25	Other services	M	3821
Victoria	25	Professional scientific and technical services	F	12722
Victoria	25	Professional scientific and technical services	M	6714
Victoria	25	Public administration and safety	F	9947
Victoria	25	Public administration and safety	M	3614
Victoria	25	Rental hiring and real estate services	F	2352
Victoria	25	Rental hiring and real estate services	M	1177
Victoria	25	Retail trade	F	24871
Victoria	25	Retail trade	M	11086
Victoria	25	Transport postal and warehousing	F	4458
Victoria	25	Transport postal and warehousing	M	8150
Victoria	25	Wholesale trade	F	3806
Victoria	25	Wholesale trade	M	2497
Victoria	35		F	7246
Victoria	35		M	14681
Victoria	35	Accommodation and food services	F	9550
Victoria	35	Accommodation and food services	M	10440
Victoria	35	Administrative and support services	F	8473
Victoria	35	Administrative and support services	M	9107
Victoria	35	Agriculture forestry and fishing	F	2167
Victoria	35	Agriculture forestry and fishing	M	4347
Victoria	35	Arts and recreation services	F	2984
Victoria	35	Arts and recreation services	M	4338
Victoria	35	Construction	F	4464
Victoria	35	Construction	M	30757
Victoria	35	Education and training	F	28129
Victoria	35	Education and training	M	13825
Victoria	35	Electricity gas water and waste services	F	2517
Victoria	35	Electricity gas water and waste services	M	5905
Victoria	35	Financial and insurance services	F	12037
Victoria	35	Financial and insurance services	M	10224
Victoria	35	Health care and social assistance	F	48293
Victoria	35	Health care and social assistance	M	14717
Victoria	35	Information media and telecommunications	F	4330
Victoria	35	Information media and telecommunications	M	7630
Victoria	35	Manufacturing	F	15755
Victoria	35	Manufacturing	M	41551
Victoria	35	Mining	F	199
Victoria	35	Mining	M	675
Victoria	35	Other services	F	8540
Victoria	35	Other services	M	11535
Victoria	35	Professional scientific and technical services	F	17804
Victoria	35	Professional scientific and technical services	M	19122
Victoria	35	Public administration and safety	F	18131
Victoria	35	Public administration and safety	M	19371
Victoria	35	Rental hiring and real estate services	F	4725
Victoria	35	Rental hiring and real estate services	M	3257
Victoria	35	Retail trade	F	24525
Victoria	35	Retail trade	M	23461
Victoria	35	Transport postal and warehousing	F	7200
Victoria	35	Transport postal and warehousing	M	17587
Victoria	35	Wholesale trade	F	7966
Victoria	35	Wholesale trade	M	12707
Victoria	40		F	6162
Victoria	40		M	16853
Victoria	40	Accommodation and food services	F	6677
Victoria	40	Accommodation and food services	M	9262
Victoria	40	Administrative and support services	F	6276
Victoria	40	Administrative and support services	M	8570
Victoria	40	Agriculture forestry and fishing	F	2547
Victoria	40	Agriculture forestry and fishing	M	7098
Victoria	40	Arts and recreation services	F	2775
Victoria	40	Arts and recreation services	M	4969
Victoria	40	Construction	F	5328
Victoria	40	Construction	M	63927
Victoria	40	Education and training	F	20272
Victoria	40	Education and training	M	13264
Victoria	40	Electricity gas water and waste services	F	2047
Victoria	40	Electricity gas water and waste services	M	6326
Victoria	40	Financial and insurance services	F	13533
Victoria	40	Financial and insurance services	M	18656
Victoria	40	Health care and social assistance	F	34825
Victoria	40	Health care and social assistance	M	14480
Victoria	40	Information media and telecommunications	F	4247
Victoria	40	Information media and telecommunications	M	9276
Victoria	40	Manufacturing	F	11937
Victoria	40	Manufacturing	M	39651
Victoria	40	Mining	F	392
Victoria	40	Mining	M	1179
Victoria	40	Other services	F	5270
Victoria	40	Other services	M	13161
Victoria	40	Professional scientific and technical services	F	19524
Victoria	40	Professional scientific and technical services	M	37107
Victoria	40	Public administration and safety	F	12130
Victoria	40	Public administration and safety	M	20186
Victoria	40	Rental hiring and real estate services	F	4503
Victoria	40	Rental hiring and real estate services	M	4797
Victoria	40	Retail trade	F	14873
Victoria	40	Retail trade	M	20398
Victoria	40	Transport postal and warehousing	F	5748
Victoria	40	Transport postal and warehousing	M	22365
Victoria	40	Wholesale trade	F	6763
Victoria	40	Wholesale trade	M	15616
Victoria	41		F	1794
Victoria	41		M	5893
Victoria	41	Accommodation and food services	F	4212
Victoria	41	Accommodation and food services	M	5824
Victoria	41	Administrative and support services	F	2526
Victoria	41	Administrative and support services	M	3672
Victoria	41	Agriculture forestry and fishing	F	1044
Victoria	41	Agriculture forestry and fishing	M	3634
Victoria	41	Arts and recreation services	F	1422
Victoria	41	Arts and recreation services	M	2294
Victoria	41	Construction	F	1722
Victoria	41	Construction	M	25764
Victoria	41	Education and training	F	13351
Victoria	41	Education and training	M	7472
Victoria	41	Electricity gas water and waste services	F	690
Victoria	41	Electricity gas water and waste services	M	3167
Victoria	41	Financial and insurance services	F	4434
Victoria	41	Financial and insurance services	M	6998
Victoria	41	Health care and social assistance	F	12560
Victoria	41	Health care and social assistance	M	7255
Victoria	41	Information media and telecommunications	F	1917
Victoria	41	Information media and telecommunications	M	3988
Victoria	41	Manufacturing	F	4930
Victoria	41	Manufacturing	M	23320
Victoria	41	Mining	F	168
Victoria	41	Mining	M	1026
Victoria	41	Other services	F	2639
Victoria	41	Other services	M	6305
Victoria	41	Professional scientific and technical services	F	8251
Victoria	41	Professional scientific and technical services	M	15191
Victoria	41	Public administration and safety	F	6055
Victoria	41	Public administration and safety	M	10948
Victoria	41	Rental hiring and real estate services	F	2030
Victoria	41	Rental hiring and real estate services	M	2774
Victoria	41	Retail trade	F	7753
Victoria	41	Retail trade	M	11831
Victoria	41	Transport postal and warehousing	F	2433
Victoria	41	Transport postal and warehousing	M	13139
Victoria	41	Wholesale trade	F	2636
Victoria	41	Wholesale trade	M	8335
Victoria	49		F	2695
Victoria	49		M	11120
Victoria	49	Accommodation and food services	F	6255
Victoria	49	Accommodation and food services	M	12010
Victoria	49	Administrative and support services	F	2843
Victoria	49	Administrative and support services	M	5664
Victoria	49	Agriculture forestry and fishing	F	3558
Victoria	49	Agriculture forestry and fishing	M	16079
Victoria	49	Arts and recreation services	F	1935
Victoria	49	Arts and recreation services	M	4242
Victoria	49	Construction	F	2106
Victoria	49	Construction	M	44047
Victoria	49	Education and training	F	20213
Victoria	49	Education and training	M	12881
