STE_NAME16	HoursWorked.min	IncomeTotPersonal.max	Occupation	workers
New South Wales	0	78750	Clerical and administrative workers	1765
New South Wales	0	78750	Community and personal service workers	741
New South Wales	0	78750	Labourers	343
New South Wales	0	78750	Machinery operators and drivers	628
New South Wales	0	78750	Managers	979
New South Wales	0	78750	Professionals	3441
New South Wales	0	78750	Sales workers	329
New South Wales	0	78750	Technicians and trades workers	974
New South Wales	0	91875		140
New South Wales	0	91875	Clerical and administrative workers	1146
New South Wales	0	91875	Community and personal service workers	755
New South Wales	0	91875	Labourers	226
New South Wales	0	91875	Machinery operators and drivers	529
New South Wales	0	91875	Managers	1011
New South Wales	0	91875	Professionals	3797
New South Wales	0	91875	Sales workers	245
New South Wales	0	91875	Technicians and trades workers	780
New South Wales	0	105000		66
New South Wales	0	105000	Clerical and administrative workers	567
New South Wales	0	105000	Community and personal service workers	540
New South Wales	0	105000	Labourers	152
New South Wales	0	105000	Machinery operators and drivers	333
New South Wales	0	105000	Managers	883
New South Wales	0	105000	Professionals	3104
New South Wales	0	105000	Sales workers	118
New South Wales	0	105000	Technicians and trades workers	497
New South Wales	0	157500		101
New South Wales	0	157500	Clerical and administrative workers	665
New South Wales	0	157500	Community and personal service workers	509
New South Wales	0	157500	Labourers	159
New South Wales	0	157500	Machinery operators and drivers	567
New South Wales	0	157500	Managers	2304
New South Wales	0	157500	Professionals	3916
New South Wales	0	157500	Sales workers	231
New South Wales	0	157500	Technicians and trades workers	676
New South Wales	0	Inf		91
New South Wales	0	Inf	Clerical and administrative workers	314
New South Wales	0	Inf	Community and personal service workers	93
New South Wales	0	Inf	Labourers	58
New South Wales	0	Inf	Machinery operators and drivers	96
New South Wales	0	Inf	Managers	1577
New South Wales	0	Inf	Professionals	2038
New South Wales	0	Inf	Sales workers	133
New South Wales	0	Inf	Technicians and trades workers	272
New South Wales	1			271
New South Wales	1		Clerical and administrative workers	634
New South Wales	1		Community and personal service workers	775
New South Wales	1		Labourers	919
New South Wales	1		Machinery operators and drivers	200
New South Wales	1		Managers	236
New South Wales	1		Professionals	597
New South Wales	1		Sales workers	1162
New South Wales	1		Technicians and trades workers	400
New South Wales	1	0		237
New South Wales	1	0	Clerical and administrative workers	985
New South Wales	1	0	Community and personal service workers	942
New South Wales	1	0	Labourers	1174
New South Wales	1	0	Machinery operators and drivers	205
New South Wales	1	0	Managers	525
New South Wales	1	0	Professionals	633
New South Wales	1	0	Sales workers	1386
New South Wales	1	0	Technicians and trades workers	405
New South Wales	1	7875		729
New South Wales	1	7875	Clerical and administrative workers	5217
New South Wales	1	7875	Community and personal service workers	16322
New South Wales	1	7875	Labourers	17070
New South Wales	1	7875	Machinery operators and drivers	1631
New South Wales	1	7875	Managers	1058
New South Wales	1	7875	Professionals	6385
New South Wales	1	7875	Sales workers	30711
New South Wales	1	7875	Technicians and trades workers	2479
New South Wales	1	15750		674
New South Wales	1	15750	Clerical and administrative workers	8816
New South Wales	1	15750	Community and personal service workers	16060
New South Wales	1	15750	Labourers	13115
New South Wales	1	15750	Machinery operators and drivers	2324
New South Wales	1	15750	Managers	1623
New South Wales	1	15750	Professionals	7632
New South Wales	1	15750	Sales workers	18911
New South Wales	1	15750	Technicians and trades workers	4289
New South Wales	1	21000		531
New South Wales	1	21000	Clerical and administrative workers	7973
New South Wales	1	21000	Community and personal service workers	10690
New South Wales	1	21000	Labourers	9209
New South Wales	1	21000	Machinery operators and drivers	1939
New South Wales	1	21000	Managers	1553
New South Wales	1	21000	Professionals	6624
New South Wales	1	21000	Sales workers	9784
New South Wales	1	21000	Technicians and trades workers	3590
New South Wales	1	26250		390
New South Wales	1	26250	Clerical and administrative workers	6138
New South Wales	1	26250	Community and personal service workers	7320
New South Wales	1	26250	Labourers	6542
New South Wales	1	26250	Machinery operators and drivers	1611
New South Wales	1	26250	Managers	1321
New South Wales	1	26250	Professionals	5748
New South Wales	1	26250	Sales workers	5579
New South Wales	1	26250	Technicians and trades workers	2853
New South Wales	1	34125		374
New South Wales	1	34125	Clerical and administrative workers	5828
New South Wales	1	34125	Community and personal service workers	6161
New South Wales	1	34125	Labourers	5143
New South Wales	1	34125	Machinery operators and drivers	1550
New South Wales	1	34125	Managers	1509
New South Wales	1	34125	Professionals	7003
New South Wales	1	34125	Sales workers	4026
New South Wales	1	34125	Technicians and trades workers	2802
New South Wales	1	42000		291
New South Wales	1	42000	Clerical and administrative workers	3790
New South Wales	1	42000	Community and personal service workers	3214
New South Wales	1	42000	Labourers	2752
New South Wales	1	42000	Machinery operators and drivers	1152
New South Wales	1	42000	Managers	1227
New South Wales	1	42000	Professionals	5289
New South Wales	1	42000	Sales workers	1847
New South Wales	1	42000	Technicians and trades workers	1875
New South Wales	1	52500		240
New South Wales	1	52500	Clerical and administrative workers	2663
New South Wales	1	52500	Community and personal service workers	1861
New South Wales	1	52500	Labourers	1617
New South Wales	1	52500	Machinery operators and drivers	928
New South Wales	1	52500	Managers	1160
New South Wales	1	52500	Professionals	4377
New South Wales	1	52500	Sales workers	1082
New South Wales	1	52500	Technicians and trades workers	1550
New South Wales	1	65625		201
New South Wales	1	65625	Clerical and administrative workers	2233
New South Wales	1	65625	Community and personal service workers	973
New South Wales	1	65625	Labourers	938
New South Wales	1	65625	Machinery operators and drivers	635
New South Wales	1	65625	Managers	1082
New South Wales	1	65625	Professionals	3912
New South Wales	1	65625	Sales workers	660
New South Wales	1	65625	Technicians and trades workers	1226
New South Wales	1	78750		113
New South Wales	1	78750	Clerical and administrative workers	1240
New South Wales	1	78750	Community and personal service workers	463
New South Wales	1	78750	Labourers	397
New South Wales	1	78750	Machinery operators and drivers	318
New South Wales	1	78750	Managers	772
New South Wales	1	78750	Professionals	2617
New South Wales	1	78750	Sales workers	299
New South Wales	1	78750	Technicians and trades workers	677
New South Wales	1	91875		114
New South Wales	1	91875	Clerical and administrative workers	927
New South Wales	1	91875	Community and personal service workers	290
New South Wales	1	91875	Labourers	211
New South Wales	1	91875	Machinery operators and drivers	197
New South Wales	1	91875	Managers	711
New South Wales	1	91875	Professionals	2149
New South Wales	1	91875	Sales workers	236
New South Wales	1	91875	Technicians and trades workers	412
New South Wales	1	105000		71
New South Wales	1	105000	Clerical and administrative workers	446
New South Wales	1	105000	Community and personal service workers	152
New South Wales	1	105000	Labourers	116
New South Wales	1	105000	Machinery operators and drivers	113
New South Wales	1	105000	Managers	469
New South Wales	1	105000	Professionals	1470
New South Wales	1	105000	Sales workers	127
New South Wales	1	105000	Technicians and trades workers	235
New South Wales	1	157500		103
New South Wales	1	157500	Clerical and administrative workers	566
New South Wales	1	157500	Community and personal service workers	156
New South Wales	1	157500	Labourers	104
New South Wales	1	157500	Machinery operators and drivers	114
New South Wales	1	157500	Managers	918
New South Wales	1	157500	Professionals	1993
New South Wales	1	157500	Sales workers	221
New South Wales	1	157500	Technicians and trades workers	227
New South Wales	1	Inf		226
New South Wales	1	Inf	Clerical and administrative workers	556
New South Wales	1	Inf	Community and personal service workers	182
New South Wales	1	Inf	Labourers	198
New South Wales	1	Inf	Machinery operators and drivers	57
New South Wales	1	Inf	Managers	1187
New South Wales	1	Inf	Professionals	1691
New South Wales	1	Inf	Sales workers	270
New South Wales	1	Inf	Technicians and trades workers	111
New South Wales	16			216
New South Wales	16		Clerical and administrative workers	685
New South Wales	16		Community and personal service workers	698
New South Wales	16		Labourers	568
New South Wales	16		Machinery operators and drivers	171
New South Wales	16		Managers	251
New South Wales	16		Professionals	689
New South Wales	16		Sales workers	604
New South Wales	16		Technicians and trades workers	375
New South Wales	16	0		98
New South Wales	16	0	Clerical and administrative workers	425
New South Wales	16	0	Community and personal service workers	263
New South Wales	16	0	Labourers	327
New South Wales	16	0	Machinery operators and drivers	103
New South Wales	16	0	Managers	400
New South Wales	16	0	Professionals	325
New South Wales	16	0	Sales workers	364
New South Wales	16	0	Technicians and trades workers	238
New South Wales	16	7875		88
New South Wales	16	7875	Clerical and administrative workers	660
New South Wales	16	7875	Community and personal service workers	1363
New South Wales	16	7875	Labourers	1511
New South Wales	16	7875	Machinery operators and drivers	289
New South Wales	16	7875	Managers	346
New South Wales	16	7875	Professionals	594
New South Wales	16	7875	Sales workers	2264
New South Wales	16	7875	Technicians and trades workers	471
New South Wales	16	15750		300
New South Wales	16	15750	Clerical and administrative workers	2560
New South Wales	16	15750	Community and personal service workers	5543
New South Wales	16	15750	Labourers	4666
New South Wales	16	15750	Machinery operators and drivers	1093
New South Wales	16	15750	Managers	865
New South Wales	16	15750	Professionals	1790
New South Wales	16	15750	Sales workers	6719
New South Wales	16	15750	Technicians and trades workers	1951
New South Wales	16	21000		506
New South Wales	16	21000	Clerical and administrative workers	5885
New South Wales	16	21000	Community and personal service workers	10255
New South Wales	16	21000	Labourers	8846
New South Wales	16	21000	Machinery operators and drivers	2179
New South Wales	16	21000	Managers	1657
New South Wales	16	21000	Professionals	3316
New South Wales	16	21000	Sales workers	10108
New South Wales	16	21000	Technicians and trades workers	4250
New South Wales	16	26250		613
New South Wales	16	26250	Clerical and administrative workers	9442
New South Wales	16	26250	Community and personal service workers	13184
New South Wales	16	26250	Labourers	11320
New South Wales	16	26250	Machinery operators and drivers	2711
New South Wales	16	26250	Managers	2093
New South Wales	16	26250	Professionals	4776
New South Wales	16	26250	Sales workers	11838
New South Wales	16	26250	Technicians and trades workers	5414
New South Wales	16	34125		541
New South Wales	16	34125	Clerical and administrative workers	13729
New South Wales	16	34125	Community and personal service workers	13777
New South Wales	16	34125	Labourers	8758
New South Wales	16	34125	Machinery operators and drivers	2855
New South Wales	16	34125	Managers	2630
New South Wales	16	34125	Professionals	8922
New South Wales	16	34125	Sales workers	9241
New South Wales	16	34125	Technicians and trades workers	5516
New South Wales	16	42000		417
New South Wales	16	42000	Clerical and administrative workers	9697
New South Wales	16	42000	Community and personal service workers	7669
New South Wales	16	42000	Labourers	4544
New South Wales	16	42000	Machinery operators and drivers	2092
New South Wales	16	42000	Managers	2182
New South Wales	16	42000	Professionals	10549
New South Wales	16	42000	Sales workers	3955
New South Wales	16	42000	Technicians and trades workers	3823
New South Wales	16	52500		305
New South Wales	16	52500	Clerical and administrative workers	6245
New South Wales	16	52500	Community and personal service workers	4028
New South Wales	16	52500	Labourers	2604
New South Wales	16	52500	Machinery operators and drivers	1465
New South Wales	16	52500	Managers	2019
New South Wales	16	52500	Professionals	11138
New South Wales	16	52500	Sales workers	1872
New South Wales	16	52500	Technicians and trades workers	2759
New South Wales	16	65625		235
New South Wales	16	65625	Clerical and administrative workers	3851
New South Wales	16	65625	Community and personal service workers	2092
New South Wales	16	65625	Labourers	1199
New South Wales	16	65625	Machinery operators and drivers	844
New South Wales	16	65625	Managers	1788
New South Wales	16	65625	Professionals	10365
New South Wales	16	65625	Sales workers	955
New South Wales	16	65625	Technicians and trades workers	1898
New South Wales	16	78750		127
New South Wales	16	78750	Clerical and administrative workers	1890
New South Wales	16	78750	Community and personal service workers	833
New South Wales	16	78750	Labourers	536
New South Wales	16	78750	Machinery operators and drivers	383
New South Wales	16	78750	Managers	1314
New South Wales	16	78750	Professionals	6075
New South Wales	16	78750	Sales workers	450
New South Wales	16	78750	Technicians and trades workers	877
New South Wales	16	91875		85
New South Wales	16	91875	Clerical and administrative workers	1229
New South Wales	16	91875	Community and personal service workers	472
New South Wales	16	91875	Labourers	248
New South Wales	16	91875	Machinery operators and drivers	224
New South Wales	16	91875	Managers	1083
New South Wales	16	91875	Professionals	4285
New South Wales	16	91875	Sales workers	264
New South Wales	16	91875	Technicians and trades workers	549
New South Wales	16	105000		49
New South Wales	16	105000	Clerical and administrative workers	604
New South Wales	16	105000	Community and personal service workers	257
New South Wales	16	105000	Labourers	131
New South Wales	16	105000	Machinery operators and drivers	157
New South Wales	16	105000	Managers	667
New South Wales	16	105000	Professionals	2379
New South Wales	16	105000	Sales workers	170
New South Wales	16	105000	Technicians and trades workers	270
New South Wales	16	157500		87
New South Wales	16	157500	Clerical and administrative workers	700
New South Wales	16	157500	Community and personal service workers	242
New South Wales	16	157500	Labourers	119
New South Wales	16	157500	Machinery operators and drivers	213
New South Wales	16	157500	Managers	1120
New South Wales	16	157500	Professionals	3146
New South Wales	16	157500	Sales workers	214
New South Wales	16	157500	Technicians and trades workers	328
New South Wales	16	Inf		126
New South Wales	16	Inf	Clerical and administrative workers	489
New South Wales	16	Inf	Community and personal service workers	167
New South Wales	16	Inf	Labourers	114
New South Wales	16	Inf	Machinery operators and drivers	66
New South Wales	16	Inf	Managers	1135
New South Wales	16	Inf	Professionals	2376
New South Wales	16	Inf	Sales workers	203
New South Wales	16	Inf	Technicians and trades workers	137
New South Wales	25			195
New South Wales	25		Clerical and administrative workers	663
New South Wales	25		Community and personal service workers	685
New South Wales	25		Labourers	510
New South Wales	25		Machinery operators and drivers	226
New South Wales	25		Managers	361
New South Wales	25		Professionals	676
New South Wales	25		Sales workers	495
New South Wales	25		Technicians and trades workers	434
New South Wales	25	0		54
New South Wales	25	0	Clerical and administrative workers	212
New South Wales	25	0	Community and personal service workers	196
New South Wales	25	0	Labourers	224
New South Wales	25	0	Machinery operators and drivers	59
New South Wales	25	0	Managers	409
New South Wales	25	0	Professionals	241
New South Wales	25	0	Sales workers	182
New South Wales	25	0	Technicians and trades workers	170
New South Wales	25	7875		44
New South Wales	25	7875	Clerical and administrative workers	230
New South Wales	25	7875	Community and personal service workers	349
New South Wales	25	7875	Labourers	454
New South Wales	25	7875	Machinery operators and drivers	74
New South Wales	25	7875	Managers	288
New South Wales	25	7875	Professionals	343
New South Wales	25	7875	Sales workers	418
New South Wales	25	7875	Technicians and trades workers	231
New South Wales	25	15750		118
New South Wales	25	15750	Clerical and administrative workers	700
New South Wales	25	15750	Community and personal service workers	1440
New South Wales	25	15750	Labourers	1299
New South Wales	25	15750	Machinery operators and drivers	398
New South Wales	25	15750	Managers	683
New South Wales	25	15750	Professionals	756
New South Wales	25	15750	Sales workers	1573
New South Wales	25	15750	Technicians and trades workers	824
New South Wales	25	21000		197
New South Wales	25	21000	Clerical and administrative workers	1566
New South Wales	25	21000	Community and personal service workers	3009
New South Wales	25	21000	Labourers	2694
New South Wales	25	21000	Machinery operators and drivers	887
New South Wales	25	21000	Managers	1038
New South Wales	25	21000	Professionals	1186
New South Wales	25	21000	Sales workers	3052
New South Wales	25	21000	Technicians and trades workers	1829
New South Wales	25	26250		311
New South Wales	25	26250	Clerical and administrative workers	3264
New South Wales	25	26250	Community and personal service workers	5883
New South Wales	25	26250	Labourers	4997
New South Wales	25	26250	Machinery operators and drivers	1522
New South Wales	25	26250	Managers	1458
New South Wales	25	26250	Professionals	2045
New South Wales	25	26250	Sales workers	5677
New South Wales	25	26250	Technicians and trades workers	3388
New South Wales	25	34125		597
New South Wales	25	34125	Clerical and administrative workers	10124
New South Wales	25	34125	Community and personal service workers	14524
New South Wales	25	34125	Labourers	10225
New South Wales	25	34125	Machinery operators and drivers	3236
New South Wales	25	34125	Managers	3077
New South Wales	25	34125	Professionals	4875
New South Wales	25	34125	Sales workers	12420
New South Wales	25	34125	Technicians and trades workers	6517
New South Wales	25	42000		601
New South Wales	25	42000	Clerical and administrative workers	13470
New South Wales	25	42000	Community and personal service workers	15839
New South Wales	25	42000	Labourers	8412
New South Wales	25	42000	Machinery operators and drivers	3665
New South Wales	25	42000	Managers	3334
New South Wales	25	42000	Professionals	7564
New South Wales	25	42000	Sales workers	8960
New South Wales	25	42000	Technicians and trades workers	6392
New South Wales	25	52500		482
New South Wales	25	52500	Clerical and administrative workers	12176
New South Wales	25	52500	Community and personal service workers	10591
New South Wales	25	52500	Labourers	4478
New South Wales	25	52500	Machinery operators and drivers	3059
New South Wales	25	52500	Managers	3194
New South Wales	25	52500	Professionals	9838
New South Wales	25	52500	Sales workers	3844
New South Wales	25	52500	Technicians and trades workers	5052
New South Wales	25	65625		364
New South Wales	25	65625	Clerical and administrative workers	8066
New South Wales	25	65625	Community and personal service workers	4810
New South Wales	25	65625	Labourers	2201
New South Wales	25	65625	Machinery operators and drivers	1685
New South Wales	25	65625	Managers	3044
New South Wales	25	65625	Professionals	12460
New South Wales	25	65625	Sales workers	1654
New South Wales	25	65625	Technicians and trades workers	3565
New South Wales	25	78750		207
New South Wales	25	78750	Clerical and administrative workers	3726
New South Wales	25	78750	Community and personal service workers	1860
New South Wales	25	78750	Labourers	809
New South Wales	25	78750	Machinery operators and drivers	748
New South Wales	25	78750	Managers	2154
New South Wales	25	78750	Professionals	10259
New South Wales	25	78750	Sales workers	715
New South Wales	25	78750	Technicians and trades workers	1836
New South Wales	25	91875		144
New South Wales	25	91875	Clerical and administrative workers	2199
New South Wales	25	91875	Community and personal service workers	1057
New South Wales	25	91875	Labourers	427
New South Wales	25	91875	Machinery operators and drivers	361
New South Wales	25	91875	Managers	2015
New South Wales	25	91875	Professionals	8626
New South Wales	25	91875	Sales workers	490
New South Wales	25	91875	Technicians and trades workers	1150
New South Wales	25	105000		102
New South Wales	25	105000	Clerical and administrative workers	930
New South Wales	25	105000	Community and personal service workers	527
New South Wales	25	105000	Labourers	174
New South Wales	25	105000	Machinery operators and drivers	235
New South Wales	25	105000	Managers	1333
New South Wales	25	105000	Professionals	5131
New South Wales	25	105000	Sales workers	230
New South Wales	25	105000	Technicians and trades workers	525
New South Wales	25	157500		114
New South Wales	25	157500	Clerical and administrative workers	1128
New South Wales	25	157500	Community and personal service workers	401
New South Wales	25	157500	Labourers	159
New South Wales	25	157500	Machinery operators and drivers	309
New South Wales	25	157500	Managers	2420
New South Wales	25	157500	Professionals	6178
New South Wales	25	157500	Sales workers	311
New South Wales	25	157500	Technicians and trades workers	498
New South Wales	25	Inf		158
New South Wales	25	Inf	Clerical and administrative workers	543
New South Wales	25	Inf	Community and personal service workers	181
New South Wales	25	Inf	Labourers	113
New South Wales	25	Inf	Machinery operators and drivers	77
New South Wales	25	Inf	Managers	1833
New South Wales	25	Inf	Professionals	4235
New South Wales	25	Inf	Sales workers	287
New South Wales	25	Inf	Technicians and trades workers	195
New South Wales	35			510
New South Wales	35		Clerical and administrative workers	1190
New South Wales	35		Community and personal service workers	650
New South Wales	35		Labourers	708
New South Wales	35		Machinery operators and drivers	570
New South Wales	35		Managers	618
New South Wales	35		Professionals	1158
New South Wales	35		Sales workers	524
New South Wales	35		Technicians and trades workers	1206
New South Wales	35	0		101
New South Wales	35	0	Clerical and administrative workers	214
New South Wales	35	0	Community and personal service workers	124
New South Wales	35	0	Labourers	153
New South Wales	35	0	Machinery operators and drivers	106
New South Wales	35	0	Managers	278
New South Wales	35	0	Professionals	217
New South Wales	35	0	Sales workers	142
New South Wales	35	0	Technicians and trades workers	239
New South Wales	35	7875		39
New South Wales	35	7875	Clerical and administrative workers	148
New South Wales	35	7875	Community and personal service workers	118
New South Wales	35	7875	Labourers	195
New South Wales	35	7875	Machinery operators and drivers	68
New South Wales	35	7875	Managers	140
New South Wales	35	7875	Professionals	194
New South Wales	35	7875	Sales workers	128
New South Wales	35	7875	Technicians and trades workers	161
New South Wales	35	15750		48
New South Wales	35	15750	Clerical and administrative workers	312
New South Wales	35	15750	Community and personal service workers	366
New South Wales	35	15750	Labourers	450
New South Wales	35	15750	Machinery operators and drivers	216
New South Wales	35	15750	Managers	323
New South Wales	35	15750	Professionals	334
New South Wales	35	15750	Sales workers	324
New South Wales	35	15750	Technicians and trades workers	622
New South Wales	35	21000		123
New South Wales	35	21000	Clerical and administrative workers	683
