STE_NAME16	ModeTravelToWork	NumberModes	Occupation	workers
New South Wales	Did not go to work		Sales workers	45169
New South Wales	Did not go to work		Technicians and trades workers	23862
New South Wales	Ferry	1		189
New South Wales	Ferry	1	Clerical and administrative workers	989
New South Wales	Ferry	1	Community and personal service workers	168
New South Wales	Ferry	1	Labourers	75
New South Wales	Ferry	1	Machinery operators and drivers	35
New South Wales	Ferry	1	Managers	2020
New South Wales	Ferry	1	Professionals	3702
New South Wales	Ferry	1	Sales workers	370
New South Wales	Ferry	1	Technicians and trades workers	213
New South Wales	Method of travel not stated			10816
New South Wales	Method of travel not stated		Clerical and administrative workers	2540
New South Wales	Method of travel not stated		Community and personal service workers	3003
New South Wales	Method of travel not stated		Labourers	3428
New South Wales	Method of travel not stated		Machinery operators and drivers	1961
New South Wales	Method of travel not stated		Managers	2566
New South Wales	Method of travel not stated		Professionals	3537
New South Wales	Method of travel not stated		Sales workers	2501
New South Wales	Method of travel not stated		Technicians and trades workers	3456
New South Wales	Motorbike scooter	1		340
New South Wales	Motorbike scooter	1	Clerical and administrative workers	1894
New South Wales	Motorbike scooter	1	Community and personal service workers	1907
New South Wales	Motorbike scooter	1	Labourers	1653
New South Wales	Motorbike scooter	1	Machinery operators and drivers	1808
New South Wales	Motorbike scooter	1	Managers	3677
New South Wales	Motorbike scooter	1	Professionals	5058
New South Wales	Motorbike scooter	1	Sales workers	1184
New South Wales	Motorbike scooter	1	Technicians and trades workers	3346
New South Wales	(Other)	1		794
New South Wales	(Other)	1	Clerical and administrative workers	1914
New South Wales	(Other)	1	Community and personal service workers	2418
New South Wales	(Other)	1	Labourers	1633
New South Wales	(Other)	1	Machinery operators and drivers	1444
New South Wales	(Other)	1	Managers	3835
New South Wales	(Other)	1	Professionals	3129
New South Wales	(Other)	1	Sales workers	816
New South Wales	(Other)	1	Technicians and trades workers	2739
New South Wales	Other three methods	3		17
New South Wales	Other three methods	3	Clerical and administrative workers	59
New South Wales	Other three methods	3	Community and personal service workers	53
New South Wales	Other three methods	3	Labourers	71
New South Wales	Other three methods	3	Machinery operators and drivers	42
New South Wales	Other three methods	3	Managers	312
New South Wales	Other three methods	3	Professionals	225
New South Wales	Other three methods	3	Sales workers	46
New South Wales	Other three methods	3	Technicians and trades workers	111
New South Wales	Other two methods	2		343
New South Wales	Other two methods	2	Clerical and administrative workers	1710
New South Wales	Other two methods	2	Community and personal service workers	1579
New South Wales	Other two methods	2	Labourers	2169
New South Wales	Other two methods	2	Machinery operators and drivers	1837
New South Wales	Other two methods	2	Managers	2906
New South Wales	Other two methods	2	Professionals	4079
New South Wales	Other two methods	2	Sales workers	1357
New South Wales	Other two methods	2	Technicians and trades workers	3171
New South Wales	Taxi	1		134
New South Wales	Taxi	1	Clerical and administrative workers	458
New South Wales	Taxi	1	Community and personal service workers	688
New South Wales	Taxi	1	Labourers	525
New South Wales	Taxi	1	Machinery operators and drivers	1368
New South Wales	Taxi	1	Managers	1145
New South Wales	Taxi	1	Professionals	1724
New South Wales	Taxi	1	Sales workers	385
New South Wales	Taxi	1	Technicians and trades workers	317
New South Wales	Train	1		5184
New South Wales	Train	1	Clerical and administrative workers	48578
New South Wales	Train	1	Community and personal service workers	17852
New South Wales	Train	1	Labourers	16233
New South Wales	Train	1	Machinery operators and drivers	3912
New South Wales	Train	1	Managers	31426
New South Wales	Train	1	Professionals	91546
New South Wales	Train	1	Sales workers	19418
New South Wales	Train	1	Technicians and trades workers	19090
New South Wales	Train and bus	2		1101
New South Wales	Train and bus	2	Clerical and administrative workers	10454
New South Wales	Train and bus	2	Community and personal service workers	5644
New South Wales	Train and bus	2	Labourers	5734
New South Wales	Train and bus	2	Machinery operators and drivers	1985
New South Wales	Train and bus	2	Managers	6235
New South Wales	Train and bus	2	Professionals	19263
New South Wales	Train and bus	2	Sales workers	5332
New South Wales	Train and bus	2	Technicians and trades workers	4480
New South Wales	Train and car as driver	2		522
New South Wales	Train and car as driver	2	Clerical and administrative workers	8053
New South Wales	Train and car as driver	2	Community and personal service workers	1701
New South Wales	Train and car as driver	2	Labourers	906
New South Wales	Train and car as driver	2	Machinery operators and drivers	513
New South Wales	Train and car as driver	2	Managers	5531
New South Wales	Train and car as driver	2	Professionals	12449
New South Wales	Train and car as driver	2	Sales workers	1808
New South Wales	Train and car as driver	2	Technicians and trades workers	2698
New South Wales	Train and car as passenger	2		147
New South Wales	Train and car as passenger	2	Clerical and administrative workers	2386
New South Wales	Train and car as passenger	2	Community and personal service workers	610
New South Wales	Train and car as passenger	2	Labourers	525
New South Wales	Train and car as passenger	2	Machinery operators and drivers	191
New South Wales	Train and car as passenger	2	Managers	1202
New South Wales	Train and car as passenger	2	Professionals	3382
New South Wales	Train and car as passenger	2	Sales workers	791
New South Wales	Train and car as passenger	2	Technicians and trades workers	673
New South Wales	Train and ferry	2		25
New South Wales	Train and ferry	2	Clerical and administrative workers	218
New South Wales	Train and ferry	2	Community and personal service workers	62
New South Wales	Train and ferry	2	Labourers	40
New South Wales	Train and ferry	2	Machinery operators and drivers	10
New South Wales	Train and ferry	2	Managers	355
New South Wales	Train and ferry	2	Professionals	749
New South Wales	Train and ferry	2	Sales workers	88
New South Wales	Train and ferry	2	Technicians and trades workers	83
New South Wales	Train and other	2		50
New South Wales	Train and other	2	Clerical and administrative workers	439
New South Wales	Train and other	2	Community and personal service workers	224
New South Wales	Train and other	2	Labourers	200
New South Wales	Train and other	2	Machinery operators and drivers	132
New South Wales	Train and other	2	Managers	552
New South Wales	Train and other	2	Professionals	1431
New South Wales	Train and other	2	Sales workers	148
New South Wales	Train and other	2	Technicians and trades workers	302
New South Wales	Train and tram includes light rail	2		14
New South Wales	Train and tram includes light rail	2	Clerical and administrative workers	236
New South Wales	Train and tram includes light rail	2	Community and personal service workers	195
New South Wales	Train and tram includes light rail	2	Labourers	123
New South Wales	Train and tram includes light rail	2	Machinery operators and drivers	11
New South Wales	Train and tram includes light rail	2	Managers	149
New South Wales	Train and tram includes light rail	2	Professionals	531
New South Wales	Train and tram includes light rail	2	Sales workers	96
New South Wales	Train and tram includes light rail	2	Technicians and trades workers	128
New South Wales	Train and two other methods	3		348
New South Wales	Train and two other methods	3	Clerical and administrative workers	2342
New South Wales	Train and two other methods	3	Community and personal service workers	1506
New South Wales	Train and two other methods	3	Labourers	1047
New South Wales	Train and two other methods	3	Machinery operators and drivers	429
New South Wales	Train and two other methods	3	Managers	1858
New South Wales	Train and two other methods	3	Professionals	5099
New South Wales	Train and two other methods	3	Sales workers	1172
New South Wales	Train and two other methods	3	Technicians and trades workers	1330
New South Wales	Tram includes light rail	1		69
New South Wales	Tram includes light rail	1	Clerical and administrative workers	388
New South Wales	Tram includes light rail	1	Community and personal service workers	251
New South Wales	Tram includes light rail	1	Labourers	103
New South Wales	Tram includes light rail	1	Machinery operators and drivers	23
New South Wales	Tram includes light rail	1	Managers	478
New South Wales	Tram includes light rail	1	Professionals	1051
New South Wales	Tram includes light rail	1	Sales workers	169
New South Wales	Tram includes light rail	1	Technicians and trades workers	163
New South Wales	Truck	1		452
New South Wales	Truck	1	Clerical and administrative workers	1018
New South Wales	Truck	1	Community and personal service workers	115
New South Wales	Truck	1	Labourers	5223
New South Wales	Truck	1	Machinery operators and drivers	11558
New South Wales	Truck	1	Managers	4227
New South Wales	Truck	1	Professionals	279
New South Wales	Truck	1	Sales workers	659
New South Wales	Truck	1	Technicians and trades workers	9230
New South Wales	Walked only	1		1790
New South Wales	Walked only	1	Clerical and administrative workers	14006
New South Wales	Walked only	1	Community and personal service workers	19132
New South Wales	Walked only	1	Labourers	12670
New South Wales	Walked only	1	Machinery operators and drivers	3943
New South Wales	Walked only	1	Managers	20285
New South Wales	Walked only	1	Professionals	33273
New South Wales	Walked only	1	Sales workers	14313
New South Wales	Walked only	1	Technicians and trades workers	11676
New South Wales	Worked at home			3227
New South Wales	Worked at home		Clerical and administrative workers	32625
New South Wales	Worked at home		Community and personal service workers	10496
New South Wales	Worked at home		Labourers	3943
New South Wales	Worked at home		Machinery operators and drivers	1475
New South Wales	Worked at home		Managers	43433
New South Wales	Worked at home		Professionals	50254
New South Wales	Worked at home		Sales workers	7351
New South Wales	Worked at home		Technicians and trades workers	10648
Victoria	Bicycle	1		460
Victoria	Bicycle	1	Clerical and administrative workers	2857
Victoria	Bicycle	1	Community and personal service workers	2997
Victoria	Bicycle	1	Labourers	2229
Victoria	Bicycle	1	Machinery operators and drivers	1106
Victoria	Bicycle	1	Managers	4674
Victoria	Bicycle	1	Professionals	14907
Victoria	Bicycle	1	Sales workers	1732
Victoria	Bicycle	1	Technicians and trades workers	2905
Victoria	Bus	1		519
Victoria	Bus	1	Clerical and administrative workers	3347
Victoria	Bus	1	Community and personal service workers	3804
Victoria	Bus	1	Labourers	4185
Victoria	Bus	1	Machinery operators and drivers	1259
Victoria	Bus	1	Managers	1939
Victoria	Bus	1	Professionals	5569
Victoria	Bus	1	Sales workers	4933
Victoria	Bus	1	Technicians and trades workers	2197
Victoria	Bus and car as driver	2		22
Victoria	Bus and car as driver	2	Clerical and administrative workers	223
Victoria	Bus and car as driver	2	Community and personal service workers	209
Victoria	Bus and car as driver	2	Labourers	139
Victoria	Bus and car as driver	2	Machinery operators and drivers	114
Victoria	Bus and car as driver	2	Managers	166
Victoria	Bus and car as driver	2	Professionals	427
Victoria	Bus and car as driver	2	Sales workers	194
Victoria	Bus and car as driver	2	Technicians and trades workers	150
Victoria	Bus and car as passenger	2		26
Victoria	Bus and car as passenger	2	Clerical and administrative workers	135
Victoria	Bus and car as passenger	2	Community and personal service workers	337
Victoria	Bus and car as passenger	2	Labourers	385
Victoria	Bus and car as passenger	2	Machinery operators and drivers	66
Victoria	Bus and car as passenger	2	Managers	44
Victoria	Bus and car as passenger	2	Professionals	180
Victoria	Bus and car as passenger	2	Sales workers	649
Victoria	Bus and car as passenger	2	Technicians and trades workers	135
Victoria	Bus and ferry	2	Community and personal service workers	4
Victoria	Bus and ferry	2	Managers	3
Victoria	Bus and ferry	2	Technicians and trades workers	3
Victoria	Bus and other	2		10
Victoria	Bus and other	2	Clerical and administrative workers	43
Victoria	Bus and other	2	Community and personal service workers	88
Victoria	Bus and other	2	Labourers	63
Victoria	Bus and other	2	Machinery operators and drivers	38
Victoria	Bus and other	2	Managers	28
Victoria	Bus and other	2	Professionals	113
Victoria	Bus and other	2	Sales workers	71
Victoria	Bus and other	2	Technicians and trades workers	42
Victoria	Bus and tram includes light rail	2		35
Victoria	Bus and tram includes light rail	2	Clerical and administrative workers	418
Victoria	Bus and tram includes light rail	2	Community and personal service workers	360
Victoria	Bus and tram includes light rail	2	Labourers	241
Victoria	Bus and tram includes light rail	2	Machinery operators and drivers	72
Victoria	Bus and tram includes light rail	2	Managers	267
Victoria	Bus and tram includes light rail	2	Professionals	875
Victoria	Bus and tram includes light rail	2	Sales workers	324
Victoria	Bus and tram includes light rail	2	Technicians and trades workers	184
Victoria	Bus and two other methods excludes train	3		11
Victoria	Bus and two other methods excludes train	3	Clerical and administrative workers	91
Victoria	Bus and two other methods excludes train	3	Community and personal service workers	72
Victoria	Bus and two other methods excludes train	3	Labourers	85
Victoria	Bus and two other methods excludes train	3	Machinery operators and drivers	19
Victoria	Bus and two other methods excludes train	3	Managers	72
Victoria	Bus and two other methods excludes train	3	Professionals	181
Victoria	Bus and two other methods excludes train	3	Sales workers	115
Victoria	Bus and two other methods excludes train	3	Technicians and trades workers	73
Victoria	Car as driver	1		21936
Victoria	Car as driver	1	Clerical and administrative workers	211128
Victoria	Car as driver	1	Community and personal service workers	175689
Victoria	Car as driver	1	Labourers	153870
Victoria	Car as driver	1	Machinery operators and drivers	120460
Victoria	Car as driver	1	Managers	234273
Victoria	Car as driver	1	Professionals	355222
Victoria	Car as driver	1	Sales workers	151535
Victoria	Car as driver	1	Technicians and trades workers	265809
Victoria	Car as passenger	1		1623
Victoria	Car as passenger	1	Clerical and administrative workers	10738
Victoria	Car as passenger	1	Community and personal service workers	11976
Victoria	Car as passenger	1	Labourers	22678
Victoria	Car as passenger	1	Machinery operators and drivers	5191
Victoria	Car as passenger	1	Managers	8515
Victoria	Car as passenger	1	Professionals	13234
Victoria	Car as passenger	1	Sales workers	22094
Victoria	Car as passenger	1	Technicians and trades workers	13968
Victoria	Did not go to work			3406
Victoria	Did not go to work		Clerical and administrative workers	33034
Victoria	Did not go to work		Community and personal service workers	42857
Victoria	Did not go to work		Labourers	25333
Victoria	Did not go to work		Machinery operators and drivers	10285
Victoria	Did not go to work		Managers	19563
Victoria	Did not go to work		Professionals	55623
Victoria	Did not go to work		Sales workers	41790
Victoria	Did not go to work		Technicians and trades workers	20799
Victoria	Ferry	1		101
Victoria	Ferry	1	Clerical and administrative workers	35
Victoria	Ferry	1	Community and personal service workers	48
Victoria	Ferry	1	Labourers	58
Victoria	Ferry	1	Machinery operators and drivers	41
Victoria	Ferry	1	Managers	53
Victoria	Ferry	1	Professionals	81
Victoria	Ferry	1	Sales workers	53
Victoria	Ferry	1	Technicians and trades workers	117
Victoria	Method of travel not stated			8233
Victoria	Method of travel not stated		Clerical and administrative workers	1925
Victoria	Method of travel not stated		Community and personal service workers	2329
Victoria	Method of travel not stated		Labourers	2554
Victoria	Method of travel not stated		Machinery operators and drivers	1517
Victoria	Method of travel not stated		Managers	2210
Victoria	Method of travel not stated		Professionals	2736
Victoria	Method of travel not stated		Sales workers	2036
Victoria	Method of travel not stated		Technicians and trades workers	2824
Victoria	Motorbike scooter	1		177
Victoria	Motorbike scooter	1	Clerical and administrative workers	874
Victoria	Motorbike scooter	1	Community and personal service workers	863
Victoria	Motorbike scooter	1	Labourers	876
Victoria	Motorbike scooter	1	Machinery operators and drivers	784
Victoria	Motorbike scooter	1	Managers	1920
Victoria	Motorbike scooter	1	Professionals	2469
Victoria	Motorbike scooter	1	Sales workers	479
Victoria	Motorbike scooter	1	Technicians and trades workers	1446
Victoria	(Other)	1		645
Victoria	(Other)	1	Clerical and administrative workers	1544
Victoria	(Other)	1	Community and personal service workers	1328
Victoria	(Other)	1	Labourers	1126
Victoria	(Other)	1	Machinery operators and drivers	1308
Victoria	(Other)	1	Managers	2895
Victoria	(Other)	1	Professionals	2377
Victoria	(Other)	1	Sales workers	724
Victoria	(Other)	1	Technicians and trades workers	1992
Victoria	Other three methods	3		32
Victoria	Other three methods	3	Clerical and administrative workers	57
Victoria	Other three methods	3	Community and personal service workers	69
Victoria	Other three methods	3	Labourers	62
Victoria	Other three methods	3	Machinery operators and drivers	40
Victoria	Other three methods	3	Managers	248
Victoria	Other three methods	3	Professionals	291
Victoria	Other three methods	3	Sales workers	75
Victoria	Other three methods	3	Technicians and trades workers	98
Victoria	Other two methods	2		300
Victoria	Other two methods	2	Clerical and administrative workers	1753
Victoria	Other two methods	2	Community and personal service workers	1594
Victoria	Other two methods	2	Labourers	1789
Victoria	Other two methods	2	Machinery operators and drivers	1431
Victoria	Other two methods	2	Managers	2498
Victoria	Other two methods	2	Professionals	4345
Victoria	Other two methods	2	Sales workers	1346
Victoria	Other two methods	2	Technicians and trades workers	2521
Victoria	Taxi	1		91
Victoria	Taxi	1	Clerical and administrative workers	310
Victoria	Taxi	1	Community and personal service workers	448
Victoria	Taxi	1	Labourers	483
Victoria	Taxi	1	Machinery operators and drivers	1442
Victoria	Taxi	1	Managers	658
Victoria	Taxi	1	Professionals	842
Victoria	Taxi	1	Sales workers	272
Victoria	Taxi	1	Technicians and trades workers	264
Victoria	Train	1		3087
Victoria	Train	1	Clerical and administrative workers	33706
Victoria	Train	1	Community and personal service workers	10495
Victoria	Train	1	Labourers	8461
Victoria	Train	1	Machinery operators and drivers	1767
Victoria	Train	1	Managers	20780
Victoria	Train	1	Professionals	58529
Victoria	Train	1	Sales workers	10177
Victoria	Train	1	Technicians and trades workers	10677
Victoria	Train and bus	2		374
Victoria	Train and bus	2	Clerical and administrative workers	3720
Victoria	Train and bus	2	Community and personal service workers	2076
Victoria	Train and bus	2	Labourers	2265
Victoria	Train and bus	2	Machinery operators and drivers	645
Victoria	Train and bus	2	Managers	1781
Victoria	Train and bus	2	Professionals	6434
Victoria	Train and bus	2	Sales workers	2094
Victoria	Train and bus	2	Technicians and trades workers	1602
Victoria	Train and car as driver	2		414
Victoria	Train and car as driver	2	Clerical and administrative workers	6753
Victoria	Train and car as driver	2	Community and personal service workers	1350
Victoria	Train and car as driver	2	Labourers	730
Victoria	Train and car as driver	2	Machinery operators and drivers	323
Victoria	Train and car as driver	2	Managers	4287
Victoria	Train and car as driver	2	Professionals	11249
Victoria	Train and car as driver	2	Sales workers	1319
Victoria	Train and car as driver	2	Technicians and trades workers	1905
Victoria	Train and car as passenger	2		99
Victoria	Train and car as passenger	2	Clerical and administrative workers	1527
Victoria	Train and car as passenger	2	Community and personal service workers	378
Victoria	Train and car as passenger	2	Labourers	309
Victoria	Train and car as passenger	2	Machinery operators and drivers	76
Victoria	Train and car as passenger	2	Managers	665
Victoria	Train and car as passenger	2	Professionals	2185
Victoria	Train and car as passenger	2	Sales workers	446
Victoria	Train and car as passenger	2	Technicians and trades workers	352
Victoria	Train and ferry	2		3
Victoria	Train and ferry	2	Clerical and administrative workers	3
Victoria	Train and ferry	2	Community and personal service workers	3
Victoria	Train and ferry	2	Labourers	6
Victoria	Train and ferry	2	Managers	3
Victoria	Train and ferry	2	Professionals	6
Victoria	Train and other	2		47
Victoria	Train and other	2	Clerical and administrative workers	408
Victoria	Train and other	2	Community and personal service workers	247
Victoria	Train and other	2	Labourers	164
Victoria	Train and other	2	Machinery operators and drivers	99
Victoria	Train and other	2	Managers	414
Victoria	Train and other	2	Professionals	1463
Victoria	Train and other	2	Sales workers	136
Victoria	Train and other	2	Technicians and trades workers	298
Victoria	Train and tram includes light rail	2		225
Victoria	Train and tram includes light rail	2	Clerical and administrative workers	2870
Victoria	Train and tram includes light rail	2	Community and personal service workers	1309
Victoria	Train and tram includes light rail	2	Labourers	970
Victoria	Train and tram includes light rail	2	Machinery operators and drivers	129
Victoria	Train and tram includes light rail	2	Managers	1840
Victoria	Train and tram includes light rail	2	Professionals	6795
Victoria	Train and tram includes light rail	2	Sales workers	1138
Victoria	Train and tram includes light rail	2	Technicians and trades workers	1071
Victoria	Train and two other methods	3		332
Victoria	Train and two other methods	3	Clerical and administrative workers	3593
Victoria	Train and two other methods	3	Community and personal service workers	1618
Victoria	Train and two other methods	3	Labourers	1370
Victoria	Train and two other methods	3	Machinery operators and drivers	348
Victoria	Train and two other methods	3	Managers	1917
Victoria	Train and two other methods	3	Professionals	7171
Victoria	Train and two other methods	3	Sales workers	1459
Victoria	Train and two other methods	3	Technicians and trades workers	1491
Victoria	Tram includes light rail	1		701
Victoria	Tram includes light rail	1	Clerical and administrative workers	8538
Victoria	Tram includes light rail	1	Community and personal service workers	5287
Victoria	Tram includes light rail	1	Labourers	2486
Victoria	Tram includes light rail	1	Machinery operators and drivers	276
Victoria	Tram includes light rail	1	Managers	6755
Victoria	Tram includes light rail	1	Professionals	19663
Victoria	Tram includes light rail	1	Sales workers	4571
Victoria	Tram includes light rail	1	Technicians and trades workers	3034
Victoria	Truck	1		251
Victoria	Truck	1	Clerical and administrative workers	610
Victoria	Truck	1	Community and personal service workers	41
Victoria	Truck	1	Labourers	2741
Victoria	Truck	1	Machinery operators and drivers	6483
Victoria	Truck	1	Managers	2122
Victoria	Truck	1	Professionals	130
Victoria	Truck	1	Sales workers	352
Victoria	Truck	1	Technicians and trades workers	3937
Victoria	Walked only	1		1207
Victoria	Walked only	1	Clerical and administrative workers	8504
Victoria	Walked only	1	Community and personal service workers	12385
Victoria	Walked only	1	Labourers	8362
Victoria	Walked only	1	Machinery operators and drivers	2142
Victoria	Walked only	1	Managers	14465
Victoria	Walked only	1	Professionals	23029
Victoria	Walked only	1	Sales workers	9691
Victoria	Walked only	1	Technicians and trades workers	7846
Victoria	Worked at home			2375
Victoria	Worked at home		Clerical and administrative workers	24016
Victoria	Worked at home		Community and personal service workers	8665
Victoria	Worked at home		Labourers	2702
Victoria	Worked at home		Machinery operators and drivers	1167
Victoria	Worked at home		Managers	34460
Victoria	Worked at home		Professionals	38661
Victoria	Worked at home		Sales workers	5558
Victoria	Worked at home		Technicians and trades workers	9184
Queensland	Bicycle	1		319
Queensland	Bicycle	1	Clerical and administrative workers	1792
Queensland	Bicycle	1	Community and personal service workers	2329
Queensland	Bicycle	1	Labourers	2578
Queensland	Bicycle	1	Machinery operators and drivers	1077
Queensland	Bicycle	1	Managers	2278
Queensland	Bicycle	1	Professionals	7253
Queensland	Bicycle	1	Sales workers	1241
Queensland	Bicycle	1	Technicians and trades workers	2791
Queensland	Bus	1		934
Queensland	Bus	1	Clerical and administrative workers	11272
Queensland	Bus	1	Community and personal service workers	6015
Queensland	Bus	1	Labourers	6057
Queensland	Bus	1	Machinery operators and drivers	3842
Queensland	Bus	1	Managers	4791
Queensland	Bus	1	Professionals	16979
Queensland	Bus	1	Sales workers	6466
Queensland	Bus	1	Technicians and trades workers	4948
Queensland	Bus and car as driver	2		55
Queensland	Bus and car as driver	2	Clerical and administrative workers	1127
Queensland	Bus and car as driver	2	Community and personal service workers	368
Queensland	Bus and car as driver	2	Labourers	196
Queensland	Bus and car as driver	2	Machinery operators and drivers	337
Queensland	Bus and car as driver	2	Managers	458
Queensland	Bus and car as driver	2	Professionals	1569
Queensland	Bus and car as driver	2	Sales workers	307
Queensland	Bus and car as driver	2	Technicians and trades workers	381
Queensland	Bus and car as passenger	2		39
Queensland	Bus and car as passenger	2	Clerical and administrative workers	452
Queensland	Bus and car as passenger	2	Community and personal service workers	420
Queensland	Bus and car as passenger	2	Labourers	410
Queensland	Bus and car as passenger	2	Machinery operators and drivers	93
Queensland	Bus and car as passenger	2	Managers	165
Queensland	Bus and car as passenger	2	Professionals	587
Queensland	Bus and car as passenger	2	Sales workers	614
Queensland	Bus and car as passenger	2	Technicians and trades workers	153
Queensland	Bus and ferry	2		12
Queensland	Bus and ferry	2	Clerical and administrative workers	111
Queensland	Bus and ferry	2	Community and personal service workers	57
Queensland	Bus and ferry	2	Labourers	113
Queensland	Bus and ferry	2	Machinery operators and drivers	35
Queensland	Bus and ferry	2	Managers	80
Queensland	Bus and ferry	2	Professionals	238
Queensland	Bus and ferry	2	Sales workers	42
Queensland	Bus and ferry	2	Technicians and trades workers	133
Queensland	Bus and other	2		19
Queensland	Bus and other	2	Clerical and administrative workers	102
Queensland	Bus and other	2	Community and personal service workers	127
Queensland	Bus and other	2	Labourers	93
Queensland	Bus and other	2	Machinery operators and drivers	82
Queensland	Bus and other	2	Managers	79
Queensland	Bus and other	2	Professionals	322
Queensland	Bus and other	2	Sales workers	87
Queensland	Bus and other	2	Technicians and trades workers	99
Queensland	Bus and tram includes light rail	2		8
Queensland	Bus and tram includes light rail	2	Clerical and administrative workers	70
