STE_NAME16	IncomeTotPersonal.max	Occupation	PublicSector	LevelOfGovt	workers
New South Wales	34125	Community and personal service workers	0		42898
New South Wales	34125	Community and personal service workers	1	Local	433
New South Wales	34125	Community and personal service workers	1	National	402
New South Wales	34125	Community and personal service workers	1	State territory	3476
New South Wales	34125	Labourers			570
New South Wales	34125	Labourers	0		37485
New South Wales	34125	Labourers	1	Local	264
New South Wales	34125	Labourers	1	National	93
New South Wales	34125	Labourers	1	State territory	1083
New South Wales	34125	Machinery operators and drivers			269
New South Wales	34125	Machinery operators and drivers	0		15278
New South Wales	34125	Machinery operators and drivers	1	Local	92
New South Wales	34125	Machinery operators and drivers	1	National	91
New South Wales	34125	Machinery operators and drivers	1	State territory	204
New South Wales	34125	Managers			116
New South Wales	34125	Managers	0		18111
New South Wales	34125	Managers	1	Local	78
New South Wales	34125	Managers	1	National	107
New South Wales	34125	Managers	1	State territory	179
New South Wales	34125	Professionals			199
New South Wales	34125	Professionals	0		23092
New South Wales	34125	Professionals	1	Local	245
New South Wales	34125	Professionals	1	National	1815
New South Wales	34125	Professionals	1	State territory	4131
New South Wales	34125	Sales workers			208
New South Wales	34125	Sales workers	0		36149
New South Wales	34125	Sales workers	1	Local	20
New South Wales	34125	Sales workers	1	National	226
New South Wales	34125	Sales workers	1	State territory	100
New South Wales	34125	Technicians and trades workers			449
New South Wales	34125	Technicians and trades workers	0		37281
New South Wales	34125	Technicians and trades workers	1	Local	243
New South Wales	34125	Technicians and trades workers	1	National	186
New South Wales	34125	Technicians and trades workers	1	State territory	411
New South Wales	42000				1943
New South Wales	42000		0		3349
New South Wales	42000		1	Local	71
New South Wales	42000		1	National	77
New South Wales	42000		1	State territory	141
New South Wales	42000	Clerical and administrative workers			291
New South Wales	42000	Clerical and administrative workers	0		48482
New South Wales	42000	Clerical and administrative workers	1	Local	986
New South Wales	42000	Clerical and administrative workers	1	National	2367
New South Wales	42000	Clerical and administrative workers	1	State territory	4391
New South Wales	42000	Community and personal service workers			314
New South Wales	42000	Community and personal service workers	0		45296
New South Wales	42000	Community and personal service workers	1	Local	484
New South Wales	42000	Community and personal service workers	1	National	1032
New South Wales	42000	Community and personal service workers	1	State territory	4511
New South Wales	42000	Labourers			622
New South Wales	42000	Labourers	0		44550
New South Wales	42000	Labourers	1	Local	791
New South Wales	42000	Labourers	1	National	112
New South Wales	42000	Labourers	1	State territory	1609
New South Wales	42000	Machinery operators and drivers			354
New South Wales	42000	Machinery operators and drivers	0		26974
New South Wales	42000	Machinery operators and drivers	1	Local	431
New South Wales	42000	Machinery operators and drivers	1	National	166
New South Wales	42000	Machinery operators and drivers	1	State territory	375
New South Wales	42000	Managers			159
New South Wales	42000	Managers	0		25165
New South Wales	42000	Managers	1	Local	107
New South Wales	42000	Managers	1	National	205
New South Wales	42000	Managers	1	State territory	239
New South Wales	42000	Professionals			250
New South Wales	42000	Professionals	0		31588
New South Wales	42000	Professionals	1	Local	404
New South Wales	42000	Professionals	1	National	1623
New South Wales	42000	Professionals	1	State territory	6771
New South Wales	42000	Sales workers			175
New South Wales	42000	Sales workers	0		37411
New South Wales	42000	Sales workers	1	Local	23
New South Wales	42000	Sales workers	1	National	233
New South Wales	42000	Sales workers	1	State territory	147
New South Wales	42000	Technicians and trades workers			525
New South Wales	42000	Technicians and trades workers	0		47185
New South Wales	42000	Technicians and trades workers	1	Local	433
New South Wales	42000	Technicians and trades workers	1	National	305
New South Wales	42000	Technicians and trades workers	1	State territory	670
New South Wales	52500				2013
New South Wales	52500		0		4197
New South Wales	52500		1	Local	132
New South Wales	52500		1	National	137
New South Wales	52500		1	State territory	265
New South Wales	52500	Clerical and administrative workers			265
New South Wales	52500	Clerical and administrative workers	0		62595
New South Wales	52500	Clerical and administrative workers	1	Local	1759
New South Wales	52500	Clerical and administrative workers	1	National	4282
New South Wales	52500	Clerical and administrative workers	1	State territory	7341
New South Wales	52500	Community and personal service workers			274
New South Wales	52500	Community and personal service workers	0		39777
New South Wales	52500	Community and personal service workers	1	Local	586
New South Wales	52500	Community and personal service workers	1	National	797
New South Wales	52500	Community and personal service workers	1	State territory	6112
New South Wales	52500	Labourers			413
New South Wales	52500	Labourers	0		39730
New South Wales	52500	Labourers	1	Local	1620
New South Wales	52500	Labourers	1	National	109
New South Wales	52500	Labourers	1	State territory	2495
New South Wales	52500	Machinery operators and drivers			376
New South Wales	52500	Machinery operators and drivers	0		35960
New South Wales	52500	Machinery operators and drivers	1	Local	1389
New South Wales	52500	Machinery operators and drivers	1	National	318
New South Wales	52500	Machinery operators and drivers	1	State territory	870
New South Wales	52500	Managers			195
New South Wales	52500	Managers	0		37856
New South Wales	52500	Managers	1	Local	200
New South Wales	52500	Managers	1	National	335
New South Wales	52500	Managers	1	State territory	476
New South Wales	52500	Professionals			325
New South Wales	52500	Professionals	0		47378
New South Wales	52500	Professionals	1	Local	721
New South Wales	52500	Professionals	1	National	2140
New South Wales	52500	Professionals	1	State territory	10783
New South Wales	52500	Sales workers			135
New South Wales	52500	Sales workers	0		32434
New South Wales	52500	Sales workers	1	Local	39
New South Wales	52500	Sales workers	1	National	325
New South Wales	52500	Sales workers	1	State territory	255
New South Wales	52500	Technicians and trades workers			513
New South Wales	52500	Technicians and trades workers	0		61657
New South Wales	52500	Technicians and trades workers	1	Local	1041
New South Wales	52500	Technicians and trades workers	1	National	566
New South Wales	52500	Technicians and trades workers	1	State territory	1317
New South Wales	65625				1667
New South Wales	65625		0		4419
New South Wales	65625		1	Local	161
New South Wales	65625		1	National	300
New South Wales	65625		1	State territory	366
New South Wales	65625	Clerical and administrative workers			258
New South Wales	65625	Clerical and administrative workers	0		63375
New South Wales	65625	Clerical and administrative workers	1	Local	2859
New South Wales	65625	Clerical and administrative workers	1	National	7272
New South Wales	65625	Clerical and administrative workers	1	State territory	9768
New South Wales	65625	Community and personal service workers			167
New South Wales	65625	Community and personal service workers	0		26877
New South Wales	65625	Community and personal service workers	1	Local	538
New South Wales	65625	Community and personal service workers	1	National	1160
New South Wales	65625	Community and personal service workers	1	State territory	6212
New South Wales	65625	Labourers			233
New South Wales	65625	Labourers	0		26104
New South Wales	65625	Labourers	1	Local	1364
New South Wales	65625	Labourers	1	National	111
New South Wales	65625	Labourers	1	State territory	1409
New South Wales	65625	Machinery operators and drivers			248
New South Wales	65625	Machinery operators and drivers	0		32181
New South Wales	65625	Machinery operators and drivers	1	Local	1629
New South Wales	65625	Machinery operators and drivers	1	National	403
New South Wales	65625	Machinery operators and drivers	1	State territory	1292
New South Wales	65625	Managers			199
New South Wales	65625	Managers	0		48595
New South Wales	65625	Managers	1	Local	434
New South Wales	65625	Managers	1	National	674
New South Wales	65625	Managers	1	State territory	979
New South Wales	65625	Professionals			448
New South Wales	65625	Professionals	0		71500
New South Wales	65625	Professionals	1	Local	1327
New South Wales	65625	Professionals	1	National	3398
New South Wales	65625	Professionals	1	State territory	21342
New South Wales	65625	Sales workers			104
New South Wales	65625	Sales workers	0		24076
New South Wales	65625	Sales workers	1	Local	31
New South Wales	65625	Sales workers	1	National	252
New South Wales	65625	Sales workers	1	State territory	462
New South Wales	65625	Technicians and trades workers			440
New South Wales	65625	Technicians and trades workers	0		66387
New South Wales	65625	Technicians and trades workers	1	Local	1837
New South Wales	65625	Technicians and trades workers	1	National	1387
New South Wales	65625	Technicians and trades workers	1	State territory	1781
New South Wales	78750				873
New South Wales	78750		0		3015
New South Wales	78750		1	Local	101
New South Wales	78750		1	National	299
New South Wales	78750		1	State territory	311
New South Wales	78750	Clerical and administrative workers			151
New South Wales	78750	Clerical and administrative workers	0		36596
New South Wales	78750	Clerical and administrative workers	1	Local	1740
New South Wales	78750	Clerical and administrative workers	1	National	6878
New South Wales	78750	Clerical and administrative workers	1	State territory	6355
New South Wales	78750	Community and personal service workers			63
New South Wales	78750	Community and personal service workers	0		11211
New South Wales	78750	Community and personal service workers	1	Local	254
New South Wales	78750	Community and personal service workers	1	National	1292
New South Wales	78750	Community and personal service workers	1	State territory	5271
New South Wales	78750	Labourers			108
New South Wales	78750	Labourers	0		12357
New South Wales	78750	Labourers	1	Local	533
New South Wales	78750	Labourers	1	National	78
New South Wales	78750	Labourers	1	State territory	718
New South Wales	78750	Machinery operators and drivers			111
New South Wales	78750	Machinery operators and drivers	0		18972
New South Wales	78750	Machinery operators and drivers	1	Local	649
New South Wales	78750	Machinery operators and drivers	1	National	253
New South Wales	78750	Machinery operators and drivers	1	State territory	1334
New South Wales	78750	Managers			114
New South Wales	78750	Managers	0		38160
New South Wales	78750	Managers	1	Local	580
New South Wales	78750	Managers	1	National	1162
New South Wales	78750	Managers	1	State territory	1165
New South Wales	78750	Professionals			324
New South Wales	78750	Professionals	0		66239
New South Wales	78750	Professionals	1	Local	1808
New South Wales	78750	Professionals	1	National	4597
New South Wales	78750	Professionals	1	State territory	23952
New South Wales	78750	Sales workers			62
New South Wales	78750	Sales workers	0		14236
New South Wales	78750	Sales workers	1	Local	23
New South Wales	78750	Sales workers	1	National	110
New South Wales	78750	Sales workers	1	State territory	400
New South Wales	78750	Technicians and trades workers			224
New South Wales	78750	Technicians and trades workers	0		41818
New South Wales	78750	Technicians and trades workers	1	Local	1285
New South Wales	78750	Technicians and trades workers	1	National	1932
New South Wales	78750	Technicians and trades workers	1	State territory	1699
New South Wales	91875				651
New South Wales	91875		0		2451
New South Wales	91875		1	Local	107
New South Wales	91875		1	National	270
New South Wales	91875		1	State territory	328
New South Wales	91875	Clerical and administrative workers			81
New South Wales	91875	Clerical and administrative workers	0		24413
New South Wales	91875	Clerical and administrative workers	1	Local	908
New South Wales	91875	Clerical and administrative workers	1	National	3954
New South Wales	91875	Clerical and administrative workers	1	State territory	4505
New South Wales	91875	Community and personal service workers			54
New South Wales	91875	Community and personal service workers	0		5846
New South Wales	91875	Community and personal service workers	1	Local	175
New South Wales	91875	Community and personal service workers	1	National	1138
New South Wales	91875	Community and personal service workers	1	State territory	6665
New South Wales	91875	Labourers			57
New South Wales	91875	Labourers	0		7411
New South Wales	91875	Labourers	1	Local	227
New South Wales	91875	Labourers	1	National	49
New South Wales	91875	Labourers	1	State territory	701
New South Wales	91875	Machinery operators and drivers			84
New South Wales	91875	Machinery operators and drivers	0		13244
New South Wales	91875	Machinery operators and drivers	1	Local	267
New South Wales	91875	Machinery operators and drivers	1	National	151
New South Wales	91875	Machinery operators and drivers	1	State territory	1166
New South Wales	91875	Managers			123
New South Wales	91875	Managers	0		37910
New South Wales	91875	Managers	1	Local	676
New South Wales	91875	Managers	1	National	1853
New South Wales	91875	Managers	1	State territory	1860
New South Wales	91875	Professionals			280
New South Wales	91875	Professionals	0		68450
New South Wales	91875	Professionals	1	Local	2038
New South Wales	91875	Professionals	1	National	6232
New South Wales	91875	Professionals	1	State territory	26253
New South Wales	91875	Sales workers			31
New South Wales	91875	Sales workers	0		10536
New South Wales	91875	Sales workers	1	Local	14
New South Wales	91875	Sales workers	1	National	57
New South Wales	91875	Sales workers	1	State territory	244
New South Wales	91875	Technicians and trades workers			145
New South Wales	91875	Technicians and trades workers	0		31056
New South Wales	91875	Technicians and trades workers	1	Local	986
New South Wales	91875	Technicians and trades workers	1	National	1734
New South Wales	91875	Technicians and trades workers	1	State territory	1722
New South Wales	105000				407
New South Wales	105000		0		1519
New South Wales	105000		1	Local	50
New South Wales	105000		1	National	158
New South Wales	105000		1	State territory	283
New South Wales	105000	Clerical and administrative workers			44
New South Wales	105000	Clerical and administrative workers	0		12211
New South Wales	105000	Clerical and administrative workers	1	Local	430
New South Wales	105000	Clerical and administrative workers	1	National	1758
New South Wales	105000	Clerical and administrative workers	1	State territory	2692
New South Wales	105000	Community and personal service workers			19
New South Wales	105000	Community and personal service workers	0		2714
New South Wales	105000	Community and personal service workers	1	Local	86
New South Wales	105000	Community and personal service workers	1	National	709
New South Wales	105000	Community and personal service workers	1	State territory	6240
New South Wales	105000	Labourers			27
New South Wales	105000	Labourers	0		3861
New South Wales	105000	Labourers	1	Local	74
New South Wales	105000	Labourers	1	National	26
New South Wales	105000	Labourers	1	State territory	480
New South Wales	105000	Machinery operators and drivers			36
New South Wales	105000	Machinery operators and drivers	0		8343
New South Wales	105000	Machinery operators and drivers	1	Local	79
New South Wales	105000	Machinery operators and drivers	1	National	73
New South Wales	105000	Machinery operators and drivers	1	State territory	803
New South Wales	105000	Managers			103
New South Wales	105000	Managers	0		28814
New South Wales	105000	Managers	1	Local	676
New South Wales	105000	Managers	1	National	1864
New South Wales	105000	Managers	1	State territory	2882
New South Wales	105000	Professionals			213
New South Wales	105000	Professionals	0		55027
New South Wales	105000	Professionals	1	Local	1447
New South Wales	105000	Professionals	1	National	5360
New South Wales	105000	Professionals	1	State territory	26929
New South Wales	105000	Sales workers			24
New South Wales	105000	Sales workers	0		6405
New South Wales	105000	Sales workers	1	Local	6
New South Wales	105000	Sales workers	1	National	37
New South Wales	105000	Sales workers	1	State territory	109
New South Wales	105000	Technicians and trades workers			58
New South Wales	105000	Technicians and trades workers	0		18704
New South Wales	105000	Technicians and trades workers	1	Local	588
New South Wales	105000	Technicians and trades workers	1	National	958
New South Wales	105000	Technicians and trades workers	1	State territory	1287
New South Wales	157500				495
New South Wales	157500		0		2250
New South Wales	157500		1	Local	47
New South Wales	157500		1	National	188
New South Wales	157500		1	State territory	337
New South Wales	157500	Clerical and administrative workers			39
New South Wales	157500	Clerical and administrative workers	0		16357
New South Wales	157500	Clerical and administrative workers	1	Local	355
New South Wales	157500	Clerical and administrative workers	1	National	1704
New South Wales	157500	Clerical and administrative workers	1	State territory	3197
New South Wales	157500	Community and personal service workers			19
New South Wales	157500	Community and personal service workers	0		2624
New South Wales	157500	Community and personal service workers	1	Local	51
New South Wales	157500	Community and personal service workers	1	National	792
New South Wales	157500	Community and personal service workers	1	State territory	6500
New South Wales	157500	Labourers			32
New South Wales	157500	Labourers	0		3595
New South Wales	157500	Labourers	1	Local	45
New South Wales	157500	Labourers	1	National	23
New South Wales	157500	Labourers	1	State territory	284
New South Wales	157500	Machinery operators and drivers			39
New South Wales	157500	Machinery operators and drivers	0		10873
New South Wales	157500	Machinery operators and drivers	1	Local	33
New South Wales	157500	Machinery operators and drivers	1	National	80
New South Wales	157500	Machinery operators and drivers	1	State territory	800
New South Wales	157500	Managers			148
New South Wales	157500	Managers	0		66206
New South Wales	157500	Managers	1	Local	1419
New South Wales	157500	Managers	1	National	4489
New South Wales	157500	Managers	1	State territory	10600
New South Wales	157500	Professionals			242
New South Wales	157500	Professionals	0		94485
New South Wales	157500	Professionals	1	Local	1338
New South Wales	157500	Professionals	1	National	9967
New South Wales	157500	Professionals	1	State territory	23761
New South Wales	157500	Sales workers			30
New South Wales	157500	Sales workers	0		9895
New South Wales	157500	Sales workers	1	Local	9
New South Wales	157500	Sales workers	1	National	65
New South Wales	157500	Sales workers	1	State territory	120
New South Wales	157500	Technicians and trades workers			61
New South Wales	157500	Technicians and trades workers	0		22821
New South Wales	157500	Technicians and trades workers	1	Local	407
New South Wales	157500	Technicians and trades workers	1	National	905
New South Wales	157500	Technicians and trades workers	1	State territory	1565
New South Wales	Inf				480
New South Wales	Inf		0		2161
New South Wales	Inf		1	Local	8
New South Wales	Inf		1	National	49
New South Wales	Inf		1	State territory	100
New South Wales	Inf	Clerical and administrative workers			35
New South Wales	Inf	Clerical and administrative workers	0		10336
New South Wales	Inf	Clerical and administrative workers	1	Local	78
New South Wales	Inf	Clerical and administrative workers	1	National	415
New South Wales	Inf	Clerical and administrative workers	1	State territory	833
New South Wales	Inf	Community and personal service workers			19
New South Wales	Inf	Community and personal service workers	0		1386
New South Wales	Inf	Community and personal service workers	1	Local	20
New South Wales	Inf	Community and personal service workers	1	National	98
New South Wales	Inf	Community and personal service workers	1	State territory	611
New South Wales	Inf	Labourers			32
New South Wales	Inf	Labourers	0		1371
New South Wales	Inf	Labourers	1	Local	14
New South Wales	Inf	Labourers	1	National	4
New South Wales	Inf	Labourers	1	State territory	52
New South Wales	Inf	Machinery operators and drivers			25
New South Wales	Inf	Machinery operators and drivers	0		2034
New South Wales	Inf	Machinery operators and drivers	1	Local	16
New South Wales	Inf	Machinery operators and drivers	1	National	12
New South Wales	Inf	Machinery operators and drivers	1	State territory	60
