STE_NAME16	Occupation	OccupationSubtype	Sex	workers
Victoria	Technicians and trades workers	Other technicians and trades workers	F	19158
Victoria	Technicians and trades workers	Other technicians and trades workers	M	24482
Victoria	Technicians and trades workers	Skilled animal and horticultural workers	F	8182
Victoria	Technicians and trades workers	Skilled animal and horticultural workers	M	18105
Victoria	Technicians and trades workers	Technicians and trades workers nfd	F	284
Victoria	Technicians and trades workers	Technicians and trades workers nfd	M	3810
Queensland			F	13634
Queensland			M	20850
Queensland	Clerical and administrative workers	Clerical and administrative workers nfd	F	447
Queensland	Clerical and administrative workers	Clerical and administrative workers nfd	M	184
Queensland	Clerical and administrative workers	Clerical and office support workers	F	6820
Queensland	Clerical and administrative workers	Clerical and office support workers	M	7838
Queensland	Clerical and administrative workers	General clerical workers	F	49500
Queensland	Clerical and administrative workers	General clerical workers	M	7412
Queensland	Clerical and administrative workers	Inquiry clerks and receptionists	F	43219
Queensland	Clerical and administrative workers	Inquiry clerks and receptionists	M	6176
Queensland	Clerical and administrative workers	Numerical clerks	F	48598
Queensland	Clerical and administrative workers	Numerical clerks	M	10060
Queensland	Clerical and administrative workers	Office managers and program administrators	F	39864
Queensland	Clerical and administrative workers	Office managers and program administrators	M	11909
Queensland	Clerical and administrative workers	Other clerical and administrative workers	F	22927
Queensland	Clerical and administrative workers	Other clerical and administrative workers	M	18828
Queensland	Clerical and administrative workers	Personal assistants and secretaries	F	16923
Queensland	Clerical and administrative workers	Personal assistants and secretaries	M	453
Queensland	Community and personal service workers	Carers and aides	F	88633
Queensland	Community and personal service workers	Carers and aides	M	12844
Queensland	Community and personal service workers	Community and personal service workers nfd	F	82
Queensland	Community and personal service workers	Community and personal service workers nfd	M	40
Queensland	Community and personal service workers	Health and welfare support workers	F	19197
Queensland	Community and personal service workers	Health and welfare support workers	M	6999
Queensland	Community and personal service workers	Hospitality workers	F	36395
Queensland	Community and personal service workers	Hospitality workers	M	13980
Queensland	Community and personal service workers	Protective service workers	F	5897
Queensland	Community and personal service workers	Protective service workers	M	24748
Queensland	Community and personal service workers	Sports and personal service workers	F	21276
Queensland	Community and personal service workers	Sports and personal service workers	M	11925
Queensland	Labourers	Cleaners and laundry workers	F	36117
Queensland	Labourers	Cleaners and laundry workers	M	21561
Queensland	Labourers	Construction and mining labourers	F	772
Queensland	Labourers	Construction and mining labourers	M	30247
Queensland	Labourers	Factory process workers	F	12529
Queensland	Labourers	Factory process workers	M	22153
Queensland	Labourers	Farm forestry and garden workers	F	6201
Queensland	Labourers	Farm forestry and garden workers	M	17750
Queensland	Labourers	Food preparation assistants	F	15519
Queensland	Labourers	Food preparation assistants	M	15950
Queensland	Labourers	Labourers nfd	F	785
Queensland	Labourers	Labourers nfd	M	6113
Queensland	Labourers	Other labourers	F	9979
Queensland	Labourers	Other labourers	M	29398
Queensland	Machinery operators and drivers	Machine and stationary plant operators	F	4518
Queensland	Machinery operators and drivers	Machine and stationary plant operators	M	32263
Queensland	Machinery operators and drivers	Machinery operators and drivers nfd	F	164
Queensland	Machinery operators and drivers	Machinery operators and drivers nfd	M	2473
Queensland	Machinery operators and drivers	Mobile plant operators	F	1084
Queensland	Machinery operators and drivers	Mobile plant operators	M	22794
Queensland	Machinery operators and drivers	Road and rail drivers	F	4702
Queensland	Machinery operators and drivers	Road and rail drivers	M	57481
Queensland	Machinery operators and drivers	Storepersons	F	3969
Queensland	Machinery operators and drivers	Storepersons	M	17084
Queensland	Managers	Chief executives general managers and legislators	F	4999
Queensland	Managers	Chief executives general managers and legislators	M	14549
Queensland	Managers	Farmers and farm managers	F	8595
Queensland	Managers	Farmers and farm managers	M	20072
Queensland	Managers	Hospitality retail and service managers	F	42284
Queensland	Managers	Hospitality retail and service managers	M	43166
Queensland	Managers	Managers nfd	F	2296
Queensland	Managers	Managers nfd	M	4816
Queensland	Managers	Specialist managers	F	40179
Queensland	Managers	Specialist managers	M	76518
Queensland	Professionals	Arts and media professionals	F	6228
Queensland	Professionals	Arts and media professionals	M	6299
Queensland	Professionals	Business human resource and marketing professionals	F	47778
Queensland	Professionals	Business human resource and marketing professionals	M	43052
Queensland	Professionals	Design engineering science and transport professionals	F	17116
Queensland	Professionals	Design engineering science and transport professionals	M	41463
Queensland	Professionals	Education professionals	F	68667
Queensland	Professionals	Education professionals	M	26123
Queensland	Professionals	Health professionals	F	74671
Queensland	Professionals	Health professionals	M	26688
Queensland	Professionals	Information and Communication Technology ICT professionals	F	4573
Queensland	Professionals	Information and Communication Technology ICT professionals	M	21427
Queensland	Professionals	Legal social and welfare professionals	F	20525
Queensland	Professionals	Legal social and welfare professionals	M	12174
Queensland	Professionals	Professionals nfd	F	3320
Queensland	Professionals	Professionals nfd	M	2958
Queensland	Sales workers	Sales assistants and salespersons	F	88524
Queensland	Sales workers	Sales assistants and salespersons	M	47945
Queensland	Sales workers	Sales representatives and agents	F	17731
Queensland	Sales workers	Sales representatives and agents	M	21508
Queensland	Sales workers	Sales support workers	F	23217
Queensland	Sales workers	Sales support workers	M	8157
Queensland	Sales workers	Sales workers nfd	F	264
Queensland	Sales workers	Sales workers nfd	M	221
Queensland	Technicians and trades workers	Automotive and engineering trades workers	F	1132
Queensland	Technicians and trades workers	Automotive and engineering trades workers	M	67603
Queensland	Technicians and trades workers	Construction trades workers	F	1041
Queensland	Technicians and trades workers	Construction trades workers	M	61183
Queensland	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	1038
Queensland	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	40221
Queensland	Technicians and trades workers	Engineering ICT and science technicians	F	10499
Queensland	Technicians and trades workers	Engineering ICT and science technicians	M	32595
Queensland	Technicians and trades workers	Food trades workers	F	10330
Queensland	Technicians and trades workers	Food trades workers	M	21602
Queensland	Technicians and trades workers	Other technicians and trades workers	F	15349
Queensland	Technicians and trades workers	Other technicians and trades workers	M	17112
Queensland	Technicians and trades workers	Skilled animal and horticultural workers	F	6382
Queensland	Technicians and trades workers	Skilled animal and horticultural workers	M	13939
Queensland	Technicians and trades workers	Technicians and trades workers nfd	F	188
Queensland	Technicians and trades workers	Technicians and trades workers nfd	M	3258
South Australia			F	4581
South Australia			M	6879
South Australia	Clerical and administrative workers	Clerical and administrative workers nfd	F	137
South Australia	Clerical and administrative workers	Clerical and administrative workers nfd	M	82
South Australia	Clerical and administrative workers	Clerical and office support workers	F	2364
South Australia	Clerical and administrative workers	Clerical and office support workers	M	3518
South Australia	Clerical and administrative workers	General clerical workers	F	16114
South Australia	Clerical and administrative workers	General clerical workers	M	2769
South Australia	Clerical and administrative workers	Inquiry clerks and receptionists	F	14611
South Australia	Clerical and administrative workers	Inquiry clerks and receptionists	M	2367
South Australia	Clerical and administrative workers	Numerical clerks	F	17170
South Australia	Clerical and administrative workers	Numerical clerks	M	4086
South Australia	Clerical and administrative workers	Office managers and program administrators	F	12604
South Australia	Clerical and administrative workers	Office managers and program administrators	M	4033
South Australia	Clerical and administrative workers	Other clerical and administrative workers	F	7123
South Australia	Clerical and administrative workers	Other clerical and administrative workers	M	6353
South Australia	Clerical and administrative workers	Personal assistants and secretaries	F	5848
South Australia	Clerical and administrative workers	Personal assistants and secretaries	M	170
South Australia	Community and personal service workers	Carers and aides	F	32293
South Australia	Community and personal service workers	Carers and aides	M	5791
South Australia	Community and personal service workers	Community and personal service workers nfd	F	49
South Australia	Community and personal service workers	Community and personal service workers nfd	M	11
South Australia	Community and personal service workers	Health and welfare support workers	F	10481
South Australia	Community and personal service workers	Health and welfare support workers	M	3148
South Australia	Community and personal service workers	Hospitality workers	F	12019
South Australia	Community and personal service workers	Hospitality workers	M	4925
South Australia	Community and personal service workers	Protective service workers	F	2092
South Australia	Community and personal service workers	Protective service workers	M	8397
South Australia	Community and personal service workers	Sports and personal service workers	F	6585
South Australia	Community and personal service workers	Sports and personal service workers	M	3590
South Australia	Labourers	Cleaners and laundry workers	F	12350
South Australia	Labourers	Cleaners and laundry workers	M	7086
South Australia	Labourers	Construction and mining labourers	F	199
South Australia	Labourers	Construction and mining labourers	M	8040
South Australia	Labourers	Factory process workers	F	5770
South Australia	Labourers	Factory process workers	M	12239
South Australia	Labourers	Farm forestry and garden workers	F	2150
South Australia	Labourers	Farm forestry and garden workers	M	7429
South Australia	Labourers	Food preparation assistants	F	6371
South Australia	Labourers	Food preparation assistants	M	5881
South Australia	Labourers	Labourers nfd	F	187
South Australia	Labourers	Labourers nfd	M	1243
South Australia	Labourers	Other labourers	F	2515
South Australia	Labourers	Other labourers	M	11057
South Australia	Machinery operators and drivers	Machine and stationary plant operators	F	1390
South Australia	Machinery operators and drivers	Machine and stationary plant operators	M	8878
South Australia	Machinery operators and drivers	Machinery operators and drivers nfd	F	42
South Australia	Machinery operators and drivers	Machinery operators and drivers nfd	M	717
South Australia	Machinery operators and drivers	Mobile plant operators	F	234
South Australia	Machinery operators and drivers	Mobile plant operators	M	7642
South Australia	Machinery operators and drivers	Road and rail drivers	F	858
South Australia	Machinery operators and drivers	Road and rail drivers	M	18162
South Australia	Machinery operators and drivers	Storepersons	F	847
South Australia	Machinery operators and drivers	Storepersons	M	6386
South Australia	Managers	Chief executives general managers and legislators	F	1850
South Australia	Managers	Chief executives general managers and legislators	M	5435
South Australia	Managers	Farmers and farm managers	F	4066
South Australia	Managers	Farmers and farm managers	M	12206
South Australia	Managers	Hospitality retail and service managers	F	13515
South Australia	Managers	Hospitality retail and service managers	M	15334
South Australia	Managers	Managers nfd	F	583
South Australia	Managers	Managers nfd	M	1285
South Australia	Managers	Specialist managers	F	13678
South Australia	Managers	Specialist managers	M	25708
South Australia	Professionals	Arts and media professionals	F	1922
South Australia	Professionals	Arts and media professionals	M	2255
South Australia	Professionals	Business human resource and marketing professionals	F	15750
South Australia	Professionals	Business human resource and marketing professionals	M	15213
South Australia	Professionals	Design engineering science and transport professionals	F	5625
South Australia	Professionals	Design engineering science and transport professionals	M	13440
South Australia	Professionals	Education professionals	F	23693
South Australia	Professionals	Education professionals	M	10251
South Australia	Professionals	Health professionals	F	28564
South Australia	Professionals	Health professionals	M	9948
South Australia	Professionals	Information and Communication Technology ICT professionals	F	1637
South Australia	Professionals	Information and Communication Technology ICT professionals	M	7984
South Australia	Professionals	Legal social and welfare professionals	F	7738
South Australia	Professionals	Legal social and welfare professionals	M	4345
South Australia	Professionals	Professionals nfd	F	1043
South Australia	Professionals	Professionals nfd	M	965
South Australia	Sales workers	Sales assistants and salespersons	F	31536
South Australia	Sales workers	Sales assistants and salespersons	M	17773
South Australia	Sales workers	Sales representatives and agents	F	4156
South Australia	Sales workers	Sales representatives and agents	M	6287
South Australia	Sales workers	Sales support workers	F	8681
South Australia	Sales workers	Sales support workers	M	2992
South Australia	Sales workers	Sales workers nfd	F	86
South Australia	Sales workers	Sales workers nfd	M	82
South Australia	Technicians and trades workers	Automotive and engineering trades workers	F	297
South Australia	Technicians and trades workers	Automotive and engineering trades workers	M	20786
South Australia	Technicians and trades workers	Construction trades workers	F	278
South Australia	Technicians and trades workers	Construction trades workers	M	18081
South Australia	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	256
South Australia	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	12512
South Australia	Technicians and trades workers	Engineering ICT and science technicians	F	3678
South Australia	Technicians and trades workers	Engineering ICT and science technicians	M	10133
South Australia	Technicians and trades workers	Food trades workers	F	4111
South Australia	Technicians and trades workers	Food trades workers	M	7324
South Australia	Technicians and trades workers	Other technicians and trades workers	F	5645
South Australia	Technicians and trades workers	Other technicians and trades workers	M	6585
South Australia	Technicians and trades workers	Skilled animal and horticultural workers	F	2341
South Australia	Technicians and trades workers	Skilled animal and horticultural workers	M	6107
South Australia	Technicians and trades workers	Technicians and trades workers nfd	F	71
South Australia	Technicians and trades workers	Technicians and trades workers nfd	M	1140
Western Australia			F	7200
Western Australia			M	12132
Western Australia	Clerical and administrative workers	Clerical and administrative workers nfd	F	207
Western Australia	Clerical and administrative workers	Clerical and administrative workers nfd	M	79
Western Australia	Clerical and administrative workers	Clerical and office support workers	F	4115
Western Australia	Clerical and administrative workers	Clerical and office support workers	M	4569
Western Australia	Clerical and administrative workers	General clerical workers	F	24112
Western Australia	Clerical and administrative workers	General clerical workers	M	3466
Western Australia	Clerical and administrative workers	Inquiry clerks and receptionists	F	22188
Western Australia	Clerical and administrative workers	Inquiry clerks and receptionists	M	2549
Western Australia	Clerical and administrative workers	Numerical clerks	F	27688
Western Australia	Clerical and administrative workers	Numerical clerks	M	4981
Western Australia	Clerical and administrative workers	Office managers and program administrators	F	18459
Western Australia	Clerical and administrative workers	Office managers and program administrators	M	6919
Western Australia	Clerical and administrative workers	Other clerical and administrative workers	F	11356
Western Australia	Clerical and administrative workers	Other clerical and administrative workers	M	10451
Western Australia	Clerical and administrative workers	Personal assistants and secretaries	F	9148
Western Australia	Clerical and administrative workers	Personal assistants and secretaries	M	244
Western Australia	Community and personal service workers	Carers and aides	F	45527
Western Australia	Community and personal service workers	Carers and aides	M	5688
Western Australia	Community and personal service workers	Community and personal service workers nfd	F	70
Western Australia	Community and personal service workers	Community and personal service workers nfd	M	14
Western Australia	Community and personal service workers	Health and welfare support workers	F	9841
Western Australia	Community and personal service workers	Health and welfare support workers	M	3016
Western Australia	Community and personal service workers	Hospitality workers	F	17617
Western Australia	Community and personal service workers	Hospitality workers	M	7142
Western Australia	Community and personal service workers	Protective service workers	F	3262
Western Australia	Community and personal service workers	Protective service workers	M	13008
Western Australia	Community and personal service workers	Sports and personal service workers	F	11999
Western Australia	Community and personal service workers	Sports and personal service workers	M	5643
Western Australia	Labourers	Cleaners and laundry workers	F	19442
Western Australia	Labourers	Cleaners and laundry workers	M	10601
Western Australia	Labourers	Construction and mining labourers	F	475
Western Australia	Labourers	Construction and mining labourers	M	17619
Western Australia	Labourers	Factory process workers	F	4586
Western Australia	Labourers	Factory process workers	M	8421
Western Australia	Labourers	Farm forestry and garden workers	F	2734
Western Australia	Labourers	Farm forestry and garden workers	M	7424
Western Australia	Labourers	Food preparation assistants	F	8441
Western Australia	Labourers	Food preparation assistants	M	8261
Western Australia	Labourers	Labourers nfd	F	309
Western Australia	Labourers	Labourers nfd	M	1989
Western Australia	Labourers	Other labourers	F	5524
Western Australia	Labourers	Other labourers	M	18127
Western Australia	Machinery operators and drivers	Machine and stationary plant operators	F	3365
Western Australia	Machinery operators and drivers	Machine and stationary plant operators	M	26254
Western Australia	Machinery operators and drivers	Machinery operators and drivers nfd	F	88
Western Australia	Machinery operators and drivers	Machinery operators and drivers nfd	M	1506
Western Australia	Machinery operators and drivers	Mobile plant operators	F	660
Western Australia	Machinery operators and drivers	Mobile plant operators	M	11319
Western Australia	Machinery operators and drivers	Road and rail drivers	F	3366
Western Australia	Machinery operators and drivers	Road and rail drivers	M	30933
Western Australia	Machinery operators and drivers	Storepersons	F	1961
Western Australia	Machinery operators and drivers	Storepersons	M	9205
Western Australia	Managers	Chief executives general managers and legislators	F	2629
Western Australia	Managers	Chief executives general managers and legislators	M	9525
Western Australia	Managers	Farmers and farm managers	F	4328
Western Australia	Managers	Farmers and farm managers	M	10994
Western Australia	Managers	Hospitality retail and service managers	F	20964
Western Australia	Managers	Hospitality retail and service managers	M	22002
Western Australia	Managers	Managers nfd	F	962
Western Australia	Managers	Managers nfd	M	2250
Western Australia	Managers	Specialist managers	F	21299
Western Australia	Managers	Specialist managers	M	44649
Western Australia	Professionals	Arts and media professionals	F	2978
Western Australia	Professionals	Arts and media professionals	M	2995
Western Australia	Professionals	Business human resource and marketing professionals	F	26865
Western Australia	Professionals	Business human resource and marketing professionals	M	26408
Western Australia	Professionals	Design engineering science and transport professionals	F	10978
Western Australia	Professionals	Design engineering science and transport professionals	M	31424
Western Australia	Professionals	Education professionals	F	36466
Western Australia	Professionals	Education professionals	M	14044
Western Australia	Professionals	Health professionals	F	38548
Western Australia	Professionals	Health professionals	M	13087
Western Australia	Professionals	Information and Communication Technology ICT professionals	F	2337
Western Australia	Professionals	Information and Communication Technology ICT professionals	M	11246
Western Australia	Professionals	Legal social and welfare professionals	F	11231
Western Australia	Professionals	Legal social and welfare professionals	M	6142
Western Australia	Professionals	Professionals nfd	F	1727
Western Australia	Professionals	Professionals nfd	M	1522
Western Australia	Sales workers	Sales assistants and salespersons	F	44146
Western Australia	Sales workers	Sales assistants and salespersons	M	23062
Western Australia	Sales workers	Sales representatives and agents	F	8169
Western Australia	Sales workers	Sales representatives and agents	M	9658
Western Australia	Sales workers	Sales support workers	F	12864
Western Australia	Sales workers	Sales support workers	M	4076
