STE_NAME16	IndustryOfEmployment	Occupation	workers
New South Wales	Public administration and safety	Managers	22584
New South Wales	Public administration and safety	Professionals	44298
New South Wales	Public administration and safety	Sales workers	1132
New South Wales	Public administration and safety	Technicians and trades workers	15305
New South Wales	Rental hiring and real estate services		898
New South Wales	Rental hiring and real estate services	Clerical and administrative workers	11592
New South Wales	Rental hiring and real estate services	Community and personal service workers	608
New South Wales	Rental hiring and real estate services	Labourers	2061
New South Wales	Rental hiring and real estate services	Machinery operators and drivers	1387
New South Wales	Rental hiring and real estate services	Managers	8161
New South Wales	Rental hiring and real estate services	Professionals	7483
New South Wales	Rental hiring and real estate services	Sales workers	25118
New South Wales	Rental hiring and real estate services	Technicians and trades workers	1995
New South Wales	Retail trade		1966
New South Wales	Retail trade	Clerical and administrative workers	20405
New South Wales	Retail trade	Community and personal service workers	3114
New South Wales	Retail trade	Labourers	24103
New South Wales	Retail trade	Machinery operators and drivers	12831
New South Wales	Retail trade	Managers	51944
New South Wales	Retail trade	Professionals	17849
New South Wales	Retail trade	Sales workers	173827
New South Wales	Retail trade	Technicians and trades workers	19199
New South Wales	Transport postal and warehousing		1928
New South Wales	Transport postal and warehousing	Clerical and administrative workers	33072
New South Wales	Transport postal and warehousing	Community and personal service workers	4913
New South Wales	Transport postal and warehousing	Labourers	7929
New South Wales	Transport postal and warehousing	Machinery operators and drivers	69820
New South Wales	Transport postal and warehousing	Managers	16496
New South Wales	Transport postal and warehousing	Professionals	10636
New South Wales	Transport postal and warehousing	Sales workers	6974
New South Wales	Transport postal and warehousing	Technicians and trades workers	6520
New South Wales	Wholesale trade		1071
New South Wales	Wholesale trade	Clerical and administrative workers	18549
New South Wales	Wholesale trade	Community and personal service workers	299
New South Wales	Wholesale trade	Labourers	4888
New South Wales	Wholesale trade	Machinery operators and drivers	12665
New South Wales	Wholesale trade	Managers	23873
New South Wales	Wholesale trade	Professionals	18614
New South Wales	Wholesale trade	Sales workers	16623
New South Wales	Wholesale trade	Technicians and trades workers	7380
Victoria		Clerical and administrative workers	14211
Victoria		Community and personal service workers	5515
Victoria		Labourers	15200
Victoria		Machinery operators and drivers	12620
Victoria		Managers	16819
Victoria		Professionals	14209
Victoria		Sales workers	8978
Victoria		Technicians and trades workers	17584
Victoria	Accommodation and food services		976
Victoria	Accommodation and food services	Clerical and administrative workers	5762
Victoria	Accommodation and food services	Community and personal service workers	50949
Victoria	Accommodation and food services	Labourers	37001
Victoria	Accommodation and food services	Machinery operators and drivers	2175
Victoria	Accommodation and food services	Managers	30382
Victoria	Accommodation and food services	Professionals	2035
Victoria	Accommodation and food services	Sales workers	24394
Victoria	Accommodation and food services	Technicians and trades workers	26386
Victoria	Administrative and support services		896
Victoria	Administrative and support services	Clerical and administrative workers	14873
Victoria	Administrative and support services	Community and personal service workers	8012
Victoria	Administrative and support services	Labourers	33954
Victoria	Administrative and support services	Machinery operators and drivers	3385
Victoria	Administrative and support services	Managers	9749
Victoria	Administrative and support services	Professionals	11269
Victoria	Administrative and support services	Sales workers	2299
Victoria	Administrative and support services	Technicians and trades workers	8916
Victoria	Agriculture forestry and fishing	Clerical and administrative workers	2639
Victoria	Agriculture forestry and fishing	Community and personal service workers	201
Victoria	Agriculture forestry and fishing	Labourers	13371
Victoria	Agriculture forestry and fishing	Machinery operators and drivers	3038
Victoria	Agriculture forestry and fishing	Managers	34015
Victoria	Agriculture forestry and fishing	Professionals	1807
Victoria	Agriculture forestry and fishing	Sales workers	961
Victoria	Agriculture forestry and fishing	Technicians and trades workers	3711
Victoria	Arts and recreation services		667
Victoria	Arts and recreation services	Clerical and administrative workers	4887
Victoria	Arts and recreation services	Community and personal service workers	15451
Victoria	Arts and recreation services	Labourers	3541
Victoria	Arts and recreation services	Machinery operators and drivers	446
Victoria	Arts and recreation services	Managers	8706
Victoria	Arts and recreation services	Professionals	11576
Victoria	Arts and recreation services	Sales workers	2600
Victoria	Arts and recreation services	Technicians and trades workers	4603
Victoria	Construction		2057
Victoria	Construction	Clerical and administrative workers	20329
Victoria	Construction	Community and personal service workers	435
Victoria	Construction	Labourers	33181
Victoria	Construction	Machinery operators and drivers	14104
Victoria	Construction	Managers	28054
Victoria	Construction	Professionals	8682
Victoria	Construction	Sales workers	3362
Victoria	Construction	Technicians and trades workers	117206
Victoria	Education and training		1209
Victoria	Education and training	Clerical and administrative workers	22794
Victoria	Education and training	Community and personal service workers	36939
Victoria	Education and training	Labourers	3713
Victoria	Education and training	Machinery operators and drivers	588
Victoria	Education and training	Managers	17782
Victoria	Education and training	Professionals	145813
Victoria	Education and training	Sales workers	844
Victoria	Education and training	Technicians and trades workers	6550
Victoria	Electricity gas water and waste services		460
Victoria	Electricity gas water and waste services	Clerical and administrative workers	6102
Victoria	Electricity gas water and waste services	Community and personal service workers	90
Victoria	Electricity gas water and waste services	Labourers	1900
Victoria	Electricity gas water and waste services	Machinery operators and drivers	4332
Victoria	Electricity gas water and waste services	Managers	4897
Victoria	Electricity gas water and waste services	Professionals	6462
Victoria	Electricity gas water and waste services	Sales workers	1313
Victoria	Electricity gas water and waste services	Technicians and trades workers	5145
Victoria	Financial and insurance services		1670
Victoria	Financial and insurance services	Clerical and administrative workers	43254
Victoria	Financial and insurance services	Community and personal service workers	484
Victoria	Financial and insurance services	Labourers	352
Victoria	Financial and insurance services	Machinery operators and drivers	329
Victoria	Financial and insurance services	Managers	16867
Victoria	Financial and insurance services	Professionals	38023
Victoria	Financial and insurance services	Sales workers	4315
Victoria	Financial and insurance services	Technicians and trades workers	1220
Victoria	Health care and social assistance		1783
Victoria	Health care and social assistance	Clerical and administrative workers	46019
Victoria	Health care and social assistance	Community and personal service workers	104688
Victoria	Health care and social assistance	Labourers	13949
Victoria	Health care and social assistance	Machinery operators and drivers	2335
Victoria	Health care and social assistance	Managers	17336
Victoria	Health care and social assistance	Professionals	141651
Victoria	Health care and social assistance	Sales workers	2052
Victoria	Health care and social assistance	Technicians and trades workers	11648
Victoria	Information media and telecommunications		498
Victoria	Information media and telecommunications	Clerical and administrative workers	7313
Victoria	Information media and telecommunications	Community and personal service workers	392
Victoria	Information media and telecommunications	Labourers	891
Victoria	Information media and telecommunications	Machinery operators and drivers	439
Victoria	Information media and telecommunications	Managers	9441
Victoria	Information media and telecommunications	Professionals	21018
Victoria	Information media and telecommunications	Sales workers	4831
Victoria	Information media and telecommunications	Technicians and trades workers	7280
Victoria	Manufacturing		2183
Victoria	Manufacturing	Clerical and administrative workers	21008
Victoria	Manufacturing	Community and personal service workers	2200
Victoria	Manufacturing	Labourers	40457
Victoria	Manufacturing	Machinery operators and drivers	28954
Victoria	Manufacturing	Managers	35884
Victoria	Manufacturing	Professionals	22457
Victoria	Manufacturing	Sales workers	12486
Victoria	Manufacturing	Technicians and trades workers	47312
Victoria	Mining		117
Victoria	Mining	Clerical and administrative workers	713
Victoria	Mining	Community and personal service workers	49
Victoria	Mining	Labourers	385
Victoria	Mining	Machinery operators and drivers	2106
Victoria	Mining	Managers	1246
Victoria	Mining	Professionals	1651
Victoria	Mining	Sales workers	64
Victoria	Mining	Technicians and trades workers	1472
Victoria	Other services		669
Victoria	Other services	Clerical and administrative workers	10316
Victoria	Other services	Community and personal service workers	14944
Victoria	Other services	Labourers	8271
Victoria	Other services	Machinery operators and drivers	1552
Victoria	Other services	Managers	8412
Victoria	Other services	Professionals	8961
Victoria	Other services	Sales workers	2033
Victoria	Other services	Technicians and trades workers	43090
Victoria	Professional scientific and technical services		1917
Victoria	Professional scientific and technical services	Clerical and administrative workers	38771
Victoria	Professional scientific and technical services	Community and personal service workers	821
Victoria	Professional scientific and technical services	Labourers	2040
Victoria	Professional scientific and technical services	Machinery operators and drivers	922
Victoria	Professional scientific and technical services	Managers	27499
Victoria	Professional scientific and technical services	Professionals	122518
Victoria	Professional scientific and technical services	Sales workers	4169
Victoria	Professional scientific and technical services	Technicians and trades workers	18351
Victoria	Public administration and safety		3178
Victoria	Public administration and safety	Clerical and administrative workers	33677
Victoria	Public administration and safety	Community and personal service workers	40860
Victoria	Public administration and safety	Labourers	6062
Victoria	Public administration and safety	Machinery operators and drivers	2230
Victoria	Public administration and safety	Managers	16965
Victoria	Public administration and safety	Professionals	32545
Victoria	Public administration and safety	Sales workers	694
Victoria	Public administration and safety	Technicians and trades workers	7858
Victoria	Rental hiring and real estate services		584
Victoria	Rental hiring and real estate services	Clerical and administrative workers	8717
Victoria	Rental hiring and real estate services	Community and personal service workers	724
Victoria	Rental hiring and real estate services	Labourers	1597
Victoria	Rental hiring and real estate services	Machinery operators and drivers	868
Victoria	Rental hiring and real estate services	Managers	5971
Victoria	Rental hiring and real estate services	Professionals	5215
Victoria	Rental hiring and real estate services	Sales workers	17854
Victoria	Rental hiring and real estate services	Technicians and trades workers	1508
Victoria	Retail trade		1387
Victoria	Retail trade	Clerical and administrative workers	18243
Victoria	Retail trade	Community and personal service workers	2432
Victoria	Retail trade	Labourers	19435
Victoria	Retail trade	Machinery operators and drivers	11033
Victoria	Retail trade	Managers	45326
Victoria	Retail trade	Professionals	15710
Victoria	Retail trade	Sales workers	150562
Victoria	Retail trade	Technicians and trades workers	15548
Victoria	Transport postal and warehousing		1381
Victoria	Transport postal and warehousing	Clerical and administrative workers	27390
Victoria	Transport postal and warehousing	Community and personal service workers	3450
Victoria	Transport postal and warehousing	Labourers	6280
Victoria	Transport postal and warehousing	Machinery operators and drivers	55502
Victoria	Transport postal and warehousing	Managers	14465
Victoria	Transport postal and warehousing	Professionals	9805
Victoria	Transport postal and warehousing	Sales workers	6137
Victoria	Transport postal and warehousing	Technicians and trades workers	5227
Victoria	Wholesale trade		696
Victoria	Wholesale trade	Clerical and administrative workers	15739
Victoria	Wholesale trade	Community and personal service workers	289
Victoria	Wholesale trade	Labourers	5131
Victoria	Wholesale trade	Machinery operators and drivers	11658
Victoria	Wholesale trade	Managers	19708
Victoria	Wholesale trade	Professionals	13385
Victoria	Wholesale trade	Sales workers	15396
Victoria	Wholesale trade	Technicians and trades workers	6318
Queensland		Clerical and administrative workers	10592
Queensland		Community and personal service workers	3984
Queensland		Labourers	11752
Queensland		Machinery operators and drivers	8576
Queensland		Managers	10696
Queensland		Professionals	8072
Queensland		Sales workers	6499
Queensland		Technicians and trades workers	14264
Queensland	Accommodation and food services		961
Queensland	Accommodation and food services	Clerical and administrative workers	7031
Queensland	Accommodation and food services	Community and personal service workers	43247
Queensland	Accommodation and food services	Labourers	33090
Queensland	Accommodation and food services	Machinery operators and drivers	3146
Queensland	Accommodation and food services	Managers	26298
Queensland	Accommodation and food services	Professionals	2279
Queensland	Accommodation and food services	Sales workers	21076
Queensland	Accommodation and food services	Technicians and trades workers	19815
Queensland	Administrative and support services		674
Queensland	Administrative and support services	Clerical and administrative workers	12054
Queensland	Administrative and support services	Community and personal service workers	7133
Queensland	Administrative and support services	Labourers	30894
Queensland	Administrative and support services	Machinery operators and drivers	2310
Queensland	Administrative and support services	Managers	6706
Queensland	Administrative and support services	Professionals	7211
Queensland	Administrative and support services	Sales workers	2012
Queensland	Administrative and support services	Technicians and trades workers	6296
Queensland	Agriculture forestry and fishing	Clerical and administrative workers	2972
Queensland	Agriculture forestry and fishing	Community and personal service workers	268
Queensland	Agriculture forestry and fishing	Labourers	18331
Queensland	Agriculture forestry and fishing	Machinery operators and drivers	4256
Queensland	Agriculture forestry and fishing	Managers	28525
Queensland	Agriculture forestry and fishing	Professionals	1933
Queensland	Agriculture forestry and fishing	Sales workers	774
Queensland	Agriculture forestry and fishing	Technicians and trades workers	2845
Queensland	Arts and recreation services		401
Queensland	Arts and recreation services	Clerical and administrative workers	3597
Queensland	Arts and recreation services	Community and personal service workers	9026
Queensland	Arts and recreation services	Labourers	2799
Queensland	Arts and recreation services	Machinery operators and drivers	683
Queensland	Arts and recreation services	Managers	4884
Queensland	Arts and recreation services	Professionals	6687
Queensland	Arts and recreation services	Sales workers	1927
Queensland	Arts and recreation services	Technicians and trades workers	3773
Queensland	Construction		1755
Queensland	Construction	Clerical and administrative workers	20063
Queensland	Construction	Community and personal service workers	332
Queensland	Construction	Labourers	30348
Queensland	Construction	Machinery operators and drivers	16227
Queensland	Construction	Managers	22029
Queensland	Construction	Professionals	6668
Queensland	Construction	Sales workers	2780
Queensland	Construction	Technicians and trades workers	89569
Queensland	Education and training		929
Queensland	Education and training	Clerical and administrative workers	19381
Queensland	Education and training	Community and personal service workers	35935
Queensland	Education and training	Labourers	7897
Queensland	Education and training	Machinery operators and drivers	663
Queensland	Education and training	Managers	14172
Queensland	Education and training	Professionals	106836
Queensland	Education and training	Sales workers	865
Queensland	Education and training	Technicians and trades workers	6010
Queensland	Electricity gas water and waste services		328
Queensland	Electricity gas water and waste services	Clerical and administrative workers	3966
Queensland	Electricity gas water and waste services	Community and personal service workers	82
Queensland	Electricity gas water and waste services	Labourers	1687
Queensland	Electricity gas water and waste services	Machinery operators and drivers	3886
Queensland	Electricity gas water and waste services	Managers	2878
Queensland	Electricity gas water and waste services	Professionals	3962
Queensland	Electricity gas water and waste services	Sales workers	406
Queensland	Electricity gas water and waste services	Technicians and trades workers	6613
Queensland	Financial and insurance services		924
Queensland	Financial and insurance services	Clerical and administrative workers	24696
Queensland	Financial and insurance services	Community and personal service workers	193
Queensland	Financial and insurance services	Labourers	289
Queensland	Financial and insurance services	Machinery operators and drivers	299
Queensland	Financial and insurance services	Managers	7417
Queensland	Financial and insurance services	Professionals	16537
Queensland	Financial and insurance services	Sales workers	3106
Queensland	Financial and insurance services	Technicians and trades workers	775
Queensland	Health care and social assistance		1744
Queensland	Health care and social assistance	Clerical and administrative workers	40531
Queensland	Health care and social assistance	Community and personal service workers	88844
Queensland	Health care and social assistance	Labourers	11695
Queensland	Health care and social assistance	Machinery operators and drivers	1840
Queensland	Health care and social assistance	Managers	13451
Queensland	Health care and social assistance	Professionals	107953
Queensland	Health care and social assistance	Sales workers	1892
Queensland	Health care and social assistance	Technicians and trades workers	9448
Queensland	Information media and telecommunications		359
Queensland	Information media and telecommunications	Clerical and administrative workers	4190
Queensland	Information media and telecommunications	Community and personal service workers	248
Queensland	Information media and telecommunications	Labourers	751
Queensland	Information media and telecommunications	Machinery operators and drivers	340
Queensland	Information media and telecommunications	Managers	3647
Queensland	Information media and telecommunications	Professionals	7806
Queensland	Information media and telecommunications	Sales workers	3245
Queensland	Information media and telecommunications	Technicians and trades workers	4733
Queensland	Manufacturing		1264
Queensland	Manufacturing	Clerical and administrative workers	12954
Queensland	Manufacturing	Community and personal service workers	1274
Queensland	Manufacturing	Labourers	25870
Queensland	Manufacturing	Machinery operators and drivers	17550
Queensland	Manufacturing	Managers	17960
Queensland	Manufacturing	Professionals	8807
Queensland	Manufacturing	Sales workers	7242
Queensland	Manufacturing	Technicians and trades workers	35751
Queensland	Mining		552
Queensland	Mining	Clerical and administrative workers	3393
Queensland	Mining	Community and personal service workers	247
Queensland	Mining	Labourers	1900
Queensland	Mining	Machinery operators and drivers	17424
Queensland	Mining	Managers	4518
Queensland	Mining	Professionals	6817
Queensland	Mining	Sales workers	180
Queensland	Mining	Technicians and trades workers	13284
Queensland	Other services		601
Queensland	Other services	Clerical and administrative workers	9064
Queensland	Other services	Community and personal service workers	12730
Queensland	Other services	Labourers	7432
Queensland	Other services	Machinery operators and drivers	1357
Queensland	Other services	Managers	6601
Queensland	Other services	Professionals	6705
Queensland	Other services	Sales workers	1743
Queensland	Other services	Technicians and trades workers	37143
Queensland	Professional scientific and technical services		1065
Queensland	Professional scientific and technical services	Clerical and administrative workers	28286
Queensland	Professional scientific and technical services	Community and personal service workers	522
Queensland	Professional scientific and technical services	Labourers	2187
Queensland	Professional scientific and technical services	Machinery operators and drivers	837
Queensland	Professional scientific and technical services	Managers	14295
Queensland	Professional scientific and technical services	Professionals	68232
Queensland	Professional scientific and technical services	Sales workers	2407
Queensland	Professional scientific and technical services	Technicians and trades workers	14849
Queensland	Public administration and safety		2302
Queensland	Public administration and safety	Clerical and administrative workers	37231
Queensland	Public administration and safety	Community and personal service workers	31209
Queensland	Public administration and safety	Labourers	7277
Queensland	Public administration and safety	Machinery operators and drivers	4408
Queensland	Public administration and safety	Managers	14491
Queensland	Public administration and safety	Professionals	30288
Queensland	Public administration and safety	Sales workers	881
Queensland	Public administration and safety	Technicians and trades workers	11075
Queensland	Rental hiring and real estate services		579
Queensland	Rental hiring and real estate services	Clerical and administrative workers	7966
Queensland	Rental hiring and real estate services	Community and personal service workers	568
Queensland	Rental hiring and real estate services	Labourers	2070
Queensland	Rental hiring and real estate services	Machinery operators and drivers	1346
Queensland	Rental hiring and real estate services	Managers	5315
Queensland	Rental hiring and real estate services	Professionals	3447
Queensland	Rental hiring and real estate services	Sales workers	19435
Queensland	Rental hiring and real estate services	Technicians and trades workers	1821
Queensland	Retail trade		1002
Queensland	Retail trade	Clerical and administrative workers	12633
Queensland	Retail trade	Community and personal service workers	1948
Queensland	Retail trade	Labourers	18372
Queensland	Retail trade	Machinery operators and drivers	8107
Queensland	Retail trade	Managers	32216
Queensland	Retail trade	Professionals	8151
Queensland	Retail trade	Sales workers	115942
Queensland	Retail trade	Technicians and trades workers	13139
Queensland	Transport postal and warehousing		1264
Queensland	Transport postal and warehousing	Clerical and administrative workers	21093
Queensland	Transport postal and warehousing	Community and personal service workers	3952
Queensland	Transport postal and warehousing	Labourers	6299
Queensland	Transport postal and warehousing	Machinery operators and drivers	44558
Queensland	Transport postal and warehousing	Managers	10762
Queensland	Transport postal and warehousing	Professionals	8698
Queensland	Transport postal and warehousing	Sales workers	4429
Queensland	Transport postal and warehousing	Technicians and trades workers	6622
Queensland	Wholesale trade		488
Queensland	Wholesale trade	Clerical and administrative workers	9472
Queensland	Wholesale trade	Community and personal service workers	287
Queensland	Wholesale trade	Labourers	4134
Queensland	Wholesale trade	Machinery operators and drivers	8719
Queensland	Wholesale trade	Managers	10613
Queensland	Wholesale trade	Professionals	5969
Queensland	Wholesale trade	Sales workers	10742
Queensland	Wholesale trade	Technicians and trades workers	5632
South Australia		Clerical and administrative workers	2595
South Australia		Community and personal service workers	1129
South Australia		Labourers	3374
South Australia		Machinery operators and drivers	2237
South Australia		Managers	2726
South Australia		Professionals	2155
South Australia		Sales workers	1658
South Australia		Technicians and trades workers	3466
South Australia	Accommodation and food services		276
South Australia	Accommodation and food services	Clerical and administrative workers	1494
South Australia	Accommodation and food services	Community and personal service workers	14186
South Australia	Accommodation and food services	Labourers	11474
South Australia	Accommodation and food services	Machinery operators and drivers	706
South Australia	Accommodation and food services	Managers	8508
South Australia	Accommodation and food services	Professionals	423
South Australia	Accommodation and food services	Sales workers	6014
South Australia	Accommodation and food services	Technicians and trades workers	6460
South Australia	Administrative and support services		268
South Australia	Administrative and support services	Clerical and administrative workers	3029
South Australia	Administrative and support services	Community and personal service workers	2838
South Australia	Administrative and support services	Labourers	12199
South Australia	Administrative and support services	Machinery operators and drivers	910
South Australia	Administrative and support services	Managers	1981
South Australia	Administrative and support services	Professionals	2342
South Australia	Administrative and support services	Sales workers	457
South Australia	Administrative and support services	Technicians and trades workers	2581
South Australia	Agriculture forestry and fishing	Clerical and administrative workers	1475
South Australia	Agriculture forestry and fishing	Community and personal service workers	58
South Australia	Agriculture forestry and fishing	Labourers	7905
South Australia	Agriculture forestry and fishing	Machinery operators and drivers	1581
South Australia	Agriculture forestry and fishing	Managers	15922
South Australia	Agriculture forestry and fishing	Professionals	782
South Australia	Agriculture forestry and fishing	Sales workers	346
South Australia	Agriculture forestry and fishing	Technicians and trades workers	1692
South Australia	Arts and recreation services		123
South Australia	Arts and recreation services	Clerical and administrative workers	1085
South Australia	Arts and recreation services	Community and personal service workers	2971
South Australia	Arts and recreation services	Labourers	722
South Australia	Arts and recreation services	Machinery operators and drivers	99
South Australia	Arts and recreation services	Managers	1592
South Australia	Arts and recreation services	Professionals	1960
South Australia	Arts and recreation services	Sales workers	482
South Australia	Arts and recreation services	Technicians and trades workers	1095
South Australia	Construction		577
South Australia	Construction	Clerical and administrative workers	5418
South Australia	Construction	Community and personal service workers	382
South Australia	Construction	Labourers	8593
South Australia	Construction	Machinery operators and drivers	4535
South Australia	Construction	Managers	6476
South Australia	Construction	Professionals	1823
South Australia	Construction	Sales workers	964
South Australia	Construction	Technicians and trades workers	27330
South Australia	Education and training		282
South Australia	Education and training	Clerical and administrative workers	6972
South Australia	Education and training	Community and personal service workers	10811
South Australia	Education and training	Labourers	857
South Australia	Education and training	Machinery operators and drivers	291
South Australia	Education and training	Managers	4681
South Australia	Education and training	Professionals	38241
South Australia	Education and training	Sales workers	178
South Australia	Education and training	Technicians and trades workers	2101
South Australia	Electricity gas water and waste services		185
South Australia	Electricity gas water and waste services	Clerical and administrative workers	1771
South Australia	Electricity gas water and waste services	Community and personal service workers	21
South Australia	Electricity gas water and waste services	Labourers	772
South Australia	Electricity gas water and waste services	Machinery operators and drivers	1334
South Australia	Electricity gas water and waste services	Managers	1207
South Australia	Electricity gas water and waste services	Professionals	1431
South Australia	Electricity gas water and waste services	Sales workers	338
South Australia	Electricity gas water and waste services	Technicians and trades workers	2027
South Australia	Financial and insurance services		293
South Australia	Financial and insurance services	Clerical and administrative workers	10266
South Australia	Financial and insurance services	Community and personal service workers	140
South Australia	Financial and insurance services	Labourers	78
