STE_NAME16	Age	Sex	workers
Western Australia	75+	F	1765
Western Australia	75+	M	3757
Tasmania	15-19	F	6413
Tasmania	15-19	M	5510
Tasmania	20-24	F	9134
Tasmania	20-24	M	9592
Tasmania	25-29	F	9461
Tasmania	25-29	M	10170
Tasmania	30-34	F	10059
Tasmania	30-34	M	10923
Tasmania	35-39	F	10111
Tasmania	35-39	M	10392
Tasmania	40-44	F	11865
Tasmania	40-44	M	11455
Tasmania	45-49	F	12921
Tasmania	45-49	M	12509
Tasmania	50-54	F	12768
Tasmania	50-54	M	12560
Tasmania	55-59	F	11741
Tasmania	55-59	M	11898
Tasmania	60-64	F	7316
Tasmania	60-64	M	8418
Tasmania	65-69	F	2718
Tasmania	65-69	M	3822
Tasmania	70-74	F	860
Tasmania	70-74	M	1431
Tasmania	75+	F	434
Tasmania	75+	M	899
Northern Territory	15-19	F	2242
Northern Territory	15-19	M	2417
Northern Territory	20-24	F	4323
Northern Territory	20-24	M	5318
Northern Territory	25-29	F	6495
Northern Territory	25-29	M	7808
Northern Territory	30-34	F	6520
Northern Territory	30-34	M	8149
Northern Territory	35-39	F	5537
Northern Territory	35-39	M	7074
Northern Territory	40-44	F	5350
Northern Territory	40-44	M	6639
Northern Territory	45-49	F	5393
Northern Territory	45-49	M	6518
Northern Territory	50-54	F	4867
Northern Territory	50-54	M	6018
Northern Territory	55-59	F	4097
Northern Territory	55-59	M	5105
Northern Territory	60-64	F	2564
Northern Territory	60-64	M	3536
Northern Territory	65-69	F	1081
Northern Territory	65-69	M	1575
Northern Territory	70-74	F	292
Northern Territory	70-74	M	495
Northern Territory	75+	F	132
Northern Territory	75+	M	215
Australian Capital Territory	15-19	F	6254
Australian Capital Territory	15-19	M	5343
Australian Capital Territory	20-24	F	11371
Australian Capital Territory	20-24	M	11037
Australian Capital Territory	25-29	F	13798
Australian Capital Territory	25-29	M	13377
Australian Capital Territory	30-34	F	14418
Australian Capital Territory	30-34	M	14970
Australian Capital Territory	35-39	F	13139
Australian Capital Territory	35-39	M	13944
Australian Capital Territory	40-44	F	12997
Australian Capital Territory	40-44	M	13293
Australian Capital Territory	45-49	F	12670
Australian Capital Territory	45-49	M	12786
Australian Capital Territory	50-54	F	11267
Australian Capital Territory	50-54	M	11348
Australian Capital Territory	55-59	F	8612
Australian Capital Territory	55-59	M	9053
Australian Capital Territory	60-64	F	5099
Australian Capital Territory	60-64	M	5623
Australian Capital Territory	65-69	F	2031
Australian Capital Territory	65-69	M	2845
Australian Capital Territory	70-74	F	570
Australian Capital Territory	70-74	M	920
Australian Capital Territory	75+	F	256
Australian Capital Territory	75+	M	446
Other Territories	15-19	F	37
Other Territories	15-19	M	41
Other Territories	20-24	F	65
Other Territories	20-24	M	99
Other Territories	25-29	F	98
Other Territories	25-29	M	132
Other Territories	30-34	F	119
Other Territories	30-34	M	150
Other Territories	35-39	F	122
Other Territories	35-39	M	181
Other Territories	40-44	F	133
Other Territories	40-44	M	155
Other Territories	45-49	F	128
Other Territories	45-49	M	177
Other Territories	50-54	F	143
Other Territories	50-54	M	205
Other Territories	55-59	F	134
Other Territories	55-59	M	196
Other Territories	60-64	F	94
Other Territories	60-64	M	140
Other Territories	65-69	F	64
Other Territories	65-69	M	109
Other Territories	70-74	F	24
Other Territories	70-74	M	27
Other Territories	75+	F	13
Other Territories	75+	M	23
