STE_NAME16	IndustryOfEmployment	YearOfArrival.max	workers_born_overseas
New South Wales	Financial and insurance services	1995	6999
New South Wales	Financial and insurance services	2000	9125
New South Wales	Financial and insurance services	2005	10441
New South Wales	Financial and insurance services	2010	11217
New South Wales	Financial and insurance services	2015	9497
New South Wales	Financial and insurance services	2016	845
New South Wales	Financial and insurance services		948
New South Wales	Health care and social assistance	1991	50642
New South Wales	Health care and social assistance	1995	13152
New South Wales	Health care and social assistance	2000	15542
New South Wales	Health care and social assistance	2005	18504
New South Wales	Health care and social assistance	2010	27416
New South Wales	Health care and social assistance	2015	21918
New South Wales	Health care and social assistance	2016	1156
New South Wales	Health care and social assistance		2469
New South Wales	Information media and telecommunications	1991	7847
New South Wales	Information media and telecommunications	1995	2422
New South Wales	Information media and telecommunications	2000	3212
New South Wales	Information media and telecommunications	2005	3849
New South Wales	Information media and telecommunications	2010	5058
New South Wales	Information media and telecommunications	2015	4893
New South Wales	Information media and telecommunications	2016	499
New South Wales	Information media and telecommunications		405
New South Wales	Manufacturing	1991	28079
New South Wales	Manufacturing	1995	7261
New South Wales	Manufacturing	2000	7694
New South Wales	Manufacturing	2005	7893
New South Wales	Manufacturing	2010	11077
New South Wales	Manufacturing	2015	10657
New South Wales	Manufacturing	2016	917
New South Wales	Manufacturing		1485
New South Wales	Mining	1991	1415
New South Wales	Mining	1995	254
New South Wales	Mining	2000	321
New South Wales	Mining	2005	446
New South Wales	Mining	2010	631
New South Wales	Mining	2015	440
New South Wales	Mining	2016	21
New South Wales	Mining		77
New South Wales	Other services	1991	12744
New South Wales	Other services	1995	3081
New South Wales	Other services	2000	3764
New South Wales	Other services	2005	3617
New South Wales	Other services	2010	5671
New South Wales	Other services	2015	5610
New South Wales	Other services	2016	455
New South Wales	Other services		780
New South Wales	Professional scientific and technical services	1991	29830
New South Wales	Professional scientific and technical services	1995	8873
New South Wales	Professional scientific and technical services	2000	12015
New South Wales	Professional scientific and technical services	2005	14027
New South Wales	Professional scientific and technical services	2010	19169
New South Wales	Professional scientific and technical services	2015	22700
New South Wales	Professional scientific and technical services	2016	2886
New South Wales	Professional scientific and technical services		1721
New South Wales	Public administration and safety	1991	21057
New South Wales	Public administration and safety	1995	5085
New South Wales	Public administration and safety	2000	5361
New South Wales	Public administration and safety	2005	5321
New South Wales	Public administration and safety	2010	5149
New South Wales	Public administration and safety	2015	3203
New South Wales	Public administration and safety	2016	200
New South Wales	Public administration and safety		770
New South Wales	Rental hiring and real estate services	1991	6627
New South Wales	Rental hiring and real estate services	1995	1360
New South Wales	Rental hiring and real estate services	2000	1909
New South Wales	Rental hiring and real estate services	2005	2241
New South Wales	Rental hiring and real estate services	2010	2875
New South Wales	Rental hiring and real estate services	2015	2291
New South Wales	Rental hiring and real estate services	2016	160
New South Wales	Rental hiring and real estate services		309
New South Wales	Retail trade	1991	27423
New South Wales	Retail trade	1995	7086
New South Wales	Retail trade	2000	10512
New South Wales	Retail trade	2005	11311
New South Wales	Retail trade	2010	17012
New South Wales	Retail trade	2015	16544
New South Wales	Retail trade	2016	1331
New South Wales	Retail trade		1832
New South Wales	Transport postal and warehousing	1991	23139
New South Wales	Transport postal and warehousing	1995	5484
New South Wales	Transport postal and warehousing	2000	6746
New South Wales	Transport postal and warehousing	2005	6679
New South Wales	Transport postal and warehousing	2010	9125
New South Wales	Transport postal and warehousing	2015	6061
New South Wales	Transport postal and warehousing	2016	502
New South Wales	Transport postal and warehousing		1211
New South Wales	Wholesale trade	1991	13571
New South Wales	Wholesale trade	1995	3505
New South Wales	Wholesale trade	2000	4818
New South Wales	Wholesale trade	2005	5309
New South Wales	Wholesale trade	2010	6789
New South Wales	Wholesale trade	2015	6052
New South Wales	Wholesale trade	2016	443
New South Wales	Wholesale trade		666
Victoria		1991	13524
Victoria		1995	2926
Victoria		2000	3676
Victoria		2005	5088
Victoria		2010	9306
Victoria		2015	9638
Victoria		2016	883
Victoria			2580
Victoria	Accommodation and food services	1991	11020
Victoria	Accommodation and food services	1995	2997
Victoria	Accommodation and food services	2000	4738
Victoria	Accommodation and food services	2005	7181
Victoria	Accommodation and food services	2010	16585
Victoria	Accommodation and food services	2015	21815
Victoria	Accommodation and food services	2016	2586
Victoria	Accommodation and food services		1888
Victoria	Administrative and support services	1991	10024
Victoria	Administrative and support services	1995	1961
Victoria	Administrative and support services	2000	2479
Victoria	Administrative and support services	2005	3324
Victoria	Administrative and support services	2010	6880
Victoria	Administrative and support services	2015	9136
Victoria	Administrative and support services	2016	1003
Victoria	Administrative and support services		900
Victoria	Agriculture forestry and fishing	1991	3205
Victoria	Agriculture forestry and fishing	1995	456
Victoria	Agriculture forestry and fishing	2000	725
Victoria	Agriculture forestry and fishing	2005	898
Victoria	Agriculture forestry and fishing	2010	1785
Victoria	Agriculture forestry and fishing	2015	2155
Victoria	Agriculture forestry and fishing	2016	233
Victoria	Agriculture forestry and fishing		402
Victoria	Arts and recreation services	1991	3474
Victoria	Arts and recreation services	1995	720
Victoria	Arts and recreation services	2000	1161
Victoria	Arts and recreation services	2005	1479
Victoria	Arts and recreation services	2010	2055
Victoria	Arts and recreation services	2015	1915
Victoria	Arts and recreation services	2016	145
Victoria	Arts and recreation services		213
Victoria	Construction	1991	17774
Victoria	Construction	1995	3092
Victoria	Construction	2000	4313
Victoria	Construction	2005	4914
Victoria	Construction	2010	8449
Victoria	Construction	2015	7669
Victoria	Construction	2016	425
Victoria	Construction		1108
Victoria	Education and training	1991	20849
Victoria	Education and training	1995	4114
Victoria	Education and training	2000	5424
Victoria	Education and training	2005	7187
Victoria	Education and training	2010	10124
Victoria	Education and training	2015	9305
Victoria	Education and training	2016	672
Victoria	Education and training		928
Victoria	Electricity gas water and waste services	1991	2597
Victoria	Electricity gas water and waste services	1995	519
Victoria	Electricity gas water and waste services	2000	730
Victoria	Electricity gas water and waste services	2005	1182
Victoria	Electricity gas water and waste services	2010	1881
Victoria	Electricity gas water and waste services	2015	1288
Victoria	Electricity gas water and waste services	2016	81
Victoria	Electricity gas water and waste services		132
Victoria	Financial and insurance services	1991	11737
Victoria	Financial and insurance services	1995	2907
Victoria	Financial and insurance services	2000	4112
Victoria	Financial and insurance services	2005	6196
Victoria	Financial and insurance services	2010	7512
Victoria	Financial and insurance services	2015	5306
Victoria	Financial and insurance services	2016	361
Victoria	Financial and insurance services		513
Victoria	Health care and social assistance	1991	37079
Victoria	Health care and social assistance	1995	8505
Victoria	Health care and social assistance	2000	9610
Victoria	Health care and social assistance	2005	14510
Victoria	Health care and social assistance	2010	25762
Victoria	Health care and social assistance	2015	18607
Victoria	Health care and social assistance	2016	934
Victoria	Health care and social assistance		1872
Victoria	Information media and telecommunications	1991	5016
Victoria	Information media and telecommunications	1995	1108
Victoria	Information media and telecommunications	2000	1562
Victoria	Information media and telecommunications	2005	2669
Victoria	Information media and telecommunications	2010	3586
Victoria	Information media and telecommunications	2015	3039
Victoria	Information media and telecommunications	2016	268
Victoria	Information media and telecommunications		232
Victoria	Manufacturing	1991	29395
Victoria	Manufacturing	1995	6856
Victoria	Manufacturing	2000	6412
Victoria	Manufacturing	2005	8188
Victoria	Manufacturing	2010	14433
Victoria	Manufacturing	2015	11773
Victoria	Manufacturing	2016	858
Victoria	Manufacturing		1485
Victoria	Mining	1991	651
Victoria	Mining	1995	114
Victoria	Mining	2000	156
Victoria	Mining	2005	183
Victoria	Mining	2010	260
Victoria	Mining	2015	217
Victoria	Mining	2016	11
Victoria	Mining		39
Victoria	Other services	1991	9597
Victoria	Other services	1995	2012
Victoria	Other services	2000	2131
Victoria	Other services	2005	2717
Victoria	Other services	2010	6001
Victoria	Other services	2015	4979
Victoria	Other services	2016	457
Victoria	Other services		658
Victoria	Professional scientific and technical services	1991	21452
Victoria	Professional scientific and technical services	1995	5217
Victoria	Professional scientific and technical services	2000	6837
Victoria	Professional scientific and technical services	2005	10090
Victoria	Professional scientific and technical services	2010	15083
Victoria	Professional scientific and technical services	2015	16242
Victoria	Professional scientific and technical services	2016	1763
Victoria	Professional scientific and technical services		1171
Victoria	Public administration and safety	1991	15298
Victoria	Public administration and safety	1995	2518
Victoria	Public administration and safety	2000	2857
Victoria	Public administration and safety	2005	3725
Victoria	Public administration and safety	2010	4725
Victoria	Public administration and safety	2015	2717
Victoria	Public administration and safety	2016	129
Victoria	Public administration and safety		528
Victoria	Rental hiring and real estate services	1991	4214
Victoria	Rental hiring and real estate services	1995	725
Victoria	Rental hiring and real estate services	2000	1015
Victoria	Rental hiring and real estate services	2005	1604
Victoria	Rental hiring and real estate services	2010	2463
Victoria	Rental hiring and real estate services	2015	1873
Victoria	Rental hiring and real estate services	2016	120
Victoria	Rental hiring and real estate services		225
Victoria	Retail trade	1991	21146
Victoria	Retail trade	1995	4731
Victoria	Retail trade	2000	6514
Victoria	Retail trade	2005	8379
Victoria	Retail trade	2010	14831
Victoria	Retail trade	2015	13891
Victoria	Retail trade	2016	905
Victoria	Retail trade		1400
Victoria	Transport postal and warehousing	1991	16005
Victoria	Transport postal and warehousing	1995	3377
Victoria	Transport postal and warehousing	2000	3867
Victoria	Transport postal and warehousing	2005	5324
Victoria	Transport postal and warehousing	2010	11233
Victoria	Transport postal and warehousing	2015	6512
Victoria	Transport postal and warehousing	2016	440
Victoria	Transport postal and warehousing		939
Victoria	Wholesale trade	1991	9996
Victoria	Wholesale trade	1995	2043
Victoria	Wholesale trade	2000	2598
Victoria	Wholesale trade	2005	3602
Victoria	Wholesale trade	2010	5635
Victoria	Wholesale trade	2015	4865
Victoria	Wholesale trade	2016	330
Victoria	Wholesale trade		494
Queensland		1991	7058
Queensland		1995	1439
Queensland		2000	2454
Queensland		2005	3135
Queensland		2010	5257
Queensland		2015	4925
Queensland		2016	557
Queensland			1658
Queensland	Accommodation and food services	1991	8362
Queensland	Accommodation and food services	1995	2335
Queensland	Accommodation and food services	2000	4148
Queensland	Accommodation and food services	2005	6273
Queensland	Accommodation and food services	2010	12327
Queensland	Accommodation and food services	2015	14465
Queensland	Accommodation and food services	2016	1681
Queensland	Accommodation and food services		1505
Queensland	Administrative and support services	1991	6655
Queensland	Administrative and support services	1995	1404
Queensland	Administrative and support services	2000	2153
Queensland	Administrative and support services	2005	2671
Queensland	Administrative and support services	2010	4828
Queensland	Administrative and support services	2015	6049
Queensland	Administrative and support services	2016	720
Queensland	Administrative and support services		736
Queensland	Agriculture forestry and fishing	1991	2808
Queensland	Agriculture forestry and fishing	1995	418
Queensland	Agriculture forestry and fishing	2000	562
Queensland	Agriculture forestry and fishing	2005	721
Queensland	Agriculture forestry and fishing	2010	1483
Queensland	Agriculture forestry and fishing	2015	2961
Queensland	Agriculture forestry and fishing	2016	940
Queensland	Agriculture forestry and fishing		1000
Queensland	Arts and recreation services	1991	2487
Queensland	Arts and recreation services	1995	534
Queensland	Arts and recreation services	2000	821
Queensland	Arts and recreation services	2005	1046
Queensland	Arts and recreation services	2010	1455
Queensland	Arts and recreation services	2015	1232
Queensland	Arts and recreation services	2016	100
Queensland	Arts and recreation services		196
Queensland	Construction	1991	14220
Queensland	Construction	1995	2602
Queensland	Construction	2000	4173
Queensland	Construction	2005	4849
Queensland	Construction	2010	7349
Queensland	Construction	2015	5379
Queensland	Construction	2016	346
Queensland	Construction		992
Queensland	Education and training	1991	15168
Queensland	Education and training	1995	2965
Queensland	Education and training	2000	4324
Queensland	Education and training	2005	5403
Queensland	Education and training	2010	7282
Queensland	Education and training	2015	5809
Queensland	Education and training	2016	370
Queensland	Education and training		780
Queensland	Electricity gas water and waste services	1991	1652
Queensland	Electricity gas water and waste services	1995	297
Queensland	Electricity gas water and waste services	2000	490
Queensland	Electricity gas water and waste services	2005	745
Queensland	Electricity gas water and waste services	2010	1065
Queensland	Electricity gas water and waste services	2015	507
Queensland	Electricity gas water and waste services	2016	14
Queensland	Electricity gas water and waste services		77
Queensland	Financial and insurance services	1991	4477
Queensland	Financial and insurance services	1995	964
Queensland	Financial and insurance services	2000	1520
Queensland	Financial and insurance services	2005	2139
Queensland	Financial and insurance services	2010	2884
Queensland	Financial and insurance services	2015	1991
Queensland	Financial and insurance services	2016	105
Queensland	Financial and insurance services		221
Queensland	Health care and social assistance	1991	25660
Queensland	Health care and social assistance	1995	5719
Queensland	Health care and social assistance	2000	7988
Queensland	Health care and social assistance	2005	11063
Queensland	Health care and social assistance	2010	20255
Queensland	Health care and social assistance	2015	13107
Queensland	Health care and social assistance	2016	673
Queensland	Health care and social assistance		1456
Queensland	Information media and telecommunications	1991	1909
Queensland	Information media and telecommunications	1995	448
Queensland	Information media and telecommunications	2000	704
Queensland	Information media and telecommunications	2005	895
Queensland	Information media and telecommunications	2010	1257
Queensland	Information media and telecommunications	2015	1049
Queensland	Information media and telecommunications	2016	73
Queensland	Information media and telecommunications		114
Queensland	Manufacturing	1991	11649
Queensland	Manufacturing	1995	2486
Queensland	Manufacturing	2000	3715
Queensland	Manufacturing	2005	4741
Queensland	Manufacturing	2010	8719
Queensland	Manufacturing	2015	6375
Queensland	Manufacturing	2016	427
Queensland	Manufacturing		851
Queensland	Mining	1991	2673
Queensland	Mining	1995	520
Queensland	Mining	2000	795
Queensland	Mining	2005	1102
Queensland	Mining	2010	2188
Queensland	Mining	2015	1503
Queensland	Mining	2016	41
Queensland	Mining		170
Queensland	Other services	1991	6146
Queensland	Other services	1995	1301
Queensland	Other services	2000	1843
Queensland	Other services	2005	2428
Queensland	Other services	2010	4419
Queensland	Other services	2015	3690
Queensland	Other services	2016	258
Queensland	Other services		515
Queensland	Professional scientific and technical services	1991	11156
Queensland	Professional scientific and technical services	1995	2545
Queensland	Professional scientific and technical services	2000	3938
Queensland	Professional scientific and technical services	2005	5576
Queensland	Professional scientific and technical services	2010	8115
Queensland	Professional scientific and technical services	2015	5929
Queensland	Professional scientific and technical services	2016	445
Queensland	Professional scientific and technical services		537
Queensland	Public administration and safety	1991	11134
Queensland	Public administration and safety	1995	2109
Queensland	Public administration and safety	2000	2964
Queensland	Public administration and safety	2005	3341
Queensland	Public administration and safety	2010	4171
Queensland	Public administration and safety	2015	1969
Queensland	Public administration and safety	2016	104
Queensland	Public administration and safety		438
Queensland	Rental hiring and real estate services	1991	4131
Queensland	Rental hiring and real estate services	1995	812
Queensland	Rental hiring and real estate services	2000	1256
Queensland	Rental hiring and real estate services	2005	1539
Queensland	Rental hiring and real estate services	2010	1927
Queensland	Rental hiring and real estate services	2015	1459
Queensland	Rental hiring and real estate services	2016	63
Queensland	Rental hiring and real estate services		209
Queensland	Retail trade	1991	13083
Queensland	Retail trade	1995	2787
Queensland	Retail trade	2000	4833
Queensland	Retail trade	2005	5906
Queensland	Retail trade	2010	9399
Queensland	Retail trade	2015	7236
Queensland	Retail trade	2016	432
Queensland	Retail trade		917
Queensland	Transport postal and warehousing	1991	9857
Queensland	Transport postal and warehousing	1995	1812
Queensland	Transport postal and warehousing	2000	2850
Queensland	Transport postal and warehousing	2005	3267
Queensland	Transport postal and warehousing	2010	6824
Queensland	Transport postal and warehousing	2015	4068
Queensland	Transport postal and warehousing	2016	190
Queensland	Transport postal and warehousing		623
Queensland	Wholesale trade	1991	4796
Queensland	Wholesale trade	1995	967
Queensland	Wholesale trade	2000	1479
Queensland	Wholesale trade	2005	1857
Queensland	Wholesale trade	2010	3052
Queensland	Wholesale trade	2015	2288
Queensland	Wholesale trade	2016	142
Queensland	Wholesale trade		243
South Australia		1991	2249
South Australia		1995	273
South Australia		2000	342
South Australia		2005	648
South Australia		2010	1279
South Australia		2015	1113
South Australia		2016	104
South Australia			353
South Australia	Accommodation and food services	1991	2848
South Australia	Accommodation and food services	1995	502
South Australia	Accommodation and food services	2000	866
South Australia	Accommodation and food services	2005	1404
South Australia	Accommodation and food services	2010	3806
South Australia	Accommodation and food services	2015	3529
South Australia	Accommodation and food services	2016	295
South Australia	Accommodation and food services		302
South Australia	Administrative and support services	1991	2752
South Australia	Administrative and support services	1995	333
South Australia	Administrative and support services	2000	466
South Australia	Administrative and support services	2005	572
South Australia	Administrative and support services	2010	1498
South Australia	Administrative and support services	2015	1734
South Australia	Administrative and support services	2016	147
South Australia	Administrative and support services		185
South Australia	Agriculture forestry and fishing	1991	1790
South Australia	Agriculture forestry and fishing	1995	255
South Australia	Agriculture forestry and fishing	2000	232
South Australia	Agriculture forestry and fishing	2005	293
South Australia	Agriculture forestry and fishing	2010	753
South Australia	Agriculture forestry and fishing	2015	1042
South Australia	Agriculture forestry and fishing	2016	162
South Australia	Agriculture forestry and fishing		205
South Australia	Arts and recreation services	1991	721
South Australia	Arts and recreation services	1995	92
South Australia	Arts and recreation services	2000	149
South Australia	Arts and recreation services	2005	172
South Australia	Arts and recreation services	2010	300
South Australia	Arts and recreation services	2015	233
South Australia	Arts and recreation services	2016	21
South Australia	Arts and recreation services		45
South Australia	Construction	1991	5073
South Australia	Construction	1995	613
South Australia	Construction	2000	748
South Australia	Construction	2005	955
South Australia	Construction	2010	1850
South Australia	Construction	2015	1248
South Australia	Construction	2016	51
South Australia	Construction		243
South Australia	Education and training	1991	6226
South Australia	Education and training	1995	812
South Australia	Education and training	2000	957
South Australia	Education and training	2005	1329
South Australia	Education and training	2010	2303
South Australia	Education and training	2015	1754
South Australia	Education and training	2016	99
South Australia	Education and training		212
South Australia	Electricity gas water and waste services	1991	814
South Australia	Electricity gas water and waste services	1995	88
South Australia	Electricity gas water and waste services	2000	134
South Australia	Electricity gas water and waste services	2005	221
South Australia	Electricity gas water and waste services	2010	406
South Australia	Electricity gas water and waste services	2015	234
South Australia	Electricity gas water and waste services	2016	13
South Australia	Electricity gas water and waste services		30
South Australia	Financial and insurance services	1991	1822
South Australia	Financial and insurance services	1995	235
South Australia	Financial and insurance services	2000	294
South Australia	Financial and insurance services	2005	447
South Australia	Financial and insurance services	2010	732
South Australia	Financial and insurance services	2015	460
South Australia	Financial and insurance services	2016	26
South Australia	Financial and insurance services		53
South Australia	Health care and social assistance	1991	12256
South Australia	Health care and social assistance	1995	1736
South Australia	Health care and social assistance	2000	1838
South Australia	Health care and social assistance	2005	3359
South Australia	Health care and social assistance	2010	8249
South Australia	Health care and social assistance	2015	4971
South Australia	Health care and social assistance	2016	216
South Australia	Health care and social assistance		488
South Australia	Information media and telecommunications	1991	799
South Australia	Information media and telecommunications	1995	120
South Australia	Information media and telecommunications	2000	123
South Australia	Information media and telecommunications	2005	209
South Australia	Information media and telecommunications	2010	428
South Australia	Information media and telecommunications	2015	383
South Australia	Information media and telecommunications	2016	32
South Australia	Information media and telecommunications		37
South Australia	Manufacturing	1991	6590
South Australia	Manufacturing	1995	935
South Australia	Manufacturing	2000	902
South Australia	Manufacturing	2005	1332
South Australia	Manufacturing	2010	3029
South Australia	Manufacturing	2015	2548
South Australia	Manufacturing	2016	169
South Australia	Manufacturing		380
South Australia	Mining	1991	577
South Australia	Mining	1995	67
South Australia	Mining	2000	114
South Australia	Mining	2005	164
South Australia	Mining	2010	313
South Australia	Mining	2015	196
South Australia	Mining	2016	12
South Australia	Mining		23
South Australia	Other services	1991	2641
South Australia	Other services	1995	373
South Australia	Other services	2000	375
South Australia	Other services	2005	550
South Australia	Other services	2010	1276
South Australia	Other services	2015	1015
South Australia	Other services	2016	83
South Australia	Other services		122
South Australia	Professional scientific and technical services	1991	4034
South Australia	Professional scientific and technical services	1995	599
South Australia	Professional scientific and technical services	2000	739
South Australia	Professional scientific and technical services	2005	1167
South Australia	Professional scientific and technical services	2010	2023
South Australia	Professional scientific and technical services	2015	1634
South Australia	Professional scientific and technical services	2016	147
South Australia	Professional scientific and technical services		162
South Australia	Public administration and safety	1991	5587
South Australia	Public administration and safety	1995	664
South Australia	Public administration and safety	2000	686
South Australia	Public administration and safety	2005	973
South Australia	Public administration and safety	2010	1588
South Australia	Public administration and safety	2015	762
South Australia	Public administration and safety	2016	28
South Australia	Public administration and safety		171
South Australia	Rental hiring and real estate services	1991	1090
South Australia	Rental hiring and real estate services	1995	64
South Australia	Rental hiring and real estate services	2000	108
South Australia	Rental hiring and real estate services	2005	146
South Australia	Rental hiring and real estate services	2010	291
South Australia	Rental hiring and real estate services	2015	209
South Australia	Rental hiring and real estate services	2016	12
South Australia	Rental hiring and real estate services		42
South Australia	Retail trade	1991	5568
South Australia	Retail trade	1995	686
South Australia	Retail trade	2000	961
South Australia	Retail trade	2005	1385
South Australia	Retail trade	2010	3005
South Australia	Retail trade	2015	1979
South Australia	Retail trade	2016	124
South Australia	Retail trade		252
South Australia	Transport postal and warehousing	1991	3086
South Australia	Transport postal and warehousing	1995	358
South Australia	Transport postal and warehousing	2000	383
South Australia	Transport postal and warehousing	2005	507
South Australia	Transport postal and warehousing	2010	1927
South Australia	Transport postal and warehousing	2015	781
South Australia	Transport postal and warehousing	2016	42
South Australia	Transport postal and warehousing		150
South Australia	Wholesale trade	1991	1908
South Australia	Wholesale trade	1995	218
South Australia	Wholesale trade	2000	232
South Australia	Wholesale trade	2005	411
South Australia	Wholesale trade	2010	883
South Australia	Wholesale trade	2015	804
South Australia	Wholesale trade	2016	58
South Australia	Wholesale trade		100
Western Australia		1991	5972
Western Australia		1995	1149
Western Australia		2000	1586
Western Australia		2005	2180
Western Australia		2010	4813
Western Australia		2015	4638
Western Australia		2016	347
Western Australia			1175
Western Australia	Accommodation and food services	1991	5151
Western Australia	Accommodation and food services	1995	1457
Western Australia	Accommodation and food services	2000	2201
Western Australia	Accommodation and food services	2005	3591
Western Australia	Accommodation and food services	2010	9647
Western Australia	Accommodation and food services	2015	12005
Western Australia	Accommodation and food services	2016	964
Western Australia	Accommodation and food services		870
Western Australia	Administrative and support services	1991	4521
Western Australia	Administrative and support services	1995	875
Western Australia	Administrative and support services	2000	1156
Western Australia	Administrative and support services	2005	1541
Western Australia	Administrative and support services	2010	3444
Western Australia	Administrative and support services	2015	5127
Western Australia	Administrative and support services	2016	474
Western Australia	Administrative and support services		441
Western Australia	Agriculture forestry and fishing	1991	2333
Western Australia	Agriculture forestry and fishing	1995	308
Western Australia	Agriculture forestry and fishing	2000	349
Western Australia	Agriculture forestry and fishing	2005	466
Western Australia	Agriculture forestry and fishing	2010	895
Western Australia	Agriculture forestry and fishing	2015	1334
Western Australia	Agriculture forestry and fishing	2016	306
Western Australia	Agriculture forestry and fishing		381
Western Australia	Arts and recreation services	1991	2054
Western Australia	Arts and recreation services	1995	363
Western Australia	Arts and recreation services	2000	512
Western Australia	Arts and recreation services	2005	676
Western Australia	Arts and recreation services	2010	1162
Western Australia	Arts and recreation services	2015	915
Western Australia	Arts and recreation services	2016	39
Western Australia	Arts and recreation services		118
Western Australia	Construction	1991	12495
Western Australia	Construction	1995	2230
Western Australia	Construction	2000	3148
Western Australia	Construction	2005	4183
Western Australia	Construction	2010	9180
Western Australia	Construction	2015	8953
Western Australia	Construction	2016	272
Western Australia	Construction		840
Western Australia	Education and training	1991	13790
Western Australia	Education and training	1995	2397
Western Australia	Education and training	2000	2947
Western Australia	Education and training	2005	3808
Western Australia	Education and training	2010	5811
Western Australia	Education and training	2015	4389
Western Australia	Education and training	2016	203
Western Australia	Education and training		519
Western Australia	Electricity gas water and waste services	1991	1659
Western Australia	Electricity gas water and waste services	1995	290
Western Australia	Electricity gas water and waste services	2000	362
Western Australia	Electricity gas water and waste services	2005	651
Western Australia	Electricity gas water and waste services	2010	1352
Western Australia	Electricity gas water and waste services	2015	886
Western Australia	Electricity gas water and waste services	2016	36
Western Australia	Electricity gas water and waste services		87
Western Australia	Financial and insurance services	1991	3729
Western Australia	Financial and insurance services	1995	707
Western Australia	Financial and insurance services	2000	932
Western Australia	Financial and insurance services	2005	1314
Western Australia	Financial and insurance services	2010	1964
Western Australia	Financial and insurance services	2015	1566
Western Australia	Financial and insurance services	2016	46
Western Australia	Financial and insurance services		136
Western Australia	Health care and social assistance	1991	20116
Western Australia	Health care and social assistance	1995	3878
Western Australia	Health care and social assistance	2000	4634
Western Australia	Health care and social assistance	2005	7123
Western Australia	Health care and social assistance	2010	14562
Western Australia	Health care and social assistance	2015	12135
Western Australia	Health care and social assistance	2016	496
Western Australia	Health care and social assistance		977
Western Australia	Information media and telecommunications	1991	1343
Western Australia	Information media and telecommunications	1995	236
Western Australia	Information media and telecommunications	2000	348
Western Australia	Information media and telecommunications	2005	447
Western Australia	Information media and telecommunications	2010	863
Western Australia	Information media and telecommunications	2015	749
Western Australia	Information media and telecommunications	2016	42
Western Australia	Information media and telecommunications		79
Western Australia	Manufacturing	1991	8439
Western Australia	Manufacturing	1995	1636
Western Australia	Manufacturing	2000	1834
Western Australia	Manufacturing	2005	2646
Western Australia	Manufacturing	2010	6566
Western Australia	Manufacturing	2015	5768
Western Australia	Manufacturing	2016	271
Western Australia	Manufacturing		516
Western Australia	Mining	1991	7468
Western Australia	Mining	1995	1605
Western Australia	Mining	2000	2213
Western Australia	Mining	2005	3051
Western Australia	Mining	2010	6485
Western Australia	Mining	2015	4241
Western Australia	Mining	2016	117
Western Australia	Mining		449
Western Australia	Other services	1991	5122
Western Australia	Other services	1995	1027
Western Australia	Other services	2000	1246
Western Australia	Other services	2005	1651
Western Australia	Other services	2010	3944
Western Australia	Other services	2015	3971
Western Australia	Other services	2016	229
Western Australia	Other services		329
Western Australia	Professional scientific and technical services	1991	9684
