STE_NAME16	HoursWorked.min	IndustryOfEmployment	workers
Western Australia	1	Wholesale trade	1745
Western Australia	16		3910
Western Australia	16	Accommodation and food services	11990
Western Australia	16	Administrative and support services	5688
Western Australia	16	Agriculture forestry and fishing	2264
Western Australia	16	Arts and recreation services	2228
Western Australia	16	Construction	6308
Western Australia	16	Education and training	13132
Western Australia	16	Electricity gas water and waste services	502
Western Australia	16	Financial and insurance services	2342
Western Australia	16	Health care and social assistance	21012
Western Australia	16	Information media and telecommunications	917
Western Australia	16	Manufacturing	3533
Western Australia	16	Mining	1888
Western Australia	16	Other services	4654
Western Australia	16	Professional scientific and technical services	6072
Western Australia	16	Public administration and safety	4967
Western Australia	16	Rental hiring and real estate services	1618
Western Australia	16	Retail trade	16401
Western Australia	16	Transport postal and warehousing	3740
Western Australia	16	Wholesale trade	1714
Western Australia	25		3897
Western Australia	25	Accommodation and food services	9274
Western Australia	25	Administrative and support services	4938
Western Australia	25	Agriculture forestry and fishing	2551
Western Australia	25	Arts and recreation services	2246
Western Australia	25	Construction	8589
Western Australia	25	Education and training	14910
Western Australia	25	Electricity gas water and waste services	686
Western Australia	25	Financial and insurance services	2555
Western Australia	25	Health care and social assistance	25494
Western Australia	25	Information media and telecommunications	995
Western Australia	25	Manufacturing	4210
Western Australia	25	Mining	1602
Western Australia	25	Other services	5108
Western Australia	25	Professional scientific and technical services	6516
Western Australia	25	Public administration and safety	5149
Western Australia	25	Rental hiring and real estate services	1860
Western Australia	25	Retail trade	15401
Western Australia	25	Transport postal and warehousing	5499
Western Australia	25	Wholesale trade	2098
Western Australia	35		7666
Western Australia	35	Accommodation and food services	8098
Western Australia	35	Administrative and support services	5563
Western Australia	35	Agriculture forestry and fishing	2221
Western Australia	35	Arts and recreation services	2896
Western Australia	35	Construction	14825
Western Australia	35	Education and training	17260
Western Australia	35	Electricity gas water and waste services	3355
Western Australia	35	Financial and insurance services	5831
Western Australia	35	Health care and social assistance	30538
Western Australia	35	Information media and telecommunications	2456
Western Australia	35	Manufacturing	15336
Western Australia	35	Mining	4626
Western Australia	35	Other services	8574
Western Australia	35	Professional scientific and technical services	11927
Western Australia	35	Public administration and safety	20467
Western Australia	35	Rental hiring and real estate services	3803
Western Australia	35	Retail trade	18679
Western Australia	35	Transport postal and warehousing	8442
Western Australia	35	Wholesale trade	6284
Western Australia	40		9656
Western Australia	40	Accommodation and food services	6607
Western Australia	40	Administrative and support services	5729
Western Australia	40	Agriculture forestry and fishing	4499
Western Australia	40	Arts and recreation services	2553
Western Australia	40	Construction	29352
Western Australia	40	Education and training	15386
Western Australia	40	Electricity gas water and waste services	3061
Western Australia	40	Financial and insurance services	7114
Western Australia	40	Health care and social assistance	18362
Western Australia	40	Information media and telecommunications	2689
Western Australia	40	Manufacturing	14491
Western Australia	40	Mining	9569
Western Australia	40	Other services	8440
Western Australia	40	Professional scientific and technical services	18324
Western Australia	40	Public administration and safety	16692
Western Australia	40	Rental hiring and real estate services	4281
Western Australia	40	Retail trade	12121
Western Australia	40	Transport postal and warehousing	10235
Western Australia	40	Wholesale trade	7356
Western Australia	41		3714
Western Australia	41	Accommodation and food services	4103
Western Australia	41	Administrative and support services	2566
Western Australia	41	Agriculture forestry and fishing	2377
Western Australia	41	Arts and recreation services	1224
Western Australia	41	Construction	13342
Western Australia	41	Education and training	8458
Western Australia	41	Electricity gas water and waste services	2061
Western Australia	41	Financial and insurance services	2815
Western Australia	41	Health care and social assistance	7429
Western Australia	41	Information media and telecommunications	1151
Western Australia	41	Manufacturing	9726
Western Australia	41	Mining	10320
Western Australia	41	Other services	4287
Western Australia	41	Professional scientific and technical services	8034
Western Australia	41	Public administration and safety	8648
Western Australia	41	Rental hiring and real estate services	2027
Western Australia	41	Retail trade	7013
Western Australia	41	Transport postal and warehousing	6699
Western Australia	41	Wholesale trade	4008
Western Australia	49		8224
Western Australia	49	Accommodation and food services	8590
Western Australia	49	Administrative and support services	4872
Western Australia	49	Agriculture forestry and fishing	10348
Western Australia	49	Arts and recreation services	1847
Western Australia	49	Construction	31260
Western Australia	49	Education and training	12486
Western Australia	49	Electricity gas water and waste services	2866
Western Australia	49	Financial and insurance services	3758
Western Australia	49	Health care and social assistance	9991
Western Australia	49	Information media and telecommunications	1351
Western Australia	49	Manufacturing	10979
Western Australia	49	Mining	39597
Western Australia	49	Other services	6838
Western Australia	49	Professional scientific and technical services	13991
Western Australia	49	Public administration and safety	7942
Western Australia	49	Rental hiring and real estate services	3887
Western Australia	49	Retail trade	10031
Western Australia	49	Transport postal and warehousing	12571
Western Australia	49	Wholesale trade	5294
Tasmania			1626
Tasmania		Accommodation and food services	236
Tasmania		Administrative and support services	100
Tasmania		Agriculture forestry and fishing	199
Tasmania		Arts and recreation services	48
Tasmania		Construction	189
Tasmania		Education and training	140
Tasmania		Electricity gas water and waste services	20
Tasmania		Financial and insurance services	19
Tasmania		Health care and social assistance	263
Tasmania		Information media and telecommunications	16
Tasmania		Manufacturing	131
Tasmania		Mining	37
Tasmania		Other services	90
Tasmania		Professional scientific and technical services	64
Tasmania		Public administration and safety	135
Tasmania		Rental hiring and real estate services	21
Tasmania		Retail trade	219
Tasmania		Transport postal and warehousing	136
Tasmania		Wholesale trade	36
Tasmania	0		373
Tasmania	0	Accommodation and food services	657
Tasmania	0	Administrative and support services	243
Tasmania	0	Agriculture forestry and fishing	446
Tasmania	0	Arts and recreation services	153
Tasmania	0	Construction	476
Tasmania	0	Education and training	766
Tasmania	0	Electricity gas water and waste services	133
Tasmania	0	Financial and insurance services	229
Tasmania	0	Health care and social assistance	1666
Tasmania	0	Information media and telecommunications	125
Tasmania	0	Manufacturing	526
Tasmania	0	Mining	112
Tasmania	0	Other services	240
Tasmania	0	Professional scientific and technical services	356
Tasmania	0	Public administration and safety	999
Tasmania	0	Rental hiring and real estate services	97
Tasmania	0	Retail trade	950
Tasmania	0	Transport postal and warehousing	520
Tasmania	0	Wholesale trade	159
Tasmania	1		863
Tasmania	1	Accommodation and food services	5582
Tasmania	1	Administrative and support services	1476
Tasmania	1	Agriculture forestry and fishing	1029
Tasmania	1	Arts and recreation services	946
Tasmania	1	Construction	928
Tasmania	1	Education and training	2715
Tasmania	1	Electricity gas water and waste services	103
Tasmania	1	Financial and insurance services	259
Tasmania	1	Health care and social assistance	3294
Tasmania	1	Information media and telecommunications	275
Tasmania	1	Manufacturing	1143
Tasmania	1	Mining	41
Tasmania	1	Other services	1155
Tasmania	1	Professional scientific and technical services	1191
Tasmania	1	Public administration and safety	814
Tasmania	1	Rental hiring and real estate services	279
Tasmania	1	Retail trade	5394
Tasmania	1	Transport postal and warehousing	749
Tasmania	1	Wholesale trade	392
Tasmania	16		553
Tasmania	16	Accommodation and food services	2423
Tasmania	16	Administrative and support services	929
Tasmania	16	Agriculture forestry and fishing	859
Tasmania	16	Arts and recreation services	496
Tasmania	16	Construction	868
Tasmania	16	Education and training	2911
Tasmania	16	Electricity gas water and waste services	122
Tasmania	16	Financial and insurance services	425
Tasmania	16	Health care and social assistance	5194
Tasmania	16	Information media and telecommunications	252
Tasmania	16	Manufacturing	999
Tasmania	16	Mining	52
Tasmania	16	Other services	907
Tasmania	16	Professional scientific and technical services	966
Tasmania	16	Public administration and safety	1495
Tasmania	16	Rental hiring and real estate services	235
Tasmania	16	Retail trade	3239
Tasmania	16	Transport postal and warehousing	813
Tasmania	16	Wholesale trade	295
Tasmania	25		679
Tasmania	25	Accommodation and food services	2176
Tasmania	25	Administrative and support services	849
Tasmania	25	Agriculture forestry and fishing	1162
Tasmania	25	Arts and recreation services	554
Tasmania	25	Construction	1438
Tasmania	25	Education and training	3096
Tasmania	25	Electricity gas water and waste services	194
Tasmania	25	Financial and insurance services	564
Tasmania	25	Health care and social assistance	7071
Tasmania	25	Information media and telecommunications	307
Tasmania	25	Manufacturing	1204
Tasmania	25	Mining	48
Tasmania	25	Other services	1031
Tasmania	25	Professional scientific and technical services	1200
Tasmania	25	Public administration and safety	2095
Tasmania	25	Rental hiring and real estate services	255
Tasmania	25	Retail trade	3481
Tasmania	25	Transport postal and warehousing	910
Tasmania	25	Wholesale trade	392
Tasmania	35		1087
Tasmania	35	Accommodation and food services	1749
Tasmania	35	Administrative and support services	1163
Tasmania	35	Agriculture forestry and fishing	1433
Tasmania	35	Arts and recreation services	684
Tasmania	35	Construction	2774
Tasmania	35	Education and training	3639
Tasmania	35	Electricity gas water and waste services	1134
Tasmania	35	Financial and insurance services	1370
Tasmania	35	Health care and social assistance	5809
Tasmania	35	Information media and telecommunications	797
Tasmania	35	Manufacturing	3619
Tasmania	35	Mining	143
Tasmania	35	Other services	1674
Tasmania	35	Professional scientific and technical services	2139
Tasmania	35	Public administration and safety	5541
Tasmania	35	Rental hiring and real estate services	649
Tasmania	35	Retail trade	4408
Tasmania	35	Transport postal and warehousing	1442
Tasmania	35	Wholesale trade	1220
Tasmania	40		1021
Tasmania	40	Accommodation and food services	1148
Tasmania	40	Administrative and support services	749
Tasmania	40	Agriculture forestry and fishing	2053
Tasmania	40	Arts and recreation services	532
Tasmania	40	Construction	5019
Tasmania	40	Education and training	2647
Tasmania	40	Electricity gas water and waste services	800
Tasmania	40	Financial and insurance services	868
Tasmania	40	Health care and social assistance	3393
Tasmania	40	Information media and telecommunications	547
Tasmania	40	Manufacturing	3104
Tasmania	40	Mining	238
Tasmania	40	Other services	1372
Tasmania	40	Professional scientific and technical services	1879
Tasmania	40	Public administration and safety	2754
Tasmania	40	Rental hiring and real estate services	423
Tasmania	40	Retail trade	2349
Tasmania	40	Transport postal and warehousing	1490
Tasmania	40	Wholesale trade	1011
Tasmania	41		390
Tasmania	41	Accommodation and food services	854
Tasmania	41	Administrative and support services	374
Tasmania	41	Agriculture forestry and fishing	1047
Tasmania	41	Arts and recreation services	245
Tasmania	41	Construction	2059
Tasmania	41	Education and training	1636
Tasmania	41	Electricity gas water and waste services	476
Tasmania	41	Financial and insurance services	367
Tasmania	41	Health care and social assistance	1604
Tasmania	41	Information media and telecommunications	315
Tasmania	41	Manufacturing	2106
Tasmania	41	Mining	530
Tasmania	41	Other services	704
Tasmania	41	Professional scientific and technical services	945
Tasmania	41	Public administration and safety	1541
Tasmania	41	Rental hiring and real estate services	259
Tasmania	41	Retail trade	1580
Tasmania	41	Transport postal and warehousing	1052
Tasmania	41	Wholesale trade	573
Tasmania	49		706
Tasmania	49	Accommodation and food services	1658
Tasmania	49	Administrative and support services	506
Tasmania	49	Agriculture forestry and fishing	3158
Tasmania	49	Arts and recreation services	365
Tasmania	49	Construction	2583
Tasmania	49	Education and training	2470
Tasmania	49	Electricity gas water and waste services	505
Tasmania	49	Financial and insurance services	419
Tasmania	49	Health care and social assistance	2336
Tasmania	49	Information media and telecommunications	274
Tasmania	49	Manufacturing	1972
Tasmania	49	Mining	680
Tasmania	49	Other services	924
Tasmania	49	Professional scientific and technical services	1398
Tasmania	49	Public administration and safety	1482
Tasmania	49	Rental hiring and real estate services	463
Tasmania	49	Retail trade	1948
Tasmania	49	Transport postal and warehousing	1974
Tasmania	49	Wholesale trade	715
Northern Territory			1288
Northern Territory		Accommodation and food services	117
Northern Territory		Administrative and support services	52
Northern Territory		Agriculture forestry and fishing	52
Northern Territory		Arts and recreation services	34
Northern Territory		Construction	179
Northern Territory		Education and training	120
Northern Territory		Electricity gas water and waste services	17
Northern Territory		Financial and insurance services	10
Northern Territory		Health care and social assistance	175
Northern Territory		Information media and telecommunications	16
Northern Territory		Manufacturing	23
Northern Territory		Mining	44
Northern Territory		Other services	108
Northern Territory		Professional scientific and technical services	53
Northern Territory		Public administration and safety	244
Northern Territory		Rental hiring and real estate services	18
Northern Territory		Retail trade	119
Northern Territory		Transport postal and warehousing	71
Northern Territory		Wholesale trade	10
Northern Territory	0		237
Northern Territory	0	Accommodation and food services	172
Northern Territory	0	Administrative and support services	111
Northern Territory	0	Agriculture forestry and fishing	77
Northern Territory	0	Arts and recreation services	80
Northern Territory	0	Construction	515
Northern Territory	0	Education and training	431
Northern Territory	0	Electricity gas water and waste services	83
Northern Territory	0	Financial and insurance services	73
Northern Territory	0	Health care and social assistance	590
Northern Territory	0	Information media and telecommunications	47
Northern Territory	0	Manufacturing	85
Northern Territory	0	Mining	401
Northern Territory	0	Other services	129
Northern Territory	0	Professional scientific and technical services	261
Northern Territory	0	Public administration and safety	1222
Northern Territory	0	Rental hiring and real estate services	51
Northern Territory	0	Retail trade	269
Northern Territory	0	Transport postal and warehousing	217
Northern Territory	0	Wholesale trade	44
Northern Territory	1		298
Northern Territory	1	Accommodation and food services	1066
Northern Territory	1	Administrative and support services	339
Northern Territory	1	Agriculture forestry and fishing	105
Northern Territory	1	Arts and recreation services	314
Northern Territory	1	Construction	358
Northern Territory	1	Education and training	743
Northern Territory	1	Electricity gas water and waste services	23
Northern Territory	1	Financial and insurance services	45
Northern Territory	1	Health care and social assistance	655
Northern Territory	1	Information media and telecommunications	90
Northern Territory	1	Manufacturing	132
Northern Territory	1	Mining	59
Northern Territory	1	Other services	380
Northern Territory	1	Professional scientific and technical services	327
Northern Territory	1	Public administration and safety	438
Northern Territory	1	Rental hiring and real estate services	98
Northern Territory	1	Retail trade	1185
Northern Territory	1	Transport postal and warehousing	206
Northern Territory	1	Wholesale trade	59
Northern Territory	16		217
Northern Territory	16	Accommodation and food services	904
Northern Territory	16	Administrative and support services	313
Northern Territory	16	Agriculture forestry and fishing	98
Northern Territory	16	Arts and recreation services	199
Northern Territory	16	Construction	327
Northern Territory	16	Education and training	790
Northern Territory	16	Electricity gas water and waste services	21
Northern Territory	16	Financial and insurance services	43
Northern Territory	16	Health care and social assistance	982
Northern Territory	16	Information media and telecommunications	64
Northern Territory	16	Manufacturing	98
Northern Territory	16	Mining	71
Northern Territory	16	Other services	323
Northern Territory	16	Professional scientific and technical services	279
Northern Territory	16	Public administration and safety	571
Northern Territory	16	Rental hiring and real estate services	72
Northern Territory	16	Retail trade	813
Northern Territory	16	Transport postal and warehousing	266
Northern Territory	16	Wholesale trade	60
Northern Territory	25		289
Northern Territory	25	Accommodation and food services	828
Northern Territory	25	Administrative and support services	390
Northern Territory	25	Agriculture forestry and fishing	108
Northern Territory	25	Arts and recreation services	247
Northern Territory	25	Construction	551
Northern Territory	25	Education and training	1007
Northern Territory	25	Electricity gas water and waste services	67
Northern Territory	25	Financial and insurance services	109
Northern Territory	25	Health care and social assistance	1445
Northern Territory	25	Information media and telecommunications	64
Northern Territory	25	Manufacturing	132
Northern Territory	25	Mining	58
Northern Territory	25	Other services	402
Northern Territory	25	Professional scientific and technical services	398
Northern Territory	25	Public administration and safety	986
Northern Territory	25	Rental hiring and real estate services	99
Northern Territory	25	Retail trade	953
Northern Territory	25	Transport postal and warehousing	423
Northern Territory	25	Wholesale trade	91
Northern Territory	35		730
Northern Territory	35	Accommodation and food services	1207
Northern Territory	35	Administrative and support services	629
Northern Territory	35	Agriculture forestry and fishing	194
Northern Territory	35	Arts and recreation services	482
Northern Territory	35	Construction	1261
Northern Territory	35	Education and training	2269
Northern Territory	35	Electricity gas water and waste services	464
Northern Territory	35	Financial and insurance services	283
Northern Territory	35	Health care and social assistance	3555
Northern Territory	35	Information media and telecommunications	283
Northern Territory	35	Manufacturing	497
Northern Territory	35	Mining	140
Northern Territory	35	Other services	992
Northern Territory	35	Professional scientific and technical services	949
Northern Territory	35	Public administration and safety	5365
Northern Territory	35	Rental hiring and real estate services	353
Northern Territory	35	Retail trade	1681
Northern Territory	35	Transport postal and warehousing	928
Northern Territory	35	Wholesale trade	447
Northern Territory	40		760
Northern Territory	40	Accommodation and food services	1034
Northern Territory	40	Administrative and support services	532
Northern Territory	40	Agriculture forestry and fishing	407
Northern Territory	40	Arts and recreation services	442
Northern Territory	40	Construction	1976
Northern Territory	40	Education and training	1775
Northern Territory	40	Electricity gas water and waste services	377
Northern Territory	40	Financial and insurance services	294
Northern Territory	40	Health care and social assistance	2277
Northern Territory	40	Information media and telecommunications	215
Northern Territory	40	Manufacturing	596
Northern Territory	40	Mining	304
Northern Territory	40	Other services	873
Northern Territory	40	Professional scientific and technical services	1151
Northern Territory	40	Public administration and safety	4462
Northern Territory	40	Rental hiring and real estate services	283
Northern Territory	40	Retail trade	942
Northern Territory	40	Transport postal and warehousing	868
Northern Territory	40	Wholesale trade	407
Northern Territory	41		305
Northern Territory	41	Accommodation and food services	635
Northern Territory	41	Administrative and support services	298
Northern Territory	41	Agriculture forestry and fishing	142
Northern Territory	41	Arts and recreation services	168
Northern Territory	41	Construction	1176
Northern Territory	41	Education and training	934
Northern Territory	41	Electricity gas water and waste services	234
Northern Territory	41	Financial and insurance services	103
Northern Territory	41	Health care and social assistance	830
Northern Territory	41	Information media and telecommunications	109
Northern Territory	41	Manufacturing	357
Northern Territory	41	Mining	380
Northern Territory	41	Other services	386
Northern Territory	41	Professional scientific and technical services	561
Northern Territory	41	Public administration and safety	2463
Northern Territory	41	Rental hiring and real estate services	185
Northern Territory	41	Retail trade	634
Northern Territory	41	Transport postal and warehousing	592
Northern Territory	41	Wholesale trade	247
Northern Territory	49		964
Northern Territory	49	Accommodation and food services	1269
Northern Territory	49	Administrative and support services	602
Northern Territory	49	Agriculture forestry and fishing	1119
Northern Territory	49	Arts and recreation services	293
Northern Territory	49	Construction	6081
Northern Territory	49	Education and training	1649
Northern Territory	49	Electricity gas water and waste services	427
Northern Territory	49	Financial and insurance services	200
Northern Territory	49	Health care and social assistance	1241
Northern Territory	49	Information media and telecommunications	143
Northern Territory	49	Manufacturing	643
Northern Territory	49	Mining	2343
Northern Territory	49	Other services	688
Northern Territory	49	Professional scientific and technical services	2607
Northern Territory	49	Public administration and safety	3217
Northern Territory	49	Rental hiring and real estate services	362
Northern Territory	49	Retail trade	988
Northern Territory	49	Transport postal and warehousing	1154
Northern Territory	49	Wholesale trade	417
Australian Capital Territory			1394
Australian Capital Territory		Accommodation and food services	277
Australian Capital Territory		Administrative and support services	72
Australian Capital Territory		Agriculture forestry and fishing	8
Australian Capital Territory		Arts and recreation services	54
Australian Capital Territory		Construction	177
Australian Capital Territory		Education and training	183
Australian Capital Territory		Electricity gas water and waste services	12
Australian Capital Territory		Financial and insurance services	21
Australian Capital Territory		Health care and social assistance	195
Australian Capital Territory		Information media and telecommunications	30
Australian Capital Territory		Manufacturing	22
Australian Capital Territory		Other services	81
Australian Capital Territory		Professional scientific and technical services	134
Australian Capital Territory		Public administration and safety	468
Australian Capital Territory		Rental hiring and real estate services	19
Australian Capital Territory		Retail trade	206
Australian Capital Territory		Transport postal and warehousing	60
Australian Capital Territory		Wholesale trade	12
Australian Capital Territory	0		204
Australian Capital Territory	0	Accommodation and food services	452
Australian Capital Territory	0	Administrative and support services	203
Australian Capital Territory	0	Agriculture forestry and fishing	26
Australian Capital Territory	0	Arts and recreation services	149
Australian Capital Territory	0	Construction	282
Australian Capital Territory	0	Education and training	913
Australian Capital Territory	0	Electricity gas water and waste services	69
Australian Capital Territory	0	Financial and insurance services	146
Australian Capital Territory	0	Health care and social assistance	1150
Australian Capital Territory	0	Information media and telecommunications	164
Australian Capital Territory	0	Manufacturing	94
Australian Capital Territory	0	Mining	5
Australian Capital Territory	0	Other services	165
Australian Capital Territory	0	Professional scientific and technical services	632
Australian Capital Territory	0	Public administration and safety	4134
Australian Capital Territory	0	Rental hiring and real estate services	87
Australian Capital Territory	0	Retail trade	546
Australian Capital Territory	0	Transport postal and warehousing	239
Australian Capital Territory	0	Wholesale trade	54
Australian Capital Territory	1		618
Australian Capital Territory	1	Accommodation and food services	4328
Australian Capital Territory	1	Administrative and support services	858
Australian Capital Territory	1	Agriculture forestry and fishing	64
Australian Capital Territory	1	Arts and recreation services	973
Australian Capital Territory	1	Construction	542
Australian Capital Territory	1	Education and training	3091
Australian Capital Territory	1	Electricity gas water and waste services	29
Australian Capital Territory	1	Financial and insurance services	190
Australian Capital Territory	1	Health care and social assistance	2304
Australian Capital Territory	1	Information media and telecommunications	297
Australian Capital Territory	1	Manufacturing	364
Australian Capital Territory	1	Mining	4
Australian Capital Territory	1	Other services	858
Australian Capital Territory	1	Professional scientific and technical services	1244
Australian Capital Territory	1	Public administration and safety	1485
Australian Capital Territory	1	Rental hiring and real estate services	195
Australian Capital Territory	1	Retail trade	3909
Australian Capital Territory	1	Transport postal and warehousing	327
Australian Capital Territory	1	Wholesale trade	150
Australian Capital Territory	16		393
Australian Capital Territory	16	Accommodation and food services	2205
Australian Capital Territory	16	Administrative and support services	812
Australian Capital Territory	16	Agriculture forestry and fishing	43
Australian Capital Territory	16	Arts and recreation services	426
Australian Capital Territory	16	Construction	557
Australian Capital Territory	16	Education and training	1964
Australian Capital Territory	16	Electricity gas water and waste services	48
Australian Capital Territory	16	Financial and insurance services	201
Australian Capital Territory	16	Health care and social assistance	3047
Australian Capital Territory	16	Information media and telecommunications	261
Australian Capital Territory	16	Manufacturing	210
Australian Capital Territory	16	Mining	8
Australian Capital Territory	16	Other services	651
Australian Capital Territory	16	Professional scientific and technical services	1255
Australian Capital Territory	16	Public administration and safety	2899
Australian Capital Territory	16	Rental hiring and real estate services	147
Australian Capital Territory	16	Retail trade	2216
Australian Capital Territory	16	Transport postal and warehousing	325
Australian Capital Territory	16	Wholesale trade	120
Australian Capital Territory	25		400
Australian Capital Territory	25	Accommodation and food services	1666
Australian Capital Territory	25	Administrative and support services	677
Australian Capital Territory	25	Agriculture forestry and fishing	66
Australian Capital Territory	25	Arts and recreation services	437
Australian Capital Territory	25	Construction	837
Australian Capital Territory	25	Education and training	2350
Australian Capital Territory	25	Electricity gas water and waste services	71
Australian Capital Territory	25	Financial and insurance services	299
Australian Capital Territory	25	Health care and social assistance	3866
Australian Capital Territory	25	Information media and telecommunications	312
Australian Capital Territory	25	Manufacturing	221
Australian Capital Territory	25	Mining	3
Australian Capital Territory	25	Other services	747
Australian Capital Territory	25	Professional scientific and technical services	1758
Australian Capital Territory	25	Public administration and safety	5194
Australian Capital Territory	25	Rental hiring and real estate services	193
Australian Capital Territory	25	Retail trade	2115
Australian Capital Territory	25	Transport postal and warehousing	523
Australian Capital Territory	25	Wholesale trade	139
Australian Capital Territory	35		906
Australian Capital Territory	35	Accommodation and food services	1733
Australian Capital Territory	35	Administrative and support services	1110
Australian Capital Territory	35	Agriculture forestry and fishing	122
Australian Capital Territory	35	Arts and recreation services	727
Australian Capital Territory	35	Construction	1710
Australian Capital Territory	35	Education and training	4583
Australian Capital Territory	35	Electricity gas water and waste services	483
Australian Capital Territory	35	Financial and insurance services	942
Australian Capital Territory	35	Health care and social assistance	5789
Australian Capital Territory	35	Information media and telecommunications	1078
Australian Capital Territory	35	Manufacturing	714
Australian Capital Territory	35	Mining	12
Australian Capital Territory	35	Other services	1423
Australian Capital Territory	35	Professional scientific and technical services	4558
Australian Capital Territory	35	Public administration and safety	21119
Australian Capital Territory	35	Rental hiring and real estate services	678
Australian Capital Territory	35	Retail trade	2971
Australian Capital Territory	35	Transport postal and warehousing	1124
Australian Capital Territory	35	Wholesale trade	500
Australian Capital Territory	40		1008
Australian Capital Territory	40	Accommodation and food services	1348
Australian Capital Territory	40	Administrative and support services	1028
Australian Capital Territory	40	Agriculture forestry and fishing	92
Australian Capital Territory	40	Arts and recreation services	477
Australian Capital Territory	40	Construction	3874
Australian Capital Territory	40	Education and training	3169
Australian Capital Territory	40	Electricity gas water and waste services	426
Australian Capital Territory	40	Financial and insurance services	824
Australian Capital Territory	40	Health care and social assistance	3537
Australian Capital Territory	40	Information media and telecommunications	987
Australian Capital Territory	40	Manufacturing	799
Australian Capital Territory	40	Mining	14
Australian Capital Territory	40	Other services	1150
Australian Capital Territory	40	Professional scientific and technical services	6001
Australian Capital Territory	40	Public administration and safety	17717
Australian Capital Territory	40	Rental hiring and real estate services	701
Australian Capital Territory	40	Retail trade	1575
Australian Capital Territory	40	Transport postal and warehousing	1093
Australian Capital Territory	40	Wholesale trade	559
Australian Capital Territory	41		387
Australian Capital Territory	41	Accommodation and food services	784
Australian Capital Territory	41	Administrative and support services	408
Australian Capital Territory	41	Agriculture forestry and fishing	37
Australian Capital Territory	41	Arts and recreation services	279
Australian Capital Territory	41	Construction	1728
Australian Capital Territory	41	Education and training	1969
Australian Capital Territory	41	Electricity gas water and waste services	213
Australian Capital Territory	41	Financial and insurance services	401
Australian Capital Territory	41	Health care and social assistance	1428
Australian Capital Territory	41	Information media and telecommunications	475
Australian Capital Territory	41	Manufacturing	436
Australian Capital Territory	41	Mining	10
Australian Capital Territory	41	Other services	701
Australian Capital Territory	41	Professional scientific and technical services	2639
Australian Capital Territory	41	Public administration and safety	9629
Australian Capital Territory	41	Rental hiring and real estate services	358
Australian Capital Territory	41	Retail trade	1109
Australian Capital Territory	41	Transport postal and warehousing	648
Australian Capital Territory	41	Wholesale trade	306
Australian Capital Territory	49		644
Australian Capital Territory	49	Accommodation and food services	1373
Australian Capital Territory	49	Administrative and support services	580
Australian Capital Territory	49	Agriculture forestry and fishing	72
Australian Capital Territory	49	Arts and recreation services	397
Australian Capital Territory	49	Construction	3129
Australian Capital Territory	49	Education and training	3116
Australian Capital Territory	49	Electricity gas water and waste services	244
Australian Capital Territory	49	Financial and insurance services	475
Australian Capital Territory	49	Health care and social assistance	2032
Australian Capital Territory	49	Information media and telecommunications	492
Australian Capital Territory	49	Manufacturing	595
Australian Capital Territory	49	Mining	22
Australian Capital Territory	49	Other services	961
Australian Capital Territory	49	Professional scientific and technical services	3377
Australian Capital Territory	49	Public administration and safety	9317
Australian Capital Territory	49	Rental hiring and real estate services	560
Australian Capital Territory	49	Retail trade	1462
Australian Capital Territory	49	Transport postal and warehousing	925
Australian Capital Territory	49	Wholesale trade	446
Other Territories			37
Other Territories		Accommodation and food services	10
Other Territories		Administrative and support services	6
Other Territories		Education and training	3
Other Territories		Manufacturing	4
Other Territories		Mining	8
Other Territories		Other services	3
Other Territories		Public administration and safety	8
Other Territories		Retail trade	3
Other Territories		Transport postal and warehousing	3
Other Territories	0		15
Other Territories	0	Accommodation and food services	17
Other Territories	0	Administrative and support services	8
Other Territories	0	Arts and recreation services	8
Other Territories	0	Construction	15
Other Territories	0	Education and training	14
Other Territories	0	Financial and insurance services	4
Other Territories	0	Health care and social assistance	17
Other Territories	0	Manufacturing	5
Other Territories	0	Mining	32
Other Territories	0	Other services	4
Other Territories	0	Professional scientific and technical services	10
Other Territories	0	Public administration and safety	38
Other Territories	0	Retail trade	6
Other Territories	0	Transport postal and warehousing	16
Other Territories	0	Wholesale trade	3
Other Territories	1		12
Other Territories	1	Accommodation and food services	43
Other Territories	1	Administrative and support services	22
Other Territories	1	Agriculture forestry and fishing	3
Other Territories	1	Arts and recreation services	3
Other Territories	1	Construction	8
Other Territories	1	Education and training	20
Other Territories	1	Electricity gas water and waste services	3
Other Territories	1	Financial and insurance services	3
Other Territories	1	Health care and social assistance	18
Other Territories	1	Information media and telecommunications	4
Other Territories	1	Manufacturing	9
Other Territories	1	Mining	8
Other Territories	1	Other services	5
Other Territories	1	Professional scientific and technical services	3
Other Territories	1	Public administration and safety	18
Other Territories	1	Rental hiring and real estate services	7
Other Territories	1	Retail trade	31
Other Territories	1	Transport postal and warehousing	17
Other Territories	16		6
Other Territories	16	Accommodation and food services	35
Other Territories	16	Administrative and support services	15
Other Territories	16	Agriculture forestry and fishing	4
Other Territories	16	Arts and recreation services	11
Other Territories	16	Construction	8
Other Territories	16	Education and training	21
Other Territories	16	Financial and insurance services	3
Other Territories	16	Health care and social assistance	7
Other Territories	16	Manufacturing	6
Other Territories	16	Mining	4
Other Territories	16	Other services	11
Other Territories	16	Professional scientific and technical services	3
Other Territories	16	Public administration and safety	22
Other Territories	16	Rental hiring and real estate services	3
Other Territories	16	Retail trade	21
Other Territories	16	Transport postal and warehousing	7
Other Territories	25		15
