SA3_NAME16	IncomeTotPersonal.max	PublicSector	LevelOfGovt	workers
Goulburn - Mulwaree	7875	1	State territory	13
Goulburn - Mulwaree	15750			7
Goulburn - Mulwaree	15750	0		512
Goulburn - Mulwaree	15750	1	Local	3
Goulburn - Mulwaree	15750	1	National	5
Goulburn - Mulwaree	15750	1	State territory	28
Goulburn - Mulwaree	21000			11
Goulburn - Mulwaree	21000	0		558
Goulburn - Mulwaree	21000	1	Local	5
Goulburn - Mulwaree	21000	1	National	9
Goulburn - Mulwaree	21000	1	State territory	23
Goulburn - Mulwaree	26250			14
Goulburn - Mulwaree	26250	0		751
Goulburn - Mulwaree	26250	1	Local	11
Goulburn - Mulwaree	26250	1	National	14
Goulburn - Mulwaree	26250	1	State territory	37
Goulburn - Mulwaree	34125			21
Goulburn - Mulwaree	34125	0		1228
Goulburn - Mulwaree	34125	1	Local	23
Goulburn - Mulwaree	34125	1	National	16
Goulburn - Mulwaree	34125	1	State territory	70
Goulburn - Mulwaree	42000			9
Goulburn - Mulwaree	42000	0		1426
Goulburn - Mulwaree	42000	1	Local	30
Goulburn - Mulwaree	42000	1	National	10
Goulburn - Mulwaree	42000	1	State territory	143
Goulburn - Mulwaree	52500			12
Goulburn - Mulwaree	52500	0		1521
Goulburn - Mulwaree	52500	1	Local	64
Goulburn - Mulwaree	52500	1	National	29
Goulburn - Mulwaree	52500	1	State territory	190
Goulburn - Mulwaree	65625			14
Goulburn - Mulwaree	65625	0		1334
Goulburn - Mulwaree	65625	1	Local	90
Goulburn - Mulwaree	65625	1	National	31
Goulburn - Mulwaree	65625	1	State territory	294
Goulburn - Mulwaree	78750			8
Goulburn - Mulwaree	78750	0		779
Goulburn - Mulwaree	78750	1	Local	57
Goulburn - Mulwaree	78750	1	National	32
Goulburn - Mulwaree	78750	1	State territory	270
Goulburn - Mulwaree	91875			5
Goulburn - Mulwaree	91875	0		572
Goulburn - Mulwaree	91875	1	Local	42
Goulburn - Mulwaree	91875	1	National	31
Goulburn - Mulwaree	91875	1	State territory	296
Goulburn - Mulwaree	105000			4
Goulburn - Mulwaree	105000	0		360
Goulburn - Mulwaree	105000	1	Local	27
Goulburn - Mulwaree	105000	1	National	17
Goulburn - Mulwaree	105000	1	State territory	319
Goulburn - Mulwaree	157500			7
Goulburn - Mulwaree	157500	0		433
Goulburn - Mulwaree	157500	1	Local	21
Goulburn - Mulwaree	157500	1	National	27
Goulburn - Mulwaree	157500	1	State territory	304
Goulburn - Mulwaree	Inf			5
Goulburn - Mulwaree	Inf	0		228
Goulburn - Mulwaree	Inf	1	Local	6
Goulburn - Mulwaree	Inf	1	National	5
Goulburn - Mulwaree	Inf	1	State territory	48
Young - Yass				32
Young - Yass		0		185
Young - Yass		1	Local	7
Young - Yass		1	National	3
Young - Yass		1	State territory	3
Young - Yass	0			3
Young - Yass	0	0		157
Young - Yass	7875			5
Young - Yass	7875	0		489
Young - Yass	7875	1	Local	3
Young - Yass	7875	1	State territory	3
Young - Yass	15750			18
Young - Yass	15750	0		504
Young - Yass	15750	1	Local	4
Young - Yass	15750	1	National	6
Young - Yass	15750	1	State territory	8
Young - Yass	21000			17
Young - Yass	21000	0		608
Young - Yass	21000	1	Local	5
Young - Yass	21000	1	National	3
Young - Yass	21000	1	State territory	15
Young - Yass	26250			15
Young - Yass	26250	0		719
Young - Yass	26250	1	National	10
Young - Yass	26250	1	State territory	28
Young - Yass	34125			12
Young - Yass	34125	0		1223
Young - Yass	34125	1	Local	17
Young - Yass	34125	1	National	9
Young - Yass	34125	1	State territory	50
Young - Yass	42000			13
Young - Yass	42000	0		1368
Young - Yass	42000	1	Local	57
Young - Yass	42000	1	National	10
Young - Yass	42000	1	State territory	68
Young - Yass	52500			12
Young - Yass	52500	0		1364
Young - Yass	52500	1	Local	102
Young - Yass	52500	1	National	6
Young - Yass	52500	1	State territory	81
Young - Yass	65625			13
Young - Yass	65625	0		1127
Young - Yass	65625	1	Local	78
Young - Yass	65625	1	National	12
Young - Yass	65625	1	State territory	102
Young - Yass	78750			5
Young - Yass	78750	0		630
Young - Yass	78750	1	Local	49
Young - Yass	78750	1	National	14
Young - Yass	78750	1	State territory	89
Young - Yass	91875	0		521
Young - Yass	91875	1	Local	32
Young - Yass	91875	1	National	6
Young - Yass	91875	1	State territory	85
Young - Yass	105000			4
Young - Yass	105000	0		318
Young - Yass	105000	1	Local	23
Young - Yass	105000	1	State territory	91
Young - Yass	157500			3
Young - Yass	157500	0		400
Young - Yass	157500	1	Local	14
Young - Yass	157500	1	National	6
Young - Yass	157500	1	State territory	111
Young - Yass	Inf			10
Young - Yass	Inf	0		291
Young - Yass	Inf	1	Local	6
Young - Yass	Inf	1	National	7
Young - Yass	Inf	1	State territory	13
Gosford				149
Gosford		0		719
Gosford		1	Local	13
Gosford		1	National	4
Gosford		1	State territory	73
Gosford	0			20
Gosford	0	0		396
Gosford	0	1	State territory	8
Gosford	7875			39
Gosford	7875	0		2653
Gosford	7875	1	Local	7
Gosford	7875	1	National	12
Gosford	7875	1	State territory	28
Gosford	15750			38
Gosford	15750	0		2652
Gosford	15750	1	Local	15
Gosford	15750	1	National	16
Gosford	15750	1	State territory	75
Gosford	21000			45
Gosford	21000	0		2858
Gosford	21000	1	Local	27
Gosford	21000	1	National	17
Gosford	21000	1	State territory	113
Gosford	26250			42
Gosford	26250	0		3486
Gosford	26250	1	Local	28
Gosford	26250	1	National	15
Gosford	26250	1	State territory	149
Gosford	34125			38
Gosford	34125	0		5516
Gosford	34125	1	Local	56
Gosford	34125	1	National	31
Gosford	34125	1	State territory	390
Gosford	42000			56
Gosford	42000	0		6556
Gosford	42000	1	Local	81
Gosford	42000	1	National	37
Gosford	42000	1	State territory	521
Gosford	52500			52
Gosford	52500	0		6912
Gosford	52500	1	Local	180
Gosford	52500	1	National	64
Gosford	52500	1	State territory	824
Gosford	65625			71
Gosford	65625	0		6053
Gosford	65625	1	Local	257
Gosford	65625	1	National	106
Gosford	65625	1	State territory	974
Gosford	78750			18
Gosford	78750	0		3474
Gosford	78750	1	Local	155
Gosford	78750	1	National	86
Gosford	78750	1	State territory	960
Gosford	91875			20
Gosford	91875	0		2689
Gosford	91875	1	Local	151
Gosford	91875	1	National	68
Gosford	91875	1	State territory	1053
Gosford	105000			19
Gosford	105000	0		1779
Gosford	105000	1	Local	70
Gosford	105000	1	National	47
Gosford	105000	1	State territory	992
Gosford	157500			14
Gosford	157500	0		2280
Gosford	157500	1	Local	33
Gosford	157500	1	National	38
Gosford	157500	1	State territory	870
Gosford	Inf			12
Gosford	Inf	0		1252
Gosford	Inf	1	Local	10
Gosford	Inf	1	National	8
Gosford	Inf	1	State territory	202
Wyong				98
Wyong		0		574
Wyong		1	Local	9
Wyong		1	National	8
Wyong		1	State territory	28
Wyong	0			26
Wyong	0	0		279
Wyong	0	1	Local	6
Wyong	0	1	State territory	3
Wyong	7875			24
Wyong	7875	0		2147
Wyong	7875	1	National	14
Wyong	7875	1	State territory	17
Wyong	15750			33
Wyong	15750	0		2104
Wyong	15750	1	Local	6
Wyong	15750	1	National	5
Wyong	15750	1	State territory	75
Wyong	21000			47
Wyong	21000	0		2321
Wyong	21000	1	Local	11
Wyong	21000	1	National	22
Wyong	21000	1	State territory	91
Wyong	26250			39
Wyong	26250	0		2823
Wyong	26250	1	Local	30
Wyong	26250	1	National	20
Wyong	26250	1	State territory	120
Wyong	34125			49
Wyong	34125	0		4379
Wyong	34125	1	Local	45
Wyong	34125	1	National	56
Wyong	34125	1	State territory	262
Wyong	42000			60
Wyong	42000	0		5290
Wyong	42000	1	Local	51
Wyong	42000	1	National	57
Wyong	42000	1	State territory	333
Wyong	52500			48
Wyong	52500	0		5748
Wyong	52500	1	Local	112
Wyong	52500	1	National	104
Wyong	52500	1	State territory	542
Wyong	65625			39
Wyong	65625	0		4776
Wyong	65625	1	Local	240
Wyong	65625	1	National	178
Wyong	65625	1	State territory	681
Wyong	78750			10
Wyong	78750	0		2763
Wyong	78750	1	Local	137
Wyong	78750	1	National	183
Wyong	78750	1	State territory	619
Wyong	91875			17
Wyong	91875	0		2037
Wyong	91875	1	Local	98
Wyong	91875	1	National	105
Wyong	91875	1	State territory	698
Wyong	105000			8
Wyong	105000	0		1233
Wyong	105000	1	Local	64
Wyong	105000	1	National	61
Wyong	105000	1	State territory	637
Wyong	157500			13
Wyong	157500	0		1563
Wyong	157500	1	Local	65
Wyong	157500	1	National	58
Wyong	157500	1	State territory	546
Wyong	Inf	0		846
Wyong	Inf	1	Local	16
Wyong	Inf	1	National	10
Wyong	Inf	1	State territory	105
Bathurst				54
Bathurst		0		233
Bathurst		1	National	12
Bathurst		1	State territory	15
Bathurst	0			13
Bathurst	0	0		145
Bathurst	0	1	National	5
Bathurst	7875			16
Bathurst	7875	0		714
Bathurst	7875	1	National	12
Bathurst	7875	1	State territory	12
Bathurst	15750			25
Bathurst	15750	0		806
Bathurst	15750	1	Local	3
Bathurst	15750	1	National	33
Bathurst	15750	1	State territory	23
Bathurst	21000			19
Bathurst	21000	0		846
Bathurst	21000	1	Local	6
Bathurst	21000	1	National	12
Bathurst	21000	1	State territory	24
Bathurst	26250			16
Bathurst	26250	0		1070
Bathurst	26250	1	Local	5
Bathurst	26250	1	National	29
Bathurst	26250	1	State territory	47
Bathurst	34125			15
Bathurst	34125	0		1682
Bathurst	34125	1	Local	19
Bathurst	34125	1	National	50
Bathurst	34125	1	State territory	85
Bathurst	42000			30
Bathurst	42000	0		2051
Bathurst	42000	1	Local	32
Bathurst	42000	1	National	41
Bathurst	42000	1	State territory	137
Bathurst	52500			19
Bathurst	52500	0		2256
Bathurst	52500	1	Local	114
Bathurst	52500	1	National	77
Bathurst	52500	1	State territory	220
Bathurst	65625			5
Bathurst	65625	0		1953
Bathurst	65625	1	Local	102
Bathurst	65625	1	National	133
Bathurst	65625	1	State territory	299
Bathurst	78750			7
Bathurst	78750	0		1193
Bathurst	78750	1	Local	85
Bathurst	78750	1	National	122
Bathurst	78750	1	State territory	326
Bathurst	91875	0		1013
Bathurst	91875	1	Local	67
Bathurst	91875	1	National	110
Bathurst	91875	1	State territory	356
Bathurst	105000			5
Bathurst	105000	0		670
Bathurst	105000	1	Local	38
Bathurst	105000	1	National	88
Bathurst	105000	1	State territory	339
Bathurst	157500			6
Bathurst	157500	0		754
Bathurst	157500	1	Local	33
Bathurst	157500	1	National	131
Bathurst	157500	1	State territory	328
Bathurst	Inf			3
Bathurst	Inf	0		331
Bathurst	Inf	1	Local	13
Bathurst	Inf	1	National	40
Bathurst	Inf	1	State territory	55
Lachlan Valley				61
Lachlan Valley		0		345
Lachlan Valley		1	Local	13
Lachlan Valley		1	State territory	15
Lachlan Valley	0			13
Lachlan Valley	0	0		305
Lachlan Valley	0	1	National	7
Lachlan Valley	0	1	State territory	3
Lachlan Valley	7875			12
Lachlan Valley	7875	0		718
Lachlan Valley	7875	1	Local	3
Lachlan Valley	7875	1	National	4
Lachlan Valley	7875	1	State territory	13
Lachlan Valley	15750			19
Lachlan Valley	15750	0		803
Lachlan Valley	15750	1	Local	8
Lachlan Valley	15750	1	National	17
Lachlan Valley	15750	1	State territory	33
Lachlan Valley	21000			39
Lachlan Valley	21000	0		1042
Lachlan Valley	21000	1	Local	7
Lachlan Valley	21000	1	National	9
Lachlan Valley	21000	1	State territory	42
Lachlan Valley	26250			30
Lachlan Valley	26250	0		1345
Lachlan Valley	26250	1	Local	16
Lachlan Valley	26250	1	National	13
Lachlan Valley	26250	1	State territory	57
Lachlan Valley	34125			36
Lachlan Valley	34125	0		2200
Lachlan Valley	34125	1	Local	39
Lachlan Valley	34125	1	National	23
Lachlan Valley	34125	1	State territory	121
Lachlan Valley	42000			37
Lachlan Valley	42000	0		2506
Lachlan Valley	42000	1	Local	78
Lachlan Valley	42000	1	National	9
Lachlan Valley	42000	1	State territory	163
Lachlan Valley	52500			19
Lachlan Valley	52500	0		2467
Lachlan Valley	52500	1	Local	182
Lachlan Valley	52500	1	National	11
Lachlan Valley	52500	1	State territory	235
Lachlan Valley	65625			16
Lachlan Valley	65625	0		2063
Lachlan Valley	65625	1	Local	193
Lachlan Valley	65625	1	National	28
Lachlan Valley	65625	1	State territory	269
Lachlan Valley	78750			10
Lachlan Valley	78750	0		1211
Lachlan Valley	78750	1	Local	100
Lachlan Valley	78750	1	National	30
Lachlan Valley	78750	1	State territory	243
Lachlan Valley	91875			6
Lachlan Valley	91875	0		949
Lachlan Valley	91875	1	Local	79
Lachlan Valley	91875	1	National	20
Lachlan Valley	91875	1	State territory	254
Lachlan Valley	105000			3
Lachlan Valley	105000	0		596
Lachlan Valley	105000	1	Local	39
Lachlan Valley	105000	1	National	17
Lachlan Valley	105000	1	State territory	235
Lachlan Valley	157500			6
Lachlan Valley	157500	0		840
Lachlan Valley	157500	1	Local	39
Lachlan Valley	157500	1	National	10
Lachlan Valley	157500	1	State territory	231
Lachlan Valley	Inf			6
Lachlan Valley	Inf	0		470
Lachlan Valley	Inf	1	Local	22
Lachlan Valley	Inf	1	State territory	32
Lithgow - Mudgee				52
Lithgow - Mudgee		0		245
Lithgow - Mudgee		1	Local	4
Lithgow - Mudgee		1	National	3
Lithgow - Mudgee		1	State territory	13
Lithgow - Mudgee	0			7
Lithgow - Mudgee	0	0		196
Lithgow - Mudgee	0	1	State territory	3
Lithgow - Mudgee	7875			11
Lithgow - Mudgee	7875	0		573
Lithgow - Mudgee	7875	1	Local	3
Lithgow - Mudgee	7875	1	National	4
Lithgow - Mudgee	7875	1	State territory	18
Lithgow - Mudgee	15750			16
Lithgow - Mudgee	15750	0		714
Lithgow - Mudgee	15750	1	Local	5
Lithgow - Mudgee	15750	1	National	10
Lithgow - Mudgee	15750	1	State territory	27
Lithgow - Mudgee	21000			18
Lithgow - Mudgee	21000	0		850
Lithgow - Mudgee	21000	1	Local	3
Lithgow - Mudgee	21000	1	National	8
Lithgow - Mudgee	21000	1	State territory	40
Lithgow - Mudgee	26250			16
Lithgow - Mudgee	26250	0		999
Lithgow - Mudgee	26250	1	Local	9
Lithgow - Mudgee	26250	1	National	12
Lithgow - Mudgee	26250	1	State territory	65
Lithgow - Mudgee	34125			8
Lithgow - Mudgee	34125	0		1494
Lithgow - Mudgee	34125	1	Local	31
Lithgow - Mudgee	34125	1	National	16
Lithgow - Mudgee	34125	1	State territory	93
Lithgow - Mudgee	42000			11
Lithgow - Mudgee	42000	0		1676
Lithgow - Mudgee	42000	1	Local	53
Lithgow - Mudgee	42000	1	National	50
Lithgow - Mudgee	42000	1	State territory	136
Lithgow - Mudgee	52500			15
Lithgow - Mudgee	52500	0		1643
Lithgow - Mudgee	52500	1	Local	102
Lithgow - Mudgee	52500	1	National	37
Lithgow - Mudgee	52500	1	State territory	197
Lithgow - Mudgee	65625			11
Lithgow - Mudgee	65625	0		1444
Lithgow - Mudgee	65625	1	Local	100
Lithgow - Mudgee	65625	1	National	27
Lithgow - Mudgee	65625	1	State territory	289
Lithgow - Mudgee	78750			6
Lithgow - Mudgee	78750	0		980
Lithgow - Mudgee	78750	1	Local	49
Lithgow - Mudgee	78750	1	National	32
Lithgow - Mudgee	78750	1	State territory	252
Lithgow - Mudgee	91875			4
Lithgow - Mudgee	91875	0		815
Lithgow - Mudgee	91875	1	Local	39
Lithgow - Mudgee	91875	1	National	17
Lithgow - Mudgee	91875	1	State territory	252
Lithgow - Mudgee	105000			3
Lithgow - Mudgee	105000	0		639
Lithgow - Mudgee	105000	1	Local	29
Lithgow - Mudgee	105000	1	National	20
Lithgow - Mudgee	105000	1	State territory	292
Lithgow - Mudgee	157500	0		1512
Lithgow - Mudgee	157500	1	Local	19
Lithgow - Mudgee	157500	1	National	6
Lithgow - Mudgee	157500	1	State territory	261
Lithgow - Mudgee	Inf			8
Lithgow - Mudgee	Inf	0		723
Lithgow - Mudgee	Inf	1	Local	6
Lithgow - Mudgee	Inf	1	National	3
Lithgow - Mudgee	Inf	1	State territory	54
Orange				64
Orange		0		322
Orange		1	Local	4
Orange		1	National	9
Orange		1	State territory	18
Orange	0			16
Orange	0	0		200
Orange	0	1	National	3
Orange	0	1	State territory	4
Orange	7875			12
Orange	7875	0		835
Orange	7875	1	Local	3
Orange	7875	1	National	4
Orange	7875	1	State territory	7
Orange	15750			20
Orange	15750	0		817
Orange	15750	1	Local	10
Orange	15750	1	National	15
Orange	15750	1	State territory	37
Orange	21000			29
Orange	21000	0		992
Orange	21000	1	Local	22
Orange	21000	1	National	12
Orange	21000	1	State territory	45
Orange	26250			25
Orange	26250	0		1202
Orange	26250	1	Local	14
Orange	26250	1	National	11
Orange	26250	1	State territory	64
Orange	34125			25
Orange	34125	0		1886
Orange	34125	1	Local	42
Orange	34125	1	National	35
Orange	34125	1	State territory	142
Orange	42000			24
Orange	42000	0		2461
Orange	42000	1	Local	62
Orange	42000	1	National	32
Orange	42000	1	State territory	215
Orange	52500			24
Orange	52500	0		2633
Orange	52500	1	Local	107
Orange	52500	1	National	50
Orange	52500	1	State territory	312
Orange	65625			13
Orange	65625	0		2560
Orange	65625	1	Local	140
Orange	65625	1	National	89
Orange	65625	1	State territory	519
Orange	78750			7
Orange	78750	0		1649
Orange	78750	1	Local	85
Orange	78750	1	National	72
Orange	78750	1	State territory	464
Orange	91875			11
Orange	91875	0		1425
Orange	91875	1	Local	66
Orange	91875	1	National	59
Orange	91875	1	State territory	499
Orange	105000			5
Orange	105000	0		989
Orange	105000	1	Local	54
Orange	105000	1	National	45
Orange	105000	1	State territory	456
Orange	157500			6
Orange	157500	0		1450
Orange	157500	1	Local	41
Orange	157500	1	National	60
Orange	157500	1	State territory	582
Orange	Inf	0		693
Orange	Inf	1	Local	17
Orange	Inf	1	National	10
Orange	Inf	1	State territory	139
Clarence Valley				39
Clarence Valley		0		193
Clarence Valley		1	Local	3
Clarence Valley		1	National	4
Clarence Valley		1	State territory	28
Clarence Valley	0			9
Clarence Valley	0	0		147
Clarence Valley	0	1	National	3
Clarence Valley	0	1	State territory	3
Clarence Valley	7875			9
Clarence Valley	7875	0		622
Clarence Valley	7875	1	National	3
Clarence Valley	7875	1	State territory	11
Clarence Valley	15750			13
Clarence Valley	15750	0		714
Clarence Valley	15750	1	Local	3
Clarence Valley	15750	1	National	9
Clarence Valley	15750	1	State territory	27
Clarence Valley	21000			28
Clarence Valley	21000	0		944
Clarence Valley	21000	1	Local	8
Clarence Valley	21000	1	National	16
Clarence Valley	21000	1	State territory	29
Clarence Valley	26250			27
Clarence Valley	26250	0		1138
Clarence Valley	26250	1	Local	10
Clarence Valley	26250	1	National	13
Clarence Valley	26250	1	State territory	52
Clarence Valley	34125			20
Clarence Valley	34125	0		1809
Clarence Valley	34125	1	Local	28
Clarence Valley	34125	1	National	7
Clarence Valley	34125	1	State territory	99
Clarence Valley	42000			15
Clarence Valley	42000	0		2133
Clarence Valley	42000	1	Local	57
Clarence Valley	42000	1	National	14
Clarence Valley	42000	1	State territory	157
Clarence Valley	52500			16
Clarence Valley	52500	0		1848
Clarence Valley	52500	1	Local	108
Clarence Valley	52500	1	National	17
Clarence Valley	52500	1	State territory	218
Clarence Valley	65625			12
Clarence Valley	65625	0		1314
Clarence Valley	65625	1	Local	151
Clarence Valley	65625	1	National	17
Clarence Valley	65625	1	State territory	311
Clarence Valley	78750			10
Clarence Valley	78750	0		704
Clarence Valley	78750	1	Local	70
Clarence Valley	78750	1	National	28
Clarence Valley	78750	1	State territory	281
Clarence Valley	91875			3
Clarence Valley	91875	0		540
Clarence Valley	91875	1	Local	59
Clarence Valley	91875	1	National	18
Clarence Valley	91875	1	State territory	311
Clarence Valley	105000	0		322
Clarence Valley	105000	1	Local	42
Clarence Valley	105000	1	National	8
Clarence Valley	105000	1	State territory	334
Clarence Valley	157500	0		395
Clarence Valley	157500	1	Local	29
Clarence Valley	157500	1	National	9
Clarence Valley	157500	1	State territory	287
Clarence Valley	Inf			5
Clarence Valley	Inf	0		252
Clarence Valley	Inf	1	Local	11
Clarence Valley	Inf	1	State territory	54
Coffs Harbour				72
Coffs Harbour		0		387
Coffs Harbour		1	Local	11
Coffs Harbour		1	National	4
Coffs Harbour		1	State territory	28
Coffs Harbour	0			23
Coffs Harbour	0	0		262
Coffs Harbour	0	1	National	3
Coffs Harbour	0	1	State territory	7
Coffs Harbour	7875			17
Coffs Harbour	7875	0		1370
Coffs Harbour	7875	1	National	9
Coffs Harbour	7875	1	State territory	14
Coffs Harbour	15750			19
Coffs Harbour	15750	0		1369
Coffs Harbour	15750	1	Local	3
Coffs Harbour	15750	1	National	8
Coffs Harbour	15750	1	State territory	40
Coffs Harbour	21000			40
Coffs Harbour	21000	0		1651
Coffs Harbour	21000	1	Local	3
