SA3_NAME16	EmploymentStatus	workers
Armidale	Contributing family workers	658
Armidale	Employee	12114
Armidale	Owner managers of incorporated enterprises	870
Armidale	Owner managers of unincorporated enterprises	1738
Armidale	Status in employment not stated	182
Inverell - Tenterfield	Contributing family workers	1047
Inverell - Tenterfield	Employee	9354
Inverell - Tenterfield	Owner managers of incorporated enterprises	689
Inverell - Tenterfield	Owner managers of unincorporated enterprises	1959
Inverell - Tenterfield	Status in employment not stated	285
Moree - Narrabri	Contributing family workers	509
Moree - Narrabri	Employee	8261
Moree - Narrabri	Owner managers of incorporated enterprises	812
Moree - Narrabri	Owner managers of unincorporated enterprises	1239
Moree - Narrabri	Status in employment not stated	198
Tamworth - Gunnedah	Contributing family workers	1063
Tamworth - Gunnedah	Employee	27354
Tamworth - Gunnedah	Owner managers of incorporated enterprises	1799
Tamworth - Gunnedah	Owner managers of unincorporated enterprises	3063
Tamworth - Gunnedah	Status in employment not stated	484
Lake Macquarie - East	Contributing family workers	463
Lake Macquarie - East	Employee	33737
Lake Macquarie - East	Owner managers of incorporated enterprises	2721
Lake Macquarie - East	Owner managers of unincorporated enterprises	2819
Lake Macquarie - East	Status in employment not stated	335
Lake Macquarie - West	Contributing family workers	305
Lake Macquarie - West	Employee	14313
Lake Macquarie - West	Owner managers of incorporated enterprises	1231
Lake Macquarie - West	Owner managers of unincorporated enterprises	1564
Lake Macquarie - West	Status in employment not stated	186
Newcastle	Contributing family workers	674
Newcastle	Employee	87646
Newcastle	Owner managers of incorporated enterprises	4364
Newcastle	Owner managers of unincorporated enterprises	4538
Newcastle	Status in employment not stated	702
Richmond Valley - Coastal	Contributing family workers	741
Richmond Valley - Coastal	Employee	20732
Richmond Valley - Coastal	Owner managers of incorporated enterprises	2433
Richmond Valley - Coastal	Owner managers of unincorporated enterprises	4628
Richmond Valley - Coastal	Status in employment not stated	467
Richmond Valley - Hinterland	Contributing family workers	785
Richmond Valley - Hinterland	Employee	23172
Richmond Valley - Hinterland	Owner managers of incorporated enterprises	1217
Richmond Valley - Hinterland	Owner managers of unincorporated enterprises	3059
Richmond Valley - Hinterland	Status in employment not stated	386
Tweed Valley	Contributing family workers	644
Tweed Valley	Employee	21853
Tweed Valley	Owner managers of incorporated enterprises	2052
Tweed Valley	Owner managers of unincorporated enterprises	3236
Tweed Valley	Status in employment not stated	388
Griffith - Murrumbidgee (West)	Contributing family workers	829
Griffith - Murrumbidgee (West)	Employee	16706
Griffith - Murrumbidgee (West)	Owner managers of incorporated enterprises	1485
Griffith - Murrumbidgee (West)	Owner managers of unincorporated enterprises	1878
Griffith - Murrumbidgee (West)	Status in employment not stated	307
Tumut - Tumbarumba	Contributing family workers	257
Tumut - Tumbarumba	Employee	4557
Tumut - Tumbarumba	Owner managers of incorporated enterprises	334
Tumut - Tumbarumba	Owner managers of unincorporated enterprises	630
Tumut - Tumbarumba	Status in employment not stated	119
Wagga Wagga	Contributing family workers	1168
Wagga Wagga	Employee	33475
Wagga Wagga	Owner managers of incorporated enterprises	2109
Wagga Wagga	Owner managers of unincorporated enterprises	3647
Wagga Wagga	Status in employment not stated	495
Shoalhaven	Contributing family workers	675
Shoalhaven	Employee	26815
Shoalhaven	Owner managers of incorporated enterprises	2177
Shoalhaven	Owner managers of unincorporated enterprises	3465
Shoalhaven	Status in employment not stated	482
Southern Highlands	Contributing family workers	497
Southern Highlands	Employee	13247
Southern Highlands	Owner managers of incorporated enterprises	1749
Southern Highlands	Owner managers of unincorporated enterprises	2213
Southern Highlands	Status in employment not stated	241
Baulkham Hills	Contributing family workers	648
Baulkham Hills	Employee	45762
Baulkham Hills	Owner managers of incorporated enterprises	5193
Baulkham Hills	Owner managers of unincorporated enterprises	3429
Baulkham Hills	Status in employment not stated	388
Dural - Wisemans Ferry	Contributing family workers	303
Dural - Wisemans Ferry	Employee	7130
Dural - Wisemans Ferry	Owner managers of incorporated enterprises	1491
Dural - Wisemans Ferry	Owner managers of unincorporated enterprises	1118
Dural - Wisemans Ferry	Status in employment not stated	88
Hawkesbury	Contributing family workers	211
Hawkesbury	Employee	2392
Hawkesbury	Owner managers of incorporated enterprises	672
Hawkesbury	Owner managers of unincorporated enterprises	773
Hawkesbury	Status in employment not stated	71
Rouse Hill - McGraths Hill	Contributing family workers	201
Rouse Hill - McGraths Hill	Employee	8402
Rouse Hill - McGraths Hill	Owner managers of incorporated enterprises	1253
Rouse Hill - McGraths Hill	Owner managers of unincorporated enterprises	858
Rouse Hill - McGraths Hill	Status in employment not stated	88
Blacktown	Contributing family workers	466
Blacktown	Employee	39847
Blacktown	Owner managers of incorporated enterprises	3294
Blacktown	Owner managers of unincorporated enterprises	2533
Blacktown	Status in employment not stated	414
Blacktown - North	Contributing family workers	273
Blacktown - North	Employee	11305
Blacktown - North	Owner managers of incorporated enterprises	1475
Blacktown - North	Owner managers of unincorporated enterprises	1629
Blacktown - North	Status in employment not stated	119
Mount Druitt	Contributing family workers	268
Mount Druitt	Employee	40744
Mount Druitt	Owner managers of incorporated enterprises	1912
Mount Druitt	Owner managers of unincorporated enterprises	1636
Mount Druitt	Status in employment not stated	475
Botany	Contributing family workers	257
Botany	Employee	54538
Botany	Owner managers of incorporated enterprises	2434
Botany	Owner managers of unincorporated enterprises	1566
Botany	Status in employment not stated	520
Marrickville - Sydenham - Petersham	Contributing family workers	299
Marrickville - Sydenham - Petersham	Employee	19070
Marrickville - Sydenham - Petersham	Owner managers of incorporated enterprises	2235
Marrickville - Sydenham - Petersham	Owner managers of unincorporated enterprises	2214
Marrickville - Sydenham - Petersham	Status in employment not stated	241
Sydney Inner City	Contributing family workers	1939
Sydney Inner City	Employee	450346
Sydney Inner City	Owner managers of incorporated enterprises	22983
Sydney Inner City	Owner managers of unincorporated enterprises	16527
Sydney Inner City	Status in employment not stated	3183
Eastern Suburbs - North	Contributing family workers	864
Eastern Suburbs - North	Employee	37857
Eastern Suburbs - North	Owner managers of incorporated enterprises	5807
Eastern Suburbs - North	Owner managers of unincorporated enterprises	5394
Eastern Suburbs - North	Status in employment not stated	456
Eastern Suburbs - South	Contributing family workers	437
Eastern Suburbs - South	Employee	34432
Eastern Suburbs - South	Owner managers of incorporated enterprises	2987
Eastern Suburbs - South	Owner managers of unincorporated enterprises	3301
Eastern Suburbs - South	Status in employment not stated	350
Bankstown	Contributing family workers	678
Bankstown	Employee	49717
Bankstown	Owner managers of incorporated enterprises	4685
Bankstown	Owner managers of unincorporated enterprises	3911
Bankstown	Status in employment not stated	683
Canterbury	Contributing family workers	520
Canterbury	Employee	21827
Canterbury	Owner managers of incorporated enterprises	2823
Canterbury	Owner managers of unincorporated enterprises	2895
Canterbury	Status in employment not stated	408
Hurstville	Contributing family workers	518
Hurstville	Employee	21214
Hurstville	Owner managers of incorporated enterprises	2964
Hurstville	Owner managers of unincorporated enterprises	2471
Hurstville	Status in employment not stated	259
Kogarah - Rockdale	Contributing family workers	460
Kogarah - Rockdale	Employee	26625
Kogarah - Rockdale	Owner managers of incorporated enterprises	2818
Kogarah - Rockdale	Owner managers of unincorporated enterprises	2823
Kogarah - Rockdale	Status in employment not stated	346
Canada Bay	Contributing family workers	366
Canada Bay	Employee	27981
Canada Bay	Owner managers of incorporated enterprises	2595
Canada Bay	Owner managers of unincorporated enterprises	2215
Canada Bay	Status in employment not stated	301
Leichhardt	Contributing family workers	305
Leichhardt	Employee	15912
Leichhardt	Owner managers of incorporated enterprises	2496
Leichhardt	Owner managers of unincorporated enterprises	2256
Leichhardt	Status in employment not stated	180
Strathfield - Burwood - Ashfield	Contributing family workers	673
Strathfield - Burwood - Ashfield	Employee	43405
Strathfield - Burwood - Ashfield	Owner managers of incorporated enterprises	4186
Strathfield - Burwood - Ashfield	Owner managers of unincorporated enterprises	3845
Strathfield - Burwood - Ashfield	Status in employment not stated	511
Chatswood - Lane Cove	Contributing family workers	708
Chatswood - Lane Cove	Employee	68665
Chatswood - Lane Cove	Owner managers of incorporated enterprises	5848
Chatswood - Lane Cove	Owner managers of unincorporated enterprises	3910
Chatswood - Lane Cove	Status in employment not stated	508
Hornsby	Contributing family workers	369
Hornsby	Employee	21996
Hornsby	Owner managers of incorporated enterprises	2290
Hornsby	Owner managers of unincorporated enterprises	2102
Hornsby	Status in employment not stated	227
Ku-ring-gai	Contributing family workers	611
Ku-ring-gai	Employee	22620
Ku-ring-gai	Owner managers of incorporated enterprises	3787
Ku-ring-gai	Owner managers of unincorporated enterprises	3061
Ku-ring-gai	Status in employment not stated	209
North Sydney - Mosman	Contributing family workers	715
North Sydney - Mosman	Employee	65499
North Sydney - Mosman	Owner managers of incorporated enterprises	6226
North Sydney - Mosman	Owner managers of unincorporated enterprises	3787
North Sydney - Mosman	Status in employment not stated	507
Manly	Contributing family workers	273
Manly	Employee	9964
Manly	Owner managers of incorporated enterprises	1845
Manly	Owner managers of unincorporated enterprises	1537
Manly	Status in employment not stated	119
Pittwater	Contributing family workers	477
Pittwater	Employee	14559
Pittwater	Owner managers of incorporated enterprises	3257
Pittwater	Owner managers of unincorporated enterprises	2670
Pittwater	Status in employment not stated	190
Warringah	Contributing family workers	685
Warringah	Employee	41569
Warringah	Owner managers of incorporated enterprises	5826
Warringah	Owner managers of unincorporated enterprises	4848
Warringah	Status in employment not stated	405
Camden	Contributing family workers	224
Camden	Employee	16619
Camden	Owner managers of incorporated enterprises	1891
Camden	Owner managers of unincorporated enterprises	1413
Camden	Status in employment not stated	219
Campbelltown (NSW)	Contributing family workers	465
Campbelltown (NSW)	Employee	41813
Campbelltown (NSW)	Owner managers of incorporated enterprises	2848
Campbelltown (NSW)	Owner managers of unincorporated enterprises	2577
Campbelltown (NSW)	Status in employment not stated	510
Wollondilly	Contributing family workers	250
Wollondilly	Employee	7633
Wollondilly	Owner managers of incorporated enterprises	1003
Wollondilly	Owner managers of unincorporated enterprises	1042
Wollondilly	Status in employment not stated	142
Blue Mountains	Contributing family workers	371
Blue Mountains	Employee	13689
Blue Mountains	Owner managers of incorporated enterprises	1475
Blue Mountains	Owner managers of unincorporated enterprises	2657
Blue Mountains	Status in employment not stated	170
Blue Mountains - South	Employee	15
Blue Mountains - South	Status in employment not stated	3
Penrith	Contributing family workers	479
Penrith	Employee	41393
Penrith	Owner managers of incorporated enterprises	3264
Penrith	Owner managers of unincorporated enterprises	3049
Penrith	Status in employment not stated	383
Richmond - Windsor	Contributing family workers	240
Richmond - Windsor	Employee	14323
Richmond - Windsor	Owner managers of incorporated enterprises	1149
Richmond - Windsor	Owner managers of unincorporated enterprises	1197
Richmond - Windsor	Status in employment not stated	157
St Marys	Contributing family workers	158
St Marys	Employee	15842
St Marys	Owner managers of incorporated enterprises	1087
St Marys	Owner managers of unincorporated enterprises	984
St Marys	Status in employment not stated	186
Auburn	Contributing family workers	422
Auburn	Employee	47972
Auburn	Owner managers of incorporated enterprises	3283
Auburn	Owner managers of unincorporated enterprises	2153
Auburn	Status in employment not stated	526
Carlingford	Contributing family workers	244
Carlingford	Employee	16448
Carlingford	Owner managers of incorporated enterprises	1554
Carlingford	Owner managers of unincorporated enterprises	1411
Carlingford	Status in employment not stated	144
Merrylands - Guildford	Contributing family workers	527
Merrylands - Guildford	Employee	42565
Merrylands - Guildford	Owner managers of incorporated enterprises	3685
Merrylands - Guildford	Owner managers of unincorporated enterprises	2965
Merrylands - Guildford	Status in employment not stated	654
Parramatta	Contributing family workers	572
Parramatta	Employee	85035
Parramatta	Owner managers of incorporated enterprises	4291
Parramatta	Owner managers of unincorporated enterprises	3189
Parramatta	Status in employment not stated	718
Pennant Hills - Epping	Contributing family workers	180
Pennant Hills - Epping	Employee	8100
Pennant Hills - Epping	Owner managers of incorporated enterprises	1152
Pennant Hills - Epping	Owner managers of unincorporated enterprises	1051
Pennant Hills - Epping	Status in employment not stated	77
Ryde - Hunters Hill	Contributing family workers	657
Ryde - Hunters Hill	Employee	80133
Ryde - Hunters Hill	Owner managers of incorporated enterprises	4307
Ryde - Hunters Hill	Owner managers of unincorporated enterprises	3429
Ryde - Hunters Hill	Status in employment not stated	518
Bringelly - Green Valley	Contributing family workers	336
Bringelly - Green Valley	Employee	12007
Bringelly - Green Valley	Owner managers of incorporated enterprises	1725
Bringelly - Green Valley	Owner managers of unincorporated enterprises	1695
Bringelly - Green Valley	Status in employment not stated	223
Fairfield	Contributing family workers	702
Fairfield	Employee	43364
Fairfield	Owner managers of incorporated enterprises	4338
Fairfield	Owner managers of unincorporated enterprises	3529
Fairfield	Status in employment not stated	684
Liverpool	Contributing family workers	504
Liverpool	Employee	48937
Liverpool	Owner managers of incorporated enterprises	3416
Liverpool	Owner managers of unincorporated enterprises	2411
Liverpool	Status in employment not stated	613
Cronulla - Miranda - Caringbah	Contributing family workers	567
Cronulla - Miranda - Caringbah	Employee	31754
Cronulla - Miranda - Caringbah	Owner managers of incorporated enterprises	4198
Cronulla - Miranda - Caringbah	Owner managers of unincorporated enterprises	3203
Cronulla - Miranda - Caringbah	Status in employment not stated	354
Sutherland - Menai - Heathcote	Contributing family workers	327
Sutherland - Menai - Heathcote	Employee	20797
Sutherland - Menai - Heathcote	Owner managers of incorporated enterprises	2540
Sutherland - Menai - Heathcote	Owner managers of unincorporated enterprises	2408
Sutherland - Menai - Heathcote	Status in employment not stated	229
Migratory - Offshore - Shipping (NSW)	Employee	61
Migratory - Offshore - Shipping (NSW)	Owner managers of incorporated enterprises	7
Migratory - Offshore - Shipping (NSW)	Owner managers of unincorporated enterprises	16
Migratory - Offshore - Shipping (NSW)	Status in employment not stated	3
No usual address (NSW)	Contributing family workers	1997
No usual address (NSW)	Employee	79636
No usual address (NSW)	Owner managers of incorporated enterprises	17188
No usual address (NSW)	Owner managers of unincorporated enterprises	41954
No usual address (NSW)	Status in employment not stated	2587
Ballarat	Contributing family workers	568
Ballarat	Employee	39479
Ballarat	Owner managers of incorporated enterprises	2673
Ballarat	Owner managers of unincorporated enterprises	2492
Ballarat	Status in employment not stated	511
Creswick - Daylesford - Ballan	Contributing family workers	471
Creswick - Daylesford - Ballan	Employee	4711
Creswick - Daylesford - Ballan	Owner managers of incorporated enterprises	758
Creswick - Daylesford - Ballan	Owner managers of unincorporated enterprises	1227
Creswick - Daylesford - Ballan	Status in employment not stated	146
Maryborough - Pyrenees	Contributing family workers	419
Maryborough - Pyrenees	Employee	4962
Maryborough - Pyrenees	Owner managers of incorporated enterprises	471
Maryborough - Pyrenees	Owner managers of unincorporated enterprises	846
Maryborough - Pyrenees	Status in employment not stated	133
Bendigo	Contributing family workers	451
Bendigo	Employee	35565
Bendigo	Owner managers of incorporated enterprises	2287
Bendigo	Owner managers of unincorporated enterprises	2283
Bendigo	Status in employment not stated	438
Heathcote - Castlemaine - Kyneton	Contributing family workers	549
Heathcote - Castlemaine - Kyneton	Employee	11590
Heathcote - Castlemaine - Kyneton	Owner managers of incorporated enterprises	1147
Heathcote - Castlemaine - Kyneton	Owner managers of unincorporated enterprises	1957
Heathcote - Castlemaine - Kyneton	Status in employment not stated	227
Loddon - Elmore	Contributing family workers	366
Loddon - Elmore	Employee	2447
Loddon - Elmore	Owner managers of incorporated enterprises	341
Loddon - Elmore	Owner managers of unincorporated enterprises	685
Loddon - Elmore	Status in employment not stated	75
Barwon - West	Contributing family workers	275
Barwon - West	Employee	2405
Barwon - West	Owner managers of incorporated enterprises	500
Barwon - West	Owner managers of unincorporated enterprises	606
Barwon - West	Status in employment not stated	63
Geelong	Contributing family workers	930
Geelong	Employee	75120
Geelong	Owner managers of incorporated enterprises	4836
Geelong	Owner managers of unincorporated enterprises	4790
Geelong	Status in employment not stated	797
Surf Coast - Bellarine Peninsula	Contributing family workers	554
Surf Coast - Bellarine Peninsula	Employee	12200
Surf Coast - Bellarine Peninsula	Owner managers of incorporated enterprises	1877
Surf Coast - Bellarine Peninsula	Owner managers of unincorporated enterprises	2314
Surf Coast - Bellarine Peninsula	Status in employment not stated	197
Upper Goulburn Valley	Contributing family workers	877
Upper Goulburn Valley	Employee	14781
Upper Goulburn Valley	Owner managers of incorporated enterprises	1453
Upper Goulburn Valley	Owner managers of unincorporated enterprises	2149
Upper Goulburn Valley	Status in employment not stated	349
Wangaratta - Benalla	Contributing family workers	649
Wangaratta - Benalla	Employee	14956
Wangaratta - Benalla	Owner managers of incorporated enterprises	1246
Wangaratta - Benalla	Owner managers of unincorporated enterprises	1858
Wangaratta - Benalla	Status in employment not stated	293
Wodonga - Alpine	Contributing family workers	795
Wodonga - Alpine	Employee	24263
Wodonga - Alpine	Owner managers of incorporated enterprises	1904
Wodonga - Alpine	Owner managers of unincorporated enterprises	2587
Wodonga - Alpine	Status in employment not stated	364
Baw Baw	Contributing family workers	549
Baw Baw	Employee	11870
Baw Baw	Owner managers of incorporated enterprises	1272
Baw Baw	Owner managers of unincorporated enterprises	1891
Baw Baw	Status in employment not stated	279
Gippsland - East	Contributing family workers	589
Gippsland - East	Employee	12000
Gippsland - East	Owner managers of incorporated enterprises	1062
Gippsland - East	Owner managers of unincorporated enterprises	1784
Gippsland - East	Status in employment not stated	303
Gippsland - South West	Contributing family workers	929
Gippsland - South West	Employee	14880
Gippsland - South West	Owner managers of incorporated enterprises	1627
Gippsland - South West	Owner managers of unincorporated enterprises	3216
Gippsland - South West	Status in employment not stated	363
Latrobe Valley	Contributing family workers	338
Latrobe Valley	Employee	27006
Latrobe Valley	Owner managers of incorporated enterprises	1393
Latrobe Valley	Owner managers of unincorporated enterprises	1473
Latrobe Valley	Status in employment not stated	358
Wellington	Contributing family workers	565
Wellington	Employee	13527
Wellington	Owner managers of incorporated enterprises	895
Wellington	Owner managers of unincorporated enterprises	1811
Wellington	Status in employment not stated	233
Brunswick - Coburg	Contributing family workers	396
Brunswick - Coburg	Employee	18718
Brunswick - Coburg	Owner managers of incorporated enterprises	2144
Brunswick - Coburg	Owner managers of unincorporated enterprises	2671
Brunswick - Coburg	Status in employment not stated	252
Darebin - South	Contributing family workers	221
Darebin - South	Employee	10633
Darebin - South	Owner managers of incorporated enterprises	1425
Darebin - South	Owner managers of unincorporated enterprises	1816
Darebin - South	Status in employment not stated	165
Essendon	Contributing family workers	327
Essendon	Employee	16270
Essendon	Owner managers of incorporated enterprises	1942
Essendon	Owner managers of unincorporated enterprises	1692
Essendon	Status in employment not stated	216
Melbourne City	Contributing family workers	1484
Melbourne City	Employee	394480
Melbourne City	Owner managers of incorporated enterprises	13613
Melbourne City	Owner managers of unincorporated enterprises	10173
Melbourne City	Status in employment not stated	2704
Port Phillip	Contributing family workers	753
Port Phillip	Employee	77106
Port Phillip	Owner managers of incorporated enterprises	7045
Port Phillip	Owner managers of unincorporated enterprises	4506
Port Phillip	Status in employment not stated	672
Stonnington - West	Contributing family workers	520
Stonnington - West	Employee	26586
Stonnington - West	Owner managers of incorporated enterprises	3602
Stonnington - West	Owner managers of unincorporated enterprises	2655
Stonnington - West	Status in employment not stated	290
Yarra	Contributing family workers	667
Yarra	Employee	69595
Yarra	Owner managers of incorporated enterprises	5770
Yarra	Owner managers of unincorporated enterprises	4715
Yarra	Status in employment not stated	639
Boroondara	Contributing family workers	1156
Boroondara	Employee	57730
Boroondara	Owner managers of incorporated enterprises	6956
Boroondara	Owner managers of unincorporated enterprises	5006
Boroondara	Status in employment not stated	540
Manningham - West	Contributing family workers	471
Manningham - West	Employee	19344
Manningham - West	Owner managers of incorporated enterprises	2388
Manningham - West	Owner managers of unincorporated enterprises	1931
Manningham - West	Status in employment not stated	197
Whitehorse - West	Contributing family workers	553
Whitehorse - West	Employee	40105
Whitehorse - West	Owner managers of incorporated enterprises	3105
Whitehorse - West	Owner managers of unincorporated enterprises	2517
Whitehorse - West	Status in employment not stated	328
Bayside	Contributing family workers	616
Bayside	Employee	21647
Bayside	Owner managers of incorporated enterprises	3807
Bayside	Owner managers of unincorporated enterprises	3221
Bayside	Status in employment not stated	249
Glen Eira	Contributing family workers	665
Glen Eira	Employee	29541
Glen Eira	Owner managers of incorporated enterprises	4017
Glen Eira	Owner managers of unincorporated enterprises	4071
Glen Eira	Status in employment not stated	317
Kingston	Contributing family workers	807
Kingston	Employee	52616
Kingston	Owner managers of incorporated enterprises	5405
Kingston	Owner managers of unincorporated enterprises	3699
Kingston	Status in employment not stated	589
Stonnington - East	Contributing family workers	288
Stonnington - East	Employee	17802
Stonnington - East	Owner managers of incorporated enterprises	1658
Stonnington - East	Owner managers of unincorporated enterprises	1382
Stonnington - East	Status in employment not stated	183
Banyule	Contributing family workers	502
Banyule	Employee	33352
Banyule	Owner managers of incorporated enterprises	3231
Banyule	Owner managers of unincorporated enterprises	2885
Banyule	Status in employment not stated	383
Darebin - North	Contributing family workers	397
Darebin - North	Employee	28567
Darebin - North	Owner managers of incorporated enterprises	2117
Darebin - North	Owner managers of unincorporated enterprises	1964
Darebin - North	Status in employment not stated	384
Nillumbik - Kinglake	Contributing family workers	362
Nillumbik - Kinglake	Employee	9701
Nillumbik - Kinglake	Owner managers of incorporated enterprises	1997
Nillumbik - Kinglake	Owner managers of unincorporated enterprises	1814
Nillumbik - Kinglake	Status in employment not stated	133
Whittlesea - Wallan	Contributing family workers	721
Whittlesea - Wallan	Employee	45973
