SA3_NAME16	YearOfArrival.max	workers_born_overseas
Upper Murray exc. Albury		53
Armidale	1991	668
Armidale	1995	105
Armidale	2000	174
Armidale	2005	172
Armidale	2010	308
Armidale	2015	408
Armidale	2016	51
Armidale		59
Inverell - Tenterfield	1991	419
Inverell - Tenterfield	1995	50
Inverell - Tenterfield	2000	65
Inverell - Tenterfield	2005	81
Inverell - Tenterfield	2010	139
Inverell - Tenterfield	2015	171
Inverell - Tenterfield	2016	3
Inverell - Tenterfield		45
Moree - Narrabri	1991	273
Moree - Narrabri	1995	31
Moree - Narrabri	2000	53
Moree - Narrabri	2005	64
Moree - Narrabri	2010	158
Moree - Narrabri	2015	178
Moree - Narrabri	2016	6
Moree - Narrabri		20
Tamworth - Gunnedah	1991	883
Tamworth - Gunnedah	1995	143
Tamworth - Gunnedah	2000	170
Tamworth - Gunnedah	2005	215
Tamworth - Gunnedah	2010	474
Tamworth - Gunnedah	2015	697
Tamworth - Gunnedah	2016	75
Tamworth - Gunnedah		157
Lake Macquarie - East	1991	1788
Lake Macquarie - East	1995	271
Lake Macquarie - East	2000	384
Lake Macquarie - East	2005	418
Lake Macquarie - East	2010	649
Lake Macquarie - East	2015	613
Lake Macquarie - East	2016	29
Lake Macquarie - East		99
Lake Macquarie - West	1991	968
Lake Macquarie - West	1995	156
Lake Macquarie - West	2000	153
Lake Macquarie - West	2005	183
Lake Macquarie - West	2010	264
Lake Macquarie - West	2015	261
Lake Macquarie - West	2016	7
Lake Macquarie - West		56
Newcastle	1991	4802
Newcastle	1995	841
Newcastle	2000	957
Newcastle	2005	1356
Newcastle	2010	1967
Newcastle	2015	1999
Newcastle	2016	145
Newcastle		303
Richmond Valley - Coastal	1991	2039
Richmond Valley - Coastal	1995	304
Richmond Valley - Coastal	2000	406
Richmond Valley - Coastal	2005	509
Richmond Valley - Coastal	2010	665
Richmond Valley - Coastal	2015	628
Richmond Valley - Coastal	2016	64
Richmond Valley - Coastal		207
Richmond Valley - Hinterland	1991	1496
Richmond Valley - Hinterland	1995	203
Richmond Valley - Hinterland	2000	260
Richmond Valley - Hinterland	2005	305
Richmond Valley - Hinterland	2010	385
Richmond Valley - Hinterland	2015	283
Richmond Valley - Hinterland	2016	14
Richmond Valley - Hinterland		87
Tweed Valley	1991	1981
Tweed Valley	1995	278
Tweed Valley	2000	412
Tweed Valley	2005	506
Tweed Valley	2010	746
Tweed Valley	2015	543
Tweed Valley	2016	46
Tweed Valley		164
Griffith - Murrumbidgee (West)	1991	782
Griffith - Murrumbidgee (West)	1995	158
Griffith - Murrumbidgee (West)	2000	284
Griffith - Murrumbidgee (West)	2005	341
Griffith - Murrumbidgee (West)	2010	661
Griffith - Murrumbidgee (West)	2015	856
Griffith - Murrumbidgee (West)	2016	110
Griffith - Murrumbidgee (West)		178
Tumut - Tumbarumba	1991	232
Tumut - Tumbarumba	1995	31
Tumut - Tumbarumba	2000	34
Tumut - Tumbarumba	2005	53
Tumut - Tumbarumba	2010	114
Tumut - Tumbarumba	2015	97
Tumut - Tumbarumba	2016	9
Tumut - Tumbarumba		22
Wagga Wagga	1991	1089
Wagga Wagga	1995	191
Wagga Wagga	2000	309
Wagga Wagga	2005	405
Wagga Wagga	2010	789
Wagga Wagga	2015	998
Wagga Wagga	2016	63
Wagga Wagga		133
Shoalhaven	1991	2186
Shoalhaven	1995	251
Shoalhaven	2000	324
Shoalhaven	2005	377
Shoalhaven	2010	523
Shoalhaven	2015	423
Shoalhaven	2016	24
Shoalhaven		142
Southern Highlands	1991	1630
Southern Highlands	1995	157
Southern Highlands	2000	215
Southern Highlands	2005	245
Southern Highlands	2010	404
Southern Highlands	2015	278
Southern Highlands	2016	23
Southern Highlands		101
Baulkham Hills	1991	7200
Baulkham Hills	1995	2116
Baulkham Hills	2000	2811
Baulkham Hills	2005	3080
Baulkham Hills	2010	3636
Baulkham Hills	2015	3175
Baulkham Hills	2016	269
Baulkham Hills		359
Dural - Wisemans Ferry	1991	1121
Dural - Wisemans Ferry	1995	230
Dural - Wisemans Ferry	2000	314
Dural - Wisemans Ferry	2005	303
Dural - Wisemans Ferry	2010	402
Dural - Wisemans Ferry	2015	280
Dural - Wisemans Ferry	2016	11
Dural - Wisemans Ferry		65
Hawkesbury	1991	384
Hawkesbury	1995	37
Hawkesbury	2000	49
Hawkesbury	2005	44
Hawkesbury	2010	63
Hawkesbury	2015	46
Hawkesbury		20
Rouse Hill - McGraths Hill	1991	978
Rouse Hill - McGraths Hill	1995	220
Rouse Hill - McGraths Hill	2000	392
Rouse Hill - McGraths Hill	2005	351
Rouse Hill - McGraths Hill	2010	508
Rouse Hill - McGraths Hill	2015	427
Rouse Hill - McGraths Hill	2016	38
Rouse Hill - McGraths Hill		66
Blacktown	1991	6243
Blacktown	1995	1917
Blacktown	2000	2497
Blacktown	2005	2599
Blacktown	2010	3467
Blacktown	2015	2469
Blacktown	2016	199
Blacktown		349
Blacktown - North	1991	1588
Blacktown - North	1995	485
Blacktown - North	2000	700
Blacktown - North	2005	776
Blacktown - North	2010	1028
Blacktown - North	2015	695
Blacktown - North	2016	64
Blacktown - North		88
Mount Druitt	1991	6248
Mount Druitt	1995	1926
Mount Druitt	2000	2240
Mount Druitt	2005	2248
Mount Druitt	2010	2881
Mount Druitt	2015	2047
Mount Druitt	2016	111
Mount Druitt		347
Botany	1991	8625
Botany	1995	2131
Botany	2000	2756
Botany	2005	2959
Botany	2010	4416
Botany	2015	4666
Botany	2016	440
Botany		606
Marrickville - Sydenham - Petersham	1991	3895
Marrickville - Sydenham - Petersham	1995	922
Marrickville - Sydenham - Petersham	2000	1206
Marrickville - Sydenham - Petersham	2005	1175
Marrickville - Sydenham - Petersham	2010	1975
Marrickville - Sydenham - Petersham	2015	2160
Marrickville - Sydenham - Petersham	2016	218
Marrickville - Sydenham - Petersham		258
Sydney Inner City	1991	56159
Sydney Inner City	1995	18777
Sydney Inner City	2000	25413
Sydney Inner City	2005	30529
Sydney Inner City	2010	43127
Sydney Inner City	2015	54161
Sydney Inner City	2016	6280
Sydney Inner City		4949
Eastern Suburbs - North	1991	6291
Eastern Suburbs - North	1995	1534
Eastern Suburbs - North	2000	2253
Eastern Suburbs - North	2005	2357
Eastern Suburbs - North	2010	3901
Eastern Suburbs - North	2015	5444
Eastern Suburbs - North	2016	686
Eastern Suburbs - North		550
Eastern Suburbs - South	1991	5710
Eastern Suburbs - South	1995	1508
Eastern Suburbs - South	2000	1969
Eastern Suburbs - South	2005	2252
Eastern Suburbs - South	2010	3542
Eastern Suburbs - South	2015	4109
Eastern Suburbs - South	2016	415
Eastern Suburbs - South		396
Bankstown	1991	10682
Bankstown	1995	2784
Bankstown	2000	3183
Bankstown	2005	3138
Bankstown	2010	4101
Bankstown	2015	3360
Bankstown	2016	230
Bankstown		575
Canterbury	1991	5285
Canterbury	1995	1403
Canterbury	2000	1795
Canterbury	2005	1867
Canterbury	2010	2562
Canterbury	2015	2137
Canterbury	2016	154
Canterbury		332
Hurstville	1991	3882
Hurstville	1995	966
Hurstville	2000	1419
Hurstville	2005	1442
Hurstville	2010	1972
Hurstville	2015	1769
Hurstville	2016	144
Hurstville		252
Kogarah - Rockdale	1991	5041
Kogarah - Rockdale	1995	1173
Kogarah - Rockdale	2000	1490
Kogarah - Rockdale	2005	1609
Kogarah - Rockdale	2010	2578
Kogarah - Rockdale	2015	2394
Kogarah - Rockdale	2016	258
Kogarah - Rockdale		307
Canada Bay	1991	4694
Canada Bay	1995	1263
Canada Bay	2000	1796
Canada Bay	2005	2051
Canada Bay	2010	2921
Canada Bay	2015	2767
Canada Bay	2016	233
Canada Bay		293
Leichhardt	1991	2815
Leichhardt	1995	559
Leichhardt	2000	821
Leichhardt	2005	960
Leichhardt	2010	1423
Leichhardt	2015	1560
Leichhardt	2016	161
Leichhardt		168
Strathfield - Burwood - Ashfield	1991	8768
Strathfield - Burwood - Ashfield	1995	2289
Strathfield - Burwood - Ashfield	2000	2829
Strathfield - Burwood - Ashfield	2005	3049
Strathfield - Burwood - Ashfield	2010	4523
Strathfield - Burwood - Ashfield	2015	4348
Strathfield - Burwood - Ashfield	2016	443
Strathfield - Burwood - Ashfield		560
Chatswood - Lane Cove	1991	10264
Chatswood - Lane Cove	1995	3002
Chatswood - Lane Cove	2000	4329
Chatswood - Lane Cove	2005	5086
Chatswood - Lane Cove	2010	7247
Chatswood - Lane Cove	2015	7392
Chatswood - Lane Cove	2016	716
Chatswood - Lane Cove		675
Hornsby	1991	3155
Hornsby	1995	901
Hornsby	2000	1269
Hornsby	2005	1313
Hornsby	2010	1693
Hornsby	2015	1297
Hornsby	2016	100
Hornsby		175
Ku-ring-gai	1991	4257
Ku-ring-gai	1995	1064
Ku-ring-gai	2000	1504
Ku-ring-gai	2005	1578
Ku-ring-gai	2010	2113
Ku-ring-gai	2015	1736
Ku-ring-gai	2016	151
Ku-ring-gai		222
North Sydney - Mosman	1991	8965
North Sydney - Mosman	1995	2699
North Sydney - Mosman	2000	3878
North Sydney - Mosman	2005	4670
North Sydney - Mosman	2010	6832
North Sydney - Mosman	2015	8295
North Sydney - Mosman	2016	899
North Sydney - Mosman		656
Manly	1991	1445
Manly	1995	354
Manly	2000	579
Manly	2005	708
Manly	2010	1017
Manly	2015	1314
Manly	2016	146
Manly		140
Pittwater	1991	2373
Pittwater	1995	535
Pittwater	2000	732
Pittwater	2005	775
Pittwater	2010	1104
Pittwater	2015	968
Pittwater	2016	78
Pittwater		156
Warringah	1991	6391
Warringah	1995	1474
Warringah	2000	2369
Warringah	2005	2428
Warringah	2010	3571
Warringah	2015	3486
Warringah	2016	323
Warringah		420
Camden	1991	1894
Camden	1995	388
Camden	2000	442
Camden	2005	382
Camden	2010	528
Camden	2015	381
Camden	2016	26
Camden		96
Campbelltown (NSW)	1991	6390
Campbelltown (NSW)	1995	1646
Campbelltown (NSW)	2000	1860
Campbelltown (NSW)	2005	1772
Campbelltown (NSW)	2010	2230
Campbelltown (NSW)	2015	1709
Campbelltown (NSW)	2016	120
Campbelltown (NSW)		344
Wollondilly	1991	835
Wollondilly	1995	119
Wollondilly	2000	129
Wollondilly	2005	129
Wollondilly	2010	192
Wollondilly	2015	133
Wollondilly	2016	3
Wollondilly		35
Blue Mountains	1991	2130
Blue Mountains	1995	239
Blue Mountains	2000	316
Blue Mountains	2005	278
Blue Mountains	2010	342
Blue Mountains	2015	315
Blue Mountains	2016	34
Blue Mountains		81
Penrith	1991	5031
Penrith	1995	1072
Penrith	2000	1200
Penrith	2005	1245
Penrith	2010	1593
Penrith	2015	1269
Penrith	2016	81
Penrith		231
Richmond - Windsor	1991	1542
Richmond - Windsor	1995	312
Richmond - Windsor	2000	392
Richmond - Windsor	2005	365
Richmond - Windsor	2010	464
Richmond - Windsor	2015	391
Richmond - Windsor	2016	24
Richmond - Windsor		94
St Marys	1991	2488
St Marys	1995	637
St Marys	2000	725
St Marys	2005	756
St Marys	2010	985
St Marys	2015	709
St Marys	2016	41
St Marys		144
Auburn	1991	8344
Auburn	1995	2642
Auburn	2000	3444
Auburn	2005	3711
Auburn	2010	5314
Auburn	2015	4651
Auburn	2016	393
Auburn		570
Carlingford	1991	3178
Carlingford	1995	1054
Carlingford	2000	1245
Carlingford	2005	1269
Carlingford	2010	1528
Carlingford	2015	1307
Carlingford	2016	98
Carlingford		162
Merrylands - Guildford	1991	9150
Merrylands - Guildford	1995	2762
Merrylands - Guildford	2000	3062
Merrylands - Guildford	2005	2905
Merrylands - Guildford	2010	4087
Merrylands - Guildford	2015	3335
Merrylands - Guildford	2016	216
Merrylands - Guildford		563
Parramatta	1991	13527
Parramatta	1995	4561
Parramatta	2000	5300
Parramatta	2005	5839
Parramatta	2010	7454
Parramatta	2015	5864
Parramatta	2016	510
Parramatta		756
Pennant Hills - Epping	1991	1359
Pennant Hills - Epping	1995	431
Pennant Hills - Epping	2000	546
Pennant Hills - Epping	2005	623
Pennant Hills - Epping	2010	708
Pennant Hills - Epping	2015	691
Pennant Hills - Epping	2016	52
Pennant Hills - Epping		78
Ryde - Hunters Hill	1991	11986
Ryde - Hunters Hill	1995	4001
Ryde - Hunters Hill	2000	5292
Ryde - Hunters Hill	2005	6205
Ryde - Hunters Hill	2010	8186
Ryde - Hunters Hill	2015	7710
Ryde - Hunters Hill	2016	774
Ryde - Hunters Hill		737
Bringelly - Green Valley	1991	2499
Bringelly - Green Valley	1995	763
Bringelly - Green Valley	2000	757
Bringelly - Green Valley	2005	600
Bringelly - Green Valley	2010	692
Bringelly - Green Valley	2015	458
Bringelly - Green Valley	2016	25
Bringelly - Green Valley		155
Fairfield	1991	10788
Fairfield	1995	3214
Fairfield	2000	3111
Fairfield	2005	2607
Fairfield	2010	3405
Fairfield	2015	2678
Fairfield	2016	150
Fairfield		570
Liverpool	1991	8634
Liverpool	1995	2942
Liverpool	2000	2946
Liverpool	2005	2832
Liverpool	2010	3328
Liverpool	2015	2558
Liverpool	2016	161
Liverpool		480
Cronulla - Miranda - Caringbah	1991	3747
Cronulla - Miranda - Caringbah	1995	786
Cronulla - Miranda - Caringbah	2000	1025
Cronulla - Miranda - Caringbah	2005	1162
Cronulla - Miranda - Caringbah	2010	1685
Cronulla - Miranda - Caringbah	2015	1789
Cronulla - Miranda - Caringbah	2016	161
Cronulla - Miranda - Caringbah		237
Sutherland - Menai - Heathcote	1991	2557
Sutherland - Menai - Heathcote	1995	481
Sutherland - Menai - Heathcote	2000	636
Sutherland - Menai - Heathcote	2005	627
Sutherland - Menai - Heathcote	2010	887
Sutherland - Menai - Heathcote	2015	797
Sutherland - Menai - Heathcote	2016	49
Sutherland - Menai - Heathcote		121
Migratory - Offshore - Shipping (NSW)	1991	5
No usual address (NSW)	1991	15605
No usual address (NSW)	1995	3297
No usual address (NSW)	2000	4481
No usual address (NSW)	2005	3955
No usual address (NSW)	2010	4980
No usual address (NSW)	2015	5004
No usual address (NSW)	2016	519
No usual address (NSW)		1223
Ballarat	1991	1763
Ballarat	1995	196
Ballarat	2000	331
Ballarat	2005	534
Ballarat	2010	935
Ballarat	2015	700
Ballarat	2016	40
Ballarat		119
Creswick - Daylesford - Ballan	1991	487
Creswick - Daylesford - Ballan	1995	53
Creswick - Daylesford - Ballan	2000	79
Creswick - Daylesford - Ballan	2005	93
Creswick - Daylesford - Ballan	2010	217
Creswick - Daylesford - Ballan	2015	140
Creswick - Daylesford - Ballan	2016	7
Creswick - Daylesford - Ballan		41
Maryborough - Pyrenees	1991	310
Maryborough - Pyrenees	1995	24
Maryborough - Pyrenees	2000	29
Maryborough - Pyrenees	2005	36
Maryborough - Pyrenees	2010	85
Maryborough - Pyrenees	2015	74
Maryborough - Pyrenees		21
Bendigo	1991	1264
Bendigo	1995	150
Bendigo	2000	273
Bendigo	2005	391
Bendigo	2010	762
Bendigo	2015	515
Bendigo	2016	37
Bendigo		97
Heathcote - Castlemaine - Kyneton	1991	898
Heathcote - Castlemaine - Kyneton	1995	82
Heathcote - Castlemaine - Kyneton	2000	152
Heathcote - Castlemaine - Kyneton	2005	169
Heathcote - Castlemaine - Kyneton	2010	433
Heathcote - Castlemaine - Kyneton	2015	410
Heathcote - Castlemaine - Kyneton	2016	19
Heathcote - Castlemaine - Kyneton		90
Loddon - Elmore	1991	111
Loddon - Elmore	1995	11
Loddon - Elmore	2000	19
Loddon - Elmore	2005	18
Loddon - Elmore	2010	49
Loddon - Elmore	2015	71
Loddon - Elmore	2016	6
Loddon - Elmore		12
Barwon - West	1991	210
Barwon - West	1995	26
Barwon - West	2000	37
Barwon - West	2005	40
Barwon - West	2010	81
Barwon - West	2015	73
Barwon - West		16
Geelong	1991	5639
Geelong	1995	716
Geelong	2000	990
Geelong	2005	1390
Geelong	2010	2980
Geelong	2015	2138
Geelong	2016	163
Geelong		332
Surf Coast - Bellarine Peninsula	1991	1019
Surf Coast - Bellarine Peninsula	1995	91
Surf Coast - Bellarine Peninsula	2000	156
Surf Coast - Bellarine Peninsula	2005	222
Surf Coast - Bellarine Peninsula	2010	451
Surf Coast - Bellarine Peninsula	2015	361
Surf Coast - Bellarine Peninsula	2016	16
Surf Coast - Bellarine Peninsula		70
Upper Goulburn Valley	1991	1068
Upper Goulburn Valley	1995	111
Upper Goulburn Valley	2000	139
Upper Goulburn Valley	2005	179
Upper Goulburn Valley	2010	325
Upper Goulburn Valley	2015	354
Upper Goulburn Valley	2016	41
Upper Goulburn Valley		108
Wangaratta - Benalla	1991	837
Wangaratta - Benalla	1995	60
Wangaratta - Benalla	2000	116
Wangaratta - Benalla	2005	152
Wangaratta - Benalla	2010	245
Wangaratta - Benalla	2015	164
Wangaratta - Benalla	2016	9
Wangaratta - Benalla		42
Wodonga - Alpine	1991	1394
Wodonga - Alpine	1995	139
Wodonga - Alpine	2000	212
Wodonga - Alpine	2005	278
Wodonga - Alpine	2010	569
Wodonga - Alpine	2015	416
Wodonga - Alpine	2016	48
Wodonga - Alpine		101
Baw Baw	1991	862
Baw Baw	1995	74
Baw Baw	2000	146
Baw Baw	2005	164
Baw Baw	2010	311
Baw Baw	2015	195
Baw Baw	2016	7
Baw Baw		69
Gippsland - East	1991	813
Gippsland - East	1995	72
Gippsland - East	2000	105
Gippsland - East	2005	143
Gippsland - East	2010	223
Gippsland - East	2015	213
Gippsland - East	2016	6
Gippsland - East		63
Gippsland - South West	1991	1332
Gippsland - South West	1995	105
Gippsland - South West	2000	178
Gippsland - South West	2005	236
Gippsland - South West	2010	404
Gippsland - South West	2015	298
Gippsland - South West	2016	11
Gippsland - South West		98
Latrobe Valley	1991	1699
Latrobe Valley	1995	150
Latrobe Valley	2000	240
Latrobe Valley	2005	328
Latrobe Valley	2010	630
Latrobe Valley	2015	365
Latrobe Valley	2016	22
Latrobe Valley		119
Wellington	1991	774
Wellington	1995	83
Wellington	2000	117
Wellington	2005	145
Wellington	2010	329
Wellington	2015	301
Wellington	2016	17
Wellington		75
Brunswick - Coburg	1991	3042
Brunswick - Coburg	1995	560
Brunswick - Coburg	2000	628
Brunswick - Coburg	2005	766
Brunswick - Coburg	2010	1708
Brunswick - Coburg	2015	1705
Brunswick - Coburg	2016	154
Brunswick - Coburg		192
Darebin - South	1991	1551
Darebin - South	1995	277
Darebin - South	2000	363
Darebin - South	2005	430
Darebin - South	2010	895
Darebin - South	2015	931
Darebin - South	2016	53
Darebin - South		91
Essendon	1991	2225
Essendon	1995	454
Essendon	2000	491
Essendon	2005	570
Essendon	2010	1150
Essendon	2015	1161
Essendon	2016	79
Essendon		170
Melbourne City	1991	41472
Melbourne City	1995	10818
Melbourne City	2000	14806
Melbourne City	2005	22810
Melbourne City	2010	35575
Melbourne City	2015	40075
Melbourne City	2016	4228
Melbourne City		3267
Port Phillip	1991	8857
Port Phillip	1995	2202
Port Phillip	2000	2668
Port Phillip	2005	4224
Port Phillip	2010	7314
Port Phillip	2015	8171
Port Phillip	2016	844
Port Phillip		716
Stonnington - West	1991	3110
Stonnington - West	1995	731
Stonnington - West	2000	987
Stonnington - West	2005	1276
Stonnington - West	2010	2571
Stonnington - West	2015	3287
Stonnington - West	2016	347
Stonnington - West		299
Yarra	1991	7801
Yarra	1995	1805
Yarra	2000	2302
Yarra	2005	3518
Yarra	2010	5894
Yarra	2015	6883
Yarra	2016	669
Yarra		622
Boroondara	1991	7624
Boroondara	1995	1568
Boroondara	2000	2245
Boroondara	2005	2977
Boroondara	2010	4605
Boroondara	2015	4959
Boroondara	2016	405
Boroondara		481
Manningham - West	1991	2881
Manningham - West	1995	613
Manningham - West	2000	773
Manningham - West	2005	1084
Manningham - West	2010	1740
Manningham - West	2015	1504
Manningham - West	2016	99
Manningham - West		162
Whitehorse - West	1991	5438
Whitehorse - West	1995	1341
Whitehorse - West	2000	1743
Whitehorse - West	2005	2526
Whitehorse - West	2010	3993
Whitehorse - West	2015	3424
Whitehorse - West	2016	258
Whitehorse - West		287
Bayside	1991	3190
Bayside	1995	696
Bayside	2000	866
Bayside	2005	1066
Bayside	2010	1885
Bayside	2015	1720
Bayside	2016	129
Bayside		175
Glen Eira	1991	5063
Glen Eira	1995	1192
Glen Eira	2000	1418
Glen Eira	2005	1695
Glen Eira	2010	3061
Glen Eira	2015	2918
Glen Eira	2016	218
Glen Eira		276
Kingston	1991	7986
Kingston	1995	1821
Kingston	2000	2087
Kingston	2005	2707
Kingston	2010	4293
Kingston	2015	3490
Kingston	2016	225
Kingston		423
Stonnington - East	1991	2017
Stonnington - East	1995	477
Stonnington - East	2000	635
Stonnington - East	2005	889
Stonnington - East	2010	1494
Stonnington - East	2015	1495
Stonnington - East	2016	118
Stonnington - East		149
Banyule	1991	4230
Banyule	1995	822
Banyule	2000	924
Banyule	2005	1189
Banyule	2010	2050
Banyule	2015	1553
Banyule	2016	94
Banyule		238
Darebin - North	1991	4101
Darebin - North	1995	833
Darebin - North	2000	953
Darebin - North	2005	1254
Darebin - North	2010	2396
Darebin - North	2015	2147
Darebin - North	2016	178
Darebin - North		267
Nillumbik - Kinglake	1991	1164
Nillumbik - Kinglake	1995	175
Nillumbik - Kinglake	2000	189
Nillumbik - Kinglake	2005	305
Nillumbik - Kinglake	2010	412
Nillumbik - Kinglake	2015	312
Nillumbik - Kinglake	2016	23
Nillumbik - Kinglake		36
Whittlesea - Wallan	1991	5981
Whittlesea - Wallan	1995	1421
