SA3_NAME16	CountryOfBirth	EmploymentStatus	workers
Goulburn - Mulwaree	JPN	Employee	9
Goulburn - Mulwaree	LBN	Contributing family workers	3
Goulburn - Mulwaree	LBN	Employee	7
Goulburn - Mulwaree	MYS	Employee	15
Goulburn - Mulwaree	MYS	Owner managers of unincorporated enterprises	3
Goulburn - Mulwaree	MLT	Contributing family workers	5
Goulburn - Mulwaree	MLT	Employee	3
Goulburn - Mulwaree	MLT	Owner managers of unincorporated enterprises	4
Goulburn - Mulwaree	NLD	Employee	12
Goulburn - Mulwaree	NLD	Owner managers of unincorporated enterprises	3
Goulburn - Mulwaree	NZL	Contributing family workers	6
Goulburn - Mulwaree	NZL	Employee	123
Goulburn - Mulwaree	NZL	Owner managers of incorporated enterprises	9
Goulburn - Mulwaree	NZL	Owner managers of unincorporated enterprises	14
Goulburn - Mulwaree	PAK	Employee	14
Goulburn - Mulwaree	PHL	Contributing family workers	3
Goulburn - Mulwaree	PHL	Employee	66
Goulburn - Mulwaree	PHL	Owner managers of unincorporated enterprises	10
Goulburn - Mulwaree	POL	Employee	4
Goulburn - Mulwaree	SGP	Owner managers of incorporated enterprises	3
Goulburn - Mulwaree	ZAF	Employee	17
Goulburn - Mulwaree	KOR	Employee	52
Goulburn - Mulwaree	KOR	Owner managers of incorporated enterprises	5
Goulburn - Mulwaree	KOR	Owner managers of unincorporated enterprises	3
Goulburn - Mulwaree	LKA	Employee	13
Goulburn - Mulwaree	LKA	Owner managers of unincorporated enterprises	3
Goulburn - Mulwaree	THA	Employee	17
Goulburn - Mulwaree	THA	Owner managers of unincorporated enterprises	3
Goulburn - Mulwaree	GBR	Contributing family workers	20
Goulburn - Mulwaree	GBR	Employee	235
Goulburn - Mulwaree	GBR	Owner managers of incorporated enterprises	26
Goulburn - Mulwaree	GBR	Owner managers of unincorporated enterprises	44
Goulburn - Mulwaree	GBR	Status in employment not stated	3
Goulburn - Mulwaree	USA	Contributing family workers	3
Goulburn - Mulwaree	USA	Employee	27
Goulburn - Mulwaree	USA	Owner managers of unincorporated enterprises	3
Goulburn - Mulwaree	VNM	Employee	17
Goulburn - Mulwaree	VNM	Owner managers of incorporated enterprises	4
Goulburn - Mulwaree	ZWE	Employee	13
Young - Yass		Contributing family workers	23
Young - Yass		Employee	302
Young - Yass		Owner managers of incorporated enterprises	19
Young - Yass		Owner managers of unincorporated enterprises	67
Young - Yass		Status in employment not stated	19
Young - Yass	AUS	Contributing family workers	682
Young - Yass	AUS	Employee	6929
Young - Yass	AUS	Owner managers of incorporated enterprises	765
Young - Yass	AUS	Owner managers of unincorporated enterprises	1427
Young - Yass	AUS	Status in employment not stated	151
Young - Yass	CAN	Employee	8
Young - Yass	CAN	Owner managers of incorporated enterprises	3
Young - Yass	CHN	Contributing family workers	4
Young - Yass	CHN	Employee	20
Young - Yass	CHN	Owner managers of incorporated enterprises	7
Young - Yass	CHN	Owner managers of unincorporated enterprises	9
Young - Yass	HRV	Employee	3
Young - Yass	HRV	Owner managers of incorporated enterprises	5
Young - Yass	FJI	Employee	4
Young - Yass	MKD	Employee	6
Young - Yass	DEU	Contributing family workers	7
Young - Yass	DEU	Employee	16
Young - Yass	DEU	Owner managers of incorporated enterprises	7
Young - Yass	DEU	Owner managers of unincorporated enterprises	5
Young - Yass	GRC	Employee	4
Young - Yass	HKG	Employee	10
Young - Yass	IND	Employee	46
Young - Yass	IND	Owner managers of incorporated enterprises	8
Young - Yass	IDN	Employee	7
Young - Yass	IDN	Owner managers of unincorporated enterprises	3
Young - Yass	IRL	Employee	16
Young - Yass	IRL	Owner managers of unincorporated enterprises	5
Young - Yass	ITA	Contributing family workers	3
Young - Yass	ITA	Employee	9
Young - Yass	ITA	Owner managers of unincorporated enterprises	3
Young - Yass	JPN	Owner managers of unincorporated enterprises	4
Young - Yass	LBN	Employee	7
Young - Yass	LBN	Owner managers of incorporated enterprises	4
Young - Yass	LBN	Owner managers of unincorporated enterprises	4
Young - Yass	MYS	Employee	3
Young - Yass	MYS	Owner managers of unincorporated enterprises	3
Young - Yass	MLT	Contributing family workers	5
Young - Yass	NLD	Contributing family workers	4
Young - Yass	NLD	Employee	16
Young - Yass	NLD	Owner managers of unincorporated enterprises	8
Young - Yass	NZL	Contributing family workers	6
Young - Yass	NZL	Employee	105
Young - Yass	NZL	Owner managers of incorporated enterprises	12
Young - Yass	NZL	Owner managers of unincorporated enterprises	13
Young - Yass	NZL	Status in employment not stated	4
Young - Yass	PAK	Employee	3
Young - Yass	PHL	Employee	19
Young - Yass	POL	Employee	7
Young - Yass	POL	Owner managers of unincorporated enterprises	5
Young - Yass	SGP	Employee	3
Young - Yass	ZAF	Employee	27
Young - Yass	ZAF	Owner managers of incorporated enterprises	3
Young - Yass	KOR	Employee	9
Young - Yass	KOR	Owner managers of unincorporated enterprises	3
Young - Yass	LKA	Employee	14
Young - Yass	THA	Employee	6
Young - Yass	GBR	Contributing family workers	33
Young - Yass	GBR	Employee	174
Young - Yass	GBR	Owner managers of incorporated enterprises	27
Young - Yass	GBR	Owner managers of unincorporated enterprises	44
Young - Yass	GBR	Status in employment not stated	5
Young - Yass	USA	Contributing family workers	9
Young - Yass	USA	Employee	28
Young - Yass	USA	Owner managers of incorporated enterprises	3
Young - Yass	USA	Owner managers of unincorporated enterprises	4
Young - Yass	VNM	Contributing family workers	3
Young - Yass	VNM	Employee	8
Young - Yass	VNM	Owner managers of unincorporated enterprises	4
Young - Yass	ZWE	Employee	5
Gosford		Contributing family workers	54
Gosford		Employee	1602
Gosford		Owner managers of incorporated enterprises	190
Gosford		Owner managers of unincorporated enterprises	237
Gosford		Status in employment not stated	49
Gosford	AUS	Contributing family workers	605
Gosford	AUS	Employee	39401
Gosford	AUS	Owner managers of incorporated enterprises	3127
Gosford	AUS	Owner managers of unincorporated enterprises	3964
Gosford	AUS	Status in employment not stated	474
Gosford	CAN	Contributing family workers	3
Gosford	CAN	Employee	133
Gosford	CAN	Owner managers of incorporated enterprises	15
Gosford	CAN	Owner managers of unincorporated enterprises	22
Gosford	CAN	Status in employment not stated	3
Gosford	CHN	Contributing family workers	10
Gosford	CHN	Employee	222
Gosford	CHN	Owner managers of incorporated enterprises	74
Gosford	CHN	Owner managers of unincorporated enterprises	69
Gosford	CHN	Status in employment not stated	3
Gosford	HRV	Employee	23
Gosford	HRV	Owner managers of incorporated enterprises	3
Gosford	HRV	Owner managers of unincorporated enterprises	4
Gosford	EGY	Contributing family workers	4
Gosford	EGY	Employee	40
Gosford	EGY	Owner managers of incorporated enterprises	10
Gosford	EGY	Owner managers of unincorporated enterprises	9
Gosford	FJI	Contributing family workers	3
Gosford	FJI	Employee	86
Gosford	FJI	Owner managers of incorporated enterprises	9
Gosford	FJI	Owner managers of unincorporated enterprises	6
Gosford	MKD	Contributing family workers	3
Gosford	MKD	Employee	3
Gosford	DEU	Contributing family workers	7
Gosford	DEU	Employee	102
Gosford	DEU	Owner managers of incorporated enterprises	19
Gosford	DEU	Owner managers of unincorporated enterprises	36
Gosford	GRC	Contributing family workers	3
Gosford	GRC	Employee	18
Gosford	GRC	Owner managers of incorporated enterprises	3
Gosford	GRC	Owner managers of unincorporated enterprises	11
Gosford	HKG	Employee	74
Gosford	HKG	Owner managers of incorporated enterprises	11
Gosford	HKG	Owner managers of unincorporated enterprises	11
Gosford	IND	Contributing family workers	9
Gosford	IND	Employee	409
Gosford	IND	Owner managers of incorporated enterprises	54
Gosford	IND	Owner managers of unincorporated enterprises	17
Gosford	IND	Status in employment not stated	14
Gosford	IDN	Employee	83
Gosford	IDN	Owner managers of incorporated enterprises	5
Gosford	IDN	Owner managers of unincorporated enterprises	12
Gosford	IRN	Employee	27
Gosford	IRN	Owner managers of incorporated enterprises	3
Gosford	IRN	Owner managers of unincorporated enterprises	5
Gosford	IRQ	Employee	15
Gosford	IRQ	Owner managers of incorporated enterprises	3
Gosford	IRQ	Owner managers of unincorporated enterprises	4
Gosford	IRL	Contributing family workers	3
Gosford	IRL	Employee	143
Gosford	IRL	Owner managers of incorporated enterprises	17
Gosford	IRL	Owner managers of unincorporated enterprises	20
Gosford	IRL	Status in employment not stated	3
Gosford	ITA	Contributing family workers	4
Gosford	ITA	Employee	58
Gosford	ITA	Owner managers of incorporated enterprises	24
Gosford	ITA	Owner managers of unincorporated enterprises	19
Gosford	ITA	Status in employment not stated	3
Gosford	JPN	Employee	61
Gosford	JPN	Owner managers of incorporated enterprises	3
Gosford	JPN	Owner managers of unincorporated enterprises	14
Gosford	LBN	Employee	20
Gosford	LBN	Owner managers of incorporated enterprises	10
Gosford	LBN	Owner managers of unincorporated enterprises	8
Gosford	LBN	Status in employment not stated	3
Gosford	MYS	Employee	100
Gosford	MYS	Owner managers of incorporated enterprises	21
Gosford	MYS	Owner managers of unincorporated enterprises	25
Gosford	MLT	Contributing family workers	6
Gosford	MLT	Employee	28
Gosford	MLT	Owner managers of incorporated enterprises	6
Gosford	MLT	Owner managers of unincorporated enterprises	8
Gosford	NLD	Contributing family workers	3
Gosford	NLD	Employee	72
Gosford	NLD	Owner managers of incorporated enterprises	11
Gosford	NLD	Owner managers of unincorporated enterprises	17
Gosford	NZL	Contributing family workers	28
Gosford	NZL	Employee	1069
Gosford	NZL	Owner managers of incorporated enterprises	143
Gosford	NZL	Owner managers of unincorporated enterprises	141
Gosford	NZL	Status in employment not stated	12
Gosford	PAK	Contributing family workers	3
Gosford	PAK	Employee	40
Gosford	PHL	Contributing family workers	7
Gosford	PHL	Employee	353
Gosford	PHL	Owner managers of incorporated enterprises	22
Gosford	PHL	Owner managers of unincorporated enterprises	12
Gosford	PHL	Status in employment not stated	6
Gosford	POL	Employee	51
Gosford	POL	Owner managers of incorporated enterprises	8
Gosford	POL	Owner managers of unincorporated enterprises	13
Gosford	SGP	Employee	29
Gosford	SGP	Owner managers of incorporated enterprises	3
Gosford	SGP	Owner managers of unincorporated enterprises	7
Gosford	ZAF	Contributing family workers	9
Gosford	ZAF	Employee	300
Gosford	ZAF	Owner managers of incorporated enterprises	42
Gosford	ZAF	Owner managers of unincorporated enterprises	78
Gosford	ZAF	Status in employment not stated	3
Gosford	KOR	Contributing family workers	10
Gosford	KOR	Employee	124
Gosford	KOR	Owner managers of incorporated enterprises	18
Gosford	KOR	Owner managers of unincorporated enterprises	33
Gosford	KOR	Status in employment not stated	3
Gosford	LKA	Employee	69
Gosford	LKA	Owner managers of incorporated enterprises	14
Gosford	LKA	Owner managers of unincorporated enterprises	5
Gosford	THA	Contributing family workers	6
Gosford	THA	Employee	147
Gosford	THA	Owner managers of incorporated enterprises	18
Gosford	THA	Owner managers of unincorporated enterprises	19
Gosford	THA	Status in employment not stated	4
Gosford	TUR	Employee	14
Gosford	TUR	Owner managers of incorporated enterprises	7
Gosford	TUR	Owner managers of unincorporated enterprises	10
Gosford	GBR	Contributing family workers	56
Gosford	GBR	Employee	2471
Gosford	GBR	Owner managers of incorporated enterprises	354
Gosford	GBR	Owner managers of unincorporated enterprises	408
Gosford	GBR	Status in employment not stated	36
Gosford	USA	Contributing family workers	7
Gosford	USA	Employee	194
Gosford	USA	Owner managers of incorporated enterprises	20
Gosford	USA	Owner managers of unincorporated enterprises	24
Gosford	USA	Status in employment not stated	5
Gosford	VNM	Contributing family workers	4
Gosford	VNM	Employee	81
Gosford	VNM	Owner managers of incorporated enterprises	6
Gosford	VNM	Owner managers of unincorporated enterprises	21
Gosford	VNM	Status in employment not stated	4
Gosford	ZWE	Employee	65
Gosford	ZWE	Owner managers of incorporated enterprises	3
Wyong		Contributing family workers	53
Wyong		Employee	1171
Wyong		Owner managers of incorporated enterprises	131
Wyong		Owner managers of unincorporated enterprises	148
Wyong		Status in employment not stated	51
Wyong	AUS	Contributing family workers	475
Wyong	AUS	Employee	32760
Wyong	AUS	Owner managers of incorporated enterprises	2358
Wyong	AUS	Owner managers of unincorporated enterprises	2821
Wyong	AUS	Status in employment not stated	389
Wyong	CAN	Employee	62
Wyong	CAN	Owner managers of incorporated enterprises	9
Wyong	CAN	Owner managers of unincorporated enterprises	4
Wyong	CHN	Contributing family workers	12
Wyong	CHN	Employee	147
Wyong	CHN	Owner managers of incorporated enterprises	44
Wyong	CHN	Owner managers of unincorporated enterprises	37
Wyong	CHN	Status in employment not stated	3
Wyong	HRV	Employee	23
Wyong	HRV	Owner managers of incorporated enterprises	3
Wyong	HRV	Owner managers of unincorporated enterprises	4
Wyong	EGY	Employee	17
Wyong	EGY	Owner managers of incorporated enterprises	7
Wyong	EGY	Owner managers of unincorporated enterprises	5
Wyong	FJI	Employee	62
Wyong	FJI	Owner managers of incorporated enterprises	3
Wyong	FJI	Owner managers of unincorporated enterprises	4
Wyong	MKD	Employee	9
Wyong	DEU	Contributing family workers	3
Wyong	DEU	Employee	62
Wyong	DEU	Owner managers of incorporated enterprises	8
Wyong	DEU	Owner managers of unincorporated enterprises	17
Wyong	GRC	Employee	16
Wyong	GRC	Owner managers of incorporated enterprises	3
Wyong	HKG	Contributing family workers	3
Wyong	HKG	Employee	24
