SA3_NAME16	IndustryOfEmployment	workers_born_overseas
Coffs Harbour	Education and training	339
Coffs Harbour	Electricity gas water and waste services	17
Coffs Harbour	Financial and insurance services	41
Coffs Harbour	Health care and social assistance	1116
Coffs Harbour	Information media and telecommunications	34
Coffs Harbour	Manufacturing	153
Coffs Harbour	Mining	5
Coffs Harbour	Other services	157
Coffs Harbour	Professional scientific and technical services	238
Coffs Harbour	Public administration and safety	192
Coffs Harbour	Rental hiring and real estate services	74
Coffs Harbour	Retail trade	373
Coffs Harbour	Transport postal and warehousing	141
Coffs Harbour	Wholesale trade	66
Bourke - Cobar - Coonamble		25
Bourke - Cobar - Coonamble	Accommodation and food services	82
Bourke - Cobar - Coonamble	Administrative and support services	19
Bourke - Cobar - Coonamble	Agriculture forestry and fishing	70
Bourke - Cobar - Coonamble	Arts and recreation services	3
Bourke - Cobar - Coonamble	Construction	15
Bourke - Cobar - Coonamble	Education and training	50
Bourke - Cobar - Coonamble	Health care and social assistance	167
Bourke - Cobar - Coonamble	Information media and telecommunications	3
Bourke - Cobar - Coonamble	Manufacturing	11
Bourke - Cobar - Coonamble	Mining	142
Bourke - Cobar - Coonamble	Other services	20
Bourke - Cobar - Coonamble	Professional scientific and technical services	14
Bourke - Cobar - Coonamble	Public administration and safety	46
Bourke - Cobar - Coonamble	Rental hiring and real estate services	5
Bourke - Cobar - Coonamble	Retail trade	95
Bourke - Cobar - Coonamble	Transport postal and warehousing	7
Bourke - Cobar - Coonamble	Wholesale trade	7
Broken Hill and Far West		17
Broken Hill and Far West	Accommodation and food services	71
Broken Hill and Far West	Administrative and support services	8
Broken Hill and Far West	Agriculture forestry and fishing	29
Broken Hill and Far West	Arts and recreation services	4
Broken Hill and Far West	Construction	15
Broken Hill and Far West	Education and training	43
Broken Hill and Far West	Electricity gas water and waste services	3
Broken Hill and Far West	Financial and insurance services	5
Broken Hill and Far West	Health care and social assistance	141
Broken Hill and Far West	Information media and telecommunications	3
Broken Hill and Far West	Manufacturing	3
Broken Hill and Far West	Mining	32
Broken Hill and Far West	Other services	14
Broken Hill and Far West	Professional scientific and technical services	4
Broken Hill and Far West	Public administration and safety	27
Broken Hill and Far West	Retail trade	28
Broken Hill and Far West	Transport postal and warehousing	5
Broken Hill and Far West	Wholesale trade	3
Dubbo		77
Dubbo	Accommodation and food services	332
Dubbo	Administrative and support services	48
Dubbo	Agriculture forestry and fishing	149
Dubbo	Arts and recreation services	27
Dubbo	Construction	69
Dubbo	Education and training	154
Dubbo	Electricity gas water and waste services	22
Dubbo	Financial and insurance services	27
Dubbo	Health care and social assistance	566
Dubbo	Information media and telecommunications	15
Dubbo	Manufacturing	276
Dubbo	Mining	15
Dubbo	Other services	86
Dubbo	Professional scientific and technical services	102
Dubbo	Public administration and safety	129
Dubbo	Rental hiring and real estate services	13
Dubbo	Retail trade	253
Dubbo	Transport postal and warehousing	51
Dubbo	Wholesale trade	39
Lower Hunter		104
Lower Hunter	Accommodation and food services	382
Lower Hunter	Administrative and support services	89
Lower Hunter	Agriculture forestry and fishing	99
Lower Hunter	Arts and recreation services	37
Lower Hunter	Construction	116
Lower Hunter	Education and training	166
Lower Hunter	Electricity gas water and waste services	18
Lower Hunter	Financial and insurance services	17
Lower Hunter	Health care and social assistance	325
Lower Hunter	Information media and telecommunications	12
Lower Hunter	Manufacturing	209
Lower Hunter	Mining	468
Lower Hunter	Other services	89
Lower Hunter	Professional scientific and technical services	123
Lower Hunter	Public administration and safety	199
Lower Hunter	Rental hiring and real estate services	29
Lower Hunter	Retail trade	222
Lower Hunter	Transport postal and warehousing	70
Lower Hunter	Wholesale trade	38
Maitland		104
Maitland	Accommodation and food services	195
Maitland	Administrative and support services	77
Maitland	Agriculture forestry and fishing	10
Maitland	Arts and recreation services	13
Maitland	Construction	229
Maitland	Education and training	163
Maitland	Electricity gas water and waste services	29
Maitland	Financial and insurance services	45
Maitland	Health care and social assistance	620
Maitland	Information media and telecommunications	19
Maitland	Manufacturing	183
Maitland	Mining	56
Maitland	Other services	117
Maitland	Professional scientific and technical services	118
Maitland	Public administration and safety	132
Maitland	Rental hiring and real estate services	38
Maitland	Retail trade	265
Maitland	Transport postal and warehousing	89
Maitland	Wholesale trade	31
Port Stephens		120
Port Stephens	Accommodation and food services	393
Port Stephens	Administrative and support services	119
Port Stephens	Agriculture forestry and fishing	57
Port Stephens	Arts and recreation services	31
Port Stephens	Construction	247
Port Stephens	Education and training	142
Port Stephens	Electricity gas water and waste services	23
Port Stephens	Financial and insurance services	22
Port Stephens	Health care and social assistance	357
Port Stephens	Information media and telecommunications	18
Port Stephens	Manufacturing	362
Port Stephens	Mining	21
Port Stephens	Other services	140
Port Stephens	Professional scientific and technical services	197
Port Stephens	Public administration and safety	445
Port Stephens	Rental hiring and real estate services	44
Port Stephens	Retail trade	249
Port Stephens	Transport postal and warehousing	129
Port Stephens	Wholesale trade	52
Upper Hunter		50
Upper Hunter	Accommodation and food services	110
Upper Hunter	Administrative and support services	38
Upper Hunter	Agriculture forestry and fishing	238
Upper Hunter	Arts and recreation services	26
Upper Hunter	Construction	44
Upper Hunter	Education and training	56
Upper Hunter	Electricity gas water and waste services	63
Upper Hunter	Financial and insurance services	3
Upper Hunter	Health care and social assistance	167
Upper Hunter	Information media and telecommunications	10
Upper Hunter	Manufacturing	153
Upper Hunter	Mining	227
Upper Hunter	Other services	43
Upper Hunter	Professional scientific and technical services	49
Upper Hunter	Public administration and safety	69
Upper Hunter	Rental hiring and real estate services	15
Upper Hunter	Retail trade	79
Upper Hunter	Transport postal and warehousing	24
Upper Hunter	Wholesale trade	33
Dapto - Port Kembla		260
Dapto - Port Kembla	Accommodation and food services	311
Dapto - Port Kembla	Administrative and support services	270
Dapto - Port Kembla	Agriculture forestry and fishing	19
Dapto - Port Kembla	Arts and recreation services	21
Dapto - Port Kembla	Construction	457
Dapto - Port Kembla	Education and training	225
Dapto - Port Kembla	Electricity gas water and waste services	70
Dapto - Port Kembla	Financial and insurance services	49
Dapto - Port Kembla	Health care and social assistance	841
Dapto - Port Kembla	Information media and telecommunications	24
Dapto - Port Kembla	Manufacturing	911
Dapto - Port Kembla	Mining	98
Dapto - Port Kembla	Other services	261
Dapto - Port Kembla	Professional scientific and technical services	187
Dapto - Port Kembla	Public administration and safety	151
Dapto - Port Kembla	Rental hiring and real estate services	60
Dapto - Port Kembla	Retail trade	441
Dapto - Port Kembla	Transport postal and warehousing	403
Dapto - Port Kembla	Wholesale trade	121
Illawarra Catchment Reserve	Health care and social assistance	3
Illawarra Catchment Reserve	Mining	7
Kiama - Shellharbour		144
Kiama - Shellharbour	Accommodation and food services	401
Kiama - Shellharbour	Administrative and support services	152
Kiama - Shellharbour	Agriculture forestry and fishing	28
Kiama - Shellharbour	Arts and recreation services	50
Kiama - Shellharbour	Construction	281
Kiama - Shellharbour	Education and training	287
Kiama - Shellharbour	Electricity gas water and waste services	21
Kiama - Shellharbour	Financial and insurance services	48
Kiama - Shellharbour	Health care and social assistance	806
Kiama - Shellharbour	Information media and telecommunications	25
Kiama - Shellharbour	Manufacturing	93
Kiama - Shellharbour	Mining	19
Kiama - Shellharbour	Other services	143
Kiama - Shellharbour	Professional scientific and technical services	147
Kiama - Shellharbour	Public administration and safety	160
Kiama - Shellharbour	Rental hiring and real estate services	49
Kiama - Shellharbour	Retail trade	469
Kiama - Shellharbour	Transport postal and warehousing	110
Kiama - Shellharbour	Wholesale trade	72
Wollongong		368
Wollongong	Accommodation and food services	1058
Wollongong	Administrative and support services	386
Wollongong	Agriculture forestry and fishing	19
Wollongong	Arts and recreation services	122
Wollongong	Construction	443
Wollongong	Education and training	1800
Wollongong	Electricity gas water and waste services	12
Wollongong	Financial and insurance services	444
Wollongong	Health care and social assistance	2452
Wollongong	Information media and telecommunications	113
Wollongong	Manufacturing	253
Wollongong	Mining	69
Wollongong	Other services	341
Wollongong	Professional scientific and technical services	728
Wollongong	Public administration and safety	593
Wollongong	Rental hiring and real estate services	151
Wollongong	Retail trade	788
Wollongong	Transport postal and warehousing	234
Wollongong	Wholesale trade	144
Great Lakes		40
Great Lakes	Accommodation and food services	148
Great Lakes	Administrative and support services	39
Great Lakes	Agriculture forestry and fishing	23
Great Lakes	Arts and recreation services	12
Great Lakes	Construction	54
Great Lakes	Education and training	44
Great Lakes	Electricity gas water and waste services	16
Great Lakes	Financial and insurance services	8
Great Lakes	Health care and social assistance	192
Great Lakes	Information media and telecommunications	8
Great Lakes	Manufacturing	34
Great Lakes	Mining	3
Great Lakes	Other services	32
Great Lakes	Professional scientific and technical services	43
Great Lakes	Public administration and safety	33
Great Lakes	Rental hiring and real estate services	22
Great Lakes	Retail trade	99
Great Lakes	Transport postal and warehousing	17
Great Lakes	Wholesale trade	5
Kempsey - Nambucca		44
Kempsey - Nambucca	Accommodation and food services	116
Kempsey - Nambucca	Administrative and support services	48
Kempsey - Nambucca	Agriculture forestry and fishing	84
Kempsey - Nambucca	Arts and recreation services	6
Kempsey - Nambucca	Construction	165
Kempsey - Nambucca	Education and training	117
Kempsey - Nambucca	Electricity gas water and waste services	5
Kempsey - Nambucca	Financial and insurance services	11
Kempsey - Nambucca	Health care and social assistance	359
Kempsey - Nambucca	Manufacturing	90
Kempsey - Nambucca	Other services	40
Kempsey - Nambucca	Professional scientific and technical services	63
Kempsey - Nambucca	Public administration and safety	73
Kempsey - Nambucca	Rental hiring and real estate services	12
Kempsey - Nambucca	Retail trade	116
Kempsey - Nambucca	Transport postal and warehousing	46
Kempsey - Nambucca	Wholesale trade	16
Lord Howe Island	Accommodation and food services	14
Lord Howe Island	Administrative and support services	3
Lord Howe Island	Education and training	3
Lord Howe Island	Public administration and safety	8
Lord Howe Island	Retail trade	4
Port Macquarie		122
Port Macquarie	Accommodation and food services	329
Port Macquarie	Administrative and support services	127
Port Macquarie	Agriculture forestry and fishing	68
Port Macquarie	Arts and recreation services	25
Port Macquarie	Construction	200
Port Macquarie	Education and training	302
Port Macquarie	Electricity gas water and waste services	110
Port Macquarie	Financial and insurance services	58
Port Macquarie	Health care and social assistance	910
Port Macquarie	Information media and telecommunications	22
Port Macquarie	Manufacturing	102
Port Macquarie	Mining	3
Port Macquarie	Other services	114
Port Macquarie	Professional scientific and technical services	187
Port Macquarie	Public administration and safety	116
Port Macquarie	Rental hiring and real estate services	44
Port Macquarie	Retail trade	326
Port Macquarie	Transport postal and warehousing	87
Port Macquarie	Wholesale trade	53
Taree - Gloucester		56
Taree - Gloucester	Accommodation and food services	155
Taree - Gloucester	Administrative and support services	54
Taree - Gloucester	Agriculture forestry and fishing	68
Taree - Gloucester	Arts and recreation services	11
Taree - Gloucester	Construction	85
Taree - Gloucester	Education and training	107
Taree - Gloucester	Electricity gas water and waste services	17
Taree - Gloucester	Financial and insurance services	22
Taree - Gloucester	Health care and social assistance	477
Taree - Gloucester	Information media and telecommunications	14
Taree - Gloucester	Manufacturing	126
Taree - Gloucester	Mining	6
Taree - Gloucester	Other services	47
Taree - Gloucester	Professional scientific and technical services	67
Taree - Gloucester	Public administration and safety	56
Taree - Gloucester	Rental hiring and real estate services	10
Taree - Gloucester	Retail trade	125
Taree - Gloucester	Transport postal and warehousing	24
Taree - Gloucester	Wholesale trade	36
Albury		125
Albury	Accommodation and food services	352
Albury	Administrative and support services	82
Albury	Agriculture forestry and fishing	68
Albury	Arts and recreation services	23
Albury	Construction	127
Albury	Education and training	255
Albury	Electricity gas water and waste services	16
Albury	Financial and insurance services	41
Albury	Health care and social assistance	725
Albury	Information media and telecommunications	17
Albury	Manufacturing	287
Albury	Mining	5
Albury	Other services	156
Albury	Professional scientific and technical services	95
Albury	Public administration and safety	162
Albury	Rental hiring and real estate services	21
Albury	Retail trade	264
Albury	Transport postal and warehousing	99
Albury	Wholesale trade	47
Lower Murray		26
Lower Murray	Accommodation and food services	40
Lower Murray	Administrative and support services	26
Lower Murray	Agriculture forestry and fishing	149
Lower Murray	Arts and recreation services	7
Lower Murray	Construction	12
Lower Murray	Education and training	29
Lower Murray	Electricity gas water and waste services	3
Lower Murray	Health care and social assistance	41
Lower Murray	Manufacturing	29
Lower Murray	Mining	8
Lower Murray	Other services	6
Lower Murray	Professional scientific and technical services	3
Lower Murray	Public administration and safety	27
Lower Murray	Retail trade	21
Lower Murray	Transport postal and warehousing	15
Lower Murray	Wholesale trade	14
Upper Murray exc. Albury		42
Upper Murray exc. Albury	Accommodation and food services	208
Upper Murray exc. Albury	Administrative and support services	30
Upper Murray exc. Albury	Agriculture forestry and fishing	219
Upper Murray exc. Albury	Arts and recreation services	27
Upper Murray exc. Albury	Construction	34
Upper Murray exc. Albury	Education and training	60
Upper Murray exc. Albury	Electricity gas water and waste services	11
Upper Murray exc. Albury	Financial and insurance services	6
Upper Murray exc. Albury	Health care and social assistance	183
Upper Murray exc. Albury	Information media and telecommunications	6
Upper Murray exc. Albury	Manufacturing	201
Upper Murray exc. Albury	Other services	21
Upper Murray exc. Albury	Professional scientific and technical services	44
Upper Murray exc. Albury	Public administration and safety	44
Upper Murray exc. Albury	Rental hiring and real estate services	3
Upper Murray exc. Albury	Retail trade	65
Upper Murray exc. Albury	Transport postal and warehousing	39
Upper Murray exc. Albury	Wholesale trade	29
Armidale		46
Armidale	Accommodation and food services	151
Armidale	Administrative and support services	58
Armidale	Agriculture forestry and fishing	258
Armidale	Arts and recreation services	11
Armidale	Construction	57
Armidale	Education and training	492
Armidale	Electricity gas water and waste services	9
Armidale	Financial and insurance services	17
Armidale	Health care and social assistance	370
Armidale	Information media and telecommunications	14
Armidale	Manufacturing	27
Armidale	Mining	3
Armidale	Other services	33
Armidale	Professional scientific and technical services	113
Armidale	Public administration and safety	98
Armidale	Rental hiring and real estate services	9
Armidale	Retail trade	139
Armidale	Transport postal and warehousing	23
Armidale	Wholesale trade	23
Inverell - Tenterfield		53
Inverell - Tenterfield	Accommodation and food services	84
Inverell - Tenterfield	Administrative and support services	21
Inverell - Tenterfield	Agriculture forestry and fishing	145
Inverell - Tenterfield	Arts and recreation services	8
Inverell - Tenterfield	Construction	38
Inverell - Tenterfield	Education and training	37
Inverell - Tenterfield	Electricity gas water and waste services	4
Inverell - Tenterfield	Financial and insurance services	8
Inverell - Tenterfield	Health care and social assistance	164
Inverell - Tenterfield	Information media and telecommunications	5
Inverell - Tenterfield	Manufacturing	166
Inverell - Tenterfield	Mining	4
Inverell - Tenterfield	Other services	32
Inverell - Tenterfield	Professional scientific and technical services	34
Inverell - Tenterfield	Public administration and safety	43
Inverell - Tenterfield	Rental hiring and real estate services	7
Inverell - Tenterfield	Retail trade	69
Inverell - Tenterfield	Transport postal and warehousing	37
Inverell - Tenterfield	Wholesale trade	13
Moree - Narrabri		29
Moree - Narrabri	Accommodation and food services	106
Moree - Narrabri	Administrative and support services	22
Moree - Narrabri	Agriculture forestry and fishing	160
Moree - Narrabri	Arts and recreation services	4
Moree - Narrabri	Construction	20
Moree - Narrabri	Education and training	45
Moree - Narrabri	Electricity gas water and waste services	3
Moree - Narrabri	Financial and insurance services	5
Moree - Narrabri	Health care and social assistance	130
Moree - Narrabri	Manufacturing	20
Moree - Narrabri	Mining	20
Moree - Narrabri	Other services	15
Moree - Narrabri	Professional scientific and technical services	51
Moree - Narrabri	Public administration and safety	34
Moree - Narrabri	Rental hiring and real estate services	3
Moree - Narrabri	Retail trade	70
Moree - Narrabri	Transport postal and warehousing	26
Moree - Narrabri	Wholesale trade	15
Tamworth - Gunnedah		114
Tamworth - Gunnedah	Accommodation and food services	246
Tamworth - Gunnedah	Administrative and support services	67
Tamworth - Gunnedah	Agriculture forestry and fishing	254
Tamworth - Gunnedah	Arts and recreation services	13
Tamworth - Gunnedah	Construction	83
Tamworth - Gunnedah	Education and training	169
Tamworth - Gunnedah	Electricity gas water and waste services	9
Tamworth - Gunnedah	Financial and insurance services	32
Tamworth - Gunnedah	Health care and social assistance	554
Tamworth - Gunnedah	Information media and telecommunications	11
Tamworth - Gunnedah	Manufacturing	427
Tamworth - Gunnedah	Mining	94
Tamworth - Gunnedah	Other services	76
Tamworth - Gunnedah	Professional scientific and technical services	85
Tamworth - Gunnedah	Public administration and safety	105
Tamworth - Gunnedah	Rental hiring and real estate services	21
Tamworth - Gunnedah	Retail trade	226
Tamworth - Gunnedah	Transport postal and warehousing	73
Tamworth - Gunnedah	Wholesale trade	160
Lake Macquarie - East		184
Lake Macquarie - East	Accommodation and food services	483
Lake Macquarie - East	Administrative and support services	175
Lake Macquarie - East	Agriculture forestry and fishing	5
Lake Macquarie - East	Arts and recreation services	47
Lake Macquarie - East	Construction	273
Lake Macquarie - East	Education and training	236
Lake Macquarie - East	Electricity gas water and waste services	14
Lake Macquarie - East	Financial and insurance services	117
Lake Macquarie - East	Health care and social assistance	1015
Lake Macquarie - East	Information media and telecommunications	29
Lake Macquarie - East	Manufacturing	321
Lake Macquarie - East	Mining	28
Lake Macquarie - East	Other services	203
Lake Macquarie - East	Professional scientific and technical services	205
Lake Macquarie - East	Public administration and safety	148
Lake Macquarie - East	Rental hiring and real estate services	46
Lake Macquarie - East	Retail trade	513
Lake Macquarie - East	Transport postal and warehousing	114
Lake Macquarie - East	Wholesale trade	94
Lake Macquarie - West		107
Lake Macquarie - West	Accommodation and food services	119
Lake Macquarie - West	Administrative and support services	55
Lake Macquarie - West	Agriculture forestry and fishing	17
Lake Macquarie - West	Arts and recreation services	25
Lake Macquarie - West	Construction	161
Lake Macquarie - West	Education and training	226
Lake Macquarie - West	Electricity gas water and waste services	31
Lake Macquarie - West	Financial and insurance services	29
Lake Macquarie - West	Health care and social assistance	590
Lake Macquarie - West	Information media and telecommunications	10
Lake Macquarie - West	Manufacturing	124
Lake Macquarie - West	Mining	46
Lake Macquarie - West	Other services	74
Lake Macquarie - West	Professional scientific and technical services	121
Lake Macquarie - West	Public administration and safety	29
Lake Macquarie - West	Rental hiring and real estate services	23
Lake Macquarie - West	Retail trade	164
Lake Macquarie - West	Transport postal and warehousing	72
Lake Macquarie - West	Wholesale trade	16
Newcastle		417
Newcastle	Accommodation and food services	1131
Newcastle	Administrative and support services	371
Newcastle	Agriculture forestry and fishing	112
Newcastle	Arts and recreation services	125
Newcastle	Construction	657
Newcastle	Education and training	1394
Newcastle	Electricity gas water and waste services	143
Newcastle	Financial and insurance services	381
Newcastle	Health care and social assistance	3107
Newcastle	Information media and telecommunications	118
Newcastle	Manufacturing	787
Newcastle	Mining	90
Newcastle	Other services	404
Newcastle	Professional scientific and technical services	952
Newcastle	Public administration and safety	578
Newcastle	Rental hiring and real estate services	117
Newcastle	Retail trade	760
Newcastle	Transport postal and warehousing	488
Newcastle	Wholesale trade	229
Richmond Valley - Coastal		273
Richmond Valley - Coastal	Accommodation and food services	780
Richmond Valley - Coastal	Administrative and support services	204
Richmond Valley - Coastal	Agriculture forestry and fishing	245
Richmond Valley - Coastal	Arts and recreation services	109
Richmond Valley - Coastal	Construction	247
Richmond Valley - Coastal	Education and training	410
Richmond Valley - Coastal	Electricity gas water and waste services	31
Richmond Valley - Coastal	Financial and insurance services	59
Richmond Valley - Coastal	Health care and social assistance	768
Richmond Valley - Coastal	Information media and telecommunications	72
Richmond Valley - Coastal	Manufacturing	246
