SA3_NAME16	Age	LabourForceStatus	Sex	workers
Snowy Mountains	60-64	Employed (away from work)	F	19
Snowy Mountains	60-64	Employed (away from work)	M	20
Snowy Mountains	60-64	Employed (full-time)	F	127
Snowy Mountains	60-64	Employed (full-time)	M	247
Snowy Mountains	60-64	Employed (part-time)	F	147
Snowy Mountains	60-64	Employed (part-time)	M	107
Snowy Mountains	65-69		F	3
Snowy Mountains	65-69	Employed (away from work)	F	10
Snowy Mountains	65-69	Employed (away from work)	M	12
Snowy Mountains	65-69	Employed (full-time)	F	72
Snowy Mountains	65-69	Employed (full-time)	M	123
Snowy Mountains	65-69	Employed (part-time)	F	91
Snowy Mountains	65-69	Employed (part-time)	M	69
Snowy Mountains	70-74		F	6
Snowy Mountains	70-74		M	4
Snowy Mountains	70-74	Employed (away from work)	F	5
Snowy Mountains	70-74	Employed (away from work)	M	4
Snowy Mountains	70-74	Employed (full-time)	F	34
Snowy Mountains	70-74	Employed (full-time)	M	64
Snowy Mountains	70-74	Employed (part-time)	F	45
Snowy Mountains	70-74	Employed (part-time)	M	47
Snowy Mountains	75+		F	6
Snowy Mountains	75+		M	7
Snowy Mountains	75+	Employed (away from work)	M	9
Snowy Mountains	75+	Employed (full-time)	F	16
Snowy Mountains	75+	Employed (full-time)	M	48
Snowy Mountains	75+	Employed (part-time)	F	16
Snowy Mountains	75+	Employed (part-time)	M	30
South Coast	15-19		F	26
South Coast	15-19		M	25
South Coast	15-19	Employed (away from work)	F	42
South Coast	15-19	Employed (away from work)	M	30
South Coast	15-19	Employed (full-time)	F	121
South Coast	15-19	Employed (full-time)	M	199
South Coast	15-19	Employed (part-time)	F	652
South Coast	15-19	Employed (part-time)	M	429
South Coast	20-24		F	25
South Coast	20-24		M	37
South Coast	20-24	Employed (away from work)	F	35
South Coast	20-24	Employed (away from work)	M	24
South Coast	20-24	Employed (full-time)	F	309
South Coast	20-24	Employed (full-time)	M	453
South Coast	20-24	Employed (part-time)	F	345
South Coast	20-24	Employed (part-time)	M	246
South Coast	25-29		F	9
South Coast	25-29		M	20
South Coast	25-29	Employed (away from work)	F	43
South Coast	25-29	Employed (away from work)	M	15
South Coast	25-29	Employed (full-time)	F	347
South Coast	25-29	Employed (full-time)	M	520
South Coast	25-29	Employed (part-time)	F	352
South Coast	25-29	Employed (part-time)	M	171
South Coast	30-34		F	13
South Coast	30-34		M	19
South Coast	30-34	Employed (away from work)	F	71
South Coast	30-34	Employed (away from work)	M	26
South Coast	30-34	Employed (full-time)	F	327
South Coast	30-34	Employed (full-time)	M	659
South Coast	30-34	Employed (part-time)	F	480
South Coast	30-34	Employed (part-time)	M	162
South Coast	35-39		F	13
South Coast	35-39		M	24
South Coast	35-39	Employed (away from work)	F	37
South Coast	35-39	Employed (away from work)	M	22
South Coast	35-39	Employed (full-time)	F	376
South Coast	35-39	Employed (full-time)	M	684
South Coast	35-39	Employed (part-time)	F	596
South Coast	35-39	Employed (part-time)	M	177
South Coast	40-44		F	19
South Coast	40-44		M	25
South Coast	40-44	Employed (away from work)	F	36
South Coast	40-44	Employed (away from work)	M	28
South Coast	40-44	Employed (full-time)	F	581
South Coast	40-44	Employed (full-time)	M	819
South Coast	40-44	Employed (part-time)	F	660
South Coast	40-44	Employed (part-time)	M	239
South Coast	45-49		F	18
South Coast	45-49		M	25
South Coast	45-49	Employed (away from work)	F	42
South Coast	45-49	Employed (away from work)	M	39
South Coast	45-49	Employed (full-time)	F	740
South Coast	45-49	Employed (full-time)	M	965
South Coast	45-49	Employed (part-time)	F	735
South Coast	45-49	Employed (part-time)	M	271
South Coast	50-54		F	26
South Coast	50-54		M	24
South Coast	50-54	Employed (away from work)	F	66
South Coast	50-54	Employed (away from work)	M	41
South Coast	50-54	Employed (full-time)	F	776
South Coast	50-54	Employed (full-time)	M	1049
South Coast	50-54	Employed (part-time)	F	904
South Coast	50-54	Employed (part-time)	M	321
South Coast	55-59		F	33
South Coast	55-59		M	21
South Coast	55-59	Employed (away from work)	F	96
South Coast	55-59	Employed (away from work)	M	79
South Coast	55-59	Employed (full-time)	F	705
South Coast	55-59	Employed (full-time)	M	998
South Coast	55-59	Employed (part-time)	F	950
South Coast	55-59	Employed (part-time)	M	456
South Coast	60-64		F	27
South Coast	60-64		M	20
South Coast	60-64	Employed (away from work)	F	84
South Coast	60-64	Employed (away from work)	M	59
South Coast	60-64	Employed (full-time)	F	386
South Coast	60-64	Employed (full-time)	M	665
South Coast	60-64	Employed (part-time)	F	728
South Coast	60-64	Employed (part-time)	M	478
South Coast	65-69		F	15
South Coast	65-69		M	16
South Coast	65-69	Employed (away from work)	F	32
South Coast	65-69	Employed (away from work)	M	30
South Coast	65-69	Employed (full-time)	F	117
South Coast	65-69	Employed (full-time)	M	266
South Coast	65-69	Employed (part-time)	F	291
South Coast	65-69	Employed (part-time)	M	280
South Coast	70-74		F	4
South Coast	70-74		M	5
South Coast	70-74	Employed (away from work)	F	18
South Coast	70-74	Employed (away from work)	M	11
South Coast	70-74	Employed (full-time)	F	31
South Coast	70-74	Employed (full-time)	M	78
South Coast	70-74	Employed (part-time)	F	99
South Coast	70-74	Employed (part-time)	M	126
South Coast	75+		F	12
South Coast	75+		M	11
South Coast	75+	Employed (away from work)	F	5
South Coast	75+	Employed (away from work)	M	11
South Coast	75+	Employed (full-time)	F	17
South Coast	75+	Employed (full-time)	M	49
South Coast	75+	Employed (part-time)	F	27
South Coast	75+	Employed (part-time)	M	84
Goulburn - Mulwaree	15-19		F	18
Goulburn - Mulwaree	15-19		M	11
Goulburn - Mulwaree	15-19	Employed (away from work)	F	20
Goulburn - Mulwaree	15-19	Employed (away from work)	M	13
Goulburn - Mulwaree	15-19	Employed (full-time)	F	82
Goulburn - Mulwaree	15-19	Employed (full-time)	M	146
Goulburn - Mulwaree	15-19	Employed (part-time)	F	327
Goulburn - Mulwaree	15-19	Employed (part-time)	M	251
Goulburn - Mulwaree	20-24		F	7
Goulburn - Mulwaree	20-24		M	18
Goulburn - Mulwaree	20-24	Employed (away from work)	F	27
Goulburn - Mulwaree	20-24	Employed (away from work)	M	12
Goulburn - Mulwaree	20-24	Employed (full-time)	F	231
Goulburn - Mulwaree	20-24	Employed (full-time)	M	434
Goulburn - Mulwaree	20-24	Employed (part-time)	F	228
Goulburn - Mulwaree	20-24	Employed (part-time)	M	130
Goulburn - Mulwaree	25-29		F	12
Goulburn - Mulwaree	25-29		M	9
Goulburn - Mulwaree	25-29	Employed (away from work)	F	46
Goulburn - Mulwaree	25-29	Employed (away from work)	M	15
Goulburn - Mulwaree	25-29	Employed (full-time)	F	303
Goulburn - Mulwaree	25-29	Employed (full-time)	M	466
Goulburn - Mulwaree	25-29	Employed (part-time)	F	230
Goulburn - Mulwaree	25-29	Employed (part-time)	M	84
Goulburn - Mulwaree	30-34		F	7
Goulburn - Mulwaree	30-34		M	25
Goulburn - Mulwaree	30-34	Employed (away from work)	F	41
Goulburn - Mulwaree	30-34	Employed (away from work)	M	20
Goulburn - Mulwaree	30-34	Employed (full-time)	F	265
Goulburn - Mulwaree	30-34	Employed (full-time)	M	474
Goulburn - Mulwaree	30-34	Employed (part-time)	F	306
Goulburn - Mulwaree	30-34	Employed (part-time)	M	80
Goulburn - Mulwaree	35-39		F	9
Goulburn - Mulwaree	35-39		M	12
Goulburn - Mulwaree	35-39	Employed (away from work)	F	19
Goulburn - Mulwaree	35-39	Employed (away from work)	M	14
Goulburn - Mulwaree	35-39	Employed (full-time)	F	275
Goulburn - Mulwaree	35-39	Employed (full-time)	M	502
Goulburn - Mulwaree	35-39	Employed (part-time)	F	281
Goulburn - Mulwaree	35-39	Employed (part-time)	M	63
Goulburn - Mulwaree	40-44		F	14
Goulburn - Mulwaree	40-44		M	12
Goulburn - Mulwaree	40-44	Employed (away from work)	F	18
Goulburn - Mulwaree	40-44	Employed (away from work)	M	15
Goulburn - Mulwaree	40-44	Employed (full-time)	F	357
Goulburn - Mulwaree	40-44	Employed (full-time)	M	550
Goulburn - Mulwaree	40-44	Employed (part-time)	F	312
Goulburn - Mulwaree	40-44	Employed (part-time)	M	74
Goulburn - Mulwaree	45-49		F	7
Goulburn - Mulwaree	45-49		M	14
Goulburn - Mulwaree	45-49	Employed (away from work)	F	26
Goulburn - Mulwaree	45-49	Employed (away from work)	M	19
Goulburn - Mulwaree	45-49	Employed (full-time)	F	414
Goulburn - Mulwaree	45-49	Employed (full-time)	M	589
Goulburn - Mulwaree	45-49	Employed (part-time)	F	320
Goulburn - Mulwaree	45-49	Employed (part-time)	M	84
Goulburn - Mulwaree	50-54		F	10
Goulburn - Mulwaree	50-54		M	12
Goulburn - Mulwaree	50-54	Employed (away from work)	F	20
Goulburn - Mulwaree	50-54	Employed (away from work)	M	27
Goulburn - Mulwaree	50-54	Employed (full-time)	F	447
Goulburn - Mulwaree	50-54	Employed (full-time)	M	623
Goulburn - Mulwaree	50-54	Employed (part-time)	F	366
Goulburn - Mulwaree	50-54	Employed (part-time)	M	111
Goulburn - Mulwaree	55-59		F	10
Goulburn - Mulwaree	55-59		M	5
Goulburn - Mulwaree	55-59	Employed (away from work)	F	45
Goulburn - Mulwaree	55-59	Employed (away from work)	M	26
Goulburn - Mulwaree	55-59	Employed (full-time)	F	347
Goulburn - Mulwaree	55-59	Employed (full-time)	M	591
Goulburn - Mulwaree	55-59	Employed (part-time)	F	322
Goulburn - Mulwaree	55-59	Employed (part-time)	M	105
Goulburn - Mulwaree	60-64		F	10
Goulburn - Mulwaree	60-64		M	5
Goulburn - Mulwaree	60-64	Employed (away from work)	F	24
Goulburn - Mulwaree	60-64	Employed (away from work)	M	15
Goulburn - Mulwaree	60-64	Employed (full-time)	F	222
Goulburn - Mulwaree	60-64	Employed (full-time)	M	362
Goulburn - Mulwaree	60-64	Employed (part-time)	F	242
Goulburn - Mulwaree	60-64	Employed (part-time)	M	144
Goulburn - Mulwaree	65-69		F	4
Goulburn - Mulwaree	65-69		M	11
Goulburn - Mulwaree	65-69	Employed (away from work)	F	13
Goulburn - Mulwaree	65-69	Employed (away from work)	M	15
Goulburn - Mulwaree	65-69	Employed (full-time)	F	77
Goulburn - Mulwaree	65-69	Employed (full-time)	M	182
Goulburn - Mulwaree	65-69	Employed (part-time)	F	124
Goulburn - Mulwaree	65-69	Employed (part-time)	M	114
Goulburn - Mulwaree	70-74		F	7
Goulburn - Mulwaree	70-74		M	5
Goulburn - Mulwaree	70-74	Employed (away from work)	M	4
Goulburn - Mulwaree	70-74	Employed (full-time)	F	27
Goulburn - Mulwaree	70-74	Employed (full-time)	M	85
Goulburn - Mulwaree	70-74	Employed (part-time)	F	54
Goulburn - Mulwaree	70-74	Employed (part-time)	M	68
Goulburn - Mulwaree	75+		F	9
Goulburn - Mulwaree	75+		M	12
Goulburn - Mulwaree	75+	Employed (away from work)	F	3
Goulburn - Mulwaree	75+	Employed (away from work)	M	4
Goulburn - Mulwaree	75+	Employed (full-time)	F	19
Goulburn - Mulwaree	75+	Employed (full-time)	M	55
Goulburn - Mulwaree	75+	Employed (part-time)	F	24
Goulburn - Mulwaree	75+	Employed (part-time)	M	53
Young - Yass	15-19		F	11
Young - Yass	15-19		M	9
Young - Yass	15-19	Employed (away from work)	F	16
Young - Yass	15-19	Employed (away from work)	M	9
Young - Yass	15-19	Employed (full-time)	F	67
Young - Yass	15-19	Employed (full-time)	M	151
Young - Yass	15-19	Employed (part-time)	F	282
Young - Yass	15-19	Employed (part-time)	M	203
Young - Yass	20-24		F	19
Young - Yass	20-24		M	14
Young - Yass	20-24	Employed (away from work)	F	19
Young - Yass	20-24	Employed (away from work)	M	12
Young - Yass	20-24	Employed (full-time)	F	228
Young - Yass	20-24	Employed (full-time)	M	314
Young - Yass	20-24	Employed (part-time)	F	217
Young - Yass	20-24	Employed (part-time)	M	99
Young - Yass	25-29		F	7
Young - Yass	25-29		M	18
Young - Yass	25-29	Employed (away from work)	F	16
Young - Yass	25-29	Employed (away from work)	M	5
Young - Yass	25-29	Employed (full-time)	F	229
Young - Yass	25-29	Employed (full-time)	M	335
Young - Yass	25-29	Employed (part-time)	F	145
Young - Yass	25-29	Employed (part-time)	M	77
Young - Yass	30-34		F	7
Young - Yass	30-34		M	10
Young - Yass	30-34	Employed (away from work)	F	33
Young - Yass	30-34	Employed (away from work)	M	8
Young - Yass	30-34	Employed (full-time)	F	172
Young - Yass	30-34	Employed (full-time)	M	378
Young - Yass	30-34	Employed (part-time)	F	210
Young - Yass	30-34	Employed (part-time)	M	63
Young - Yass	35-39		F	6
Young - Yass	35-39		M	15
Young - Yass	35-39	Employed (away from work)	F	11
Young - Yass	35-39	Employed (away from work)	M	11
Young - Yass	35-39	Employed (full-time)	F	212
Young - Yass	35-39	Employed (full-time)	M	388
Young - Yass	35-39	Employed (part-time)	F	281
Young - Yass	35-39	Employed (part-time)	M	55
Young - Yass	40-44		F	13
Young - Yass	40-44		M	12
Young - Yass	40-44	Employed (away from work)	F	15
Young - Yass	40-44	Employed (away from work)	M	9
Young - Yass	40-44	Employed (full-time)	F	247
Young - Yass	40-44	Employed (full-time)	M	455
Young - Yass	40-44	Employed (part-time)	F	294
Young - Yass	40-44	Employed (part-time)	M	84
Young - Yass	45-49		F	19
Young - Yass	45-49		M	16
Young - Yass	45-49	Employed (away from work)	F	13
Young - Yass	45-49	Employed (away from work)	M	8
Young - Yass	45-49	Employed (full-time)	F	323
Young - Yass	45-49	Employed (full-time)	M	433
Young - Yass	45-49	Employed (part-time)	F	320
Young - Yass	45-49	Employed (part-time)	M	74
Young - Yass	50-54		F	10
Young - Yass	50-54		M	22
Young - Yass	50-54	Employed (away from work)	F	18
Young - Yass	50-54	Employed (away from work)	M	21
Young - Yass	50-54	Employed (full-time)	F	288
Young - Yass	50-54	Employed (full-time)	M	511
Young - Yass	50-54	Employed (part-time)	F	314
Young - Yass	50-54	Employed (part-time)	M	111
Young - Yass	55-59		F	5
Young - Yass	55-59		M	11
Young - Yass	55-59	Employed (away from work)	F	29
Young - Yass	55-59	Employed (away from work)	M	19
Young - Yass	55-59	Employed (full-time)	F	257
Young - Yass	55-59	Employed (full-time)	M	458
Young - Yass	55-59	Employed (part-time)	F	315
Young - Yass	55-59	Employed (part-time)	M	111
Young - Yass	60-64		F	3
Young - Yass	60-64		M	9
Young - Yass	60-64	Employed (away from work)	F	30
Young - Yass	60-64	Employed (away from work)	M	20
Young - Yass	60-64	Employed (full-time)	F	168
Young - Yass	60-64	Employed (full-time)	M	365
Young - Yass	60-64	Employed (part-time)	F	220
Young - Yass	60-64	Employed (part-time)	M	131
Young - Yass	65-69		F	8
Young - Yass	65-69		M	9
Young - Yass	65-69	Employed (away from work)	F	9
Young - Yass	65-69	Employed (away from work)	M	17
Young - Yass	65-69	Employed (full-time)	F	80
Young - Yass	65-69	Employed (full-time)	M	210
Young - Yass	65-69	Employed (part-time)	F	142
Young - Yass	65-69	Employed (part-time)	M	134
Young - Yass	70-74		F	4
Young - Yass	70-74		M	6
Young - Yass	70-74	Employed (away from work)	F	10
Young - Yass	70-74	Employed (away from work)	M	9
Young - Yass	70-74	Employed (full-time)	F	35
Young - Yass	70-74	Employed (full-time)	M	105
Young - Yass	70-74	Employed (part-time)	F	62
Young - Yass	70-74	Employed (part-time)	M	64
Young - Yass	75+		F	7
Young - Yass	75+		M	10
Young - Yass	75+	Employed (away from work)	F	4
Young - Yass	75+	Employed (away from work)	M	6
Young - Yass	75+	Employed (full-time)	F	27
Young - Yass	75+	Employed (full-time)	M	84
Young - Yass	75+	Employed (part-time)	F	35
Young - Yass	75+	Employed (part-time)	M	72
Gosford	15-19		F	41
Gosford	15-19		M	40
Gosford	15-19	Employed (away from work)	F	90
Gosford	15-19	Employed (away from work)	M	69
Gosford	15-19	Employed (full-time)	F	295
Gosford	15-19	Employed (full-time)	M	449
Gosford	15-19	Employed (part-time)	F	1931
Gosford	15-19	Employed (part-time)	M	1189
Gosford	20-24		F	55
Gosford	20-24		M	66
Gosford	20-24	Employed (away from work)	F	91
Gosford	20-24	Employed (away from work)	M	60
Gosford	20-24	Employed (full-time)	F	1182
Gosford	20-24	Employed (full-time)	M	1496
Gosford	20-24	Employed (part-time)	F	1416
Gosford	20-24	Employed (part-time)	M	993
Gosford	25-29		F	35
Gosford	25-29		M	65
Gosford	25-29	Employed (away from work)	F	181
Gosford	25-29	Employed (away from work)	M	61
Gosford	25-29	Employed (full-time)	F	1477
Gosford	25-29	Employed (full-time)	M	1877
Gosford	25-29	Employed (part-time)	F	1007
Gosford	25-29	Employed (part-time)	M	497
Gosford	30-34		F	46
Gosford	30-34		M	50
Gosford	30-34	Employed (away from work)	F	225
Gosford	30-34	Employed (away from work)	M	55
Gosford	30-34	Employed (full-time)	F	1113
Gosford	30-34	Employed (full-time)	M	2090
Gosford	30-34	Employed (part-time)	F	1404
Gosford	30-34	Employed (part-time)	M	362
Gosford	35-39		F	38
Gosford	35-39		M	64
Gosford	35-39	Employed (away from work)	F	141
Gosford	35-39	Employed (away from work)	M	62
Gosford	35-39	Employed (full-time)	F	1164
Gosford	35-39	Employed (full-time)	M	2018
Gosford	35-39	Employed (part-time)	F	1669
Gosford	35-39	Employed (part-time)	M	382
Gosford	40-44		F	53
Gosford	40-44		M	65
Gosford	40-44	Employed (away from work)	F	104
Gosford	40-44	Employed (away from work)	M	48
Gosford	40-44	Employed (full-time)	F	1593
Gosford	40-44	Employed (full-time)	M	2228
Gosford	40-44	Employed (part-time)	F	1945
Gosford	40-44	Employed (part-time)	M	368
Gosford	45-49		F	49
Gosford	45-49		M	67
Gosford	45-49	Employed (away from work)	F	95
Gosford	45-49	Employed (away from work)	M	62
Gosford	45-49	Employed (full-time)	F	1913
Gosford	45-49	Employed (full-time)	M	2305
Gosford	45-49	Employed (part-time)	F	2011
Gosford	45-49	Employed (part-time)	M	414
Gosford	50-54		F	60
Gosford	50-54		M	44
Gosford	50-54	Employed (away from work)	F	126
Gosford	50-54	Employed (away from work)	M	65
Gosford	50-54	Employed (full-time)	F	1818
Gosford	50-54	Employed (full-time)	M	2334
Gosford	50-54	Employed (part-time)	F	1836
Gosford	50-54	Employed (part-time)	M	459
Gosford	55-59		F	47
Gosford	55-59		M	31
Gosford	55-59	Employed (away from work)	F	139
Gosford	55-59	Employed (away from work)	M	106
Gosford	55-59	Employed (full-time)	F	1635
Gosford	55-59	Employed (full-time)	M	2073
Gosford	55-59	Employed (part-time)	F	1800
Gosford	55-59	Employed (part-time)	M	535
Gosford	60-64		F	30
Gosford	60-64		M	38
Gosford	60-64	Employed (away from work)	F	104
Gosford	60-64	Employed (away from work)	M	88
Gosford	60-64	Employed (full-time)	F	850
Gosford	60-64	Employed (full-time)	M	1206
Gosford	60-64	Employed (part-time)	F	1227
Gosford	60-64	Employed (part-time)	M	558
Gosford	65-69		F	14
Gosford	65-69		M	19
Gosford	65-69	Employed (away from work)	F	35
Gosford	65-69	Employed (away from work)	M	36
Gosford	65-69	Employed (full-time)	F	218
Gosford	65-69	Employed (full-time)	M	441
Gosford	65-69	Employed (part-time)	F	569
Gosford	65-69	Employed (part-time)	M	436
Gosford	70-74		F	13
Gosford	70-74		M	8
Gosford	70-74	Employed (away from work)	F	23
Gosford	70-74	Employed (away from work)	M	10
Gosford	70-74	Employed (full-time)	F	52
Gosford	70-74	Employed (full-time)	M	124
Gosford	70-74	Employed (part-time)	F	178
Gosford	70-74	Employed (part-time)	M	233
Gosford	75+		F	10
Gosford	75+		M	17
Gosford	75+	Employed (away from work)	F	6
Gosford	75+	Employed (away from work)	M	9
Gosford	75+	Employed (full-time)	F	16
Gosford	75+	Employed (full-time)	M	64
Gosford	75+	Employed (part-time)	F	56
Gosford	75+	Employed (part-time)	M	105
Wyong	15-19		F	41
