SA4_NAME16	Occupation	OccupationSubtype	workers
Central Queensland	Labourers	Food preparation assistants	1468
Central Queensland	Labourers	Labourers nfd	384
Central Queensland	Labourers	Other labourers	2146
Central Queensland	Machinery operators and drivers	Machine and stationary plant operators	5633
Central Queensland	Machinery operators and drivers	Machinery operators and drivers nfd	301
Central Queensland	Machinery operators and drivers	Mobile plant operators	1308
Central Queensland	Machinery operators and drivers	Road and rail drivers	3555
Central Queensland	Machinery operators and drivers	Storepersons	671
Central Queensland	Managers	Chief executives general managers and legislators	521
Central Queensland	Managers	Farmers and farm managers	3056
Central Queensland	Managers	Hospitality retail and service managers	3562
Central Queensland	Managers	Managers nfd	207
Central Queensland	Managers	Specialist managers	3635
Central Queensland	Professionals	Arts and media professionals	241
Central Queensland	Professionals	Business human resource and marketing professionals	2255
Central Queensland	Professionals	Design engineering science and transport professionals	2295
Central Queensland	Professionals	Education professionals	4313
Central Queensland	Professionals	Health professionals	3554
Central Queensland	Professionals	Information and Communication Technology ICT professionals	350
Central Queensland	Professionals	Legal social and welfare professionals	1002
Central Queensland	Professionals	Professionals nfd	109
Central Queensland	Sales workers	Sales assistants and salespersons	6216
Central Queensland	Sales workers	Sales representatives and agents	991
Central Queensland	Sales workers	Sales support workers	1382
Central Queensland	Sales workers	Sales workers nfd	9
Central Queensland	Technicians and trades workers	Automotive and engineering trades workers	6188
Central Queensland	Technicians and trades workers	Construction trades workers	1564
Central Queensland	Technicians and trades workers	Electrotechnology and telecommunications trades workers	2827
Central Queensland	Technicians and trades workers	Engineering ICT and science technicians	2653
Central Queensland	Technicians and trades workers	Food trades workers	1336
Central Queensland	Technicians and trades workers	Other technicians and trades workers	1537
Central Queensland	Technicians and trades workers	Skilled animal and horticultural workers	782
Central Queensland	Technicians and trades workers	Technicians and trades workers nfd	226
Gold Coast			4012
Gold Coast	Clerical and administrative workers	Clerical and administrative workers nfd	69
Gold Coast	Clerical and administrative workers	Clerical and office support workers	1390
Gold Coast	Clerical and administrative workers	General clerical workers	6144
Gold Coast	Clerical and administrative workers	Inquiry clerks and receptionists	6612
Gold Coast	Clerical and administrative workers	Numerical clerks	7145
Gold Coast	Clerical and administrative workers	Office managers and program administrators	5823
Gold Coast	Clerical and administrative workers	Other clerical and administrative workers	4146
Gold Coast	Clerical and administrative workers	Personal assistants and secretaries	2243
Gold Coast	Community and personal service workers	Carers and aides	10520
Gold Coast	Community and personal service workers	Community and personal service workers nfd	22
Gold Coast	Community and personal service workers	Health and welfare support workers	2752
Gold Coast	Community and personal service workers	Hospitality workers	8828
Gold Coast	Community and personal service workers	Protective service workers	2564
Gold Coast	Community and personal service workers	Sports and personal service workers	4973
Gold Coast	Labourers	Cleaners and laundry workers	7070
Gold Coast	Labourers	Construction and mining labourers	3464
Gold Coast	Labourers	Factory process workers	2929
Gold Coast	Labourers	Farm forestry and garden workers	1176
Gold Coast	Labourers	Food preparation assistants	4148
Gold Coast	Labourers	Labourers nfd	683
Gold Coast	Labourers	Other labourers	4065
Gold Coast	Machinery operators and drivers	Machine and stationary plant operators	2712
Gold Coast	Machinery operators and drivers	Machinery operators and drivers nfd	186
Gold Coast	Machinery operators and drivers	Mobile plant operators	1696
Gold Coast	Machinery operators and drivers	Road and rail drivers	5963
Gold Coast	Machinery operators and drivers	Storepersons	2156
Gold Coast	Managers	Chief executives general managers and legislators	2721
Gold Coast	Managers	Farmers and farm managers	416
Gold Coast	Managers	Hospitality retail and service managers	12095
Gold Coast	Managers	Managers nfd	988
Gold Coast	Managers	Specialist managers	12915
Gold Coast	Professionals	Arts and media professionals	1874
Gold Coast	Professionals	Business human resource and marketing professionals	9455
Gold Coast	Professionals	Design engineering science and transport professionals	4994
Gold Coast	Professionals	Education professionals	10679
Gold Coast	Professionals	Health professionals	11646
Gold Coast	Professionals	Information and Communication Technology ICT professionals	1911
Gold Coast	Professionals	Legal social and welfare professionals	2962
Gold Coast	Professionals	Professionals nfd	510
Gold Coast	Sales workers	Sales assistants and salespersons	18781
Gold Coast	Sales workers	Sales representatives and agents	6589
Gold Coast	Sales workers	Sales support workers	4615
Gold Coast	Sales workers	Sales workers nfd	64
Gold Coast	Technicians and trades workers	Automotive and engineering trades workers	5484
Gold Coast	Technicians and trades workers	Construction trades workers	6660
Gold Coast	Technicians and trades workers	Electrotechnology and telecommunications trades workers	3770
Gold Coast	Technicians and trades workers	Engineering ICT and science technicians	4020
Gold Coast	Technicians and trades workers	Food trades workers	5065
Gold Coast	Technicians and trades workers	Other technicians and trades workers	4751
Gold Coast	Technicians and trades workers	Skilled animal and horticultural workers	2462
Gold Coast	Technicians and trades workers	Technicians and trades workers nfd	376
Ipswich			1863
Ipswich	Clerical and administrative workers	Clerical and administrative workers nfd	26
Ipswich	Clerical and administrative workers	Clerical and office support workers	611
Ipswich	Clerical and administrative workers	General clerical workers	2605
Ipswich	Clerical and administrative workers	Inquiry clerks and receptionists	1982
Ipswich	Clerical and administrative workers	Numerical clerks	2631
Ipswich	Clerical and administrative workers	Office managers and program administrators	2039
Ipswich	Clerical and administrative workers	Other clerical and administrative workers	2356
Ipswich	Clerical and administrative workers	Personal assistants and secretaries	568
Ipswich	Community and personal service workers	Carers and aides	6430
Ipswich	Community and personal service workers	Community and personal service workers nfd	6
Ipswich	Community and personal service workers	Health and welfare support workers	1890
Ipswich	Community and personal service workers	Hospitality workers	1751
Ipswich	Community and personal service workers	Protective service workers	3117
Ipswich	Community and personal service workers	Sports and personal service workers	1125
Ipswich	Labourers	Cleaners and laundry workers	2623
Ipswich	Labourers	Construction and mining labourers	1196
Ipswich	Labourers	Factory process workers	5153
Ipswich	Labourers	Farm forestry and garden workers	1044
Ipswich	Labourers	Food preparation assistants	1592
Ipswich	Labourers	Labourers nfd	445
Ipswich	Labourers	Other labourers	2006
Ipswich	Machinery operators and drivers	Machine and stationary plant operators	2042
Ipswich	Machinery operators and drivers	Machinery operators and drivers nfd	170
Ipswich	Machinery operators and drivers	Mobile plant operators	1972
Ipswich	Machinery operators and drivers	Road and rail drivers	3999
Ipswich	Machinery operators and drivers	Storepersons	1914
Ipswich	Managers	Chief executives general managers and legislators	854
Ipswich	Managers	Farmers and farm managers	1404
Ipswich	Managers	Hospitality retail and service managers	3819
Ipswich	Managers	Managers nfd	317
Ipswich	Managers	Specialist managers	5946
Ipswich	Professionals	Arts and media professionals	355
Ipswich	Professionals	Business human resource and marketing professionals	2930
Ipswich	Professionals	Design engineering science and transport professionals	1968
Ipswich	Professionals	Education professionals	5382
Ipswich	Professionals	Health professionals	4506
Ipswich	Professionals	Information and Communication Technology ICT professionals	577
Ipswich	Professionals	Legal social and welfare professionals	1514
Ipswich	Professionals	Professionals nfd	145
Ipswich	Sales workers	Sales assistants and salespersons	6966
Ipswich	Sales workers	Sales representatives and agents	1684
Ipswich	Sales workers	Sales support workers	1618
Ipswich	Sales workers	Sales workers nfd	29
Ipswich	Technicians and trades workers	Automotive and engineering trades workers	4953
Ipswich	Technicians and trades workers	Construction trades workers	2045
Ipswich	Technicians and trades workers	Electrotechnology and telecommunications trades workers	1819
Ipswich	Technicians and trades workers	Engineering ICT and science technicians	1671
Ipswich	Technicians and trades workers	Food trades workers	1471
Ipswich	Technicians and trades workers	Other technicians and trades workers	1393
Ipswich	Technicians and trades workers	Skilled animal and horticultural workers	1150
Ipswich	Technicians and trades workers	Technicians and trades workers nfd	205
Logan - Beaudesert			1579
Logan - Beaudesert	Clerical and administrative workers	Clerical and administrative workers nfd	29
Logan - Beaudesert	Clerical and administrative workers	Clerical and office support workers	832
Logan - Beaudesert	Clerical and administrative workers	General clerical workers	2567
Logan - Beaudesert	Clerical and administrative workers	Inquiry clerks and receptionists	2010
Logan - Beaudesert	Clerical and administrative workers	Numerical clerks	2809
Logan - Beaudesert	Clerical and administrative workers	Office managers and program administrators	2260
Logan - Beaudesert	Clerical and administrative workers	Other clerical and administrative workers	1695
Logan - Beaudesert	Clerical and administrative workers	Personal assistants and secretaries	643
Logan - Beaudesert	Community and personal service workers	Carers and aides	6352
Logan - Beaudesert	Community and personal service workers	Community and personal service workers nfd	3
Logan - Beaudesert	Community and personal service workers	Health and welfare support workers	1343
Logan - Beaudesert	Community and personal service workers	Hospitality workers	1420
Logan - Beaudesert	Community and personal service workers	Protective service workers	1049
Logan - Beaudesert	Community and personal service workers	Sports and personal service workers	1233
Logan - Beaudesert	Labourers	Cleaners and laundry workers	2203
Logan - Beaudesert	Labourers	Construction and mining labourers	1594
Logan - Beaudesert	Labourers	Factory process workers	1945
Logan - Beaudesert	Labourers	Farm forestry and garden workers	831
Logan - Beaudesert	Labourers	Food preparation assistants	1640
Logan - Beaudesert	Labourers	Labourers nfd	365
Logan - Beaudesert	Labourers	Other labourers	2073
Logan - Beaudesert	Machinery operators and drivers	Machine and stationary plant operators	1240
Logan - Beaudesert	Machinery operators and drivers	Machinery operators and drivers nfd	118
Logan - Beaudesert	Machinery operators and drivers	Mobile plant operators	1026
Logan - Beaudesert	Machinery operators and drivers	Road and rail drivers	3370
Logan - Beaudesert	Machinery operators and drivers	Storepersons	1361
Logan - Beaudesert	Managers	Chief executives general managers and legislators	864
Logan - Beaudesert	Managers	Farmers and farm managers	628
Logan - Beaudesert	Managers	Hospitality retail and service managers	3940
Logan - Beaudesert	Managers	Managers nfd	336
Logan - Beaudesert	Managers	Specialist managers	4831
Logan - Beaudesert	Professionals	Arts and media professionals	354
Logan - Beaudesert	Professionals	Business human resource and marketing professionals	2712
Logan - Beaudesert	Professionals	Design engineering science and transport professionals	1350
Logan - Beaudesert	Professionals	Education professionals	5176
Logan - Beaudesert	Professionals	Health professionals	3947
Logan - Beaudesert	Professionals	Information and Communication Technology ICT professionals	570
Logan - Beaudesert	Professionals	Legal social and welfare professionals	1465
Logan - Beaudesert	Professionals	Professionals nfd	90
Logan - Beaudesert	Sales workers	Sales assistants and salespersons	7791
Logan - Beaudesert	Sales workers	Sales representatives and agents	2051
Logan - Beaudesert	Sales workers	Sales support workers	1730
Logan - Beaudesert	Sales workers	Sales workers nfd	26
Logan - Beaudesert	Technicians and trades workers	Automotive and engineering trades workers	2975
Logan - Beaudesert	Technicians and trades workers	Construction trades workers	2668
Logan - Beaudesert	Technicians and trades workers	Electrotechnology and telecommunications trades workers	1734
Logan - Beaudesert	Technicians and trades workers	Engineering ICT and science technicians	1483
Logan - Beaudesert	Technicians and trades workers	Food trades workers	1142
Logan - Beaudesert	Technicians and trades workers	Other technicians and trades workers	1685
Logan - Beaudesert	Technicians and trades workers	Skilled animal and horticultural workers	945
Logan - Beaudesert	Technicians and trades workers	Technicians and trades workers nfd	173
Mackay - Isaac - Whitsunday			1280
Mackay - Isaac - Whitsunday	Clerical and administrative workers	Clerical and administrative workers nfd	14
Mackay - Isaac - Whitsunday	Clerical and administrative workers	Clerical and office support workers	482
Mackay - Isaac - Whitsunday	Clerical and administrative workers	General clerical workers	2014
Mackay - Isaac - Whitsunday	Clerical and administrative workers	Inquiry clerks and receptionists	1324
Mackay - Isaac - Whitsunday	Clerical and administrative workers	Numerical clerks	1733
Mackay - Isaac - Whitsunday	Clerical and administrative workers	Office managers and program administrators	1604
Mackay - Isaac - Whitsunday	Clerical and administrative workers	Other clerical and administrative workers	1169
Mackay - Isaac - Whitsunday	Clerical and administrative workers	Personal assistants and secretaries	428
Mackay - Isaac - Whitsunday	Community and personal service workers	Carers and aides	2949
Mackay - Isaac - Whitsunday	Community and personal service workers	Health and welfare support workers	785
Mackay - Isaac - Whitsunday	Community and personal service workers	Hospitality workers	1641
Mackay - Isaac - Whitsunday	Community and personal service workers	Protective service workers	771
Mackay - Isaac - Whitsunday	Community and personal service workers	Sports and personal service workers	857
Mackay - Isaac - Whitsunday	Labourers	Cleaners and laundry workers	2428
Mackay - Isaac - Whitsunday	Labourers	Construction and mining labourers	1010
Mackay - Isaac - Whitsunday	Labourers	Factory process workers	952
Mackay - Isaac - Whitsunday	Labourers	Farm forestry and garden workers	1298
Mackay - Isaac - Whitsunday	Labourers	Food preparation assistants	1132
Mackay - Isaac - Whitsunday	Labourers	Labourers nfd	258
Mackay - Isaac - Whitsunday	Labourers	Other labourers	1744
Mackay - Isaac - Whitsunday	Machinery operators and drivers	Machine and stationary plant operators	6812
Mackay - Isaac - Whitsunday	Machinery operators and drivers	Machinery operators and drivers nfd	305
Mackay - Isaac - Whitsunday	Machinery operators and drivers	Mobile plant operators	1357
Mackay - Isaac - Whitsunday	Machinery operators and drivers	Road and rail drivers	3760
Mackay - Isaac - Whitsunday	Machinery operators and drivers	Storepersons	697
Mackay - Isaac - Whitsunday	Managers	Chief executives general managers and legislators	482
Mackay - Isaac - Whitsunday	Managers	Farmers and farm managers	2269
Mackay - Isaac - Whitsunday	Managers	Hospitality retail and service managers	3077
Mackay - Isaac - Whitsunday	Managers	Managers nfd	194
Mackay - Isaac - Whitsunday	Managers	Specialist managers	2977
Mackay - Isaac - Whitsunday	Professionals	Arts and media professionals	219
Mackay - Isaac - Whitsunday	Professionals	Business human resource and marketing professionals	1894
Mackay - Isaac - Whitsunday	Professionals	Design engineering science and transport professionals	2066
Mackay - Isaac - Whitsunday	Professionals	Education professionals	2873
Mackay - Isaac - Whitsunday	Professionals	Health professionals	2636
Mackay - Isaac - Whitsunday	Professionals	Information and Communication Technology ICT professionals	196
Mackay - Isaac - Whitsunday	Professionals	Legal social and welfare professionals	670
Mackay - Isaac - Whitsunday	Professionals	Professionals nfd	47
Mackay - Isaac - Whitsunday	Sales workers	Sales assistants and salespersons	4809
Mackay - Isaac - Whitsunday	Sales workers	Sales representatives and agents	788
Mackay - Isaac - Whitsunday	Sales workers	Sales support workers	1037
Mackay - Isaac - Whitsunday	Sales workers	Sales workers nfd	11
Mackay - Isaac - Whitsunday	Technicians and trades workers	Automotive and engineering trades workers	6723
Mackay - Isaac - Whitsunday	Technicians and trades workers	Construction trades workers	1244
Mackay - Isaac - Whitsunday	Technicians and trades workers	Electrotechnology and telecommunications trades workers	2429
Mackay - Isaac - Whitsunday	Technicians and trades workers	Engineering ICT and science technicians	2415
Mackay - Isaac - Whitsunday	Technicians and trades workers	Food trades workers	1262
Mackay - Isaac - Whitsunday	Technicians and trades workers	Other technicians and trades workers	980
Mackay - Isaac - Whitsunday	Technicians and trades workers	Skilled animal and horticultural workers	595
Mackay - Isaac - Whitsunday	Technicians and trades workers	Technicians and trades workers nfd	137
Moreton Bay - North			998
Moreton Bay - North	Clerical and administrative workers	Clerical and administrative workers nfd	12
Moreton Bay - North	Clerical and administrative workers	Clerical and office support workers	438
Moreton Bay - North	Clerical and administrative workers	General clerical workers	1628
Moreton Bay - North	Clerical and administrative workers	Inquiry clerks and receptionists	1447
Moreton Bay - North	Clerical and administrative workers	Numerical clerks	1638
Moreton Bay - North	Clerical and administrative workers	Office managers and program administrators	1322
Moreton Bay - North	Clerical and administrative workers	Other clerical and administrative workers	968
Moreton Bay - North	Clerical and administrative workers	Personal assistants and secretaries	470
Moreton Bay - North	Community and personal service workers	Carers and aides	4941
Moreton Bay - North	Community and personal service workers	Community and personal service workers nfd	8
Moreton Bay - North	Community and personal service workers	Health and welfare support workers	1160
Moreton Bay - North	Community and personal service workers	Hospitality workers	1447
Moreton Bay - North	Community and personal service workers	Protective service workers	952
Moreton Bay - North	Community and personal service workers	Sports and personal service workers	886
Moreton Bay - North	Labourers	Cleaners and laundry workers	1628
Moreton Bay - North	Labourers	Construction and mining labourers	1107
Moreton Bay - North	Labourers	Factory process workers	1496
Moreton Bay - North	Labourers	Farm forestry and garden workers	1345
Moreton Bay - North	Labourers	Food preparation assistants	1374
Moreton Bay - North	Labourers	Labourers nfd	276
Moreton Bay - North	Labourers	Other labourers	1468
Moreton Bay - North	Machinery operators and drivers	Machine and stationary plant operators	826
Moreton Bay - North	Machinery operators and drivers	Machinery operators and drivers nfd	78
Moreton Bay - North	Machinery operators and drivers	Mobile plant operators	644
Moreton Bay - North	Machinery operators and drivers	Road and rail drivers	2133
Moreton Bay - North	Machinery operators and drivers	Storepersons	402
Moreton Bay - North	Managers	Chief executives general managers and legislators	459
Moreton Bay - North	Managers	Farmers and farm managers	682
Moreton Bay - North	Managers	Hospitality retail and service managers	2724
Moreton Bay - North	Managers	Managers nfd	180
Moreton Bay - North	Managers	Specialist managers	2579
Moreton Bay - North	Professionals	Arts and media professionals	214
Moreton Bay - North	Professionals	Business human resource and marketing professionals	1316
Moreton Bay - North	Professionals	Design engineering science and transport professionals	858
Moreton Bay - North	Professionals	Education professionals	3702
Moreton Bay - North	Professionals	Health professionals	4033
Moreton Bay - North	Professionals	Information and Communication Technology ICT professionals	226
Moreton Bay - North	Professionals	Legal social and welfare professionals	852
Moreton Bay - North	Professionals	Professionals nfd	62
Moreton Bay - North	Sales workers	Sales assistants and salespersons	5432
Moreton Bay - North	Sales workers	Sales representatives and agents	1167
Moreton Bay - North	Sales workers	Sales support workers	1134
Moreton Bay - North	Sales workers	Sales workers nfd	12
Moreton Bay - North	Technicians and trades workers	Automotive and engineering trades workers	2190
Moreton Bay - North	Technicians and trades workers	Construction trades workers	1719
Moreton Bay - North	Technicians and trades workers	Electrotechnology and telecommunications trades workers	855
Moreton Bay - North	Technicians and trades workers	Engineering ICT and science technicians	835
Moreton Bay - North	Technicians and trades workers	Food trades workers	987
Moreton Bay - North	Technicians and trades workers	Other technicians and trades workers	1131
Moreton Bay - North	Technicians and trades workers	Skilled animal and horticultural workers	696
Moreton Bay - North	Technicians and trades workers	Technicians and trades workers nfd	82
Moreton Bay - South			756
Moreton Bay - South	Clerical and administrative workers	Clerical and administrative workers nfd	10
Moreton Bay - South	Clerical and administrative workers	Clerical and office support workers	285
Moreton Bay - South	Clerical and administrative workers	General clerical workers	1305
Moreton Bay - South	Clerical and administrative workers	Inquiry clerks and receptionists	1095
Moreton Bay - South	Clerical and administrative workers	Numerical clerks	1580
Moreton Bay - South	Clerical and administrative workers	Office managers and program administrators	1195
Moreton Bay - South	Clerical and administrative workers	Other clerical and administrative workers	872
Moreton Bay - South	Clerical and administrative workers	Personal assistants and secretaries	370
Moreton Bay - South	Community and personal service workers	Carers and aides	3312
Moreton Bay - South	Community and personal service workers	Health and welfare support workers	519
Moreton Bay - South	Community and personal service workers	Hospitality workers	1161
Moreton Bay - South	Community and personal service workers	Protective service workers	392
Moreton Bay - South	Community and personal service workers	Sports and personal service workers	979
Moreton Bay - South	Labourers	Cleaners and laundry workers	956
Moreton Bay - South	Labourers	Construction and mining labourers	699
Moreton Bay - South	Labourers	Factory process workers	541
Moreton Bay - South	Labourers	Farm forestry and garden workers	264
Moreton Bay - South	Labourers	Food preparation assistants	992
Moreton Bay - South	Labourers	Labourers nfd	171
Moreton Bay - South	Labourers	Other labourers	1253
Moreton Bay - South	Machinery operators and drivers	Machine and stationary plant operators	617
Moreton Bay - South	Machinery operators and drivers	Machinery operators and drivers nfd	46
Moreton Bay - South	Machinery operators and drivers	Mobile plant operators	474
Moreton Bay - South	Machinery operators and drivers	Road and rail drivers	1155
Moreton Bay - South	Machinery operators and drivers	Storepersons	697
Moreton Bay - South	Managers	Chief executives general managers and legislators	490
Moreton Bay - South	Managers	Farmers and farm managers	91
Moreton Bay - South	Managers	Hospitality retail and service managers	2228
Moreton Bay - South	Managers	Managers nfd	179
Moreton Bay - South	Managers	Specialist managers	2674
Moreton Bay - South	Professionals	Arts and media professionals	314
Moreton Bay - South	Professionals	Business human resource and marketing professionals	1662
Moreton Bay - South	Professionals	Design engineering science and transport professionals	889
Moreton Bay - South	Professionals	Education professionals	2794
Moreton Bay - South	Professionals	Health professionals	1498
Moreton Bay - South	Professionals	Information and Communication Technology ICT professionals	436
Moreton Bay - South	Professionals	Legal social and welfare professionals	640
Moreton Bay - South	Professionals	Professionals nfd	64
Moreton Bay - South	Sales workers	Sales assistants and salespersons	4505
Moreton Bay - South	Sales workers	Sales representatives and agents	1075
Moreton Bay - South	Sales workers	Sales support workers	998
Moreton Bay - South	Sales workers	Sales workers nfd	15
Moreton Bay - South	Technicians and trades workers	Automotive and engineering trades workers	1557
Moreton Bay - South	Technicians and trades workers	Construction trades workers	1709
Moreton Bay - South	Technicians and trades workers	Electrotechnology and telecommunications trades workers	988
Moreton Bay - South	Technicians and trades workers	Engineering ICT and science technicians	882
Moreton Bay - South	Technicians and trades workers	Food trades workers	717
Moreton Bay - South	Technicians and trades workers	Other technicians and trades workers	1191
Moreton Bay - South	Technicians and trades workers	Skilled animal and horticultural workers	646
Moreton Bay - South	Technicians and trades workers	Technicians and trades workers nfd	80
Queensland - Outback			767
Queensland - Outback	Clerical and administrative workers	Clerical and administrative workers nfd	5
Queensland - Outback	Clerical and administrative workers	Clerical and office support workers	273
Queensland - Outback	Clerical and administrative workers	General clerical workers	838
Queensland - Outback	Clerical and administrative workers	Inquiry clerks and receptionists	446
Queensland - Outback	Clerical and administrative workers	Numerical clerks	593
Queensland - Outback	Clerical and administrative workers	Office managers and program administrators	701
Queensland - Outback	Clerical and administrative workers	Other clerical and administrative workers	606
Queensland - Outback	Clerical and administrative workers	Personal assistants and secretaries	157
Queensland - Outback	Community and personal service workers	Carers and aides	1754
Queensland - Outback	Community and personal service workers	Community and personal service workers nfd	5
Queensland - Outback	Community and personal service workers	Health and welfare support workers	673
Queensland - Outback	Community and personal service workers	Hospitality workers	449
Queensland - Outback	Community and personal service workers	Protective service workers	823
Queensland - Outback	Community and personal service workers	Sports and personal service workers	262
Queensland - Outback	Labourers	Cleaners and laundry workers	1139
Queensland - Outback	Labourers	Construction and mining labourers	768
Queensland - Outback	Labourers	Factory process workers	233
Queensland - Outback	Labourers	Farm forestry and garden workers	1472
Queensland - Outback	Labourers	Food preparation assistants	336
Queensland - Outback	Labourers	Labourers nfd	238
Queensland - Outback	Labourers	Other labourers	664
Queensland - Outback	Machinery operators and drivers	Machine and stationary plant operators	2322
Queensland - Outback	Machinery operators and drivers	Machinery operators and drivers nfd	128
Queensland - Outback	Machinery operators and drivers	Mobile plant operators	692
Queensland - Outback	Machinery operators and drivers	Road and rail drivers	1105
Queensland - Outback	Machinery operators and drivers	Storepersons	231
Queensland - Outback	Managers	Chief executives general managers and legislators	250
Queensland - Outback	Managers	Farmers and farm managers	2519
Queensland - Outback	Managers	Hospitality retail and service managers	1337
Queensland - Outback	Managers	Managers nfd	85
Queensland - Outback	Managers	Specialist managers	1390
Queensland - Outback	Professionals	Arts and media professionals	132
Queensland - Outback	Professionals	Business human resource and marketing professionals	615
Queensland - Outback	Professionals	Design engineering science and transport professionals	1150
Queensland - Outback	Professionals	Education professionals	1518
Queensland - Outback	Professionals	Health professionals	1418
Queensland - Outback	Professionals	Information and Communication Technology ICT professionals	49
Queensland - Outback	Professionals	Legal social and welfare professionals	437
Queensland - Outback	Professionals	Professionals nfd	22
Queensland - Outback	Sales workers	Sales assistants and salespersons	1414
Queensland - Outback	Sales workers	Sales representatives and agents	199
Queensland - Outback	Sales workers	Sales support workers	333
Queensland - Outback	Sales workers	Sales workers nfd	3
Queensland - Outback	Technicians and trades workers	Automotive and engineering trades workers	2141
Queensland - Outback	Technicians and trades workers	Construction trades workers	787
Queensland - Outback	Technicians and trades workers	Electrotechnology and telecommunications trades workers	974
Queensland - Outback	Technicians and trades workers	Engineering ICT and science technicians	936
Queensland - Outback	Technicians and trades workers	Food trades workers	620
Queensland - Outback	Technicians and trades workers	Other technicians and trades workers	353
Queensland - Outback	Technicians and trades workers	Skilled animal and horticultural workers	367
Queensland - Outback	Technicians and trades workers	Technicians and trades workers nfd	52
Sunshine Coast			1898
Sunshine Coast	Clerical and administrative workers	Clerical and administrative workers nfd	27
Sunshine Coast	Clerical and administrative workers	Clerical and office support workers	796
Sunshine Coast	Clerical and administrative workers	General clerical workers	3348
Sunshine Coast	Clerical and administrative workers	Inquiry clerks and receptionists	3537
Sunshine Coast	Clerical and administrative workers	Numerical clerks	3965
Sunshine Coast	Clerical and administrative workers	Office managers and program administrators	3440
Sunshine Coast	Clerical and administrative workers	Other clerical and administrative workers	1888
Sunshine Coast	Clerical and administrative workers	Personal assistants and secretaries	1138
Sunshine Coast	Community and personal service workers	Carers and aides	7131
Sunshine Coast	Community and personal service workers	Community and personal service workers nfd	10
Sunshine Coast	Community and personal service workers	Health and welfare support workers	1930
Sunshine Coast	Community and personal service workers	Hospitality workers	4244
Sunshine Coast	Community and personal service workers	Protective service workers	981
Sunshine Coast	Community and personal service workers	Sports and personal service workers	2494
Sunshine Coast	Labourers	Cleaners and laundry workers	3756
Sunshine Coast	Labourers	Construction and mining labourers	1635
Sunshine Coast	Labourers	Factory process workers	1339
Sunshine Coast	Labourers	Farm forestry and garden workers	1340
Sunshine Coast	Labourers	Food preparation assistants	2192
Sunshine Coast	Labourers	Labourers nfd	361
Sunshine Coast	Labourers	Other labourers	2454
Sunshine Coast	Machinery operators and drivers	Machine and stationary plant operators	1010
Sunshine Coast	Machinery operators and drivers	Machinery operators and drivers nfd	84
Sunshine Coast	Machinery operators and drivers	Mobile plant operators	830
Sunshine Coast	Machinery operators and drivers	Road and rail drivers	3049
Sunshine Coast	Machinery operators and drivers	Storepersons	627
Sunshine Coast	Managers	Chief executives general managers and legislators	1244
Sunshine Coast	Managers	Farmers and farm managers	932
Sunshine Coast	Managers	Hospitality retail and service managers	6842
Sunshine Coast	Managers	Managers nfd	468
Sunshine Coast	Managers	Specialist managers	6163
Sunshine Coast	Professionals	Arts and media professionals	1121
Sunshine Coast	Professionals	Business human resource and marketing professionals	4691
Sunshine Coast	Professionals	Design engineering science and transport professionals	2857
Sunshine Coast	Professionals	Education professionals	6353
Sunshine Coast	Professionals	Health professionals	7479
Sunshine Coast	Professionals	Information and Communication Technology ICT professionals	931
Sunshine Coast	Professionals	Legal social and welfare professionals	1683
Sunshine Coast	Professionals	Professionals nfd	240
Sunshine Coast	Sales workers	Sales assistants and salespersons	10613
Sunshine Coast	Sales workers	Sales representatives and agents	3397
Sunshine Coast	Sales workers	Sales support workers	1953
Sunshine Coast	Sales workers	Sales workers nfd	32
Sunshine Coast	Technicians and trades workers	Automotive and engineering trades workers	2959
Sunshine Coast	Technicians and trades workers	Construction trades workers	3843
Sunshine Coast	Technicians and trades workers	Electrotechnology and telecommunications trades workers	1986
Sunshine Coast	Technicians and trades workers	Engineering ICT and science technicians	2250
Sunshine Coast	Technicians and trades workers	Food trades workers	2719
Sunshine Coast	Technicians and trades workers	Other technicians and trades workers	2686
Sunshine Coast	Technicians and trades workers	Skilled animal and horticultural workers	1910
Sunshine Coast	Technicians and trades workers	Technicians and trades workers nfd	136
Toowoomba			768
Toowoomba	Clerical and administrative workers	Clerical and administrative workers nfd	10
Toowoomba	Clerical and administrative workers	Clerical and office support workers	410
Toowoomba	Clerical and administrative workers	General clerical workers	1958
Toowoomba	Clerical and administrative workers	Inquiry clerks and receptionists	1681
Toowoomba	Clerical and administrative workers	Numerical clerks	2058
Toowoomba	Clerical and administrative workers	Office managers and program administrators	1611
Toowoomba	Clerical and administrative workers	Other clerical and administrative workers	1270
Toowoomba	Clerical and administrative workers	Personal assistants and secretaries	496
Toowoomba	Community and personal service workers	Carers and aides	3771
Toowoomba	Community and personal service workers	Community and personal service workers nfd	3
Toowoomba	Community and personal service workers	Health and welfare support workers	1032
Toowoomba	Community and personal service workers	Hospitality workers	1258
Toowoomba	Community and personal service workers	Protective service workers	671
Toowoomba	Community and personal service workers	Sports and personal service workers	822
Toowoomba	Labourers	Cleaners and laundry workers	1650
Toowoomba	Labourers	Construction and mining labourers	768
Toowoomba	Labourers	Factory process workers	1299
Toowoomba	Labourers	Farm forestry and garden workers	969
Toowoomba	Labourers	Food preparation assistants	1113
Toowoomba	Labourers	Labourers nfd	234
Toowoomba	Labourers	Other labourers	1060
Toowoomba	Machinery operators and drivers	Machine and stationary plant operators	816
