SA4_NAME16	IncomeTotPersonal.max	Occupation	PublicSector	LevelOfGovt	workers
Capital Region	7875	Community and personal service workers	1	Local	4
Capital Region	7875	Community and personal service workers	1	State territory	17
Capital Region	7875	Labourers			4
Capital Region	7875	Labourers	0		662
Capital Region	7875	Labourers	1	Local	4
Capital Region	7875	Labourers	1	State territory	3
Capital Region	7875	Machinery operators and drivers	0		59
Capital Region	7875	Managers			4
Capital Region	7875	Managers	0		198
Capital Region	7875	Managers	1	Local	3
Capital Region	7875	Managers	1	State territory	3
Capital Region	7875	Professionals	0		97
Capital Region	7875	Professionals	1	National	4
Capital Region	7875	Professionals	1	State territory	4
Capital Region	7875	Sales workers			3
Capital Region	7875	Sales workers	0		1087
Capital Region	7875	Technicians and trades workers			7
Capital Region	7875	Technicians and trades workers	0		132
Capital Region	7875	Technicians and trades workers	1	Local	4
Capital Region	7875	Technicians and trades workers	1	State territory	3
Capital Region	15750				33
Capital Region	15750		0		25
Capital Region	15750		1	National	3
Capital Region	15750	Clerical and administrative workers			7
Capital Region	15750	Clerical and administrative workers	0		246
Capital Region	15750	Clerical and administrative workers	1	Local	13
Capital Region	15750	Clerical and administrative workers	1	National	31
Capital Region	15750	Clerical and administrative workers	1	State territory	13
Capital Region	15750	Community and personal service workers			6
Capital Region	15750	Community and personal service workers	0		516
Capital Region	15750	Community and personal service workers	1	Local	10
Capital Region	15750	Community and personal service workers	1	State territory	49
Capital Region	15750	Labourers			10
Capital Region	15750	Labourers	0		633
Capital Region	15750	Labourers	1	Local	4
Capital Region	15750	Labourers	1	State territory	5
Capital Region	15750	Machinery operators and drivers	0		96
Capital Region	15750	Managers			3
Capital Region	15750	Managers	0		364
Capital Region	15750	Professionals			3
Capital Region	15750	Professionals	0		196
Capital Region	15750	Professionals	1	National	6
Capital Region	15750	Professionals	1	State territory	21
Capital Region	15750	Sales workers	0		597
Capital Region	15750	Technicians and trades workers			8
Capital Region	15750	Technicians and trades workers	0		281
Capital Region	15750	Technicians and trades workers	1	National	4
Capital Region	15750	Technicians and trades workers	1	State territory	3
Capital Region	21000				37
Capital Region	21000		0		36
Capital Region	21000	Clerical and administrative workers	0		359
Capital Region	21000	Clerical and administrative workers	1	Local	13
Capital Region	21000	Clerical and administrative workers	1	National	25
Capital Region	21000	Clerical and administrative workers	1	State territory	20
Capital Region	21000	Community and personal service workers			6
Capital Region	21000	Community and personal service workers	0		606
Capital Region	21000	Community and personal service workers	1	Local	8
Capital Region	21000	Community and personal service workers	1	State territory	43
Capital Region	21000	Labourers			14
Capital Region	21000	Labourers	0		657
Capital Region	21000	Labourers	1	Local	8
Capital Region	21000	Labourers	1	State territory	14
Capital Region	21000	Machinery operators and drivers	0		145
Capital Region	21000	Machinery operators and drivers	1	State territory	4
Capital Region	21000	Managers			3
Capital Region	21000	Managers	0		449
Capital Region	21000	Managers	1	Local	3
Capital Region	21000	Professionals	0		209
Capital Region	21000	Professionals	1	Local	4
Capital Region	21000	Professionals	1	National	7
Capital Region	21000	Professionals	1	State territory	40
Capital Region	21000	Sales workers			4
Capital Region	21000	Sales workers	0		588
Capital Region	21000	Technicians and trades workers			6
Capital Region	21000	Technicians and trades workers	0		458
Capital Region	21000	Technicians and trades workers	1	Local	4
Capital Region	21000	Technicians and trades workers	1	State territory	3
Capital Region	26250				32
Capital Region	26250		0		54
Capital Region	26250		1	State territory	3
Capital Region	26250	Clerical and administrative workers			5
Capital Region	26250	Clerical and administrative workers	0		480
Capital Region	26250	Clerical and administrative workers	1	Local	23
Capital Region	26250	Clerical and administrative workers	1	National	29
Capital Region	26250	Clerical and administrative workers	1	State territory	35
Capital Region	26250	Community and personal service workers			3
Capital Region	26250	Community and personal service workers	0		770
Capital Region	26250	Community and personal service workers	1	Local	7
Capital Region	26250	Community and personal service workers	1	National	3
Capital Region	26250	Community and personal service workers	1	State territory	60
Capital Region	26250	Labourers			8
Capital Region	26250	Labourers	0		815
Capital Region	26250	Labourers	1	Local	4
Capital Region	26250	Labourers	1	National	3
Capital Region	26250	Labourers	1	State territory	18
Capital Region	26250	Machinery operators and drivers			3
Capital Region	26250	Machinery operators and drivers	0		158
Capital Region	26250	Machinery operators and drivers	1	Local	4
Capital Region	26250	Machinery operators and drivers	1	State territory	3
Capital Region	26250	Managers			4
Capital Region	26250	Managers	0		509
Capital Region	26250	Managers	1	State territory	4
Capital Region	26250	Professionals			3
Capital Region	26250	Professionals	0		286
Capital Region	26250	Professionals	1	Local	3
Capital Region	26250	Professionals	1	National	7
Capital Region	26250	Professionals	1	State territory	43
Capital Region	26250	Sales workers			6
Capital Region	26250	Sales workers	0		744
Capital Region	26250	Sales workers	1	National	9
Capital Region	26250	Technicians and trades workers	0		753
Capital Region	26250	Technicians and trades workers	1	Local	6
Capital Region	26250	Technicians and trades workers	1	National	3
Capital Region	26250	Technicians and trades workers	1	State territory	9
Capital Region	34125				33
Capital Region	34125		0		56
Capital Region	34125		1	Local	4
Capital Region	34125		1	National	3
Capital Region	34125		1	State territory	6
Capital Region	34125	Clerical and administrative workers			3
Capital Region	34125	Clerical and administrative workers	0		891
Capital Region	34125	Clerical and administrative workers	1	Local	47
Capital Region	34125	Clerical and administrative workers	1	National	47
Capital Region	34125	Clerical and administrative workers	1	State territory	72
Capital Region	34125	Community and personal service workers			10
Capital Region	34125	Community and personal service workers	0		1273
Capital Region	34125	Community and personal service workers	1	Local	18
Capital Region	34125	Community and personal service workers	1	National	5
Capital Region	34125	Community and personal service workers	1	State territory	101
Capital Region	34125	Labourers			8
Capital Region	34125	Labourers	0		1148
Capital Region	34125	Labourers	1	Local	17
Capital Region	34125	Labourers	1	State territory	34
Capital Region	34125	Machinery operators and drivers			5
Capital Region	34125	Machinery operators and drivers	0		405
Capital Region	34125	Machinery operators and drivers	1	Local	8
Capital Region	34125	Machinery operators and drivers	1	State territory	3
Capital Region	34125	Managers	0		904
Capital Region	34125	Managers	1	Local	3
Capital Region	34125	Managers	1	State territory	9
Capital Region	34125	Professionals	0		505
Capital Region	34125	Professionals	1	Local	16
Capital Region	34125	Professionals	1	National	19
Capital Region	34125	Professionals	1	State territory	113
Capital Region	34125	Sales workers			3
Capital Region	34125	Sales workers	0		1052
Capital Region	34125	Sales workers	1	National	10
Capital Region	34125	Technicians and trades workers			3
Capital Region	34125	Technicians and trades workers	0		1059
Capital Region	34125	Technicians and trades workers	1	Local	9
Capital Region	34125	Technicians and trades workers	1	State territory	8
Capital Region	42000				24
Capital Region	42000		0		70
Capital Region	42000		1	Local	4
Capital Region	42000		1	State territory	5
Capital Region	42000	Clerical and administrative workers	0		1051
Capital Region	42000	Clerical and administrative workers	1	Local	57
Capital Region	42000	Clerical and administrative workers	1	National	67
Capital Region	42000	Clerical and administrative workers	1	State territory	136
Capital Region	42000	Community and personal service workers			8
Capital Region	42000	Community and personal service workers	0		1328
Capital Region	42000	Community and personal service workers	1	Local	17
Capital Region	42000	Community and personal service workers	1	National	4
Capital Region	42000	Community and personal service workers	1	State territory	148
Capital Region	42000	Labourers			8
Capital Region	42000	Labourers	0		1258
Capital Region	42000	Labourers	1	Local	56
Capital Region	42000	Labourers	1	National	3
Capital Region	42000	Labourers	1	State territory	55
Capital Region	42000	Machinery operators and drivers	0		575
Capital Region	42000	Machinery operators and drivers	1	Local	30
Capital Region	42000	Machinery operators and drivers	1	National	4
Capital Region	42000	Machinery operators and drivers	1	State territory	9
Capital Region	42000	Managers			3
Capital Region	42000	Managers	0		995
Capital Region	42000	Managers	1	Local	13
Capital Region	42000	Managers	1	National	3
Capital Region	42000	Managers	1	State territory	8
Capital Region	42000	Professionals	0		598
Capital Region	42000	Professionals	1	Local	17
Capital Region	42000	Professionals	1	National	8
Capital Region	42000	Professionals	1	State territory	179
Capital Region	42000	Sales workers			6
Capital Region	42000	Sales workers	0		1165
Capital Region	42000	Sales workers	1	National	12
Capital Region	42000	Sales workers	1	State territory	5
Capital Region	42000	Technicians and trades workers			12
Capital Region	42000	Technicians and trades workers	0		1381
Capital Region	42000	Technicians and trades workers	1	Local	24
Capital Region	42000	Technicians and trades workers	1	National	3
Capital Region	42000	Technicians and trades workers	1	State territory	17
Capital Region	52500				30
Capital Region	52500		0		70
Capital Region	52500		1	Local	7
Capital Region	52500		1	National	3
Capital Region	52500		1	State territory	6
Capital Region	52500	Clerical and administrative workers			7
Capital Region	52500	Clerical and administrative workers	0		1088
Capital Region	52500	Clerical and administrative workers	1	Local	101
Capital Region	52500	Clerical and administrative workers	1	National	97
Capital Region	52500	Clerical and administrative workers	1	State territory	164
Capital Region	52500	Community and personal service workers			8
Capital Region	52500	Community and personal service workers	0		1088
Capital Region	52500	Community and personal service workers	1	Local	19
Capital Region	52500	Community and personal service workers	1	National	9
Capital Region	52500	Community and personal service workers	1	State territory	190
Capital Region	52500	Labourers			5
Capital Region	52500	Labourers	0		1168
Capital Region	52500	Labourers	1	Local	88
Capital Region	52500	Labourers	1	State territory	76
Capital Region	52500	Machinery operators and drivers			6
Capital Region	52500	Machinery operators and drivers	0		818
Capital Region	52500	Machinery operators and drivers	1	Local	95
Capital Region	52500	Machinery operators and drivers	1	State territory	12
Capital Region	52500	Managers			8
Capital Region	52500	Managers	0		1323
Capital Region	52500	Managers	1	Local	13
Capital Region	52500	Managers	1	National	3
Capital Region	52500	Managers	1	State territory	11
Capital Region	52500	Professionals	0		754
Capital Region	52500	Professionals	1	Local	28
Capital Region	52500	Professionals	1	National	13
Capital Region	52500	Professionals	1	State territory	254
Capital Region	52500	Sales workers	0		829
Capital Region	52500	Sales workers	1	National	14
Capital Region	52500	Sales workers	1	State territory	7
Capital Region	52500	Technicians and trades workers			10
Capital Region	52500	Technicians and trades workers	0		1668
Capital Region	52500	Technicians and trades workers	1	Local	57
Capital Region	52500	Technicians and trades workers	1	State territory	40
Capital Region	65625				31
Capital Region	65625		0		77
Capital Region	65625		1	Local	11
Capital Region	65625		1	National	12
Capital Region	65625		1	State territory	12
Capital Region	65625	Clerical and administrative workers			12
Capital Region	65625	Clerical and administrative workers	0		841
Capital Region	65625	Clerical and administrative workers	1	Local	153
Capital Region	65625	Clerical and administrative workers	1	National	219
Capital Region	65625	Clerical and administrative workers	1	State territory	211
Capital Region	65625	Community and personal service workers			4
Capital Region	65625	Community and personal service workers	0		574
Capital Region	65625	Community and personal service workers	1	Local	18
Capital Region	65625	Community and personal service workers	1	National	14
Capital Region	65625	Community and personal service workers	1	State territory	178
Capital Region	65625	Labourers			8
Capital Region	65625	Labourers	0		704
Capital Region	65625	Labourers	1	Local	65
Capital Region	65625	Labourers	1	State territory	39
Capital Region	65625	Machinery operators and drivers			5
Capital Region	65625	Machinery operators and drivers	0		811
Capital Region	65625	Machinery operators and drivers	1	Local	105
Capital Region	65625	Machinery operators and drivers	1	State territory	14
Capital Region	65625	Managers			3
Capital Region	65625	Managers	0		1497
Capital Region	65625	Managers	1	Local	26
Capital Region	65625	Managers	1	National	9
Capital Region	65625	Managers	1	State territory	17
Capital Region	65625	Professionals			4
Capital Region	65625	Professionals	0		935
Capital Region	65625	Professionals	1	Local	62
Capital Region	65625	Professionals	1	National	32
Capital Region	65625	Professionals	1	State territory	444
Capital Region	65625	Sales workers	0		509
Capital Region	65625	Sales workers	1	National	6
Capital Region	65625	Sales workers	1	State territory	3
Capital Region	65625	Technicians and trades workers			6
Capital Region	65625	Technicians and trades workers	0		1497
Capital Region	65625	Technicians and trades workers	1	Local	76
Capital Region	65625	Technicians and trades workers	1	National	8
Capital Region	65625	Technicians and trades workers	1	State territory	29
Capital Region	78750				11
Capital Region	78750		0		38
Capital Region	78750		1	Local	12
Capital Region	78750		1	National	9
Capital Region	78750		1	State territory	3
Capital Region	78750	Clerical and administrative workers			3
Capital Region	78750	Clerical and administrative workers	0		453
Capital Region	78750	Clerical and administrative workers	1	Local	71
Capital Region	78750	Clerical and administrative workers	1	National	141
Capital Region	78750	Clerical and administrative workers	1	State territory	119
Capital Region	78750	Community and personal service workers	0		239
Capital Region	78750	Community and personal service workers	1	Local	12
Capital Region	78750	Community and personal service workers	1	National	29
Capital Region	78750	Community and personal service workers	1	State territory	160
Capital Region	78750	Labourers			4
Capital Region	78750	Labourers	0		286
Capital Region	78750	Labourers	1	Local	21
Capital Region	78750	Labourers	1	National	6
Capital Region	78750	Labourers	1	State territory	19
Capital Region	78750	Machinery operators and drivers			4
Capital Region	78750	Machinery operators and drivers	0		475
Capital Region	78750	Machinery operators and drivers	1	Local	42
Capital Region	78750	Machinery operators and drivers	1	National	3
Capital Region	78750	Machinery operators and drivers	1	State territory	13
Capital Region	78750	Managers	0		975
Capital Region	78750	Managers	1	Local	26
Capital Region	78750	Managers	1	National	26
Capital Region	78750	Managers	1	State territory	38
Capital Region	78750	Professionals			6
Capital Region	78750	Professionals	0		787
Capital Region	78750	Professionals	1	Local	83
Capital Region	78750	Professionals	1	National	39
Capital Region	78750	Professionals	1	State territory	538
Capital Region	78750	Sales workers	0		227
Capital Region	78750	Sales workers	1	State territory	3
Capital Region	78750	Technicians and trades workers			4
Capital Region	78750	Technicians and trades workers	0		850
Capital Region	78750	Technicians and trades workers	1	Local	86
Capital Region	78750	Technicians and trades workers	1	National	10
Capital Region	78750	Technicians and trades workers	1	State territory	19
Capital Region	91875				9
Capital Region	91875		0		36
Capital Region	91875		1	National	6
Capital Region	91875		1	State territory	4
Capital Region	91875	Clerical and administrative workers			5
Capital Region	91875	Clerical and administrative workers	0		272
Capital Region	91875	Clerical and administrative workers	1	Local	48
Capital Region	91875	Clerical and administrative workers	1	National	71
Capital Region	91875	Clerical and administrative workers	1	State territory	74
Capital Region	91875	Community and personal service workers	0		133
Capital Region	91875	Community and personal service workers	1	Local	9
Capital Region	91875	Community and personal service workers	1	National	27
Capital Region	91875	Community and personal service workers	1	State territory	211
Capital Region	91875	Labourers	0		146
Capital Region	91875	Labourers	1	Local	10
Capital Region	91875	Labourers	1	National	3
Capital Region	91875	Labourers	1	State territory	14
Capital Region	91875	Machinery operators and drivers	0		295
Capital Region	91875	Machinery operators and drivers	1	Local	16
Capital Region	91875	Machinery operators and drivers	1	State territory	8
Capital Region	91875	Managers			3
Capital Region	91875	Managers	0		824
Capital Region	91875	Managers	1	Local	34
Capital Region	91875	Managers	1	National	42
Capital Region	91875	Managers	1	State territory	33
Capital Region	91875	Professionals			3
Capital Region	91875	Professionals	0		743
Capital Region	91875	Professionals	1	Local	77
Capital Region	91875	Professionals	1	National	44
Capital Region	91875	Professionals	1	State territory	579
Capital Region	91875	Sales workers	0		153
Capital Region	91875	Sales workers	1	National	3
Capital Region	91875	Technicians and trades workers			3
Capital Region	91875	Technicians and trades workers	0		582
Capital Region	91875	Technicians and trades workers	1	Local	77
Capital Region	91875	Technicians and trades workers	1	National	8
Capital Region	91875	Technicians and trades workers	1	State territory	32
Capital Region	105000				8
Capital Region	105000		0		32
Capital Region	105000		1	Local	3
Capital Region	105000		1	National	3
Capital Region	105000		1	State territory	3
Capital Region	105000	Clerical and administrative workers	0		135
Capital Region	105000	Clerical and administrative workers	1	Local	16
Capital Region	105000	Clerical and administrative workers	1	National	33
Capital Region	105000	Clerical and administrative workers	1	State territory	42
Capital Region	105000	Community and personal service workers	0		52
Capital Region	105000	Community and personal service workers	1	Local	3
Capital Region	105000	Community and personal service workers	1	National	16
Capital Region	105000	Community and personal service workers	1	State territory	302
Capital Region	105000	Labourers	0		71
Capital Region	105000	Labourers	1	State territory	3
Capital Region	105000	Machinery operators and drivers	0		152
Capital Region	105000	Machinery operators and drivers	1	Local	7
Capital Region	105000	Managers			5
Capital Region	105000	Managers	0		516
Capital Region	105000	Managers	1	Local	39
Capital Region	105000	Managers	1	National	42
Capital Region	105000	Managers	1	State territory	56
Capital Region	105000	Professionals	0		588
Capital Region	105000	Professionals	1	Local	56
Capital Region	105000	Professionals	1	National	45
Capital Region	105000	Professionals	1	State territory	611
Capital Region	105000	Sales workers	0		76
Capital Region	105000	Technicians and trades workers			3
Capital Region	105000	Technicians and trades workers	0		316
Capital Region	105000	Technicians and trades workers	1	Local	37
Capital Region	105000	Technicians and trades workers	1	National	3
Capital Region	105000	Technicians and trades workers	1	State territory	28
Capital Region	157500				9
Capital Region	157500		0		21
Capital Region	157500		1	National	12
Capital Region	157500		1	State territory	7
Capital Region	157500	Clerical and administrative workers	0		119
Capital Region	157500	Clerical and administrative workers	1	Local	17
Capital Region	157500	Clerical and administrative workers	1	National	22
Capital Region	157500	Clerical and administrative workers	1	State territory	44
Capital Region	157500	Community and personal service workers	0		61
Capital Region	157500	Community and personal service workers	1	National	21
Capital Region	157500	Community and personal service workers	1	State territory	313
Capital Region	157500	Labourers	0		53
Capital Region	157500	Labourers	1	State territory	3
Capital Region	157500	Machinery operators and drivers	0		135
Capital Region	157500	Machinery operators and drivers	1	State territory	4
Capital Region	157500	Managers	0		834
Capital Region	157500	Managers	1	Local	64
Capital Region	157500	Managers	1	National	171
Capital Region	157500	Managers	1	State territory	265
Capital Region	157500	Professionals			8
Capital Region	157500	Professionals	0		668
Capital Region	157500	Professionals	1	Local	50
Capital Region	157500	Professionals	1	National	83
Capital Region	157500	Professionals	1	State territory	384
Capital Region	157500	Sales workers	0		98
Capital Region	157500	Technicians and trades workers	0		314
Capital Region	157500	Technicians and trades workers	1	Local	53
Capital Region	157500	Technicians and trades workers	1	National	8
Capital Region	157500	Technicians and trades workers	1	State territory	36
Capital Region	Inf				11
Capital Region	Inf		0		22
Capital Region	Inf		1	Local	3
Capital Region	Inf	Clerical and administrative workers	0		60
Capital Region	Inf	Clerical and administrative workers	1	National	5
Capital Region	Inf	Clerical and administrative workers	1	State territory	9
Capital Region	Inf	Community and personal service workers	0		28
Capital Region	Inf	Community and personal service workers	1	National	4
Capital Region	Inf	Community and personal service workers	1	State territory	23
Capital Region	Inf	Labourers			7
Capital Region	Inf	Labourers	0		40
Capital Region	Inf	Labourers	1	Local	4
Capital Region	Inf	Machinery operators and drivers	0		30
Capital Region	Inf	Managers			6
Capital Region	Inf	Managers	0		585
Capital Region	Inf	Managers	1	Local	37
Capital Region	Inf	Managers	1	National	77
Capital Region	Inf	Managers	1	State territory	65
Capital Region	Inf	Professionals			3
Capital Region	Inf	Professionals	0		470
Capital Region	Inf	Professionals	1	Local	7
Capital Region	Inf	Professionals	1	National	27
Capital Region	Inf	Professionals	1	State territory	75
Capital Region	Inf	Sales workers	0		69
Capital Region	Inf	Technicians and trades workers	0		83
Capital Region	Inf	Technicians and trades workers	1	State territory	8
Central Coast					154
Central Coast			0		50
Central Coast			1	National	4
Central Coast			1	State territory	3
Central Coast		Clerical and administrative workers			12
Central Coast		Clerical and administrative workers	0		129
Central Coast		Clerical and administrative workers	1	Local	5
Central Coast		Clerical and administrative workers	1	National	9
Central Coast		Clerical and administrative workers	1	State territory	15
Central Coast		Community and personal service workers			15
Central Coast		Community and personal service workers	0		174
Central Coast		Community and personal service workers	1	State territory	29
Central Coast		Labourers			11
Central Coast		Labourers	0		128
Central Coast		Labourers	1	Local	5
Central Coast		Labourers	1	State territory	3
Central Coast		Machinery operators and drivers			8
Central Coast		Machinery operators and drivers	0		99
Central Coast		Machinery operators and drivers	1	State territory	3
Central Coast		Managers			6
Central Coast		Managers	0		155
Central Coast		Managers	1	Local	3
Central Coast		Professionals			16
Central Coast		Professionals	0		154
Central Coast		Professionals	1	Local	3
Central Coast		Professionals	1	State territory	42
Central Coast		Sales workers			14
Central Coast		Sales workers	0		183
Central Coast		Technicians and trades workers			19
Central Coast		Technicians and trades workers	0		208
Central Coast	0				34
Central Coast	0		0		27
Central Coast	0	Clerical and administrative workers	0		97
Central Coast	0	Clerical and administrative workers	1	National	3
Central Coast	0	Community and personal service workers			4
Central Coast	0	Community and personal service workers	0		60
Central Coast	0	Community and personal service workers	1	State territory	3
Central Coast	0	Labourers			3
Central Coast	0	Labourers	0		99
Central Coast	0	Machinery operators and drivers	0		11
Central Coast	0	Machinery operators and drivers	1	Local	3
Central Coast	0	Managers	0		110
Central Coast	0	Professionals	0		74
Central Coast	0	Professionals	1	State territory	7
Central Coast	0	Sales workers			3
Central Coast	0	Sales workers	0		120
Central Coast	0	Technicians and trades workers	0		78
Central Coast	7875				28
Central Coast	7875		0		32
Central Coast	7875	Clerical and administrative workers	0		240
Central Coast	7875	Clerical and administrative workers	1	Local	3
Central Coast	7875	Clerical and administrative workers	1	National	18
Central Coast	7875	Clerical and administrative workers	1	State territory	7
Central Coast	7875	Community and personal service workers			8
Central Coast	7875	Community and personal service workers	0		824
Central Coast	7875	Community and personal service workers	1	Local	3
Central Coast	7875	Community and personal service workers	1	State territory	14
Central Coast	7875	Labourers			8
Central Coast	7875	Labourers	0		1123
Central Coast	7875	Labourers	1	State territory	8
Central Coast	7875	Machinery operators and drivers	0		122
Central Coast	7875	Managers	0		104
Central Coast	7875	Managers	1	State territory	4
Central Coast	7875	Professionals			3
Central Coast	7875	Professionals	0		220
Central Coast	7875	Professionals	1	Local	3
Central Coast	7875	Professionals	1	National	11
Central Coast	7875	Professionals	1	State territory	11
Central Coast	7875	Sales workers			6
Central Coast	7875	Sales workers	0		1973
Central Coast	7875	Sales workers	1	National	3
Central Coast	7875	Technicians and trades workers			3
Central Coast	7875	Technicians and trades workers	0		148
Central Coast	15750				29
Central Coast	15750		0		39
Central Coast	15750	Clerical and administrative workers	0		468
Central Coast	15750	Clerical and administrative workers	1	Local	3
Central Coast	15750	Clerical and administrative workers	1	National	8
Central Coast	15750	Clerical and administrative workers	1	State territory	26
Central Coast	15750	Community and personal service workers			14
Central Coast	15750	Community and personal service workers	0		873
Central Coast	15750	Community and personal service workers	1	Local	11
Central Coast	15750	Community and personal service workers	1	National	7
Central Coast	15750	Community and personal service workers	1	State territory	58
Central Coast	15750	Labourers			12
Central Coast	15750	Labourers	0		875
Central Coast	15750	Labourers	1	Local	3
Central Coast	15750	Labourers	1	State territory	19
Central Coast	15750	Machinery operators and drivers	0		187
Central Coast	15750	Managers			3
Central Coast	15750	Managers	0		177
Central Coast	15750	Professionals	0		341
Central Coast	15750	Professionals	1	Local	5
Central Coast	15750	Professionals	1	National	5
Central Coast	15750	Professionals	1	State territory	36
Central Coast	15750	Sales workers			3
Central Coast	15750	Sales workers	0		1431
Central Coast	15750	Technicians and trades workers			7
Central Coast	15750	Technicians and trades workers	0		363
Central Coast	15750	Technicians and trades workers	1	State territory	5
Central Coast	21000				47
Central Coast	21000		0		41
Central Coast	21000		1	State territory	3
Central Coast	21000	Clerical and administrative workers			4
Central Coast	21000	Clerical and administrative workers	0		691
Central Coast	21000	Clerical and administrative workers	1	Local	5
Central Coast	21000	Clerical and administrative workers	1	National	17
Central Coast	21000	Clerical and administrative workers	1	State territory	39
Central Coast	21000	Community and personal service workers			7
Central Coast	21000	Community and personal service workers	0		998
Central Coast	21000	Community and personal service workers	1	Local	22
Central Coast	21000	Community and personal service workers	1	National	9
Central Coast	21000	Community and personal service workers	1	State territory	73
Central Coast	21000	Labourers			11
Central Coast	21000	Labourers	0		852
Central Coast	21000	Labourers	1	Local	3
Central Coast	21000	Labourers	1	State territory	15
Central Coast	21000	Machinery operators and drivers			4
Central Coast	21000	Machinery operators and drivers	0		171
Central Coast	21000	Machinery operators and drivers	1	State territory	3
Central Coast	21000	Managers	0		268
Central Coast	21000	Managers	1	State territory	11
Central Coast	21000	Professionals			3
Central Coast	21000	Professionals	0		392
Central Coast	21000	Professionals	1	Local	3
Central Coast	21000	Professionals	1	National	9
Central Coast	21000	Professionals	1	State territory	59
Central Coast	21000	Sales workers			5
Central Coast	21000	Sales workers	0		1180
Central Coast	21000	Technicians and trades workers			8
Central Coast	21000	Technicians and trades workers	0		581
Central Coast	21000	Technicians and trades workers	1	State territory	6
Central Coast	26250				43
Central Coast	26250		0		40
Central Coast	26250	Clerical and administrative workers			8
Central Coast	26250	Clerical and administrative workers	0		866
Central Coast	26250	Clerical and administrative workers	1	Local	21
Central Coast	26250	Clerical and administrative workers	1	National	12
Central Coast	26250	Clerical and administrative workers	1	State territory	61
Central Coast	26250	Community and personal service workers			4
Central Coast	26250	Community and personal service workers	0		1197
Central Coast	26250	Community and personal service workers	1	Local	14
Central Coast	26250	Community and personal service workers	1	National	10
Central Coast	26250	Community and personal service workers	1	State territory	99
Central Coast	26250	Labourers			7
Central Coast	26250	Labourers	0		917
Central Coast	26250	Labourers	1	Local	3
Central Coast	26250	Labourers	1	State territory	25
Central Coast	26250	Machinery operators and drivers			3
Central Coast	26250	Machinery operators and drivers	0		239
Central Coast	26250	Machinery operators and drivers	1	State territory	3
Central Coast	26250	Managers	0		309
Central Coast	26250	Managers	1	Local	3
Central Coast	26250	Managers	1	State territory	3
Central Coast	26250	Professionals			3
Central Coast	26250	Professionals	0		528
Central Coast	26250	Professionals	1	Local	9
Central Coast	26250	Professionals	1	National	7
Central Coast	26250	Professionals	1	State territory	75
Central Coast	26250	Sales workers			11
Central Coast	26250	Sales workers	0		1213
Central Coast	26250	Sales workers	1	Local	3
Central Coast	26250	Technicians and trades workers			7
Central Coast	26250	Technicians and trades workers	0		1001
Central Coast	26250	Technicians and trades workers	1	Local	4
Central Coast	26250	Technicians and trades workers	1	State territory	3
Central Coast	34125				40
Central Coast	34125		0		83
Central Coast	34125	Clerical and administrative workers			4
Central Coast	34125	Clerical and administrative workers	0		1500
Central Coast	34125	Clerical and administrative workers	1	Local	35
Central Coast	34125	Clerical and administrative workers	1	National	47
Central Coast	34125	Clerical and administrative workers	1	State territory	172
Central Coast	34125	Community and personal service workers			13
Central Coast	34125	Community and personal service workers	0		1958
Central Coast	34125	Community and personal service workers	1	Local	27
Central Coast	34125	Community and personal service workers	1	National	3
Central Coast	34125	Community and personal service workers	1	State territory	188
