SA4_NAME16	EmploymentStatus	Sex	workers
No usual address (NSW)	Owner managers of incorporated enterprises	F	1637
No usual address (NSW)	Owner managers of incorporated enterprises	M	15555
No usual address (NSW)	Owner managers of unincorporated enterprises	F	8290
No usual address (NSW)	Owner managers of unincorporated enterprises	M	33664
Ballarat		F	366
Ballarat		M	426
Ballarat	Contributing family workers	F	715
Ballarat	Contributing family workers	M	744
Ballarat	Employee	F	26716
Ballarat	Employee	M	22435
Ballarat	Owner managers of incorporated enterprises	F	1192
Ballarat	Owner managers of incorporated enterprises	M	2712
Ballarat	Owner managers of unincorporated enterprises	F	1770
Ballarat	Owner managers of unincorporated enterprises	M	2796
Bendigo		F	347
Bendigo		M	400
Bendigo	Contributing family workers	F	664
Bendigo	Contributing family workers	M	695
Bendigo	Employee	F	26392
Bendigo	Employee	M	23207
Bendigo	Owner managers of incorporated enterprises	F	1166
Bendigo	Owner managers of incorporated enterprises	M	2613
Bendigo	Owner managers of unincorporated enterprises	F	1932
Bendigo	Owner managers of unincorporated enterprises	M	2989
Geelong		F	506
Geelong		M	554
Geelong	Contributing family workers	F	979
Geelong	Contributing family workers	M	776
Geelong	Employee	F	49103
Geelong	Employee	M	40623
Geelong	Owner managers of incorporated enterprises	F	2178
Geelong	Owner managers of incorporated enterprises	M	5036
Geelong	Owner managers of unincorporated enterprises	F	3155
Geelong	Owner managers of unincorporated enterprises	M	4554
Hume		F	447
Hume		M	560
Hume	Contributing family workers	F	1102
Hume	Contributing family workers	M	1223
Hume	Employee	F	27513
Hume	Employee	M	26485
Hume	Owner managers of incorporated enterprises	F	1525
Hume	Owner managers of incorporated enterprises	M	3074
Hume	Owner managers of unincorporated enterprises	F	2478
Hume	Owner managers of unincorporated enterprises	M	4122
Latrobe - Gippsland		F	691
Latrobe - Gippsland		M	835
Latrobe - Gippsland	Contributing family workers	F	1515
Latrobe - Gippsland	Contributing family workers	M	1445
Latrobe - Gippsland	Employee	F	42069
Latrobe - Gippsland	Employee	M	37211
Latrobe - Gippsland	Owner managers of incorporated enterprises	F	1983
Latrobe - Gippsland	Owner managers of incorporated enterprises	M	4268
Latrobe - Gippsland	Owner managers of unincorporated enterprises	F	3952
Latrobe - Gippsland	Owner managers of unincorporated enterprises	M	6229
Melbourne - Inner		F	2225
Melbourne - Inner		M	2713
Melbourne - Inner	Contributing family workers	F	2147
Melbourne - Inner	Contributing family workers	M	2220
Melbourne - Inner	Employee	F	302187
Melbourne - Inner	Employee	M	311207
Melbourne - Inner	Owner managers of incorporated enterprises	F	9750
Melbourne - Inner	Owner managers of incorporated enterprises	M	25791
Melbourne - Inner	Owner managers of unincorporated enterprises	F	11201
Melbourne - Inner	Owner managers of unincorporated enterprises	M	17020
Melbourne - Inner East		F	503
Melbourne - Inner East		M	565
Melbourne - Inner East	Contributing family workers	F	1155
Melbourne - Inner East	Contributing family workers	M	1018
Melbourne - Inner East	Employee	F	67424
Melbourne - Inner East	Employee	M	49754
Melbourne - Inner East	Owner managers of incorporated enterprises	F	4032
Melbourne - Inner East	Owner managers of incorporated enterprises	M	8421
Melbourne - Inner East	Owner managers of unincorporated enterprises	F	4098
Melbourne - Inner East	Owner managers of unincorporated enterprises	M	5354
Melbourne - Inner South		F	571
Melbourne - Inner South		M	765
Melbourne - Inner South	Contributing family workers	F	1302
Melbourne - Inner South	Contributing family workers	M	1070
Melbourne - Inner South	Employee	F	65986
Melbourne - Inner South	Employee	M	55624
Melbourne - Inner South	Owner managers of incorporated enterprises	F	4632
Melbourne - Inner South	Owner managers of incorporated enterprises	M	10254
Melbourne - Inner South	Owner managers of unincorporated enterprises	F	5516
Melbourne - Inner South	Owner managers of unincorporated enterprises	M	6857
Melbourne - North East		F	695
Melbourne - North East		M	918
Melbourne - North East	Contributing family workers	F	1079
Melbourne - North East	Contributing family workers	M	896
Melbourne - North East	Employee	F	65237
Melbourne - North East	Employee	M	52362
Melbourne - North East	Owner managers of incorporated enterprises	F	3371
Melbourne - North East	Owner managers of incorporated enterprises	M	8503
Melbourne - North East	Owner managers of unincorporated enterprises	F	4123
Melbourne - North East	Owner managers of unincorporated enterprises	M	6025
Melbourne - North West		F	642
Melbourne - North West		M	1059
Melbourne - North West	Contributing family workers	F	824
Melbourne - North West	Contributing family workers	M	827
Melbourne - North West	Employee	F	49755
Melbourne - North West	Employee	M	67187
Melbourne - North West	Owner managers of incorporated enterprises	F	2484
Melbourne - North West	Owner managers of incorporated enterprises	M	7700
Melbourne - North West	Owner managers of unincorporated enterprises	F	2889
Melbourne - North West	Owner managers of unincorporated enterprises	M	5069
Melbourne - Outer East		F	650
Melbourne - Outer East		M	870
Melbourne - Outer East	Contributing family workers	F	1550
Melbourne - Outer East	Contributing family workers	M	1266
Melbourne - Outer East	Employee	F	73237
Melbourne - Outer East	Employee	M	67702
Melbourne - Outer East	Owner managers of incorporated enterprises	F	4356
Melbourne - Outer East	Owner managers of incorporated enterprises	M	10349
Melbourne - Outer East	Owner managers of unincorporated enterprises	F	5378
Melbourne - Outer East	Owner managers of unincorporated enterprises	M	7812
Melbourne - South East		F	1125
Melbourne - South East		M	1673
Melbourne - South East	Contributing family workers	F	1892
Melbourne - South East	Contributing family workers	M	1810
Melbourne - South East	Employee	F	121041
Melbourne - South East	Employee	M	134365
Melbourne - South East	Owner managers of incorporated enterprises	F	5530
Melbourne - South East	Owner managers of incorporated enterprises	M	14996
Melbourne - South East	Owner managers of unincorporated enterprises	F	6191
Melbourne - South East	Owner managers of unincorporated enterprises	M	10539
Melbourne - West		F	991
Melbourne - West		M	1503
Melbourne - West	Contributing family workers	F	1473
Melbourne - West	Contributing family workers	M	1286
Melbourne - West	Employee	F	87641
Melbourne - West	Employee	M	97501
Melbourne - West	Owner managers of incorporated enterprises	F	3922
Melbourne - West	Owner managers of incorporated enterprises	M	10766
Melbourne - West	Owner managers of unincorporated enterprises	F	5400
Melbourne - West	Owner managers of unincorporated enterprises	M	7975
Mornington Peninsula		F	465
Mornington Peninsula		M	551
Mornington Peninsula	Contributing family workers	F	990
Mornington Peninsula	Contributing family workers	M	736
Mornington Peninsula	Employee	F	41753
Mornington Peninsula	Employee	M	30789
Mornington Peninsula	Owner managers of incorporated enterprises	F	2724
Mornington Peninsula	Owner managers of incorporated enterprises	M	5893
Mornington Peninsula	Owner managers of unincorporated enterprises	F	3454
Mornington Peninsula	Owner managers of unincorporated enterprises	M	5036
North West		F	422
North West		M	548
North West	Contributing family workers	F	1199
North West	Contributing family workers	M	1925
North West	Employee	F	24631
North West	Employee	M	22177
North West	Owner managers of incorporated enterprises	F	1439
North West	Owner managers of incorporated enterprises	M	3209
North West	Owner managers of unincorporated enterprises	F	2058
North West	Owner managers of unincorporated enterprises	M	3783
Shepparton		F	342
Shepparton		M	453
Shepparton	Contributing family workers	F	804
Shepparton	Contributing family workers	M	929
Shepparton	Employee	F	22285
Shepparton	Employee	M	20404
Shepparton	Owner managers of incorporated enterprises	F	1276
Shepparton	Owner managers of incorporated enterprises	M	2774
Shepparton	Owner managers of unincorporated enterprises	F	1662
Shepparton	Owner managers of unincorporated enterprises	M	2878
Warrnambool and South West		F	382
Warrnambool and South West		M	483
Warrnambool and South West	Contributing family workers	F	996
Warrnambool and South West	Contributing family workers	M	1102
Warrnambool and South West	Employee	F	21080
Warrnambool and South West	Employee	M	19696
Warrnambool and South West	Owner managers of incorporated enterprises	F	1030
Warrnambool and South West	Owner managers of incorporated enterprises	M	2186
Warrnambool and South West	Owner managers of unincorporated enterprises	F	2332
Warrnambool and South West	Owner managers of unincorporated enterprises	M	4048
Migratory - Offshore - Shipping (Vic.)		M	3
Migratory - Offshore - Shipping (Vic.)	Contributing family workers	M	3
Migratory - Offshore - Shipping (Vic.)	Employee	F	8
Migratory - Offshore - Shipping (Vic.)	Employee	M	131
Migratory - Offshore - Shipping (Vic.)	Owner managers of incorporated enterprises	M	4
Migratory - Offshore - Shipping (Vic.)	Owner managers of unincorporated enterprises	M	4
No usual address (Vic.)		F	530
No usual address (Vic.)		M	1711
No usual address (Vic.)	Contributing family workers	F	569
No usual address (Vic.)	Contributing family workers	M	1043
No usual address (Vic.)	Employee	F	19561
No usual address (Vic.)	Employee	M	46461
No usual address (Vic.)	Owner managers of incorporated enterprises	F	1319
No usual address (Vic.)	Owner managers of incorporated enterprises	M	13848
No usual address (Vic.)	Owner managers of unincorporated enterprises	F	6522
No usual address (Vic.)	Owner managers of unincorporated enterprises	M	27461
Brisbane - East		F	285
Brisbane - East		M	370
Brisbane - East	Contributing family workers	F	618
Brisbane - East	Contributing family workers	M	533
Brisbane - East	Employee	F	32421
Brisbane - East	Employee	M	34120
Brisbane - East	Owner managers of incorporated enterprises	F	2185
Brisbane - East	Owner managers of incorporated enterprises	M	4397
Brisbane - East	Owner managers of unincorporated enterprises	F	2411
Brisbane - East	Owner managers of unincorporated enterprises	M	3200
Brisbane - North		F	341
Brisbane - North		M	425
Brisbane - North	Contributing family workers	F	446
Brisbane - North	Contributing family workers	M	344
Brisbane - North	Employee	F	46022
Brisbane - North	Employee	M	54162
Brisbane - North	Owner managers of incorporated enterprises	F	1614
Brisbane - North	Owner managers of incorporated enterprises	M	3976
Brisbane - North	Owner managers of unincorporated enterprises	F	2096
Brisbane - North	Owner managers of unincorporated enterprises	M	3094
Brisbane - South		F	481
Brisbane - South		M	628
Brisbane - South	Contributing family workers	F	844
Brisbane - South	Contributing family workers	M	898
Brisbane - South	Employee	F	66517
Brisbane - South	Employee	M	67760
Brisbane - South	Owner managers of incorporated enterprises	F	2982
Brisbane - South	Owner managers of incorporated enterprises	M	7024
Brisbane - South	Owner managers of unincorporated enterprises	F	3450
Brisbane - South	Owner managers of unincorporated enterprises	M	5134
Brisbane - West		F	175
Brisbane - West		M	154
Brisbane - West	Contributing family workers	F	408
Brisbane - West	Contributing family workers	M	344
Brisbane - West	Employee	F	27387
Brisbane - West	Employee	M	22760
Brisbane - West	Owner managers of incorporated enterprises	F	1450
Brisbane - West	Owner managers of incorporated enterprises	M	2765
Brisbane - West	Owner managers of unincorporated enterprises	F	1916
Brisbane - West	Owner managers of unincorporated enterprises	M	2287
Brisbane Inner City		F	784
Brisbane Inner City		M	863
Brisbane Inner City	Contributing family workers	F	933
Brisbane Inner City	Contributing family workers	M	866
Brisbane Inner City	Employee	F	147377
Brisbane Inner City	Employee	M	135136
Brisbane Inner City	Owner managers of incorporated enterprises	F	4373
Brisbane Inner City	Owner managers of incorporated enterprises	M	10498
Brisbane Inner City	Owner managers of unincorporated enterprises	F	4496
Brisbane Inner City	Owner managers of unincorporated enterprises	M	6731
Cairns		F	541
Cairns		M	628
Cairns	Contributing family workers	F	1082
Cairns	Contributing family workers	M	1092
Cairns	Employee	F	43808
Cairns	Employee	M	37659
Cairns	Owner managers of incorporated enterprises	F	2202
Cairns	Owner managers of incorporated enterprises	M	3998
Cairns	Owner managers of unincorporated enterprises	F	3425
Cairns	Owner managers of unincorporated enterprises	M	4864
Darling Downs - Maranoa		F	338
Darling Downs - Maranoa		M	484
Darling Downs - Maranoa	Contributing family workers	F	1516
Darling Downs - Maranoa	Contributing family workers	M	1844
Darling Downs - Maranoa	Employee	F	18953
Darling Downs - Maranoa	Employee	M	22970
Darling Downs - Maranoa	Owner managers of incorporated enterprises	F	1283
Darling Downs - Maranoa	Owner managers of incorporated enterprises	M	2512
Darling Downs - Maranoa	Owner managers of unincorporated enterprises	F	2172
Darling Downs - Maranoa	Owner managers of unincorporated enterprises	M	3878
Central Queensland		F	429
Central Queensland		M	543
Central Queensland	Contributing family workers	F	1210
Central Queensland	Contributing family workers	M	1062
Central Queensland	Employee	F	38753
Central Queensland	Employee	M	44158
Central Queensland	Owner managers of incorporated enterprises	F	1575
Central Queensland	Owner managers of incorporated enterprises	M	2801
Central Queensland	Owner managers of unincorporated enterprises	F	2595
Central Queensland	Owner managers of unincorporated enterprises	M	3437
Gold Coast		F	988
Gold Coast		M	1189
Gold Coast	Contributing family workers	F	2277
Gold Coast	Contributing family workers	M	1746
Gold Coast	Employee	F	103555
Gold Coast	Employee	M	89052
Gold Coast	Owner managers of incorporated enterprises	F	7199
Gold Coast	Owner managers of incorporated enterprises	M	14426
Gold Coast	Owner managers of unincorporated enterprises	F	7792
Gold Coast	Owner managers of unincorporated enterprises	M	11040
Ipswich		F	450
Ipswich		M	546
Ipswich	Contributing family workers	F	795
Ipswich	Contributing family workers	M	819
Ipswich	Employee	F	44414
Ipswich	Employee	M	48978
Ipswich	Owner managers of incorporated enterprises	F	1629
Ipswich	Owner managers of incorporated enterprises	M	3616
Ipswich	Owner managers of unincorporated enterprises	F	2869
Ipswich	Owner managers of unincorporated enterprises	M	3776
Logan - Beaudesert		F	424
Logan - Beaudesert		M	492
Logan - Beaudesert	Contributing family workers	F	934
Logan - Beaudesert	Contributing family workers	M	731
Logan - Beaudesert	Employee	F	41107
Logan - Beaudesert	Employee	M	36554
Logan - Beaudesert	Owner managers of incorporated enterprises	F	2232
Logan - Beaudesert	Owner managers of incorporated enterprises	M	4732
Logan - Beaudesert	Owner managers of unincorporated enterprises	F	2873
Logan - Beaudesert	Owner managers of unincorporated enterprises	M	4169
Mackay - Isaac - Whitsunday		F	376
Mackay - Isaac - Whitsunday		M	509
Mackay - Isaac - Whitsunday	Contributing family workers	F	894
Mackay - Isaac - Whitsunday	Contributing family workers	M	816
Mackay - Isaac - Whitsunday	Employee	F	30636
Mackay - Isaac - Whitsunday	Employee	M	38789
Mackay - Isaac - Whitsunday	Owner managers of incorporated enterprises	F	1408
Mackay - Isaac - Whitsunday	Owner managers of incorporated enterprises	M	2881
Mackay - Isaac - Whitsunday	Owner managers of unincorporated enterprises	F	2090
