SA4_NAME16	Occupation	OccupationSubtype	Sex	workers
Central Coast	Technicians and trades workers	Skilled animal and horticultural workers	M	867
Central Coast	Technicians and trades workers	Technicians and trades workers nfd	F	15
Central Coast	Technicians and trades workers	Technicians and trades workers nfd	M	121
Central West			F	585
Central West			M	823
Central West	Clerical and administrative workers	Clerical and administrative workers nfd	F	16
Central West	Clerical and administrative workers	Clerical and administrative workers nfd	M	4
Central West	Clerical and administrative workers	Clerical and office support workers	F	280
Central West	Clerical and administrative workers	Clerical and office support workers	M	322
Central West	Clerical and administrative workers	General clerical workers	F	2071
Central West	Clerical and administrative workers	General clerical workers	M	197
Central West	Clerical and administrative workers	Inquiry clerks and receptionists	F	1426
Central West	Clerical and administrative workers	Inquiry clerks and receptionists	M	136
Central West	Clerical and administrative workers	Numerical clerks	F	1672
Central West	Clerical and administrative workers	Numerical clerks	M	214
Central West	Clerical and administrative workers	Office managers and program administrators	F	1334
Central West	Clerical and administrative workers	Office managers and program administrators	M	250
Central West	Clerical and administrative workers	Other clerical and administrative workers	F	663
Central West	Clerical and administrative workers	Other clerical and administrative workers	M	487
Central West	Clerical and administrative workers	Personal assistants and secretaries	F	760
Central West	Clerical and administrative workers	Personal assistants and secretaries	M	11
Central West	Community and personal service workers	Carers and aides	F	3558
Central West	Community and personal service workers	Carers and aides	M	554
Central West	Community and personal service workers	Community and personal service workers nfd	F	5
Central West	Community and personal service workers	Health and welfare support workers	F	954
Central West	Community and personal service workers	Health and welfare support workers	M	302
Central West	Community and personal service workers	Hospitality workers	F	1465
Central West	Community and personal service workers	Hospitality workers	M	417
Central West	Community and personal service workers	Protective service workers	F	250
Central West	Community and personal service workers	Protective service workers	M	935
Central West	Community and personal service workers	Sports and personal service workers	F	606
Central West	Community and personal service workers	Sports and personal service workers	M	278
Central West	Labourers	Cleaners and laundry workers	F	1604
Central West	Labourers	Cleaners and laundry workers	M	816
Central West	Labourers	Construction and mining labourers	F	26
Central West	Labourers	Construction and mining labourers	M	977
Central West	Labourers	Factory process workers	F	408
Central West	Labourers	Factory process workers	M	1063
Central West	Labourers	Farm forestry and garden workers	F	371
Central West	Labourers	Farm forestry and garden workers	M	1229
Central West	Labourers	Food preparation assistants	F	724
Central West	Labourers	Food preparation assistants	M	495
Central West	Labourers	Labourers nfd	F	40
Central West	Labourers	Labourers nfd	M	214
Central West	Labourers	Other labourers	F	277
Central West	Labourers	Other labourers	M	1114
Central West	Machinery operators and drivers	Machine and stationary plant operators	F	207
Central West	Machinery operators and drivers	Machine and stationary plant operators	M	2651
Central West	Machinery operators and drivers	Machinery operators and drivers nfd	F	3
Central West	Machinery operators and drivers	Machinery operators and drivers nfd	M	150
Central West	Machinery operators and drivers	Mobile plant operators	F	46
Central West	Machinery operators and drivers	Mobile plant operators	M	1044
Central West	Machinery operators and drivers	Road and rail drivers	F	218
Central West	Machinery operators and drivers	Road and rail drivers	M	2370
Central West	Machinery operators and drivers	Storepersons	F	52
Central West	Machinery operators and drivers	Storepersons	M	359
Central West	Managers	Chief executives general managers and legislators	F	137
Central West	Managers	Chief executives general managers and legislators	M	353
Central West	Managers	Farmers and farm managers	F	1495
Central West	Managers	Farmers and farm managers	M	3977
Central West	Managers	Hospitality retail and service managers	F	1597
Central West	Managers	Hospitality retail and service managers	M	1664
Central West	Managers	Managers nfd	F	53
Central West	Managers	Managers nfd	M	98
Central West	Managers	Specialist managers	F	1204
Central West	Managers	Specialist managers	M	2325
Central West	Professionals	Arts and media professionals	F	185
Central West	Professionals	Arts and media professionals	M	158
Central West	Professionals	Business human resource and marketing professionals	F	1111
Central West	Professionals	Business human resource and marketing professionals	M	932
Central West	Professionals	Design engineering science and transport professionals	F	544
Central West	Professionals	Design engineering science and transport professionals	M	1177
Central West	Professionals	Education professionals	F	3319
Central West	Professionals	Education professionals	M	1098
Central West	Professionals	Health professionals	F	3124
Central West	Professionals	Health professionals	M	890
Central West	Professionals	Information and Communication Technology ICT professionals	F	58
Central West	Professionals	Information and Communication Technology ICT professionals	M	224
Central West	Professionals	Legal social and welfare professionals	F	729
Central West	Professionals	Legal social and welfare professionals	M	346
Central West	Professionals	Professionals nfd	F	79
Central West	Professionals	Professionals nfd	M	31
Central West	Sales workers	Sales assistants and salespersons	F	3711
Central West	Sales workers	Sales assistants and salespersons	M	1907
Central West	Sales workers	Sales representatives and agents	F	444
Central West	Sales workers	Sales representatives and agents	M	504
Central West	Sales workers	Sales support workers	F	767
Central West	Sales workers	Sales support workers	M	210
Central West	Sales workers	Sales workers nfd	F	5
Central West	Sales workers	Sales workers nfd	M	5
Central West	Technicians and trades workers	Automotive and engineering trades workers	F	55
Central West	Technicians and trades workers	Automotive and engineering trades workers	M	3615
Central West	Technicians and trades workers	Construction trades workers	F	28
Central West	Technicians and trades workers	Construction trades workers	M	1594
Central West	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	20
Central West	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	1477
Central West	Technicians and trades workers	Engineering ICT and science technicians	F	407
Central West	Technicians and trades workers	Engineering ICT and science technicians	M	1100
Central West	Technicians and trades workers	Food trades workers	F	558
Central West	Technicians and trades workers	Food trades workers	M	726
Central West	Technicians and trades workers	Other technicians and trades workers	F	569
Central West	Technicians and trades workers	Other technicians and trades workers	M	465
Central West	Technicians and trades workers	Skilled animal and horticultural workers	F	303
Central West	Technicians and trades workers	Skilled animal and horticultural workers	M	656
Central West	Technicians and trades workers	Technicians and trades workers nfd	M	108
Coffs Harbour - Grafton			F	337
Coffs Harbour - Grafton			M	473
Coffs Harbour - Grafton	Clerical and administrative workers	Clerical and administrative workers nfd	F	8
Coffs Harbour - Grafton	Clerical and administrative workers	Clerical and administrative workers nfd	M	3
Coffs Harbour - Grafton	Clerical and administrative workers	Clerical and office support workers	F	158
Coffs Harbour - Grafton	Clerical and administrative workers	Clerical and office support workers	M	177
Coffs Harbour - Grafton	Clerical and administrative workers	General clerical workers	F	1228
Coffs Harbour - Grafton	Clerical and administrative workers	General clerical workers	M	174
Coffs Harbour - Grafton	Clerical and administrative workers	Inquiry clerks and receptionists	F	1102
Coffs Harbour - Grafton	Clerical and administrative workers	Inquiry clerks and receptionists	M	137
Coffs Harbour - Grafton	Clerical and administrative workers	Numerical clerks	F	970
Coffs Harbour - Grafton	Clerical and administrative workers	Numerical clerks	M	155
Coffs Harbour - Grafton	Clerical and administrative workers	Office managers and program administrators	F	885
Coffs Harbour - Grafton	Clerical and administrative workers	Office managers and program administrators	M	217
Coffs Harbour - Grafton	Clerical and administrative workers	Other clerical and administrative workers	F	477
Coffs Harbour - Grafton	Clerical and administrative workers	Other clerical and administrative workers	M	309
Coffs Harbour - Grafton	Clerical and administrative workers	Personal assistants and secretaries	F	392
Coffs Harbour - Grafton	Clerical and administrative workers	Personal assistants and secretaries	M	13
Coffs Harbour - Grafton	Community and personal service workers	Carers and aides	F	2400
Coffs Harbour - Grafton	Community and personal service workers	Carers and aides	M	521
Coffs Harbour - Grafton	Community and personal service workers	Community and personal service workers nfd	M	4
Coffs Harbour - Grafton	Community and personal service workers	Health and welfare support workers	F	604
Coffs Harbour - Grafton	Community and personal service workers	Health and welfare support workers	M	291
Coffs Harbour - Grafton	Community and personal service workers	Hospitality workers	F	1086
Coffs Harbour - Grafton	Community and personal service workers	Hospitality workers	M	366
Coffs Harbour - Grafton	Community and personal service workers	Protective service workers	F	94
Coffs Harbour - Grafton	Community and personal service workers	Protective service workers	M	427
Coffs Harbour - Grafton	Community and personal service workers	Sports and personal service workers	F	449
Coffs Harbour - Grafton	Community and personal service workers	Sports and personal service workers	M	232
Coffs Harbour - Grafton	Labourers	Cleaners and laundry workers	F	914
Coffs Harbour - Grafton	Labourers	Cleaners and laundry workers	M	524
Coffs Harbour - Grafton	Labourers	Construction and mining labourers	F	11
Coffs Harbour - Grafton	Labourers	Construction and mining labourers	M	611
Coffs Harbour - Grafton	Labourers	Factory process workers	F	113
Coffs Harbour - Grafton	Labourers	Factory process workers	M	469
Coffs Harbour - Grafton	Labourers	Farm forestry and garden workers	F	362
Coffs Harbour - Grafton	Labourers	Farm forestry and garden workers	M	761
Coffs Harbour - Grafton	Labourers	Food preparation assistants	F	476
Coffs Harbour - Grafton	Labourers	Food preparation assistants	M	449
Coffs Harbour - Grafton	Labourers	Labourers nfd	F	8
Coffs Harbour - Grafton	Labourers	Labourers nfd	M	108
Coffs Harbour - Grafton	Labourers	Other labourers	F	182
Coffs Harbour - Grafton	Labourers	Other labourers	M	817
Coffs Harbour - Grafton	Machinery operators and drivers	Machine and stationary plant operators	F	61
Coffs Harbour - Grafton	Machinery operators and drivers	Machine and stationary plant operators	M	460
Coffs Harbour - Grafton	Machinery operators and drivers	Machinery operators and drivers nfd	M	55
Coffs Harbour - Grafton	Machinery operators and drivers	Mobile plant operators	F	14
Coffs Harbour - Grafton	Machinery operators and drivers	Mobile plant operators	M	506
Coffs Harbour - Grafton	Machinery operators and drivers	Road and rail drivers	F	83
Coffs Harbour - Grafton	Machinery operators and drivers	Road and rail drivers	M	1382
Coffs Harbour - Grafton	Machinery operators and drivers	Storepersons	F	27
Coffs Harbour - Grafton	Machinery operators and drivers	Storepersons	M	225
Coffs Harbour - Grafton	Managers	Chief executives general managers and legislators	F	68
Coffs Harbour - Grafton	Managers	Chief executives general managers and legislators	M	189
Coffs Harbour - Grafton	Managers	Farmers and farm managers	F	403
Coffs Harbour - Grafton	Managers	Farmers and farm managers	M	977
Coffs Harbour - Grafton	Managers	Hospitality retail and service managers	F	1145
Coffs Harbour - Grafton	Managers	Hospitality retail and service managers	M	1181
Coffs Harbour - Grafton	Managers	Managers nfd	F	29
Coffs Harbour - Grafton	Managers	Managers nfd	M	65
Coffs Harbour - Grafton	Managers	Specialist managers	F	695
Coffs Harbour - Grafton	Managers	Specialist managers	M	1244
Coffs Harbour - Grafton	Professionals	Arts and media professionals	F	117
Coffs Harbour - Grafton	Professionals	Arts and media professionals	M	115
Coffs Harbour - Grafton	Professionals	Business human resource and marketing professionals	F	634
Coffs Harbour - Grafton	Professionals	Business human resource and marketing professionals	M	594
Coffs Harbour - Grafton	Professionals	Design engineering science and transport professionals	F	269
Coffs Harbour - Grafton	Professionals	Design engineering science and transport professionals	M	694
Coffs Harbour - Grafton	Professionals	Education professionals	F	1840
Coffs Harbour - Grafton	Professionals	Education professionals	M	735
Coffs Harbour - Grafton	Professionals	Health professionals	F	2221
Coffs Harbour - Grafton	Professionals	Health professionals	M	738
Coffs Harbour - Grafton	Professionals	Information and Communication Technology ICT professionals	F	33
Coffs Harbour - Grafton	Professionals	Information and Communication Technology ICT professionals	M	187
Coffs Harbour - Grafton	Professionals	Legal social and welfare professionals	F	481
Coffs Harbour - Grafton	Professionals	Legal social and welfare professionals	M	273
Coffs Harbour - Grafton	Professionals	Professionals nfd	F	39
Coffs Harbour - Grafton	Professionals	Professionals nfd	M	29
Coffs Harbour - Grafton	Sales workers	Sales assistants and salespersons	F	2581
Coffs Harbour - Grafton	Sales workers	Sales assistants and salespersons	M	1388
Coffs Harbour - Grafton	Sales workers	Sales representatives and agents	F	362
Coffs Harbour - Grafton	Sales workers	Sales representatives and agents	M	367
Coffs Harbour - Grafton	Sales workers	Sales support workers	F	549
Coffs Harbour - Grafton	Sales workers	Sales support workers	M	166
Coffs Harbour - Grafton	Sales workers	Sales workers nfd	F	7
Coffs Harbour - Grafton	Sales workers	Sales workers nfd	M	4
Coffs Harbour - Grafton	Technicians and trades workers	Automotive and engineering trades workers	F	19
Coffs Harbour - Grafton	Technicians and trades workers	Automotive and engineering trades workers	M	1389
Coffs Harbour - Grafton	Technicians and trades workers	Construction trades workers	F	14
Coffs Harbour - Grafton	Technicians and trades workers	Construction trades workers	M	922
Coffs Harbour - Grafton	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	7
Coffs Harbour - Grafton	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	659
Coffs Harbour - Grafton	Technicians and trades workers	Engineering ICT and science technicians	F	249
Coffs Harbour - Grafton	Technicians and trades workers	Engineering ICT and science technicians	M	537
Coffs Harbour - Grafton	Technicians and trades workers	Food trades workers	F	305
Coffs Harbour - Grafton	Technicians and trades workers	Food trades workers	M	681
Coffs Harbour - Grafton	Technicians and trades workers	Other technicians and trades workers	F	385
Coffs Harbour - Grafton	Technicians and trades workers	Other technicians and trades workers	M	319
Coffs Harbour - Grafton	Technicians and trades workers	Skilled animal and horticultural workers	F	163
Coffs Harbour - Grafton	Technicians and trades workers	Skilled animal and horticultural workers	M	408
Coffs Harbour - Grafton	Technicians and trades workers	Technicians and trades workers nfd	F	3
Coffs Harbour - Grafton	Technicians and trades workers	Technicians and trades workers nfd	M	50
Far West and Orana			F	327
Far West and Orana			M	502
Far West and Orana	Clerical and administrative workers	Clerical and administrative workers nfd	F	7
Far West and Orana	Clerical and administrative workers	Clerical and administrative workers nfd	M	4
Far West and Orana	Clerical and administrative workers	Clerical and office support workers	F	122
Far West and Orana	Clerical and administrative workers	Clerical and office support workers	M	157
Far West and Orana	Clerical and administrative workers	General clerical workers	F	1121
Far West and Orana	Clerical and administrative workers	General clerical workers	M	118
Far West and Orana	Clerical and administrative workers	Inquiry clerks and receptionists	F	732
Far West and Orana	Clerical and administrative workers	Inquiry clerks and receptionists	M	66
Far West and Orana	Clerical and administrative workers	Numerical clerks	F	842
Far West and Orana	Clerical and administrative workers	Numerical clerks	M	141
Far West and Orana	Clerical and administrative workers	Office managers and program administrators	F	699
Far West and Orana	Clerical and administrative workers	Office managers and program administrators	M	146
Far West and Orana	Clerical and administrative workers	Other clerical and administrative workers	F	372
Far West and Orana	Clerical and administrative workers	Other clerical and administrative workers	M	281
Far West and Orana	Clerical and administrative workers	Personal assistants and secretaries	F	344
Far West and Orana	Clerical and administrative workers	Personal assistants and secretaries	M	5
Far West and Orana	Community and personal service workers	Carers and aides	F	2282
Far West and Orana	Community and personal service workers	Carers and aides	M	379
Far West and Orana	Community and personal service workers	Community and personal service workers nfd	F	5
Far West and Orana	Community and personal service workers	Community and personal service workers nfd	M	3
Far West and Orana	Community and personal service workers	Health and welfare support workers	F	728
Far West and Orana	Community and personal service workers	Health and welfare support workers	M	242
Far West and Orana	Community and personal service workers	Hospitality workers	F	764
Far West and Orana	Community and personal service workers	Hospitality workers	M	208
Far West and Orana	Community and personal service workers	Protective service workers	F	225
Far West and Orana	Community and personal service workers	Protective service workers	M	568
Far West and Orana	Community and personal service workers	Sports and personal service workers	F	267
Far West and Orana	Community and personal service workers	Sports and personal service workers	M	143
Far West and Orana	Labourers	Cleaners and laundry workers	F	928
Far West and Orana	Labourers	Cleaners and laundry workers	M	406
Far West and Orana	Labourers	Construction and mining labourers	F	29
Far West and Orana	Labourers	Construction and mining labourers	M	505
Far West and Orana	Labourers	Factory process workers	F	150
Far West and Orana	Labourers	Factory process workers	M	459
Far West and Orana	Labourers	Farm forestry and garden workers	F	221
Far West and Orana	Labourers	Farm forestry and garden workers	M	978
Far West and Orana	Labourers	Food preparation assistants	F	399
Far West and Orana	Labourers	Food preparation assistants	M	224
Far West and Orana	Labourers	Labourers nfd	F	24
Far West and Orana	Labourers	Labourers nfd	M	160
Far West and Orana	Labourers	Other labourers	F	147
Far West and Orana	Labourers	Other labourers	M	601
Far West and Orana	Machinery operators and drivers	Machine and stationary plant operators	F	97
Far West and Orana	Machinery operators and drivers	Machine and stationary plant operators	M	1117
Far West and Orana	Machinery operators and drivers	Machinery operators and drivers nfd	F	3
Far West and Orana	Machinery operators and drivers	Machinery operators and drivers nfd	M	81
Far West and Orana	Machinery operators and drivers	Mobile plant operators	F	29
Far West and Orana	Machinery operators and drivers	Mobile plant operators	M	581
Far West and Orana	Machinery operators and drivers	Road and rail drivers	F	99
Far West and Orana	Machinery operators and drivers	Road and rail drivers	M	1254
Far West and Orana	Machinery operators and drivers	Storepersons	F	35
Far West and Orana	Machinery operators and drivers	Storepersons	M	222
Far West and Orana	Managers	Chief executives general managers and legislators	F	97
Far West and Orana	Managers	Chief executives general managers and legislators	M	189
Far West and Orana	Managers	Farmers and farm managers	F	1074
Far West and Orana	Managers	Farmers and farm managers	M	2937
Far West and Orana	Managers	Hospitality retail and service managers	F	915
Far West and Orana	Managers	Hospitality retail and service managers	M	953
Far West and Orana	Managers	Managers nfd	F	31
Far West and Orana	Managers	Managers nfd	M	68
Far West and Orana	Managers	Specialist managers	F	660
Far West and Orana	Managers	Specialist managers	M	1078
