SA4_NAME16	Sex	workers
Adelaide - South	F	53655
Adelaide - South	M	45579
Adelaide - West	F	49463
Adelaide - West	M	72821
Barossa - Yorke - Mid North	F	19585
Barossa - Yorke - Mid North	M	21373
South Australia - Outback	F	16278
South Australia - Outback	M	20302
South Australia - South East	F	34084
South Australia - South East	M	36509
Migratory - Offshore - Shipping (SA)	F	3
Migratory - Offshore - Shipping (SA)	M	62
No usual address (SA)	F	9161
No usual address (SA)	M	25152
Bunbury	F	35298
Bunbury	M	35121
Mandurah	F	14970
Mandurah	M	11412
Perth - Inner	F	118955
Perth - Inner	M	108423
Perth - North East	F	40150
Perth - North East	M	48661
Perth - North West	F	83492
Perth - North West	M	77151
Perth - South East	F	86062
Perth - South East	M	109730
Perth - South West	F	74813
Perth - South West	M	76353
Western Australia - Wheat Belt	F	25723
Western Australia - Wheat Belt	M	30511
Western Australia - Outback (North)	F	21013
Western Australia - Outback (North)	M	53603
Western Australia - Outback (South)	F	24500
Western Australia - Outback (South)	M	34343
Migratory - Offshore - Shipping (WA)	F	99
Migratory - Offshore - Shipping (WA)	M	1495
No usual address (WA)	F	13312
No usual address (WA)	M	41065
Hobart	F	50786
Hobart	M	48574
Launceston and North East	F	27521
Launceston and North East	M	27611
South East	F	4228
South East	M	5039
West and North West	F	20905
West and North West	M	21511
Migratory - Offshore - Shipping (Tas.)	F	4
Migratory - Offshore - Shipping (Tas.)	M	53
No usual address (Tas.)	F	2349
No usual address (Tas.)	M	6784
Darwin	F	32357
Darwin	M	39765
Northern Territory - Outback	F	15663
Northern Territory - Outback	M	18194
Migratory - Offshore - Shipping (NT)	F	8
Migratory - Offshore - Shipping (NT)	M	85
No usual address (NT)	F	849
No usual address (NT)	M	2830
Australian Capital Territory	F	110801
Australian Capital Territory	M	109850
No usual address (ACT)	F	1683
No usual address (ACT)	M	5137
Other Territories	F	1145
Other Territories	M	1545
No usual address (OT)	F	32
No usual address (OT)	M	83
