SA4_NAME16	IncomeTotPersonal.max	PublicSector	LevelOfGovt	workers
Central Coast	15750	1	State territory	146
Central Coast	21000			89
Central Coast	21000	0		5177
Central Coast	21000	1	Local	32
Central Coast	21000	1	National	35
Central Coast	21000	1	State territory	203
Central Coast	26250			83
Central Coast	26250	0		6310
Central Coast	26250	1	Local	58
Central Coast	26250	1	National	34
Central Coast	26250	1	State territory	266
Central Coast	34125			91
Central Coast	34125	0		9903
Central Coast	34125	1	Local	97
Central Coast	34125	1	National	93
Central Coast	34125	1	State territory	645
Central Coast	42000			111
Central Coast	42000	0		11842
Central Coast	42000	1	Local	137
Central Coast	42000	1	National	96
Central Coast	42000	1	State territory	862
Central Coast	52500			97
Central Coast	52500	0		12665
Central Coast	52500	1	Local	286
Central Coast	52500	1	National	173
Central Coast	52500	1	State territory	1370
Central Coast	65625			112
Central Coast	65625	0		10828
Central Coast	65625	1	Local	499
Central Coast	65625	1	National	288
Central Coast	65625	1	State territory	1662
Central Coast	78750			34
Central Coast	78750	0		6240
Central Coast	78750	1	Local	296
Central Coast	78750	1	National	270
Central Coast	78750	1	State territory	1583
Central Coast	91875			46
Central Coast	91875	0		4731
Central Coast	91875	1	Local	248
Central Coast	91875	1	National	177
Central Coast	91875	1	State territory	1755
Central Coast	105000			31
Central Coast	105000	0		3005
Central Coast	105000	1	Local	140
Central Coast	105000	1	National	105
Central Coast	105000	1	State territory	1623
Central Coast	157500			24
Central Coast	157500	0		3839
Central Coast	157500	1	Local	102
Central Coast	157500	1	National	98
Central Coast	157500	1	State territory	1411
Central Coast	Inf			15
Central Coast	Inf	0		2098
Central Coast	Inf	1	Local	31
Central Coast	Inf	1	National	21
Central Coast	Inf	1	State territory	313
Central West				227
Central West		0		1145
Central West		1	Local	21
Central West		1	National	23
Central West		1	State territory	63
Central West	0			51
Central West	0	0		849
Central West	0	1	Local	3
Central West	0	1	National	15
Central West	0	1	State territory	9
Central West	7875			56
Central West	7875	0		2841
Central West	7875	1	Local	17
Central West	7875	1	National	21
Central West	7875	1	State territory	52
Central West	15750			76
Central West	15750	0		3139
Central West	15750	1	Local	23
Central West	15750	1	National	68
Central West	15750	1	State territory	118
Central West	21000			100
Central West	21000	0		3725
Central West	21000	1	Local	38
Central West	21000	1	National	44
Central West	21000	1	State territory	145
Central West	26250			88
Central West	26250	0		4616
Central West	26250	1	Local	51
Central West	26250	1	National	60
Central West	26250	1	State territory	234
Central West	34125			94
Central West	34125	0		7259
Central West	34125	1	Local	129
Central West	34125	1	National	123
Central West	34125	1	State territory	442
Central West	42000			96
Central West	42000	0		8693
Central West	42000	1	Local	230
Central West	42000	1	National	142
Central West	42000	1	State territory	651
Central West	52500			73
Central West	52500	0		8996
Central West	52500	1	Local	503
Central West	52500	1	National	176
Central West	52500	1	State territory	967
Central West	65625			50
Central West	65625	0		8017
Central West	65625	1	Local	532
Central West	65625	1	National	278
Central West	65625	1	State territory	1376
Central West	78750			36
Central West	78750	0		5026
Central West	78750	1	Local	327
Central West	78750	1	National	249
Central West	78750	1	State territory	1285
Central West	91875			25
Central West	91875	0		4203
Central West	91875	1	Local	254
Central West	91875	1	National	207
Central West	91875	1	State territory	1354
Central West	105000			16
Central West	105000	0		2891
Central West	105000	1	Local	158
Central West	105000	1	National	171
Central West	105000	1	State territory	1319
Central West	157500			19
Central West	157500	0		4555
Central West	157500	1	Local	130
Central West	157500	1	National	209
Central West	157500	1	State territory	1402
Central West	Inf			21
Central West	Inf	0		2207
Central West	Inf	1	Local	62
Central West	Inf	1	National	51
Central West	Inf	1	State territory	272
Coffs Harbour - Grafton				108
Coffs Harbour - Grafton		0		574
Coffs Harbour - Grafton		1	Local	16
Coffs Harbour - Grafton		1	National	6
Coffs Harbour - Grafton		1	State territory	56
Coffs Harbour - Grafton	0			35
