SA4_NAME16	CountryOfBirth	EmploymentStatus	workers
Capital Region	IND	Status in employment not stated	5
Capital Region	IDN	Employee	35
Capital Region	IDN	Owner managers of unincorporated enterprises	7
Capital Region	IRN	Employee	31
Capital Region	IRN	Owner managers of incorporated enterprises	3
Capital Region	IRN	Owner managers of unincorporated enterprises	3
Capital Region	IRQ	Employee	19
Capital Region	IRQ	Owner managers of incorporated enterprises	3
Capital Region	IRQ	Owner managers of unincorporated enterprises	5
Capital Region	IRL	Contributing family workers	3
Capital Region	IRL	Employee	90
Capital Region	IRL	Owner managers of incorporated enterprises	16
Capital Region	IRL	Owner managers of unincorporated enterprises	25
Capital Region	IRL	Status in employment not stated	3
Capital Region	ITA	Contributing family workers	6
Capital Region	ITA	Employee	70
Capital Region	ITA	Owner managers of incorporated enterprises	23
Capital Region	ITA	Owner managers of unincorporated enterprises	26
Capital Region	JPN	Employee	28
Capital Region	JPN	Owner managers of incorporated enterprises	3
Capital Region	JPN	Owner managers of unincorporated enterprises	7
Capital Region	LBN	Contributing family workers	4
Capital Region	LBN	Employee	24
Capital Region	LBN	Owner managers of incorporated enterprises	5
Capital Region	LBN	Owner managers of unincorporated enterprises	16
Capital Region	MYS	Contributing family workers	4
Capital Region	MYS	Employee	78
Capital Region	MYS	Owner managers of incorporated enterprises	11
Capital Region	MYS	Owner managers of unincorporated enterprises	22
Capital Region	MLT	Contributing family workers	9
Capital Region	MLT	Employee	17
Capital Region	MLT	Owner managers of unincorporated enterprises	8
Capital Region	NLD	Contributing family workers	10
Capital Region	NLD	Employee	107
Capital Region	NLD	Owner managers of incorporated enterprises	15
Capital Region	NLD	Owner managers of unincorporated enterprises	30
Capital Region	NLD	Status in employment not stated	6
Capital Region	NZL	Contributing family workers	27
Capital Region	NZL	Employee	868
Capital Region	NZL	Owner managers of incorporated enterprises	79
Capital Region	NZL	Owner managers of unincorporated enterprises	119
Capital Region	NZL	Status in employment not stated	9
Capital Region	PAK	Employee	68
Capital Region	PAK	Owner managers of incorporated enterprises	6
Capital Region	PAK	Owner managers of unincorporated enterprises	7
Capital Region	PHL	Contributing family workers	14
Capital Region	PHL	Employee	339
Capital Region	PHL	Owner managers of incorporated enterprises	6
Capital Region	PHL	Owner managers of unincorporated enterprises	14
Capital Region	PHL	Status in employment not stated	11
Capital Region	POL	Employee	53
Capital Region	POL	Owner managers of incorporated enterprises	3
Capital Region	POL	Owner managers of unincorporated enterprises	11
Capital Region	POL	Status in employment not stated	3
Capital Region	SGP	Contributing family workers	3
Capital Region	SGP	Employee	36
Capital Region	SGP	Owner managers of incorporated enterprises	4
Capital Region	SGP	Owner managers of unincorporated enterprises	4
Capital Region	ZAF	Contributing family workers	9
Capital Region	ZAF	Employee	176
Capital Region	ZAF	Owner managers of incorporated enterprises	32
Capital Region	ZAF	Owner managers of unincorporated enterprises	22
Capital Region	ZAF	Status in employment not stated	3
Capital Region	KOR	Employee	105
Capital Region	KOR	Owner managers of incorporated enterprises	15
Capital Region	KOR	Owner managers of unincorporated enterprises	10
Capital Region	LKA	Employee	99
Capital Region	LKA	Owner managers of incorporated enterprises	8
Capital Region	LKA	Owner managers of unincorporated enterprises	6
Capital Region	THA	Contributing family workers	3
Capital Region	THA	Employee	97
Capital Region	THA	Owner managers of incorporated enterprises	12
Capital Region	THA	Owner managers of unincorporated enterprises	16
Capital Region	THA	Status in employment not stated	3
Capital Region	TUR	Contributing family workers	5
Capital Region	TUR	Employee	16
Capital Region	TUR	Owner managers of incorporated enterprises	3
Capital Region	GBR	Contributing family workers	112
Capital Region	GBR	Employee	1777
Capital Region	GBR	Owner managers of incorporated enterprises	202
Capital Region	GBR	Owner managers of unincorporated enterprises	389
Capital Region	GBR	Status in employment not stated	32
Capital Region	USA	Contributing family workers	13
Capital Region	USA	Employee	204
Capital Region	USA	Owner managers of incorporated enterprises	21
Capital Region	USA	Owner managers of unincorporated enterprises	40
Capital Region	USA	Status in employment not stated	3
Capital Region	VNM	Contributing family workers	6
Capital Region	VNM	Employee	75
Capital Region	VNM	Owner managers of incorporated enterprises	9
Capital Region	VNM	Owner managers of unincorporated enterprises	32
Capital Region	ZWE	Contributing family workers	3
Capital Region	ZWE	Employee	62
Capital Region	ZWE	Owner managers of unincorporated enterprises	8
Central Coast		Contributing family workers	102
Central Coast		Employee	2770
Central Coast		Owner managers of incorporated enterprises	323
Central Coast		Owner managers of unincorporated enterprises	385
Central Coast		Status in employment not stated	94
Central Coast	AUS	Contributing family workers	1081
Central Coast	AUS	Employee	72157
Central Coast	AUS	Owner managers of incorporated enterprises	5482
Central Coast	AUS	Owner managers of unincorporated enterprises	6780
Central Coast	AUS	Status in employment not stated	864
Central Coast	CAN	Contributing family workers	3
Central Coast	CAN	Employee	189
Central Coast	CAN	Owner managers of incorporated enterprises	26
Central Coast	CAN	Owner managers of unincorporated enterprises	28
Central Coast	CAN	Status in employment not stated	3
Central Coast	CHN	Contributing family workers	30
Central Coast	CHN	Employee	368
Central Coast	CHN	Owner managers of incorporated enterprises	113
Central Coast	CHN	Owner managers of unincorporated enterprises	102
Central Coast	CHN	Status in employment not stated	6
Central Coast	HRV	Employee	46
Central Coast	HRV	Owner managers of incorporated enterprises	8
Central Coast	HRV	Owner managers of unincorporated enterprises	4
Central Coast	EGY	Contributing family workers	4
Central Coast	EGY	Employee	63
Central Coast	EGY	Owner managers of incorporated enterprises	17
Central Coast	EGY	Owner managers of unincorporated enterprises	9
Central Coast	FJI	Contributing family workers	3
Central Coast	FJI	Employee	144
Central Coast	FJI	Owner managers of incorporated enterprises	13
Central Coast	FJI	Owner managers of unincorporated enterprises	11
Central Coast	MKD	Contributing family workers	3
Central Coast	MKD	Employee	11
Central Coast	DEU	Contributing family workers	8
Central Coast	DEU	Employee	167
Central Coast	DEU	Owner managers of incorporated enterprises	27
Central Coast	DEU	Owner managers of unincorporated enterprises	51
Central Coast	DEU	Status in employment not stated	4
Central Coast	GRC	Contributing family workers	3
Central Coast	GRC	Employee	28
Central Coast	GRC	Owner managers of incorporated enterprises	6
Central Coast	GRC	Owner managers of unincorporated enterprises	10
Central Coast	HKG	Contributing family workers	5
Central Coast	HKG	Employee	98
Central Coast	HKG	Owner managers of incorporated enterprises	12
Central Coast	HKG	Owner managers of unincorporated enterprises	17
Central Coast	IND	Contributing family workers	13
Central Coast	IND	Employee	684
Central Coast	IND	Owner managers of incorporated enterprises	97
Central Coast	IND	Owner managers of unincorporated enterprises	39
Central Coast	IND	Status in employment not stated	14
Central Coast	IDN	Contributing family workers	3
Central Coast	IDN	Employee	127
Central Coast	IDN	Owner managers of incorporated enterprises	9
Central Coast	IDN	Owner managers of unincorporated enterprises	13
Central Coast	IRN	Employee	47
Central Coast	IRN	Owner managers of incorporated enterprises	6
Central Coast	IRN	Owner managers of unincorporated enterprises	9
Central Coast	IRQ	Employee	22
Central Coast	IRQ	Owner managers of incorporated enterprises	7
Central Coast	IRQ	Owner managers of unincorporated enterprises	3
Central Coast	IRL	Contributing family workers	9
Central Coast	IRL	Employee	245
Central Coast	IRL	Owner managers of incorporated enterprises	30
Central Coast	IRL	Owner managers of unincorporated enterprises	37
Central Coast	IRL	Status in employment not stated	3
Central Coast	ITA	Contributing family workers	13
Central Coast	ITA	Employee	92
Central Coast	ITA	Owner managers of incorporated enterprises	30
Central Coast	ITA	Owner managers of unincorporated enterprises	28
Central Coast	ITA	Status in employment not stated	3
Central Coast	JPN	Employee	79
Central Coast	JPN	Owner managers of incorporated enterprises	3
Central Coast	JPN	Owner managers of unincorporated enterprises	12
Central Coast	LBN	Contributing family workers	3
Central Coast	LBN	Employee	41
Central Coast	LBN	Owner managers of incorporated enterprises	18
Central Coast	LBN	Owner managers of unincorporated enterprises	20
Central Coast	LBN	Status in employment not stated	3
Central Coast	MYS	Contributing family workers	4
Central Coast	MYS	Employee	174
Central Coast	MYS	Owner managers of incorporated enterprises	27
Central Coast	MYS	Owner managers of unincorporated enterprises	33
Central Coast	MLT	Contributing family workers	6
Central Coast	MLT	Employee	62
Central Coast	MLT	Owner managers of incorporated enterprises	14
Central Coast	MLT	Owner managers of unincorporated enterprises	13
Central Coast	NLD	Contributing family workers	6
Central Coast	NLD	Employee	127
Central Coast	NLD	Owner managers of incorporated enterprises	20
Central Coast	NLD	Owner managers of unincorporated enterprises	30
Central Coast	NZL	Contributing family workers	46
Central Coast	NZL	Employee	1823
Central Coast	NZL	Owner managers of incorporated enterprises	224
Central Coast	NZL	Owner managers of unincorporated enterprises	209
Central Coast	NZL	Status in employment not stated	19
Central Coast	PAK	Contributing family workers	3
Central Coast	PAK	Employee	61
Central Coast	PAK	Owner managers of unincorporated enterprises	3
Central Coast	PAK	Status in employment not stated	3
Central Coast	PHL	Contributing family workers	9
Central Coast	PHL	Employee	639
Central Coast	PHL	Owner managers of incorporated enterprises	37
Central Coast	PHL	Owner managers of unincorporated enterprises	19
Central Coast	PHL	Status in employment not stated	9
Central Coast	POL	Employee	66
Central Coast	POL	Owner managers of incorporated enterprises	8
Central Coast	POL	Owner managers of unincorporated enterprises	18
Central Coast	SGP	Employee	43
Central Coast	SGP	Owner managers of incorporated enterprises	9
Central Coast	SGP	Owner managers of unincorporated enterprises	10
Central Coast	SGP	Status in employment not stated	3
Central Coast	ZAF	Contributing family workers	10
Central Coast	ZAF	Employee	452
Central Coast	ZAF	Owner managers of incorporated enterprises	68
Central Coast	ZAF	Owner managers of unincorporated enterprises	101
Central Coast	ZAF	Status in employment not stated	5
Central Coast	KOR	Contributing family workers	11
Central Coast	KOR	Employee	170
Central Coast	KOR	Owner managers of incorporated enterprises	33
Central Coast	KOR	Owner managers of unincorporated enterprises	31
Central Coast	KOR	Status in employment not stated	3
Central Coast	LKA	Employee	103
Central Coast	LKA	Owner managers of incorporated enterprises	17
Central Coast	LKA	Owner managers of unincorporated enterprises	10
Central Coast	THA	Contributing family workers	14
Central Coast	THA	Employee	234
Central Coast	THA	Owner managers of incorporated enterprises	24
Central Coast	THA	Owner managers of unincorporated enterprises	32
Central Coast	THA	Status in employment not stated	4
Central Coast	TUR	Employee	16
Central Coast	TUR	Owner managers of incorporated enterprises	3
Central Coast	TUR	Owner managers of unincorporated enterprises	9
Central Coast	GBR	Contributing family workers	93
Central Coast	GBR	Employee	4091
Central Coast	GBR	Owner managers of incorporated enterprises	519
Central Coast	GBR	Owner managers of unincorporated enterprises	620
Central Coast	GBR	Status in employment not stated	53
Central Coast	USA	Contributing family workers	7
Central Coast	USA	Employee	299
Central Coast	USA	Owner managers of incorporated enterprises	32
Central Coast	USA	Owner managers of unincorporated enterprises	36
Central Coast	USA	Status in employment not stated	5
Central Coast	VNM	Contributing family workers	4
Central Coast	VNM	Employee	134
Central Coast	VNM	Owner managers of incorporated enterprises	17
Central Coast	VNM	Owner managers of unincorporated enterprises	36
Central Coast	VNM	Status in employment not stated	3
Central Coast	ZWE	Employee	110
Central Coast	ZWE	Owner managers of incorporated enterprises	8
Central Coast	ZWE	Owner managers of unincorporated enterprises	4
Central West		Contributing family workers	141
Central West		Employee	1960
Central West		Owner managers of incorporated enterprises	177
Central West		Owner managers of unincorporated enterprises	318
Central West		Status in employment not stated	111
Central West	AUS	Contributing family workers	2633
Central West	AUS	Employee	58965
Central West	AUS	Owner managers of incorporated enterprises	4032
Central West	AUS	Owner managers of unincorporated enterprises	7459
Central West	AUS	Status in employment not stated	1019
Central West	CAN	Employee	101
Central West	CAN	Owner managers of incorporated enterprises	3
Central West	CAN	Owner managers of unincorporated enterprises	6
Central West	CAN	Status in employment not stated	3
Central West	CHN	Contributing family workers	24
Central West	CHN	Employee	155
Central West	CHN	Owner managers of incorporated enterprises	17
Central West	CHN	Owner managers of unincorporated enterprises	63
Central West	CHN	Status in employment not stated	3
Central West	HRV	Employee	22
Central West	HRV	Owner managers of incorporated enterprises	4
Central West	HRV	Owner managers of unincorporated enterprises	3
Central West	EGY	Employee	16
Central West	EGY	Owner managers of incorporated enterprises	3
Central West	EGY	Owner managers of unincorporated enterprises	9
Central West	FJI	Employee	76
Central West	FJI	Owner managers of incorporated enterprises	3
Central West	FJI	Owner managers of unincorporated enterprises	9
Central West	FJI	Status in employment not stated	5
Central West	MKD	Employee	8
Central West	DEU	Contributing family workers	11
Central West	DEU	Employee	103
Central West	DEU	Owner managers of incorporated enterprises	10
Central West	DEU	Owner managers of unincorporated enterprises	23
Central West	DEU	Status in employment not stated	4
Central West	GRC	Contributing family workers	4
Central West	GRC	Employee	5
Central West	GRC	Owner managers of unincorporated enterprises	11
Central West	HKG	Employee	33
Central West	HKG	Owner managers of incorporated enterprises	3
Central West	HKG	Owner managers of unincorporated enterprises	19
Central West	IND	Contributing family workers	3
Central West	IND	Employee	475
Central West	IND	Owner managers of incorporated enterprises	47
Central West	IND	Owner managers of unincorporated enterprises	22
Central West	IND	Status in employment not stated	8
Central West	IDN	Employee	27
Central West	IDN	Owner managers of unincorporated enterprises	3
Central West	IRN	Employee	30
Central West	IRN	Owner managers of incorporated enterprises	5
Central West	IRN	Owner managers of unincorporated enterprises	3
Central West	IRQ	Employee	7
Central West	IRQ	Owner managers of incorporated enterprises	16
Central West	IRL	Contributing family workers	3
Central West	IRL	Employee	106
Central West	IRL	Owner managers of incorporated enterprises	13
Central West	IRL	Owner managers of unincorporated enterprises	8
Central West	ITA	Contributing family workers	8
Central West	ITA	Employee	51
Central West	ITA	Owner managers of incorporated enterprises	10
Central West	ITA	Owner managers of unincorporated enterprises	18
Central West	ITA	Status in employment not stated	6
Central West	JPN	Employee	23
Central West	JPN	Owner managers of incorporated enterprises	3
Central West	JPN	Owner managers of unincorporated enterprises	4
Central West	LBN	Contributing family workers	3
Central West	LBN	Employee	13
Central West	LBN	Owner managers of unincorporated enterprises	6
Central West	LBN	Status in employment not stated	3
Central West	MYS	Contributing family workers	4
Central West	MYS	Employee	74
Central West	MYS	Owner managers of incorporated enterprises	4
Central West	MYS	Owner managers of unincorporated enterprises	10
Central West	MLT	Contributing family workers	6
Central West	MLT	Employee	17
Central West	MLT	Owner managers of unincorporated enterprises	7
Central West	NLD	Contributing family workers	10
Central West	NLD	Employee	62
Central West	NLD	Owner managers of incorporated enterprises	10
Central West	NLD	Owner managers of unincorporated enterprises	25
Central West	NLD	Status in employment not stated	3
Central West	NZL	Contributing family workers	33
Central West	NZL	Employee	815
Central West	NZL	Owner managers of incorporated enterprises	54
Central West	NZL	Owner managers of unincorporated enterprises	97
Central West	NZL	Status in employment not stated	14
Central West	PAK	Employee	33
Central West	PAK	Owner managers of incorporated enterprises	6
Central West	PAK	Owner managers of unincorporated enterprises	3
Central West	PHL	Contributing family workers	5
Central West	PHL	Employee	385
Central West	PHL	Owner managers of incorporated enterprises	13
Central West	PHL	Owner managers of unincorporated enterprises	7
Central West	PHL	Status in employment not stated	8
Central West	POL	Contributing family workers	3
Central West	POL	Employee	21
Central West	POL	Owner managers of unincorporated enterprises	9
Central West	POL	Status in employment not stated	3
Central West	SGP	Employee	32
Central West	SGP	Owner managers of unincorporated enterprises	4
Central West	ZAF	Contributing family workers	9
Central West	ZAF	Employee	236
Central West	ZAF	Owner managers of incorporated enterprises	26
Central West	ZAF	Owner managers of unincorporated enterprises	31
Central West	ZAF	Status in employment not stated	5
Central West	KOR	Contributing family workers	3
Central West	KOR	Employee	71
Central West	KOR	Owner managers of incorporated enterprises	5
Central West	KOR	Owner managers of unincorporated enterprises	3
Central West	LKA	Contributing family workers	3
Central West	LKA	Employee	83
Central West	LKA	Owner managers of incorporated enterprises	10
Central West	LKA	Owner managers of unincorporated enterprises	9
Central West	THA	Contributing family workers	8
Central West	THA	Employee	88
Central West	THA	Owner managers of incorporated enterprises	13
Central West	THA	Owner managers of unincorporated enterprises	9
Central West	THA	Status in employment not stated	3
Central West	TUR	Employee	14
Central West	TUR	Owner managers of unincorporated enterprises	3
Central West	GBR	Contributing family workers	78
Central West	GBR	Employee	1415
Central West	GBR	Owner managers of incorporated enterprises	114
Central West	GBR	Owner managers of unincorporated enterprises	216
Central West	GBR	Status in employment not stated	23
Central West	USA	Contributing family workers	12
Central West	USA	Employee	146
Central West	USA	Owner managers of incorporated enterprises	8
Central West	USA	Owner managers of unincorporated enterprises	18
Central West	USA	Status in employment not stated	4
Central West	VNM	Contributing family workers	13
Central West	VNM	Employee	66
Central West	VNM	Owner managers of incorporated enterprises	13
Central West	VNM	Owner managers of unincorporated enterprises	20
Central West	ZWE	Employee	106
Central West	ZWE	Owner managers of incorporated enterprises	3
Central West	ZWE	Owner managers of unincorporated enterprises	3
Coffs Harbour - Grafton		Contributing family workers	54
Coffs Harbour - Grafton		Employee	1559
Coffs Harbour - Grafton		Owner managers of incorporated enterprises	100
Coffs Harbour - Grafton		Owner managers of unincorporated enterprises	238
Coffs Harbour - Grafton		Status in employment not stated	62
Coffs Harbour - Grafton	AUS	Contributing family workers	1016
Coffs Harbour - Grafton	AUS	Employee	33550
Coffs Harbour - Grafton	AUS	Owner managers of incorporated enterprises	2279
Coffs Harbour - Grafton	AUS	Owner managers of unincorporated enterprises	4206
Coffs Harbour - Grafton	AUS	Status in employment not stated	542
Coffs Harbour - Grafton	CAN	Contributing family workers	3
Coffs Harbour - Grafton	CAN	Employee	89
Coffs Harbour - Grafton	CAN	Owner managers of incorporated enterprises	8
Coffs Harbour - Grafton	CAN	Owner managers of unincorporated enterprises	11
Coffs Harbour - Grafton	CAN	Status in employment not stated	3
Coffs Harbour - Grafton	CHN	Contributing family workers	3
Coffs Harbour - Grafton	CHN	Employee	67
Coffs Harbour - Grafton	CHN	Owner managers of incorporated enterprises	18
Coffs Harbour - Grafton	CHN	Owner managers of unincorporated enterprises	18
Coffs Harbour - Grafton	HRV	Employee	3
Coffs Harbour - Grafton	EGY	Employee	10
Coffs Harbour - Grafton	EGY	Owner managers of incorporated enterprises	5
Coffs Harbour - Grafton	EGY	Owner managers of unincorporated enterprises	5
Coffs Harbour - Grafton	FJI	Employee	40
Coffs Harbour - Grafton	FJI	Owner managers of incorporated enterprises	12
Coffs Harbour - Grafton	FJI	Owner managers of unincorporated enterprises	4
Coffs Harbour - Grafton	DEU	Contributing family workers	10
Coffs Harbour - Grafton	DEU	Employee	121
Coffs Harbour - Grafton	DEU	Owner managers of incorporated enterprises	20
Coffs Harbour - Grafton	DEU	Owner managers of unincorporated enterprises	32
Coffs Harbour - Grafton	DEU	Status in employment not stated	6
Coffs Harbour - Grafton	GRC	Employee	9
Coffs Harbour - Grafton	GRC	Owner managers of unincorporated enterprises	4
Coffs Harbour - Grafton	HKG	Employee	34
Coffs Harbour - Grafton	HKG	Owner managers of incorporated enterprises	13
Coffs Harbour - Grafton	HKG	Owner managers of unincorporated enterprises	15
Coffs Harbour - Grafton	IND	Contributing family workers	79
Coffs Harbour - Grafton	IND	Employee	461
Coffs Harbour - Grafton	IND	Owner managers of incorporated enterprises	54
Coffs Harbour - Grafton	IND	Owner managers of unincorporated enterprises	97
Coffs Harbour - Grafton	IND	Status in employment not stated	7
Coffs Harbour - Grafton	IDN	Contributing family workers	3
Coffs Harbour - Grafton	IDN	Employee	21
Coffs Harbour - Grafton	IDN	Owner managers of unincorporated enterprises	3
Coffs Harbour - Grafton	IRN	Employee	7
Coffs Harbour - Grafton	IRQ	Employee	5
Coffs Harbour - Grafton	IRQ	Owner managers of unincorporated enterprises	3
Coffs Harbour - Grafton	IRL	Employee	85
Coffs Harbour - Grafton	IRL	Owner managers of incorporated enterprises	8
Coffs Harbour - Grafton	IRL	Owner managers of unincorporated enterprises	12
Coffs Harbour - Grafton	IRL	Status in employment not stated	3
Coffs Harbour - Grafton	ITA	Employee	34
Coffs Harbour - Grafton	ITA	Owner managers of incorporated enterprises	3
Coffs Harbour - Grafton	ITA	Owner managers of unincorporated enterprises	10
Coffs Harbour - Grafton	JPN	Employee	34
Coffs Harbour - Grafton	JPN	Owner managers of unincorporated enterprises	4
Coffs Harbour - Grafton	LBN	Employee	8
Coffs Harbour - Grafton	MYS	Contributing family workers	3
Coffs Harbour - Grafton	MYS	Employee	54
Coffs Harbour - Grafton	MYS	Owner managers of incorporated enterprises	5
Coffs Harbour - Grafton	MYS	Owner managers of unincorporated enterprises	11
Coffs Harbour - Grafton	MLT	Contributing family workers	4
Coffs Harbour - Grafton	MLT	Employee	5
Coffs Harbour - Grafton	MLT	Owner managers of unincorporated enterprises	3
Coffs Harbour - Grafton	NLD	Contributing family workers	7
Coffs Harbour - Grafton	NLD	Employee	87
Coffs Harbour - Grafton	NLD	Owner managers of incorporated enterprises	7
Coffs Harbour - Grafton	NLD	Owner managers of unincorporated enterprises	11
Coffs Harbour - Grafton	NZL	Contributing family workers	13
Coffs Harbour - Grafton	NZL	Employee	604
Coffs Harbour - Grafton	NZL	Owner managers of incorporated enterprises	55
Coffs Harbour - Grafton	NZL	Owner managers of unincorporated enterprises	119
Coffs Harbour - Grafton	NZL	Status in employment not stated	12
Coffs Harbour - Grafton	PAK	Employee	16
Coffs Harbour - Grafton	PAK	Owner managers of unincorporated enterprises	4
Coffs Harbour - Grafton	PHL	Contributing family workers	3
Coffs Harbour - Grafton	PHL	Employee	190
Coffs Harbour - Grafton	PHL	Owner managers of incorporated enterprises	10
Coffs Harbour - Grafton	PHL	Owner managers of unincorporated enterprises	16
Coffs Harbour - Grafton	PHL	Status in employment not stated	6
Coffs Harbour - Grafton	POL	Employee	17
Coffs Harbour - Grafton	POL	Owner managers of incorporated enterprises	5
Coffs Harbour - Grafton	POL	Owner managers of unincorporated enterprises	3
Coffs Harbour - Grafton	SGP	Employee	13
Coffs Harbour - Grafton	SGP	Owner managers of unincorporated enterprises	3
Coffs Harbour - Grafton	ZAF	Contributing family workers	10
Coffs Harbour - Grafton	ZAF	Employee	176
Coffs Harbour - Grafton	ZAF	Owner managers of incorporated enterprises	31
Coffs Harbour - Grafton	ZAF	Owner managers of unincorporated enterprises	28
Coffs Harbour - Grafton	KOR	Contributing family workers	3
Coffs Harbour - Grafton	KOR	Employee	31
Coffs Harbour - Grafton	KOR	Owner managers of incorporated enterprises	3
Coffs Harbour - Grafton	LKA	Employee	21
Coffs Harbour - Grafton	THA	Contributing family workers	4
Coffs Harbour - Grafton	THA	Employee	53
Coffs Harbour - Grafton	THA	Owner managers of unincorporated enterprises	15
Coffs Harbour - Grafton	THA	Status in employment not stated	5
Coffs Harbour - Grafton	TUR	Employee	7
Coffs Harbour - Grafton	TUR	Owner managers of unincorporated enterprises	3
Coffs Harbour - Grafton	GBR	Contributing family workers	55
Coffs Harbour - Grafton	GBR	Employee	1311
Coffs Harbour - Grafton	GBR	Owner managers of incorporated enterprises	130
Coffs Harbour - Grafton	GBR	Owner managers of unincorporated enterprises	236
Coffs Harbour - Grafton	GBR	Status in employment not stated	23
Coffs Harbour - Grafton	USA	Employee	133
Coffs Harbour - Grafton	USA	Owner managers of incorporated enterprises	9
Coffs Harbour - Grafton	USA	Owner managers of unincorporated enterprises	24
Coffs Harbour - Grafton	VNM	Contributing family workers	3
Coffs Harbour - Grafton	VNM	Employee	32
Coffs Harbour - Grafton	VNM	Owner managers of incorporated enterprises	3
Coffs Harbour - Grafton	VNM	Owner managers of unincorporated enterprises	13
Coffs Harbour - Grafton	VNM	Status in employment not stated	3
Coffs Harbour - Grafton	ZWE	Employee	41
Coffs Harbour - Grafton	ZWE	Owner managers of incorporated enterprises	7
Coffs Harbour - Grafton	ZWE	Owner managers of unincorporated enterprises	4
Far West and Orana		Contributing family workers	90
Far West and Orana		Employee	1348
Far West and Orana		Owner managers of incorporated enterprises	90
Far West and Orana		Owner managers of unincorporated enterprises	177
Far West and Orana		Status in employment not stated	87
Far West and Orana	AUS	Contributing family workers	1837
Far West and Orana	AUS	Employee	32086
Far West and Orana	AUS	Owner managers of incorporated enterprises	2126
Far West and Orana	AUS	Owner managers of unincorporated enterprises	4328
Far West and Orana	AUS	Status in employment not stated	664
Far West and Orana	CAN	Employee	34
Far West and Orana	CAN	Owner managers of incorporated enterprises	3
Far West and Orana	CHN	Contributing family workers	9
Far West and Orana	CHN	Employee	97
Far West and Orana	CHN	Owner managers of incorporated enterprises	16
Far West and Orana	CHN	Owner managers of unincorporated enterprises	29
Far West and Orana	HRV	Employee	8
Far West and Orana	EGY	Employee	20
Far West and Orana	EGY	Owner managers of incorporated enterprises	4
Far West and Orana	FJI	Employee	49
Far West and Orana	FJI	Owner managers of unincorporated enterprises	3
Far West and Orana	MKD	Employee	3
Far West and Orana	DEU	Contributing family workers	7
Far West and Orana	DEU	Employee	70
Far West and Orana	DEU	Owner managers of incorporated enterprises	10
Far West and Orana	DEU	Owner managers of unincorporated enterprises	24
Far West and Orana	DEU	Status in employment not stated	3
Far West and Orana	GRC	Employee	9
Far West and Orana	GRC	Owner managers of unincorporated enterprises	6
Far West and Orana	HKG	Employee	15
Far West and Orana	HKG	Owner managers of incorporated enterprises	4
Far West and Orana	HKG	Owner managers of unincorporated enterprises	9
Far West and Orana	IND	Employee	334
Far West and Orana	IND	Owner managers of incorporated enterprises	20
Far West and Orana	IND	Owner managers of unincorporated enterprises	6
Far West and Orana	IND	Status in employment not stated	11
Far West and Orana	IDN	Employee	22
Far West and Orana	IRN	Employee	22
Far West and Orana	IRN	Owner managers of incorporated enterprises	3
Far West and Orana	IRQ	Employee	5
Far West and Orana	IRL	Contributing family workers	3
Far West and Orana	IRL	Employee	52
Far West and Orana	IRL	Owner managers of unincorporated enterprises	9
Far West and Orana	IRL	Status in employment not stated	3
Far West and Orana	ITA	Employee	11
