SA4_NAME16	YearOfArrival.max	workers_born_overseas
Richmond - Tweed	2005	1326
Richmond - Tweed	2010	1794
Richmond - Tweed	2015	1457
Richmond - Tweed	2016	120
Richmond - Tweed		460
Riverina	1991	2108
Riverina	1995	380
Riverina	2000	634
Riverina	2005	798
Riverina	2010	1562
Riverina	2015	1940
Riverina	2016	178
Riverina		332
Southern Highlands and Shoalhaven	1991	3811
Southern Highlands and Shoalhaven	1995	406
Southern Highlands and Shoalhaven	2000	537
Southern Highlands and Shoalhaven	2005	629
Southern Highlands and Shoalhaven	2010	932
Southern Highlands and Shoalhaven	2015	699
Southern Highlands and Shoalhaven	2016	43
Southern Highlands and Shoalhaven		241
Sydney - Baulkham Hills and Hawkesbury	1991	9683
Sydney - Baulkham Hills and Hawkesbury	1995	2606
Sydney - Baulkham Hills and Hawkesbury	2000	3568
Sydney - Baulkham Hills and Hawkesbury	2005	3776
Sydney - Baulkham Hills and Hawkesbury	2010	4610
Sydney - Baulkham Hills and Hawkesbury	2015	3939
Sydney - Baulkham Hills and Hawkesbury	2016	326
Sydney - Baulkham Hills and Hawkesbury		510
Sydney - Blacktown	1991	14075
Sydney - Blacktown	1995	4328
Sydney - Blacktown	2000	5432
Sydney - Blacktown	2005	5619
Sydney - Blacktown	2010	7373
Sydney - Blacktown	2015	5214
Sydney - Blacktown	2016	379
Sydney - Blacktown		784
Sydney - City and Inner South	1991	68678
Sydney - City and Inner South	1995	21830
Sydney - City and Inner South	2000	29380
Sydney - City and Inner South	2005	34659
Sydney - City and Inner South	2010	49523
Sydney - City and Inner South	2015	60993
Sydney - City and Inner South	2016	6936
Sydney - City and Inner South		5806
Sydney - Eastern Suburbs	1991	12000
Sydney - Eastern Suburbs	1995	3044
Sydney - Eastern Suburbs	2000	4223
Sydney - Eastern Suburbs	2005	4605
Sydney - Eastern Suburbs	2010	7440
Sydney - Eastern Suburbs	2015	9556
Sydney - Eastern Suburbs	2016	1097
Sydney - Eastern Suburbs		949
Sydney - Inner South West	1991	24896
Sydney - Inner South West	1995	6328
Sydney - Inner South West	2000	7888
Sydney - Inner South West	2005	8056
Sydney - Inner South West	2010	11204
Sydney - Inner South West	2015	9657
Sydney - Inner South West	2016	782
Sydney - Inner South West		1457
Sydney - Inner West	1991	16282
Sydney - Inner West	1995	4105
Sydney - Inner West	2000	5443
Sydney - Inner West	2005	6060
Sydney - Inner West	2010	8863
Sydney - Inner West	2015	8678
Sydney - Inner West	2016	844
Sydney - Inner West		1023
Sydney - North Sydney and Hornsby	1991	26629
Sydney - North Sydney and Hornsby	1995	7667
Sydney - North Sydney and Hornsby	2000	10982
Sydney - North Sydney and Hornsby	2005	12649
Sydney - North Sydney and Hornsby	2010	17889
Sydney - North Sydney and Hornsby	2015	18720
Sydney - North Sydney and Hornsby	2016	1867
Sydney - North Sydney and Hornsby		1726
Sydney - Northern Beaches	1991	10203
Sydney - Northern Beaches	1995	2361
Sydney - Northern Beaches	2000	3679
Sydney - Northern Beaches	2005	3904
Sydney - Northern Beaches	2010	5684
Sydney - Northern Beaches	2015	5764
Sydney - Northern Beaches	2016	546
Sydney - Northern Beaches		718
Sydney - Outer South West	1991	9124
Sydney - Outer South West	1995	2159
Sydney - Outer South West	2000	2435
Sydney - Outer South West	2005	2281
Sydney - Outer South West	2010	2948
Sydney - Outer South West	2015	2222
Sydney - Outer South West	2016	149
Sydney - Outer South West		479
Sydney - Outer West and Blue Mountains	1991	11191
Sydney - Outer West and Blue Mountains	1995	2260
Sydney - Outer West and Blue Mountains	2000	2634
Sydney - Outer West and Blue Mountains	2005	2648
Sydney - Outer West and Blue Mountains	2010	3380
Sydney - Outer West and Blue Mountains	2015	2685
Sydney - Outer West and Blue Mountains	2016	182
Sydney - Outer West and Blue Mountains		549
Sydney - Parramatta	1991	34194
Sydney - Parramatta	1995	11018
Sydney - Parramatta	2000	13046
Sydney - Parramatta	2005	13722
Sydney - Parramatta	2010	18382
Sydney - Parramatta	2015	15151
Sydney - Parramatta	2016	1216
Sydney - Parramatta		2045
Sydney - Ryde	1991	13342
Sydney - Ryde	1995	4436
Sydney - Ryde	2000	5843
Sydney - Ryde	2005	6831
Sydney - Ryde	2010	8887
Sydney - Ryde	2015	8407
Sydney - Ryde	2016	823
Sydney - Ryde		816
Sydney - South West	1991	21914
Sydney - South West	1995	6918
Sydney - South West	2000	6820
Sydney - South West	2005	6038
Sydney - South West	2010	7424
Sydney - South West	2015	5696
Sydney - South West	2016	336
Sydney - South West		1200
Sydney - Sutherland	1991	6305
Sydney - Sutherland	1995	1264
Sydney - Sutherland	2000	1662
Sydney - Sutherland	2005	1796
Sydney - Sutherland	2010	2568
Sydney - Sutherland	2015	2590
Sydney - Sutherland	2016	211
Sydney - Sutherland		364
Migratory - Offshore - Shipping (NSW)	1991	5
No usual address (NSW)	1991	15605
No usual address (NSW)	1995	3297
No usual address (NSW)	2000	4481
No usual address (NSW)	2005	3955
No usual address (NSW)	2010	4980
No usual address (NSW)	2015	5004
No usual address (NSW)	2016	519
No usual address (NSW)		1223
Ballarat	1991	2555
Ballarat	1995	272
Ballarat	2000	435
Ballarat	2005	665
Ballarat	2010	1246
Ballarat	2015	912
Ballarat	2016	47
Ballarat		181
Bendigo	1991	2277
Bendigo	1995	244
Bendigo	2000	443
Bendigo	2005	576
Bendigo	2010	1251
Bendigo	2015	992
Bendigo	2016	68
Bendigo		202
Geelong	1991	6871
Geelong	1995	839
Geelong	2000	1189
Geelong	2005	1650
Geelong	2010	3508
Geelong	2015	2573
Geelong	2016	180
Geelong		423
Hume	1991	3297
Hume	1995	303
Hume	2000	473
Hume	2005	613
Hume	2010	1143
Hume	2015	932
Hume	2016	93
Hume		252
Latrobe - Gippsland	1991	5482
Latrobe - Gippsland	1995	482
Latrobe - Gippsland	2000	781
Latrobe - Gippsland	2005	1022
Latrobe - Gippsland	2010	1896
Latrobe - Gippsland	2015	1378
Latrobe - Gippsland	2016	70
Latrobe - Gippsland		414
Melbourne - Inner	1991	68060
Melbourne - Inner	1995	16845
Melbourne - Inner	2000	22245
Melbourne - Inner	2005	33600
Melbourne - Inner	2010	55122
Melbourne - Inner	2015	62206
Melbourne - Inner	2016	6371
Melbourne - Inner		5348
Melbourne - Inner East	1991	15944
Melbourne - Inner East	1995	3520
Melbourne - Inner East	2000	4758
Melbourne - Inner East	2005	6590
Melbourne - Inner East	2010	10333
Melbourne - Inner East	2015	9878
Melbourne - Inner East	2016	754
Melbourne - Inner East		935
Melbourne - Inner South	1991	18253
Melbourne - Inner South	1995	4185
Melbourne - Inner South	2000	5005
Melbourne - Inner South	2005	6358
Melbourne - Inner South	2010	10735
Melbourne - Inner South	2015	9614
Melbourne - Inner South	2016	684
Melbourne - Inner South		1028
Melbourne - North East	1991	15471
Melbourne - North East	1995	3257
Melbourne - North East	2000	3614
Melbourne - North East	2005	4811
Melbourne - North East	2010	9041
Melbourne - North East	2015	7145
Melbourne - North East	2016	470
Melbourne - North East		933
Melbourne - North West	1991	16322
Melbourne - North West	1995	3646
Melbourne - North West	2000	4060
Melbourne - North West	2005	4983
Melbourne - North West	2010	9862
Melbourne - North West	2015	7614
Melbourne - North West	2016	466
Melbourne - North West		1075
Melbourne - Outer East	1991	18926
Melbourne - Outer East	1995	3286
Melbourne - Outer East	2000	4035
Melbourne - Outer East	2005	5551
Melbourne - Outer East	2010	8782
Melbourne - Outer East	2015	6835
Melbourne - Outer East	2016	430
Melbourne - Outer East		891
Melbourne - South East	1991	38548
Melbourne - South East	1995	9648
Melbourne - South East	2000	11203
Melbourne - South East	2005	15148
Melbourne - South East	2010	24818
Melbourne - South East	2015	18641
Melbourne - South East	2016	1163
Melbourne - South East		2186
Melbourne - West	1991	26864
Melbourne - West	1995	6485
Melbourne - West	2000	7135
Melbourne - West	2005	10102
Melbourne - West	2010	18858
Melbourne - West	2015	13992
Melbourne - West	2016	824
Melbourne - West		1736
Mornington Peninsula	1991	8889
Mornington Peninsula	1995	1237
Mornington Peninsula	2000	1754
Mornington Peninsula	2005	2275
Mornington Peninsula	2010	3707
Mornington Peninsula	2015	2579
Mornington Peninsula	2016	125
Mornington Peninsula		480
North West	1991	1740
North West	1995	232
North West	2000	381
North West	2005	494
North West	2010	1189
North West	2015	1168
North West	2016	146
North West		270
Shepparton	1991	1817
Shepparton	1995	280
Shepparton	2000	439
Shepparton	2005	637
Shepparton	2010	1440
Shepparton	2015	1233
Shepparton	2016	109
Shepparton		221
Warrnambool and South West	1991	1598
Warrnambool and South West	1995	196
Warrnambool and South West	2000	405
Warrnambool and South West	2005	509
Warrnambool and South West	2010	802
Warrnambool and South West	2015	858
Warrnambool and South West	2016	145
Warrnambool and South West		180
Migratory - Offshore - Shipping (Vic.)	1991	12
No usual address (Vic.)	1991	11133
No usual address (Vic.)	1995	1948
No usual address (Vic.)	2000	2567
No usual address (Vic.)	2005	2847
No usual address (Vic.)	2010	4861
No usual address (Vic.)	2015	4373
No usual address (Vic.)	2016	457
No usual address (Vic.)		950
Brisbane - East	1991	7232
Brisbane - East	1995	1496
Brisbane - East	2000	2449
Brisbane - East	2005	3406
Brisbane - East	2010	5251
Brisbane - East	2015	3672
Brisbane - East	2016	211
Brisbane - East		487
Brisbane - North	1991	9751
Brisbane - North	1995	2162
Brisbane - North	2000	3285
Brisbane - North	2005	4114
Brisbane - North	2010	7435
Brisbane - North	2015	5124
Brisbane - North	2016	339
Brisbane - North		682
Brisbane - South	1991	15458
Brisbane - South	1995	4193
Brisbane - South	2000	5862
Brisbane - South	2005	7449
Brisbane - South	2010	12230
Brisbane - South	2015	9392
Brisbane - South	2016	599
Brisbane - South		1099
Brisbane - West	1991	4989
Brisbane - West	1995	1298
Brisbane - West	2000	1960
Brisbane - West	2005	2420
Brisbane - West	2010	3667
Brisbane - West	2015	3272
Brisbane - West	2016	232
Brisbane - West		325
Brisbane Inner City	1991	25668
Brisbane Inner City	1995	6528
Brisbane Inner City	2000	9524
Brisbane Inner City	2005	13074
Brisbane Inner City	2010	20947
Brisbane Inner City	2015	19584
Brisbane Inner City	2016	1876
Brisbane Inner City		2068
Cairns	1991	8247
Cairns	1995	1603
Cairns	2000	2096
Cairns	2005	2669
Cairns	2010	4527
Cairns	2015	3891
Cairns	2016	457
Cairns		794
Darling Downs - Maranoa	1991	1933
Darling Downs - Maranoa	1995	240
Darling Downs - Maranoa	2000	411
Darling Downs - Maranoa	2005	570
Darling Downs - Maranoa	2010	1470
Darling Downs - Maranoa	2015	1350
Darling Downs - Maranoa	2016	85
Darling Downs - Maranoa		249
Central Queensland	1991	4101
Central Queensland	1995	644
Central Queensland	2000	1007
Central Queensland	2005	1464
Central Queensland	2010	3426
Central Queensland	2015	2938
Central Queensland	2016	153
Central Queensland		367
Gold Coast	1991	22547
Gold Coast	1995	4792
Gold Coast	2000	8894
Gold Coast	2005	10298
Gold Coast	2010	16013
Gold Coast	2015	13121
Gold Coast	2016	1117
Gold Coast		1840
Ipswich	1991	9444
Ipswich	1995	1992
Ipswich	2000	2773
Ipswich	2005	3593
Ipswich	2010	6006
Ipswich	2015	4227
Ipswich	2016	279
Ipswich		723
Logan - Beaudesert	1991	9497
Logan - Beaudesert	1995	2024
Logan - Beaudesert	2000	3112
Logan - Beaudesert	2005	3961
Logan - Beaudesert	2010	5967
Logan - Beaudesert	2015	4178
Logan - Beaudesert	2016	234
Logan - Beaudesert		622
Mackay - Isaac - Whitsunday	1991	3711
Mackay - Isaac - Whitsunday	1995	555
Mackay - Isaac - Whitsunday	2000	926
Mackay - Isaac - Whitsunday	2005	1375
Mackay - Isaac - Whitsunday	2010	3115
Mackay - Isaac - Whitsunday	2015	2624
Mackay - Isaac - Whitsunday	2016	226
Mackay - Isaac - Whitsunday		443
Moreton Bay - North	1991	5029
Moreton Bay - North	1995	845
Moreton Bay - North	2000	1304
Moreton Bay - North	2005	1771
Moreton Bay - North	2010	3140
Moreton Bay - North	2015	2238
Moreton Bay - North	2016	376
Moreton Bay - North		537
Moreton Bay - South	1991	3668
Moreton Bay - South	1995	723
Moreton Bay - South	2000	1254
Moreton Bay - South	2005	1704
Moreton Bay - South	2010	2892
Moreton Bay - South	2015	1890
Moreton Bay - South	2016	114
Moreton Bay - South		243
Queensland - Outback	1991	1698
Queensland - Outback	1995	281
Queensland - Outback	2000	391
Queensland - Outback	2005	466
Queensland - Outback	2010	1014
Queensland - Outback	2015	1094
Queensland - Outback	2016	91
Queensland - Outback		215
Sunshine Coast	1991	10603
Sunshine Coast	1995	1666
Sunshine Coast	2000	2615
Sunshine Coast	2005	3946
Sunshine Coast	2010	6032
Sunshine Coast	2015	4314
Sunshine Coast	2016	332
Sunshine Coast		658
Toowoomba	1991	2758
Toowoomba	1995	403
Toowoomba	2000	671
Toowoomba	2005	1142
Toowoomba	2010	1990
Toowoomba	2015	1825
Toowoomba	2016	181
Toowoomba		224
Townsville	1991	5152
Townsville	1995	893
Townsville	2000	1195
Townsville	2005	1631
Townsville	2010	3298
Townsville	2015	2374
Townsville	2016	198
Townsville		403
Wide Bay	1991	5106
Wide Bay	1995	629
Wide Bay	2000	961
Wide Bay	2005	1156
Wide Bay	2010	1845
Wide Bay	2015	1634
Wide Bay	2016	251
Wide Bay		491
Migratory - Offshore - Shipping (Qld)	1991	14
Migratory - Offshore - Shipping (Qld)	1995	3
Migratory - Offshore - Shipping (Qld)	2005	4
Migratory - Offshore - Shipping (Qld)	2010	7
Migratory - Offshore - Shipping (Qld)	2015	5
No usual address (Qld)	1991	8455
No usual address (Qld)	1995	1486
No usual address (Qld)	2000	2288
No usual address (Qld)	2005	2513
No usual address (Qld)	2010	3961
No usual address (Qld)	2015	3239
No usual address (Qld)	2016	330
No usual address (Qld)		793
Adelaide - Central and Hills	1991	20582
Adelaide - Central and Hills	1995	3014
Adelaide - Central and Hills	2000	3729
Adelaide - Central and Hills	2005	5903
Adelaide - Central and Hills	2010	12165
Adelaide - Central and Hills	2015	10048
Adelaide - Central and Hills	2016	707
Adelaide - Central and Hills		1003
Adelaide - North	1991	14164
Adelaide - North	1995	1877
Adelaide - North	2000	1858
Adelaide - North	2005	2990
Adelaide - North	2010	7021
Adelaide - North	2015	4477
Adelaide - North	2016	232
Adelaide - North		634
Adelaide - South	1991	9882
Adelaide - South	1995	1240
Adelaide - South	2000	1583
Adelaide - South	2005	2466
Adelaide - South	2010	5488
Adelaide - South	2015	3355
Adelaide - South	2016	219
Adelaide - South		434
Adelaide - West	1991	12435
Adelaide - West	1995	1922
Adelaide - West	2000	2086
Adelaide - West	2005	2999
Adelaide - West	2010	7191
Adelaide - West	2015	5042
Adelaide - West	2016	353
Adelaide - West		633
Barossa - Yorke - Mid North	1991	2097
Barossa - Yorke - Mid North	1995	164
Barossa - Yorke - Mid North	2000	182
Barossa - Yorke - Mid North	2005	283
Barossa - Yorke - Mid North	2010	580
Barossa - Yorke - Mid North	2015	502
Barossa - Yorke - Mid North	2016	31
Barossa - Yorke - Mid North		119
South Australia - Outback	1991	2135
South Australia - Outback	1995	144
South Australia - Outback	2000	182
South Australia - Outback	2005	320
South Australia - Outback	2010	783
South Australia - Outback	2015	569
South Australia - Outback	2016	29
South Australia - Outback		126
South Australia - South East	1991	3605
South Australia - South East	1995	265
South Australia - South East	2000	467
South Australia - South East	2005	644
South Australia - South East	2010	1435
South Australia - South East	2015	1785
South Australia - South East	2016	191
South Australia - South East		398
Migratory - Offshore - Shipping (SA)	1991	5
Migratory - Offshore - Shipping (SA)	1995	3
No usual address (SA)	1991	3507
No usual address (SA)	1995	421
No usual address (SA)	2000	568
No usual address (SA)	2005	639
No usual address (SA)	2010	1282
No usual address (SA)	2015	876
No usual address (SA)	2016	77
No usual address (SA)		209
Bunbury	1991	6311
Bunbury	1995	670
Bunbury	2000	1011
Bunbury	2005	1475
Bunbury	2010	3101
Bunbury	2015	2884
Bunbury	2016	214
Bunbury		562
Mandurah	1991	2806
Mandurah	1995	381
Mandurah	2000	515
Mandurah	2005	833
Mandurah	2010	2081
Mandurah	2015	1848
Mandurah	2016	72
Mandurah		162
Perth - Inner	1991	29625
Perth - Inner	1995	6410
Perth - Inner	2000	8520
Perth - Inner	2005	11644
Perth - Inner	2010	21011
Perth - Inner	2015	21540
Perth - Inner	2016	1305
Perth - Inner		1724
Perth - North East	1991	11604
Perth - North East	1995	2179
Perth - North East	2000	2684
Perth - North East	2005	3484
Perth - North East	2010	7795
Perth - North East	2015	6651
Perth - North East	2016	398
Perth - North East		745
Perth - North West	1991	21248
Perth - North West	1995	4580
Perth - North West	2000	6046
Perth - North West	2005	8737
Perth - North West	2010	16179
Perth - North West	2015	13762
Perth - North West	2016	714
Perth - North West		1291
Perth - South East	1991	25675
Perth - South East	1995	4978
Perth - South East	2000	6131
Perth - South East	2005	8837
Perth - South East	2010	19973
Perth - South East	2015	17256
Perth - South East	2016	872
Perth - South East		1564
Perth - South West	1991	18932
Perth - South West	1995	3437
Perth - South West	2000	4469
Perth - South West	2005	6257
Perth - South West	2010	13773
Perth - South West	2015	12522
Perth - South West	2016	549
Perth - South West		1032
Western Australia - Wheat Belt	1991	4936
Western Australia - Wheat Belt	1995	517
Western Australia - Wheat Belt	2000	710
Western Australia - Wheat Belt	2005	940
Western Australia - Wheat Belt	2010	1978
Western Australia - Wheat Belt	2015	1965
Western Australia - Wheat Belt	2016	182
Western Australia - Wheat Belt		432
Western Australia - Outback (North)	1991	6123
Western Australia - Outback (North)	1995	1195
Western Australia - Outback (North)	2000	1692
Western Australia - Outback (North)	2005	2292
Western Australia - Outback (North)	2010	5916
Western Australia - Outback (North)	2015	4987
Western Australia - Outback (North)	2016	232
Western Australia - Outback (North)		658
Western Australia - Outback (South)	1991	4452
Western Australia - Outback (South)	1995	679
Western Australia - Outback (South)	2000	997
Western Australia - Outback (South)	2005	1429
Western Australia - Outback (South)	2010	3382
Western Australia - Outback (South)	2015	3192
Western Australia - Outback (South)	2016	167
Western Australia - Outback (South)		409
Migratory - Offshore - Shipping (WA)	1991	200
Migratory - Offshore - Shipping (WA)	1995	43
Migratory - Offshore - Shipping (WA)	2000	48
Migratory - Offshore - Shipping (WA)	2005	52
Migratory - Offshore - Shipping (WA)	2010	89
Migratory - Offshore - Shipping (WA)	2015	68
Migratory - Offshore - Shipping (WA)	2016	3
Migratory - Offshore - Shipping (WA)		14
No usual address (WA)	1991	6633
No usual address (WA)	1995	1136
No usual address (WA)	2000	1605
No usual address (WA)	2005	1898
No usual address (WA)	2010	3897
No usual address (WA)	2015	3419
No usual address (WA)	2016	228
No usual address (WA)		575
Hobart	1991	5948
Hobart	1995	796
Hobart	2000	1020
Hobart	2005	1378
Hobart	2010	2201
Hobart	2015	2127
Hobart	2016	156
Hobart		316
Launceston and North East	1991	2804
Launceston and North East	1995	290
Launceston and North East	2000	439
Launceston and North East	2005	541
Launceston and North East	2010	862
Launceston and North East	2015	815
Launceston and North East	2016	76
Launceston and North East		143
South East	1991	592
South East	1995	66
South East	2000	79
South East	2005	100
South East	2010	125
South East	2015	185
South East	2016	9
South East		48
West and North West	1991	1799
West and North West	1995	191
West and North West	2000	273
West and North West	2005	308
West and North West	2010	482
West and North West	2015	444
West and North West	2016	46
West and North West		119
Migratory - Offshore - Shipping (Tas.)	1991	6
Migratory - Offshore - Shipping (Tas.)	2000	3
No usual address (Tas.)	1991	498
No usual address (Tas.)	1995	47
No usual address (Tas.)	2000	75
No usual address (Tas.)	2005	61
No usual address (Tas.)	2010	111
No usual address (Tas.)	2015	82
No usual address (Tas.)	2016	13
No usual address (Tas.)		32
Darwin	1991	6294
Darwin	1995	1082
Darwin	2000	1392
Darwin	2005	1735
Darwin	2010	5315
Darwin	2015	6025
Darwin	2016	574
Darwin		707
Northern Territory - Outback	1991	2161
Northern Territory - Outback	1995	318
Northern Territory - Outback	2000	469
Northern Territory - Outback	2005	708
Northern Territory - Outback	2010	1675
Northern Territory - Outback	2015	1992
Northern Territory - Outback	2016	241
Northern Territory - Outback		295
Migratory - Offshore - Shipping (NT)	1991	12
Migratory - Offshore - Shipping (NT)	1995	3
Migratory - Offshore - Shipping (NT)	2000	6
Migratory - Offshore - Shipping (NT)	2005	4
Migratory - Offshore - Shipping (NT)	2010	8
Migratory - Offshore - Shipping (NT)	2015	5
Migratory - Offshore - Shipping (NT)		4
No usual address (NT)	1991	334
No usual address (NT)	1995	37
No usual address (NT)	2000	63
No usual address (NT)	2005	85
No usual address (NT)	2010	167
No usual address (NT)	2015	197
No usual address (NT)	2016	16
No usual address (NT)		37
Australian Capital Territory	1991	20589
Australian Capital Territory	1995	4586
Australian Capital Territory	2000	5514
Australian Capital Territory	2005	7281
Australian Capital Territory	2010	10965
Australian Capital Territory	2015	10766
Australian Capital Territory	2016	779
Australian Capital Territory		1099
No usual address (ACT)	1991	612
No usual address (ACT)	1995	100
No usual address (ACT)	2000	129
No usual address (ACT)	2005	151
No usual address (ACT)	2010	237
No usual address (ACT)	2015	242
No usual address (ACT)	2016	23
No usual address (ACT)		47
Other Territories	1991	504
Other Territories	1995	48
Other Territories	2000	53
Other Territories	2005	70
Other Territories	2010	124
Other Territories	2015	104
Other Territories	2016	26
Other Territories		65
No usual address (OT)	1991	6
No usual address (OT)	1995	3
No usual address (OT)	2000	3
No usual address (OT)	2005	4
No usual address (OT)	2010	3
No usual address (OT)	2015	6
No usual address (OT)	2016	11
No usual address (OT)		7
