SA4_NAME16	LabourForceStatus	workers
No usual address (NT)	Employed (away from work)	334
No usual address (NT)	Employed (full-time)	2414
No usual address (NT)	Employed (part-time)	819
Australian Capital Territory		3274
Australian Capital Territory	Employed (away from work)	9400
Australian Capital Territory	Employed (full-time)	148735
Australian Capital Territory	Employed (part-time)	59238
No usual address (ACT)		159
No usual address (ACT)	Employed (away from work)	317
No usual address (ACT)	Employed (full-time)	4093
No usual address (ACT)	Employed (part-time)	2251
Other Territories		75
Other Territories	Employed (away from work)	168
Other Territories	Employed (full-time)	1801
Other Territories	Employed (part-time)	645
No usual address (OT)		6
No usual address (OT)	Employed (away from work)	31
No usual address (OT)	Employed (full-time)	56
No usual address (OT)	Employed (part-time)	24
