SA4_NAME16	HoursWorked.min	IndustryOfEmployment	workers
Central Coast	16	Administrative and support services	456
Central Coast	16	Agriculture forestry and fishing	115
Central Coast	16	Arts and recreation services	196
Central Coast	16	Construction	616
Central Coast	16	Education and training	1159
Central Coast	16	Electricity gas water and waste services	54
Central Coast	16	Financial and insurance services	299
Central Coast	16	Health care and social assistance	3374
Central Coast	16	Information media and telecommunications	118
Central Coast	16	Manufacturing	420
Central Coast	16	Mining	16
Central Coast	16	Other services	537
Central Coast	16	Professional scientific and technical services	594
Central Coast	16	Public administration and safety	448
Central Coast	16	Rental hiring and real estate services	182
Central Coast	16	Retail trade	2196
Central Coast	16	Transport postal and warehousing	294
Central Coast	16	Wholesale trade	162
Central Coast	25		330
Central Coast	25	Accommodation and food services	1472
Central Coast	25	Administrative and support services	452
Central Coast	25	Agriculture forestry and fishing	125
Central Coast	25	Arts and recreation services	213
Central Coast	25	Construction	739
Central Coast	25	Education and training	1266
Central Coast	25	Electricity gas water and waste services	40
Central Coast	25	Financial and insurance services	297
Central Coast	25	Health care and social assistance	3848
Central Coast	25	Information media and telecommunications	113
Central Coast	25	Manufacturing	558
Central Coast	25	Mining	16
Central Coast	25	Other services	590
Central Coast	25	Professional scientific and technical services	574
Central Coast	25	Public administration and safety	557
Central Coast	25	Rental hiring and real estate services	187
Central Coast	25	Retail trade	2045
Central Coast	25	Transport postal and warehousing	340
Central Coast	25	Wholesale trade	189
Central Coast	35		720
Central Coast	35	Accommodation and food services	1132
Central Coast	35	Administrative and support services	549
Central Coast	35	Agriculture forestry and fishing	128
Central Coast	35	Arts and recreation services	206
Central Coast	35	Construction	1282
Central Coast	35	Education and training	1403
Central Coast	35	Electricity gas water and waste services	392
Central Coast	35	Financial and insurance services	581
Central Coast	35	Health care and social assistance	3629
Central Coast	35	Information media and telecommunications	337
Central Coast	35	Manufacturing	1959
Central Coast	35	Mining	57
Central Coast	35	Other services	897
Central Coast	35	Professional scientific and technical services	705
Central Coast	35	Public administration and safety	2036
Central Coast	35	Rental hiring and real estate services	407
Central Coast	35	Retail trade	2256
Central Coast	35	Transport postal and warehousing	543
Central Coast	35	Wholesale trade	489
Central Coast	40		702
Central Coast	40	Accommodation and food services	777
Central Coast	40	Administrative and support services	513
Central Coast	40	Agriculture forestry and fishing	165
Central Coast	40	Arts and recreation services	173
Central Coast	40	Construction	2489
Central Coast	40	Education and training	1460
Central Coast	40	Electricity gas water and waste services	295
Central Coast	40	Financial and insurance services	482
Central Coast	40	Health care and social assistance	3071
Central Coast	40	Information media and telecommunications	269
Central Coast	40	Manufacturing	1570
Central Coast	40	Mining	129
Central Coast	40	Other services	726
Central Coast	40	Professional scientific and technical services	899
Central Coast	40	Public administration and safety	1045
Central Coast	40	Rental hiring and real estate services	426
Central Coast	40	Retail trade	1414
Central Coast	40	Transport postal and warehousing	542
Central Coast	40	Wholesale trade	457
Central Coast	41		220
Central Coast	41	Accommodation and food services	453
Central Coast	41	Administrative and support services	144
Central Coast	41	Agriculture forestry and fishing	57
Central Coast	41	Arts and recreation services	76
Central Coast	41	Construction	870
Central Coast	41	Education and training	716
Central Coast	41	Electricity gas water and waste services	116
Central Coast	41	Financial and insurance services	175
Central Coast	41	Health care and social assistance	993
Central Coast	41	Information media and telecommunications	108
Central Coast	41	Manufacturing	957
Central Coast	41	Mining	81
Central Coast	41	Other services	419
Central Coast	41	Professional scientific and technical services	392
Central Coast	41	Public administration and safety	650
Central Coast	41	Rental hiring and real estate services	175
Central Coast	41	Retail trade	782
Central Coast	41	Transport postal and warehousing	326
Central Coast	41	Wholesale trade	199
Central Coast	49		475
Central Coast	49	Accommodation and food services	724
Central Coast	49	Administrative and support services	240
Central Coast	49	Agriculture forestry and fishing	212
Central Coast	49	Arts and recreation services	172
Central Coast	49	Construction	1709
Central Coast	49	Education and training	1314
Central Coast	49	Electricity gas water and waste services	160
Central Coast	49	Financial and insurance services	258
Central Coast	49	Health care and social assistance	1241
Central Coast	49	Information media and telecommunications	193
Central Coast	49	Manufacturing	1129
Central Coast	49	Mining	177
Central Coast	49	Other services	547
Central Coast	49	Professional scientific and technical services	777
Central Coast	49	Public administration and safety	387
Central Coast	49	Rental hiring and real estate services	359
Central Coast	49	Retail trade	1036
Central Coast	49	Transport postal and warehousing	691
Central Coast	49	Wholesale trade	347
Central West			742
Central West		Accommodation and food services	106
Central West		Administrative and support services	28
Central West		Agriculture forestry and fishing	152
Central West		Arts and recreation services	9
Central West		Construction	77
Central West		Education and training	74
Central West		Electricity gas water and waste services	7
Central West		Financial and insurance services	7
Central West		Health care and social assistance	129
Central West		Information media and telecommunications	7
Central West		Manufacturing	54
Central West		Mining	66
Central West		Other services	33
Central West		Professional scientific and technical services	24
Central West		Public administration and safety	54
Central West		Rental hiring and real estate services	8
Central West		Retail trade	125
Central West		Transport postal and warehousing	49
Central West		Wholesale trade	12
Central West	0		142
Central West	0	Accommodation and food services	225
Central West	0	Administrative and support services	72
Central West	0	Agriculture forestry and fishing	225
Central West	0	Arts and recreation services	39
Central West	0	Construction	133
Central West	0	Education and training	311
Central West	0	Electricity gas water and waste services	38
Central West	0	Financial and insurance services	64
Central West	0	Health care and social assistance	560
Central West	0	Information media and telecommunications	31
Central West	0	Manufacturing	139
Central West	0	Mining	198
Central West	0	Other services	67
Central West	0	Professional scientific and technical services	85
Central West	0	Public administration and safety	317
Central West	0	Rental hiring and real estate services	31
Central West	0	Retail trade	346
Central West	0	Transport postal and warehousing	108
Central West	0	Wholesale trade	47
Central West	1		285
Central West	1	Accommodation and food services	1806
Central West	1	Administrative and support services	405
Central West	1	Agriculture forestry and fishing	661
Central West	1	Arts and recreation services	205
Central West	1	Construction	273
Central West	1	Education and training	904
Central West	1	Electricity gas water and waste services	20
Central West	1	Financial and insurance services	71
Central West	1	Health care and social assistance	946
Central West	1	Information media and telecommunications	77
Central West	1	Manufacturing	288
Central West	1	Mining	67
Central West	1	Other services	395
Central West	1	Professional scientific and technical services	294
Central West	1	Public administration and safety	266
Central West	1	Rental hiring and real estate services	63
Central West	1	Retail trade	1810
Central West	1	Transport postal and warehousing	279
Central West	1	Wholesale trade	110
Central West	16		201
Central West	16	Accommodation and food services	816
Central West	16	Administrative and support services	273
Central West	16	Agriculture forestry and fishing	563
Central West	16	Arts and recreation services	72
Central West	16	Construction	262
Central West	16	Education and training	987
Central West	16	Electricity gas water and waste services	39
Central West	16	Financial and insurance services	121
Central West	16	Health care and social assistance	1754
Central West	16	Information media and telecommunications	48
Central West	16	Manufacturing	285
Central West	16	Mining	88
Central West	16	Other services	315
Central West	16	Professional scientific and technical services	313
Central West	16	Public administration and safety	364
Central West	16	Rental hiring and real estate services	69
Central West	16	Retail trade	1101
Central West	16	Transport postal and warehousing	279
Central West	16	Wholesale trade	92
Central West	25		220
Central West	25	Accommodation and food services	791
Central West	25	Administrative and support services	273
Central West	25	Agriculture forestry and fishing	690
Central West	25	Arts and recreation services	83
Central West	25	Construction	352
Central West	25	Education and training	1135
Central West	25	Electricity gas water and waste services	69
Central West	25	Financial and insurance services	169
Central West	25	Health care and social assistance	2102
Central West	25	Information media and telecommunications	46
Central West	25	Manufacturing	332
Central West	25	Mining	113
Central West	25	Other services	300
Central West	25	Professional scientific and technical services	409
Central West	25	Public administration and safety	513
Central West	25	Rental hiring and real estate services	82
Central West	25	Retail trade	1209
Central West	25	Transport postal and warehousing	285
Central West	25	Wholesale trade	141
Central West	35		439
Central West	35	Accommodation and food services	690
Central West	35	Administrative and support services	351
Central West	35	Agriculture forestry and fishing	563
Central West	35	Arts and recreation services	130
Central West	35	Construction	813
Central West	35	Education and training	1434
Central West	35	Electricity gas water and waste services	386
Central West	35	Financial and insurance services	268
Central West	35	Health care and social assistance	2128
Central West	35	Information media and telecommunications	188
Central West	35	Manufacturing	1220
Central West	35	Mining	392
Central West	35	Other services	599
Central West	35	Professional scientific and technical services	564
Central West	35	Public administration and safety	2249
Central West	35	Rental hiring and real estate services	204
Central West	35	Retail trade	1498
Central West	35	Transport postal and warehousing	441
Central West	35	Wholesale trade	328
Central West	40		444
Central West	40	Accommodation and food services	498
Central West	40	Administrative and support services	338
Central West	40	Agriculture forestry and fishing	1293
Central West	40	Arts and recreation services	90
Central West	40	Construction	1290
Central West	40	Education and training	1154
Central West	40	Electricity gas water and waste services	297
Central West	40	Financial and insurance services	224
Central West	40	Health care and social assistance	2062
Central West	40	Information media and telecommunications	121
Central West	40	Manufacturing	1172
Central West	40	Mining	638
Central West	40	Other services	611
Central West	40	Professional scientific and technical services	451
Central West	40	Public administration and safety	1071
Central West	40	Rental hiring and real estate services	178
Central West	40	Retail trade	875
Central West	40	Transport postal and warehousing	436
Central West	40	Wholesale trade	413
Central West	41		183
Central West	41	Accommodation and food services	282
Central West	41	Administrative and support services	126
Central West	41	Agriculture forestry and fishing	639
Central West	41	Arts and recreation services	41
Central West	41	Construction	639
Central West	41	Education and training	712
Central West	41	Electricity gas water and waste services	122
Central West	41	Financial and insurance services	99
Central West	41	Health care and social assistance	593
Central West	41	Information media and telecommunications	67
Central West	41	Manufacturing	733
Central West	41	Mining	1158
Central West	41	Other services	338
Central West	41	Professional scientific and technical services	262
Central West	41	Public administration and safety	674
Central West	41	Rental hiring and real estate services	87
Central West	41	Retail trade	628
Central West	41	Transport postal and warehousing	295
Central West	41	Wholesale trade	228
Central West	49		389
Central West	49	Accommodation and food services	729
Central West	49	Administrative and support services	172
Central West	49	Agriculture forestry and fishing	3207
Central West	49	Arts and recreation services	94
Central West	49	Construction	1155
Central West	49	Education and training	1198
Central West	49	Electricity gas water and waste services	128
Central West	49	Financial and insurance services	142
Central West	49	Health care and social assistance	894
Central West	49	Information media and telecommunications	99
Central West	49	Manufacturing	1047
Central West	49	Mining	2052
Central West	49	Other services	635
Central West	49	Professional scientific and technical services	496
Central West	49	Public administration and safety	556
Central West	49	Rental hiring and real estate services	215
Central West	49	Retail trade	886
Central West	49	Transport postal and warehousing	802
Central West	49	Wholesale trade	350
Coffs Harbour - Grafton			417
Coffs Harbour - Grafton		Accommodation and food services	68
Coffs Harbour - Grafton		Administrative and support services	23
Coffs Harbour - Grafton		Agriculture forestry and fishing	74
Coffs Harbour - Grafton		Arts and recreation services	15
Coffs Harbour - Grafton		Construction	49
Coffs Harbour - Grafton		Education and training	22
Coffs Harbour - Grafton		Electricity gas water and waste services	7
Coffs Harbour - Grafton		Financial and insurance services	3
Coffs Harbour - Grafton		Health care and social assistance	84
Coffs Harbour - Grafton		Manufacturing	20
Coffs Harbour - Grafton		Mining	4
Coffs Harbour - Grafton		Other services	24
Coffs Harbour - Grafton		Professional scientific and technical services	8
Coffs Harbour - Grafton		Public administration and safety	24
Coffs Harbour - Grafton		Rental hiring and real estate services	7
Coffs Harbour - Grafton		Retail trade	73
Coffs Harbour - Grafton		Transport postal and warehousing	30
Coffs Harbour - Grafton		Wholesale trade	5
Coffs Harbour - Grafton	0		69
Coffs Harbour - Grafton	0	Accommodation and food services	160
Coffs Harbour - Grafton	0	Administrative and support services	45
Coffs Harbour - Grafton	0	Agriculture forestry and fishing	90
Coffs Harbour - Grafton	0	Arts and recreation services	31
Coffs Harbour - Grafton	0	Construction	104
Coffs Harbour - Grafton	0	Education and training	168
Coffs Harbour - Grafton	0	Electricity gas water and waste services	18
Coffs Harbour - Grafton	0	Financial and insurance services	37
Coffs Harbour - Grafton	0	Health care and social assistance	411
Coffs Harbour - Grafton	0	Information media and telecommunications	21
Coffs Harbour - Grafton	0	Manufacturing	55
Coffs Harbour - Grafton	0	Other services	55
Coffs Harbour - Grafton	0	Professional scientific and technical services	59
Coffs Harbour - Grafton	0	Public administration and safety	156
Coffs Harbour - Grafton	0	Rental hiring and real estate services	15
Coffs Harbour - Grafton	0	Retail trade	241
Coffs Harbour - Grafton	0	Transport postal and warehousing	65
Coffs Harbour - Grafton	0	Wholesale trade	17
Coffs Harbour - Grafton	1		218
Coffs Harbour - Grafton	1	Accommodation and food services	1482
Coffs Harbour - Grafton	1	Administrative and support services	294
Coffs Harbour - Grafton	1	Agriculture forestry and fishing	309
Coffs Harbour - Grafton	1	Arts and recreation services	161
Coffs Harbour - Grafton	1	Construction	290
Coffs Harbour - Grafton	1	Education and training	598
Coffs Harbour - Grafton	1	Electricity gas water and waste services	13
Coffs Harbour - Grafton	1	Financial and insurance services	52
Coffs Harbour - Grafton	1	Health care and social assistance	752
Coffs Harbour - Grafton	1	Information media and telecommunications	47
Coffs Harbour - Grafton	1	Manufacturing	180
Coffs Harbour - Grafton	1	Mining	3
Coffs Harbour - Grafton	1	Other services	272
Coffs Harbour - Grafton	1	Professional scientific and technical services	243
Coffs Harbour - Grafton	1	Public administration and safety	139
Coffs Harbour - Grafton	1	Rental hiring and real estate services	84
Coffs Harbour - Grafton	1	Retail trade	1383
Coffs Harbour - Grafton	1	Transport postal and warehousing	178
Coffs Harbour - Grafton	1	Wholesale trade	90
Coffs Harbour - Grafton	16		178
Coffs Harbour - Grafton	16	Accommodation and food services	667
Coffs Harbour - Grafton	16	Administrative and support services	195
Coffs Harbour - Grafton	16	Agriculture forestry and fishing	323
Coffs Harbour - Grafton	16	Arts and recreation services	84
Coffs Harbour - Grafton	16	Construction	242
Coffs Harbour - Grafton	16	Education and training	569
Coffs Harbour - Grafton	16	Electricity gas water and waste services	13
Coffs Harbour - Grafton	16	Financial and insurance services	70
Coffs Harbour - Grafton	16	Health care and social assistance	1379
Coffs Harbour - Grafton	16	Information media and telecommunications	39
Coffs Harbour - Grafton	16	Manufacturing	147
Coffs Harbour - Grafton	16	Mining	14
Coffs Harbour - Grafton	16	Other services	172
Coffs Harbour - Grafton	16	Professional scientific and technical services	223
Coffs Harbour - Grafton	16	Public administration and safety	255
Coffs Harbour - Grafton	16	Rental hiring and real estate services	70
Coffs Harbour - Grafton	16	Retail trade	847
Coffs Harbour - Grafton	16	Transport postal and warehousing	207
Coffs Harbour - Grafton	16	Wholesale trade	71
Coffs Harbour - Grafton	25		159
Coffs Harbour - Grafton	25	Accommodation and food services	755
Coffs Harbour - Grafton	25	Administrative and support services	211
Coffs Harbour - Grafton	25	Agriculture forestry and fishing	393
Coffs Harbour - Grafton	25	Arts and recreation services	86
Coffs Harbour - Grafton	25	Construction	332
Coffs Harbour - Grafton	25	Education and training	748
Coffs Harbour - Grafton	25	Electricity gas water and waste services	37
Coffs Harbour - Grafton	25	Financial and insurance services	99
Coffs Harbour - Grafton	25	Health care and social assistance	1917
Coffs Harbour - Grafton	25	Information media and telecommunications	46
Coffs Harbour - Grafton	25	Manufacturing	202
Coffs Harbour - Grafton	25	Mining	9
Coffs Harbour - Grafton	25	Other services	249
Coffs Harbour - Grafton	25	Professional scientific and technical services	282
Coffs Harbour - Grafton	25	Public administration and safety	346
Coffs Harbour - Grafton	25	Rental hiring and real estate services	87
Coffs Harbour - Grafton	25	Retail trade	1005
Coffs Harbour - Grafton	25	Transport postal and warehousing	223
Coffs Harbour - Grafton	25	Wholesale trade	96
Coffs Harbour - Grafton	35		274
Coffs Harbour - Grafton	35	Accommodation and food services	544
Coffs Harbour - Grafton	35	Administrative and support services	263
Coffs Harbour - Grafton	35	Agriculture forestry and fishing	397
Coffs Harbour - Grafton	35	Arts and recreation services	121
Coffs Harbour - Grafton	35	Construction	606
Coffs Harbour - Grafton	35	Education and training	751
Coffs Harbour - Grafton	35	Electricity gas water and waste services	121
Coffs Harbour - Grafton	35	Financial and insurance services	171
Coffs Harbour - Grafton	35	Health care and social assistance	1676
Coffs Harbour - Grafton	35	Information media and telecommunications	158
Coffs Harbour - Grafton	35	Manufacturing	566
Coffs Harbour - Grafton	35	Mining	15
Coffs Harbour - Grafton	35	Other services	421
Coffs Harbour - Grafton	35	Professional scientific and technical services	385
Coffs Harbour - Grafton	35	Public administration and safety	1249
Coffs Harbour - Grafton	35	Rental hiring and real estate services	219
Coffs Harbour - Grafton	35	Retail trade	1107
Coffs Harbour - Grafton	35	Transport postal and warehousing	257
Coffs Harbour - Grafton	35	Wholesale trade	182
Coffs Harbour - Grafton	40		225
Coffs Harbour - Grafton	40	Accommodation and food services	347
Coffs Harbour - Grafton	40	Administrative and support services	208
Coffs Harbour - Grafton	40	Agriculture forestry and fishing	445
Coffs Harbour - Grafton	40	Arts and recreation services	72
Coffs Harbour - Grafton	40	Construction	774
Coffs Harbour - Grafton	40	Education and training	617
Coffs Harbour - Grafton	40	Electricity gas water and waste services	110
Coffs Harbour - Grafton	40	Financial and insurance services	122
Coffs Harbour - Grafton	40	Health care and social assistance	1164
Coffs Harbour - Grafton	40	Information media and telecommunications	86
Coffs Harbour - Grafton	40	Manufacturing	442
Coffs Harbour - Grafton	40	Mining	16
Coffs Harbour - Grafton	40	Other services	345
Coffs Harbour - Grafton	40	Professional scientific and technical services	332
Coffs Harbour - Grafton	40	Public administration and safety	566
Coffs Harbour - Grafton	40	Rental hiring and real estate services	138
Coffs Harbour - Grafton	40	Retail trade	596
Coffs Harbour - Grafton	40	Transport postal and warehousing	273
Coffs Harbour - Grafton	40	Wholesale trade	156
Coffs Harbour - Grafton	41		90
Coffs Harbour - Grafton	41	Accommodation and food services	251
Coffs Harbour - Grafton	41	Administrative and support services	70
Coffs Harbour - Grafton	41	Agriculture forestry and fishing	196
Coffs Harbour - Grafton	41	Arts and recreation services	38
Coffs Harbour - Grafton	41	Construction	365
Coffs Harbour - Grafton	41	Education and training	354
Coffs Harbour - Grafton	41	Electricity gas water and waste services	50
Coffs Harbour - Grafton	41	Financial and insurance services	59
Coffs Harbour - Grafton	41	Health care and social assistance	410
Coffs Harbour - Grafton	41	Information media and telecommunications	33
Coffs Harbour - Grafton	41	Manufacturing	249
Coffs Harbour - Grafton	41	Mining	18
Coffs Harbour - Grafton	41	Other services	161
Coffs Harbour - Grafton	41	Professional scientific and technical services	139
Coffs Harbour - Grafton	41	Public administration and safety	368
Coffs Harbour - Grafton	41	Rental hiring and real estate services	85
Coffs Harbour - Grafton	41	Retail trade	354
Coffs Harbour - Grafton	41	Transport postal and warehousing	148
Coffs Harbour - Grafton	41	Wholesale trade	144
Coffs Harbour - Grafton	49		161
Coffs Harbour - Grafton	49	Accommodation and food services	508
Coffs Harbour - Grafton	49	Administrative and support services	124
Coffs Harbour - Grafton	49	Agriculture forestry and fishing	670
Coffs Harbour - Grafton	49	Arts and recreation services	74
Coffs Harbour - Grafton	49	Construction	850
Coffs Harbour - Grafton	49	Education and training	588
Coffs Harbour - Grafton	49	Electricity gas water and waste services	62
Coffs Harbour - Grafton	49	Financial and insurance services	107
Coffs Harbour - Grafton	49	Health care and social assistance	606
Coffs Harbour - Grafton	49	Information media and telecommunications	49
Coffs Harbour - Grafton	49	Manufacturing	295
Coffs Harbour - Grafton	49	Mining	29
Coffs Harbour - Grafton	49	Other services	276
Coffs Harbour - Grafton	49	Professional scientific and technical services	316
Coffs Harbour - Grafton	49	Public administration and safety	256
Coffs Harbour - Grafton	49	Rental hiring and real estate services	146
Coffs Harbour - Grafton	49	Retail trade	567
Coffs Harbour - Grafton	49	Transport postal and warehousing	401
Coffs Harbour - Grafton	49	Wholesale trade	129
Far West and Orana			493
Far West and Orana		Accommodation and food services	63
Far West and Orana		Administrative and support services	11
