SA4_NAME16	IndustryOfEmployment	workers_born_overseas
Hunter Valley exc Newcastle	Financial and insurance services	87
Hunter Valley exc Newcastle	Health care and social assistance	1466
Hunter Valley exc Newcastle	Information media and telecommunications	58
Hunter Valley exc Newcastle	Manufacturing	913
Hunter Valley exc Newcastle	Mining	773
Hunter Valley exc Newcastle	Other services	394
Hunter Valley exc Newcastle	Professional scientific and technical services	481
Hunter Valley exc Newcastle	Public administration and safety	839
Hunter Valley exc Newcastle	Rental hiring and real estate services	119
Hunter Valley exc Newcastle	Retail trade	810
Hunter Valley exc Newcastle	Transport postal and warehousing	313
Hunter Valley exc Newcastle	Wholesale trade	155
Illawarra		767
Illawarra	Accommodation and food services	1770
Illawarra	Administrative and support services	808
Illawarra	Agriculture forestry and fishing	60
Illawarra	Arts and recreation services	192
Illawarra	Construction	1184
Illawarra	Education and training	2313
Illawarra	Electricity gas water and waste services	98
Illawarra	Financial and insurance services	545
Illawarra	Health care and social assistance	4102
Illawarra	Information media and telecommunications	159
Illawarra	Manufacturing	1266
Illawarra	Mining	188
Illawarra	Other services	744
Illawarra	Professional scientific and technical services	1057
Illawarra	Public administration and safety	903
Illawarra	Rental hiring and real estate services	255
Illawarra	Retail trade	1694
Illawarra	Transport postal and warehousing	748
Illawarra	Wholesale trade	330
Mid North Coast		269
Mid North Coast	Accommodation and food services	768
Mid North Coast	Administrative and support services	266
Mid North Coast	Agriculture forestry and fishing	239
Mid North Coast	Arts and recreation services	60
Mid North Coast	Construction	505
Mid North Coast	Education and training	575
Mid North Coast	Electricity gas water and waste services	149
Mid North Coast	Financial and insurance services	103
Mid North Coast	Health care and social assistance	1935
Mid North Coast	Information media and telecommunications	49
Mid North Coast	Manufacturing	355
Mid North Coast	Mining	18
Mid North Coast	Other services	233
Mid North Coast	Professional scientific and technical services	363
Mid North Coast	Public administration and safety	286
Mid North Coast	Rental hiring and real estate services	86
Mid North Coast	Retail trade	669
Mid North Coast	Transport postal and warehousing	173
Mid North Coast	Wholesale trade	109
Murray		195
Murray	Accommodation and food services	599
Murray	Administrative and support services	143
Murray	Agriculture forestry and fishing	438
Murray	Arts and recreation services	57
Murray	Construction	176
Murray	Education and training	340
Murray	Electricity gas water and waste services	32
Murray	Financial and insurance services	47
Murray	Health care and social assistance	949
Murray	Information media and telecommunications	23
Murray	Manufacturing	514
Murray	Mining	14
Murray	Other services	182
Murray	Professional scientific and technical services	141
Murray	Public administration and safety	231
Murray	Rental hiring and real estate services	28
Murray	Retail trade	352
Murray	Transport postal and warehousing	157
Murray	Wholesale trade	87
New England and North West		247
New England and North West	Accommodation and food services	579
New England and North West	Administrative and support services	157
New England and North West	Agriculture forestry and fishing	818
New England and North West	Arts and recreation services	34
New England and North West	Construction	197
New England and North West	Education and training	739
New England and North West	Electricity gas water and waste services	27
New England and North West	Financial and insurance services	68
New England and North West	Health care and social assistance	1219
New England and North West	Information media and telecommunications	37
New England and North West	Manufacturing	646
New England and North West	Mining	123
New England and North West	Other services	162
New England and North West	Professional scientific and technical services	284
New England and North West	Public administration and safety	275
New England and North West	Rental hiring and real estate services	40
New England and North West	Retail trade	495
New England and North West	Transport postal and warehousing	155
New England and North West	Wholesale trade	214
Newcastle and Lake Macquarie		706
Newcastle and Lake Macquarie	Accommodation and food services	1742
Newcastle and Lake Macquarie	Administrative and support services	598
Newcastle and Lake Macquarie	Agriculture forestry and fishing	133
Newcastle and Lake Macquarie	Arts and recreation services	198
Newcastle and Lake Macquarie	Construction	1090
Newcastle and Lake Macquarie	Education and training	1853
Newcastle and Lake Macquarie	Electricity gas water and waste services	192
Newcastle and Lake Macquarie	Financial and insurance services	536
Newcastle and Lake Macquarie	Health care and social assistance	4704
Newcastle and Lake Macquarie	Information media and telecommunications	166
Newcastle and Lake Macquarie	Manufacturing	1237
Newcastle and Lake Macquarie	Mining	166
Newcastle and Lake Macquarie	Other services	683
Newcastle and Lake Macquarie	Professional scientific and technical services	1279
Newcastle and Lake Macquarie	Public administration and safety	761
Newcastle and Lake Macquarie	Rental hiring and real estate services	187
Newcastle and Lake Macquarie	Retail trade	1434
Newcastle and Lake Macquarie	Transport postal and warehousing	672
Newcastle and Lake Macquarie	Wholesale trade	337
Richmond - Tweed		597
Richmond - Tweed	Accommodation and food services	1556
Richmond - Tweed	Administrative and support services	479
Richmond - Tweed	Agriculture forestry and fishing	562
Richmond - Tweed	Arts and recreation services	191
Richmond - Tweed	Construction	683
Richmond - Tweed	Education and training	1122
Richmond - Tweed	Electricity gas water and waste services	67
Richmond - Tweed	Financial and insurance services	174
Richmond - Tweed	Health care and social assistance	2772
Richmond - Tweed	Information media and telecommunications	130
Richmond - Tweed	Manufacturing	637
Richmond - Tweed	Mining	13
Richmond - Tweed	Other services	427
Richmond - Tweed	Professional scientific and technical services	741
Richmond - Tweed	Public administration and safety	442
Richmond - Tweed	Rental hiring and real estate services	192
Richmond - Tweed	Retail trade	1213
Richmond - Tweed	Transport postal and warehousing	330
Richmond - Tweed	Wholesale trade	197
Riverina		376
Riverina	Accommodation and food services	590
Riverina	Administrative and support services	229
Riverina	Agriculture forestry and fishing	841
Riverina	Arts and recreation services	28
Riverina	Construction	198
Riverina	Education and training	514
Riverina	Electricity gas water and waste services	50
Riverina	Financial and insurance services	52
Riverina	Health care and social assistance	1489
Riverina	Information media and telecommunications	27
Riverina	Manufacturing	1822
Riverina	Mining	14
Riverina	Other services	157
Riverina	Professional scientific and technical services	200
Riverina	Public administration and safety	523
Riverina	Rental hiring and real estate services	38
Riverina	Retail trade	485
Riverina	Transport postal and warehousing	207
Riverina	Wholesale trade	112
Southern Highlands and Shoalhaven		318
Southern Highlands and Shoalhaven	Accommodation and food services	886
Southern Highlands and Shoalhaven	Administrative and support services	269
Southern Highlands and Shoalhaven	Agriculture forestry and fishing	158
Southern Highlands and Shoalhaven	Arts and recreation services	107
Southern Highlands and Shoalhaven	Construction	456
Southern Highlands and Shoalhaven	Education and training	517
Southern Highlands and Shoalhaven	Electricity gas water and waste services	36
Southern Highlands and Shoalhaven	Financial and insurance services	108
Southern Highlands and Shoalhaven	Health care and social assistance	1608
Southern Highlands and Shoalhaven	Information media and telecommunications	78
Southern Highlands and Shoalhaven	Manufacturing	468
Southern Highlands and Shoalhaven	Mining	23
Southern Highlands and Shoalhaven	Other services	220
Southern Highlands and Shoalhaven	Professional scientific and technical services	430
Southern Highlands and Shoalhaven	Public administration and safety	468
Southern Highlands and Shoalhaven	Rental hiring and real estate services	112
Southern Highlands and Shoalhaven	Retail trade	720
Southern Highlands and Shoalhaven	Transport postal and warehousing	193
Southern Highlands and Shoalhaven	Wholesale trade	114
Sydney - Baulkham Hills and Hawkesbury		1628
Sydney - Baulkham Hills and Hawkesbury	Accommodation and food services	1800
Sydney - Baulkham Hills and Hawkesbury	Administrative and support services	834
Sydney - Baulkham Hills and Hawkesbury	Agriculture forestry and fishing	645
Sydney - Baulkham Hills and Hawkesbury	Arts and recreation services	226
Sydney - Baulkham Hills and Hawkesbury	Construction	2735
Sydney - Baulkham Hills and Hawkesbury	Education and training	1701
Sydney - Baulkham Hills and Hawkesbury	Electricity gas water and waste services	132
Sydney - Baulkham Hills and Hawkesbury	Financial and insurance services	1015
Sydney - Baulkham Hills and Hawkesbury	Health care and social assistance	4520
Sydney - Baulkham Hills and Hawkesbury	Information media and telecommunications	386
Sydney - Baulkham Hills and Hawkesbury	Manufacturing	2038
Sydney - Baulkham Hills and Hawkesbury	Mining	74
Sydney - Baulkham Hills and Hawkesbury	Other services	999
Sydney - Baulkham Hills and Hawkesbury	Professional scientific and technical services	3313
Sydney - Baulkham Hills and Hawkesbury	Public administration and safety	431
Sydney - Baulkham Hills and Hawkesbury	Rental hiring and real estate services	505
Sydney - Baulkham Hills and Hawkesbury	Retail trade	4299
Sydney - Baulkham Hills and Hawkesbury	Transport postal and warehousing	645
Sydney - Baulkham Hills and Hawkesbury	Wholesale trade	1075
Sydney - Blacktown		3163
Sydney - Blacktown	Accommodation and food services	2054
Sydney - Blacktown	Administrative and support services	1481
Sydney - Blacktown	Agriculture forestry and fishing	175
Sydney - Blacktown	Arts and recreation services	217
Sydney - Blacktown	Construction	3043
Sydney - Blacktown	Education and training	2443
Sydney - Blacktown	Electricity gas water and waste services	710
Sydney - Blacktown	Financial and insurance services	568
Sydney - Blacktown	Health care and social assistance	5805
Sydney - Blacktown	Information media and telecommunications	382
Sydney - Blacktown	Manufacturing	5214
Sydney - Blacktown	Mining	52
Sydney - Blacktown	Other services	1498
Sydney - Blacktown	Professional scientific and technical services	1583
Sydney - Blacktown	Public administration and safety	1355
Sydney - Blacktown	Rental hiring and real estate services	431
Sydney - Blacktown	Retail trade	4765
Sydney - Blacktown	Transport postal and warehousing	5268
Sydney - Blacktown	Wholesale trade	2991
Sydney - City and Inner South		13217
Sydney - City and Inner South	Accommodation and food services	28008
Sydney - City and Inner South	Administrative and support services	14306
Sydney - City and Inner South	Agriculture forestry and fishing	253
Sydney - City and Inner South	Arts and recreation services	4681
Sydney - City and Inner South	Construction	9512
Sydney - City and Inner South	Education and training	14245
Sydney - City and Inner South	Electricity gas water and waste services	1361
Sydney - City and Inner South	Financial and insurance services	43836
Sydney - City and Inner South	Health care and social assistance	14815
Sydney - City and Inner South	Information media and telecommunications	11572
Sydney - City and Inner South	Manufacturing	7952
Sydney - City and Inner South	Mining	541
Sydney - City and Inner South	Other services	6424
Sydney - City and Inner South	Professional scientific and technical services	47080
Sydney - City and Inner South	Public administration and safety	13328
Sydney - City and Inner South	Rental hiring and real estate services	6098
Sydney - City and Inner South	Retail trade	17428
Sydney - City and Inner South	Transport postal and warehousing	16665
Sydney - City and Inner South	Wholesale trade	6480
Sydney - Eastern Suburbs		2015
Sydney - Eastern Suburbs	Accommodation and food services	5409
Sydney - Eastern Suburbs	Administrative and support services	1695
Sydney - Eastern Suburbs	Agriculture forestry and fishing	57
Sydney - Eastern Suburbs	Arts and recreation services	985
Sydney - Eastern Suburbs	Construction	2338
Sydney - Eastern Suburbs	Education and training	6341
Sydney - Eastern Suburbs	Electricity gas water and waste services	68
Sydney - Eastern Suburbs	Financial and insurance services	913
Sydney - Eastern Suburbs	Health care and social assistance	8601
Sydney - Eastern Suburbs	Information media and telecommunications	681
Sydney - Eastern Suburbs	Manufacturing	605
Sydney - Eastern Suburbs	Mining	23
Sydney - Eastern Suburbs	Other services	1818
Sydney - Eastern Suburbs	Professional scientific and technical services	3310
Sydney - Eastern Suburbs	Public administration and safety	1761
Sydney - Eastern Suburbs	Rental hiring and real estate services	788
Sydney - Eastern Suburbs	Retail trade	4305
Sydney - Eastern Suburbs	Transport postal and warehousing	708
Sydney - Eastern Suburbs	Wholesale trade	502
Sydney - Inner South West		5165
Sydney - Inner South West	Accommodation and food services	4884
Sydney - Inner South West	Administrative and support services	2617
Sydney - Inner South West	Agriculture forestry and fishing	98
Sydney - Inner South West	Arts and recreation services	401
Sydney - Inner South West	Construction	5763
Sydney - Inner South West	Education and training	3592
Sydney - Inner South West	Electricity gas water and waste services	377
Sydney - Inner South West	Financial and insurance services	2141
Sydney - Inner South West	Health care and social assistance	12902
Sydney - Inner South West	Information media and telecommunications	539
Sydney - Inner South West	Manufacturing	7397
Sydney - Inner South West	Mining	48
Sydney - Inner South West	Other services	2885
Sydney - Inner South West	Professional scientific and technical services	3475
Sydney - Inner South West	Public administration and safety	1868
Sydney - Inner South West	Rental hiring and real estate services	1037
Sydney - Inner South West	Retail trade	6928
Sydney - Inner South West	Transport postal and warehousing	5567
Sydney - Inner South West	Wholesale trade	2594
Sydney - Inner West		3012
Sydney - Inner West	Accommodation and food services	4471
Sydney - Inner West	Administrative and support services	1887
Sydney - Inner West	Agriculture forestry and fishing	111
Sydney - Inner West	Arts and recreation services	357
Sydney - Inner West	Construction	3522
Sydney - Inner West	Education and training	2676
Sydney - Inner West	Electricity gas water and waste services	263
Sydney - Inner West	Financial and insurance services	3168
Sydney - Inner West	Health care and social assistance	8565
Sydney - Inner West	Information media and telecommunications	744
Sydney - Inner West	Manufacturing	2150
Sydney - Inner West	Mining	19
Sydney - Inner West	Other services	1960
Sydney - Inner West	Professional scientific and technical services	4170
Sydney - Inner West	Public administration and safety	2021
Sydney - Inner West	Rental hiring and real estate services	1099
Sydney - Inner West	Retail trade	5652
Sydney - Inner West	Transport postal and warehousing	3211
Sydney - Inner West	Wholesale trade	2234
Sydney - North Sydney and Hornsby		5044
Sydney - North Sydney and Hornsby	Accommodation and food services	6900
Sydney - North Sydney and Hornsby	Administrative and support services	3683
Sydney - North Sydney and Hornsby	Agriculture forestry and fishing	128
Sydney - North Sydney and Hornsby	Arts and recreation services	1087
Sydney - North Sydney and Hornsby	Construction	5371
Sydney - North Sydney and Hornsby	Education and training	5332
Sydney - North Sydney and Hornsby	Electricity gas water and waste services	536
Sydney - North Sydney and Hornsby	Financial and insurance services	5878
Sydney - North Sydney and Hornsby	Health care and social assistance	14645
Sydney - North Sydney and Hornsby	Information media and telecommunications	5195
Sydney - North Sydney and Hornsby	Manufacturing	3771
Sydney - North Sydney and Hornsby	Mining	236
Sydney - North Sydney and Hornsby	Other services	3248
Sydney - North Sydney and Hornsby	Professional scientific and technical services	18660
Sydney - North Sydney and Hornsby	Public administration and safety	2598
Sydney - North Sydney and Hornsby	Rental hiring and real estate services	2001
Sydney - North Sydney and Hornsby	Retail trade	7781
Sydney - North Sydney and Hornsby	Transport postal and warehousing	2265
Sydney - North Sydney and Hornsby	Wholesale trade	3774
Sydney - Northern Beaches		1983
Sydney - Northern Beaches	Accommodation and food services	3211
Sydney - Northern Beaches	Administrative and support services	1135
Sydney - Northern Beaches	Agriculture forestry and fishing	96
Sydney - Northern Beaches	Arts and recreation services	407
Sydney - Northern Beaches	Construction	2320
Sydney - Northern Beaches	Education and training	2162
Sydney - Northern Beaches	Electricity gas water and waste services	141
Sydney - Northern Beaches	Financial and insurance services	646
Sydney - Northern Beaches	Health care and social assistance	5030
Sydney - Northern Beaches	Information media and telecommunications	561
Sydney - Northern Beaches	Manufacturing	2388
Sydney - Northern Beaches	Mining	38
Sydney - Northern Beaches	Other services	1387
Sydney - Northern Beaches	Professional scientific and technical services	3350
Sydney - Northern Beaches	Public administration and safety	749
Sydney - Northern Beaches	Rental hiring and real estate services	489
Sydney - Northern Beaches	Retail trade	4111
Sydney - Northern Beaches	Transport postal and warehousing	828
Sydney - Northern Beaches	Wholesale trade	1844
Sydney - Outer South West		1630
Sydney - Outer South West	Accommodation and food services	1268
Sydney - Outer South West	Administrative and support services	682
Sydney - Outer South West	Agriculture forestry and fishing	182
Sydney - Outer South West	Arts and recreation services	110
Sydney - Outer South West	Construction	1746
Sydney - Outer South West	Education and training	1530
Sydney - Outer South West	Electricity gas water and waste services	190
Sydney - Outer South West	Financial and insurance services	299
Sydney - Outer South West	Health care and social assistance	3601
Sydney - Outer South West	Information media and telecommunications	138
Sydney - Outer South West	Manufacturing	3591
Sydney - Outer South West	Mining	184
Sydney - Outer South West	Other services	795
Sydney - Outer South West	Professional scientific and technical services	694
Sydney - Outer South West	Public administration and safety	689
Sydney - Outer South West	Rental hiring and real estate services	264
Sydney - Outer South West	Retail trade	2065
Sydney - Outer South West	Transport postal and warehousing	1415
Sydney - Outer South West	Wholesale trade	716
Sydney - Outer West and Blue Mountains		1487
Sydney - Outer West and Blue Mountains	Accommodation and food services	2004
Sydney - Outer West and Blue Mountains	Administrative and support services	709
Sydney - Outer West and Blue Mountains	Agriculture forestry and fishing	407
Sydney - Outer West and Blue Mountains	Arts and recreation services	275
Sydney - Outer West and Blue Mountains	Construction	1619
Sydney - Outer West and Blue Mountains	Education and training	2126
Sydney - Outer West and Blue Mountains	Electricity gas water and waste services	328
Sydney - Outer West and Blue Mountains	Financial and insurance services	349
Sydney - Outer West and Blue Mountains	Health care and social assistance	4897
Sydney - Outer West and Blue Mountains	Information media and telecommunications	216
Sydney - Outer West and Blue Mountains	Manufacturing	2606
Sydney - Outer West and Blue Mountains	Mining	45
Sydney - Outer West and Blue Mountains	Other services	784
Sydney - Outer West and Blue Mountains	Professional scientific and technical services	961
Sydney - Outer West and Blue Mountains	Public administration and safety	1663
Sydney - Outer West and Blue Mountains	Rental hiring and real estate services	329
Sydney - Outer West and Blue Mountains	Retail trade	2490
Sydney - Outer West and Blue Mountains	Transport postal and warehousing	1649
Sydney - Outer West and Blue Mountains	Wholesale trade	609
Sydney - Parramatta		7979
Sydney - Parramatta	Accommodation and food services	5154
Sydney - Parramatta	Administrative and support services	3722
Sydney - Parramatta	Agriculture forestry and fishing	239
Sydney - Parramatta	Arts and recreation services	804
Sydney - Parramatta	Construction	7461
Sydney - Parramatta	Education and training	4676
Sydney - Parramatta	Electricity gas water and waste services	1120
Sydney - Parramatta	Financial and insurance services	6913
Sydney - Parramatta	Health care and social assistance	15130
Sydney - Parramatta	Information media and telecommunications	1085
Sydney - Parramatta	Manufacturing	13389
Sydney - Parramatta	Mining	108
Sydney - Parramatta	Other services	3643
Sydney - Parramatta	Professional scientific and technical services	6120
Sydney - Parramatta	Public administration and safety	7864
Sydney - Parramatta	Rental hiring and real estate services	1333
Sydney - Parramatta	Retail trade	8632
Sydney - Parramatta	Transport postal and warehousing	6974
Sydney - Parramatta	Wholesale trade	6437
Sydney - Ryde		2488
Sydney - Ryde	Accommodation and food services	2725
Sydney - Ryde	Administrative and support services	1644
Sydney - Ryde	Agriculture forestry and fishing	58
Sydney - Ryde	Arts and recreation services	232
Sydney - Ryde	Construction	2577
Sydney - Ryde	Education and training	3814
Sydney - Ryde	Electricity gas water and waste services	185
Sydney - Ryde	Financial and insurance services	944
Sydney - Ryde	Health care and social assistance	6871
Sydney - Ryde	Information media and telecommunications	4437
Sydney - Ryde	Manufacturing	3419
Sydney - Ryde	Mining	44
Sydney - Ryde	Other services	1363
Sydney - Ryde	Professional scientific and technical services	6354
Sydney - Ryde	Public administration and safety	1232
Sydney - Ryde	Rental hiring and real estate services	667
Sydney - Ryde	Retail trade	3700
Sydney - Ryde	Transport postal and warehousing	888
Sydney - Ryde	Wholesale trade	5733
Sydney - South West		4551
Sydney - South West	Accommodation and food services	3189
Sydney - South West	Administrative and support services	2056
Sydney - South West	Agriculture forestry and fishing	882
Sydney - South West	Arts and recreation services	312
Sydney - South West	Construction	4356
Sydney - South West	Education and training	3471
Sydney - South West	Electricity gas water and waste services	272
Sydney - South West	Financial and insurance services	788
Sydney - South West	Health care and social assistance	9204
Sydney - South West	Information media and telecommunications	418
Sydney - South West	Manufacturing	7661
Sydney - South West	Mining	52
Sydney - South West	Other services	2101
Sydney - South West	Professional scientific and technical services	1923
Sydney - South West	Public administration and safety	2388
Sydney - South West	Rental hiring and real estate services	693
Sydney - South West	Retail trade	5708
Sydney - South West	Transport postal and warehousing	3612
Sydney - South West	Wholesale trade	2706
Sydney - Sutherland		991
Sydney - Sutherland	Accommodation and food services	1701
Sydney - Sutherland	Administrative and support services	627
Sydney - Sutherland	Agriculture forestry and fishing	23
Sydney - Sutherland	Arts and recreation services	168
Sydney - Sutherland	Construction	1270
Sydney - Sutherland	Education and training	792
Sydney - Sutherland	Electricity gas water and waste services	108
Sydney - Sutherland	Financial and insurance services	321
Sydney - Sutherland	Health care and social assistance	3450
Sydney - Sutherland	Information media and telecommunications	115
Sydney - Sutherland	Manufacturing	1243
Sydney - Sutherland	Mining	15
Sydney - Sutherland	Other services	704
Sydney - Sutherland	Professional scientific and technical services	1347
Sydney - Sutherland	Public administration and safety	412
Sydney - Sutherland	Rental hiring and real estate services	206
Sydney - Sutherland	Retail trade	2248
Sydney - Sutherland	Transport postal and warehousing	476
Sydney - Sutherland	Wholesale trade	548
Migratory - Offshore - Shipping (NSW)	Administrative and support services	3
Migratory - Offshore - Shipping (NSW)	Construction	3
No usual address (NSW)		2535
No usual address (NSW)	Accommodation and food services	670
No usual address (NSW)	Administrative and support services	5301
No usual address (NSW)	Agriculture forestry and fishing	343
No usual address (NSW)	Arts and recreation services	406
No usual address (NSW)	Construction	13045
No usual address (NSW)	Education and training	1566
No usual address (NSW)	Electricity gas water and waste services	212
No usual address (NSW)	Financial and insurance services	339
No usual address (NSW)	Health care and social assistance	2859
No usual address (NSW)	Information media and telecommunications	599
No usual address (NSW)	Manufacturing	783
No usual address (NSW)	Mining	111
No usual address (NSW)	Other services	1336
No usual address (NSW)	Professional scientific and technical services	1743
No usual address (NSW)	Public administration and safety	761
No usual address (NSW)	Rental hiring and real estate services	247
No usual address (NSW)	Retail trade	1055
No usual address (NSW)	Transport postal and warehousing	4636
No usual address (NSW)	Wholesale trade	536
Ballarat		247
Ballarat	Accommodation and food services	726
Ballarat	Administrative and support services	127
Ballarat	Agriculture forestry and fishing	234
Ballarat	Arts and recreation services	122
Ballarat	Construction	233
Ballarat	Education and training	677
Ballarat	Electricity gas water and waste services	46
Ballarat	Financial and insurance services	67
Ballarat	Health care and social assistance	1487
Ballarat	Information media and telecommunications	88
Ballarat	Manufacturing	473
Ballarat	Mining	50
Ballarat	Other services	192
Ballarat	Professional scientific and technical services	382
Ballarat	Public administration and safety	285
Ballarat	Rental hiring and real estate services	41
Ballarat	Retail trade	559
Ballarat	Transport postal and warehousing	188
Ballarat	Wholesale trade	86
Bendigo		267
Bendigo	Accommodation and food services	536
Bendigo	Administrative and support services	151
Bendigo	Agriculture forestry and fishing	249
Bendigo	Arts and recreation services	103
Bendigo	Construction	235
Bendigo	Education and training	451
Bendigo	Electricity gas water and waste services	61
Bendigo	Financial and insurance services	155
Bendigo	Health care and social assistance	1251
Bendigo	Information media and telecommunications	45
Bendigo	Manufacturing	937
Bendigo	Mining	69
Bendigo	Other services	165
Bendigo	Professional scientific and technical services	286
Bendigo	Public administration and safety	310
Bendigo	Rental hiring and real estate services	46
Bendigo	Retail trade	502
Bendigo	Transport postal and warehousing	133
Bendigo	Wholesale trade	104
Geelong		706
Geelong	Accommodation and food services	1670
Geelong	Administrative and support services	565
Geelong	Agriculture forestry and fishing	408
Geelong	Arts and recreation services	188
Geelong	Construction	855
Geelong	Education and training	1736
Geelong	Electricity gas water and waste services	187
Geelong	Financial and insurance services	333
Geelong	Health care and social assistance	3384
Geelong	Information media and telecommunications	141
Geelong	Manufacturing	1581
Geelong	Mining	15
Geelong	Other services	628
Geelong	Professional scientific and technical services	945
Geelong	Public administration and safety	799
Geelong	Rental hiring and real estate services	158
Geelong	Retail trade	1974
Geelong	Transport postal and warehousing	616
Geelong	Wholesale trade	329
Hume		313
Hume	Accommodation and food services	854
Hume	Administrative and support services	233
Hume	Agriculture forestry and fishing	480
Hume	Arts and recreation services	107
Hume	Construction	295
Hume	Education and training	622
Hume	Electricity gas water and waste services	30
Hume	Financial and insurance services	45
Hume	Health care and social assistance	1225
Hume	Information media and telecommunications	38
Hume	Manufacturing	692
Hume	Mining	13
Hume	Other services	192
Hume	Professional scientific and technical services	238
Hume	Public administration and safety	613
Hume	Rental hiring and real estate services	65
Hume	Retail trade	530
Hume	Transport postal and warehousing	326
Hume	Wholesale trade	186
Latrobe - Gippsland		461
Latrobe - Gippsland	Accommodation and food services	1132
Latrobe - Gippsland	Administrative and support services	253
Latrobe - Gippsland	Agriculture forestry and fishing	1155
Latrobe - Gippsland	Arts and recreation services	161
Latrobe - Gippsland	Construction	493
Latrobe - Gippsland	Education and training	928
Latrobe - Gippsland	Electricity gas water and waste services	322
Latrobe - Gippsland	Financial and insurance services	130
Latrobe - Gippsland	Health care and social assistance	2426
Latrobe - Gippsland	Information media and telecommunications	77
Latrobe - Gippsland	Manufacturing	826
Latrobe - Gippsland	Mining	88
Latrobe - Gippsland	Other services	334
Latrobe - Gippsland	Professional scientific and technical services	433
Latrobe - Gippsland	Public administration and safety	680
Latrobe - Gippsland	Rental hiring and real estate services	111
Latrobe - Gippsland	Retail trade	990
