SA4_CODE_2016,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000mo_Mng,Tot_3000mo_Pro,Tot_3000mo_TecTW,Tot_3000mo_CoPSW,Tot_3000mo_ClAW,Tot_3000mo_SWks,Tot_3000mo_MaOpDv,Tot_3000mo_Lab,Tot_3000mo_IDNS,Tot_3000mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
317,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,6,10,7,27,0,13,8,74,86,250,518,969,402,1541,70,768,51,4664
318,0,3,5,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,7,0,8,12,23,7,42,0,21,16,137,110,381,659,1624,445,2526,152,1094,77,7056
319,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,3,0,9,15,3,40,3,17,14,107,81,145,485,811,249,1956,87,891,77,4771
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3
399,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,5,25,11,0,5,0,9,20,77,73,429,1187,780,139,317,87,545,98,3654
401,3,3,0,4,4,0,0,0,0,14,0,0,3,4,3,0,0,3,0,21,6,16,9,55,14,61,0,20,28,219,298,1137,861,4306,1390,4498,174,2352,181,15211
402,0,3,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,3,0,9,4,0,10,14,4,68,3,36,19,172,166,251,593,1557,321,3925,205,1901,119,9041
403,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,10,0,6,7,19,5,38,6,30,12,134,136,321,595,2094,363,3357,193,1947,81,9092
404,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,0,0,5,0,19,3,3,7,19,3,55,0,17,7,112,132,290,701,1436,421,2854,208,1308,90,7446
405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,7,3,19,3,53,42,57,228,401,82,600,47,571,24,2058
406,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,3,0,5,0,18,3,0,3,41,24,64,209,237,68,571,30,305,30,1544
407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,6,13,4,30,0,21,3,82,81,81,432,678,145,1288,53,902,44,3716
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,10,0,0,0,3,0,5,24,15,182,410,346,44,107,33,223,28,1379
501,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,15,0,0,7,17,3,20,0,16,5,72,52,66,527,559,159,1433,52,709,46,3592
502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,11,0,6,3,32,32,53,221,425,77,820,61,391,24,2100
503,0,10,0,10,7,7,0,0,0,34,0,3,3,9,10,3,0,0,0,31,6,14,20,41,18,46,0,21,31,195,269,1241,811,3681,1446,3161,195,1653,190,12635
504,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,9,0,3,15,14,0,45,3,21,8,125,142,246,698,1169,325,2659,204,1247,87,6783
