SA4_CODE_2016,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_Turkey_E,P_Turkey_OM_IE,P_Turkey_OM_UIE,P_Turkey_CFW,P_Turkey_ES_NS,P_Turkey_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Zimbabwe_E,P_Zimbabwe_OM_IE,P_Zimbabwe_OM_UIE,P_Zimbabwe_CFW,P_Zimbabwe_ES_NS,P_Zimbabwe_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
202,327,4,7,0,11,348,9,0,4,0,0,9,27,0,0,0,0,34,169,7,14,9,0,195,93,7,5,3,0,107,78,0,10,4,0,93,9,3,0,0,0,10,1156,120,204,38,21,1539,100,15,11,8,3,134,119,5,9,3,0,142,23,0,3,0,0,27,829,43,50,23,15,963,878,80,130,42,55,1192,49598,3776,4919,1358,747,60402
203,665,10,9,8,14,701,110,13,10,3,3,135,94,6,17,0,3,121,322,31,32,6,0,402,231,15,8,3,0,262,159,9,11,9,0,188,29,7,3,4,0,50,3787,337,417,84,34,4660,281,19,33,8,0,343,242,30,45,15,4,339,104,3,5,0,0,114,2067,143,174,47,36,2472,1271,116,133,34,84,1643,89726,7213,7711,1758,1061,107466
204,341,0,13,3,5,366,16,3,5,0,0,28,37,0,0,0,0,44,131,12,10,3,0,157,92,13,5,3,0,116,56,3,8,3,0,69,6,0,5,0,0,11,1510,149,199,71,22,1953,123,17,26,9,0,171,25,3,4,0,0,39,35,0,3,4,0,38,885,68,97,46,16,1114,1134,94,172,75,73,1550,53996,4596,6598,2322,1004,68527
205,464,7,13,8,3,501,58,4,8,3,3,80,36,0,4,3,0,46,264,21,23,6,3,322,212,27,13,3,3,262,85,10,16,0,0,114,8,0,3,0,0,9,2572,217,352,122,54,3314,161,12,30,3,0,207,104,19,40,7,5,179,68,7,3,3,0,85,1117,110,149,43,30,1449,1672,160,252,114,119,2322,79276,6251,10180,2958,1526,100188
206,9504,99,95,25,59,9778,1602,120,142,19,17,1905,3082,126,96,10,16,3333,5270,354,214,22,18,5878,8970,202,155,34,68,9425,2552,118,142,27,24,2858,1205,142,122,35,24,1531,27477,1665,1437,134,135,30845,4132,245,253,23,38,4685,9679,574,503,140,108,11000,912,36,21,3,6,984,40800,1863,1810,289,440,45202,5340,403,331,79,378,6527,613394,35541,28224,4371,4937,686467
207,1269,21,29,6,12,1331,259,37,28,5,3,328,633,55,53,11,0,751,1121,99,100,12,3,1334,1980,120,81,17,18,2215,397,36,43,10,3,485,106,34,21,7,0,163,4689,416,390,71,37,5608,596,37,53,10,7,709,1343,130,141,44,23,1680,187,17,10,0,3,218,6158,544,527,101,70,7398,876,106,88,26,71,1164,117182,12451,9454,2178,1066,142323
208,1787,26,29,9,13,1863,456,122,152,31,8,762,322,42,40,4,0,412,1523,334,269,41,23,2188,2300,110,94,22,20,2543,508,25,41,19,9,601,198,37,27,11,0,282,5441,723,701,95,61,7029,594,94,82,17,0,784,2082,96,164,26,22,2393,251,19,16,3,0,281,8638,1224,1183,207,149,11402,1178,128,114,29,93,1544,121609,14883,12377,2371,1334,152571
209,1667,12,42,10,26,1754,224,25,33,6,3,279,297,17,17,6,0,343,530,61,51,9,3,648,1521,128,114,18,24,1803,314,27,26,7,3,373,303,66,38,8,7,421,3514,385,326,63,22,4312,355,33,35,9,0,436,2402,173,225,58,41,2897,175,13,6,0,0,200,5317,507,578,94,103,6596,1546,207,160,41,140,2091,117600,11871,10149,1973,1613,143201
210,2024,33,38,9,20,2127,261,20,20,3,3,309,256,14,17,0,3,296,408,27,31,3,0,464,1777,118,104,23,27,2054,308,11,16,7,0,340,1248,310,277,58,48,1939,3149,267,192,34,20,3668,287,24,12,5,0,334,2519,140,161,39,37,2896,131,8,3,3,0,143,6620,558,488,86,122,7868,1833,183,147,42,160,2370,116945,10181,7956,1651,1698,138428
211,1475,34,35,15,15,1558,340,45,48,7,9,451,406,45,37,7,0,499,1136,121,97,21,5,1376,2004,161,117,31,20,2334,433,22,46,14,4,517,87,15,17,0,3,116,6498,813,800,141,65,8324,467,50,56,16,4,580,1402,90,139,25,12,1676,188,12,17,3,0,218,6205,565,573,122,83,7546,1511,160,172,48,112,1999,140933,14704,13187,2813,1516,173162
