SA4_CODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
205,318,251,91,4625,3658,157,686,317,111,4933,4115,278,895,332,117,5738,5378,324,976,253,129,7065,8358,547,1292,296,173,10665,9876,697,1194,191,161,12122,10583,706,1189,191,158,12829,9942,807,1056,148,148,12100,6495,560,715,73,76,7917,5080,563,475,67,52,6236,3674,334,237,37,39,4324,4585,482,363,52,46,5526,1954,524,318,71,41,2909,1360,148,267,133,150,2062,79276,6251,10180,2958,1526,100188
206,641,289,169,12353,16658,475,1312,388,231,19065,18607,840,1487,358,294,21583,21700,956,1674,308,315,24955,32359,1644,2389,351,451,37196,44140,2109,2458,304,460,49466,64797,2739,2828,309,524,71189,81635,3474,2875,239,515,88730,67048,2914,2189,143,326,72619,61575,3431,1811,156,287,67264,45307,2356,1276,92,180,49205,84212,4852,2187,155,257,91666,54267,8578,4338,226,314,67721,8039,608,454,140,530,9767,613394,35541,28224,4371,4937,686467
207,340,148,45,6543,6081,251,571,191,69,7155,5616,423,634,212,67,6956,6109,492,665,142,82,7497,8892,797,932,192,97,10902,10779,960,920,153,98,12912,13660,1042,1031,143,113,15987,15016,1355,1003,124,104,17605,11097,1036,730,93,61,13019,9674,1219,634,81,56,11665,6948,794,407,49,42,8238,10206,1510,601,67,39,12426,4996,2102,735,111,43,7987,1745,211,163,47,122,2292,117182,12451,9454,2178,1066,142323
208,425,195,57,7351,6626,265,736,198,86,7903,6092,450,774,199,97,7616,6988,523,915,171,103,8698,10328,874,1230,188,118,12741,13732,1143,1270,172,139,16457,16515,1338,1376,125,165,19518,16676,1743,1420,126,130,20097,11036,1397,966,73,75,13542,8553,1674,776,107,66,11173,5695,1006,507,56,54,7321,7068,1760,821,75,44,9764,3261,2154,798,126,43,6389,1984,268,221,65,154,2695,121609,14883,12377,2371,1334,152571
209,390,188,87,7264,6297,245,717,220,97,7575,5954,438,818,183,115,7516,6833,558,884,160,136,8572,10553,887,1219,166,168,12987,13825,1126,1105,158,181,16395,16227,1342,1194,121,217,19097,16073,1534,1126,108,154,18990,10903,1180,720,55,90,12951,8370,1268,532,42,66,10278,5600,686,329,28,34,6678,5676,1056,425,41,42,7235,2249,1106,435,48,35,3871,2013,227,157,70,153,2623,117600,11871,10149,1973,1613,143201
210,259,127,75,4776,4471,204,526,183,111,5486,4660,316,655,164,123,5923,5638,434,721,140,141,7078,9639,795,1012,156,166,11772,13868,1045,988,104,207,16210,17715,1175,945,89,230,20155,17845,1387,877,72,177,20364,11790,1069,553,56,91,13554,8657,1041,356,50,72,10189,5904,611,271,28,33,6844,7051,860,305,28,33,8274,2953,885,221,37,39,4138,2031,194,173,68,162,2620,116945,10181,7956,1651,1698,138428
211,551,237,88,9265,7910,286,917,327,95,9537,7215,585,1017,303,117,9237,8289,643,1126,229,133,10415,12747,1011,1527,239,132,15652,16575,1368,1469,214,176,19801,19912,1636,1546,151,200,23442,19315,1905,1477,158,155,23022,12415,1503,1010,73,83,15075,9293,1583,720,78,55,11737,6092,893,443,39,40,7508,7120,1385,604,47,44,9199,2745,1380,416,51,38,4643,2464,273,242,89,139,3204,140933,14704,13187,2813,1516,173162
212,545,304,143,10817,10384,417,1130,398,143,12461,10087,772,1273,392,176,12700,12094,822,1491,287,226,14924,20218,1511,1993,356,274,24354,29323,1945,1934,279,354,33838,36971,2304,2076,228,338,41913,38201,2686,1921,179,285,43276,25596,1976,1231,101,168,29072,19872,2038,848,83,121,22972,13369,1228,493,66,64,15215,17236,1880,648,79,78,19923,7134,2205,640,78,72,10135,4197,378,308,112,298,5290,255405,20522,16732,3702,2802,299165
213,484,236,114,8972,8503,327,948,273,175,10221,8349,549,1180,297,184,10564,9667,653,1208,231,192,11962,15395,1190,1655,273,266,18779,21936,1483,1558,224,301,25498,27051,1764,1652,163,316,30948,27552,2128,1505,125,231,31542,18510,1408,873,72,130,20998,13504,1395,647,61,94,15696,8928,768,385,28,75,10185,10084,1216,474,48,67,11887,3611,1311,401,41,57,5420,3191,200,239,84,252,3966,185135,14686,13378,2758,2496,218458
214,287,140,54,4957,3731,188,515,194,53,4685,3781,296,633,175,93,4975,4638,345,757,159,103,6002,7731,639,982,140,104,9589,9398,755,948,116,125,11348,10285,982,946,113,97,12424,9400,1097,974,100,87,11657,6091,957,672,50,56,7820,4453,912,515,55,39,5976,3036,528,299,32,20,3909,2851,796,355,37,24,4065,1052,827,362,53,29,2330,1381,175,163,58,116,1892,72541,8622,8485,1726,1018,92394
