SA3_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
31501,47,20,3,10,81,7706,2651,447,371,11173
31502,38,32,3,6,79,12644,2876,751,415,16684
31503,82,27,7,14,127,6390,1916,373,230,8911
31601,13,37,4,6,59,10639,6727,500,279,18146
31602,18,87,5,16,131,16430,11570,892,484,29378
31603,25,56,5,10,97,15620,11931,844,452,28849
31605,19,57,3,10,90,8672,7746,483,283,17175
31606,35,77,10,4,122,6451,5694,404,269,12819
31607,22,53,4,4,90,10936,7694,693,328,19649
31608,12,24,0,6,43,2537,2174,175,86,4974
31701,98,148,17,28,296,39203,21537,2316,1012,64066
31801,94,100,12,26,242,10449,5121,574,400,16551
31802,77,138,7,26,245,52136,25139,3103,1342,81722
31901,68,95,11,26,202,17562,10929,952,594,30037
31902,147,109,11,23,290,10149,5829,605,458,17043
31903,72,49,8,18,155,8643,6115,607,328,15694
31904,16,36,3,18,71,8541,6745,554,312,16153
31905,46,50,3,7,108,7560,4681,490,264,12995
39797,0,0,0,0,0,150,14,24,11,202
39999,90,225,52,47,410,57869,33784,4786,2402,98838
40101,82,188,11,36,320,76044,35241,4781,1534,117609
40102,61,104,15,4,188,9988,9203,763,340,20295
40103,24,101,5,10,139,9066,6846,605,236,16760
40104,20,34,3,6,66,4628,4430,299,149,9500
40105,35,86,7,9,136,12920,9153,654,324,23048
40106,8,34,7,0,47,4210,3482,247,144,8081
40107,27,72,3,4,105,10700,7766,655,259,19383
40201,14,29,0,3,46,4896,4080,316,161,9445
40202,30,28,3,5,69,13551,9715,973,469,24701
40203,19,47,3,7,84,14638,7754,755,388,23530
40204,48,65,11,15,131,29297,13392,1439,778,44910
40205,20,45,11,3,78,10271,10228,694,336,21526
40301,14,62,7,3,89,5593,6030,409,159,12187
40302,23,59,6,6,100,11392,9324,840,296,21844
40303,23,117,4,10,160,14089,11738,1183,337,27353
40304,44,98,9,11,160,19083,16762,1395,600,37846
40401,45,110,7,19,180,22668,14813,1308,584,39378
40402,37,71,10,16,135,28020,9631,1169,663,39487
40403,45,92,13,18,170,27871,13474,1457,615,43418
40501,54,70,3,13,146,8148,5053,523,220,13942
40502,51,74,12,17,154,5073,3236,366,189,8860
40503,37,34,10,14,97,5755,3690,394,203,10046
40504,42,60,15,16,135,4175,3357,385,188,8105
40601,59,73,10,17,165,13071,8062,982,479,22594
40602,31,23,6,6,62,9649,3264,757,315,13987
40701,56,133,8,18,210,6691,6840,613,263,14400
40702,120,181,19,29,355,16741,9951,1309,505,28512
40703,108,154,23,29,319,16438,9677,1043,529,27691
49797,0,0,0,0,0,41,11,14,0,64
49999,40,99,19,24,185,17971,13830,1810,699,34311
50101,47,92,13,12,164,9809,8456,841,353,19460
50102,54,135,15,16,211,25065,14732,1829,763,42390
50103,59,71,12,11,159,4690,3253,448,179,8572
50201,29,114,9,13,161,13426,11466,984,496,26378
50301,61,249,9,5,331,21530,16355,1469,581,39927
50302,147,353,23,48,564,128855,48869,7195,2528,187451
50401,27,75,10,7,116,14610,9664,699,470,25443
50402,4,50,3,0,61,4976,3763,323,144,9214
50403,49,119,13,7,192,34508,17037,1691,912,54150
50501,18,115,12,15,158,20800,22972,1568,762,46089
50502,77,255,17,16,363,42451,24905,2122,1089,70563
50503,38,83,7,3,139,25443,16465,1293,780,43987
50601,20,48,0,3,78,9092,7568,626,325,17605
50602,57,96,11,10,174,38854,15849,1995,993,57696
50603,58,109,13,6,191,42782,18191,1927,1089,63997
50604,22,63,6,10,101,13784,9318,786,420,24306
50605,18,75,3,6,103,8445,5392,394,253,14475
50606,9,20,0,3,32,2607,1713,181,82,4583
50607,12,41,8,3,62,7019,5488,428,190,13119
50701,41,71,6,7,126,27433,11963,1200,716,41309
50702,30,96,12,10,147,15626,9838,1021,447,26931
50703,12,14,0,3,30,8989,3012,469,188,12657
50704,42,135,8,0,192,20906,17229,1448,621,40209
50705,19,62,3,6,97,15932,12508,1132,488,30054
50901,99,144,24,36,298,13638,8875,1117,441,24069
50902,161,204,16,24,407,13769,6605,930,457,21766
50903,71,84,20,19,193,6910,2665,593,231,10401
51001,29,19,0,0,49,10256,3258,678,400,14587
51002,18,3,0,4,23,18637,2392,1921,542,23495
51003,17,9,3,6,32,29053,3623,3133,729,36533
51101,30,48,4,4,79,4288,2156,382,128,6952
51102,10,17,4,0,35,3086,1148,269,108,4616
51103,26,22,3,7,58,17204,4148,1166,541,23072
51104,63,73,8,12,158,15445,7000,1249,505,24199
59797,4,0,0,0,4,1321,74,169,31,1595
59999,51,125,37,22,229,30819,18821,3490,1251,54379
60101,4,6,3,3,14,1693,966,127,58,2838
60102,13,52,0,8,76,8205,5789,590,216,14804
60103,17,56,5,14,95,12452,7008,732,392,20581
60104,3,33,0,3,44,3946,3501,287,102,7840
60105,37,124,9,21,195,28893,18497,2164,644,50197
60106,9,20,0,0,31,1430,1484,144,46,3102
60201,27,112,6,8,154,20947,14769,1508,627,37848
60202,36,40,0,3,73,2761,2048,252,106,5169
60203,54,78,14,11,158,7090,4263,518,248,12110
60301,21,20,5,0,50,1301,754,93,63,2207
60302,22,28,3,8,57,2510,2080,184,112,4886
60303,4,22,4,6,35,1030,960,130,57,2170
60401,25,66,3,15,107,10276,7069,758,341,18442
60402,37,63,3,15,118,9138,6464,847,310,16756
60403,27,34,10,11,82,4523,2160,372,158,7211
69797,0,0,0,0,0,43,10,5,0,55
69999,12,28,4,7,54,4823,3543,518,250,9138
70101,35,36,4,6,82,20795,4980,1080,542,27391
70102,22,35,3,6,61,15295,5712,926,526,22456
70103,21,10,3,3,39,11924,1765,832,347,14865
70104,8,8,0,0,19,4905,2067,284,160,7409
70201,24,30,3,3,61,11984,3233,721,354,16290
70202,9,0,0,0,6,1417,353,84,66,1919
70203,7,9,4,3,23,3043,953,204,224,4430
70204,5,3,0,3,12,3055,944,293,171,4456
70205,14,16,3,5,36,4925,1256,325,261,6759
79797,0,0,0,0,0,74,6,9,3,91
79999,10,3,4,0,20,2414,819,334,108,3679
80101,20,58,11,3,87,17026,9716,1199,432,28370
80103,10,9,4,8,27,11715,2434,584,233,14962
80104,14,21,5,3,45,8688,4727,445,214,14083
80105,46,77,10,16,147,47645,15733,2908,1066,67354
80106,48,111,13,11,174,34998,11268,2189,670,49122
80107,12,35,0,3,53,11379,6310,739,285,18710
80108,4,21,0,3,25,2195,1780,160,59,4202
80109,23,58,10,10,100,14514,7061,1155,306,23027
80110,0,0,0,0,0,199,99,13,5,322
80111,0,0,0,0,0,367,113,8,0,495
89797,0,0,0,0,0,0,0,0,0,0
89999,9,20,4,4,32,4093,2251,317,159,6819
90101,3,3,0,0,5,713,179,79,16,996
90102,0,0,0,0,0,134,70,17,14,237
90103,0,0,0,0,0,349,83,32,12,473
90104,5,16,0,3,33,599,314,37,30,986
99797,0,0,0,0,0,0,0,0,0,0
99999,0,0,0,0,0,56,24,31,6,118
