SA3_CODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
60105,5778,15675,4683,6023,9471,3808,757,3090,917,50197
60106,484,396,397,363,262,466,189,495,43,3102
60201,3868,8040,4803,5057,5397,4557,2026,3546,549,37848
60202,1157,632,673,593,446,369,404,816,85,5169
60203,2145,1230,1764,1046,1035,1051,1546,2048,238,12110
60301,591,217,278,203,146,108,193,426,53,2207
60302,825,726,679,467,472,376,310,951,76,4886
60303,449,223,292,290,185,177,94,422,32,2170
60401,1993,2962,2640,2367,2389,2122,1266,2362,341,18442
60402,1947,2405,2440,2114,1942,1887,1256,2470,294,16756
60403,1367,675,1064,548,574,423,951,1464,149,7211
69797,3,10,8,3,0,0,5,23,0,55
69999,790,674,2961,1049,266,353,932,1892,217,9138
70101,4163,5574,4280,2663,5222,1847,1104,1971,576,27391
70102,2389,5721,2753,3217,3047,2029,1274,1605,421,22456
70103,1480,1704,4596,1889,1153,426,1372,1923,315,14865
70104,861,1169,1254,991,1046,895,363,703,131,7409
70201,1955,3773,1990,2777,2064,1039,815,1505,375,16290
70202,243,373,218,334,207,77,59,341,64,1919
70203,554,979,577,655,388,180,333,533,228,4430
70204,396,976,752,589,432,187,572,376,180,4456
70205,828,1315,1051,1030,715,349,447,784,245,6759
79797,8,19,31,0,0,0,4,25,3,91
79999,234,367,1305,292,186,114,362,690,123,3679
80101,3568,8715,2343,3777,4361,2813,680,1473,644,28370
80103,2828,3663,1783,1268,2496,803,964,743,426,14962
80104,1643,2691,2376,1896,1842,1594,618,1173,248,14083
80105,13418,23270,3893,5557,13952,2932,341,2088,1906,67354
80106,8572,14452,4638,4842,9146,2766,1264,2168,1274,49122
80107,2511,5127,1648,2373,3031,1967,555,1043,454,18710
80108,569,1161,418,766,500,368,66,288,64,4202
80109,2944,8505,1505,2471,4148,1686,221,1002,550,23027
80110,47,57,99,40,19,10,4,33,6,322
80111,106,127,81,47,52,9,12,47,12,495
89797,0,0,0,0,0,0,0,0,0,0
89999,480,850,2538,762,294,272,401,1050,178,6819
90101,132,140,176,150,122,18,107,139,27,996
90102,32,36,35,31,28,8,14,36,12,237
90103,133,109,45,103,27,3,6,24,16,473
90104,168,108,185,121,114,108,36,119,23,986
99797,0,0,0,0,0,0,0,0,0,0
99999,26,33,18,3,7,3,3,6,9,118
